"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of commercial storage roots per plant harvested|CO_331:2000036","Storage roots yield in kg per plant harvested|CO_331:0000681","Vine weight in kg per plant harvested|CO_331:0000990","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant planted|CO_331:0000991","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003"
"","","GHP2018FMS-ST02","","","","","","","","","GHP2018FMS-ST02-00134","","","","3","1","1","1","0","0.1","0","2","4","0.1","2.1","1","0.1","","0.1","1","1","0.1","2","100","4.761904762","3.333333333","3.333333333","66.66666667","70","0.333333333","0.333333333","0.033333333","0.666666667","33.33333333","1.111111111","1.111111111","22.22222222","23.33333333"
"","","GHP2018FMS-ST02","","","","","","","","","GHP2018FMS-ST02-00201","","","","3","3","3","4","1","0.76","0.02","2","3","0.78","2.78","5","0.19","0.02","0.156","1.666666667","1.333333333","0.26","0.666666667","80","28.05755396","8.444444444","8.666666667","22.22222222","30.88888889","1.666666667","1.333333333","0.26","0.666666667","100","8.444444444","8.666666667","22.22222222","30.88888889"
"","","GHP2018FMS-ST02","","","","","","","","","GHP2018FMS-ST02-00202","","","","3","3","3","9","6","1.34","0.26","2","4","1.6","3.6","15","0.148888889","0.043333333","0.106666667","5","3","0.533333333","0.666666667","60","44.44444444","14.88888889","17.77777778","22.22222222","40","5","3","0.533333333","0.666666667","100","14.88888889","17.77777778","22.22222222","40"
"","","GHP2018FMS-ST02","","","","","","","","","GHP2018FMS-ST02-00203","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2018FMS-ST02","","","","","","","","","GHP2018FMS-ST02-00204","","","","3","3","3","6","3","1.16","0.6","3","3","1.76","4.76","9","0.193333333","0.2","0.195555556","3","2","0.586666667","1","66.66666667","36.97478992","12.88888889","19.55555556","33.33333333","52.88888889","3","2","0.586666667","1","100","12.88888889","19.55555556","33.33333333","52.88888889"
"","","GHP2018FMS-ST02","","","","","","","","","GHP2018FMS-ST02-00205","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2018FMS-ST02","","","","","","","","","GHP2018FMS-ST02-00206","","","","3","1","1","0","1","0","0.06","0.5","8","0.06","0.56","1","","0.06","0.06","1","0","0.06","0.5","0","10.71428571","0","2","16.66666667","18.66666667","0.333333333","0","0.02","0.166666667","33.33333333","0","0.666666667","5.555555556","6.222222222"
"","","GHP2018FMS-ST02","","","","","","","","","GHP2018FMS-ST02-00207","","","","3","2","2","4","0","1.78","0","1","4","1.78","2.78","4","0.445","","0.445","2","2","0.89","0.5","100","64.02877698","29.66666667","29.66666667","16.66666667","46.33333333","1.333333333","1.333333333","0.593333333","0.333333333","66.66666667","19.77777778","19.77777778","11.11111111","30.88888889"
"","","GHP2018FMS-ST02","","","","","","","","","GHP2018FMS-ST02-00208","","","","3","3","2","3","5","0.38","0.28","2.5","3","0.66","3.16","8","0.126666667","0.056","0.0825","2.666666667","1","0.22","0.833333333","37.5","20.88607595","4.222222222","7.333333333","27.77777778","35.11111111","2.666666667","1","0.22","0.833333333","100","4.222222222","7.333333333","27.77777778","35.11111111"
"","","GHP2018FMS-ST02","","","","","","","","","GHP2018FMS-ST02-00209","","","","3","1","1","1","0","0.12","0","0.5","5","0.12","0.62","1","0.12","","0.12","1","1","0.12","0.5","100","19.35483871","4","4","16.66666667","20.66666667","0.333333333","0.333333333","0.04","0.166666667","33.33333333","1.333333333","1.333333333","5.555555556","6.888888889"
