"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Biomass yield in tons per ha|CO_331:0001003","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Total foliage yield in tons per ha|CO_331:0000684","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Harvest index computing percent|CO_331:0000302","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root dry matter content computing percent|CO_331:0000297","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Percentage of commercial storage root|CO_331:0000682","Storage root size estimating 1-9|CO_331:0000184","Commercial storage root yield tons per ha|CO_331:0000809","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Number of storage roots after harvest per NET plot|CO_331:0000233","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Total storage root weight per NET plot in kg|CO_331:0000237","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage roots yield computation tons per ha|CO_331:0000296","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2018TUM-AT02","","","","","","","","","GHP2018TUM-AT02-00019","","","","7","12.5010777","25.17777778","1.632277","0.739806","14.66666667","2.2087281","3.6189899","41.74757282","1","28","70","25","30","25","6","9","2.9664271","1","70.2095413","37.50986582","5","28.57142857","5","6.933333333","11.3938885","98","3.92","9.46","7","2","6.24","3.22","13.2","10.51111111","22.66","0.222857143","0.046","0.096530612","3.266666667","1.12","0.933333333","0.3784","0.315333333","0.528","0.44","83.33333333","3.548433307","8.32","12.61333333","17.6","3.942703674","4.731244409","30.21333333"
"","","GHP2018TUM-AT02","","","","","","","","","GHP2018TUM-AT02-00002","","","","3","1.1810513","33.95555556","2.0314789","1.0857151","18.31111111","3.68558","5.7500539","46.07329843","1","56","68","26","30","26","5","3","3.381393","3","63.0842323","30.94766059","5","45.16129032","3","13.11111111","11.8548737","124","4.769230769","14.08","7","1","11.8","2.28","16.48","15.64444444","30.56","0.210714286","0.033529412","0.113548387","4.133333333","2.153846154","1.866666667","0.541538462","0.469333333","0.633846154","0.549333333","86.66666667","4.357430611","15.12820513","18.05128205","21.12820513","4.841589568","5.586449501","39.17948718"
"","","GHP2018TUM-AT02","","","","","","","","","GHP2018TUM-AT02-00020","","","","1","31.0201302","22.31111111","1.956398","1.07161","8.933333333","2.3004911","3.6872251","59.96015936","1","40","52","23","30","23","7","4","3.637785","3","64.5871353","32.84323465","1","43.47826087","3","10.26666667","11.8622332","92","4","12.04","6","5","9.24","2.8","8.04","13.37777778","20.08","0.231","0.053846154","0.130869565","3.066666667","1.739130435","1.333333333","0.523478261","0.401333333","0.349565217","0.268","76.66666667","3.954325452","13.39130435","17.44927536","11.65217391","4.393694947","5.730906452","29.10144928"
"","","GHP2018TUM-AT02","","","","","","","","","GHP2018TUM-AT02-00021","","","","1","3.6347942","36.13333333","1.707527","0.903607","19.48888889","4.134181","5.6810122","46.06396064","1","59","102","23","30","23","5","3","2.346663","1","66.5403214","31.22404588","5","36.64596273","3","12.68888889","9.3842735","161","7","14.98","7","1","11.42","3.56","17.54","16.64444444","32.52","0.193559322","0.034901961","0.093043478","5.366666667","2.565217391","1.966666667","0.651304348","0.499333333","0.762608696","0.584666667","76.66666667","4.677362073","16.55072464","21.71014493","25.42028986","5.19706897","6.778785613","47.13043478"
"","","GHP2018TUM-AT02","","","","","","","","","GHP2018TUM-AT02-00022","","","","3","0","46.2","1.6364861","0.794866","22.26666667","2.0153229","3.025219","51.8037518","1","67","32","22","30","22","4","6","2.5727479","1","69.5491943","38.60067581","5","67.67676768","1","22.48888889","12.6645041","99","4.5","21.54","7","1","20.24","1.3","20.04","23.93333333","41.58","0.302089552","0.040625","0.217575758","3.3","3.045454545","2.233333333","0.979090909","0.718","0.910909091","0.668","73.33333333","8.314585569","30.66666667","32.63636364","30.36363636","9.238428411","12.59785692","63"
"","","GHP2018TUM-AT02","","","","","","","","","GHP2018TUM-AT02-00023","","","","3","0","38","1.751595","0.822823","26.28888889","3.5612099","5.379189","30.81871345","1","50","57","27","30","27","3","8","2.917273","1","69.9750748","35.76992211","5","46.72897196","3","8.088888889","8.2009869","107","3.962962963","10.54","7","1","7.28","3.26","23.66","11.71111111","34.2","0.1456","0.057192982","0.098504673","3.566666667","1.851851852","1.666666667","0.39037037","0.351333333","0.876296296","0.788666667","90","3.77014979","8.987654321","13.01234568","29.20987654","4.189055323","4.654505914","42.22222222"
"","","GHP2018TUM-AT02","","","","","","","","","GHP2018TUM-AT02-00024","","","","1","7.0350571","49.54444444","1.720927","0.718887","23.63333333","3.911422","5.6101122","52.29872169","1","102","50","29","30","29","5","7","2.1355529","1","63.733139","32.41461953","1","67.10526316","3","23.42222222","9.7690678","152","5.24137931","23.32","7","1","21.08","2.24","21.27","25.91111111","44.59","0.206666667","0.0448","0.153421053","5.066666667","3.517241379","3.4","0.804137931","0.777333333","0.733448276","0.709","96.66666667","7.559089274","24.22988506","26.8045977","24.44827586","8.398988083","8.688608361","51.25287356"
"","","GHP2018TUM-AT02","","","","","","","","","GHP2018TUM-AT02-00025","","","","1","0","30.55555556","1.8640701","0.970619","14.53333333","1.362027","2.804323","52.43636364","1","38","35","14","30","14","5","8","3.8120589","1","70.6371307","40.21394612","7","52.05479452","3","14.17777778","10.4587488","73","5.214285714","14.42","7","1","12.76","1.66","13.08","16.02222222","27.5","0.335789474","0.047428571","0.197534247","2.433333333","2.714285714","1.266666667","1.03","0.480666667","0.934285714","0.436","46.66666667","5.798851031","30.38095238","34.33333333","31.14285714","6.443167812","13.80678817","65.47619048"
"","","GHP2018TUM-AT02","","","","","","","","","GHP2018TUM-AT02-00026","","","","5","22.5290451","87.01111111","2.1352911","1.067917","48.51111111","4.074595","6.3930802","44.24722258","1","53","54","26","30","26","8","8","3.2664261","1","63.7507973","31.9408355","1","49.53271028","3","32.55555556","12.5372553","107","4.115384615","34.65","9","1","29.3","5.35","43.66","38.5","78.31","0.552830189","0.099074074","0.323831776","3.566666667","2.038461538","1.766666667","1.332692308","1.155","1.679230769","1.455333333","86.66666667","11.0674995","37.56410256","44.42307692","55.97435897","12.29722167","14.18910192","100.3974359"
"","","GHP2018TUM-AT02","","","","","","","","","GHP2018TUM-AT02-00027","","","","1","1.4103756","34.57777778","1.656503","0.799468","24.86666667","4.6483979","6.7564092","28.0848329","1","35","73","21","30","21","3","8","2.1299651","1","68.1630707","30.54","7","32.40740741","5","6.511111111","6.48702","108","5.142857143","8.74","7","1","5.86","2.88","22.38","9.711111111","31.12","0.167428571","0.039452055","0.080925926","3.6","1.666666667","1.166666667","0.416190476","0.291333333","1.065714286","0.746","70","2.669196","9.301587302","13.87301587","35.52380952","2.965773333","4.236819048","49.3968254"
"","","GHP2018TUM-AT02","","","","","","","","","GHP2018TUM-AT02-00028","","","","5","0","47.6","1.695616","0.919862","19.77777778","2.5056651","3.9324801","58.45004669","1","65","42","20","30","20","4","6","3.0927539","1","65.6548843","35.53390336","3","60.74766355","1","24.22222222","12.7916489","107","5.35","25.04","6","1","21.8","3.24","17.8","27.82222222","42.84","0.335384615","0.077142857","0.234018692","3.566666667","3.25","2.166666667","1.252","0.834666667","0.89","0.593333333","66.66666667","8.897689401","36.33333333","41.73333333","29.66666667","9.886321557","14.82948234","71.4"
"","","GHP2018TUM-AT02","","","","","","","","","GHP2018TUM-AT02-00029","","","","1","29.740715","25.95555556","1.83489","0.947917","9.844444444","1.572889","2.7416611","62.07191781","1","76","58","27","30","27","6","","2.8264451","1","68.5578308","33.67123832","3","56.71641791","3","11.66666667","14.0150318","134","4.962962963","14.5","7","2","10.5","4","8.86","16.11111111","23.36","0.138157895","0.068965517","0.108208955","4.466666667","2.814814815","2.533333333","0.537037037","0.483333333","0.328148148","0.295333333","90","4.882329556","12.96296296","17.90123457","10.9382716","5.424810618","6.027567354","28.83950617"
"","","GHP2018TUM-AT02","","","","","","","","","GHP2018TUM-AT02-00003","","","","5","40.9916801","36.24444444","2.5474091","1.401926","15.75555556","7.5181589","11.624279","56.52973636","5","71","60","30","30","30","7","7","3.522799","7","48.9953194","22.99080368","5","54.19847328","3","18.04444444","14.1802568","131","4.366666667","18.44","8","1","16.24","2.2","14.18","20.48888889","32.62","0.228732394","0.036666667","0.140763359","4.366666667","2.366666667","2.366666667","0.614666667","0.614666667","0.472666667","0.472666667","100","4.239504199","18.04444444","20.48888889","15.75555556","4.710560221","4.710560221","36.24444444"
"","","GHP2018TUM-AT02","","","","","","","","","GHP2018TUM-AT02-00030","","","","5","39.327034","43.4","2.2661729","1.312071","14.37777778","2.3457479","4.4552789","66.87147977","5","89","32","24","30","24","7","","3.764967","7","55.6874275","26.19047619","1","73.55371901","1","25.42222222","22.4595089","121","5.041666667","26.12","7","1","22.88","3.24","12.94","29.02222222","39.06","0.257078652","0.10125","0.215867769","4.033333333","3.708333333","2.966666667","1.088333333","0.870666667","0.539166667","0.431333333","80","6.840952381","31.77777778","36.27777778","17.97222222","7.601058201","9.501322751","54.25"
"","","GHP2018TUM-AT02","","","","","","","","","GHP2018TUM-AT02-00031","","","","3","16.7821388","21.93333333","2.454293","1.381938","13.35555556","1.976913","3.938592","39.10840932","1","30","18","11","30","6","8","8","4.4096742","1","64.7542267","31.08828758","7","62.5","3","7.711111111","14.3850317","48","4.363636364","7.72","7","1","6.94","0.78","12.02","8.577777778","19.74","0.231333333","0.043333333","0.160833333","1.6","2.727272727","1","0.701818182","0.257333333","1.092727273","0.400666667","36.66666667","2.400015801","21.03030303","23.39393939","36.42424242","2.666684224","7.272775155","59.81818182"
"","","GHP2018TUM-AT02","","","","","","","","","GHP2018TUM-AT02-00032","","","","1","5.5617886","54.04444444","1.705987","0.79193","24.84444444","3.094264","4.4475331","54.02960526","1","78","46","27","30","26","5","7","2.4586771","1","62.2332687","30.30845771","3","62.90322581","1","25.82222222","14.0169477","124","4.592592593","26.28","8","2","23.24","3.04","22.36","29.2","48.64","0.297948718","0.066086957","0.211935484","4.133333333","2.888888889","2.6","0.973333333","0.876","0.828148148","0.745333333","90","7.965062686","28.69135802","32.44444444","27.60493827","8.850069651","9.833410724","60.04938272"
"","","GHP2018TUM-AT02","","","","","","","","","GHP2018TUM-AT02-00033","","","","1","","17.86666667","","","8.722222222","","","51.18159204","1","33","34","21","30","16","","","","1","","","3","49.25373134","3","7.055555556","","67","3.19047619","8.23","7","1","6.35","1.88","7.85","9.144444444","16.08","0.192424242","0.055294118","0.122835821","2.233333333","1.571428571","1.1","0.391904762","0.274333333","0.373809524","0.261666667","70","","10.07936508","13.06349206","12.46031746","","","25.52380952"
"","","GHP2018TUM-AT02","","","","","","","","","GHP2018TUM-AT02-00034","","","","3","0","24.06666667","1.696128","0.929268","7.955555556","2.0871119","3.6801","66.94367498","3","47","56","20","30","20","5","3","2.4791369","5","70.0153885","34.78521479","3","45.63106796","3","12.37777778","11.4419737","103","5.15","14.5","7","2","11.14","3.36","7.16","16.11111111","21.66","0.237021277","0.06","0.140776699","3.433333333","2.35","1.566666667","0.725","0.483333333","0.358","0.238666667","66.66666667","5.043856145","18.56666667","24.16666667","11.93333333","5.604284605","8.406426908","36.1"
"","","GHP2018TUM-AT02","","","","","","","","","GHP2018TUM-AT02-00035","","","","3","42.3494568","22.26666667","2.066478","0.910552","11.57777778","0.879131","2.9317231","48.00399202","1","48","26","25","30","25","9","9","3.757484","1","70.5281448","40.73927654","1","64.86486486","3","9.022222222","14.7408409","74","2.96","9.62","7","1","8.12","1.5","10.42","10.68888889","20.04","0.169166667","0.057692308","0.13","2.466666667","1.92","1.6","0.3848","0.320666667","0.4168","0.347333333","83.33333333","3.919118403","10.82666667","12.82666667","13.89333333","4.354576003","5.225491204","26.72"
"","","GHP2018TUM-AT02","","","","","","","","","GHP2018TUM-AT02-00036","","","","1","0","15.02222222","2.0728419","0.904384","8.844444444","1.347365","2.0494161","41.12426036","1","49","28","20","30","16","6","5","4.0112948","1","70.4259186","38.57484076","1","63.63636364","5","5.066666667","10.6064568","77","3.85","5.56","5","3","4.56","1","7.96","6.177777778","13.52","0.093061224","0.035714286","0.072207792","2.566666667","2.45","1.633333333","0.278","0.185333333","0.398","0.265333333","66.66666667","2.144761146","7.6","9.266666667","13.26666667","2.38306794","3.57460191","22.53333333"
"","","GHP2018TUM-AT02","","","","","","","","","GHP2018TUM-AT02-00037","","","","1","8.8688831","31.17777778","1.721518","0.797139","20.37777778","1.826221","3.32564","34.64005702","1","44","26","20","30","19","6","9","3.1306","1","71.0000839","38.48742823","1","62.85714286","3","9.111111111","10.6523104","70","3.5","9.72","8","1","8.2","1.52","18.34","10.8","28.06","0.186363636","0.058461538","0.138857143","2.333333333","2.2","1.466666667","0.486","0.324","0.917","0.611333333","66.66666667","3.740978024","13.66666667","16.2","30.56666667","4.156642249","6.234963373","46.76666667"
"","","GHP2018TUM-AT02","","","","","","","","","GHP2018TUM-AT02-00038","","","","","","","","","","","","","","","","","30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2018TUM-AT02","","","","","","","","","GHP2018TUM-AT02-00039","","","","1","0","28.86666667","1.5566","0.85274","12.77777778","1.406197","2.534363","55.73518091","1","46","25","16","30","16","5","8","3.10535","1","72.3467102","37.54713237","7","64.78873239","3","14.48888889","10.5142393","71","4.4375","14.48","7","1","13.04","1.44","11.5","16.08888889","25.98","0.283478261","0.0576","0.203943662","2.366666667","2.875","1.533333333","0.905","0.482666667","0.71875","0.383333333","53.33333333","5.436824767","27.16666667","30.16666667","23.95833333","6.040916408","11.32671826","54.125"
"","","GHP2018TUM-AT02","","","","","","","","","GHP2018TUM-AT02-00004","","","","5","0","35.08888889","1.632811","0.737519","19.55555556","1.750928","2.5443871","44.26852438","1","48","13","18","30","18","4","8","2.828537","3","71.385643","42.40331492","7","78.68852459","3","14.28888889","10.3912935","61","3.388888889","13.98","8","1","12.86","1.12","17.6","15.53333333","31.58","0.267916667","0.086153846","0.229180328","2.033333333","2.666666667","1.6","0.776666667","0.466","0.977777778","0.586666667","60","5.927983426","23.81481481","25.88888889","32.59259259","6.586648251","10.97774708","58.48148148"
"","","GHP2018TUM-AT02","","","","","","","","","GHP2018TUM-AT02-00005","","","","3","38.4435349","30.17777778","2.9897981","1.466668","16.55555556","0","1.899249","45.13991163","1","67","33","27","30","27","9","9","7.0414929","1","62.9556503","42.14826624","1","67","5","12.26666667","18.1690559","100","3.703703704","12.26","7","1","11.04","1.22","14.9","13.62222222","27.16","0.164776119","0.036969697","0.1226","3.333333333","2.481481481","2.233333333","0.454074074","0.408666667","0.551851852","0.496666667","90","5.167377441","13.62962963","15.13580247","18.39506173","5.74153049","6.379478322","33.5308642"
"","","GHP2018TUM-AT02","","","","","","","","","GHP2018TUM-AT02-00006","","","","1","3.073658","40.63333333","1.748561","0.862437","30.35555556","4.802","6.7906318","25.2939568","3","20","42","20","30","20","3","8","2.8551559","1","64.8877487","31.84089546","7","32.25806452","5","6.5","7.3716488","62","3.1","9.25","7","1","5.85","3.4","27.32","10.27777778","36.57","0.2925","0.080952381","0.149193548","2.066666667","1","0.666666667","0.4625","0.308333333","1.366","0.910666667","66.66666667","2.94528283","9.75","15.41666667","45.53333333","3.272536478","4.908804717","60.95"
"","","GHP2018TUM-AT02","","","","","","","","","GHP2018TUM-AT02-00007","","","","5","","42.57777778","","","16.8","","","60.54279749","1","78","37","27","30","27","7","","","1","","","3","67.82608696","3","24","","115","4.259259259","23.2","9","1","21.6","1.6","15.12","25.77777778","38.32","0.276923077","0.043243243","0.20173913","3.833333333","2.888888889","2.6","0.859259259","0.773333333","0.56","0.504","90","","26.66666667","28.64197531","18.66666667","","","47.30864198"
"","","GHP2018TUM-AT02","","","","","","","","","GHP2018TUM-AT02-00008","","","","3","18.2012901","38.16666667","2.1333871","0.971718","28.72222222","2.966965","4.6886849","24.74526929","1","82","37","24","30","24","6","9","3.729624","1","63.6465683","35.7496534","3","68.90756303","5","6.622222222","12.5215578","119","4.958333333","8.5","9","1","5.96","2.54","25.85","9.444444444","34.35","0.072682927","0.068648649","0.071428571","3.966666667","3.416666667","2.733333333","0.354166667","0.283333333","1.077083333","0.861666667","80","3.038720539","8.277777778","11.80555556","35.90277778","3.376356154","4.220445193","47.70833333"
"","","GHP2018TUM-AT02","","","","","","","","","GHP2018TUM-AT02-00009","","","","5","15.5202713","48.62222222","2.2094221","1.143707","30.62222222","3.86834","5.9091148","37.02010969","1","52","80","26","30","26","2","8","3.6006491","1","63.3287849","31.18536197","5","39.39393939","3","14.97777778","13.8552151","132","5.076923077","16.2","9","1","13.48","2.72","27.56","18","43.76","0.259230769","0.034","0.122727273","4.4","2","1.733333333","0.623076923","0.54","1.06","0.918666667","86.66666667","5.052028639","17.28205128","20.76923077","35.33333333","5.613365155","6.476959794","56.1025641"
