"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Dry weight of storage root samples measuring g|CO_331:0000247","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root dry matter content computing percent|CO_331:0000297","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2013PKS-AT02","","","","","","","","","GHP2013PKS-AT02-00019","","","","2","7.01","1.71","1.15","15.09","50.26","3.22","5.74","1","28","35","34","21","34","19","3.55","3","67.59","30.02387585","6","7","5.71","3","5","5.1","1.3","2","6.4","8.4","63","0.182142857","0.037142857","0.101587302","3","1.852941176","1.333333333","0.823529412","0.304761905","0.188235294","0.095238095","0.058823529","44.44444444","76.19047619","61.76470588","1.921528054","5","8.095238095","6.274509804","10.15873016","1.960784314","3.174603175","1.883851033","3.05004453","8.235294118","13.33333333"
"","","GHP2013PKS-AT02","","","","","","","","","GHP2013PKS-AT02-00002","","","","4","","","","","","","","","0","0","34","22","34","0","","","","","","","","3","3","0","0","10","0","10","0","","","","0","0","0","0","0","0","0.454545455","0.294117647","","0","64.70588235","","0","0","0","0","9.803921569","15.15151515","","","9.803921569","15.15151515"
"","","GHP2013PKS-AT02","","","","","","","","","GHP2013PKS-AT02-00020","","","","2","0","1.97","1.49","13.52","50.52","0.72","2.72","1","28","53","34","28","34","27","5.25","2","66.97","26.76167854","5","6","9.58","4","4","4.8","2","16","6.8","22.8","81","0.171428571","0.037735849","0.083950617","2.892857143","2.382352941","1","0.823529412","0.242857143","0.2","0.571428571","0.470588235","34.56790123","29.8245614","82.35294118","1.819794141","4.705882353","5.714285714","6.666666667","8.095238095","15.68627451","19.04761905","1.784111903","2.166421596","22.35294118","27.14285714"
"","","GHP2013PKS-AT02","","","","","","","","","GHP2013PKS-AT02-00021","","","","3","1.96","2.03","1.39","14.64","50.04","2.04","3.56","1","0","22","34","25","34","4","5.08","1","66.08","29.25659472","3","2","9.92","4","3","0","0.5","13.5","0.5","14","22","","0.022727273","0.022727273","0.88","0.647058824","0","0","0.02","0.014705882","0.54","0.397058824","0","3.571428571","73.52941176","0.146282974","0","0","0.490196078","0.666666667","13.23529412","18","0.14341468","0.195043965","13.7254902","18.66666667"
"","","GHP2013PKS-AT02","","","","","","","","","GHP2013PKS-AT02-00022","","","","2","4.19","2.26","1.44","17.67","50.08","1.4","2.85","1","2","28","34","6","34","5","5.39","1","62.21","35.28354633","4","2","13.63","4","5","0.8","0.2","8","1","9","30","0.4","0.007142857","0.033333333","5","0.882352941","0.333333333","0.058823529","0.166666667","0.029411765","1.333333333","0.235294118","6.666666667","11.11111111","17.64705882","0.352835463","0.784313725","4.444444444","0.980392157","5.555555556","7.843137255","44.44444444","0.345917121","1.960197018","8.823529412","50"
"","","GHP2013PKS-AT02","","","","","","","","","GHP2013PKS-AT02-00023","","","","3","13.42","2.42","1.67","17.19","50.1","1.27","3.34","1","10","34","34","30","34","9","4.98","2","60.97","34.31137725","4","4","12.98","5","1","0.1","1","15","1.1","16.1","44","0.01","0.029411765","0.025","1.466666667","1.294117647","0.333333333","0.294117647","0.036666667","0.032352941","0.5","0.441176471","22.72727273","6.832298137","88.23529412","0.37742515","0.098039216","0.111111111","1.078431373","1.222222222","14.70588235","16.66666667","0.370024657","0.419361277","15.78431373","17.88888889"
"","","GHP2013PKS-AT02","","","","","","","","","GHP2013PKS-AT02-00024","","","","2","2.1","2.19","1.59","16.43","50.25","0.96","2.73","1","1","12","34","18","34","3","4.77","1","64.6","32.69651741","4","3","11.49","3","5","0.2","0.4","8.5","0.6","9.1","13","0.2","0.033333333","0.046153846","0.722222222","0.382352941","0.055555556","0.029411765","0.033333333","0.017647059","0.472222222","0.25","7.692307692","6.593406593","52.94117647","0.196179104","0.196078431","0.37037037","0.588235294","1.111111111","8.333333333","15.74074074","0.192332455","0.363294638","8.921568627","16.85185185"
"","","GHP2013PKS-AT02","","","","","","","","","GHP2013PKS-AT02-00003","","","","3","0","1.65","1.21","14.7","50.61","0.66","2.34","1","24","50","34","28","34","24","3.86","1","69.25","29.04564315","5","5","8.52","4","4","3.6","1.5","11","5.1","16.1","74","0.15","0.03","0.068918919","2.642857143","2.176470588","0.857142857","0.705882353","0.182142857","0.15","0.392857143","0.323529412","32.43243243","31.67701863","82.35294118","1.481327801","3.529411765","4.285714286","5","6.071428571","10.78431373","13.0952381","1.452282158","1.763485477","15.78431373","19.16666667"
"","","GHP2013PKS-AT02","","","","","","","","","GHP2013PKS-AT02-00004","","","","2","6.24","2.01","1.35","17.43","50.12","1.08","2.98","1","16","25","34","28","34","16","4.19","1","65.51","34.77653631","5","6","11.24","5","4","2.3","0.8","17","3.1","20.1","41","0.14375","0.032","0.075609756","1.464285714","1.205882353","0.571428571","0.470588235","0.110714286","0.091176471","0.607142857","0.5","39.02439024","15.42288557","82.35294118","1.078072626","2.254901961","2.738095238","3.039215686","3.69047619","16.66666667","20.23809524","1.056933947","1.283419792","19.70588235","23.92857143"
"","","GHP2013PKS-AT02","","","","","","","","","GHP2013PKS-AT02-00005","","","","2","4.13","1.72","1.09","13.62","50.17","2.55","4.9","1","27","56","34","29","34","26","3.81","2","69.84","27.14769783","6","6","5.65","4","4","4","1.9","8.5","5.9","14.4","83","0.148148148","0.033928571","0.071084337","2.862068966","2.441176471","0.931034483","0.794117647","0.203448276","0.173529412","0.293103448","0.25","32.53012048","40.97222222","85.29411765","1.601714172","3.921568627","4.597701149","5.784313725","6.781609195","8.333333333","9.770114943","1.570308012","1.841050772","14.11764706","16.55172414"
"","","GHP2013PKS-AT02","","","","","","","","","GHP2013PKS-AT02-00006","","","","3","1.72","2.04","1.42","14.33","50.5","1.78","3.22","1","8","12","34","25","34","7","5.2","1","65.94","28.37623762","4","4","9.72","4","4","1.5","0.5","10","2","12","20","0.1875","0.041666667","0.1","0.8","0.588235294","0.32","0.235294118","0.08","0.058823529","0.4","0.294117647","40","16.66666667","73.52941176","0.567524752","1.470588235","2","1.960784314","2.666666667","9.803921569","13.33333333","0.556396816","0.75669967","11.76470588","16"
"","","GHP2013PKS-AT02","","","","","","","","","GHP2013PKS-AT02-00007","","","","2","0.12","1.99","1.36","17.75","50.52","1.14","2.79","1","8","8","34","28","34","28","4.08","1","67.69","35.13460016","4","3","8.75","5","1","1.2","0.4","22.5","1.6","24.1","16","0.15","0.05","0.1","0.571428571","0.470588235","0.285714286","0.235294118","0.057142857","0.047058824","0.803571429","0.661764706","50","6.639004149","82.35294118","0.562153603","1.176470588","1.428571429","1.568627451","1.904761905","22.05882353","26.78571429","0.551130983","0.669230479","23.62745098","28.69047619"
"","","GHP2013PKS-AT02","","","","","","","","","GHP2013PKS-AT02-00008","","","","2","0","2.12","1.55","15.2","50.61","0.29","1.83","1","17","46","34","22","34","13","4.4","2","64.89","30.0335902","4","4","10.72","3","7","1.5","1.3","12","2.8","14.8","63","0.088235294","0.02826087","0.044444444","2.863636364","1.852941176","0.772727273","0.5","0.127272727","0.082352941","0.545454545","0.352941176","26.98412698","18.91891892","64.70588235","0.840940526","1.470588235","2.272727273","2.745098039","4.242424242","11.76470588","18.18181818","0.824451496","1.274152311","14.50980392","22.42424242"
"","","GHP2013PKS-AT02","","","","","","","","","GHP2013PKS-AT02-00009","","","","3","5.13","2.4","1.68","15.51","50.36","1.39","3.14","1","10","14","34","29","34","8","5.36","1","63.01","30.79825258","3","2","11.6","4","3","0.9","0.5","10.5","1.4","11.9","24","0.09","0.035714286","0.058333333","0.827586207","0.705882353","0.344827586","0.294117647","0.048275862","0.041176471","0.362068966","0.308823529","41.66666667","11.76470588","85.29411765","0.431175536","0.882352941","1.034482759","1.37254902","1.609195402","10.29411765","12.06896552","0.422721114","0.495604065","11.66666667","13.67816092"
