"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Dry weight of storage root samples measuring g|CO_331:0000247","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Storage root shape estimating 1-9 CIP|CO_331:0000181","Storage root dry matter content computing percent|CO_331:0000297","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Millipede damage estimating 1-9|CO_331:0000805","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Virus symptoms estimating 1-9|CO_331:0000193","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2017WCH-ST02","","","","","","","","","GHP2017WCH-ST02-00121","","","","","","","","","","","","","","","","12","4","2","0","0","0","","","","","","1","0","0","0.5","0","0.5","0","","","","0","0","0","0","0","0","0.25","0.041666667","","0","16.66666667","","0","0","0","0","1.388888889","8.333333333","","","1.388888889","8.333333333"
"","","GHP2017WCH-ST02","","","","","","","","","GHP2017WCH-ST02-00122","","","","","","","","","","","","","","","","12","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2017WCH-ST02","","","","","","","","","GHP2017WCH-ST02-00123","","","","3.55","61.86","19.9728508","1.83","0.96","13.8","48.85","4.01","6.43","15.04","2","28.24974411","12","10","6","4","2","2","3","1","1","4","5","2","0.38","0.1","2.55","0.48","3.03","4","0.19","0.05","0.12","0.666666667","0.333333333","0.333333333","0.166666667","0.08","0.04","0.425","0.2125","50","15.84158416","50","0.135598772","1.055555556","2.111111111","1.333333333","2.666666667","7.083333333","14.16666667","0.376663255","0.75332651","8.416666667","16.83333333"
"","","GHP2017WCH-ST02","","","","","","","","","GHP2017WCH-ST02-00124","","","","","","","","","","","","","","","","12","12","8","0","0","0","","","","","","3","0","0","4.6","0","4.6","0","","","","0","0","0","0","0","0","0.575","0.383333333","","0","66.66666667","","0","0","0","0","12.77777778","19.16666667","","","12.77777778","19.16666667"
"","","GHP2017WCH-ST02","","","","","","","","","GHP2017WCH-ST02-00125","","","","","","","","","","","","","","","","12","9","4","1","1","0","4","1","1","2","5","1","0.16","0","1.05","0.16","1.21","1","0.16","","0.16","0.25","0.083333333","0.25","0.083333333","0.04","0.013333333","0.2625","0.0875","100","13.2231405","33.33333333","","0.444444444","1.333333333","0.444444444","1.333333333","2.916666667","8.75","","","3.361111111","10.08333333"
"","","GHP2017WCH-ST02","","","","","","","","","GHP2017WCH-ST02-00126","","","","","","","","","","","","","","","","12","12","9","2","0","4","2","1","1","6","6","4","0","0.2","1.45","0.2","1.65","4","","0.05","0.05","0.444444444","0.333333333","0","0","0.022222222","0.016666667","0.161111111","0.120833333","0","12.12121212","75","","0","0","0.555555556","0.740740741","4.027777778","5.37037037","","","4.583333333","6.111111111"
"","","GHP2017WCH-ST02","","","","","","","","","GHP2017WCH-ST02-00127","","","","3.35","60.51","17.414711","1.97","0.96","14.32","48.3","3.44","4.84","12.95","2","29.64803313","12","8","8","3","4","6","3","1","1","3","4","2","0.48","0.31","2.5","0.79","3.29","10","0.12","0.051666667","0.079","1.25","0.833333333","0.5","0.333333333","0.09875","0.065833333","0.3125","0.208333333","40","24.01215805","66.66666667","0.234219462","1.333333333","2","2.194444444","3.291666667","6.944444444","10.41666667","0.650609616","0.975914424","9.138888889","13.70833333"
"","","GHP2017WCH-ST02","","","","","","","","","GHP2017WCH-ST02-00128","","","","","","","","","","","","","","","","12","2","1","0","0","0","","","","","","1","0","0","0.3","0","0.3","0","","","","0","0","0","0","0","0","0.3","0.025","","0","8.333333333","","0","0","0","0","0.833333333","10","","","0.833333333","10"
"","","GHP2017WCH-ST02","","","","","","","","","GHP2017WCH-ST02-00129","","","","4.95","68.69","0","1.8","1.16","17.03","48.74","1.57","2.8","8.54","2","34.94050062","12","9","5","3","3","1","1","1","1","3","3","3","0.52","0.08","4.45","0.6","5.05","4","0.173333333","0.08","0.15","0.8","0.333333333","0.6","0.25","0.12","0.05","0.89","0.370833333","75","11.88118812","41.66666667","0.209643004","1.444444444","3.466666667","1.666666667","4","12.36111111","29.66666667","0.582341677","1.397620025","14.02777778","33.66666667"
"","","GHP2017WCH-ST02","","","","","","","","","GHP2017WCH-ST02-00130","","","","","","","","","","","","","","","","12","12","4","0","0","0","","","","","","4","0","0","3.15","0","3.15","0","","","","0","0","0","0","0","0","0.7875","0.2625","","0","33.33333333","","0","0","0","0","8.75","26.25","","","8.75","26.25"
