"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Dry weight of storage root samples measuring g|CO_331:0000247","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root dry matter content computing percent|CO_331:0000297","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2013FMS-PT03","","","","","","","","","GHP2013FMS-PT03-00019","","","","1","3.01","1.8515069","1.023201","22.3","50.3","6.93","2.97","1","0","11","14","10","14","5","4.92","1","71.42","44.33399602","2","3","6.93","7","1","4","0","0.6","5","0.6","5.6","11","","0.054545455","0.054545455","1.1","0.785714286","0","0","0.06","0.042857143","0.5","0.357142857","0","10.71428571","71.42857143","0.266003976","0","0","1.428571429","2","11.9047619","16.66666667","0.6333428","0.88667992","13.33333333","18.66666667"
"","","GHP2013FMS-PT03","","","","","","","","","GHP2013FMS-PT03-00002","","","","1","1.85","1.654543","1.081551","20.7","50.7","5.9","2.1","1","17","10","14","10","14","9","3.37","2","75.44","40.82840237","4","5","5.9","8","1","3","4","0.6","5","4.6","9.6","27","0.235294118","0.06","0.17037037","2.7","1.928571429","1.7","1.214285714","0.46","0.328571429","0.5","0.357142857","62.96296296","47.91666667","71.42857143","1.878106509","9.523809524","13.33333333","10.95238095","15.33333333","11.9047619","16.66666667","4.471682164","6.26035503","22.85714286","32"
"","","GHP2013FMS-PT03","","","","","","","","","GHP2013FMS-PT03-00020","","","","2","12.05","2.070065","1.017285","23.1","50.3","7.58","2.55","2","16","25","14","10","14","10","4.15","2","73.18","45.92445328","6","6","7.58","5","1","5","3.3","1.2","2","4.5","6.5","41","0.20625","0.048","0.109756098","4.1","2.928571429","1.6","1.142857143","0.45","0.321428571","0.2","0.142857143","39.02439024","69.23076923","71.42857143","2.066600398","7.857142857","11","10.71428571","15","4.761904762","6.666666667","4.920477137","6.888667992","15.47619048","21.66666667"
"","","GHP2013FMS-PT03","","","","","","","","","GHP2013FMS-PT03-00003","","","","1","2.79","1.730536","1.074986","20.7","50.3","6.73","2.92","2","3","11","14","10","14","6","4.58","1","71.62","41.15308151","3","4","6.73","7","1","4","0.5","0.4","6.5","0.9","7.4","14","0.166666667","0.036363636","0.064285714","1.4","1","0.3","0.214285714","0.09","0.064285714","0.65","0.464285714","21.42857143","12.16216216","71.42857143","0.370377734","1.19047619","1.666666667","2.142857143","3","15.47619048","21.66666667","0.881851747","1.234592445","17.61904762","24.66666667"
"","","GHP2013FMS-PT03","","","","","","","","","GHP2013FMS-PT03-00004","","","","2","1.92","1.643066","0.943834","18.9","51","6.36","4.32","1","8","19","14","9","14","9","2.97","1","71.3","37.05882353","3","4","6.36","7","1","4","1.2","0.8","5.5","2","7.5","27","0.15","0.042105263","0.074074074","3","1.928571429","0.888888889","0.571428571","0.222222222","0.142857143","0.611111111","0.392857143","29.62962963","26.66666667","64.28571429","0.741176471","2.857142857","4.444444444","4.761904762","7.407407407","13.0952381","20.37037037","1.764705882","2.745098039","17.85714286","27.77777778"
"","","GHP2013FMS-PT03","","","","","","","","","GHP2013FMS-PT03-00005","","","","2","7.72","1.768554","1.022567","19","50.2","8.27","2.77","2","27","15","13","10","14","10","3.57","1","71.27","37.84860558","7","8","8.27","7","1","3","10.9","0.7","6","11.6","17.6","42","0.403703704","0.046666667","0.276190476","4.2","3","2.7","1.928571429","1.16","0.828571429","0.6","0.428571429","64.28571429","65.90909091","71.42857143","4.390438247","25.95238095","36.33333333","27.61904762","38.66666667","14.28571429","20","10.4534244","14.63479416","41.9047619","58.66666667"
"","","GHP2013FMS-PT03","","","","","","","","","GHP2013FMS-PT03-00006","","","","1","33.04","2.624845","1.405417","12.5","50.3","22.26","6.36","2","29","18","12","10","14","10","4.17","2","51.55","24.85089463","6","7","7.26","6","3","4","7.6","0.7","5.5","8.3","13.8","47","0.262068966","0.038888889","0.176595745","4.7","3.357142857","2.9","2.071428571","0.83","0.592857143","0.55","0.392857143","61.70212766","60.14492754","71.42857143","2.062624254","18.0952381","25.33333333","19.76190476","27.66666667","13.0952381","18.33333333","4.91101013","6.875414182","32.85714286","46"
"","","GHP2013FMS-PT03","","","","","","","","","GHP2013FMS-PT03-00007","","","","3","8.95","1.9393851","1.066715","22.6","50.6","7.2","2.73","3","16","23","14","10","14","10","4.39","3","72.47","44.66403162","5","5","7.2","5","1","5","2.6","1","2.5","3.6","6.1","39","0.1625","0.043478261","0.092307692","3.9","2.785714286","1.6","1.142857143","0.36","0.257142857","0.25","0.178571429","41.02564103","59.01639344","71.42857143","1.607905138","6.19047619","8.666666667","8.571428571","12","5.952380952","8.333333333","3.828345567","5.359683794","14.52380952","20.33333333"
"","","GHP2013FMS-PT03","","","","","","","","","GHP2013FMS-PT03-00008","","","","2","9.11","2.1791329","1.0602781","15.7","50.9","11.2","4.16","2","15","22","12","8","14","8","4.74","2","66.8","30.84479371","6","7","11.2","6","3","5","3.5","1.2","3","4.7","7.7","37","0.233333333","0.054545455","0.127027027","4.625","2.642857143","1.875","1.071428571","0.5875","0.335714286","0.375","0.214285714","40.54054054","61.03896104","57.14285714","1.449705305","8.333333333","14.58333333","11.19047619","19.58333333","7.142857143","12.5","3.451679296","6.040438769","18.33333333","32.08333333"
"","","GHP2013FMS-PT03","","","","","","","","","GHP2013FMS-PT03-00009","","","","1","4.32","1.742824","1.076632","21.7","51","8.24","1.64","2","10","14","14","9","14","7","3.44","1","74.58","42.54901961","6","6","8.24","4","6","7","1.9","0.5","3.5","2.4","5.9","24","0.19","0.035714286","0.1","2.666666667","1.714285714","1.111111111","0.714285714","0.266666667","0.171428571","0.388888889","0.25","41.66666667","40.6779661","64.28571429","1.021176471","4.523809524","7.037037037","5.714285714","8.888888889","8.333333333","12.96296296","2.431372549","3.782135076","14.04761905","21.85185185"
