"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2013FMS-PT04","","","","","","","","","GHP2013FMS-PT04-00028","","","","3","5","15","16","14","10","14","10","6","4","6","7","2","4","1.5","3","5.5","8.5","31","0.266666667","0.09375","0.177419355","3.1","2.214285714","1.5","1.071428571","0.55","0.392857143","0.3","0.214285714","48.38709677","64.70588235","71.42857143","9.523809524","13.33333333","13.0952381","18.33333333","7.142857143","10","20.23809524","28.33333333"
"","","GHP2013FMS-PT04","","","","","","","","","GHP2013FMS-PT04-00029","","","","3","1","4","6","14","10","14","7","2","3","3","8","2","0.1","0.1","4.2","0.2","4.4","10","0.025","0.016666667","0.02","1","0.714285714","0.4","0.285714286","0.02","0.014285714","0.42","0.3","40","4.545454545","71.42857143","0.238095238","0.333333333","0.476190476","0.666666667","10","14","10.47619048","14.66666667"
"","","GHP2013FMS-PT04","","","","","","","","","GHP2013FMS-PT04-00003","","","","2","1","0","9","14","10","14","5","1","3","3","6","4","0","0.5","3.3","0.5","3.8","9","","0.055555556","0.055555556","0.9","0.642857143","0","0","0.05","0.035714286","0.33","0.235714286","0","13.15789474","71.42857143","0","0","1.19047619","1.666666667","7.857142857","11","9.047619048","12.66666667"
"","","GHP2013FMS-PT04","","","","","","","","","GHP2013FMS-PT04-00030","","","","3","3","11","7","14","9","14","8","7","4","6","7","2","4","1","3.8","5","8.8","18","0.363636364","0.142857143","0.277777778","2","1.285714286","1.222222222","0.785714286","0.555555556","0.357142857","0.422222222","0.271428571","61.11111111","56.81818182","64.28571429","9.523809524","14.81481481","11.9047619","18.51851852","9.047619048","14.07407407","20.95238095","32.59259259"
"","","GHP2013FMS-PT04","","","","","","","","","GHP2013FMS-PT04-00031","","","","3","5","32","20","14","10","14","10","7","5","7","7","2","7","1.5","3.8","8.5","12.3","52","0.21875","0.075","0.163461538","5.2","3.714285714","3.2","2.285714286","0.85","0.607142857","0.38","0.271428571","61.53846154","69.10569106","71.42857143","16.66666667","23.33333333","20.23809524","28.33333333","9.047619048","12.66666667","29.28571429","41"
"","","GHP2013FMS-PT04","","","","","","","","","GHP2013FMS-PT04-00032","","","","1","2","20","9","14","10","14","10","5","5","7","7","4","5.5","1","2","6.5","8.5","29","0.275","0.111111111","0.224137931","2.9","2.071428571","2","1.428571429","0.65","0.464285714","0.2","0.142857143","68.96551724","76.47058824","71.42857143","13.0952381","18.33333333","15.47619048","21.66666667","4.761904762","6.666666667","20.23809524","28.33333333"
"","","GHP2013FMS-PT04","","","","","","","","","GHP2013FMS-PT04-00033","","","","2","2","16","11","13","9","14","9","5","6","7","6","2","5","1.5","3.4","6.5","9.9","27","0.3125","0.136363636","0.240740741","3","1.928571429","1.777777778","1.142857143","0.722222222","0.464285714","0.377777778","0.242857143","59.25925926","65.65656566","64.28571429","11.9047619","18.51851852","15.47619048","24.07407407","8.095238095","12.59259259","23.57142857","36.66666667"
"","","GHP2013FMS-PT04","","","","","","","","","GHP2013FMS-PT04-00034","","","","4","4","16","12","14","10","14","10","4","5","8","7","2","6.5","1","6.2","7.5","13.7","28","0.40625","0.083333333","0.267857143","2.8","2","1.6","1.142857143","0.75","0.535714286","0.62","0.442857143","57.14285714","54.74452555","71.42857143","15.47619048","21.66666667","17.85714286","25","14.76190476","20.66666667","32.61904762","45.66666667"
"","","GHP2013FMS-PT04","","","","","","","","","GHP2013FMS-PT04-00035","","","","3","4","12","25","14","10","14","10","7","5","8","8","2","5","2.5","3.4","7.5","10.9","37","0.416666667","0.1","0.202702703","3.7","2.642857143","1.2","0.857142857","0.75","0.535714286","0.34","0.242857143","32.43243243","68.80733945","71.42857143","11.9047619","16.66666667","17.85714286","25","8.095238095","11.33333333","25.95238095","36.33333333"
"","","GHP2013FMS-PT04","","","","","","","","","GHP2013FMS-PT04-00036","","","","1","4","22","28","14","10","14","10","6","5","6","7","3","4","2","2.1","6","8.1","50","0.181818182","0.071428571","0.12","5","3.571428571","2.2","1.571428571","0.6","0.428571429","0.21","0.15","44","74.07407407","71.42857143","9.523809524","13.33333333","14.28571429","20","5","7","19.28571429","27"
