"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of commercial storage roots per plant harvested|CO_331:2000036","Storage roots yield in kg per plant harvested|CO_331:0000681","Vine weight in kg per plant harvested|CO_331:0000990","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant planted|CO_331:0000991","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003"
"","","GHP2018NYK-SN01","","","","","","","","","GHP2018NYK-SN01-00526","","","","4","4","4","4","5","7","0.8","0.42","1.98","1.22","3.2","12","0.16","0.06","0.101666667","3","1.25","0.305","0.495","41.66666667","38.125","6.666666667","10.16666667","16.5","26.66666667","3","1.25","0.305","0.495","100","6.666666667","10.16666667","16.5","26.66666667"
"","","GHP2018NYK-SN01","","","","","","","","","GHP2018NYK-SN01-00527","","","","4","4","4","4","8","11","1.48","0.66","3.96","2.14","6.1","19","0.185","0.06","0.112631579","4.75","2","0.535","0.99","42.10526316","35.08196721","12.33333333","17.83333333","33","50.83333333","4.75","2","0.535","0.99","100","12.33333333","17.83333333","33","50.83333333"
"","","GHP2018NYK-SN01","","","","","","","","","GHP2018NYK-SN01-00528","","","","4","4","4","4","10","7","1.86","0.44","1.32","2.3","3.62","17","0.186","0.062857143","0.135294118","4.25","2.5","0.575","0.33","58.82352941","63.5359116","15.5","19.16666667","11","30.16666667","4.25","2.5","0.575","0.33","100","15.5","19.16666667","11","30.16666667"
"","","GHP2018NYK-SN01","","","","","","","","","GHP2018NYK-SN01-00503","","","","4","4","4","2","0","","0","","0.6","","","","","","","","0","","0.15","","","0","","5","","","0","","0.15","100","0","","5",""
"","","GHP2018NYK-SN01","","","","","","","","","GHP2018NYK-SN01-00504","","","","4","4","4","2","0","","0","","0.4","","","","","","","","0","","0.1","","","0","","3.333333333","","","0","","0.1","100","0","","3.333333333",""
"","","GHP2018NYK-SN01","","","","","","","","","GHP2018NYK-SN01-00505","","","","4","4","4","2","0","","0","","1.2","","","","","","","","0","","0.3","","","0","","10","","","0","","0.3","100","0","","10",""
"","","GHP2018NYK-SN01","","","","","","","","","GHP2018NYK-SN01-00506","","","","4","4","3","2","0","","0","","0.5","","","","","","","","0","","0.166666667","","","0","","5.555555556","","","0","","0.125","75","0","","4.166666667",""
"","","GHP2018NYK-SN01","","","","","","","","","GHP2018NYK-SN01-00507","","","","4","4","4","0","0","0","0","0","1.2","0","1.2","0","","","","0","0","0","0.3","","0","0","0","10","10","0","0","0","0.3","100","0","0","10","10"
"","","GHP2018NYK-SN01","","","","","","","","","GHP2018NYK-SN01-00508","","","","4","4","4","2","0","","0","","0.6","","","","","","","","0","","0.15","","","0","","5","","","0","","0.15","100","0","","5",""
"","","GHP2018NYK-SN01","","","","","","","","","GHP2018NYK-SN01-00509","","","","4","3","3","2","0","","0","","0.3","","","","","","","","0","","0.1","","","0","","3.333333333","","","0","","0.075","75","0","","2.5",""
