"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Biomass yield in tons per ha|CO_331:0001003","Total foliage yield in tons per ha|CO_331:0000684","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Percentage of commercial storage root|CO_331:0000682","Commercial storage root yield tons per ha|CO_331:0000809","Storage root size estimating 1-9|CO_331:0000184","Number of storage roots after harvest per NET plot|CO_331:0000233","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Total storage root weight per NET plot in kg|CO_331:0000237","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage roots yield computation tons per ha|CO_331:0000296","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2018NYK-AT02","","","","","","","","","GHP2018NYK-AT02-00028","","","","1","","37.88888889","1","0","","26","30","26","1","7","","0","9","","","","3","3","0","","34.1","","","","","","","0","0","","","1.311538462","1.136666667","","86.66666667","0","","43.71794872",""
"","","GHP2018NYK-AT02","","","","","","","","","GHP2018NYK-AT02-00029","","","","3","36.16666667","28.43333333","1","31","6","24","30","24","1","5","83.78378378","7.577777778","3","37","1.541666667","6.96","4","3","6.82","0.14","25.59","7.733333333","32.55","0.22","0.023333333","0.188108108","1.233333333","1.291666667","1.033333333","0.29","0.232","1.06625","0.853","21.38248848","80","9.472222222","9.666666667","35.54166667","45.20833333"
"","","GHP2018NYK-AT02","","","","","","","","","GHP2018NYK-AT02-00003","","","","1","27.08888889","18.24444444","1","32","14","24","30","24","3","1","69.56521739","8.111111111","3","46","1.916666667","7.96","6","1","7.3","0.66","16.42","8.844444444","24.38","0.228125","0.047142857","0.173043478","1.533333333","1.333333333","1.066666667","0.331666667","0.265333333","0.684166667","0.547333333","32.64971288","80","10.13888889","11.05555556","22.80555556","33.86111111"
"","","GHP2018NYK-AT02","","","","","","","","","GHP2018NYK-AT02-00030","","","","1","31.71111111","22.62222222","1","34","32","26","30","26","1","1","51.51515152","7.644444444","3","66","2.538461538","8.18","3","3","6.88","1.3","20.36","9.088888889","28.54","0.202352941","0.040625","0.123939394","2.2","1.307692308","1.133333333","0.314615385","0.272666667","0.783076923","0.678666667","28.66152768","86.66666667","8.820512821","10.48717949","26.1025641","36.58974359"
"","","GHP2018NYK-AT02","","","","","","","","","GHP2018NYK-AT02-00004","","","","1","32.27777778","17.31111111","1","45","36","27","30","18","3","3","55.55555556","11.73333333","3","81","3","13.47","4","2","10.56","2.91","15.58","14.96666667","29.05","0.234666667","0.080833333","0.166296296","2.7","1.666666667","1.5","0.498888889","0.449","0.577037037","0.519333333","46.36833046","90","13.03703704","16.62962963","19.2345679","35.86419753"
"","","GHP2018NYK-AT02","","","","","","","","","GHP2018NYK-AT02-00005","","","","1","21.64444444","15.91111111","1","23","13","25","30","25","1","3","63.88888889","5.2","3","36","1.44","5.16","4","2","4.68","0.48","14.32","5.733333333","19.48","0.203478261","0.036923077","0.143333333","1.2","0.92","0.766666667","0.2064","0.172","0.5728","0.477333333","26.48870637","83.33333333","6.24","6.88","19.09333333","25.97333333"
"","","GHP2018NYK-AT02","","","","","","","","","GHP2018NYK-AT02-00006","","","","1","16.97777778","8.533333333","1","31","26","14","30","14","1","5","54.38596491","7.266666667","3","57","4.071428571","7.6","4","2","6.54","1.06","7.68","8.444444444","15.28","0.210967742","0.040769231","0.133333333","1.9","2.214285714","1.033333333","0.542857143","0.253333333","0.548571429","0.256","49.7382199","46.66666667","15.57142857","18.0952381","18.28571429","36.38095238"
"","","GHP2018NYK-AT02","","","","","","","","","GHP2018NYK-AT02-00007","","","","1","15.18888889","3.022222222","1","46","28","26","30","2","1","5","62.16216216","11","3","74","2.846153846","10.95","4","2","9.9","1.05","2.72","12.16666667","13.67","0.215217391","0.0375","0.147972973","2.466666667","1.769230769","1.533333333","0.421153846","0.365","0.104615385","0.090666667","80.10241405","86.66666667","12.69230769","14.03846154","3.487179487","17.52564103"
"","","GHP2018NYK-AT02","","","","","","","","","GHP2018NYK-AT02-00008","","","","1","4.533333333","3.577777778","1","3","13","22","30","22","1","7","18.75","0.377777778","9","16","0.727272727","0.86","3","3","0.34","0.52","3.22","0.955555556","4.08","0.113333333","0.04","0.05375","0.533333333","0.136363636","0.1","0.039090909","0.028666667","0.146363636","0.107333333","21.07843137","73.33333333","0.515151515","1.303030303","4.878787879","6.181818182"
"","","GHP2018NYK-AT02","","","","","","","","","GHP2018NYK-AT02-00009","","","","1","17.93333333","5.244444444","1","47","22","21","30","21","1","3","68.11594203","11.42222222","3","69","3.285714286","11.42","5","2","10.28","1.14","4.72","12.68888889","16.14","0.218723404","0.051818182","0.165507246","2.3","2.238095238","1.566666667","0.543809524","0.380666667","0.224761905","0.157333333","70.755886","70","16.31746032","18.12698413","7.492063492","25.61904762"
