"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2018FMS-SN02","","","","","","","","","GHP2018FMS-SN02-00113","","","","5","4","4","8","0","0.49","0","3.2","0.49","3.69","8","0.06125","","0.06125","2","1.6","2","1.6","0.1225","0.098","0.8","0.64","100","13.27913279","80","3.266666667","4.083333333","3.266666667","4.083333333","21.33333333","26.66666667","24.6","30.75"
"","","GHP2018FMS-SN02","","","","","","","","","GHP2018FMS-SN02-00114","","","","5","2","2","3","5","0.55","0.22","1.4","0.77","2.17","8","0.183333333","0.044","0.09625","4","1.6","1.5","0.6","0.385","0.154","0.7","0.28","37.5","35.48387097","40","3.666666667","9.166666667","5.133333333","12.83333333","9.333333333","23.33333333","14.46666667","36.16666667"
"","","GHP2018FMS-SN02","","","","","","","","","GHP2018FMS-SN02-00115","","","","5","5","5","5","1","0.92","0.1","0.4","1.02","1.42","6","0.184","0.1","0.17","1.2","1.2","1","1","0.204","0.204","0.08","0.08","83.33333333","71.83098592","100","6.133333333","6.133333333","6.8","6.8","2.666666667","2.666666667","9.466666667","9.466666667"
"","","GHP2018FMS-SN02","","","","","","","","","GHP2018FMS-SN02-00116","","","","5","3","3","7","3","0.97","0.08","3","1.05","4.05","10","0.138571429","0.026666667","0.105","3.333333333","2","2.333333333","1.4","0.35","0.21","1","0.6","70","25.92592593","60","6.466666667","10.77777778","7","11.66666667","20","33.33333333","27","45"
"","","GHP2018FMS-SN02","","","","","","","","","GHP2018FMS-SN02-00117","","","","5","4","3","7","7","0.46","0.08","4","0.54","4.54","14","0.065714286","0.011428571","0.038571429","3.5","2.8","1.75","1.4","0.135","0.108","1","0.8","50","11.89427313","80","3.066666667","3.833333333","3.6","4.5","26.66666667","33.33333333","30.26666667","37.83333333"
"","","GHP2018FMS-SN02","","","","","","","","","GHP2018FMS-SN02-00118","","","","5","3","1","1","0","0.1","0","0.8","0.1","0.9","1","0.1","","0.1","0.333333333","0.2","0.333333333","0.2","0.033333333","0.02","0.266666667","0.16","100","11.11111111","60","0.666666667","1.111111111","0.666666667","1.111111111","5.333333333","8.888888889","6","10"
"","","GHP2018FMS-SN02","","","","","","","","","GHP2018FMS-SN02-00119","","","","5","3","2","3","0","0.46","0","1.5","0.46","1.96","3","0.153333333","","0.153333333","1","0.6","1","0.6","0.153333333","0.092","0.5","0.3","100","23.46938776","60","3.066666667","5.111111111","3.066666667","5.111111111","10","16.66666667","13.06666667","21.77777778"
"","","GHP2018FMS-SN02","","","","","","","","","GHP2018FMS-SN02-00120","","","","5","4","2","1","1","0.16","0.1","0.8","0.26","1.06","2","0.16","0.1","0.13","0.5","0.4","0.25","0.2","0.065","0.052","0.2","0.16","50","24.52830189","80","1.066666667","1.333333333","1.733333333","2.166666667","5.333333333","6.666666667","7.066666667","8.833333333"
"","","GHP2018FMS-SN02","","","","","","","","","GHP2018FMS-SN02-00121","","","","5","4","2","3","0","0.3","0","0.4","0.3","0.7","3","0.1","","0.1","0.75","0.6","0.75","0.6","0.075","0.06","0.1","0.08","100","42.85714286","80","2","2.5","2","2.5","2.666666667","3.333333333","4.666666667","5.833333333"
"","","GHP2018FMS-SN02","","","","","","","","","GHP2018FMS-SN02-00122","","","","5","2","1","3","0","0.28","0","2","0.28","2.28","3","0.093333333","","0.093333333","1.5","0.6","1.5","0.6","0.14","0.056","1","0.4","100","12.28070175","40","1.866666667","4.666666667","1.866666667","4.666666667","13.33333333","33.33333333","15.2","38"
"","","GHP2018FMS-SN02","","","","","","","","","GHP2018FMS-SN02-00123","","","","5","5","4","4","1","1.54","0.2","3","1.74","4.74","5","0.385","0.2","0.348","1","1","0.8","0.8","0.348","0.348","0.6","0.6","80","36.70886076","100","10.26666667","10.26666667","11.6","11.6","20","20","31.6","31.6"
"","","GHP2018FMS-SN02","","","","","","","","","GHP2018FMS-SN02-00124","","","","5","4","4","5","0","1.16","0","1.5","1.16","2.66","5","0.232","","0.232","1.25","1","1.25","1","0.29","0.232","0.375","0.3","100","43.60902256","80","7.733333333","9.666666667","7.733333333","9.666666667","10","12.5","17.73333333","22.16666667"
"","","GHP2018FMS-SN02","","","","","","","","","GHP2018FMS-SN02-00125","","","","5","5","5","10","6","0.96","0.46","0.5","1.42","1.92","16","0.096","0.076666667","0.08875","3.2","3.2","2","2","0.284","0.284","0.1","0.1","62.5","73.95833333","100","6.4","6.4","9.466666667","9.466666667","3.333333333","3.333333333","12.8","12.8"
"","","GHP2018FMS-SN02","","","","","","","","","GHP2018FMS-SN02-00126","","","","5","3","3","5","4","0.98","0.08","3.1","1.06","4.16","9","0.196","0.02","0.117777778","3","1.8","1.666666667","1","0.353333333","0.212","1.033333333","0.62","55.55555556","25.48076923","60","6.533333333","10.88888889","7.066666667","11.77777778","20.66666667","34.44444444","27.73333333","46.22222222"
"","","GHP2018FMS-SN02","","","","","","","","","GHP2018FMS-SN02-00127","","","","5","3","1","3","0","0.38","0","4","0.38","4.38","3","0.126666667","","0.126666667","1","0.6","1","0.6","0.126666667","0.076","1.333333333","0.8","100","8.675799087","60","2.533333333","4.222222222","2.533333333","4.222222222","26.66666667","44.44444444","29.2","48.66666667"
"","","GHP2018FMS-SN02","","","","","","","","","GHP2018FMS-SN02-00128","","","","5","4","1","5","3","0.38","0.04","1.5","0.42","1.92","8","0.076","0.013333333","0.0525","2","1.6","1.25","1","0.105","0.084","0.375","0.3","62.5","21.875","80","2.533333333","3.166666667","2.8","3.5","10","12.5","12.8","16"
"","","GHP2018FMS-SN02","","","","","","","","","GHP2018FMS-SN02-00129","","","","5","5","4","6","2","1.22","0.04","0.6","1.26","1.86","8","0.203333333","0.02","0.1575","1.6","1.6","1.2","1.2","0.252","0.252","0.12","0.12","75","67.74193548","100","8.133333333","8.133333333","8.4","8.4","4","4","12.4","12.4"
"","","GHP2018FMS-SN02","","","","","","","","","GHP2018FMS-SN02-00130","","","","5","5","3","2","0","0.46","0","2.3","0.46","2.76","2","0.23","","0.23","0.4","0.4","0.4","0.4","0.092","0.092","0.46","0.46","100","16.66666667","100","3.066666667","3.066666667","3.066666667","3.066666667","15.33333333","15.33333333","18.4","18.4"
"","","GHP2018FMS-SN02","","","","","","","","","GHP2018FMS-SN02-00131","","","","5","5","5","10","7","1.47","0.24","3.1","1.71","4.81","17","0.147","0.034285714","0.100588235","3.4","3.4","2","2","0.342","0.342","0.62","0.62","58.82352941","35.55093555","100","9.8","9.8","11.4","11.4","20.66666667","20.66666667","32.06666667","32.06666667"
"","","GHP2018FMS-SN02","","","","","","","","","GHP2018FMS-SN02-00132","","","","5","1","0","0","0","0","0","0.4","0","0.4","0","","","","0","0","0","0","0","0","0.4","0.08","","0","20","0","0","0","0","2.666666667","13.33333333","2.666666667","13.33333333"
"","","GHP2018FMS-SN02","","","","","","","","","GHP2018FMS-SN02-00133","","","","5","2","2","2","0","0.22","0","2.2","0.22","2.42","2","0.11","","0.11","1","0.4","1","0.4","0.11","0.044","1.1","0.44","100","9.090909091","40","1.466666667","3.666666667","1.466666667","3.666666667","14.66666667","36.66666667","16.13333333","40.33333333"
"","","GHP2018FMS-SN02","","","","","","","","","GHP2018FMS-SN02-00134","","","","5","4","3","5","3","1.04","0.1","0.5","1.14","1.64","8","0.208","0.033333333","0.1425","2","1.6","1.25","1","0.285","0.228","0.125","0.1","62.5","69.51219512","80","6.933333333","8.666666667","7.6","9.5","3.333333333","4.166666667","10.93333333","13.66666667"
"","","GHP2018FMS-SN02","","","","","","","","","GHP2018FMS-SN02-00135","","","","5","3","2","4","0","0.86","0","0.8","0.86","1.66","4","0.215","","0.215","1.333333333","0.8","1.333333333","0.8","0.286666667","0.172","0.266666667","0.16","100","51.80722892","60","5.733333333","9.555555556","5.733333333","9.555555556","5.333333333","8.888888889","11.06666667","18.44444444"
"","","GHP2018FMS-SN02","","","","","","","","","GHP2018FMS-SN02-00136","","","","5","2","1","3","3","0.16","0.01","0.3","0.17","0.47","6","0.053333333","0.003333333","0.028333333","3","1.2","1.5","0.6","0.085","0.034","0.15","0.06","50","36.17021277","40","1.066666667","2.666666667","1.133333333","2.833333333","2","5","3.133333333","7.833333333"
"","","GHP2018FMS-SN02","","","","","","","","","GHP2018FMS-SN02-00137","","","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2018FMS-SN02","","","","","","","","","GHP2018FMS-SN02-00201","","","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2018FMS-SN02","","","","","","","","","GHP2018FMS-SN02-00202","","","","5","5","4","4","5","0.1","0.03","0.4","0.13","0.53","9","0.025","0.006","0.014444444","1.8","1.8","0.8","0.8","0.026","0.026","0.08","0.08","44.44444444","24.52830189","100","0.666666667","0.666666667","0.866666667","0.866666667","2.666666667","2.666666667","3.533333333","3.533333333"
"","","GHP2018FMS-SN02","","","","","","","","","GHP2018FMS-SN02-00203","","","","5","5","4","13","1","3","0.01","3","3.01","6.01","14","0.230769231","0.01","0.215","2.8","2.8","2.6","2.6","0.602","0.602","0.6","0.6","92.85714286","50.08319468","100","20","20","20.06666667","20.06666667","20","20","40.06666667","40.06666667"
"","","GHP2018FMS-SN02","","","","","","","","","GHP2018FMS-SN02-00204","","","","5","5","3","3","0","2.76","0","0.3","2.76","3.06","3","0.92","","0.92","0.6","0.6","0.6","0.6","0.552","0.552","0.06","0.06","100","90.19607843","100","18.4","18.4","18.4","18.4","2","2","20.4","20.4"
"","","GHP2018FMS-SN02","","","","","","","","","GHP2018FMS-SN02-00205","","","","5","4","3","9","3","4.02","0.12","0.4","4.14","4.54","12","0.446666667","0.04","0.345","3","2.4","2.25","1.8","1.035","0.828","0.1","0.08","75","91.18942731","80","26.8","33.5","27.6","34.5","2.666666667","3.333333333","30.26666667","37.83333333"
"","","GHP2018FMS-SN02","","","","","","","","","GHP2018FMS-SN02-00206","","","","5","5","4","10","1","4.16","0.01","1.2","4.17","5.37","11","0.416","0.01","0.379090909","2.2","2.2","2","2","0.834","0.834","0.24","0.24","90.90909091","77.65363128","100","27.73333333","27.73333333","27.8","27.8","8","8","35.8","35.8"
"","","GHP2018FMS-SN02","","","","","","","","","GHP2018FMS-SN02-00207","","","","5","5","4","6","4","1.4","0.12","2.3","1.52","3.82","10","0.233333333","0.03","0.152","2","2","1.2","1.2","0.304","0.304","0.46","0.46","60","39.79057592","100","9.333333333","9.333333333","10.13333333","10.13333333","15.33333333","15.33333333","25.46666667","25.46666667"
"","","GHP2018FMS-SN02","","","","","","","","","GHP2018FMS-SN02-00208","","","","5","5","5","10","5","1.78","0.16","0.4","1.94","2.34","15","0.178","0.032","0.129333333","3","3","2","2","0.388","0.388","0.08","0.08","66.66666667","82.90598291","100","11.86666667","11.86666667","12.93333333","12.93333333","2.666666667","2.666666667","15.6","15.6"
"","","GHP2018FMS-SN02","","","","","","","","","GHP2018FMS-SN02-00209","","","","5","4","4","6","3","1.4","0.06","3","1.46","4.46","9","0.233333333","0.02","0.162222222","2.25","1.8","1.5","1.2","0.365","0.292","0.75","0.6","66.66666667","32.73542601","80","9.333333333","11.66666667","9.733333333","12.16666667","20","25","29.73333333","37.16666667"
"","","GHP2018FMS-SN02","","","","","","","","","GHP2018FMS-SN02-00210","","","","5","4","4","9","6","1.18","0.22","0.4","1.4","1.8","15","0.131111111","0.036666667","0.093333333","3.75","3","2.25","1.8","0.35","0.28","0.1","0.08","60","77.77777778","80","7.866666667","9.833333333","9.333333333","11.66666667","2.666666667","3.333333333","12","15"
"","","GHP2018FMS-SN02","","","","","","","","","GHP2018FMS-SN02-00211","","","","5","3","3","5","1","1.56","0.02","2","1.58","3.58","6","0.312","0.02","0.263333333","2","1.2","1.666666667","1","0.526666667","0.316","0.666666667","0.4","83.33333333","44.13407821","60","10.4","17.33333333","10.53333333","17.55555556","13.33333333","22.22222222","23.86666667","39.77777778"
"","","GHP2018FMS-SN02","","","","","","","","","GHP2018FMS-SN02-00212","","","","5","5","4","10","1","1.34","0.01","0.4","1.35","1.75","11","0.134","0.01","0.122727273","2.2","2.2","2","2","0.27","0.27","0.08","0.08","90.90909091","77.14285714","100","8.933333333","8.933333333","9","9","2.666666667","2.666666667","11.66666667","11.66666667"
"","","GHP2018FMS-SN02","","","","","","","","","GHP2018FMS-SN02-00213","","","","5","5","5","9","1","1.56","0.01","5","1.57","6.57","10","0.173333333","0.01","0.157","2","2","1.8","1.8","0.314","0.314","1","1","90","23.89649924","100","10.4","10.4","10.46666667","10.46666667","33.33333333","33.33333333","43.8","43.8"
"","","GHP2018FMS-SN02","","","","","","","","","GHP2018FMS-SN02-00214","","","","5","4","4","5","0","1.02","0","0.3","1.02","1.32","5","0.204","","0.204","1.25","1","1.25","1","0.255","0.204","0.075","0.06","100","77.27272727","80","6.8","8.5","6.8","8.5","2","2.5","8.8","11"
"","","GHP2018FMS-SN02","","","","","","","","","GHP2018FMS-SN02-00215","","","","5","3","1","1","0","0.1","0","2.2","0.1","2.3","1","0.1","","0.1","0.333333333","0.2","0.333333333","0.2","0.033333333","0.02","0.733333333","0.44","100","4.347826087","60","0.666666667","1.111111111","0.666666667","1.111111111","14.66666667","24.44444444","15.33333333","25.55555556"
"","","GHP2018FMS-SN02","","","","","","","","","GHP2018FMS-SN02-00216","","","","5","5","5","7","3","0.9","0.08","5","0.98","5.98","10","0.128571429","0.026666667","0.098","2","2","1.4","1.4","0.196","0.196","1","1","70","16.38795987","100","6","6","6.533333333","6.533333333","33.33333333","33.33333333","39.86666667","39.86666667"
"","","GHP2018FMS-SN02","","","","","","","","","GHP2018FMS-SN02-00217","","","","5","5","5","12","4","2.22","0.1","3.2","2.32","5.52","16","0.185","0.025","0.145","3.2","3.2","2.4","2.4","0.464","0.464","0.64","0.64","75","42.02898551","100","14.8","14.8","15.46666667","15.46666667","21.33333333","21.33333333","36.8","36.8"
"","","GHP2018FMS-SN02","","","","","","","","","GHP2018FMS-SN02-00218","","","","5","4","4","8","0","1.44","0","0.5","1.44","1.94","8","0.18","","0.18","2","1.6","2","1.6","0.36","0.288","0.125","0.1","100","74.22680412","80","9.6","12","9.6","12","3.333333333","4.166666667","12.93333333","16.16666667"
"","","GHP2018FMS-SN02","","","","","","","","","GHP2018FMS-SN02-00219","","","","5","4","1","4","0","0.18","0","0.4","0.18","0.58","4","0.045","","0.045","1","0.8","1","0.8","0.045","0.036","0.1","0.08","100","31.03448276","80","1.2","1.5","1.2","1.5","2.666666667","3.333333333","3.866666667","4.833333333"
"","","GHP2018FMS-SN02","","","","","","","","","GHP2018FMS-SN02-00220","","","","5","4","4","6","0","1.92","0","2","1.92","3.92","6","0.32","","0.32","1.5","1.2","1.5","1.2","0.48","0.384","0.5","0.4","100","48.97959184","80","12.8","16","12.8","16","13.33333333","16.66666667","26.13333333","32.66666667"
"","","GHP2018FMS-SN02","","","","","","","","","GHP2018FMS-SN02-00221","","","","5","5","5","15","0","2.6","0","0.4","2.6","3","15","0.173333333","","0.173333333","3","3","3","3","0.52","0.52","0.08","0.08","100","86.66666667","100","17.33333333","17.33333333","17.33333333","17.33333333","2.666666667","2.666666667","20","20"
"","","GHP2018FMS-SN02","","","","","","","","","GHP2018FMS-SN02-00222","","","","5","5","1","1","0","0.81","0","4.1","0.81","4.91","1","0.81","","0.81","0.2","0.2","0.2","0.2","0.162","0.162","0.82","0.82","100","16.49694501","100","5.4","5.4","5.4","5.4","27.33333333","27.33333333","32.73333333","32.73333333"
"","","GHP2018FMS-SN02","","","","","","","","","GHP2018FMS-SN02-00223","","","","5","4","4","7","7","1.23","0.12","1.5","1.35","2.85","14","0.175714286","0.017142857","0.096428571","3.5","2.8","1.75","1.4","0.3375","0.27","0.375","0.3","50","47.36842105","80","8.2","10.25","9","11.25","10","12.5","19","23.75"
"","","GHP2018FMS-SN02","","","","","","","","","GHP2018FMS-SN02-00224","","","","5","4","4","8","0","2.21","0","5","2.21","7.21","8","0.27625","","0.27625","2","1.6","2","1.6","0.5525","0.442","1.25","1","100","30.6518724","80","14.73333333","18.41666667","14.73333333","18.41666667","33.33333333","41.66666667","48.06666667","60.08333333"
"","","GHP2018FMS-SN02","","","","","","","","","GHP2018FMS-SN02-00225","","","","5","4","3","14","0","5.16","0","0.8","5.16","5.96","14","0.368571429","","0.368571429","3.5","2.8","3.5","2.8","1.29","1.032","0.2","0.16","100","86.57718121","80","34.4","43","34.4","43","5.333333333","6.666666667","39.73333333","49.66666667"
"","","GHP2018FMS-SN02","","","","","","","","","GHP2018FMS-SN02-00226","","","","5","4","3","7","1","0.86","0.01","0.4","0.87","1.27","8","0.122857143","0.01","0.10875","2","1.6","1.75","1.4","0.2175","0.174","0.1","0.08","87.5","68.50393701","80","5.733333333","7.166666667","5.8","7.25","2.666666667","3.333333333","8.466666667","10.58333333"
"","","GHP2018FMS-SN02","","","","","","","","","GHP2018FMS-SN02-00227","","","","5","4","4","7","3","1.28","0.08","2.2","1.36","3.56","10","0.182857143","0.026666667","0.136","2.5","2","1.75","1.4","0.34","0.272","0.55","0.44","70","38.20224719","80","8.533333333","10.66666667","9.066666667","11.33333333","14.66666667","18.33333333","23.73333333","29.66666667"
"","","GHP2018FMS-SN02","","","","","","","","","GHP2018FMS-SN02-00228","","","","5","4","4","10","9","1.52","0.26","3","1.78","4.78","19","0.152","0.028888889","0.093684211","4.75","3.8","2.5","2","0.445","0.356","0.75","0.6","52.63157895","37.23849372","80","10.13333333","12.66666667","11.86666667","14.83333333","20","25","31.86666667","39.83333333"
"","","GHP2018FMS-SN02","","","","","","","","","GHP2018FMS-SN02-00229","","","","5","3","2","4","0","0.6","0","0.04","0.6","0.64","4","0.15","","0.15","1.333333333","0.8","1.333333333","0.8","0.2","0.12","0.013333333","0.008","100","93.75","60","4","6.666666667","4","6.666666667","0.266666667","0.444444444","4.266666667","7.111111111"
"","","GHP2018FMS-SN02","","","","","","","","","GHP2018FMS-SN02-00230","","","","5","5","4","6","17","0.12","0.2","4.1","0.32","4.42","23","0.02","0.011764706","0.013913043","4.6","4.6","1.2","1.2","0.064","0.064","0.82","0.82","26.08695652","7.239819005","100","0.8","0.8","2.133333333","2.133333333","27.33333333","27.33333333","29.46666667","29.46666667"
"","","GHP2018FMS-SN02","","","","","","","","","GHP2018FMS-SN02-00231","","","","5","5","5","7","2","0.38","0.18","2.4","0.56","2.96","9","0.054285714","0.09","0.062222222","1.8","1.8","1.4","1.4","0.112","0.112","0.48","0.48","77.77777778","18.91891892","100","2.533333333","2.533333333","3.733333333","3.733333333","16","16","19.73333333","19.73333333"
"","","GHP2018FMS-SN02","","","","","","","","","GHP2018FMS-SN02-00232","","","","5","4","4","5","0","0.72","0","0.6","0.72","1.32","5","0.144","","0.144","1.25","1","1.25","1","0.18","0.144","0.15","0.12","100","54.54545455","80","4.8","6","4.8","6","4","5","8.8","11"
"","","GHP2018FMS-SN02","","","","","","","","","GHP2018FMS-SN02-00233","","","","5","3","3","6","4","2.12","0.12","3.1","2.24","5.34","10","0.353333333","0.03","0.224","3.333333333","2","2","1.2","0.746666667","0.448","1.033333333","0.62","60","41.94756554","60","14.13333333","23.55555556","14.93333333","24.88888889","20.66666667","34.44444444","35.6","59.33333333"
"","","GHP2018FMS-SN02","","","","","","","","","GHP2018FMS-SN02-00234","","","","5","4","3","8","0","2.54","0","0.4","2.54","2.94","8","0.3175","","0.3175","2","1.6","2","1.6","0.635","0.508","0.1","0.08","100","86.39455782","80","16.93333333","21.16666667","16.93333333","21.16666667","2.666666667","3.333333333","19.6","24.5"
"","","GHP2018FMS-SN02","","","","","","","","","GHP2018FMS-SN02-00235","","","","5","4","3","4","3","1.22","0.1","0.3","1.32","1.62","7","0.305","0.033333333","0.188571429","1.75","1.4","1","0.8","0.33","0.264","0.075","0.06","57.14285714","81.48148148","80","8.133333333","10.16666667","8.8","11","2","2.5","10.8","13.5"
"","","GHP2018FMS-SN02","","","","","","","","","GHP2018FMS-SN02-00236","","","","5","3","2","0","3","0","0.1","0.3","0.1","0.4","3","","0.033333333","0.033333333","1","0.6","0","0","0.033333333","0.02","0.1","0.06","0","25","60","0","0","0.666666667","1.111111111","2","3.333333333","2.666666667","4.444444444"
