"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Dry weight of storage root samples measuring g|CO_331:0000247","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2013KPV-AT01","","","","","","","","","GHP2013KPV-AT01-00019","","","","3","18.3","50.9","0.354401","2.1199369","1","1","26","34","28","34","8","5","1","66.6971054","2","1","1","0.2","1","16.5","1.2","17.7","27","0.2","0.038461538","0.044444444","0.964285714","0.794117647","0.035714286","0.029411765","0.042857143","0.035294118","0.589285714","0.485294118","3.703703704","6.779661017","82.35294118","35.95284872","0.431434185","0.196078431","0.238095238","1.176470588","1.428571429","16.17647059","19.64285714","0.422974691","0.513612125","17.35294118","21.07142857"
"","","GHP2013KPV-AT01","","","","","","","","","GHP2013KPV-AT01-00002","","","","3","19.7","50.8","0.668554","2.4779651","1","11","42","34","27","34","25","4","1","66.7512741","4","3","3","1.4","2","12.6","3.4","16","53","0.127272727","0.047619048","0.064150943","1.962962963","1.558823529","0.407407407","0.323529412","0.125925926","0.1","0.466666667","0.370588235","20.75471698","21.25","79.41176471","38.77952756","1.318503937","1.37254902","1.728395062","3.333333333","4.197530864","12.35294118","15.55555556","1.292650919","1.627782638","15.68627451","19.75308642"
"","","GHP2013KPV-AT01","","","","","","","","","GHP2013KPV-AT01-00020","","","","3","19.9","50.8","0.51688","0.968012","1","18","26","32","21","34","19","1","1","70.2211456","6","4","4","3.8","1.6","11.5","5.4","16.9","44","0.211111111","0.061538462","0.122727273","2.095238095","1.294117647","0.857142857","0.529411765","0.257142857","0.158823529","0.547619048","0.338235294","40.90909091","31.95266272","61.76470588","39.17322835","2.115354331","3.725490196","6.031746032","5.294117647","8.571428571","11.2745098","18.25396825","2.073876795","3.357705287","16.56862745","26.82539683"
"","","GHP2013KPV-AT01","","","","","","","","","GHP2013KPV-AT01-00021","","","","2","17.3","50.2","0.808559","2.7188971","1","38","50","34","25","34","25","5","2","65.6831055","6","3","3","7.1","3.4","11.6","10.5","22.1","88","0.186842105","0.068","0.119318182","3.52","2.588235294","1.52","1.117647059","0.42","0.308823529","0.464","0.341176471","43.18181818","47.51131222","73.52941176","34.46215139","3.618525896","6.960784314","9.466666667","10.29411765","14","11.37254902","15.46666667","3.547574408","4.824701195","21.66666667","29.46666667"
"","","GHP2013KPV-AT01","","","","","","","","","GHP2013KPV-AT01-00003","","","","3","17.1","50.1","0.649845","1.969025","1","42","46","34","28","34","28","6","1","63.2183495","6","4","4","7.6","2.8","11.2","10.4","21.6","88","0.180952381","0.060869565","0.118181818","3.142857143","2.588235294","1.5","1.235294118","0.371428571","0.305882353","0.4","0.329411765","47.72727273","48.14814815","82.35294118","34.13173653","3.549700599","7.450980392","9.047619048","10.19607843","12.38095238","10.98039216","13.33333333","3.480098626","4.225834046","21.17647059","25.71428571"
"","","GHP2013KPV-AT01","","","","","","","","","GHP2013KPV-AT01-00004","","","","2","19.7","50.6","0.693235","2.4677479","1","30","10","33","24","34","24","3","2","67.5693359","6","4","4","6.5","0.6","8","7.1","15.1","40","0.216666667","0.06","0.1775","1.666666667","1.176470588","1.25","0.882352941","0.295833333","0.208823529","0.333333333","0.235294118","75","47.01986755","70.58823529","38.93280632","2.764229249","6.37254902","9.027777778","6.960784314","9.861111111","7.843137255","11.11111111","2.710028676","3.83920729","14.80392157","20.97222222"
"","","GHP2013KPV-AT01","","","","","","","","","GHP2013KPV-AT01-00005","","","","3","17.5","50.6","0.678359","2.4271381","1","13","18","34","29","34","28","4","1","62.2514458","2","1","1","1.1","0.5","13.5","1.6","15.1","31","0.084615385","0.027777778","0.051612903","1.068965517","0.911764706","0.448275862","0.382352941","0.055172414","0.047058824","0.465517241","0.397058824","41.93548387","10.59602649","85.29411765","34.58498024","0.553359684","1.078431373","1.264367816","1.568627451","1.83908046","13.23529412","15.51724138","0.542509494","0.636045614","14.80392157","17.35632184"
"","","GHP2013KPV-AT01","","","","","","","","","GHP2013KPV-AT01-00006","","","","2","18.2","50.5","0.708555","2.5863991","1","50","57","34","29","34","29","5","2","67.8053741","5","2","1","6.4","2.3","10","8.7","18.7","107","0.128","0.040350877","0.081308411","3.689655172","3.147058824","1.724137931","1.470588235","0.3","0.255882353","0.344827586","0.294117647","46.72897196","46.52406417","85.29411765","36.03960396","3.135445545","6.274509804","7.356321839","8.529411765","10","9.803921569","11.49425287","3.07396622","3.603960396","18.33333333","21.49425287"
"","","GHP2013KPV-AT01","","","","","","","","","GHP2013KPV-AT01-00007","","","","3","21.1","50.4","0.062982","1.8129981","1","31","28","32","25","34","23","5","3","71.4130096","5","5","5","4.6","1.3","7.2","5.9","13.1","59","0.148387097","0.046428571","0.1","2.36","1.735294118","1.24","0.911764706","0.236","0.173529412","0.288","0.211764706","52.54237288","45.03816794","73.52941176","41.86507937","2.470039683","4.509803922","6.133333333","5.784313725","7.866666667","7.058823529","9.6","2.421607532","3.293386243","12.84313725","17.46666667"
"","","GHP2013KPV-AT01","","","","","","","","","GHP2013KPV-AT01-00008","","","","2","17.5","50.6","1.002437","2.867492","1","81","30","34","30","34","30","5","2","66.7375107","6","2","2","12","2","16.2","14","30.2","111","0.148148148","0.066666667","0.126126126","3.7","3.264705882","2.7","2.382352941","0.466666667","0.411764706","0.54","0.476470588","72.97297297","46.35761589","88.23529412","34.58498024","4.841897233","11.76470588","13.33333333","13.7254902","15.55555556","15.88235294","18","4.746958072","5.379885815","29.60784314","33.55555556"
"","","GHP2013KPV-AT01","","","","","","","","","GHP2013KPV-AT01-00009","","","","3","18.6","50.2","0.622026","2.2743001","1","0","33","34","29","34","29","4","1","65.4541245","2","1","1","0","1.2","18.5","1.2","19.7","33","","0.036363636","0.036363636","1.137931034","0.970588235","0","0","0.04137931","0.035294118","0.637931034","0.544117647","0","6.091370558","85.29411765","37.05179283","0.444621514","0","0","1.176470588","1.379310345","18.1372549","21.26436782","0.435903445","0.511059211","19.31372549","22.64367816"
