"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Dry weight of storage root samples measuring g|CO_331:0000247","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root size estimating 1-9|CO_331:0000184","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2013FMS-AT02","","","","","","","","","GHP2013FMS-AT02-00019","","","","2","19.5","50.4","1.457777","3.1751511","3","52","23","34","29","34","29","5","3","68.2682419","7","1","1","17.1","2.7","25","19.8","44.8","75","0.328846154","0.117391304","0.264","2.586206897","2.205882353","1.793103448","1.529411765","0.682758621","0.582352941","0.862068966","0.735294118","69.33333333","44.19642857","85.29411765","38.69047619","7.660714286","16.76470588","19.65517241","19.41176471","22.75862069","24.50980392","28.73563218","7.510504202","8.805418719","43.92156863","51.49425287"
"","","GHP2013FMS-AT02","","","","","","","","","GHP2013FMS-AT02-00002","","","","2","16","50.1","3.1275439","4.971539","1","20","31","33","28","34","24","6","2","64.1989365","5","1","3","4","2.9","20","6.9","26.9","51","0.2","0.093548387","0.135294118","1.821428571","1.5","0.714285714","0.588235294","0.246428571","0.202941176","0.714285714","0.588235294","39.21568627","25.65055762","82.35294118","31.93612774","2.203592814","3.921568627","4.761904762","6.764705882","8.214285714","19.60784314","23.80952381","2.160385112","2.623324779","26.37254902","32.02380952"
"","","GHP2013FMS-AT02","","","","","","","","","GHP2013FMS-AT02-00020","","","","3","17.5","50.1","3.4630539","5.9571581","2","73","34","34","28","34","28","5","2","64.0864639","7","1","1","17.3","3","24.5","20.3","44.8","107","0.236986301","0.088235294","0.189719626","3.821428571","3.147058824","2.607142857","2.147058824","0.725","0.597058824","0.875","0.720588235","68.22429907","45.3125","82.35294118","34.93013972","7.090818363","16.96078431","20.5952381","19.90196078","24.16666667","24.01960784","29.16666667","6.951782709","8.441450432","43.92156863","53.33333333"
"","","GHP2013FMS-AT02","","","","","","","","","GHP2013FMS-AT02-00021","","","","3","16.5","50.5","5.3964629","8.4078588","2","43","37","34","29","34","29","6","4","57.2781754","5","1","1","9","2.3","25","11.3","36.3","80","0.209302326","0.062162162","0.14125","2.75862069","2.352941176","1.482758621","1.264705882","0.389655172","0.332352941","0.862068966","0.735294118","53.75","31.12947658","85.29411765","32.67326733","3.692079208","8.823529412","10.34482759","11.07843137","12.98850575","24.50980392","28.73563218","3.619685498","4.243769205","35.58823529","41.72413793"
"","","GHP2013FMS-AT02","","","","","","","","","GHP2013FMS-AT02-00022","","","","2","15.46","50.8","3.602649","6.2862701","1","24","27","34","20","34","19","6","2","60.8414955","5","3","3","5.7","1.5","32","7.2","39.2","51","0.2375","0.055555556","0.141176471","2.55","1.5","1.2","0.705882353","0.36","0.211764706","1.6","0.941176471","47.05882353","18.36734694","58.82352941","30.43307087","2.191181102","5.588235294","9.5","7.058823529","12","31.37254902","53.33333333","2.148216767","3.651968504","38.43137255","65.33333333"
"","","GHP2013FMS-AT02","","","","","","","","","GHP2013FMS-AT02-00023","","","","2","20.05","50.27","0.795204","2.7508709","1","37","30","34","25","34","23","3","1","67.5300064","6","1","1","8.2","2.1","41.5","10.3","51.8","67","0.221621622","0.07","0.153731343","2.68","1.970588235","1.48","1.088235294","0.412","0.302941176","1.66","1.220588235","55.2238806","19.88416988","73.52941176","39.88462304","4.108116173","8.039215686","10.93333333","10.09803922","13.73333333","40.68627451","55.33333333","4.027564875","5.47748823","50.78431373","69.06666667"
"","","GHP2013FMS-AT02","","","","","","","","","GHP2013FMS-AT02-00024","","","","3","17.68","50.04","2.152493","4.2646799","2","36","22","34","23","34","21","4","2","64.9426422","5","5","5","5.8","0.9","17.5","6.7","24.2","58","0.161111111","0.040909091","0.115517241","2.52173913","1.705882353","1.565217391","1.058823529","0.291304348","0.197058824","0.760869565","0.514705882","62.06896552","27.68595041","67.64705882","35.33173461","2.367226219","5.68627451","8.405797101","6.568627451","9.710144928","17.15686275","25.36231884","2.320810019","3.430762636","23.7254902","35.07246377"
"","","GHP2013FMS-AT02","","","","","","","","","GHP2013FMS-AT02-00003","","","","3","17.4","50.4","2.6288049","4.5403581","2","65","48","34","29","34","28","5","2","65.3043365","4","3","3","13.2","3.5","12","16.7","28.7","113","0.203076923","0.072916667","0.147787611","3.896551724","3.323529412","2.24137931","1.911764706","0.575862069","0.491176471","0.413793103","0.352941176","57.52212389","58.18815331","85.29411765","34.52380952","5.76547619","12.94117647","15.17241379","16.37254902","19.1954023","11.76470588","13.79310345","5.652427638","6.626984127","28.1372549","32.98850575"
"","","GHP2013FMS-AT02","","","","","","","","","GHP2013FMS-AT02-00004","","","","3","18.8","50.3","1.29568","3.129117","2","21","26","34","28","34","26","3","3","66.5228577","6","4","4","8.1","2.3","24","10.4","34.4","47","0.385714286","0.088461538","0.221276596","1.678571429","1.382352941","0.75","0.617647059","0.371428571","0.305882353","0.857142857","0.705882353","44.68085106","30.23255814","82.35294118","37.37574553","3.887077535","7.941176471","9.642857143","10.19607843","12.38095238","23.52941176","28.57142857","3.810860328","4.627473256","33.7254902","40.95238095"
"","","GHP2013FMS-AT02","","","","","","","","","GHP2013FMS-AT02-00005","","","","2","17","50.5","3.324069","5.0712762","2","40","53","34","28","34","27","5","2","64.4992828","6","3","4","13.1","6.2","12.5","19.3","31.8","93","0.3275","0.116981132","0.207526882","3.321428571","2.735294118","1.428571429","1.176470588","0.689285714","0.567647059","0.446428571","0.367647059","43.01075269","60.6918239","82.35294118","33.66336634","6.497029703","12.84313725","15.5952381","18.92156863","22.97619048","12.25490196","14.88095238","6.369636964","7.73455917","31.17647059","37.85714286"
"","","GHP2013FMS-AT02","","","","","","","","","GHP2013FMS-AT02-00006","","","","3","17.1","50.5","4.63835","7.4380441","1","33","27","34","30","34","29","5","1","59.9055977","4","1","4","5.1","1.8","11.5","6.9","18.4","60","0.154545455","0.066666667","0.115","2","1.764705882","1.1","0.970588235","0.23","0.202941176","0.383333333","0.338235294","55","37.5","88.23529412","33.86138614","2.336435644","5","5.666666667","6.764705882","7.666666667","11.2745098","12.77777778","2.29062318","2.596039604","18.03921569","20.44444444"
"","","GHP2013FMS-AT02","","","","","","","","","GHP2013FMS-AT02-00007","","","","2","19.9","50.6","1.801993","3.8703079","3","33","29","34","30","34","29","5","3","67.9839859","6","3","3","8.7","2.6","16.5","11.3","27.8","62","0.263636364","0.089655172","0.182258065","2.066666667","1.823529412","1.1","0.970588235","0.376666667","0.332352941","0.55","0.485294118","53.22580645","40.64748201","88.23529412","39.32806324","4.444071146","8.529411765","9.666666667","11.07843137","12.55555556","16.17647059","18.33333333","4.356932496","4.937856829","27.25490196","30.88888889"
"","","GHP2013FMS-AT02","","","","","","","","","GHP2013FMS-AT02-00008","","","","4","17.5","50.2","1.915526","4.005794","2","14","33","34","29","34","29","4","3","67.5602036","4","7","7","2.4","4","9","6.4","15.4","47","0.171428571","0.121212121","0.136170213","1.620689655","1.382352941","0.482758621","0.411764706","0.220689655","0.188235294","0.310344828","0.264705882","29.78723404","41.55844156","85.29411765","34.86055777","2.231075697","2.352941176","2.75862069","6.274509804","7.356321839","8.823529412","10.34482759","2.187329115","2.564454824","15.09803922","17.70114943"
"","","GHP2013FMS-AT02","","","","","","","","","GHP2013FMS-AT02-00009","","","","3","18.2","50.2","1.09394","3.1287811","1","27","35","34","29","34","29","4","2","68.0043259","5","4","5","6.3","1.9","19.5","8.2","27.7","62","0.233333333","0.054285714","0.132258065","2.137931034","1.823529412","0.931034483","0.794117647","0.282758621","0.241176471","0.672413793","0.573529412","43.5483871","29.60288809","85.29411765","36.25498008","2.972908367","6.176470588","7.24137931","8.039215686","9.425287356","19.11764706","22.4137931","2.914616046","3.417136053","27.15686275","31.83908046"
