"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Dry weight of storage root samples measuring g|CO_331:0000247","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2013KMD-PT01","","","","","","","","","GHP2013KMD-PT01-00128","","","","","","","","","0","0","3","10","0","","","","","","1","9","0","0","0.1","0","0.1","0","","","","0","0","0","0","0","0","0.033333333","0.01","","0","30","","","0","0","0","0","0.333333333","1.111111111","","","0.333333333","1.111111111"
"","","GHP2013KMD-PT01","","","","","","","","","GHP2013KMD-PT01-00129","","","","","","","","","0","0","4","10","0","","","","","","1","9","0","0","0.2","0","0.2","0","","","","0","0","0","0","0","0","0.05","0.02","","0","40","","","0","0","0","0","0.666666667","1.666666667","","","0.666666667","1.666666667"
"","","GHP2013KMD-PT01","","","","","","","","","GHP2013KMD-PT01-00013","","","","4","16.9","50.35","1.342712","2.8645649","7","28","10","10","10","8","5","66.4748993","2","5","5","7","0.9","2.4","2","3.3","5.3","35","0.128571429","0.085714286","0.094285714","3.5","3.5","0.7","0.7","0.33","0.33","0.2","0.2","20","62.26415094","100","33.56504469","1.107646475","3","3","11","11","6.666666667","6.666666667","3.692154916","3.692154916","17.66666667","17.66666667"
"","","GHP2013KMD-PT01","","","","","","","","","GHP2013KMD-PT01-00130","","","","","","","","","0","0","2","10","0","","","","","","1","9","0","0","0.5","0","0.5","0","","","","0","0","0","0","0","0","0.25","0.05","","0","20","","","0","0","0","0","1.666666667","8.333333333","","","1.666666667","8.333333333"
"","","GHP2013KMD-PT01","","","","","","","","","GHP2013KMD-PT01-00131","","","","","","","","","0","0","2","10","0","","","","","","1","9","0","0","0.1","0","0.1","0","","","","0","0","0","0","0","0","0.05","0.01","","0","20","","","0","0","0","0","0.333333333","1.666666667","","","0.333333333","1.666666667"
"","","GHP2013KMD-PT01","","","","","","","","","GHP2013KMD-PT01-00132","","","","3","","","","","2","27","10","10","10","","3","","1","3","4","8","0.3","1.8","1.1","2.1","3.2","29","0.15","0.066666667","0.072413793","2.9","2.9","0.2","0.2","0.21","0.21","0.11","0.11","6.896551724","65.625","100","","","1","1","7","7","3.666666667","3.666666667","","","10.66666667","10.66666667"
"","","GHP2013KMD-PT01","","","","","","","","","GHP2013KMD-PT01-00133","","","","6","","","","","0","18","10","10","10","","3","","1","2","2","9","0","1.3","1.6","1.3","2.9","18","","0.072222222","0.072222222","1.8","1.8","0","0","0.13","0.13","0.16","0.16","0","44.82758621","100","","","0","0","4.333333333","4.333333333","5.333333333","5.333333333","","","9.666666667","9.666666667"
"","","GHP2013KMD-PT01","","","","","","","","","GHP2013KMD-PT01-00134","","","","6","","","","","0","24","8","10","6","","3","","1","2","3","7","0","3.1","1","3.1","4.1","24","","0.129166667","0.129166667","3","2.4","0","0","0.3875","0.31","0.125","0.1","0","75.6097561","80","","","0","0","10.33333333","12.91666667","3.333333333","4.166666667","","","13.66666667","17.08333333"
"","","GHP2013KMD-PT01","","","","","","","","","GHP2013KMD-PT01-00135","","","","2","","","","","0","12","6","10","4","","2","","1","1","1","9","0","0.3","1","0.3","1.3","12","","0.025","0.025","2","1.2","0","0","0.05","0.03","0.166666667","0.1","0","23.07692308","60","","","0","0","1","1.666666667","3.333333333","5.555555556","","","4.333333333","7.222222222"
"","","GHP2013KMD-PT01","","","","","","","","","GHP2013KMD-PT01-00136","","","","3","","","","","6","13","8","10","7","","4","","1","5","5","4","1.5","1.8","3.6","3.3","6.9","19","0.25","0.138461538","0.173684211","2.375","1.9","0.75","0.6","0.4125","0.33","0.45","0.36","31.57894737","47.82608696","80","","","5","6.25","11","13.75","12","15","","","23","28.75"
"","","GHP2013KMD-PT01","","","","","","","","","GHP2013KMD-PT01-00137","","","","6","","","","","5","50","10","10","9","","3","","1","3","5","5","0.9","2.7","3.6","3.6","7.2","55","0.18","0.054","0.065454545","5.5","5.5","0.5","0.5","0.36","0.36","0.36","0.36","9.090909091","50","100","","","3","3","12","12","12","12","","","24","24"
"","","GHP2013KMD-PT01","","","","","","","","","GHP2013KMD-PT01-00138","","","","3","18.76","50.53","1.661779","3.824266","24","22","9","10","9","3","2","73.6275177","1","5","4","4","5.6","1.4","2.5","7","9.5","46","0.233333333","0.063636364","0.152173913","5.111111111","4.6","2.666666667","2.4","0.777777778","0.7","0.277777778","0.25","52.17391304","73.68421053","90","37.12645953","2.598852167","18.66666667","20.74074074","23.33333333","25.92592593","8.333333333","9.259259259","8.662840557","9.625378396","31.66666667","35.18518519"
"","","GHP2013KMD-PT01","","","","","","","","","GHP2013KMD-PT01-00139","","","","4","","","","","1","20","10","10","7","","5","","1","3","2","9","0.2","0.7","0.8","0.9","1.7","21","0.2","0.035","0.042857143","2.1","2.1","0.1","0.1","0.09","0.09","0.08","0.08","4.761904762","52.94117647","100","","","0.666666667","0.666666667","3","3","2.666666667","2.666666667","","","5.666666667","5.666666667"
"","","GHP2013KMD-PT01","","","","","","","","","GHP2013KMD-PT01-00014","","","","5","","","","","0","19","10","10","4","","4","","1","3","4","7","0","1","1.8","1","2.8","19","","0.052631579","0.052631579","1.9","1.9","0","0","0.1","0.1","0.18","0.18","0","35.71428571","100","","","0","0","3.333333333","3.333333333","6","6","","","9.333333333","9.333333333"
"","","GHP2013KMD-PT01","","","","","","","","","GHP2013KMD-PT01-00140","","","","3","20.31","50.93","0.57897","2.241832","23","19","10","10","10","4","4","73.9971466","1","7","6","4","5.3","1.9","3.8","7.2","11","42","0.230434783","0.1","0.171428571","4.2","4.2","2.3","2.3","0.72","0.72","0.38","0.38","54.76190476","65.45454545","100","39.87826428","2.871235028","17.66666667","17.66666667","24","24","12.66666667","12.66666667","9.570783428","9.570783428","36.66666667","36.66666667"
"","","GHP2013KMD-PT01","","","","","","","","","GHP2013KMD-PT01-00141","","","","4","","","","","0","25","10","10","8","","2","","1","2","1","9","0","1.5","1","1.5","2.5","25","","0.06","0.06","2.5","2.5","0","0","0.15","0.15","0.1","0.1","0","60","100","","","0","0","5","5","3.333333333","3.333333333","","","8.333333333","8.333333333"
"","","GHP2013KMD-PT01","","","","","","","","","GHP2013KMD-PT01-00142","","","","5","","","","","0","18","9","10","6","","3","","1","1","1","9","0","0.6","1.3","0.6","1.9","18","","0.033333333","0.033333333","2","1.8","0","0","0.066666667","0.06","0.144444444","0.13","0","31.57894737","90","","","0","0","2","2.222222222","4.333333333","4.814814815","","","6.333333333","7.037037037"
"","","GHP2013KMD-PT01","","","","","","","","","GHP2013KMD-PT01-00143","","","","","","","","","0","0","9","10","0","","","","","","1","9","0","0","0.1","0","0.1","0","","","","0","0","0","0","0","0","0.011111111","0.01","","0","90","","","0","0","0","0","0.333333333","0.37037037","","","0.333333333","0.37037037"
"","","GHP2013KMD-PT01","","","","","","","","","GHP2013KMD-PT01-00144","","","","2","","","","","1","41","10","10","10","","4","","1","5","7","4","1.9","3.2","5","5.1","10.1","42","","0.07804878","0.121428571","4.2","4.2","0.1","0.1","0.51","0.51","0.5","0.5","2.380952381","50.4950495","100","","","6.333333333","6.333333333","17","17","16.66666667","16.66666667","","","33.66666667","33.66666667"
"","","GHP2013KMD-PT01","","","","","","","","","GHP2013KMD-PT01-00145","","","","3","","","","","0","13","3","10","1","","3","","1","3","3","7","0","1","0.8","1","1.8","13","","0.076923077","0.076923077","4.333333333","1.3","0","0","0.333333333","0.1","0.266666667","0.08","0","55.55555556","30","","","0","0","3.333333333","11.11111111","2.666666667","8.888888889","","","6","20"
"","","GHP2013KMD-PT01","","","","","","","","","GHP2013KMD-PT01-00146","","","","5","","","","","11","21","10","10","7","","5","","1","7","4","7","3.7","2.3","1.3","6","7.3","32","0.336363636","0.10952381","0.1875","3.2","3.2","1.1","1.1","0.6","0.6","0.13","0.13","34.375","82.19178082","100","","","12.33333333","12.33333333","20","20","4.333333333","4.333333333","","","24.33333333","24.33333333"
"","","GHP2013KMD-PT01","","","","","","","","","GHP2013KMD-PT01-00147","","","","4","","","","","0","18","6","10","3","","3","","1","1","1","9","0","0.4","0.6","0.4","1","18","","0.022222222","0.022222222","3","1.8","0","0","0.066666667","0.04","0.1","0.06","0","40","60","","","0","0","1.333333333","2.222222222","2","3.333333333","","","3.333333333","5.555555556"
"","","GHP2013KMD-PT01","","","","","","","","","GHP2013KMD-PT01-00148","","","","6","","","","","0","20","8","10","7","","4","","1","3","3","7","0","0.9","0.9","0.9","1.8","20","","0.045","0.045","2.5","2","0","0","0.1125","0.09","0.1125","0.09","0","50","80","","","0","0","3","3.75","3","3.75","","","6","7.5"
"","","GHP2013KMD-PT01","","","","","","","","","GHP2013KMD-PT01-00149","","","","4","","","","","6","20","10","10","10","","2","","1","4","5","6","1.7","1.3","4.5","3","7.5","26","0.283333333","0.065","0.115384615","2.6","2.6","0.6","0.6","0.3","0.3","0.45","0.45","23.07692308","40","100","","","5.666666667","5.666666667","10","10","15","15","","","25","25"
"","","GHP2013KMD-PT01","","","","","","","","","GHP2013KMD-PT01-00015","","","","3","19.5","50.3","2.0071001","3.986876","8","34","8","10","6","3","4","69.1155243","1","5","5","6","1.7","2.2","3.3","3.9","7.2","42","0.2125","0.064705882","0.092857143","5.25","4.2","1","0.8","0.4875","0.39","0.4125","0.33","19.04761905","54.16666667","80","38.76739563","1.511928429","5.666666667","7.083333333","13","16.25","11","13.75","5.039761431","6.299701789","24","30"
"","","GHP2013KMD-PT01","","","","","","","","","GHP2013KMD-PT01-00150","","","","3","","","","","0","16","10","10","5","","2","","1","2","2","8","0","0.5","1.4","0.5","1.9","16","","0.03125","0.03125","1.6","1.6","0","0","0.05","0.05","0.14","0.14","0","26.31578947","100","","","0","0","1.666666667","1.666666667","4.666666667","4.666666667","","","6.333333333","6.333333333"
"","","GHP2013KMD-PT01","","","","","","","","","GHP2013KMD-PT01-00151","","","","5","","","","","3","32","10","10","9","","5","","1","4","4","6","0.9","2.3","1.1","3.2","4.3","35","0.3","0.071875","0.091428571","3.5","3.5","0.3","0.3","0.32","0.32","0.11","0.11","8.571428571","74.41860465","100","","","3","3","10.66666667","10.66666667","3.666666667","3.666666667","","","14.33333333","14.33333333"
"","","GHP2013KMD-PT01","","","","","","","","","GHP2013KMD-PT01-00152","","","","4","","","","","5","45","9","10","9","","5","","1","5","6","4","1.4","4.4","2.9","5.8","8.7","50","0.28","0.097777778","0.116","5.555555556","5","0.555555556","0.5","0.644444444","0.58","0.322222222","0.29","10","66.66666667","90","","","4.666666667","5.185185185","19.33333333","21.48148148","9.666666667","10.74074074","","","29","32.22222222"
