"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Dry weight of storage root samples measuring g|CO_331:0000247","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Storage root dry matter content computing percent|CO_331:0000297","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Millipede damage estimating 1-9|CO_331:0000805","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root shape estimating 1-9 CIP|CO_331:0000181","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Virus symptoms estimating 1-9|CO_331:0000193","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2017WCH-ST01","","","","","","","","","GHP2017WCH-ST01-00111","","","","0","1.6","0.75","16.84","48.25","4.33","5.64","3.02","65.9","6.31","34.9015544","12","7","3","1","","","","1","","3","","","3","","","4.13","","","","","","","","","","","","","1.376666667","0.344166667","","","25","","","","","","11.47222222","45.88888889","","","",""
"","","GHP2017WCH-ST01","","","","","","","","","GHP2017WCH-ST01-00112","","","","18.4634933","2.04","1.01","15.72","48.73","1.68","2.76","3.35","61.33","16.96","32.25938847","12","11","6","3","3","5","1","1","1","3","2","4","2","0.45","0.15","5.46","0.6","6.06","8","0.15","0.03","0.075","1.333333333","0.666666667","0.5","0.25","0.1","0.05","0.91","0.455","37.5","9.900990099","50","0.193556331","1.25","2.5","1.666666667","3.333333333","15.16666667","30.33333333","0.537656474","1.075312949","16.83333333","33.66666667"
"","","GHP2017WCH-ST01","","","","","","","","","GHP2017WCH-ST01-00113","","","","12.2491837","1.85","1.03","13.42","48.6","4.15","6.11","3.09","60.82","11.78","27.61316872","12","10","4","4","7","14","1","1","1","2","2","4","3","0.85","0.45","4.22","1.3","5.52","21","0.121428571","0.032142857","0.061904762","5.25","1.75","1.75","0.583333333","0.325","0.108333333","1.055","0.351666667","33.33333333","23.55072464","33.33333333","0.358971193","2.361111111","7.083333333","3.611111111","10.83333333","11.72222222","35.16666667","0.997142204","2.991426612","15.33333333","46"
"","","GHP2017WCH-ST01","","","","","","","","","GHP2017WCH-ST01-00114","","","","0","1.77","1.26","15.43","48.68","1.81","3.34","4.93","66.56","11.96","31.6967954","12","12","8","6","10","13","1","1","1","3","2","3","4","1.7","0.55","4.68","2.25","6.93","23","0.17","0.042307692","0.097826087","2.875","1.916666667","1.25","0.833333333","0.28125","0.1875","0.585","0.39","43.47826087","32.46753247","66.66666667","0.713177896","4.722222222","7.083333333","6.25","9.375","13","19.5","1.981049712","2.971574569","19.25","28.875"
"","","GHP2017WCH-ST01","","","","","","","","","GHP2017WCH-ST01-00115","","","","","","","","","","","","","","","12","4","4","0","0","0","","","","","","","6","0","0","2.32","0","2.32","0","","","","0","0","0","0","0","0","0.58","0.193333333","","0","33.33333333","","0","0","0","0","6.444444444","19.33333333","","","6.444444444","19.33333333"
"","","GHP2017WCH-ST01","","","","","","","","","GHP2017WCH-ST01-00116","","","","23.1303253","1.98","1.05","12.82","48.39","6.07","8.92","4.04","58.82","9.18","26.49307708","12","8","6","3","16","7","1","1","1","8","1","2","4","2.55","0.25","5.98","2.8","8.78","23","0.159375","0.035714286","0.12173913","3.833333333","1.916666667","2.666666667","1.333333333","0.466666667","0.233333333","0.996666667","0.498333333","69.56521739","31.89066059","50","0.741806158","7.083333333","14.16666667","7.777777778","15.55555556","16.61111111","33.22222222","2.060572662","4.121145324","24.38888889","48.77777778"
"","","GHP2017WCH-ST01","","","","","","","","","GHP2017WCH-ST01-00117","","","","0","1.85","1.18","15.53","48.74","3.42","6.01","3.97","64.16","9.24","31.86294625","12","9","4","4","3","3","1","3","1","2","2","4","5","0.3","0.15","4.12","0.45","4.57","6","0.1","0.05","0.075","1.5","0.5","0.75","0.25","0.1125","0.0375","1.03","0.343333333","50","9.846827133","33.33333333","0.143383258","0.833333333","2.5","1.25","3.75","11.44444444","34.33333333","0.398286828","1.194860484","12.69444444","38.08333333"
"","","GHP2017WCH-ST01","","","","","","","","","GHP2017WCH-ST01-00118","","","","","","","","","","","","","","","12","10","7","","","","","1","","","","","4","","","1.6","","","","","","","","","","","","","0.228571429","0.133333333","","","58.33333333","","","","","","4.444444444","7.619047619","","","",""
"","","GHP2017WCH-ST01","","","","","","","","","GHP2017WCH-ST01-00119","","","","26.2393112","1.69","0.88","16.16","48.61","3.7","6.27","3.01","65.74","10.48","33.24418844","12","9","9","9","3","4","1","1","1","2","3","3","2","0.5","0.15","1.96","0.65","2.61","7","0.166666667","0.0375","0.092857143","0.777777778","0.583333333","0.333333333","0.25","0.072222222","0.054166667","0.217777778","0.163333333","42.85714286","24.90421456","75","0.216087225","1.388888889","1.851851852","1.805555556","2.407407407","5.444444444","7.259259259","0.600242291","0.800323055","7.25","9.666666667"
"","","GHP2017WCH-ST01","","","","","","","","","GHP2017WCH-ST01-00120","","","","22.4453087","2.15","1.14","13.12","48.68","4.14","5.72","3.84","58.49","12.1","26.95152013","12","9","3","3","22","26","1","1","1","3","1","3","1","2.6","0.95","7.56","3.55","11.11","48","0.118181818","0.036538462","0.073958333","16","4","7.333333333","1.833333333","1.183333333","0.295833333","2.52","0.63","45.83333333","31.95319532","25","0.956778965","7.222222222","28.88888889","9.861111111","39.44444444","21","84","2.657719346","10.63087739","30.86111111","123.4444444"
"","","GHP2017WCH-ST01","","","","","","","","","GHP2017WCH-ST01-00121","","","","","","","","","","","","","","","12","1","0","0","0","0","","","","","","","9","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","","0","","0","","0","","","","0",""
"","","GHP2017WCH-ST01","","","","","","","","","GHP2017WCH-ST01-00122","","","","0","2.03","1.18","15.9","48.28","3.11","4.96","4.92","63.05","10.86","32.93289147","12","2","2","2","1","6","1","1","1","5","4","3","7","0.6","0.3","1.86","0.9","2.76","7","0.6","0.05","0.128571429","3.5","0.583333333","0.5","0.083333333","0.45","0.075","0.93","0.155","14.28571429","32.60869565","16.66666667","0.296396023","1.666666667","10","2.5","15","5.166666667","31","0.823322287","4.93993372","7.666666667","46"
"","","GHP2017WCH-ST01","","","","","","","","","GHP2017WCH-ST01-00123","","","","","","","","","","","","","","","12","6","6","0","0","0","","","","","","","6","0","0","0.8","0","0.8","0","","","","0","0","0","0","0","0","0.133333333","0.066666667","","0","50","","0","0","0","0","2.222222222","4.444444444","","","2.222222222","4.444444444"
"","","GHP2017WCH-ST01","","","","","","","","","GHP2017WCH-ST01-00124","","","","","","","","","","","","","","","12","10","4","0","0","0","","","","","","","3","0","0","1.66","0","1.66","0","","","","0","0","0","0","0","0","0.415","0.138333333","","0","33.33333333","","0","0","0","0","4.611111111","13.83333333","","","4.611111111","13.83333333"
"","","GHP2017WCH-ST01","","","","","","","","","GHP2017WCH-ST01-00125","","","","5.7040691","1.93","0.88","15.03","48.78","4.99","7","3.04","62.03","6.72","30.81180812","12","12","7","1","4","7","1","1","1","2","2","5","1","0.3","0.2","5.84","0.5","6.34","11","0.075","0.028571429","0.045454545","1.571428571","0.916666667","0.571428571","0.333333333","0.071428571","0.041666667","0.834285714","0.486666667","36.36363636","7.886435331","58.33333333","0.154059041","0.833333333","1.428571429","1.388888889","2.380952381","16.22222222","27.80952381","0.427941779","0.733614479","17.61111111","30.19047619"
"","","GHP2017WCH-ST01","","","","","","","","","GHP2017WCH-ST01-00126","","","","0","1.44","0.86","17.69","49.16","1.85","2.76","2.96","68.76","13.33","35.98454028","12","10","6","4","2","2","1","1","1","3","5","5","2","0.35","0.2","4.34","0.55","4.89","4","0.175","0.1","0.1375","0.666666667","0.333333333","0.333333333","0.166666667","0.091666667","0.045833333","0.723333333","0.361666667","50","11.24744376","50","0.197914972","0.972222222","1.944444444","1.527777778","3.055555556","12.05555556","24.11111111","0.54976381","1.09952762","13.58333333","27.16666667"
"","","GHP2017WCH-ST01","","","","","","","","","GHP2017WCH-ST01-00127","","","","10.0695152","2.03","1.07","16.7","48.81","1.91","3.39","4.71","63.28","11.51","34.21430035","12","9","5","2","2","0","1","1","1","5","3","4","5","0.2","0","0.62","0.2","0.82","2","0.1","","0.1","0.4","0.166666667","0.4","0.166666667","0.04","0.016666667","0.124","0.051666667","100","24.3902439","41.66666667","0.068428601","0.555555556","1.333333333","0.555555556","1.333333333","1.722222222","4.133333333","0.190079446","0.456190671","2.277777778","5.466666667"
"","","GHP2017WCH-ST01","","","","","","","","","GHP2017WCH-ST01-00128","","","","11.9010372","2.12","1.02","14.77","48.77","2.84","4.51","4.22","63.07","10.69","30.28501128","12","8","8","8","4","3","1","1","1","3","5","4","3","0.65","0.15","7.94","0.8","8.74","7","0.1625","0.05","0.114285714","0.875","0.583333333","0.5","0.333333333","0.1","0.066666667","0.9925","0.661666667","57.14285714","9.153318078","66.66666667","0.24228009","1.805555556","2.708333333","2.222222222","3.333333333","22.05555556","33.08333333","0.673000251","1.009500376","24.27777778","36.41666667"
"","","GHP2017WCH-ST01","","","","","","","","","GHP2017WCH-ST01-00129","","","","15.8275299","1.85","1.08","14.51","48.95","2.29","4.46","3.21","63.44","15.13","29.64249234","12","10","7","7","2","2","1","1","1","7","2","1","8","0.7","0.2","2.68","0.9","3.58","4","0.35","0.1","0.225","0.571428571","0.333333333","0.285714286","0.166666667","0.128571429","0.075","0.382857143","0.223333333","50","25.1396648","58.33333333","0.266782431","1.944444444","3.333333333","2.5","4.285714286","7.444444444","12.76190476","0.741062308","1.270392529","9.944444444","17.04761905"
"","","GHP2017WCH-ST01","","","","","","","","","GHP2017WCH-ST01-00130","","","","13.136425","1.97","0.99","14.9","48.8","1.89","3.15","2.99","63.01","13.65","30.53278689","12","10","7","4","7","12","2","1","1","2","5","1","2","1.55","1.35","8.02","2.9","10.92","19","0.221428571","0.1125","0.152631579","2.714285714","1.583333333","1","0.583333333","0.414285714","0.241666667","1.145714286","0.668333333","36.84210526","26.55677656","58.33333333","0.88545082","4.305555556","7.380952381","8.055555556","13.80952381","22.27777778","38.19047619","2.45958561","4.216432475","30.33333333","52"
"","","GHP2017WCH-ST01","","","","","","","","","GHP2017WCH-ST01-00131","","","","1.5665398","1.63","0.85","16.23","48.58","5.63","8.37","2.92","62.95","8.87","33.40881021","12","11","7","4","6","6","1","1","1","3","1","4","2","0.6","0.25","2.98","0.85","3.83","12","0.1","0.041666667","0.070833333","1.714285714","1","0.857142857","0.5","0.121428571","0.070833333","0.425714286","0.248333333","50","22.19321149","58.33333333","0.283974887","1.666666667","2.857142857","2.361111111","4.047619048","8.277777778","14.19047619","0.78881913","1.352261366","10.63888889","18.23809524"
"","","GHP2017WCH-ST01","","","","","","","","","GHP2017WCH-ST01-00132","","","","0","1.46","0.8","16.04","48.72","2.53","3.88","2.79","68.88","12.45","32.9228243","12","9","7","4","3","8","1","1","1","3","2","3","3","0.55","0.4","8.16","0.95","9.11","11","0.183333333","0.05","0.086363636","1.571428571","0.916666667","0.428571429","0.25","0.135714286","0.079166667","1.165714286","0.68","27.27272727","10.42810099","58.33333333","0.312766831","1.527777778","2.619047619","2.638888889","4.523809524","22.66666667","38.85714286","0.868796752","1.489365861","25.30555556","43.38095238"
"","","GHP2017WCH-ST01","","","","","","","","","GHP2017WCH-ST01-00133","","","","","","","","","","","","","","","12","6","0","0","0","0","","","","","","","8","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","","0","","0","","0","","","","0",""
"","","GHP2017WCH-ST01","","","","","","","","","GHP2017WCH-ST01-00134","","","","","","","","","","","","","","","12","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2017WCH-ST01","","","","","","","","","GHP2017WCH-ST01-00135","","","","0","1.68","0.94","18.02","48.39","2.36","3.97","3.8","70.75","7.85","37.23909899","12","12","11","2","3","7","1","2","1","5","2","2","5","1.2","0.15","2.66","1.35","4.01","10","0.4","0.021428571","0.135","0.909090909","0.833333333","0.272727273","0.25","0.122727273","0.1125","0.241818182","0.221666667","30","33.66583541","91.66666667","0.502727836","3.333333333","3.636363636","3.75","4.090909091","7.388888889","8.060606061","1.396466212","1.523417686","11.13888889","12.15151515"
"","","GHP2017WCH-ST01","","","","","","","","","GHP2017WCH-ST01-00136","","","","","","","","","","","","","","","12","9","3","0","0","0","","","","","","","7","0","0","1.14","0","1.14","0","","","","0","0","0","0","0","0","0.38","0.095","","0","25","","0","0","0","0","3.166666667","12.66666667","","","3.166666667","12.66666667"
"","","GHP2017WCH-ST01","","","","","","","","","GHP2017WCH-ST01-00137","","","","7.0008869","1.82","0.98","17.72","48.65","1.58","2.76","3.77","67.42","11.97","36.42343268","12","11","7","4","4","5","1","1","1","3","2","5","4","0.35","0.25","4.58","0.6","5.18","9","0.0875","0.05","0.066666667","1.285714286","0.75","0.571428571","0.333333333","0.085714286","0.05","0.654285714","0.381666667","44.44444444","11.58301158","58.33333333","0.218540596","0.972222222","1.666666667","1.666666667","2.857142857","12.72222222","21.80952381","0.607057211","1.040669505","14.38888889","24.66666667"
"","","GHP2017WCH-ST01","","","","","","","","","GHP2017WCH-ST01-00138","","","","","","","","","","","","","","","12","2","2","","","","","1","","","","","7","","","0.22","","","","","","","","","","","","","0.11","0.018333333","","","16.66666667","","","","","","0.611111111","3.666666667","","","",""
"","","GHP2017WCH-ST01","","","","","","","","","GHP2017WCH-ST01-00139","","","","15.2800369","1.94","0.85","13.2","48.58","5.56","7.65","2.9","59.33","9.77","27.17167559","12","12","8","5","5","10","1","1","1","3","1","6","3","0.4","0.25","6.16","0.65","6.81","15","0.08","0.025","0.043333333","1.875","1.25","0.625","0.416666667","0.08125","0.054166667","0.77","0.513333333","33.33333333","9.544787078","66.66666667","0.176615891","1.111111111","1.666666667","1.805555556","2.708333333","17.11111111","25.66666667","0.490599698","0.735899547","18.91666667","28.375"
"","","GHP2017WCH-ST01","","","","","","","","","GHP2017WCH-ST01-00140","","","","","","","","","","","","","","","12","8","3","0","0","0","","","","","","","7","0","0","0.94","0","0.94","0","","","","0","0","0","0","0","0","0.313333333","0.078333333","","0","25","","0","0","0","0","2.611111111","10.44444444","","","2.611111111","10.44444444"
"","","GHP2017WCH-ST01","","","","","","","","","GHP2017WCH-ST01-00141","","","","","","","","","","","","","","","12","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2017WCH-ST01","","","","","","","","","GHP2017WCH-ST01-00142","","","","0.0443096","1.79","1.03","14.5","48.43","3.79","5.81","3.72","66.17","4.77","29.94011976","12","12","8","1","5","3","1","2","1","2","1","3","6","0.55","0.15","3.62","0.7","4.32","8","0.11","0.05","0.0875","1","0.666666667","0.625","0.416666667","0.0875","0.058333333","0.4525","0.301666667","62.5","16.2037037","66.66666667","0.209580838","1.527777778","2.291666667","1.944444444","2.916666667","10.05555556","15.08333333","0.582168995","0.873253493","12","18"
"","","GHP2017WCH-ST01","","","","","","","","","GHP2017WCH-ST01-00143","","","","23.845459","1.99","1.11","13.83","48.73","5.03","7.54","3.88","61.17","7","28.3808742","12","12","5","3","4","4","1","1","1","3","1","3","1","0.55","0.2","5.52","0.75","6.27","8","0.1375","0.05","0.09375","1.6","0.666666667","0.8","0.333333333","0.15","0.0625","1.104","0.46","50","11.96172249","41.66666667","0.212856557","1.527777778","3.666666667","2.083333333","5","15.33333333","36.8","0.591268213","1.41904371","17.41666667","41.8"
"","","GHP2017WCH-ST01","","","","","","","","","GHP2017WCH-ST01-00144","","","","","","","","","","","","","","","12","10","4","2","","","1","1","1","3","7","9","5","","","2.78","","","","","","","","","","","","","0.695","0.231666667","","","33.33333333","","","","","","7.722222222","23.16666667","","","",""
"","","GHP2017WCH-ST01","","","","","","","","","GHP2017WCH-ST01-00145","","","","3.2982216","1.51","0.65","16.58","48.9","2.04","3.55","1.85","69.57","14.07","33.90593047","12","12","11","9","9","16","2","1","1","8","2","1","3","2","0.45","11.72","2.45","14.17","25","0.222222222","0.028125","0.098","2.272727273","2.083333333","0.818181818","0.75","0.222727273","0.204166667","1.065454545","0.976666667","36","17.2900494","91.66666667","0.830695297","5.555555556","6.060606061","6.805555556","7.424242424","32.55555556","35.51515152","2.307486935","2.517258474","39.36111111","42.93939394"
"","","GHP2017WCH-ST01","","","","","","","","","GHP2017WCH-ST01-00146","","","","20.5493546","2.27","1.17","13.88","48.78","3.63","6.37","3.74","57.46","17.45","28.45428454","12","12","7","4","6","6","1","1","1","","2","4","3","0.65","0.1","8.4","0.75","9.15","12","0.108333333","0.016666667","0.0625","1.714285714","1","0.857142857","0.5","0.107142857","0.0625","1.2","0.7","50","8.196721311","58.33333333","0.213407134","1.805555556","3.095238095","2.083333333","3.571428571","23.33333333","40","0.592797595","1.016224448","25.41666667","43.57142857"
"","","GHP2017WCH-ST01","","","","","","","","","GHP2017WCH-ST01-00147","","","","","","","","","","","","","","","12","1","0","0","0","0","","","","","","","9","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","","0","","0","","0","","","","0",""
"","","GHP2017WCH-ST01","","","","","","","","","GHP2017WCH-ST01-00148","","","","","","","","","","","","","","","12","12","4","0","0","0","","","","","","","6","0","0","0.98","0","0.98","0","","","","0","0","0","0","0","0","0.245","0.081666667","","0","33.33333333","","0","0","0","0","2.722222222","8.166666667","","","2.722222222","8.166666667"
"","","GHP2017WCH-ST01","","","","","","","","","GHP2017WCH-ST01-00149","","","","","","","","","","","","","","","12","11","6","0","0","0","","","","","","","4","0","0","1.66","0","1.66","0","","","","0","0","0","0","0","0","0.276666667","0.138333333","","0","50","","0","0","0","0","4.611111111","9.222222222","","","4.611111111","9.222222222"
