"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Dry weight of storage root samples measuring g|CO_331:0000247","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root dry matter content computing percent|CO_331:0000297","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2013OHW-PT02","","","","","","","","","GHP2013OHW-PT02-00019","","","","2","0.96","22.5","50.5","1.23","3.55","1","0","12","14","10","14","4","5","1","72.37","44.55445545","5","3","7.46","5","3","1","0","0.7","10","0.7","10.7","12","","0.058333333","0.058333333","1.2","0.857142857","0","0","0.07","0.05","1","0.714285714","0","6.542056075","71.42857143","0.311881188","0","0","1.666666667","2.333333333","23.80952381","33.33333333","0.742574257","1.03960396","25.47619048","35.66666667"
"","","GHP2013OHW-PT02","","","","","","","","","GHP2013OHW-PT02-00002","","","","2","0","20.4","50.5","0.94","2.3","1","14","8","14","10","14","9","5","2","73.46","40.3960396","5","6","9.24","6","3","3","2.6","0.3","5.5","2.9","8.4","22","0.185714286","0.0375","0.131818182","2.2","1.571428571","1.4","1","0.29","0.207142857","0.55","0.392857143","63.63636364","34.52380952","71.42857143","1.171485149","6.19047619","8.666666667","6.904761905","9.666666667","13.0952381","18.33333333","2.789250354","3.904950495","20","28"
"","","GHP2013OHW-PT02","","","","","","","","","GHP2013OHW-PT02-00020","","","","3","0","17.2","50.8","3.73","5.8","2","16","11","14","10","14","10","5","1","65.99","33.85826772","5","5","7.01","4","2","5","1.9","0.6","2.5","2.5","5","27","0.11875","0.054545455","0.092592593","2.7","1.928571429","1.6","1.142857143","0.25","0.178571429","0.25","0.178571429","59.25925926","50","71.42857143","0.846456693","4.523809524","6.333333333","5.952380952","8.333333333","5.952380952","8.333333333","2.015373078","2.82152231","11.9047619","16.66666667"
"","","GHP2013OHW-PT02","","","","","","","","","GHP2013OHW-PT02-00003","","","","2","1.76","19.5","50.2","1.79","3.65","1","0","4","14","10","14","3","5","1","69.19","38.84462151","4","2","8.78","6","1","1","0","0.3","12.5","0.3","12.8","4","","0.075","0.075","0.4","0.285714286","0","0","0.03","0.021428571","1.25","0.892857143","0","2.34375","71.42857143","0.116533865","0","0","0.714285714","1","29.76190476","41.66666667","0.277461582","0.388446215","30.47619048","42.66666667"
"","","GHP2013OHW-PT02","","","","","","","","","GHP2013OHW-PT02-00004","","","","3","31.46","13.1","50.3","3.36","5.61","1","7","22","14","10","14","8","7","2","52.25","26.04373757","4","2","15.97","3","6","7","0.7","0.6","1","1.3","2.3","29","0.1","0.027272727","0.044827586","2.9","2.071428571","0.7","0.5","0.13","0.092857143","0.1","0.071428571","24.13793103","56.52173913","71.42857143","0.338568588","1.666666667","2.333333333","3.095238095","4.333333333","2.380952381","3.333333333","0.806115687","1.128561962","5.476190476","7.666666667"
"","","GHP2013OHW-PT02","","","","","","","","","GHP2013OHW-PT02-00005","","","","2","16.87","14.4","50.6","3.77","5.94","1","12","13","13","10","14","9","7","2","59.79","28.45849802","5","7","15.74","5","1","1","3","0.9","8.5","3.9","12.4","25","0.25","0.069230769","0.156","2.5","1.785714286","1.2","0.857142857","0.39","0.278571429","0.85","0.607142857","48","31.4516129","71.42857143","1.109881423","7.142857143","10","9.285714286","13","20.23809524","28.33333333","2.642574816","3.699604743","29.52380952","41.33333333"
"","","GHP2013OHW-PT02","","","","","","","","","GHP2013OHW-PT02-00006","","","","2","0","19.5","50.3","2.37","4.75","2","17","14","12","9","14","9","4","1","70.07","38.76739563","6","6","7.01","4","4","4","2.7","0.6","5","3.3","8.3","31","0.158823529","0.042857143","0.106451613","3.444444444","2.214285714","1.888888889","1.214285714","0.366666667","0.235714286","0.555555556","0.357142857","54.83870968","39.75903614","64.28571429","1.279324056","6.428571429","10","7.857142857","12.22222222","11.9047619","18.51851852","3.046009656","4.738237243","19.76190476","30.74074074"
"","","GHP2013OHW-PT02","","","","","","","","","GHP2013OHW-PT02-00007","","","","1","0","15.7","50.2","3.8","6.02","1","24","16","14","10","14","10","5","3","64.84","31.2749004","6","7","8.88","5","1","3","4.1","0.8","3","4.9","7.9","40","0.170833333","0.05","0.1225","4","2.857142857","2.4","1.714285714","0.49","0.35","0.3","0.214285714","60","62.02531646","71.42857143","1.53247012","9.761904762","13.66666667","11.66666667","16.33333333","7.142857143","10","3.64873838","5.108233732","18.80952381","26.33333333"
"","","GHP2013OHW-PT02","","","","","","","","","GHP2013OHW-PT02-00008","","","","2","40.27","11.7","50.6","4.16","7.56","1","11","28","12","9","14","9","8","2","44.93","23.12252964","5","4","25.3","5","1","1","1.2","1.3","3.5","2.5","6","39","0.109090909","0.046428571","0.064102564","4.333333333","2.785714286","1.222222222","0.785714286","0.277777778","0.178571429","0.388888889","0.25","28.20512821","41.66666667","64.28571429","0.578063241","2.857142857","4.444444444","5.952380952","9.259259259","8.333333333","12.96296296","1.37634105","2.140974967","14.28571429","22.22222222"
"","","GHP2013OHW-PT02","","","","","","","","","GHP2013OHW-PT02-00009","","","","2","0","18.8","50.4","1.85","3.81","1","12","8","14","10","14","10","5","1","70.19","37.3015873","5","6","9.03","5","1","3","2.1","0.4","5","2.5","7.5","20","0.175","0.05","0.125","2","1.428571429","1.2","0.857142857","0.25","0.178571429","0.5","0.357142857","60","33.33333333","71.42857143","0.932539683","5","7","5.952380952","8.333333333","11.9047619","16.66666667","2.220332577","3.108465608","17.85714286","25"
