"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Dry weight of storage root samples measuring g|CO_331:0000247","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root dry matter content computing percent|CO_331:0000297","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root shape estimating 1-9 CIP|CO_331:0000181","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2014OHW-AT02","","","","","","","","","GHP2014OHW-AT02-00011","","","","2","0","1.97","1.15","19.88","50.88","1.17","2.12","1","32","79","45","43","43","42","5.24","67.47","39.07232704","3.81","2","5","4","5","9","1","1","7.5","6.7","28.7","14.2","42.9","111","0.234375","0.084810127","0.127927928","2.581395349","2.466666667","0.744186047","0.711111111","0.330232558","0.315555556","0.66744186","0.637777778","28.82882883","33.1002331","95.55555556","5.54827044","5.555555556","5.813953488","10.51851852","11.00775194","21.25925926","22.24806202","4.109829956","4.300984837","31.77777778","33.25581395"
"","","GHP2014OHW-AT02","","","","","","","","","GHP2014OHW-AT02-00012","","","","4","0","1.68","1.09","19.58","50.78","0.65","1.88","2","67","48","45","45","45","45","4.71","70.13","38.55848759","6.69","3","5","6","7","8","1","3","18.2","12.4","12.7","30.6","43.3","115","0.271641791","0.258333333","0.266086957","2.555555556","2.555555556","1.488888889","1.488888889","0.68","0.68","0.282222222","0.282222222","58.26086957","70.66974596","100","11.7988972","13.48148148","13.48148148","22.66666667","22.66666667","9.407407407","9.407407407","8.739923855","8.739923855","32.07407407","32.07407407"
"","","GHP2014OHW-AT02","","","","","","","","","GHP2014OHW-AT02-00013","","","","3","","2.48","1.39","12.61","50.25","4.89","7.23","2","69","78","45","34","34","34","5.14","48.07","25.09452736","18.33","5","6","5","8","6","5","5","16","4.5","6.1","20.5","26.6","147","0.231884058","0.057692308","0.139455782","4.323529412","3.266666667","2.029411765","1.533333333","0.602941176","0.455555556","0.179411765","0.135555556","46.93877551","77.06766917","75.55555556","5.144378109","11.85185185","15.68627451","15.18518519","20.09803922","4.518518519","5.980392157","3.810650451","5.04350795","19.7037037","26.07843137"
"","","GHP2014OHW-AT02","","","","","","","","","GHP2014OHW-AT02-00014","","","","3","3.89","1.71","1.09","16.51","50.8","1.48","2.48","2","70","87","45","43","43","43","3.1","63.4","32.5","9.73","2","6","5","7","9","1","1","14.8","4.7","12.1","19.5","31.6","157","0.211428571","0.054022989","0.124203822","3.651162791","3.488888889","1.627906977","1.555555556","0.453488372","0.433333333","0.281395349","0.268888889","44.58598726","61.70886076","95.55555556","6.3375","10.96296296","11.47286822","14.44444444","15.11627907","8.962962963","9.379844961","4.694444444","4.912790698","23.40740741","24.49612403"
"","","GHP2014OHW-AT02","","","","","","","","","GHP2014OHW-AT02-00015","","","","2","0","1.47","0.94","22.24","50.01","0.51","1.27","1","32","51","45","42","42","40","3.17","71.76","44.47110578","5.12","2","5","3","6","9","5","3","7.2","3.7","27","10.9","37.9","83","0.225","0.07254902","0.131325301","1.976190476","1.844444444","0.761904762","0.711111111","0.25952381","0.242222222","0.642857143","0.6","38.55421687","28.75989446","93.33333333","4.84735053","5.333333333","5.714285714","8.074074074","8.650793651","20","21.42857143","3.590630022","3.847103595","28.07407407","30.07936508"
"","","GHP2014OHW-AT02","","","","","","","","","GHP2014OHW-AT02-00016","","","","2","0","1.43","0.81","19.55","50.49","1.42","2.31","2","49","13","45","29","29","28","3.39","70.22","38.72053872","4.12","2","5","7","9","7","3","4","19.7","1.3","12.5","21","33.5","62","0.402040816","0.1","0.338709677","2.137931034","1.377777778","1.689655172","1.088888889","0.724137931","0.466666667","0.431034483","0.277777778","79.03225806","62.68656716","64.44444444","8.131313131","14.59259259","22.64367816","15.55555556","24.13793103","9.259259259","14.36781609","6.023194912","9.346336933","24.81481481","38.50574713"
"","","GHP2014OHW-AT02","","","","","","","","","GHP2014OHW-AT02-00017","","","","3","0","1.85","1.14","19.14","50.63","0.24","0.91","2","61","71","45","42","42","38","5.58","69.31","37.80367371","6.66","2","6","5","7","8","3","4","16.2","4.3","34","20.5","54.5","132","0.26557377","0.06056338","0.15530303","3.142857143","2.933333333","1.452380952","1.355555556","0.488095238","0.455555556","0.80952381","0.755555556","46.21212121","37.6146789","93.33333333","7.749753111","12","12.85714286","15.18518519","16.26984127","25.18518519","26.98412698","5.74055786","6.150597707","40.37037037","43.25396825"
"","","GHP2014OHW-AT02","","","","","","","","","GHP2014OHW-AT02-00018","","","","3","0","1.48","0.9","21.34","50.72","1.22","2.41","1","32","52","45","45","45","44","3.38","68.88","42.07413249","6.87","2","5","3","4","6","1","4","6","3.1","18.9","9.1","28","84","0.1875","0.059615385","0.108333333","1.866666667","1.866666667","0.711111111","0.711111111","0.202222222","0.202222222","0.42","0.42","38.0952381","32.5","100","3.828746057","4.444444444","4.444444444","6.740740741","6.740740741","14","14","2.83610819","2.83610819","20.74074074","20.74074074"
"","","GHP2014OHW-AT02","","","","","","","","","GHP2014OHW-AT02-00019","","","","4","0","1.74","1.09","20.86","50.77","0.43","1.56","2","50","43","45","23","23","22","5.06","70.59","41.08725625","5.02","4","7","6","7","7","4","4","15.5","3.3","14.1","18.8","32.9","93","0.31","0.076744186","0.202150538","4.043478261","2.066666667","2.173913043","1.111111111","0.817391304","0.417777778","0.613043478","0.313333333","53.76344086","57.14285714","51.11111111","7.724404176","11.48148148","22.46376812","13.92592593","27.24637681","10.44444444","20.43478261","5.721780871","11.19478866","24.37037037","47.68115942"
"","","GHP2014OHW-AT02","","","","","","","","","GHP2014OHW-AT02-00020","","","","4","0","1.62","0.98","19.95","50.79","0.95","1.7","2","36","45","45","35","35","33","4.66","67.52","39.27938571","6.64","4","6","5","6","9","5","3","8.5","3","37.7","11.5","49.2","81","0.236111111","0.066666667","0.141975309","2.314285714","1.8","1.028571429","0.8","0.328571429","0.255555556","1.077142857","0.837777778","44.44444444","23.37398374","77.77777778","4.517129356","6.296296296","8.095238095","8.518518519","10.95238095","27.92592593","35.9047619","3.346021745","4.302027958","36.44444444","46.85714286"
"","","GHP2014OHW-AT02","","","","","","","","","GHP2014OHW-AT02-00021","","","","5","0","1.69","1.08","18.72","50.67","1.28","2.14","2","47","56","45","42","42","41","4.59","66.34","36.94493783","6.08","2","5","4","7","8","1","3","13.3","5.6","37.5","18.9","56.4","103","0.282978723","0.1","0.183495146","2.452380952","2.288888889","1.119047619","1.044444444","0.45","0.42","0.892857143","0.833333333","45.63106796","33.5106383","93.33333333","6.98259325","9.851851852","10.55555556","14","15","27.77777778","29.76190476","5.172291297","5.541740675","41.77777778","44.76190476"
"","","GHP2014OHW-AT02","","","","","","","","","GHP2014OHW-AT02-00022","","","","5","0","1.53","0.82","21.15","50.4","1.39","2.21","2","56","23","45","40","40","39","3.9","69.51","41.96428571","4.9","2","5","6","8","7","3","4","23","2.2","17.9","25.2","43.1","79","0.410714286","0.095652174","0.318987342","1.975","1.755555556","1.4","1.244444444","0.63","0.56","0.4475","0.397777778","70.88607595","58.46867749","88.88888889","10.575","17.03703704","19.16666667","18.66666667","21","13.25925926","14.91666667","7.833333333","8.8125","31.92592593","35.91666667"
"","","GHP2014OHW-AT02","","","","","","","","","GHP2014OHW-AT02-00023","","","","3","0","1.65","1.03","21.22","50.85","0.59","1.69","2","30","24","45","29","29","23","4.37","72.07","41.73058014","4.73","3","6","5","8","6","7","5","9.5","1.5","11.9","11","22.9","54","0.316666667","0.0625","0.203703704","1.862068966","1.2","1.034482759","0.666666667","0.379310345","0.244444444","0.410344828","0.264444444","55.55555556","48.0349345","64.44444444","4.590363815","7.037037037","10.91954023","8.148148148","12.64367816","8.814814815","13.67816092","3.400269493","5.276280247","16.96296296","26.32183908"
"","","GHP2014OHW-AT02","","","","","","","","","GHP2014OHW-AT02-00024","","","","3","0","1.96","1.17","22.31","50.94","0.37","1.58","2","25","39","45","36","36","28","5.48","69.46","43.79662348","4.62","2","5","3","6","8","5","5","5.8","2.5","37.6","8.3","45.9","64","0.232","0.064102564","0.1296875","1.777777778","1.422222222","0.694444444","0.555555556","0.230555556","0.184444444","1.044444444","0.835555556","39.0625","18.08278867","80","3.635119749","4.296296296","5.37037037","6.148148148","7.685185185","27.85185185","34.81481481","2.692681295","3.365851619","34","42.5"
"","","GHP2014OHW-AT02","","","","","","","","","GHP2014OHW-AT02-00025","","","","2","1.05","1.48","0.94","18.21","50.46","1.1","1.9","2","70","67","45","45","45","45","3.01","68.11","36.08799049","8.14","2","6","3","8","8","1","3","19.4","3.9","18.3","23.3","41.6","137","0.277142857","0.058208955","0.170072993","3.044444444","3.044444444","1.555555556","1.555555556","0.517777778","0.517777778","0.406666667","0.406666667","51.09489051","56.00961538","100","8.408501784","14.37037037","14.37037037","17.25925926","17.25925926","13.55555556","13.55555556","6.22851984","6.22851984","30.81481481","30.81481481"
"","","GHP2014OHW-AT02","","","","","","","","","GHP2014OHW-AT02-00026","","","","2","0","2","1.25","20.42","50.57","0.58","1.61","2","27","57","45","43","43","43","6.69","66.52","40.37967174","6.8","3","6","5","8","7","3","4","33","3.9","31.9","36.9","68.8","84","1.222222222","0.068421053","0.439285714","1.953488372","1.866666667","0.627906977","0.6","0.858139535","0.82","0.741860465","0.708888889","32.14285714","53.63372093","95.55555556","14.90009887","24.44444444","25.58139535","27.33333333","28.60465116","23.62962963","24.72868217","11.03711028","11.55046424","50.96296296","53.33333333"
"","","GHP2014OHW-AT02","","","","","","","","","GHP2014OHW-AT02-00027","","","","2","0","1.81","1.08","20.58","50.69","0.7","1.76","2","39","30","45","27","27","24","5.66","68.64","40.59972381","5.76","3","6","3","7","7","6","4","7.8","2.6","25.1","10.4","35.5","69","0.2","0.086666667","0.150724638","2.555555556","1.533333333","1.444444444","0.866666667","0.385185185","0.231111111","0.92962963","0.557777778","56.52173913","29.29577465","60","4.222371276","5.777777778","9.62962963","7.703703704","12.83950617","18.59259259","30.98765432","3.127682427","5.212804045","26.2962963","43.82716049"
"","","GHP2014OHW-AT02","","","","","","","","","GHP2014OHW-AT02-00028","","","","3","0","1.92","1.13","22.12","50.28","0.53","1.4","2","34","51","45","44","44","43","4.99","68.4","43.99363564","6.87","3","5","3","4","6","3","3","5.7","3.7","19.3","9.4","28.7","85","0.167647059","0.07254902","0.110588235","1.931818182","1.888888889","0.772727273","0.755555556","0.213636364","0.208888889","0.438636364","0.428888889","40","32.75261324","97.77777778","4.13540175","4.222222222","4.318181818","6.962962963","7.121212121","14.2962963","14.62121212","3.063260556","3.132880114","21.25925926","21.74242424"
"","","GHP2014OHW-AT02","","","","","","","","","GHP2014OHW-AT02-00029","","","","4","","2.6","1.47","12.79","50.46","4.39","6.67","2","67","75","45","38","38","36","5.24","46.55","25.34680935","20.18","5","5","5","7","5","5","5","16.3","4.3","7","20.6","27.6","142","0.243283582","0.057333333","0.145070423","3.736842105","3.155555556","1.763157895","1.488888889","0.542105263","0.457777778","0.184210526","0.155555556","47.18309859","74.63768116","84.44444444","5.221442727","12.07407407","14.29824561","15.25925926","18.07017544","5.185185185","6.140350877","3.867735353","4.580212918","20.44444444","24.21052632"
"","","GHP2014OHW-AT02","","","","","","","","","GHP2014OHW-AT02-00030","","","","3","0","1.86","1.12","19.75","50.23","0.17","0.82","2","51","67","45","43","43","39","5.61","69.25","39.31913199","6.55","3","6","5","7","8","3","5","12.6","5.5","28.5","18.1","46.6","118","0.247058824","0.082089552","0.153389831","2.744186047","2.622222222","1.186046512","1.133333333","0.420930233","0.402222222","0.662790698","0.633333333","43.22033898","38.84120172","95.55555556","7.116762891","9.333333333","9.76744186","13.40740741","14.03100775","21.11111111","22.09302326","5.271676215","5.516870458","34.51851852","36.12403101"
