"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Dry weight of storage root samples measuring g|CO_331:0000247","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2012FMS-AT03","","","","","","","","","GHP2012FMS-AT03-00019","","","","1","","1.91","0.51","19","1","50.41","50.73","1.92","3","50","90","32","30","34","30","4","8","3.46","4","70.95","3","4","9.46","6","2","3","7.9","5.2","13.5","13.1","26.6","140","0.158","0.057777778","0.093571429","4.666666667","4.117647059","1.666666667","1.470588235","0.436666667","0.385294118","0.45","0.397058824","35.71428571","49.2481203","88.23529412","37.69093434","4.937512398","7.745098039","8.777777778","12.84313725","14.55555556","13.23529412","15","4.84069843","5.486124887","26.07843137","29.55555556"
"","","GHP2012FMS-AT03","","","","","","","","","GHP2012FMS-AT03-00002","","","","2","0.64","2.03","0.55","17.5","2","50.46","50.1","1.39","5","26","96","33","29","34","28","2","6","3.12","2","71.41","5","4","6.88","9","1","3","3.4","4.4","21","7.8","28.8","122","0.130769231","0.045833333","0.063934426","4.206896552","3.588235294","0.896551724","0.764705882","0.268965517","0.229411765","0.724137931","0.617647059","21.31147541","27.08333333","85.29411765","34.68093539","2.705112961","3.333333333","3.908045977","7.647058824","8.965517241","20.58823529","24.13793103","2.65207153","3.109325242","28.23529412","33.10344828"
"","","GHP2012FMS-AT03","","","","","","","","","GHP2012FMS-AT03-00020","","","","1","3.83","1.76","0.42","20.6","1","50.9","50.78","1.52","4","4","26","28","21","34","15","2","8","1.59","1","73.24","4","4","7.5","7","4","4","1.1","2.1","11.5","3.2","14.7","30","0.275","0.080769231","0.106666667","1.428571429","0.882352941","0.19047619","0.117647059","0.152380952","0.094117647","0.547619048","0.338235294","13.33333333","21.76870748","61.76470588","40.47151277","1.295088409","1.078431373","1.746031746","3.137254902","5.079365079","11.2745098","18.25396825","1.269694518","2.055695887","14.41176471","23.33333333"
"","","GHP2012FMS-AT03","","","","","","","","","GHP2012FMS-AT03-00021","","","","2","2.14","2.12","0.57","17.9","1","50.2","50.41","1.2","3","50","56","30","30","34","30","5","2","2.79","2","66.98","6","5","9","8","1","1","7","3.2","18.5","10.2","28.7","106","0.14","0.057142857","0.096226415","3.533333333","3.117647059","1.666666667","1.470588235","0.34","0.3","0.616666667","0.544117647","47.16981132","35.54006969","88.23529412","35.65737052","3.637051793","6.862745098","7.777777778","10","11.33333333","18.1372549","20.55555556","3.565737052","4.041168659","28.1372549","31.88888889"
"","","GHP2012FMS-AT03","","","","","","","","","GHP2012FMS-AT03-00022","","","","3","","1.98","0.64","21.31","2","50.82","50.46","1.28","4","20","46","32","24","34","19","5","2","3.05","1","68.7","5","5","11.63","7","5","4","4.9","3.1","7","8","15","66","0.245","0.067391304","0.121212121","2.75","1.941176471","0.833333333","0.588235294","0.333333333","0.235294118","0.291666667","0.205882353","30.3030303","53.33333333","70.58823529","41.93231011","3.354584809","4.803921569","6.805555556","7.843137255","11.11111111","6.862745098","9.722222222","3.288808636","4.659145568","14.70588235","20.83333333"
"","","GHP2012FMS-AT03","","","","","","","","","GHP2012FMS-AT03-00023","","","","1","1.96","2.02","0.61","16.08","2","50.65","50.9","0.23","2","26","46","31","26","34","25","3","2","3.26","3","67.83","5","6","10.69","7","5","4","8","3.6","22.5","11.6","34.1","72","0.307692308","0.07826087","0.161111111","2.769230769","2.117647059","1","0.764705882","0.446153846","0.341176471","0.865384615","0.661764706","36.11111111","34.01759531","76.47058824","31.74728529","3.682685094","7.843137255","10.25641026","11.37254902","14.87179487","22.05882353","28.84615385","3.610475582","4.721391146","33.43137255","43.71794872"
"","","GHP2012FMS-AT03","","","","","","","","","GHP2012FMS-AT03-00024","","","","1","6.86","1.92","0.7","20.2","2","50.65","50.2","2.11","4","47","9","32","24","34","23","2","2","3.54","3","70.02","5","6","9.45","8","4","4","13.8","4.4","20","18.2","38.2","56","0.293617021","0.488888889","0.325","2.333333333","1.647058824","1.958333333","1.382352941","0.758333333","0.535294118","0.833333333","0.588235294","83.92857143","47.64397906","70.58823529","39.88153998","7.258440276","13.52941176","19.16666667","17.84313725","25.27777778","19.60784314","27.77777778","7.116117918","10.08116705","37.45098039","53.05555556"
"","","GHP2012FMS-AT03","","","","","","","","","GHP2012FMS-AT03-00025","","","","1","0.62","2.62","0.94","17.95","1","50.69","50.82","1.62","3","10","70","30","30","34","28","2","6","6.26","1","69.16","3","5","7.69","9","1","1","1.9","2.8","34","4.7","38.7","80","0.19","0.04","0.05875","2.666666667","2.352941176","0.333333333","0.294117647","0.156666667","0.138235294","1.133333333","1","12.5","12.14470284","88.23529412","35.41132373","1.664332215","1.862745098","2.111111111","4.607843137","5.222222222","33.33333333","37.77777778","1.63169825","1.849258017","37.94117647","43"
"","","GHP2012FMS-AT03","","","","","","","","","GHP2012FMS-AT03-00026","","","","2","0.2","1.74","0.6","19.11","1","50.31","50.65","1.12","5","5","26","28","25","34","11","4","6","2.9","1","69.83","2","2","9.13","7","6","5","0.9","1","10.5","1.9","12.4","31","0.18","0.038461538","0.061290323","1.24","0.911764706","0.2","0.147058824","0.076","0.055882353","0.42","0.308823529","16.12903226","15.32258065","73.52941176","37.98449612","0.721705426","0.882352941","1.2","1.862745098","2.533333333","10.29411765","14","0.70755434","0.962273902","12.15686275","16.53333333"
"","","GHP2012FMS-AT03","","","","","","","","","GHP2012FMS-AT03-00027","","","","1","3.69","2.17","0.51","19.71","1","50.94","50.65","1.45","5","28","16","30","20","34","18","1","6","3.08","2","68.26","5","6","10.23","6","4","5","8.3","1.2","6","9.5","15.5","44","0.296428571","0.075","0.215909091","2.2","1.294117647","1.4","0.823529412","0.475","0.279411765","0.3","0.176470588","63.63636364","61.29032258","58.82352941","38.69257951","3.675795053","8.137254902","13.83333333","9.31372549","15.83333333","5.882352941","10","3.60372064","6.126325088","15.19607843","25.83333333"
"","","GHP2012FMS-AT03","","","","","","","","","GHP2012FMS-AT03-00003","","","","2","0.18","1.67","0.55","18.4","2","50.09","50.69","1.14","6","14","50","30","29","34","24","4","6","2","1","70.23","4","3","9.11","7","5","4","1.9","1.7","19.5","3.6","23.1","64","0.135714286","0.034","0.05625","2.206896552","1.882352941","0.482758621","0.411764706","0.124137931","0.105882353","0.672413793","0.573529412","21.875","15.58441558","85.29411765","36.73387902","1.322419645","1.862745098","2.183908046","3.529411765","4.137931034","19.11764706","22.4137931","1.296489848","1.52002258","22.64705882","26.55172414"
"","","GHP2012FMS-AT03","","","","","","","","","GHP2012FMS-AT03-00004","","","","1","0.43","2.22","0.71","19.7","1","50.55","50.31","1.38","2","12","48","31","25","34","21","2","8","4.16","2","69.6","5","3","10.32","7","5","4","2.1","1.8","10","3.9","13.9","60","0.175","0.0375","0.065","2.4","1.764705882","0.48","0.352941176","0.156","0.114705882","0.4","0.294117647","20","28.05755396","73.52941176","38.97131553","1.519881306","2.058823529","2.8","3.823529412","5.2","9.803921569","13.33333333","1.490079711","2.026508408","13.62745098","18.53333333"
"","","GHP2012FMS-AT03","","","","","","","","","GHP2012FMS-AT03-00005","","","","2","","1.89","0.48","19.3","1","50.03","50.94","1.48","1","51","108","29","29","34","29","3","8","3.36","2","70.83","6","6","8.74","8","1","1","10.1","6.2","20","16.3","36.3","159","0.198039216","0.057407407","0.102515723","5.482758621","4.676470588","1.75862069","1.5","0.562068966","0.479411765","0.689655172","0.588235294","32.0754717","44.90358127","85.29411765","38.57685389","6.288027184","9.901960784","11.6091954","15.98039216","18.73563218","19.60784314","22.98850575","6.164732533","7.227617453","35.58823529","41.72413793"
"","","GHP2012FMS-AT03","","","","","","","","","GHP2012FMS-AT03-00006","","","","2","2.28","2","0.58","17.4","1","50.07","50.09","1.37","3","37","68","30","27","34","27","5","2","2.87","1","69.79","6","6","9.03","9","1","1","7","4.6","26.5","11.6","38.1","105","0.189189189","0.067647059","0.11047619","3.888888889","3.088235294","1.37037037","1.088235294","0.42962963","0.341176471","0.981481481","0.779411765","35.23809524","30.44619423","79.41176471","34.75134811","4.031156381","6.862745098","8.641975309","11.37254902","14.32098765","25.98039216","32.71604938","3.952114099","4.976736273","37.35294118","47.03703704"
"","","GHP2012FMS-AT03","","","","","","","","","GHP2012FMS-AT03-00007","","","","2","1.81","1.99","0.44","17.8","2","50.54","50.55","0.2","2","29","34","29","24","34","24","1","6","2.47","3","66.67","6","8","10.57","7","5","5","12.3","3.6","16","15.9","31.9","63","0.424137931","0.105882353","0.252380952","2.625","1.852941176","1.208333333","0.852941176","0.6625","0.467647059","0.666666667","0.470588235","46.03174603","49.84326019","70.58823529","35.21962802","5.599920855","12.05882353","17.08333333","15.58823529","22.08333333","15.68627451","22.22222222","5.490118485","7.777667854","31.2745098","44.30555556"
"","","GHP2012FMS-AT03","","","","","","","","","GHP2012FMS-AT03-00008","","","","4","","2.06","0.7","20.6","2","50.15","50.03","1.75","2","28","60","31","27","34","25","5","2","4.05","1","71.1","6","5","9.22","6","4","5","5.6","3.8","15","9.4","24.4","88","0.2","0.063333333","0.106818182","3.259259259","2.588235294","1.037037037","0.823529412","0.348148148","0.276470588","0.555555556","0.441176471","31.81818182","38.52459016","79.41176471","41.07676969","3.861216351","5.490196078","6.913580247","9.215686275","11.60493827","14.70588235","18.51851852","3.785506226","4.766933767","23.92156863","30.12345679"
"","","GHP2012FMS-AT03","","","","","","","","","GHP2012FMS-AT03-00009","","","","2","9.2","2.32","0.62","19.4","3","50.32","50.07","1.5","3","50","71","30","28","34","28","2","2","2.96","2","74.33","6","8","8.17","8","3","3","15.8","4.8","25.5","20.6","46.1","121","0.316","0.067605634","0.170247934","4.321428571","3.558823529","1.785714286","1.470588235","0.735714286","0.605882353","0.910714286","0.75","41.32231405","44.68546638","82.35294118","38.55325914","7.941971383","15.49019608","18.80952381","20.19607843","24.52380952","25","30.35714286","7.786246454","9.454727837","45.19607843","54.88095238"
