"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Dry weight of storage root samples measuring g|CO_331:0000247","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root shape estimating 1-9 CIP|CO_331:0000181","Storage root dry matter content computing percent|CO_331:0000297","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2014FMS-AT02","","","","","","","","","GHP2014FMS-AT02-00025","","","","4","1.212763","1.7915961","0.8855695","19.2","1","50.3","2.7971847","3.8157558","3","42","38","3","34","30","34","30","3","6","4.7671585","3","70.1412277","5","38.17097416","8","7","0.8424821","3","3","15.4","3.4","17.4","18.8","36.2","80","0.366666667","0.089473684","0.235","2.666666667","2.352941176","1.4","1.235294118","0.626666667","0.552941176","0.58","0.511764706","52.5","51.93370166","88.23529412","7.176143141","15.09803922","17.11111111","18.43137255","20.88888889","17.05882353","19.33333333","7.035434452","7.973492379","35.49019608","40.22222222"
"","","GHP2014FMS-AT02","","","","","","","","","GHP2014FMS-AT02-00026","","","","4","12.4208727","1.8798423","0.8955504","14.9","3","50.7","2.270494","3.2299523","3","55","90","5","34","30","34","30","6","2","2.8035145","3","66.7068481","8","29.38856016","7","7","8.39744","1","1","18.2","6","19","24.2","43.2","145","0.330909091","0.066666667","0.166896552","4.833333333","4.264705882","1.833333333","1.617647059","0.806666667","0.711764706","0.633333333","0.558823529","37.93103448","56.01851852","88.23529412","7.112031558","17.84313725","20.22222222","23.7254902","26.88888889","18.62745098","21.11111111","6.972579959","7.902257287","42.35294118","48"
"","","GHP2014FMS-AT02","","","","","","","","","GHP2014FMS-AT02-00027","","","","3","0","1.8329526","0.8539585","18.3","2","50.4","1.6685205","2.4539363","3","82","160","4","34","30","34","30","4","8","4.4764524","2","70.6745071","2","36.30952381","7","6","5.7968564","1","3","17.2","9.9","9.8","27.1","36.9","242","0.209756098","0.061875","0.111983471","8.066666667","7.117647059","2.733333333","2.411764706","0.903333333","0.797058824","0.326666667","0.288235294","33.88429752","73.44173442","88.23529412","9.839880952","16.8627451","19.11111111","26.56862745","30.11111111","9.607843137","10.88888889","9.64694211","10.93320106","36.17647059","41"
"","","GHP2014FMS-AT02","","","","","","","","","GHP2014FMS-AT02-00028","","","","3","0","1.6123981","0.8146566","21.64","3","50.61","1.0944934","1.6723702","2","30","60","3","34","30","34","30","3","6","4.2328138","3","73.0705948","3","42.75834815","6","5","4.5975366","1","3","6.3","4.7","28.2","11","39.2","90","0.21","0.078333333","0.122222222","3","2.647058824","1","0.882352941","0.366666667","0.323529412","0.94","0.829411765","33.33333333","28.06122449","88.23529412","4.703418297","6.176470588","7","10.78431373","12.22222222","27.64705882","31.33333333","4.611194409","5.22602033","38.43137255","43.55555556"
"","","GHP2014FMS-AT02","","","","","","","","","GHP2014FMS-AT02-00029","","","","3","0","1.91066","0.8984569","20","2","50.31","0.980301","1.3299065","2","16","67","2","34","30","34","30","1","8","5.2113752","2","72.3709335","3","39.75352813","6","5","6.313653","3","4","2.5","2.5","24","5","29","83","0.15625","0.037313433","0.060240964","2.766666667","2.441176471","0.533333333","0.470588235","0.166666667","0.147058824","0.8","0.705882353","19.27710843","17.24137931","88.23529412","1.987676406","2.450980392","2.777777778","4.901960784","5.555555556","23.52941176","26.66666667","1.948702359","2.20852934","28.43137255","32.22222222"
"","","GHP2014FMS-AT02","","","","","","","","","GHP2014FMS-AT02-00003","","","","4","0","1.556157","0.6897638","19.5","2","50.6","0.8577016","1.8719501","4","30","71","3","34","30","34","30","4","9","3.5814388","3","73.9248657","2","38.53754941","5","4","9.2312336","3","4","4.1","3.3","9.5","7.4","16.9","101","0.136666667","0.046478873","0.073267327","3.366666667","2.970588235","1","0.882352941","0.246666667","0.217647059","0.316666667","0.279411765","29.7029703","43.78698225","88.23529412","2.851778656","4.019607843","4.555555556","7.254901961","8.222222222","9.31372549","10.55555556","2.795861428","3.168642951","16.56862745","18.77777778"
"","","GHP2014FMS-AT02","","","","","","","","","GHP2014FMS-AT02-00030","","","","3","1.6850941","1.9812866","0.9013625","20.6","3","50.1","2.2289524","3.0257974","3","55","75","3","34","30","34","30","4","6","4.5448308","3","68.3690643","3","41.11776447","7","6","3.0549793","1","1","10.4","5.1","23.2","15.5","38.7","130","0.189090909","0.068","0.119230769","4.333333333","3.823529412","1.833333333","1.617647059","0.516666667","0.455882353","0.773333333","0.682352941","42.30769231","40.05167959","88.23529412","6.373253493","10.19607843","11.55555556","15.19607843","17.22222222","22.74509804","25.77777778","6.248287738","7.08139277","37.94117647","43"
"","","GHP2014FMS-AT02","","","","","","","","","GHP2014FMS-AT02-00004","","","","4","","2.5464644","1.3736206","11.5","4","50.6","3.400372","5.5582147","4","75","134","2","34","30","34","30","8","6","4.8070922","4","50.8279381","3","22.72727273","7","6","22.6732082","3","4","23.9","13","13.9","36.9","50.8","209","0.318666667","0.097014925","0.176555024","6.966666667","6.147058824","2.5","2.205882353","1.23","1.085294118","0.463333333","0.408823529","35.88516746","72.63779528","88.23529412","8.386363636","23.43137255","26.55555556","36.17647059","41","13.62745098","15.44444444","8.221925134","9.318181818","49.80392157","56.44444444"
"","","GHP2014FMS-AT02","","","","","","","","","GHP2014FMS-AT02-00005","","","","3","0","1.3721977","0.6828338","20.52","4","50.38","0","0.4913544","3","43","46","3","34","30","34","30","1","8","3.7267096","3","79.1148605","3","40.73044859","6","5","10.1017561","3","4","9.5","3.7","36.4","13.2","49.6","89","0.220930233","0.080434783","0.148314607","2.966666667","2.617647059","1.433333333","1.264705882","0.44","0.388235294","1.213333333","1.070588235","48.31460674","26.61290323","88.23529412","5.376419214","9.31372549","10.55555556","12.94117647","14.66666667","35.68627451","40.44444444","5.270999229","5.973799127","48.62745098","55.11111111"
"","","GHP2014FMS-AT02","","","","","","","","","GHP2014FMS-AT02-00006","","","","4","0","1.8205222","0.9958778","17.8","3","50.6","1.7856625","2.734478","4","128","52","3","34","30","34","30","4","8","5.6819892","4","69.7552795","2","35.17786561","6","6","2.5911887","1","3","26.9","3.7","24.6","30.6","55.2","180","0.21015625","0.071153846","0.17","6","5.294117647","4.266666667","3.764705882","1.02","0.9","0.82","0.723529412","71.11111111","55.43478261","88.23529412","10.76442688","26.37254902","29.88888889","30","34","24.11764706","27.33333333","10.55335968","11.96047431","54.11764706","61.33333333"
"","","GHP2014FMS-AT02","","","","","","","","","GHP2014FMS-AT02-00007","","","","3","0","1.630831","0.8121527","17.71","2","50.5","1.5630524","1.9956307","4","27","19","4","34","30","34","30","5","3","5.1885304","3","71.8800583","3","35.06930693","6","6","3.6284835","1","3","10.7","1.7","57","12.4","69.4","46","0.396296296","0.089473684","0.269565217","1.533333333","1.352941176","0.9","0.794117647","0.413333333","0.364705882","1.9","1.676470588","58.69565217","17.86743516","88.23529412","4.348594059","10.49019608","11.88888889","12.15686275","13.77777778","55.88235294","63.33333333","4.263327509","4.831771177","68.03921569","77.11111111"
"","","GHP2014FMS-AT02","","","","","","","","","GHP2014FMS-AT02-00008","","","","4","0.5455668","1.2933047","0.5462549","19.2","3","59.7","0.8977684","2.9110003","4","42","52","2","34","30","34","30","4","6","2.2778981","4","78.5410919","3","32.16080402","7","6","14.7931223","1","3","10.4","5.1","18.4","15.5","33.9","94","0.247619048","0.098076923","0.164893617","3.133333333","2.764705882","1.4","1.235294118","0.516666667","0.455882353","0.613333333","0.541176471","44.68085106","45.72271386","88.23529412","4.984924623","10.19607843","11.55555556","15.19607843","17.22222222","18.03921569","20.44444444","4.887181003","5.538805137","33.23529412","37.66666667"
"","","GHP2014FMS-AT02","","","","","","","","","GHP2014FMS-AT02-00009","","","","4","0","1.69015","0.740097","20.3","3","50.6","0.9666869","1.4261382","4","7","28","3","33","21","34","19","5","3","4.2628465","3","72.5231628","3","40.11857708","7","5","8.0135336","6","7","1.9","1.7","2.6","3.6","6.2","35","0.271428571","0.060714286","0.102857143","1.666666667","1.029411765","0.333333333","0.205882353","0.171428571","0.105882353","0.123809524","0.076470588","20","58.06451613","61.76470588","1.444268775","1.862745098","3.015873016","3.529411765","5.714285714","2.549019608","4.126984127","1.415949779","2.292490119","6.078431373","9.841269841"
