"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Dry weight of storage root samples measuring g|CO_331:0000247","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Storage root sweetness in cooked samples estimating 1-9|CO_331:0000261","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2011PKS-AT01","","","","","","","","","GHP2011PKS-AT01-00019","","","","2","18.3","3","50","0.08","1.37","1","34","29","1","34","30","34","29","2","74.79","5","5","3","9","5","5.4","1.4","12.2","6.8","19","63","0.158823529","0.048275862","0.107936508","2.1","1.852941176","1.133333333","1","0.226666667","0.2","0.406666667","0.358823529","53.96825397","35.78947368","88.23529412","36.6","2.4888","5.294117647","6","6.666666667","7.555555556","11.96078431","13.55555556","2.44","2.765333333","18.62745098","21.11111111"
"","","GHP2011PKS-AT01","","","","","","","","","GHP2011PKS-AT01-00002","","","","1","17.7","2","50","1.46","2.94","1","32","80","2","34","30","34","30","1","70.57","6","5","3","6","4","0.8","3.8","5.6","4.6","10.2","112","0.025","0.0475","0.041071429","3.733333333","3.294117647","1.066666667","0.941176471","0.153333333","0.135294118","0.186666667","0.164705882","28.57142857","45.09803922","88.23529412","35.4","1.6284","0.784313725","0.888888889","4.509803922","5.111111111","5.490196078","6.222222222","1.596470588","1.809333333","10","11.33333333"
"","","GHP2011PKS-AT01","","","","","","","","","GHP2011PKS-AT01-00020","","","","2","16","2","50","1.38","3.09","1","20","56","3","34","28","34","26","1","61.09","5","5","4","9","4","3","1.8","24","4.8","28.8","76","0.15","0.032142857","0.063157895","2.714285714","2.235294118","0.714285714","0.588235294","0.171428571","0.141176471","0.857142857","0.705882353","26.31578947","16.66666667","82.35294118","32","1.536","2.941176471","3.571428571","4.705882353","5.714285714","23.52941176","28.57142857","1.505882353","1.828571429","28.23529412","34.28571429"
"","","GHP2011PKS-AT01","","","","","","","","","GHP2011PKS-AT01-00021","","","","1","17.2","3","50","0.77","2.16","1","38","50","2","34","29","34","29","1","69.58","5","4","4","8","5","4.2","1.8","7.4","6","13.4","88","0.110526316","0.036","0.068181818","3.034482759","2.588235294","1.310344828","1.117647059","0.206896552","0.176470588","0.255172414","0.217647059","43.18181818","44.7761194","85.29411765","34.4","2.064","4.117647059","4.827586207","5.882352941","6.896551724","7.254901961","8.505747126","2.023529412","2.372413793","13.1372549","15.40229885"
"","","GHP2011PKS-AT01","","","","","","","","","GHP2011PKS-AT01-00022","","","","2","18.1","1","50","1.27","2.73","1","31","32","1","34","30","34","29","2","70.12","4","5","3","5","7","5","1.6","6","6.6","12.6","63","0.161290323","0.05","0.104761905","2.1","1.852941176","1.033333333","0.911764706","0.22","0.194117647","0.2","0.176470588","49.20634921","52.38095238","88.23529412","36.2","2.3892","4.901960784","5.555555556","6.470588235","7.333333333","5.882352941","6.666666667","2.342352941","2.654666667","12.35294118","14"
"","","GHP2011PKS-AT01","","","","","","","","","GHP2011PKS-AT01-00023","","","","2","16.47","1","50","1.24","3.07","1","20","44","2","34","29","34","28","1","67.4","5","4","1","6","7","2.6","1.8","5","4.4","9.4","64","0.13","0.040909091","0.06875","2.206896552","1.882352941","0.689655172","0.588235294","0.151724138","0.129411765","0.172413793","0.147058824","31.25","46.80851064","85.29411765","32.94","1.44936","2.549019608","2.988505747","4.31372549","5.057471264","4.901960784","5.747126437","1.420941176","1.665931034","9.215686275","10.8045977"
"","","GHP2011PKS-AT01","","","","","","","","","GHP2011PKS-AT01-00024","","","","2","20.56","3","50","0.2","1.91","1","36","21","2","34","28","34","26","3","75.37","6","5","3","5","5","4.6","1.2","9.2","5.8","15","57","0.127777778","0.057142857","0.101754386","2.035714286","1.676470588","1.285714286","1.058823529","0.207142857","0.170588235","0.328571429","0.270588235","63.15789474","38.66666667","82.35294118","41.12","2.38496","4.509803922","5.476190476","5.68627451","6.904761905","9.019607843","10.95238095","2.338196078","2.839238095","14.70588235","17.85714286"
"","","GHP2011PKS-AT01","","","","","","","","","GHP2011PKS-AT01-00025","","","","2","16.82","3","50","1.65","3.07","1","64","41","2","34","28","34","28","1","69.13","6","6","3","7","4","8.4","1.4","5.4","9.8","15.2","105","0.13125","0.034146341","0.093333333","3.75","3.088235294","2.285714286","1.882352941","0.35","0.288235294","0.192857143","0.158823529","60.95238095","64.47368421","82.35294118","33.64","3.29672","8.235294118","10","9.607843137","11.66666667","5.294117647","6.428571429","3.232078431","3.924666667","14.90196078","18.0952381"
"","","GHP2011PKS-AT01","","","","","","","","","GHP2011PKS-AT01-00026","","","","2","16.97","","50","1.6","3.45","1","48","32","2","34","28","34","27","1","68.61","6","6","2","6","7","6.6","1.4","5.2","8","13.2","80","0.1375","0.04375","0.1","2.857142857","2.352941176","1.714285714","1.411764706","0.285714286","0.235294118","0.185714286","0.152941176","60","60.60606061","82.35294118","33.94","2.7152","6.470588235","7.857142857","7.843137255","9.523809524","5.098039216","6.19047619","2.661960784","3.232380952","12.94117647","15.71428571"
"","","GHP2011PKS-AT01","","","","","","","","","GHP2011PKS-AT01-00027","","","","1","18.36","3","50","1.67","3.45","1","22","46","2","34","25","34","23","1","70.02","5","5","3","7","4","3.2","1.8","8.4","5","13.4","68","0.145454545","0.039130435","0.073529412","2.72","2","0.88","0.647058824","0.2","0.147058824","0.336","0.247058824","32.35294118","37.31343284","73.52941176","36.72","1.836","3.137254902","4.266666667","4.901960784","6.666666667","8.235294118","11.2","1.8","2.448","13.1372549","17.86666667"
"","","GHP2011PKS-AT01","","","","","","","","","GHP2011PKS-AT01-00028","","","","2","","3","","0.95","2.33","1","8","11","2","33","26","34","9","1","69.66","5","4","3","6","7","0.4","0.2","5","0.6","5.6","19","0.05","0.018181818","0.031578947","0.730769231","0.558823529","0.307692308","0.235294118","0.023076923","0.017647059","0.192307692","0.147058824","42.10526316","10.71428571","76.47058824","","","0.392156863","0.512820513","0.588235294","0.769230769","4.901960784","6.41025641","","","5.490196078","7.179487179"
"","","GHP2011PKS-AT01","","","","","","","","","GHP2011PKS-AT01-00029","","","","2","18.23","3","50","0.33","1.71","1","21","36","2","34","30","34","29","1","74.16","5","4","3","6","5","1.4","0.6","9","2","11","57","0.066666667","0.016666667","0.035087719","1.9","1.676470588","0.7","0.617647059","0.066666667","0.058823529","0.3","0.264705882","36.84210526","18.18181818","88.23529412","36.46","0.7292","1.37254902","1.555555556","1.960784314","2.222222222","8.823529412","10","0.714901961","0.810222222","10.78431373","12.22222222"
"","","GHP2011PKS-AT01","","","","","","","","","GHP2011PKS-AT01-00003","","","","1","15.2","3","50","3.86","5.69","1","38","40","2","34","30","34","29","2","61.76","6","4","3","5","6","4.2","0.6","5","4.8","9.8","78","0.110526316","0.015","0.061538462","2.6","2.294117647","1.266666667","1.117647059","0.16","0.141176471","0.166666667","0.147058824","48.71794872","48.97959184","88.23529412","30.4","1.4592","4.117647059","4.666666667","4.705882353","5.333333333","4.901960784","5.555555556","1.430588235","1.621333333","9.607843137","10.88888889"
"","","GHP2011PKS-AT01","","","","","","","","","GHP2011PKS-AT01-00030","","","","2","","3","","1.21","2.7","1","54","66","1","33","29","34","29","1","70.63","5","5","4","8","4","7.2","2.2","6.8","9.4","16.2","120","0.133333333","0.033333333","0.078333333","4.137931034","3.529411765","1.862068966","1.588235294","0.324137931","0.276470588","0.234482759","0.2","45","58.02469136","85.29411765","","","7.058823529","8.275862069","9.215686275","10.8045977","6.666666667","7.816091954","","","15.88235294","18.62068966"
"","","GHP2011PKS-AT01","","","","","","","","","GHP2011PKS-AT01-00031","","","","2","","","","","","1","0","42","","34","30","34","17","1","","4","2","","6","6","0","2.2","4.2","2.2","6.4","42","","0.052380952","0.052380952","1.4","1.235294118","0","0","0.073333333","0.064705882","0.14","0.123529412","0","34.375","88.23529412","","","0","0","2.156862745","2.444444444","4.117647059","4.666666667","","","6.274509804","7.111111111"
"","","GHP2011PKS-AT01","","","","","","","","","GHP2011PKS-AT01-00032","","","","2","","","","","","1","0","26","","34","30","34","4","1","","4","2","","6","4","0","0.2","4","0.2","4.2","26","","0.007692308","0.007692308","0.866666667","0.764705882","0","0","0.006666667","0.005882353","0.133333333","0.117647059","0","4.761904762","88.23529412","","","0","0","0.196078431","0.222222222","3.921568627","4.444444444","","","4.117647059","4.666666667"
"","","GHP2011PKS-AT01","","","","","","","","","GHP2011PKS-AT01-00033","","","","2","19.14","","50","0.76","2.22","1","9","21","","32","27","34","16","2","67.32","4","5","","7","5","1.6","1","8.4","2.6","11","30","0.177777778","0.047619048","0.086666667","1.111111111","0.882352941","0.333333333","0.264705882","0.096296296","0.076470588","0.311111111","0.247058824","30","23.63636364","79.41176471","38.28","0.99528","1.568627451","1.975308642","2.549019608","3.209876543","8.235294118","10.37037037","0.975764706","1.228740741","10.78431373","13.58024691"
"","","GHP2011PKS-AT01","","","","","","","","","GHP2011PKS-AT01-00034","","","","2","16.23","3","50","2.13","4.24","1","6","74","3","34","27","34","15","1","68.63","4","3","3","5","7","0.4","0.6","2","1","3","80","0.066666667","0.008108108","0.0125","2.962962963","2.352941176","0.222222222","0.176470588","0.037037037","0.029411765","0.074074074","0.058823529","7.5","33.33333333","79.41176471","32.46","0.3246","0.392156863","0.49382716","0.980392157","1.234567901","1.960784314","2.469135802","0.318235294","0.400740741","2.941176471","3.703703704"
"","","GHP2011PKS-AT01","","","","","","","","","GHP2011PKS-AT01-00035","","","","2","14.62","3","50","2.4","4.35","1","43","34","1","34","28","34","27","1","66.58","5","6","4","6","4","7","1.2","5.8","8.2","14","77","0.162790698","0.035294118","0.106493506","2.75","2.264705882","1.535714286","1.264705882","0.292857143","0.241176471","0.207142857","0.170588235","55.84415584","58.57142857","82.35294118","29.24","2.39768","6.862745098","8.333333333","8.039215686","9.761904762","5.68627451","6.904761905","2.350666667","2.854380952","13.7254902","16.66666667"
"","","GHP2011PKS-AT01","","","","","","","","","GHP2011PKS-AT01-00036","","","","2","8.85","2","50","0.97","2.61","1","33","60","3","34","24","34","22","2","66.57","5","4","2","9","4","2.8","1.4","2.8","4.2","7","93","0.084848485","0.023333333","0.04516129","3.875","2.735294118","1.375","0.970588235","0.175","0.123529412","0.116666667","0.082352941","35.48387097","60","70.58823529","17.7","0.7434","2.745098039","3.888888889","4.117647059","5.833333333","2.745098039","3.888888889","0.728823529","1.0325","6.862745098","9.722222222"
"","","GHP2011PKS-AT01","","","","","","","","","GHP2011PKS-AT01-00037","","","","2","18.98","3","50","1.14","2.67","1","23","40","1","33","29","34","27","2","71.14","4","4","2","6","6","3.4","1.8","6","5.2","11.2","63","0.147826087","0.045","0.082539683","2.172413793","1.852941176","0.793103448","0.676470588","0.179310345","0.152941176","0.206896552","0.176470588","36.50793651","46.42857143","85.29411765","37.96","1.97392","3.333333333","3.908045977","5.098039216","5.977011494","5.882352941","6.896551724","1.935215686","2.268873563","10.98039216","12.87356322"
"","","GHP2011PKS-AT01","","","","","","","","","GHP2011PKS-AT01-00038","","","","2","9.5","3","50","5.91","9.71","2","29","56","3","31","28","34","27","3","45.33","4","3","2","6","6","2.8","1.6","4","4.4","8.4","85","0.096551724","0.028571429","0.051764706","3.035714286","2.5","1.035714286","0.852941176","0.157142857","0.129411765","0.142857143","0.117647059","34.11764706","52.38095238","82.35294118","19","0.836","2.745098039","3.333333333","4.31372549","5.238095238","3.921568627","4.761904762","0.819607843","0.995238095","8.235294118","10"
"","","GHP2011PKS-AT01","","","","","","","","","GHP2011PKS-AT01-00039","","","","2","15.77","3","50","0.99","2.55","1","32","50","3","33","26","34","25","1","69.13","4","4","3","6","8","3.2","1.6","7","4.8","11.8","82","0.1","0.032","0.058536585","3.153846154","2.411764706","1.230769231","0.941176471","0.184615385","0.141176471","0.269230769","0.205882353","39.02439024","40.6779661","76.47058824","31.54","1.51392","3.137254902","4.102564103","4.705882353","6.153846154","6.862745098","8.974358974","1.484235294","1.940923077","11.56862745","15.12820513"
"","","GHP2011PKS-AT01","","","","","","","","","GHP2011PKS-AT01-00004","","","","1","19.1","3","50","1.09","2.75","1","35","44","2","33","29","34","22","2","69.9","6","5","2","7","4","4.4","0.4","8.8","4.8","13.6","79","0.125714286","0.009090909","0.060759494","2.724137931","2.323529412","1.206896552","1.029411765","0.165517241","0.141176471","0.303448276","0.258823529","44.30379747","35.29411765","85.29411765","38.2","1.8336","4.31372549","5.057471264","4.705882353","5.517241379","8.62745098","10.11494253","1.797647059","2.107586207","13.33333333","15.63218391"
"","","GHP2011PKS-AT01","","","","","","","","","GHP2011PKS-AT01-00040","","","","2","23.14","3","50","0.44","2.089","1","25","20","2","31","26","34","24","2","75.12","5","4","4","6","7","2.8","1","4.6","3.8","8.4","45","0.112","0.05","0.084444444","1.730769231","1.323529412","0.961538462","0.735294118","0.146153846","0.111764706","0.176923077","0.135294118","55.55555556","45.23809524","76.47058824","46.28","1.75864","2.745098039","3.58974359","3.725490196","4.871794872","4.509803922","5.897435897","1.724156863","2.254666667","8.235294118","10.76923077"
"","","GHP2011PKS-AT01","","","","","","","","","GHP2011PKS-AT01-00041","","","","2","17.88","","50","2.05","3.81","1","39","31","3","34","27","34","25","2","67.22","5","5","3","6","6","5.6","1.4","4.8","7","11.8","70","0.143589744","0.04516129","0.1","2.592592593","2.058823529","1.444444444","1.147058824","0.259259259","0.205882353","0.177777778","0.141176471","55.71428571","59.3220339","79.41176471","35.76","2.5032","5.490196078","6.913580247","6.862745098","8.641975309","4.705882353","5.925925926","2.454117647","3.09037037","11.56862745","14.56790123"
"","","GHP2011PKS-AT01","","","","","","","","","GHP2011PKS-AT01-00042","","","","2","19.31","5","50","1.4","3.11","1","40","38","2","34","30","34","30","1","70.71","5","5","3","8","4","6","1.2","14.2","7.2","21.4","78","0.15","0.031578947","0.092307692","2.6","2.294117647","1.333333333","1.176470588","0.24","0.211764706","0.473333333","0.417647059","51.28205128","33.64485981","88.23529412","38.62","2.78064","5.882352941","6.666666667","7.058823529","8","13.92156863","15.77777778","2.726117647","3.0896","20.98039216","23.77777778"
"","","GHP2011PKS-AT01","","","","","","","","","GHP2011PKS-AT01-00005","","","","1","18","3","50","0.76","2.35","1","14","15","3","33","24","34","14","1","70.81","6","5","2","6","7","2.2","0.2","13","2.4","15.4","29","0.157142857","0.013333333","0.082758621","1.208333333","0.852941176","0.583333333","0.411764706","0.1","0.070588235","0.541666667","0.382352941","48.27586207","15.58441558","70.58823529","36","0.864","2.156862745","3.055555556","2.352941176","3.333333333","12.74509804","18.05555556","0.847058824","1.2","15.09803922","21.38888889"
"","","GHP2011PKS-AT01","","","","","","","","","GHP2011PKS-AT01-00006","","","","2","21.8","4","50","0.77","2.32","1","42","18","2","33","27","34","24","2","74.95","6","6","4","6","7","7.8","0.2","12","8","20","60","0.185714286","0.011111111","0.133333333","2.222222222","1.764705882","1.555555556","1.235294118","0.296296296","0.235294118","0.444444444","0.352941176","70","40","79.41176471","43.6","3.488","7.647058824","9.62962963","7.843137255","9.87654321","11.76470588","14.81481481","3.419607843","4.30617284","19.60784314","24.69135802"
"","","GHP2011PKS-AT01","","","","","","","","","GHP2011PKS-AT01-00007","","","","2","19.7","4","50","0.19","1.59","1","21","22","2","34","29","34","26","1","73.45","5","5","2","8","4","2.2","0.4","8","2.6","10.6","43","0.104761905","0.018181818","0.060465116","1.482758621","1.264705882","0.724137931","0.617647059","0.089655172","0.076470588","0.275862069","0.235294118","48.8372093","24.52830189","85.29411765","39.4","1.0244","2.156862745","2.528735632","2.549019608","2.988505747","7.843137255","9.195402299","1.004313725","1.177471264","10.39215686","12.18390805"
"","","GHP2011PKS-AT01","","","","","","","","","GHP2011PKS-AT01-00008","","","","2","16.1","2","50","0.91","2.09","1","42","38","3","34","28","34","28","1","68.27","5","4","3","7","5","4","0.6","5","4.6","9.6","80","0.095238095","0.015789474","0.0575","2.857142857","2.352941176","1.5","1.235294118","0.164285714","0.135294118","0.178571429","0.147058824","52.5","47.91666667","82.35294118","32.2","1.4812","3.921568627","4.761904762","4.509803922","5.476190476","4.901960784","5.952380952","1.452156863","1.763333333","9.411764706","11.42857143"
"","","GHP2011PKS-AT01","","","","","","","","","GHP2011PKS-AT01-00009","","","","2","11.1","3","50","4.33","7.18","1","42","24","3","32","24","34","24","3","47.5","4","6","3","5","6","8.4","0.6","6","9","15","66","0.2","0.025","0.136363636","2.75","1.941176471","1.75","1.235294118","0.375","0.264705882","0.25","0.176470588","63.63636364","60","70.58823529","22.2","1.998","8.235294118","11.66666667","8.823529412","12.5","5.882352941","8.333333333","1.958823529","2.775","14.70588235","20.83333333"
