"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2018NYK-OT01","","","","","","","","","GHP2018NYK-OT01-00108","","","","6","2","3","3","3","3","1","1","8","1","1","0.47","0.03","1.85","0.5","2.35","8","0.078333333","0.015","0.0625","2.666666667","2.666666667","2","2","0.166666667","0.166666667","0.616666667","0.616666667","75","21.27659574","100","5.222222222","5.222222222","5.555555556","5.555555556","20.55555556","20.55555556","26.11111111","26.11111111"
"","","GHP2018NYK-OT01","","","","","","","","","GHP2018NYK-OT01-00109","","","","2","5","3","3","3","3","1","1","7","1","1","0.28","0.16","0.87","0.44","1.31","7","0.14","0.032","0.062857143","2.333333333","2.333333333","0.666666667","0.666666667","0.146666667","0.146666667","0.29","0.29","28.57142857","33.58778626","100","3.111111111","3.111111111","4.888888889","4.888888889","9.666666667","9.666666667","14.55555556","14.55555556"
"","","GHP2018NYK-OT01","","","","","","","","","GHP2018NYK-OT01-00011","","","","0","0","1","1","3","0","","","8","1","1","0","0","4.95","0","4.95","0","","","","0","0","0","0","0","0","4.95","1.65","","0","33.33333333","0","0","0","0","55","165","55","165"
"","","GHP2018NYK-OT01","","","","","","","","","GHP2018NYK-OT01-00110","","","","6","5","3","3","3","3","1","5","8","1","1","1.4","0.24","1.92","1.64","3.56","11","0.233333333","0.048","0.149090909","3.666666667","3.666666667","2","2","0.546666667","0.546666667","0.64","0.64","54.54545455","46.06741573","100","15.55555556","15.55555556","18.22222222","18.22222222","21.33333333","21.33333333","39.55555556","39.55555556"
"","","GHP2018NYK-OT01","","","","","","","","","GHP2018NYK-OT01-00111","","","","2","2","3","3","3","3","1","3","7","1","1","0.29","0.08","0.37","0.37","0.74","4","0.145","0.04","0.0925","1.333333333","1.333333333","0.666666667","0.666666667","0.123333333","0.123333333","0.123333333","0.123333333","50","50","100","3.222222222","3.222222222","4.111111111","4.111111111","4.111111111","4.111111111","8.222222222","8.222222222"
"","","GHP2018NYK-OT01","","","","","","","","","GHP2018NYK-OT01-00112","","","","4","6","3","3","3","3","1","3","8","1","1","1.43","0.2","1.84","1.63","3.47","10","0.3575","0.033333333","0.163","3.333333333","3.333333333","1.333333333","1.333333333","0.543333333","0.543333333","0.613333333","0.613333333","40","46.9740634","100","15.88888889","15.88888889","18.11111111","18.11111111","20.44444444","20.44444444","38.55555556","38.55555556"
"","","GHP2018NYK-OT01","","","","","","","","","GHP2018NYK-OT01-00113","","","","5","4","3","3","3","3","1","3","8","1","1","0.55","0.01","1.81","0.56","2.37","9","0.11","0.0025","0.062222222","3","3","1.666666667","1.666666667","0.186666667","0.186666667","0.603333333","0.603333333","55.55555556","23.62869198","100","6.111111111","6.111111111","6.222222222","6.222222222","20.11111111","20.11111111","26.33333333","26.33333333"
"","","GHP2018NYK-OT01","","","","","","","","","GHP2018NYK-OT01-00114","","","","2","0","3","1","3","1","1","3","7","1","1","0.59","0","1.72","0.59","2.31","2","0.295","","0.295","2","0.666666667","2","0.666666667","0.59","0.196666667","1.72","0.573333333","100","25.54112554","33.33333333","6.555555556","19.66666667","6.555555556","19.66666667","19.11111111","57.33333333","25.66666667","77"
"","","GHP2018NYK-OT01","","","","","","","","","GHP2018NYK-OT01-00115","","","","3","4","3","3","3","3","1","3","7","1","1","2.03","0.21","1.04","2.24","3.28","7","0.676666667","0.0525","0.32","2.333333333","2.333333333","1","1","0.746666667","0.746666667","0.346666667","0.346666667","42.85714286","68.29268293","100","22.55555556","22.55555556","24.88888889","24.88888889","11.55555556","11.55555556","36.44444444","36.44444444"
"","","GHP2018NYK-OT01","","","","","","","","","GHP2018NYK-OT01-00116","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2018NYK-OT01","","","","","","","","","GHP2018NYK-OT01-00117","","","","2","1","3","3","3","3","3","5","7","1","1","0.58","0.3","1.06","0.88","1.94","3","0.29","0.3","0.293333333","1","1","0.666666667","0.666666667","0.293333333","0.293333333","0.353333333","0.353333333","66.66666667","45.36082474","100","6.444444444","6.444444444","9.777777778","9.777777778","11.77777778","11.77777778","21.55555556","21.55555556"
"","","GHP2018NYK-OT01","","","","","","","","","GHP2018NYK-OT01-00118","","","","9","0","3","3","3","3","1","3","7","1","1","1.68","0","1.28","1.68","2.96","9","0.186666667","","0.186666667","3","3","3","3","0.56","0.56","0.426666667","0.426666667","100","56.75675676","100","18.66666667","18.66666667","18.66666667","18.66666667","14.22222222","14.22222222","32.88888889","32.88888889"
"","","GHP2018NYK-OT01","","","","","","","","","GHP2018NYK-OT01-00119","","","","9","2","3","3","3","3","1","3","7","1","1","3.12","0.12","1.29","3.24","4.53","11","0.346666667","0.06","0.294545455","3.666666667","3.666666667","3","3","1.08","1.08","0.43","0.43","81.81818182","71.52317881","100","34.66666667","34.66666667","36","36","14.33333333","14.33333333","50.33333333","50.33333333"
"","","GHP2018NYK-OT01","","","","","","","","","GHP2018NYK-OT01-00012","","","","1","2","2","2","3","2","","","6","2","2","0.39","0.17","2.42","0.56","2.98","3","0.39","0.085","0.186666667","1.5","1","0.5","0.333333333","0.28","0.186666667","1.21","0.806666667","33.33333333","18.79194631","66.66666667","4.333333333","6.5","6.222222222","9.333333333","26.88888889","40.33333333","33.11111111","49.66666667"
"","","GHP2018NYK-OT01","","","","","","","","","GHP2018NYK-OT01-00120","","","","6","2","3","2","3","2","1","3","7","1","1","0.82","0.1","1.15","0.92","2.07","8","0.136666667","0.05","0.115","4","2.666666667","3","2","0.46","0.306666667","0.575","0.383333333","75","44.44444444","66.66666667","9.111111111","13.66666667","10.22222222","15.33333333","12.77777778","19.16666667","23","34.5"
"","","GHP2018NYK-OT01","","","","","","","","","GHP2018NYK-OT01-00121","","","","2","3","3","3","3","","","","6","1","1","0.29","0.11","0.27","0.4","0.67","5","0.145","0.036666667","0.08","1.666666667","1.666666667","0.666666667","0.666666667","0.133333333","0.133333333","0.09","0.09","40","59.70149254","100","3.222222222","3.222222222","4.444444444","4.444444444","3","3","7.444444444","7.444444444"
"","","GHP2018NYK-OT01","","","","","","","","","GHP2018NYK-OT01-00122","","","","4","4","3","3","3","3","1","5","7","1","1","1.21","0.19","1.36","1.4","2.76","8","0.3025","0.0475","0.175","2.666666667","2.666666667","1.333333333","1.333333333","0.466666667","0.466666667","0.453333333","0.453333333","50","50.72463768","100","13.44444444","13.44444444","15.55555556","15.55555556","15.11111111","15.11111111","30.66666667","30.66666667"
"","","GHP2018NYK-OT01","","","","","","","","","GHP2018NYK-OT01-00123","","","","1","1","2","2","3","2","1","3","7","1","1","0.19","0.1","0.7","0.29","0.99","2","0.19","0.1","0.145","1","0.666666667","0.5","0.333333333","0.145","0.096666667","0.35","0.233333333","50","29.29292929","66.66666667","2.111111111","3.166666667","3.222222222","4.833333333","7.777777778","11.66666667","11","16.5"
"","","GHP2018NYK-OT01","","","","","","","","","GHP2018NYK-OT01-00124","","","","2","3","2","2","3","2","1","3","7","2","2","0.5","0.09","1.19","0.59","1.78","5","0.25","0.03","0.118","2.5","1.666666667","1","0.666666667","0.295","0.196666667","0.595","0.396666667","40","33.14606742","66.66666667","5.555555556","8.333333333","6.555555556","9.833333333","13.22222222","19.83333333","19.77777778","29.66666667"
"","","GHP2018NYK-OT01","","","","","","","","","GHP2018NYK-OT01-00125","","","","0","","2","1","3","1","","","7","1","1","0","","0.11","","","","","","","","","0","0","","","0.11","0.036666667","","","33.33333333","0","0","","","1.222222222","3.666666667","",""
"","","GHP2018NYK-OT01","","","","","","","","","GHP2018NYK-OT01-00126","","","","5","2","1","1","3","1","1","1","8","1","1","0.55","0.08","1.54","0.63","2.17","7","0.11","0.04","0.09","7","2.333333333","5","1.666666667","0.63","0.21","1.54","0.513333333","71.42857143","29.03225806","33.33333333","6.111111111","18.33333333","7","21","17.11111111","51.33333333","24.11111111","72.33333333"
"","","GHP2018NYK-OT01","","","","","","","","","GHP2018NYK-OT01-00127","","","","0","3","2","1","3","1","1","3","7","1","1","0","0.15","0.76","0.15","0.91","3","","0.05","0.05","3","1","0","0","0.15","0.05","0.76","0.253333333","0","16.48351648","33.33333333","0","0","1.666666667","5","8.444444444","25.33333333","10.11111111","30.33333333"
"","","GHP2018NYK-OT01","","","","","","","","","GHP2018NYK-OT01-00128","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2018NYK-OT01","","","","","","","","","GHP2018NYK-OT01-00129","","","","1","6","3","3","3","3","1","3","9","1","1","0.27","0.18","3.47","0.45","3.92","7","0.27","0.03","0.064285714","2.333333333","2.333333333","0.333333333","0.333333333","0.15","0.15","1.156666667","1.156666667","14.28571429","11.47959184","100","3","3","5","5","38.55555556","38.55555556","43.55555556","43.55555556"
"","","GHP2018NYK-OT01","","","","","","","","","GHP2018NYK-OT01-00013","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2018NYK-OT01","","","","","","","","","GHP2018NYK-OT01-00130","","","","4","3","3","2","3","2","1","3","7","1","1","0.77","0.16","0.93","0.93","1.86","7","0.1925","0.053333333","0.132857143","3.5","2.333333333","2","1.333333333","0.465","0.31","0.465","0.31","57.14285714","50","66.66666667","8.555555556","12.83333333","10.33333333","15.5","10.33333333","15.5","20.66666667","31"
"","","GHP2018NYK-OT01","","","","","","","","","GHP2018NYK-OT01-00131","","","","2","0","3","2","3","2","1","3","7","2","2","0.46","0","1.46","0.46","1.92","2","0.23","","0.23","1","0.666666667","1","0.666666667","0.23","0.153333333","0.73","0.486666667","100","23.95833333","66.66666667","5.111111111","7.666666667","5.111111111","7.666666667","16.22222222","24.33333333","21.33333333","32"
"","","GHP2018NYK-OT01","","","","","","","","","GHP2018NYK-OT01-00132","","","","5","3","3","3","3","3","1","7","8","1","1","0.7","0.15","2.85","0.85","3.7","8","0.14","0.05","0.10625","2.666666667","2.666666667","1.666666667","1.666666667","0.283333333","0.283333333","0.95","0.95","62.5","22.97297297","100","7.777777778","7.777777778","9.444444444","9.444444444","31.66666667","31.66666667","41.11111111","41.11111111"
"","","GHP2018NYK-OT01","","","","","","","","","GHP2018NYK-OT01-00133","","","","4","5","3","3","3","3","1","5","7","1","1","0.26","0.22","1.55","0.48","2.03","9","0.065","0.044","0.053333333","3","3","1.333333333","1.333333333","0.16","0.16","0.516666667","0.516666667","44.44444444","23.6453202","100","2.888888889","2.888888889","5.333333333","5.333333333","17.22222222","17.22222222","22.55555556","22.55555556"
"","","GHP2018NYK-OT01","","","","","","","","","GHP2018NYK-OT01-00134","","","","4","3","3","3","3","3","1","5","7","1","1","0.79","0.16","0.76","0.95","1.71","7","0.1975","0.053333333","0.135714286","2.333333333","2.333333333","1.333333333","1.333333333","0.316666667","0.316666667","0.253333333","0.253333333","57.14285714","55.55555556","100","8.777777778","8.777777778","10.55555556","10.55555556","8.444444444","8.444444444","19","19"
"","","GHP2018NYK-OT01","","","","","","","","","GHP2018NYK-OT01-00135","","","","1","3","3","3","3","3","3","3","7","1","1","0.21","0.3","1.92","0.51","2.43","4","0.21","0.1","0.1275","1.333333333","1.333333333","0.333333333","0.333333333","0.17","0.17","0.64","0.64","25","20.98765432","100","2.333333333","2.333333333","5.666666667","5.666666667","21.33333333","21.33333333","27","27"
"","","GHP2018NYK-OT01","","","","","","","","","GHP2018NYK-OT01-00136","","","","5","2","3","3","3","3","1","3","8","1","1","1.03","0.03","3.34","1.06","4.4","7","0.206","0.015","0.151428571","2.333333333","2.333333333","1.666666667","1.666666667","0.353333333","0.353333333","1.113333333","1.113333333","71.42857143","24.09090909","100","11.44444444","11.44444444","11.77777778","11.77777778","37.11111111","37.11111111","48.88888889","48.88888889"
"","","GHP2018NYK-OT01","","","","","","","","","GHP2018NYK-OT01-00137","","","","1","0","3","1","3","1","1","3","7","1","1","0.46","0","1.44","0.46","1.9","1","0.46","","0.46","1","0.333333333","1","0.333333333","0.46","0.153333333","1.44","0.48","100","24.21052632","33.33333333","5.111111111","15.33333333","5.111111111","15.33333333","16","48","21.11111111","63.33333333"
"","","GHP2018NYK-OT01","","","","","","","","","GHP2018NYK-OT01-00138","","","","1","0","2","1","3","1","1","1","7","1","1","0.3","0","1.34","0.3","1.64","1","0.3","","0.3","1","0.333333333","1","0.333333333","0.3","0.1","1.34","0.446666667","100","18.29268293","33.33333333","3.333333333","10","3.333333333","10","14.88888889","44.66666667","18.22222222","54.66666667"
"","","GHP2018NYK-OT01","","","","","","","","","GHP2018NYK-OT01-00139","","","","3","3","3","3","3","3","1","3","7","1","1","0.52","0.15","1.46","0.67","2.13","6","0.173333333","0.05","0.111666667","2","2","1","1","0.223333333","0.223333333","0.486666667","0.486666667","50","31.45539906","100","5.777777778","5.777777778","7.444444444","7.444444444","16.22222222","16.22222222","23.66666667","23.66666667"
"","","GHP2018NYK-OT01","","","","","","","","","GHP2018NYK-OT01-00014","","","","2","1","3","2","3","2","5","5","7","1","1","0.3","0.1","1.78","0.4","2.18","3","0.15","0.1","0.133333333","1.5","1","1","0.666666667","0.2","0.133333333","0.89","0.593333333","66.66666667","18.34862385","66.66666667","3.333333333","5","4.444444444","6.666666667","19.77777778","29.66666667","24.22222222","36.33333333"
"","","GHP2018NYK-OT01","","","","","","","","","GHP2018NYK-OT01-00140","","","","1","0","2","1","3","1","1","3","6","1","1","0.12","0","0.04","0.12","0.16","1","0.12","","0.12","1","0.333333333","1","0.333333333","0.12","0.04","0.04","0.013333333","100","75","33.33333333","1.333333333","4","1.333333333","4","0.444444444","1.333333333","1.777777778","5.333333333"
"","","GHP2018NYK-OT01","","","","","","","","","GHP2018NYK-OT01-00141","","","","11","0","3","3","3","3","1","1","7","1","1","1.84","0","2.36","1.84","4.2","11","0.167272727","","0.167272727","3.666666667","3.666666667","3.666666667","3.666666667","0.613333333","0.613333333","0.786666667","0.786666667","100","43.80952381","100","20.44444444","20.44444444","20.44444444","20.44444444","26.22222222","26.22222222","46.66666667","46.66666667"
"","","GHP2018NYK-OT01","","","","","","","","","GHP2018NYK-OT01-00142","","","","2","0","2","1","3","1","1","3","7","1","1","0.18","0","0.15","0.18","0.33","2","0.09","","0.09","2","0.666666667","2","0.666666667","0.18","0.06","0.15","0.05","100","54.54545455","33.33333333","2","6","2","6","1.666666667","5","3.666666667","11"
"","","GHP2018NYK-OT01","","","","","","","","","GHP2018NYK-OT01-00143","","","","4","0","3","2","3","2","1","5","7","1","1","1.51","0","2.76","1.51","4.27","4","0.3775","","0.3775","2","1.333333333","2","1.333333333","0.755","0.503333333","1.38","0.92","100","35.36299766","66.66666667","16.77777778","25.16666667","16.77777778","25.16666667","30.66666667","46","47.44444444","71.16666667"
"","","GHP2018NYK-OT01","","","","","","","","","GHP2018NYK-OT01-00144","","","","4","0","2","1","3","1","1","5","6","1","1","1","0","0.45","1","1.45","4","0.25","","0.25","4","1.333333333","4","1.333333333","1","0.333333333","0.45","0.15","100","68.96551724","33.33333333","11.11111111","33.33333333","11.11111111","33.33333333","5","15","16.11111111","48.33333333"
"","","GHP2018NYK-OT01","","","","","","","","","GHP2018NYK-OT01-00145","","","","4","0","3","3","3","3","1","1","7","1","1","1.25","0","1.51","1.25","2.76","4","0.3125","","0.3125","1.333333333","1.333333333","1.333333333","1.333333333","0.416666667","0.416666667","0.503333333","0.503333333","100","45.28985507","100","13.88888889","13.88888889","13.88888889","13.88888889","16.77777778","16.77777778","30.66666667","30.66666667"
"","","GHP2018NYK-OT01","","","","","","","","","GHP2018NYK-OT01-00146","","","","9","5","2","2","3","2","1","3","7","1","1","1.28","0.08","1.86","1.36","3.22","14","0.142222222","0.016","0.097142857","7","4.666666667","4.5","3","0.68","0.453333333","0.93","0.62","64.28571429","42.23602484","66.66666667","14.22222222","21.33333333","15.11111111","22.66666667","20.66666667","31","35.77777778","53.66666667"
"","","GHP2018NYK-OT01","","","","","","","","","GHP2018NYK-OT01-00147","","","","7","0","2","1","3","1","1","3","8","1","1","1.01","0","2.91","1.01","3.92","7","0.144285714","","0.144285714","7","2.333333333","7","2.333333333","1.01","0.336666667","2.91","0.97","100","25.76530612","33.33333333","11.22222222","33.66666667","11.22222222","33.66666667","32.33333333","97","43.55555556","130.6666667"
"","","GHP2018NYK-OT01","","","","","","","","","GHP2018NYK-OT01-00148","","","","1","1","3","1","3","1","1","3","7","1","1","0.25","0.09","0.28","0.34","0.62","2","0.25","0.09","0.17","2","0.666666667","1","0.333333333","0.34","0.113333333","0.28","0.093333333","50","54.83870968","33.33333333","2.777777778","8.333333333","3.777777778","11.33333333","3.111111111","9.333333333","6.888888889","20.66666667"
"","","GHP2018NYK-OT01","","","","","","","","","GHP2018NYK-OT01-00149","","","","3","1","2","2","3","2","1","5","7","1","1","0.66","0.06","0.09","0.72","0.81","4","0.22","0.06","0.18","2","1.333333333","1.5","1","0.36","0.24","0.045","0.03","75","88.88888889","66.66666667","7.333333333","11","8","12","1","1.5","9","13.5"
"","","GHP2018NYK-OT01","","","","","","","","","GHP2018NYK-OT01-00015","","","","0","2","2","2","3","1","1","5","7","1","1","0","0.3","0.21","0.3","0.51","2","","0.15","0.15","1","0.666666667","0","0","0.15","0.1","0.105","0.07","0","58.82352941","66.66666667","0","0","3.333333333","5","2.333333333","3.5","5.666666667","8.5"
"","","GHP2018NYK-OT01","","","","","","","","","GHP2018NYK-OT01-00150","","","","0","3","3","2","3","2","2","3","7","1","1","0","0.28","0.19","0.28","0.47","3","","0.093333333","0.093333333","1.5","1","0","0","0.14","0.093333333","0.095","0.063333333","0","59.57446809","66.66666667","0","0","3.111111111","4.666666667","2.111111111","3.166666667","5.222222222","7.833333333"
"","","GHP2018NYK-OT01","","","","","","","","","GHP2018NYK-OT01-00151","","","","0","4","3","2","3","2","1","3","7","1","1","0","0.03","0.24","0.03","0.27","4","","0.0075","0.0075","2","1.333333333","0","0","0.015","0.01","0.12","0.08","0","11.11111111","66.66666667","0","0","0.333333333","0.5","2.666666667","4","3","4.5"
"","","GHP2018NYK-OT01","","","","","","","","","GHP2018NYK-OT01-00152","","","","2","3","2","2","3","2","1","3","7","1","1","0.15","0.02","0.1","0.17","0.27","5","0.075","0.006666667","0.034","2.5","1.666666667","1","0.666666667","0.085","0.056666667","0.05","0.033333333","40","62.96296296","66.66666667","1.666666667","2.5","1.888888889","2.833333333","1.111111111","1.666666667","3","4.5"
"","","GHP2018NYK-OT01","","","","","","","","","GHP2018NYK-OT01-00153","","","","3","3","3","3","3","3","1","1","7","1","1","0.16","0.07","0.44","0.23","0.67","6","0.053333333","0.023333333","0.038333333","2","2","1","1","0.076666667","0.076666667","0.146666667","0.146666667","50","34.32835821","100","1.777777778","1.777777778","2.555555556","2.555555556","4.888888889","4.888888889","7.444444444","7.444444444"
"","","GHP2018NYK-OT01","","","","","","","","","GHP2018NYK-OT01-00154","","","","1","2","2","1","3","1","1","1","7","1","1","0.19","0.09","0.11","0.28","0.39","3","0.19","0.045","0.093333333","3","1","1","0.333333333","0.28","0.093333333","0.11","0.036666667","33.33333333","71.79487179","33.33333333","2.111111111","6.333333333","3.111111111","9.333333333","1.222222222","3.666666667","4.333333333","13"
"","","GHP2018NYK-OT01","","","","","","","","","GHP2018NYK-OT01-00155","","","","4","3","3","3","3","2","1","1","7","1","1","0.46","0.1","1.53","0.56","2.09","7","0.115","0.033333333","0.08","2.333333333","2.333333333","1.333333333","1.333333333","0.186666667","0.186666667","0.51","0.51","57.14285714","26.79425837","100","5.111111111","5.111111111","6.222222222","6.222222222","17","17","23.22222222","23.22222222"
"","","GHP2018NYK-OT01","","","","","","","","","GHP2018NYK-OT01-00156","","","","4","0","3","3","3","2","1","3","7","1","1","0.56","0","0.84","0.56","1.4","4","0.14","","0.14","1.333333333","1.333333333","1.333333333","1.333333333","0.186666667","0.186666667","0.28","0.28","100","40","100","6.222222222","6.222222222","6.222222222","6.222222222","9.333333333","9.333333333","15.55555556","15.55555556"
"","","GHP2018NYK-OT01","","","","","","","","","GHP2018NYK-OT01-00157","","","","9","2","3","3","3","3","1","5","7","1","1","1.83","0.07","1.3","1.9","3.2","11","0.203333333","0.035","0.172727273","3.666666667","3.666666667","3","3","0.633333333","0.633333333","0.433333333","0.433333333","81.81818182","59.375","100","20.33333333","20.33333333","21.11111111","21.11111111","14.44444444","14.44444444","35.55555556","35.55555556"
