"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Dry weight of storage root samples measuring g|CO_331:0000247","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2013DVG-PT01","","","","","","","","","GHP2013DVG-PT01-00019","","","","1","17.2","50.15","2.2500949","4.2594719","3","14","8","10","14","10","7","2","63.1140785","5","7","3","4","3.8","0.6","5.5","4.4","9.9","22","0.271428571","0.075","0.2","2.2","1.571428571","1.4","1","0.44","0.314285714","0.55","0.392857143","63.63636364","44.44444444","71.42857143","34.29710867","1.509072782","9.047619048","12.66666667","10.47619048","14.66666667","13.0952381","18.33333333","3.593030433","5.030242606","23.57142857","33"
"","","GHP2013DVG-PT01","","","","","","","","","GHP2013DVG-PT01-00002","","","","1","22.4","50.52","1.1353379","2.914782","1","9","8","8","14","8","5","1","73.50383","5","4","1","7","1.5","0.8","7.5","2.3","9.8","17","0.166666667","0.1","0.135294118","2.125","1.214285714","1.125","0.642857143","0.2875","0.164285714","0.9375","0.535714286","52.94117647","23.46938776","57.14285714","44.33887569","1.019794141","3.571428571","6.25","5.476190476","9.583333333","17.85714286","31.25","2.428081288","4.249142254","23.33333333","40.83333333"
"","","GHP2013DVG-PT01","","","","","","","","","GHP2013DVG-PT01-00020","","","","1","18.3","50.42","1.984077","3.851536","1","10","12","10","14","10","8","2","60.0273895","5","5","4","5","1.4","0.7","3","2.1","5.1","22","0.14","0.058333333","0.095454545","2.2","1.571428571","1","0.714285714","0.21","0.15","0.3","0.214285714","45.45454545","41.17647059","71.42857143","36.29512098","0.762197541","3.333333333","4.666666667","5","7","7.142857143","10","1.814756049","2.540658469","12.14285714","17"
"","","GHP2013DVG-PT01","","","","","","","","","GHP2013DVG-PT01-00021","","","","2","18.5","50.8","2.6181381","4.7343659","1","18","10","8","14","7","8","2","64.0947571","4","5","4","6","2.9","0.7","6","3.6","9.6","28","0.161111111","0.07","0.128571429","3.5","2","2.25","1.285714286","0.45","0.257142857","0.75","0.428571429","64.28571429","37.5","57.14285714","36.41732283","1.311023622","6.904761905","12.08333333","8.571428571","15","14.28571429","25","3.121484814","5.462598425","22.85714286","40"
"","","GHP2013DVG-PT01","","","","","","","","","GHP2013DVG-PT01-00022","","","","1","17.34","50.19","3.498632","5.5050721","1","10","24","9","14","9","7","1","66.3362427","4","5","1","5","1.8","1.6","10.5","3.4","13.9","34","0.18","0.066666667","0.1","3.777777778","2.428571429","1.111111111","0.714285714","0.377777778","0.242857143","1.166666667","0.75","29.41176471","24.46043165","64.28571429","34.54871488","1.174656306","4.285714286","6.666666667","8.095238095","12.59259259","25","38.88888889","2.796800729","4.350578911","33.0952381","51.48148148"
"","","GHP2013DVG-PT01","","","","","","","","","GHP2013DVG-PT01-00023","","","","1","20.06","50.44","1.037317","2.8688719","1","15","9","9","14","9","4","1","68.7434387","4","4","1","6","2","0.8","6.5","2.8","9.3","24","0.133333333","0.088888889","0.116666667","2.666666667","1.714285714","1.666666667","1.071428571","0.311111111","0.2","0.722222222","0.464285714","62.5","30.10752688","64.28571429","39.77002379","1.113560666","4.761904762","7.407407407","6.666666667","10.37037037","15.47619048","24.07407407","2.651334919","4.124298763","22.14285714","34.44444444"
"","","GHP2013DVG-PT01","","","","","","","","","GHP2013DVG-PT01-00024","","","","1","22.38","50.59","0.287251","1.8488671","3","11","11","10","14","10","5","1","75.137886","5","5","1","7","1.6","0.6","11.5","2.2","13.7","22","0.145454545","0.054545455","0.1","2.2","1.571428571","1.1","0.785714286","0.22","0.157142857","1.15","0.821428571","50","16.05839416","71.42857143","44.2379917","0.973235817","3.80952381","5.333333333","5.238095238","7.333333333","27.38095238","38.33333333","2.317228137","3.244119391","32.61904762","45.66666667"
"","","GHP2013DVG-PT01","","","","","","","","","GHP2013DVG-PT01-00025","","","","1","19.07","50.84","0.493563","2.0442851","2","9","16","10","14","10","7","2","62.6360435","4","4","3","6","1","0.7","10.5","1.7","12.2","25","0.111111111","0.04375","0.068","2.5","1.785714286","0.9","0.642857143","0.17","0.121428571","1.05","0.75","36","13.93442623","71.42857143","37.50983478","0.637667191","2.380952381","3.333333333","4.047619048","5.666666667","25","35","1.518255217","2.125557304","29.04761905","40.66666667"
"","","GHP2013DVG-PT01","","","","","","","","","GHP2013DVG-PT01-00026","","","","1","21.93","50.9","1.321775","2.7272611","1","28","9","10","14","10","4","1","70.1595001","5","6","3","4","6.8","0.6","6.5","7.4","13.9","37","0.242857143","0.066666667","0.2","3.7","2.642857143","2.8","2","0.74","0.528571429","0.65","0.464285714","75.67567568","53.23741007","71.42857143","43.08447937","3.188251473","16.19047619","22.66666667","17.61904762","24.66666667","15.47619048","21.66666667","7.591074937","10.62750491","33.0952381","46.33333333"
"","","GHP2013DVG-PT01","","","","","","","","","GHP2013DVG-PT01-00027","","","","1","20.48","50.14","0.719481","2.6948919","2","10","12","9","14","9","6","1","67.7595062","5","5","7","4","1.5","0.6","2.5","2.1","4.6","22","0.15","0.05","0.095454545","2.444444444","1.571428571","1.111111111","0.714285714","0.233333333","0.15","0.277777778","0.178571429","45.45454545","45.65217391","64.28571429","40.84563223","0.857758277","3.571428571","5.555555556","5","7.777777778","5.952380952","9.259259259","2.042281611","3.176882507","10.95238095","17.03703704"
"","","GHP2013DVG-PT01","","","","","","","","","GHP2013DVG-PT01-00028","","","","1","19.26","50.72","0.87321","3.066155","1","5","10","10","14","10","6","1","65.2260895","4","5","6","4","0.8","0.7","7.5","1.5","9","15","0.16","0.07","0.1","1.5","1.071428571","0.5","0.357142857","0.15","0.107142857","0.75","0.535714286","33.33333333","16.66666667","71.42857143","37.97318612","0.569597792","1.904761905","2.666666667","3.571428571","5","17.85714286","25","1.356185219","1.898659306","21.42857143","30"
"","","GHP2013DVG-PT01","","","","","","","","","GHP2013DVG-PT01-00029","","","","","20.97","50.31","1.9137551","4.2399278","1","0","5","8","14","","5","","71.3770523","","","3","6","0","0.2","6.5","0.2","6.7","5","","0.04","0.04","0.625","0.357142857","0","0","0.025","0.014285714","0.8125","0.464285714","0","2.985074627","57.14285714","41.68157424","0.083363148","0","0","0.476190476","0.833333333","15.47619048","27.08333333","0.198483687","0.347346452","15.95238095","27.91666667"
"","","GHP2013DVG-PT01","","","","","","","","","GHP2013DVG-PT01-00003","","","","1","","","","","2","1","7","10","14","3","","1","","3","1","3","5","0.2","0.3","6","0.5","6.5","8","0.2","0.042857143","0.0625","0.8","0.571428571","0.1","0.071428571","0.05","0.035714286","0.6","0.428571429","12.5","7.692307692","71.42857143","","","0.476190476","0.666666667","1.19047619","1.666666667","14.28571429","20","","","15.47619048","21.66666667"
"","","GHP2013DVG-PT01","","","","","","","","","GHP2013DVG-PT01-00030","","","","1","21.58","50.76","0.44931","2.3987789","2","4","0","9","14","4","5","2","68.8072205","5","7","3","7","0.4","0","15","0.4","15.4","4","0.1","","0.1","0.444444444","0.285714286","0.444444444","0.285714286","0.044444444","0.028571429","1.666666667","1.071428571","100","2.597402597","64.28571429","42.51379039","0.170055162","0.952380952","1.481481481","0.952380952","1.481481481","35.71428571","55.55555556","0.404893242","0.629833932","36.66666667","57.03703704"
"","","GHP2013DVG-PT01","","","","","","","","","GHP2013DVG-PT01-00031","","","","1","15.84","50.47","1.195724","2.5027449","1","28","15","10","14","10","6","1","64.1872253","5","8","1","8","6.8","1","11","7.8","18.8","43","0.242857143","0.066666667","0.181395349","4.3","3.071428571","2.8","2","0.78","0.557142857","1.1","0.785714286","65.11627907","41.4893617","71.42857143","31.38498118","2.448028532","16.19047619","22.66666667","18.57142857","26","26.19047619","36.66666667","5.828639361","8.160095106","44.76190476","62.66666667"
"","","GHP2013DVG-PT01","","","","","","","","","GHP2013DVG-PT01-00032","","","","1","24.86","50.25","0.674462","2.5834589","2","6","17","10","14","10","4","1","67.1856155","4","5","4","5","0.8","0.8","2.5","1.6","4.1","23","0.133333333","0.047058824","0.069565217","2.3","1.642857143","0.6","0.428571429","0.16","0.114285714","0.25","0.178571429","26.08695652","39.02439024","71.42857143","49.47263682","0.791562189","1.904761905","2.666666667","3.80952381","5.333333333","5.952380952","8.333333333","1.884671879","2.63854063","9.761904762","13.66666667"
"","","GHP2013DVG-PT01","","","","","","","","","GHP2013DVG-PT01-00033","","","","1","17.88","50.64","0.91065","2.8278811","2","4","4","9","14","6","6","1","66.2626495","5","5","3","5","0.8","0.2","9","1","10","8","0.2","0.05","0.125","0.888888889","0.571428571","0.444444444","0.285714286","0.111111111","0.071428571","1","0.642857143","50","10","64.28571429","35.30805687","0.353080569","1.904761905","2.962962963","2.380952381","3.703703704","21.42857143","33.33333333","0.840668021","1.30770581","23.80952381","37.03703704"
"","","GHP2013DVG-PT01","","","","","","","","","GHP2013DVG-PT01-00034","","","","1","21.82","50.69","1.122303","2.799437","3","8","25","10","14","10","5","1","71.6515198","5","4","1","6","0.9","1.3","15","2.2","17.2","33","0.1125","0.052","0.066666667","3.3","2.357142857","0.8","0.571428571","0.22","0.157142857","1.5","1.071428571","24.24242424","12.79069767","71.42857143","43.04596567","0.947011245","2.142857143","3","5.238095238","7.333333333","35.71428571","50","2.254788678","3.156704149","40.95238095","57.33333333"
"","","GHP2013DVG-PT01","","","","","","","","","GHP2013DVG-PT01-00035","","","","1","19.34","50.35","0.611131","1.6675299","1","10","22","7","14","7","5","1","71.1253586","4","6","1","5","2","1.2","6","3.2","9.2","32","0.2","0.054545455","0.1","4.571428571","2.285714286","1.428571429","0.714285714","0.457142857","0.228571429","0.857142857","0.428571429","31.25","34.7826087","50","38.41112214","1.229155909","4.761904762","9.523809524","7.619047619","15.23809524","14.28571429","28.57142857","2.926561687","5.853123374","21.9047619","43.80952381"
"","","GHP2013DVG-PT01","","","","","","","","","GHP2013DVG-PT01-00036","","","","1","17.91","50.75","0.69259","2.2872479","1","20","45","10","14","10","6","1","68.8023376","5","6","1","6","4","2.1","5.5","6.1","11.6","65","0.2","0.046666667","0.093846154","6.5","4.642857143","2","1.428571429","0.61","0.435714286","0.55","0.392857143","30.76923077","52.5862069","71.42857143","35.29064039","2.152729064","9.523809524","13.33333333","14.52380952","20.33333333","13.0952381","18.33333333","5.125545391","7.175763547","27.61904762","38.66666667"
"","","GHP2013DVG-PT01","","","","","","","","","GHP2013DVG-PT01-00037","","","","1","","","","","3","15","12","10","14","10","","2","","4","7","1","6","3.4","1.4","6","4.8","10.8","27","0.226666667","0.116666667","0.177777778","2.7","1.928571429","1.5","1.071428571","0.48","0.342857143","0.6","0.428571429","55.55555556","44.44444444","71.42857143","","","8.095238095","11.33333333","11.42857143","16","14.28571429","20","","","25.71428571","36"
"","","GHP2013DVG-PT01","","","","","","","","","GHP2013DVG-PT01-00038","","","","1","22.58","50.21","0.120861","1.86449","1","9","9","10","14","10","1","1","70.6079712","6","7","3","8","2.2","0.6","11.5","2.8","14.3","18","0.244444444","0.066666667","0.155555556","1.8","1.285714286","0.9","0.642857143","0.28","0.2","1.15","0.821428571","50","19.58041958","71.42857143","44.97112129","1.259191396","5.238095238","7.333333333","6.666666667","9.333333333","27.38095238","38.33333333","2.998074753","4.197304654","34.04761905","47.66666667"
"","","GHP2013DVG-PT01","","","","","","","","","GHP2013DVG-PT01-00039","","","","1","21","50.02","0.62728","1.76806","2","22","6","10","14","10","4","1","70.2391129","6","7","1","6","4.5","0.4","7.5","4.9","12.4","28","0.204545455","0.066666667","0.175","2.8","2","2.2","1.571428571","0.49","0.35","0.75","0.535714286","78.57142857","39.51612903","71.42857143","41.98320672","2.057177129","10.71428571","15","11.66666667","16.33333333","17.85714286","25","4.898040784","6.857257097","29.52380952","41.33333333"
"","","GHP2013DVG-PT01","","","","","","","","","GHP2013DVG-PT01-00004","","","","1","22.4","50.4","0","1.373632","1","16","4","9","14","9","1","1","73.0895157","5","6","4","8","3","0.4","8","3.4","11.4","20","0.1875","0.1","0.17","2.222222222","1.428571429","1.777777778","1.142857143","0.377777778","0.242857143","0.888888889","0.571428571","80","29.8245614","64.28571429","44.44444444","1.511111111","7.142857143","11.11111111","8.095238095","12.59259259","19.04761905","29.62962963","3.597883598","5.596707819","27.14285714","42.22222222"
"","","GHP2013DVG-PT01","","","","","","","","","GHP2013DVG-PT01-00040","","","","1","16.98","50.94","3.185014","5.526145","3","9","20","8","14","8","8","2","61.7888031","5","6","5","4","1.6","0.9","6","2.5","8.5","29","0.177777778","0.045","0.086206897","3.625","2.071428571","1.125","0.642857143","0.3125","0.178571429","0.75","0.428571429","31.03448276","29.41176471","57.14285714","33.33333333","0.833333333","3.80952381","6.666666667","5.952380952","10.41666667","14.28571429","25","1.984126984","3.472222222","20.23809524","35.41666667"
"","","GHP2013DVG-PT01","","","","","","","","","GHP2013DVG-PT01-00041","","","","1","","","","","1","1","3","8","14","8","","1","","3","4","4","4","0.2","0.1","13","0.3","13.3","4","0.2","0.033333333","0.075","0.5","0.285714286","0.125","0.071428571","0.0375","0.021428571","1.625","0.928571429","25","2.255639098","57.14285714","","","0.476190476","0.833333333","0.714285714","1.25","30.95238095","54.16666667","","","31.66666667","55.41666667"
"","","GHP2013DVG-PT01","","","","","","","","","GHP2013DVG-PT01-00042","","","","1","19.57","50.04","0.771073","2.8833101","3","7","2","9","14","9","5","1","68.0630951","6","7","1","8","2.8","0.1","10.5","2.9","13.4","9","0.4","0.05","0.322222222","1","0.642857143","0.777777778","0.5","0.322222222","0.207142857","1.166666667","0.75","77.77777778","21.64179104","64.28571429","39.10871303","1.134152678","6.666666667","10.37037037","6.904761905","10.74074074","25","38.88888889","2.700363519","4.200565474","31.9047619","49.62962963"
"","","GHP2013DVG-PT01","","","","","","","","","GHP2013DVG-PT01-00043","","","","1","11.24","50.89","5.1986942","8.6899958","2","16","20","8","14","8","7","2","43.84","4","5","1","5","2.4","1.1","5.5","3.5","9","36","0.15","0.055","0.097222222","4.5","2.571428571","2","1.142857143","0.4375","0.25","0.6875","0.392857143","44.44444444","38.88888889","57.14285714","22.086854","0.77303989","5.714285714","10","8.333333333","14.58333333","13.0952381","22.91666667","1.840571167","3.220999541","21.42857143","37.5"
"","","GHP2013DVG-PT01","","","","","","","","","GHP2013DVG-PT01-00044","","","","1","18.76","50.82","0.457503","2.425308","1","11","19","9","14","9","7","1","61.0092583","5","5","3","5","1.5","0.9","6","2.4","8.4","30","0.136363636","0.047368421","0.08","3.333333333","2.142857143","1.222222222","0.785714286","0.266666667","0.171428571","0.666666667","0.428571429","36.66666667","28.57142857","64.28571429","36.91460055","0.885950413","3.571428571","5.555555556","5.714285714","8.888888889","14.28571429","22.22222222","2.109405746","3.281297827","20","31.11111111"
"","","GHP2013DVG-PT01","","","","","","","","","GHP2013DVG-PT01-00045","","","","2","19.48","50.25","1.1317461","2.658015","2","11","22","9","14","9","6","2","68.3457565","4","6","1","7","2.3","1.7","10","4","14","33","0.209090909","0.077272727","0.121212121","3.666666667","2.357142857","1.222222222","0.785714286","0.444444444","0.285714286","1.111111111","0.714285714","33.33333333","28.57142857","64.28571429","38.76616915","1.550646766","5.476190476","8.518518519","9.523809524","14.81481481","23.80952381","37.03703704","3.69201611","5.743136171","33.33333333","51.85185185"
"","","GHP2013DVG-PT01","","","","","","","","","GHP2013DVG-PT01-00046","","","","1","","","","","1","6","6","7","14","7","","1","","4","4","3","4","0.6","0.2","5","0.8","5.8","12","0.1","0.033333333","0.066666667","1.714285714","0.857142857","0.857142857","0.428571429","0.114285714","0.057142857","0.714285714","0.357142857","50","13.79310345","50","","","1.428571429","2.857142857","1.904761905","3.80952381","11.9047619","23.80952381","","","13.80952381","27.61904762"
"","","GHP2013DVG-PT01","","","","","","","","","GHP2013DVG-PT01-00047","","","","1","15.19","50.29","2.900564","4.9193039","2","17","27","10","14","10","8","1","60.5305405","4","6","4","4","3.3","1.4","7","4.7","11.7","44","0.194117647","0.051851852","0.106818182","4.4","3.142857143","1.7","1.214285714","0.47","0.335714286","0.7","0.5","38.63636364","40.17094017","71.42857143","30.20481209","1.419626168","7.857142857","11","11.19047619","15.66666667","16.66666667","23.33333333","3.380062305","4.732087227","27.85714286","39"
"","","GHP2013DVG-PT01","","","","","","","","","GHP2013DVG-PT01-00048","","","","1","19.97","50.8","0.839347","2.5979791","3","12","12","8","14","8","6","1","66.5376129","5","6","4","5","2.2","0.6","4.5","2.8","7.3","24","0.183333333","0.05","0.116666667","3","1.714285714","1.5","0.857142857","0.35","0.2","0.5625","0.321428571","50","38.35616438","57.14285714","39.31102362","1.100708661","5.238095238","9.166666667","6.666666667","11.66666667","10.71428571","18.75","2.620734908","4.586286089","17.38095238","30.41666667"
"","","GHP2013DVG-PT01","","","","","","","","","GHP2013DVG-PT01-00049","","","","1","21.24","50.9","1.135956","3.4137411","3","6","23","9","14","9","5","1","71.5300446","5","2","3","6","0.5","0.9","10","1.4","11.4","29","0.083333333","0.039130435","0.048275862","3.222222222","2.071428571","0.666666667","0.428571429","0.155555556","0.1","1.111111111","0.714285714","20.68965517","12.28070175","64.28571429","41.72888016","0.584204322","1.19047619","1.851851852","3.333333333","5.185185185","23.80952381","37.03703704","1.390962672","2.163719712","27.14285714","42.22222222"
"","","GHP2013DVG-PT01","","","","","","","","","GHP2013DVG-PT01-00005","","","","1","","","","","2","0","1","9","14","1","","1","","1","1","1","6","0","0.1","8.5","0.1","8.6","1","","0.1","0.1","0.111111111","0.071428571","0","0","0.011111111","0.007142857","0.944444444","0.607142857","0","1.162790698","64.28571429","","","0","0","0.238095238","0.37037037","20.23809524","31.48148148","","","20.47619048","31.85185185"
