"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Weight of vines per NET plot in kg|CO_331:0000227","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root dry matter content computing percent|CO_331:0000297","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of calcium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001029","Content of magnesium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001030","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Content of maltose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001051","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","PEP2013CSR-AT01","","","","","","","","","PEP2013CSR-AT01-00022","","","","20","3.76","13","19","28","4.03","1.31","5","29.98027613","3.1371212","1.497179","1.1083794","88.9033203","94.9682007","51.4736252","65.7070007","1.1622429","2.8981156","12.2304726","0.0151596","5.34","9.1","47","0.212105263","0.046785714","0.113617021","3.615384615","2.35","1.461538462","0.95","0.410769231","0.267","0.289230769","0.188","40.42553191","58.68131868","65","1.600946745","8.955555556","13.77777778","11.86666667","18.25641026","8.355555556","12.85470085","3.557659434","5.473322206","20.22222222","31.11111111"
"","","PEP2013CSR-AT01","","","","","","","","","PEP2013CSR-AT01-00023","","","","20","3.45","20","19","52","2.32","1.37","5","28.65612648","2.71175","1.4539742","1.1067162","127.7108154","99.9981842","39.2892532","64.4138794","4.0747385","7.0138755","7.5834627","0.178936","3.69","7.14","71","0.122105263","0.026346154","0.051971831","3.55","3.55","0.95","0.95","0.1845","0.1845","0.1725","0.1725","26.76056338","51.68067227","100","1.057411067","5.155555556","5.155555556","8.2","8.2","7.666666667","7.666666667","2.349802371","2.349802371","15.86666667","15.86666667"
"","","PEP2013CSR-AT01","","","","","","","","","PEP2013CSR-AT01-00024","","","","20","3.38","18","11","62","3.61","0.8","5","27.09163347","2.2497711","1.4097948","1.0662441","128.0805664","117.8868256","33.3257599","62.5844765","4.3743515","7.461617","8.0613575","0","4.41","7.79","73","0.328181818","0.012903226","0.060410959","4.055555556","3.65","0.611111111","0.55","0.245","0.2205","0.187777778","0.169","15.06849315","56.61103979","90","1.194741036","8.022222222","8.913580247","9.8","10.88888889","7.511111111","8.345679012","2.65498008","2.949977867","17.31111111","19.2345679"
"","","PEP2013CSR-AT01","","","","","","","","","PEP2013CSR-AT01-00025","","","","20","1.88","17","23","24","3.47","1.2","7","31.8","4.5101719","1.8461113","1.2741523","149.5836182","131.134964","33.7767181","61.3240089","2.436245","4.8357253","9.5815296","0","4.67","6.55","47","0.150869565","0.05","0.099361702","2.764705882","2.35","1.352941176","1.15","0.274705882","0.2335","0.110588235","0.094","48.93617021","71.29770992","85","1.48506","7.711111111","9.071895425","10.37777778","12.20915033","4.177777778","4.91503268","3.300133333","3.882509804","14.55555556","17.12418301"
"","","PEP2013CSR-AT01","","","","","","","","","PEP2013CSR-AT01-00026","","","","20","2.37","16","31","24","4.23","0.95","5","29.82107356","5.5833187","2.040781","1.3821092","169.6928711","140.6270447","35.9930954","59.9786377","2.6590405","5.30265","10.1348791","0","5.18","7.55","55","0.136451613","0.039583333","0.094181818","3.4375","2.75","1.9375","1.55","0.32375","0.259","0.148125","0.1185","56.36363636","68.60927152","80","1.54473161","9.4","11.75","11.51111111","14.38888889","5.266666667","6.583333333","3.432736912","4.29092114","16.77777778","20.97222222"
"","","PEP2013CSR-AT01","","","","","","","","","PEP2013CSR-AT01-00027","","","","20","2.45","15","18","58","2.4","2.19","3","30.75396825","2.8760681","1.5099258","1.043992","122.6573486","95.9657898","52.5255356","64.1267624","3.1516819","5.5268874","8.8266878","0","4.59","7.04","76","0.133333333","0.037758621","0.060394737","5.066666667","3.8","1.2","0.9","0.306","0.2295","0.163333333","0.1225","23.68421053","65.19886364","75","1.411607143","5.333333333","7.111111111","10.2","13.6","5.444444444","7.259259259","3.136904762","4.182539682","15.64444444","20.85925926"
"","","PEP2013CSR-AT01","","","","","","","","","PEP2013CSR-AT01-00028","","","","20","1.81","15","1","70","0.54","1.67","5","27.38095238","2.9515152","1.4627337","1.0110054","82.2403564","83.4953003","45.3802719","58.5189247","3.1090689","5.3572483","16.2582264","0.4479141","2.21","4.02","71","0.54","0.023857143","0.031126761","4.733333333","3.55","0.066666667","0.05","0.147333333","0.1105","0.120666667","0.0905","1.408450704","54.97512438","75","0.605119048","1.2","1.6","4.911111111","6.548148148","4.022222222","5.362962963","1.344708995","1.792945326","8.933333333","11.91111111"
"","","PEP2013CSR-AT01","","","","","","","","","PEP2013CSR-AT01-00029","","","","20","2.93","15","21","20","4.24","1.31","5","27.38095238","4.0119133","1.6632023","1.1664414","73.6740723","99.9913635","42.7097931","62.8969727","2.2555923","4.621932","10.9345541","0","5.55","8.48","41","0.201904762","0.0655","0.135365854","2.733333333","2.05","1.4","1.05","0.37","0.2775","0.195333333","0.1465","51.2195122","65.44811321","75","1.519642857","9.422222222","12.56296296","12.33333333","16.44444444","6.511111111","8.681481481","3.376984127","4.502645502","18.84444444","25.12592593"
"","","PEP2013CSR-AT01","","","","","","","","","PEP2013CSR-AT01-00030","","","","20","2.29","19","27","13","4.33","0.7","5","26.87747036","2.842411","1.408844","0.9947262","83.1965332","93.6337433","49.7944565","60.7871819","3.2562866","5.856236","14.2326717","0.114481","5.03","7.32","40","0.16037037","0.053846154","0.12575","2.105263158","2","1.421052632","1.35","0.264736842","0.2515","0.120526316","0.1145","67.5","68.71584699","95","1.351936759","9.622222222","10.12865497","11.17777778","11.76608187","5.088888889","5.356725146","3.004303909","3.162425168","16.26666667","17.12280702"
"","","PEP2013CSR-AT01","","","","","","","","","PEP2013CSR-AT01-00031","","","","20","3.47","15","21","17","5.01","1.02","3","27.66798419","3.2768536","1.6257215","1.1462622","182.2456055","130.0474396","39.8260422","60.2937813","4.3716221","7.7818666","10.0923367","0","6.03","9.5","38","0.238571429","0.06","0.158684211","2.533333333","1.9","1.4","1.05","0.402","0.3015","0.231333333","0.1735","55.26315789","63.47368421","75","1.668379447","11.13333333","14.84444444","13.4","17.86666667","7.711111111","10.28148148","3.707509881","4.943346509","21.11111111","28.14814815"
