"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants harvested per NET plot|CO_331:0000679","Weight of vines per NET plot in kg|CO_331:0000227","Number of commercial storage roots per NET plot|CO_331:0000214","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Fresh weight of storage root samples measuring g|CO_331:0000243","Dry weight of storage root samples measuring g|CO_331:0000247","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Virus symptoms estimating 1-9|CO_331:0000193","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023"
"","","PEP2019HUA-PT03","","","","","","","","","PEP2019HUA-PT03-00011","","","","30","28","21.9","99","16.03","1.28","139.4","28.28","6","","17.31","39.21","0.161919192","3.535714286","3.3","0.618214286","0.577","0.782142857","0.73","44.1469013","93.33333333","20.28694405","3.511670014","23.74814815","25.44444444","25.64444444","27.47619048","32.44444444","34.76190476","5.202474095","5.574079388","58.08888889","62.23809524","4.61"
"","","PEP2019HUA-PT03","","","","","","","","","PEP2019HUA-PT03-00012","","","","30","20","14.23","62","12.08","2.13","153.88","32.87","4","","14.21","28.44","0.19483871","3.1","2.066666667","0.7105","0.473666667","0.7115","0.474333333","49.96483826","66.66666667","21.36080062","3.035369769","17.8962963","26.84444444","21.05185185","31.57777778","21.08148148","31.62222222","4.496844102","6.745266153","42.13333333","63.2","11.03"
"","","PEP2019HUA-PT03","","","","","","","","","PEP2019HUA-PT03-00013","","","","30","28","16.8","73","10.06","1.76","150.92","35.36","3","","11.82","28.62","0.137808219","2.607142857","2.433333333","0.422142857","0.394","0.6","0.56","41.29979036","93.33333333","23.42963159","2.769382454","14.9037037","15.96825397","17.51111111","18.76190476","24.88888889","26.66666667","4.102788821","4.395845166","42.4","45.42857143","7.76"
"","","PEP2019HUA-PT03","","","","","","","","","PEP2019HUA-PT03-00014","","","","30","28","15.05","130","23.43","3.6","149.97","23.38","5","","27.03","42.08","0.180230769","4.642857143","4.333333333","0.965357143","0.901","0.5375","0.501666667","64.23479087","93.33333333","15.58978462","4.213918784","34.71111111","37.19047619","40.04444444","42.9047619","22.2962963","23.88888889","6.242842643","6.688759974","62.34074074","66.79365079","4.61"
"","","PEP2019HUA-PT03","","","","","","","","","PEP2019HUA-PT03-00015","","","","30","23","23.72","130","17","2.7","145.9","34.37","3","","19.7","43.42","0.130769231","5.652173913","4.333333333","0.856521739","0.656666667","1.031304348","0.790666667","45.37079687","76.66666667","23.55723098","4.640774503","25.18518519","32.85024155","29.18518519","38.06763285","35.14074074","45.83574879","6.875221486","8.967680199","64.32592593","83.90338164","7.76"
"","","PEP2019HUA-PT03","","","","","","","","","PEP2019HUA-PT03-00016","","","","30","24","20.62","87","20.72","2.26","150.37","32.6","6","","22.98","43.6","0.23816092","3.625","2.9","0.9575","0.766","0.859166667","0.687333333","52.70642202","80","21.67985635","4.98203099","30.6962963","38.37037037","34.04444444","42.55555556","30.54814815","38.18518519","7.380786652","9.225983315","64.59259259","80.74074074","10.5"
"","","PEP2019HUA-PT03","","","","","","","","","PEP2019HUA-PT03-00017","","","","30","11","14.48","45","8.34","1.09","153.07","31.2","6","","9.43","23.91","0.185333333","4.090909091","1.5","0.857272727","0.314333333","1.316363636","0.482666667","39.43956504","36.66666667","20.38283138","1.922101","12.35555556","33.6969697","13.97037037","38.1010101","21.45185185","58.50505051","2.847557036","7.766064645","35.42222222","96.60606061","3.76"
"","","PEP2019HUA-PT03","","","","","","","","","PEP2019HUA-PT03-00018","","","","30","19","12.62","55","10.61","1.98","154.45","36.32","5","","12.59","25.21","0.192909091","2.894736842","1.833333333","0.662631579","0.419666667","0.664210526","0.420666667","49.9404998","63.33333333","23.51570087","2.96062674","15.71851852","24.81871345","18.65185185","29.4502924","18.6962963","29.52046784","4.386113689","6.925442667","37.34814815","58.97076023","7.23"
"","","PEP2019HUA-PT03","","","","","","","","","PEP2019HUA-PT03-00019","","","","30","25","25.24","68","11.26","1.56","146.73","31.62","4","","12.82","38.06","0.165588235","2.72","2.266666667","0.5128","0.427333333","1.0096","0.841333333","33.68365738","83.33333333","21.54978532","2.762682478","16.68148148","20.01777778","18.99259259","22.79111111","37.39259259","44.87111111","4.09286293","4.911435516","56.38518519","67.66222222","3.03"
"","","PEP2019HUA-PT03","","","","","","","","","PEP2019HUA-PT03-00020","","","","30","27","17.1","73","10.38","1.64","143.22","30.01","6","","12.02","29.12","0.142191781","2.703703704","2.433333333","0.445185185","0.400666667","0.633333333","0.57","41.27747253","90","20.95377741","2.518644044","15.37777778","17.08641975","17.80740741","19.78600823","25.33333333","28.14814815","3.73132451","4.145916122","43.14074074","47.93415638","3.03"
"","","PEP2019HUA-PT03","","","","","","","","","PEP2019HUA-PT03-00021","","","","30","26","11.05","78","14.32","1.33","139.35","29.09","3","","15.65","26.7","0.183589744","3","2.6","0.601923077","0.521666667","0.425","0.368333333","58.61423221","86.66666667","20.87549336","3.267014711","21.21481481","24.47863248","23.18518519","26.75213675","16.37037037","18.88888889","4.840021794","5.584640532","39.55555556","45.64102564","7.23"
"","","PEP2019HUA-PT03","","","","","","","","","PEP2019HUA-PT03-00022","","","","30","21","13.05","53","8.88","1.23","101.41","18.4","5","","10.11","23.16","0.16754717","2.523809524","1.766666667","0.481428571","0.337","0.621428571","0.435","43.65284974","70","18.14416724","1.834375308","13.15555556","18.79365079","14.97777778","21.3968254","19.33333333","27.61904762","2.717593049","3.882275784","34.31111111","49.01587302","11.03"
"","","PEP2019HUA-PT03","","","","","","","","","PEP2019HUA-PT03-00023","","","","30","23","17.12","55","9.54","1.61","150.83","27.38","5","","11.15","28.27","0.173454545","2.391304348","1.833333333","0.484782609","0.371666667","0.744347826","0.570666667","39.44110364","76.66666667","18.15288736","2.02404694","14.13333333","18.43478261","16.51851852","21.54589372","25.36296296","33.0821256","2.99858806","3.911201817","41.88148148","54.62801932","3.76"
"","","PEP2019HUA-PT03","","","","","","","","","PEP2019HUA-PT03-00024","","","","30","23","13.44","77","17.42","0.88","143.86","34.82","1","","18.3","31.74","0.226233766","3.347826087","2.566666667","0.795652174","0.61","0.584347826","0.448","57.65595463","76.66666667","24.20408731","4.429347977","25.80740741","33.66183575","27.11111111","35.36231884","19.91111111","25.97101449","6.561997003","8.559126526","47.02222222","61.33333333","0"
"","","PEP2019HUA-PT03","","","","","","","","","PEP2019HUA-PT03-00025","","","","30","26","30.25","75","12.66","4.01","155.05","35.49","6","","16.67","46.92","0.1688","2.884615385","2.5","0.641153846","0.555666667","1.163461538","1.008333333","35.52855925","86.66666667","22.88939052","3.8156614","18.75555556","21.64102564","24.6962963","28.4957265","44.81481481","51.70940171","5.652831703","6.522498119","69.51111111","80.20512821","7.23"
"","","PEP2019HUA-PT03","","","","","","","","","PEP2019HUA-PT03-00026","","","","30","19","18.28","74","16.36","1.99","155.49","25.54","5","","18.35","36.63","0.221081081","3.894736842","2.466666667","0.965789474","0.611666667","0.962105263","0.609333333","50.0955501","63.33333333","16.4254936","3.014078076","24.23703704","38.26900585","27.18518519","42.92397661","27.08148148","42.76023392","4.465300853","7.050475031","54.26666667","85.68421053","12.39"
"","","PEP2019HUA-PT03","","","","","","","","","PEP2019HUA-PT03-00027","","","","30","22","18.63","81","17.68","1.26","149.78","32.12","1","","18.94","37.57","0.218271605","3.681818182","2.7","0.860909091","0.631333333","0.846818182","0.621","50.41256322","73.33333333","21.44478569","4.061642409","26.19259259","35.71717172","28.05925926","38.26262626","27.6","37.63636364","6.017248013","8.2053382","55.65925926","75.8989899",""
"","","PEP2019HUA-PT03","","","","","","","","","PEP2019HUA-PT03-00028","","","","30","23","15.79","76","21.55","1.15","150.96","32.05","4","","22.7","38.49","0.283552632","3.304347826","2.533333333","0.986956522","0.756666667","0.686521739","0.526333333","58.9763575","76.66666667","21.23078961","4.819389242","31.92592593","41.64251208","33.62962963","43.8647343","23.39259259","30.51207729","7.139835914","9.312829453","57.02222222","74.37681159","4.61"
"","","PEP2019HUA-PT03","","","","","","","","","PEP2019HUA-PT03-00029","","","","30","21","10.85","57","12.18","0.7","154.21","37.92","3","1","12.88","23.73","0.213684211","2.714285714","1.9","0.613333333","0.429333333","0.516666667","0.361666667","54.27728614","70","24.58984502","3.167172038","18.04444444","25.77777778","19.08148148","27.25925926","16.07407407","22.96296296","4.692106723","6.703009605","35.15555556","50.22222222","10.5"
"","","PEP2019HUA-PT03","","","","","","","","","PEP2019HUA-PT03-00030","","","","30","23","14.49","57","11.15","0.48","133.58","29.94","4","","11.63","26.12","0.195614035","2.47826087","1.9","0.505652174","0.387666667","0.63","0.483","44.52526799","76.66666667","22.41353496","2.606694116","16.51851852","21.54589372","17.22962963","22.47342995","21.46666667","28","3.861769061","5.037090079","38.6962963","50.47342995","7.76"
"","","PEP2019HUA-PT03","","","","","","","","","PEP2019HUA-PT03-00031","","","","30","15","15.31","41","12.23","0.73","153.42","32.23","5","","12.96","28.27","0.298292683","2.733333333","1.366666667","0.864","0.432","1.020666667","0.510333333","45.84365051","50","21.0076913","2.722596793","18.11851852","36.23703704","19.2","38.4","22.68148148","45.36296296","4.033476731","8.066953461","41.88148148","83.76296296","11.03"
"","","PEP2019HUA-PT03","","","","","","","","","PEP2019HUA-PT03-00032","","","","30","24","22.7","97","19.4","1.82","154.79","36.14","3","","21.22","43.92","0.2","4.041666667","3.233333333","0.884166667","0.707333333","0.945833333","0.756666667","48.3151184","80","23.34776148","4.954394987","28.74074074","35.92592593","31.43703704","39.2962963","33.62962963","42.03703704","7.339844425","9.174805531","65.06666667","81.33333333",""
"","","PEP2019HUA-PT03","","","","","","","","","PEP2019HUA-PT03-00033","","","","30","14","10.96","11","1.22","0.63","112.34","22.82","5","1","1.85","12.81","0.110909091","0.785714286","0.366666667","0.132142857","0.061666667","0.782857143","0.365333333","14.44184231","46.66666667","20.31333452","0.375796689","1.807407407","3.873015873","2.740740741","5.873015873","16.23703704","34.79365079","0.556735835","1.193005361","18.97777778","40.66666667","4.61"
"","","PEP2019HUA-PT03","","","","","","","","","PEP2019HUA-PT03-00034","","","","30","15","5.49","54","9.27","0.97","154.21","34.67","4","","10.24","15.73","0.171666667","3.6","1.8","0.682666667","0.341333333","0.366","0.183","65.09853783","50","22.48232929","2.302190519","13.73333333","27.46666667","15.17037037","30.34074074","8.133333333","16.26666667","3.410652621","6.821305243","23.3037037","46.60740741","14.37"
"","","PEP2019HUA-PT03","","","","","","","","","PEP2019HUA-PT03-00035","","","","30","17","15.63","16","1.74","0.5","140.82","31.95","6","","2.24","17.87","0.10875","0.941176471","0.533333333","0.131764706","0.074666667","0.919411765","0.521","12.53497482","56.66666667","22.68853856","0.508223264","2.577777778","4.549019608","3.318518519","5.85620915","23.15555556","40.8627451","0.752923354","1.328688271","26.47407407","46.71895425","12.39"
"","","PEP2019HUA-PT03","","","","","","","","","PEP2019HUA-PT03-00036","","","","30","20","10.29","55","10.12","0.87","154.16","27.22","5","","10.99","21.28","0.184","2.75","1.833333333","0.5495","0.366333333","0.5145","0.343","51.64473684","66.66666667","17.65697976","1.940502076","14.99259259","22.48888889","16.28148148","24.42222222","15.24444444","22.86666667","2.87481789","4.312226835","31.52592593","47.28888889","4.61"
"","","PEP2019HUA-PT03","","","","","","","","","PEP2019HUA-PT03-00037","","","","30","18","19.03","63","19.36","0.56","149.59","37.53","3","","19.92","38.95","0.307301587","3.5","2.1","1.106666667","0.664","1.057222222","0.634333333","51.14249037","60","25.08857544","4.997644228","28.68148148","47.80246914","29.51111111","49.18518519","28.19259259","46.98765432","7.403917374","12.33986229","57.7037037","96.17283951","7.76"
"","","PEP2019HUA-PT03","","","","","","","","","PEP2019HUA-PT03-00038","","","","30","23","15.1","48","8.69","0.96","146.73","29.03","4","","9.65","24.75","0.181041667","2.086956522","1.6","0.419565217","0.321666667","0.656521739","0.503333333","38.98989899","76.66666667","19.78463845","1.909217611","12.87407407","16.79227053","14.2962963","18.647343","22.37037037","29.17874396","2.828470534","3.689309392","36.66666667","47.82608696","7.23"
"","","PEP2019HUA-PT03","","","","","","","","","PEP2019HUA-PT03-00039","","","","30","21","16.96","68","9.46","1.78","148.62","30.26","5","","11.24","28.2","0.139117647","3.238095238","2.266666667","0.535238095","0.374666667","0.807619048","0.565333333","39.85815603","70","20.36065133","2.288537209","14.01481481","20.02116402","16.65185185","23.78835979","25.12592593","35.89417989","3.390425495","4.843464993","41.77777778","59.68253968","10.5"
"","","PEP2019HUA-PT03","","","","","","","","","PEP2019HUA-PT03-00040","","","","30","22","22.64","61","15.77","2.09","145.68","34.84","5","","17.86","40.5","0.25852459","2.772727273","2.033333333","0.811818182","0.595333333","1.029090909","0.754666667","44.09876543","73.33333333","23.91543108","4.271295991","23.36296296","31.85858586","26.45925926","36.08080808","33.54074074","45.73737374","6.327845913","8.62888079","60","81.81818182","4.61"
"","","PEP2019HUA-PT03","","","","","","","","","PEP2019HUA-PT03-00041","","","","30","12","4.43","15","1.9","0.5","155.55","39.01","5","2","2.4","6.83","0.126666667","1.25","0.5","0.2","0.08","0.369166667","0.147666667","35.13909224","40","25.07875281","0.601890068","2.814814815","7.037037037","3.555555556","8.888888889","6.562962963","16.40740741","0.891688989","2.229222472","10.11851852","25.2962963","12.39"
"","","PEP2019HUA-PT03","","","","","","","","","PEP2019HUA-PT03-00042","","","","30","27","25.26","86","14.75","3.28","146.12","34.67","4","","18.03","43.29","0.171511628","3.185185185","2.866666667","0.667777778","0.601","0.935555556","0.842","41.64934165","90","23.72707364","4.277991377","21.85185185","24.27983539","26.71111111","29.67901235","37.42222222","41.58024691","6.337765003","7.041961114","64.13333333","71.25925926","0.69"
"","","PEP2019HUA-PT03","","","","","","","","","PEP2019HUA-PT03-00043","","","","30","25","16.93","95","19.26","2.21","150.74","35.65","4","","21.47","38.4","0.202736842","3.8","3.166666667","0.8588","0.715666667","0.6772","0.564333333","55.91145833","83.33333333","23.64999337","5.077653576","28.53333333","34.24","31.80740741","38.16888889","25.08148148","30.09777778","7.522449742","9.02693969","56.88888889","68.26666667","10.5"
"","","PEP2019HUA-PT03","","","","","","","","","PEP2019HUA-PT03-00044","","","","30","25","15.74","79","12.58","2.2","152.9","35.06","3","","14.78","30.52","0.159240506","3.16","2.633333333","0.5912","0.492666667","0.6296","0.524666667","48.42726081","83.33333333","22.93001962","3.3890569","18.63703704","22.36444444","21.8962963","26.27555556","23.31851852","27.98222222","5.020825037","6.024990044","45.21481481","54.25777778",""
"","","PEP2019HUA-PT03","","","","","","","","","PEP2019HUA-PT03-00045","","","","30","24","10.82","71","13.61","0.86","151.8","38.9","2","","14.47","25.29","0.191690141","2.958333333","2.366666667","0.602916667","0.482333333","0.450833333","0.360666667","57.21629102","80","25.62582345","3.708056653","20.16296296","25.2037037","21.43703704","26.7962963","16.02962963","20.03703704","5.493417264","6.866771581","37.46666667","46.83333333","11.03"
"","","PEP2019HUA-PT03","","","","","","","","","PEP2019HUA-PT03-00046","","","","30","27","17.07","69","13.43","1.93","151.61","39.36","2","","15.36","32.43","0.194637681","2.555555556","2.3","0.568888889","0.512","0.632222222","0.569","47.36355227","90","25.9613482","3.987663083","19.8962963","22.10699588","22.75555556","25.28395062","25.28888889","28.09876543","5.907649012","6.564054457","48.04444444","53.38271605","12.39"
"","","PEP2019HUA-PT03","","","","","","","","","PEP2019HUA-PT03-00047","","","","30","23","12.13","30","7.23","0.61","153.73","35.52","6","","7.84","19.97","0.241","1.304347826","1","0.340869565","0.261333333","0.527391304","0.404333333","39.25888833","76.66666667","23.10544461","1.811466857","10.71111111","13.97101449","11.61481481","15.14975845","17.97037037","23.43961353","2.683654604","3.500419048","29.58518519","38.58937198","0.69"
"","","PEP2019HUA-PT03","","","","","","","","","PEP2019HUA-PT03-00048","","","","30","19","10.27","63","16.63","0.88","148.01","31.35","3","","17.51","27.78","0.263968254","3.315789474","2.1","0.921578947","0.583666667","0.540526316","0.342333333","63.03095752","63.33333333","21.18100128","3.708793325","24.63703704","38.9005848","25.94074074","40.95906433","15.21481481","24.02339181","5.494508629","8.675539941","41.15555556","64.98245614","7.76"
"","","PEP2019HUA-PT03","","","","","","","","","PEP2019HUA-PT03-00049","","","","30","14","15.49","23","7.42","1.45","138.61","32.59","5","","8.87","24.36","0.322608696","1.642857143","0.766666667","0.633571429","0.295666667","1.106428571","0.516333333","36.41215107","46.66666667","23.51201212","2.085515475","10.99259259","23.55555556","13.14074074","28.15873016","22.94814815","49.17460317","3.089652556","6.620684048","36.08888889","77.33333333","3.76"
"","","PEP2019HUA-PT03","","","","","","","","","PEP2019HUA-PT03-00050","","","","30","21","15.71","55","14.15","0.76","150.93","30.63","5","","14.91","30.62","0.257272727","2.619047619","1.833333333","0.71","0.497","0.748095238","0.523666667","48.69366427","70","20.29417611","3.025861658","20.96296296","29.94708995","22.08888889","31.55555556","23.27407407","33.24867725","4.482758011","6.403940016","45.36296296","64.8042328","12.39"
"","","PEP2019HUA-PT03","","","","","","","","","PEP2019HUA-PT03-00051","","","","30","22","20.53","56","11.55","0.51","150.46","34.57","5","","12.06","32.59","0.20625","2.545454545","1.866666667","0.548181818","0.402","0.933181818","0.684333333","37.00521632","73.33333333","22.9762063","2.77093048","17.11111111","23.33333333","17.86666667","24.36363636","30.41481481","41.47474747","4.105082192","5.597839353","48.28148148","65.83838384","10.5"
"","","PEP2019HUA-PT03","","","","","","","","","PEP2019HUA-PT03-00052","","","","30","18","15.79","59","9.38","3.07","155.63","27.52","6","","12.45","28.24","0.158983051","3.277777778","1.966666667","0.691666667","0.415","0.877222222","0.526333333","44.08640227","60","17.68296601","2.201529268","13.8962963","23.16049383","18.44444444","30.74074074","23.39259259","38.98765432","3.261524842","5.435874736","41.83703704","69.72839506","3.76"
"","","PEP2019HUA-PT03","","","","","","","","","PEP2019HUA-PT03-00053","","","","30","21","8.6","57","11.26","0.15","153.73","29.17","2","1","11.41","20.01","0.19754386","2.714285714","1.9","0.543333333","0.380333333","0.40952381","0.286666667","57.02148926","70","18.97482599","2.165027646","16.68148148","23.83068783","16.9037037","24.14814815","12.74074074","18.2010582","3.207448364","4.582069092","29.64444444","42.34920635","12.39"
"","","PEP2019HUA-PT03","","","","","","","","","PEP2019HUA-PT03-00054","","","","30","17","8.38","26","4.06","0.24","153.43","34.75","3","","4.3","12.68","0.156153846","1.529411765","0.866666667","0.252941176","0.143333333","0.492941176","0.279333333","33.91167192","56.66666667","22.64876491","0.973896891","6.014814815","10.61437908","6.37037037","11.24183007","12.41481481","21.90849673","1.442810209","2.546135663","18.78518519","33.1503268","7.76"
"","","PEP2019HUA-PT03","","","","","","","","","PEP2019HUA-PT03-00055","","","","30","22","26.54","65","16.59","1.06","136.08","27.37","4","","17.65","44.19","0.255230769","2.954545455","2.166666667","0.802272727","0.588333333","1.206363636","0.884666667","39.94116316","73.33333333","20.11316872","3.54997428","24.57777778","33.51515152","26.14814815","35.65656566","39.31851852","53.61616162","5.259221155","7.171665212","65.46666667","89.27272727","7.23"
"","","PEP2019HUA-PT03","","","","","","","","","PEP2019HUA-PT03-00056","","","","30","27","16.48","71","12.49","2.1","152.16","32.51","5","1","14.59","31.07","0.175915493","2.62962963","2.366666667","0.54037037","0.486333333","0.61037037","0.549333333","46.95848085","90","21.36566772","3.11725092","18.5037037","20.55967078","21.61481481","24.01646091","24.41481481","27.12757202","4.618149511","5.131277235","46.02962963","51.14403292","10.5"
"","","PEP2019HUA-PT03","","","","","","","","","PEP2019HUA-PT03-00057","","","","30","14","7.34","21","5.35","1.34","151.64","25.1","5","2","6.69","14.03","0.254761905","1.5","0.7","0.477857143","0.223","0.524285714","0.244666667","47.68353528","46.66666667","16.55236085","1.107352941","7.925925926","16.98412698","9.911111111","21.23809524","10.87407407","23.3015873","1.640522876","3.515406162","20.78518519","44.53968254","7.76"
"","","PEP2019HUA-PT03","","","","","","","","","PEP2019HUA-PT03-00058","","","","30","24","22.4","114","20.68","2.15","148.51","26.97","2","","22.83","45.23","0.181403509","4.75","3.8","0.95125","0.761","0.933333333","0.746666667","50.47534822","80","18.16039324","4.146017777","30.63703704","38.2962963","33.82222222","42.27777778","33.18518519","41.48148148","6.142248558","7.677810697","67.00740741","83.75925926","14.37"
