"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants harvested per NET plot|CO_331:0000679","Weight of vines per NET plot in kg|CO_331:0000227","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Storage root dry matter content computing percent|CO_331:0000297","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of calcium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001029","Content of magnesium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001030","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Content of maltose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001051","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004","treatment_dap120"
"","","PEP2016CSR-ST02","","","","","","","","","PEP2016CSR-ST02-00042","","","","120","117","48","17","160","1.58","4.06","32.33859675","14.1531181","0","3.1504557","2.2013521","65.2155762","106.4704742","63.7110748","0.2908678","1.3719789","6.5246363","0.3282795","5.64","53.64","177","0.092941176","0.025375","0.031864407","1.512820513","1.475","0.145299145","0.141666667","0.048205128","0.047","0.41025641","0.4","9.604519774","10.51454139","97.5","1.823896857","0.585185185","0.600189934","2.088888889","2.142450142","17.77777778","18.23361823","0.675517354","0.692838312","19.86666667","20.37606838","1"
"","","PEP2016CSR-ST02","","","","","","","","","PEP2016CSR-ST02-00044","","","","120","117","68.39","36","126","3.09","3.29","38.6039886","13.8958769","8.2593536","2.9873791","2.0570793","49.4185791","109.0211792","66.6104202","0.157999","1.203436","3.5053303","0.1366434","6.38","74.77","162","0.085833333","0.026111111","0.039382716","1.384615385","1.35","0.307692308","0.3","0.054529915","0.053166667","0.584529915","0.569916667","22.22222222","8.532834024","97.5","2.462934473","1.144444444","1.173789174","2.362962963","2.423551757","25.32962963","25.97910731","0.912197953","0.935587644","27.69259259","28.40265907","1"
"","","PEP2016CSR-ST02","","","","","","","","","PEP2016CSR-ST02-00046","","","","120","118","60.33","108","125","13.22","8.29","22.40692453","8.3134327","19.0635223","2.4968667","1.6850181","111.9771729","104.9032898","45.2526398","7.3433981","10.9983225","12.2911272","0.8325167","21.51","81.84","233","0.122407407","0.06632","0.092317597","1.974576271","1.941666667","0.915254237","0.9","0.182288136","0.17925","0.511271186","0.50275","46.35193133","26.2829912","98.33333333","4.819729466","4.896296296","4.979284369","7.966666667","8.101694915","22.34444444","22.72316384","1.785084988","1.815340665","30.31111111","30.82485876","1"
"","","PEP2016CSR-ST02","","","","","","","","","PEP2016CSR-ST02-00048","","","","120","117","73.73","167","288","31.59","9.85","25.81645957","8.9920197","40.7684937","2.3186741","1.5456333","114.0174561","88.3041992","49.4799385","5.1096945","7.6987605","14.5848761","0.7118216","41.44","115.17","455","0.189161677","0.034201389","0.091076923","3.888888889","3.791666667","1.427350427","1.391666667","0.354188034","0.345333333","0.63017094","0.614416667","36.7032967","35.98159243","97.5","10.69834085","11.7","12","15.34814815","15.74169041","27.30740741","28.00759734","3.962348461","4.06394714","42.65555556","43.74928775","1"
"","","PEP2016CSR-ST02","","","","","","","","","PEP2016CSR-ST02-00050","","","","120","114","50.17","340","344","57.65","10.44","28.63230519","7.2023745","26.8668976","2.0644283","1.4670053","156.5582275","120.3684845","58.55093","1.3571777","3.2643967","16.7763767","0.5114498","68.09","118.26","684","0.169558824","0.030348837","0.099546784","6","5.7","2.98245614","2.833333333","0.597280702","0.567416667","0.440087719","0.418083333","49.70760234","57.5765263","95","19.4957366","21.35185185","22.47563353","25.21851852","26.54580897","18.58148148","19.55945419","7.220643187","7.600677039","43.8","46.10526316","1"
"","","PEP2016CSR-ST02","","","","","","","","","PEP2016CSR-ST02-00052","","","","120","113","28.82","328","377","56.39","13.57","30.63885267","7.1287403","36.3090057","1.9595332","1.4200897","142.7652588","114.7057495","59.8398285","1.2298222","3.0346475","16.8846645","0.460289","69.96","98.78","705","0.171920732","0.035994695","0.099234043","6.238938053","5.875","2.902654867","2.733333333","0.619115044","0.583","0.255044248","0.240166667","46.5248227","70.82405345","94.16666667","21.43494133","20.88518519","22.17895772","25.91111111","27.51622419","10.67407407","11.3352999","7.938867158","8.43065539","36.58518519","38.85152409","1"
"","","PEP2016CSR-ST02","","","","","","","","","PEP2016CSR-ST02-00054","","","","120","114","50.01","182","244","31.95","8.38","30.65072183","8.4334021","13.8188782","2.1415715","1.5524602","51.7906494","92.9346008","57.5788765","0.6511812","1.884401","16.5996132","0.414135","40.33","90.34","426","0.175549451","0.034344262","0.094671362","3.736842105","3.55","1.596491228","1.516666667","0.35377193","0.336083333","0.438684211","0.41675","42.72300469","44.64246181","95","12.36143611","11.83333333","12.45614035","14.93703704","15.72319688","18.52222222","19.49707602","4.578309672","4.819273339","33.45925926","35.2202729","1"
"","","PEP2016CSR-ST02","","","","","","","","","PEP2016CSR-ST02-00056","","","","120","111","33.76","148","336","30.25","11.16","33.47338936","7.890975","14.9095459","1.9244804","1.4205546","74.569458","100.0932312","58.3615417","0.7458944","2.1440539","17.6176128","0.6516809","41.41","75.17","484","0.204391892","0.033214286","0.085557851","4.36036036","4.033333333","1.333333333","1.233333333","0.373063063","0.345083333","0.304144144","0.281333333","30.5785124","55.08846614","92.5","13.86133053","11.2037037","12.11211211","15.33703704","16.58058058","12.5037037","13.51751752","5.133826124","5.550082296","27.84074074","30.0980981","1"
"","","PEP2016CSR-ST02","","","","","","","","","PEP2016CSR-ST02-00058","","","","120","111","25.24","71","437","7.33","11.81","34.83663303","9.0191545","0","2.142879","1.604239","63.7342529","101.5922394","66.83992","0.6951637","2.0313148","7.8277922","0.3877001","19.14","44.38","508","0.103239437","0.027025172","0.037677165","4.576576577","4.233333333","0.63963964","0.591666667","0.172432432","0.1595","0.227387387","0.210333333","13.97637795","43.12753493","92.5","6.667731562","2.714814815","2.934934935","7.088888889","7.663663664","9.348148148","10.10610611","2.469530208","2.669762387","16.43703704","17.76976977","1"
"","","PEP2016CSR-ST02","","","","","","","","","PEP2016CSR-ST02-00060","","","","120","114","25.99","81","462","8.86","14.95","34.97191011","7.1868563","0","1.8084693","1.4482088","40.7755127","95.2259369","69.3154068","0.3140135","1.6005148","6.7365246","0.2462711","23.81","49.8","543","0.109382716","0.032359307","0.043848987","4.763157895","4.525","0.710526316","0.675","0.208859649","0.198416667","0.227982456","0.216583333","14.91712707","47.81124498","95","8.326811797","3.281481481","3.454191033","8.818518519","9.282651072","9.625925926","10.13255361","3.084004369","3.246320389","18.44444444","19.41520468","1"
