"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants harvested per NET plot|CO_331:0000679","Weight of vines per NET plot in kg|CO_331:0000227","Number of commercial storage roots per NET plot|CO_331:0000214","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Fresh weight of storage root samples measuring g|CO_331:0000243","Dry weight of storage root samples measuring g|CO_331:0000247","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023"
"","","PEP2019SAT-PT02","","","","","","","","","PEP2019SAT-PT02-00022","","","","30","25","4.17","51","14.03","4.3","166.22","39.5","4","18.33","22.5","0.275098039","2.04","1.7","0.7332","0.611","0.1668","0.139","81.46666667","83.33333333","23.76368668","4.355883768","20.78518519","24.94222222","27.15555556","32.58666667","6.177777778","7.413333333","6.453161139","7.743793366","33.33333333","40","7.23"
"","","PEP2019SAT-PT02","","","","","","","","","PEP2019SAT-PT02-00023","","","","30","11","1.13","7","2.26","1.01","170.04","29.51","6","3.27","4.4","0.322857143","0.636363636","0.233333333","0.297272727","0.109","0.102727273","0.037666667","74.31818182","36.66666667","17.35474006","0.5675","3.348148148","9.131313131","4.844444444","13.21212121","1.674074074","4.565656566","0.840740741","2.292929293","6.518518519","17.77777778","4.92"
"","","PEP2019SAT-PT02","","","","","","","","","PEP2019SAT-PT02-00024","","","","30","17","7.57","37","9.39","2.79","177.94","32.69","4","12.18","19.75","0.253783784","2.176470588","1.233333333","0.716470588","0.406","0.445294118","0.252333333","61.67088608","56.66666667","18.37136113","2.237631786","13.91111111","24.54901961","18.04444444","31.84313725","11.21481481","19.79084967","3.315010053","5.850017741","29.25925926","51.63398693","14.37"
"","","PEP2019SAT-PT02","","","","","","","","","PEP2019SAT-PT02-00025","","","","30","20","9.08","41","12.4","4.1","149.27","39.5","5","16.5","25.58","0.302439024","2.05","1.366666667","0.825","0.55","0.454","0.302666667","64.50351837","66.66666667","26.46211563","4.366249079","18.37037037","27.55555556","24.44444444","36.66666667","13.45185185","20.17777778","6.468517154","9.702775731","37.8962963","56.84444444","1.32"
"","","PEP2019SAT-PT02","","","","","","","","","PEP2019SAT-PT02-00026","","","","30","20","4.01","61","18.49","1.78","171.28","31.4","5","20.27","24.28","0.303114754","3.05","2.033333333","1.0135","0.675666667","0.2005","0.133666667","83.48434926","66.66666667","18.33255488","3.716008874","27.39259259","41.08888889","30.02962963","45.04444444","5.940740741","8.911111111","5.505198332","8.257797499","35.97037037","53.95555556","7.76"
"","","PEP2019SAT-PT02","","","","","","","","","PEP2019SAT-PT02-00027","","","","30","23","4.71","25","4.33","2.56","165.57","38.2","6","6.89","11.6","0.1732","1.086956522","0.833333333","0.299565217","0.229666667","0.204782609","0.157","59.39655172","76.66666667","23.07181253","1.589647883","6.414814815","8.367149758","10.20740741","13.31400966","6.977777778","9.101449275","2.355033901","3.071783349","17.18518519","22.41545894","11.03"
"","","PEP2019SAT-PT02","","","","","","","","","PEP2019SAT-PT02-00028","","","","30","24","7.55","63","19.81","2.18","175.11","47.99","3","21.99","29.54","0.314444444","2.625","2.1","0.91625","0.733","0.314583333","0.251666667","74.44143534","80","27.40563075","6.026498201","29.34814815","36.68518519","32.57777778","40.72222222","11.18518519","13.98148148","8.928145483","11.16018185","43.76296296","54.7037037","4.61"
"","","PEP2019SAT-PT02","","","","","","","","","PEP2019SAT-PT02-00029","","","","30","13","3.31","19","6.31","0.65","186.3","33.96","6","6.96","10.27","0.332105263","1.461538462","0.633333333","0.535384615","0.232","0.254615385","0.110333333","67.77020448","43.33333333","18.22866345","1.268714976","9.348148148","21.57264957","10.31111111","23.79487179","4.903703704","11.31623932","1.879577742","4.337487097","15.21481481","35.11111111","6.12"
"","","PEP2019SAT-PT02","","","","","","","","","PEP2019SAT-PT02-00030","","","","30","17","5.74","9","1.23","0.93","182.7","45.69","6","2.16","7.9","0.136666667","0.529411765","0.3","0.127058824","0.072","0.337647059","0.191333333","27.34177215","56.66666667","25.00821018","0.54017734","1.822222222","3.215686275","3.2","5.647058824","8.503703704","15.00653595","0.800262726","1.41222834","11.7037037","20.65359477","7.23"
"","","PEP2019SAT-PT02","","","","","","","","","PEP2019SAT-PT02-00031","","","","30","18","1.16","20","3.76","1.2","190.22","44.38","5","4.96","6.12","0.188","1.111111111","0.666666667","0.275555556","0.165333333","0.064444444","0.038666667","81.04575163","60","23.33088003","1.15721165","5.57037037","9.283950617","7.348148148","12.24691358","1.718518519","2.864197531","1.714387629","2.857312715","9.066666667","15.11111111","7.23"
