"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants harvested per NET plot|CO_331:0000679","Weight of vines per NET plot in kg|CO_331:0000227","Number of commercial storage roots per NET plot|CO_331:0000214","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023"
"","","PEP2017SAT-OT02","","","","","","","","","PEP2017SAT-OT02-00018","","","","3","1","1.89","4","2.13","0.18","5","27","2.31","4.2","0.5325","4","1.333333333","2.31","0.77","1.89","0.63","55","33.33333333","0.6237","31.55555556","94.66666667","34.22222222","102.6666667","28","84","9.24","27.72","62.22222222","186.6666667","0.69"
"","","PEP2017SAT-OT02","","","","","","","","","PEP2017SAT-OT02-00019","","","","3","3","3.58","12","4.73","0.45","5","25.9","5.18","8.76","0.394166667","4","4","1.726666667","1.726666667","1.193333333","1.193333333","59.13242009","100","1.34162","70.07407407","70.07407407","76.74074074","76.74074074","53.03703704","53.03703704","19.87585185","19.87585185","129.7777778","129.7777778","7.76"
"","","PEP2017SAT-OT02","","","","","","","","","PEP2017SAT-OT02-00020","","","","3","2","4.74","3","1.08","0.22","6","30.6","1.3","6.04","0.36","1.5","1","0.65","0.433333333","2.37","1.58","21.52317881","66.66666667","0.3978","16","24","19.25925926","28.88888889","70.22222222","105.3333333","5.893333333","8.84","89.48148148","134.2222222","0.02"
"","","PEP2017SAT-OT02","","","","","","","","","PEP2017SAT-OT02-00021","","","","3","2","6.98","6","6.14","0.1","6","26.3","6.24","13.22","1.023333333","3","2","3.12","2.08","3.49","2.326666667","47.20121029","66.66666667","1.64112","90.96296296","136.4444444","92.44444444","138.6666667","103.4074074","155.1111111","24.31288889","36.46933333","195.8518519","293.7777778","3.76"
"","","PEP2017SAT-OT02","","","","","","","","","PEP2017SAT-OT02-00022","","","","3","2","8.25","1","0.33","0.78","6","24.7","1.11","9.36","0.33","0.5","0.333333333","0.555","0.37","4.125","2.75","11.85897436","66.66666667","0.27417","4.888888889","7.333333333","16.44444444","24.66666667","122.2222222","183.3333333","4.061777778","6.092666667","138.6666667","208","5.49"
"","","PEP2017SAT-OT02","","","","","","","","","PEP2017SAT-OT02-00023","","","","3","1","3.61","0","0","0.21","6","","0.21","3.82","","0","0","0.21","0.07","3.61","1.203333333","5.497382199","33.33333333","","0","0","3.111111111","9.333333333","53.48148148","160.4444444","","","56.59259259","169.7777778","11.03"
"","","PEP2017SAT-OT02","","","","","","","","","PEP2017SAT-OT02-00024","","","","3","1","5.66","2","0.3","0.14","6","29","0.44","6.1","0.15","2","0.666666667","0.44","0.146666667","5.66","1.886666667","7.213114754","33.33333333","0.1276","4.444444444","13.33333333","6.518518519","19.55555556","83.85185185","251.5555556","1.89037037","5.671111111","90.37037037","271.1111111","4.61"
"","","PEP2017SAT-OT02","","","","","","","","","PEP2017SAT-OT02-00025","","","","3","3","9.92","9","3.08","1.22","6","27","4.3","14.22","0.342222222","3","3","1.433333333","1.433333333","3.306666667","3.306666667","30.23909986","100","1.161","45.62962963","45.62962963","63.7037037","63.7037037","146.962963","146.962963","17.2","17.2","210.6666667","210.6666667","10.5"
"","","PEP2017SAT-OT02","","","","","","","","","PEP2017SAT-OT02-00026","","","","3","1","2.88","0","0","0","9","","0","2.88","","0","0","0","0","2.88","0.96","0","33.33333333","","0","0","0","0","42.66666667","128","","","42.66666667","128",""
"","","PEP2017SAT-OT02","","","","","","","","","PEP2017SAT-OT02-00027","","","","3","3","6.42","9","2.12","0.95","6","27","3.07","9.49","0.235555556","3","3","1.023333333","1.023333333","2.14","2.14","32.34984194","100","0.8289","31.40740741","31.40740741","45.48148148","45.48148148","95.11111111","95.11111111","12.28","12.28","140.5925926","140.5925926","5.46"
"","","PEP2017SAT-OT02","","","","","","","","","PEP2017SAT-OT02-00028","","","","3","1","11.7","0","0","0.26","5","","0.26","11.96","","0","0","0.26","0.086666667","11.7","3.9","2.173913043","33.33333333","","0","0","3.851851852","11.55555556","173.3333333","520","","","177.1851852","531.5555556","7.76"
"","","PEP2017SAT-OT02","","","","","","","","","PEP2017SAT-OT02-00029","","","","3","2","8.55","7","2.21","0.22","6","34.7","2.43","10.98","0.315714286","3.5","2.333333333","1.215","0.81","4.275","2.85","22.13114754","66.66666667","0.84321","32.74074074","49.11111111","36","54","126.6666667","190","12.492","18.738","162.6666667","244","0.69"
"","","PEP2017SAT-OT02","","","","","","","","","PEP2017SAT-OT02-00030","","","","3","2","14.85","12","5.34","0.51","6","32.5","5.85","20.7","0.445","6","4","2.925","1.95","7.425","4.95","28.26086957","66.66666667","1.90125","79.11111111","118.6666667","86.66666667","130","220","330","28.16666667","42.25","306.6666667","460","1.76"
"","","PEP2017SAT-OT02","","","","","","","","","PEP2017SAT-OT02-00031","","","","3","2","5.55","9","3.85","0","5","","3.85","9.4","0.427777778","4.5","3","1.925","1.283333333","2.775","1.85","40.95744681","66.66666667","","57.03703704","85.55555556","57.03703704","85.55555556","82.22222222","123.3333333","","","139.2592593","208.8888889","0.69"
"","","PEP2017SAT-OT02","","","","","","","","","PEP2017SAT-OT02-00032","","","","3","3","6.56","3","0.84","1.19","6","27.3","2.03","8.59","0.28","1","1","0.676666667","0.676666667","2.186666667","2.186666667","23.63213038","100","0.55419","12.44444444","12.44444444","30.07407407","30.07407407","97.18518519","97.18518519","8.210222222","8.210222222","127.2592593","127.2592593","7.76"
"","","PEP2017SAT-OT02","","","","","","","","","PEP2017SAT-OT02-00033","","","","3","2","11.73","5","1.41","0","6","38.2","1.41","13.14","0.282","2.5","1.666666667","0.705","0.47","5.865","3.91","10.73059361","66.66666667","0.53862","20.88888889","31.33333333","20.88888889","31.33333333","173.7777778","260.6666667","7.979555556","11.96933333","194.6666667","292","1.74"
"","","PEP2017SAT-OT02","","","","","","","","","PEP2017SAT-OT02-00034","","","","3","1","5.08","1","0.5","0","6","30.5","0.5","5.58","0.5","1","0.333333333","0.5","0.166666667","5.08","1.693333333","8.960573477","33.33333333","0.1525","7.407407407","22.22222222","7.407407407","22.22222222","75.25925926","225.7777778","2.259259259","6.777777778","82.66666667","248","0.12"
"","","PEP2017SAT-OT02","","","","","","","","","PEP2017SAT-OT02-00035","","","","3","1","5.81","2","0.59","0.13","5","31.3","0.72","6.53","0.295","2","0.666666667","0.72","0.24","5.81","1.936666667","11.02603369","33.33333333","0.22536","8.740740741","26.22222222","10.66666667","32","86.07407407","258.2222222","3.338666667","10.016","96.74074074","290.2222222","0.69"
"","","PEP2017SAT-OT02","","","","","","","","","PEP2017SAT-OT02-00036","","","","3","0","0","0","0","0","","","0","0","","","0","","0","","0","","0","","0","","0","","0","","","","0","",""
"","","PEP2017SAT-OT02","","","","","","","","","PEP2017SAT-OT02-00037","","","","3","1","6.18","6","4.36","0","6","22","4.36","10.54","0.726666667","6","2","4.36","1.453333333","6.18","2.06","41.36622391","33.33333333","0.9592","64.59259259","193.7777778","64.59259259","193.7777778","91.55555556","274.6666667","14.21037037","42.63111111","156.1481481","468.4444444","10.5"
"","","PEP2017SAT-OT02","","","","","","","","","PEP2017SAT-OT02-00038","","","","3","2","4.4","2","0.45","0.27","6","36","0.72","5.12","0.225","1","0.666666667","0.36","0.24","2.2","1.466666667","14.0625","66.66666667","0.2592","6.666666667","10","10.66666667","16","65.18518519","97.77777778","3.84","5.76","75.85185185","113.7777778","1.32"
"","","PEP2017SAT-OT02","","","","","","","","","PEP2017SAT-OT02-00039","","","","3","2","5.42","4","2.4","0.2","6","23.3","2.6","8.02","0.6","2","1.333333333","1.3","0.866666667","2.71","1.806666667","32.41895262","66.66666667","0.6058","35.55555556","53.33333333","38.51851852","57.77777778","80.2962963","120.4444444","8.974814815","13.46222222","118.8148148","178.2222222","12.39"
"","","PEP2017SAT-OT02","","","","","","","","","PEP2017SAT-OT02-00040","","","","3","2","6.63","2","0.56","0.44","6","26.9","1","7.63","0.28","1","0.666666667","0.5","0.333333333","3.315","2.21","13.1061599","66.66666667","0.269","8.296296296","12.44444444","14.81481481","22.22222222","98.22222222","147.3333333","3.985185185","5.977777778","113.037037","169.5555556","11.03"
"","","PEP2017SAT-OT02","","","","","","","","","PEP2017SAT-OT02-00041","","","","3","3","6.98","4","1.34","0.21","6","26.9","1.55","8.53","0.335","1.333333333","1.333333333","0.516666667","0.516666667","2.326666667","2.326666667","18.17116061","100","0.41695","19.85185185","19.85185185","22.96296296","22.96296296","103.4074074","103.4074074","6.177037037","6.177037037","126.3703704","126.3703704","10.5"
"","","PEP2017SAT-OT02","","","","","","","","","PEP2017SAT-OT02-00042","","","","3","2","3.67","7","2.43","0.27","5","25.1","2.7","6.37","0.347142857","3.5","2.333333333","1.35","0.9","1.835","1.223333333","42.38618524","66.66666667","0.6777","36","54","40","60","54.37037037","81.55555556","10.04","15.06","94.37037037","141.5555556","7.76"
"","","PEP2017SAT-OT02","","","","","","","","","PEP2017SAT-OT02-00043","","","","3","2","4.72","4","1.28","0.18","6","25.7","1.46","6.18","0.32","2","1.333333333","0.73","0.486666667","2.36","1.573333333","23.62459547","66.66666667","0.37522","18.96296296","28.44444444","21.62962963","32.44444444","69.92592593","104.8888889","5.558814815","8.338222222","91.55555556","137.3333333","10.5"
"","","PEP2017SAT-OT02","","","","","","","","","PEP2017SAT-OT02-00044","","","","3","3","5.96","19","5.05","0.53","5","23.7","5.58","11.54","0.265789474","6.333333333","6.333333333","1.86","1.86","1.986666667","1.986666667","48.35355286","100","1.32246","74.81481481","74.81481481","82.66666667","82.66666667","88.2962963","88.2962963","19.592","19.592","170.962963","170.962963","11.03"
"","","PEP2017SAT-OT02","","","","","","","","","PEP2017SAT-OT02-00045","","","","3","2","5.42","6","1.92","0.11","5","25.1","2.03","7.45","0.32","3","2","1.015","0.676666667","2.71","1.806666667","27.24832215","66.66666667","0.50953","28.44444444","42.66666667","30.07407407","45.11111111","80.2962963","120.4444444","7.548592593","11.32288889","110.3703704","165.5555556","11.03"
"","","PEP2017SAT-OT02","","","","","","","","","PEP2017SAT-OT02-00046","","","","3","3","13.95","6","3.94","0.56","6","25.9","4.5","18.45","0.656666667","2","2","1.5","1.5","4.65","4.65","24.3902439","100","1.1655","58.37037037","58.37037037","66.66666667","66.66666667","206.6666667","206.6666667","17.26666667","17.26666667","273.3333333","273.3333333","4.41"
"","","PEP2017SAT-OT02","","","","","","","","","PEP2017SAT-OT02-00047","","","","3","2","3.77","4","1.28","0.37","6","30","1.65","5.42","0.32","2","1.333333333","0.825","0.55","1.885","1.256666667","30.44280443","66.66666667","0.495","18.96296296","28.44444444","24.44444444","36.66666667","55.85185185","83.77777778","7.333333333","11","80.2962963","120.4444444","3.96"
"","","PEP2017SAT-OT02","","","","","","","","","PEP2017SAT-OT02-00048","","","","3","1","0.08","0","0","0.18","7","","0.18","0.26","","0","0","0.18","0.06","0.08","0.026666667","69.23076923","33.33333333","","0","0","2.666666667","8","1.185185185","3.555555556","","","3.851851852","11.55555556","0.69"
"","","PEP2017SAT-OT02","","","","","","","","","PEP2017SAT-OT02-00049","","","","3","1","5.06","8","1.62","0.49","5","27.5","2.11","7.17","0.2025","8","2.666666667","2.11","0.703333333","5.06","1.686666667","29.42817294","33.33333333","0.58025","24","72","31.25925926","93.77777778","74.96296296","224.8888889","8.596296296","25.78888889","106.2222222","318.6666667","11.03"
"","","PEP2017SAT-OT02","","","","","","","","","PEP2017SAT-OT02-00050","","","","3","2","10.42","9","2.43","0.28","5","22.6","2.71","13.13","0.27","4.5","3","1.355","0.903333333","5.21","3.473333333","20.63975628","66.66666667","0.61246","36","54","40.14814815","60.22222222","154.3703704","231.5555556","9.073481481","13.61022222","194.5185185","291.7777778","11.03"
"","","PEP2017SAT-OT02","","","","","","","","","PEP2017SAT-OT02-00051","","","","3","2","2.89","4","0.86","0.34","6","28.7","1.2","4.09","0.215","2","1.333333333","0.6","0.4","1.445","0.963333333","29.3398533","66.66666667","0.3444","12.74074074","19.11111111","17.77777778","26.66666667","42.81481481","64.22222222","5.102222222","7.653333333","60.59259259","90.88888889","3.03"
"","","PEP2017SAT-OT02","","","","","","","","","PEP2017SAT-OT02-00052","","","","3","1","6.01","4","1.37","0","6","24.9","1.37","7.38","0.3425","4","1.333333333","1.37","0.456666667","6.01","2.003333333","18.56368564","33.33333333","0.34113","20.2962963","60.88888889","20.2962963","60.88888889","89.03703704","267.1111111","5.053777778","15.16133333","109.3333333","328","7.76"
"","","PEP2017SAT-OT02","","","","","","","","","PEP2017SAT-OT02-00053","","","","3","1","6.22","1","0.56","0.19","6","30.4","0.75","6.97","0.56","1","0.333333333","0.75","0.25","6.22","2.073333333","10.76040172","33.33333333","0.228","8.296296296","24.88888889","11.11111111","33.33333333","92.14814815","276.4444444","3.377777778","10.13333333","103.2592593","309.7777778","0.69"
"","","PEP2017SAT-OT02","","","","","","","","","PEP2017SAT-OT02-00054","","","","3","0","0","0","0","0","","","0","0","","","0","","0","","0","","0","","0","","0","","0","","","","0","",""
"","","PEP2017SAT-OT02","","","","","","","","","PEP2017SAT-OT02-00055","","","","3","1","3.19","1","0.41","0","6","21","0.41","3.6","0.41","1","0.333333333","0.41","0.136666667","3.19","1.063333333","11.38888889","33.33333333","0.0861","6.074074074","18.22222222","6.074074074","18.22222222","47.25925926","141.7777778","1.275555556","3.826666667","53.33333333","160","0.69"
"","","PEP2017SAT-OT02","","","","","","","","","PEP2017SAT-OT02-00056","","","","3","1","3.1","5","1.93","0.16","6","30.7","2.09","5.19","0.386","5","1.666666667","2.09","0.696666667","3.1","1.033333333","40.26974952","33.33333333","0.64163","28.59259259","85.77777778","30.96296296","92.88888889","45.92592593","137.7777778","9.50562963","28.51688889","76.88888889","230.6666667","0.15"
"","","PEP2017SAT-OT02","","","","","","","","","PEP2017SAT-OT02-00057","","","","3","2","4.29","9","3.98","0.26","6","27.1","4.24","8.53","0.442222222","4.5","3","2.12","1.413333333","2.145","1.43","49.70691676","66.66666667","1.14904","58.96296296","88.44444444","62.81481481","94.22222222","63.55555556","95.33333333","17.02281481","25.53422222","126.3703704","189.5555556","0"
"","","PEP2017SAT-OT02","","","","","","","","","PEP2017SAT-OT02-00058","","","","3","3","13.92","14","5.69","0.19","5","24.6","5.88","19.8","0.406428571","4.666666667","4.666666667","1.96","1.96","4.64","4.64","29.6969697","100","1.44648","84.2962963","84.2962963","87.11111111","87.11111111","206.2222222","206.2222222","21.42933333","21.42933333","293.3333333","293.3333333","7.76"
"","","PEP2017SAT-OT02","","","","","","","","","PEP2017SAT-OT02-00059","","","","3","2","5.1","9","2.63","0.02","6","26.7","2.65","7.75","0.292222222","4.5","3","1.325","0.883333333","2.55","1.7","34.19354839","66.66666667","0.70755","38.96296296","58.44444444","39.25925926","58.88888889","75.55555556","113.3333333","10.48222222","15.72333333","114.8148148","172.2222222","1.76"
"","","PEP2017SAT-OT02","","","","","","","","","PEP2017SAT-OT02-00060","","","","3","3","10.03","1","0.18","0.54","6","23.1","0.72","10.75","0.18","0.333333333","0.333333333","0.24","0.24","3.343333333","3.343333333","6.697674419","100","0.16632","2.666666667","2.666666667","10.66666667","10.66666667","148.5925926","148.5925926","2.464","2.464","159.2592593","159.2592593","5.49"
"","","PEP2017SAT-OT02","","","","","","","","","PEP2017SAT-OT02-00061","","","","3","3","6.46","0","0","0.12","7","","0.12","6.58","","0","0","0.04","0.04","2.153333333","2.153333333","1.823708207","100","","0","0","1.777777778","1.777777778","95.7037037","95.7037037","","","97.48148148","97.48148148",""
"","","PEP2017SAT-OT02","","","","","","","","","PEP2017SAT-OT02-00062","","","","3","0","0","0","0","0","","","0","0","","","0","","0","","0","","0","","0","","0","","0","","","","0","",""
"","","PEP2017SAT-OT02","","","","","","","","","PEP2017SAT-OT02-00063","","","","3","2","15.96","0","0","0","9","","0","15.96","","0","0","0","0","7.98","5.32","0","66.66666667","","0","0","0","0","236.4444444","354.6666667","","","236.4444444","354.6666667",""
"","","PEP2017SAT-OT02","","","","","","","","","PEP2017SAT-OT02-00064","","","","3","2","4.21","4","0.66","0.32","5","26.4","0.98","5.19","0.165","2","1.333333333","0.49","0.326666667","2.105","1.403333333","18.88246628","66.66666667","0.25872","9.777777778","14.66666667","14.51851852","21.77777778","62.37037037","93.55555556","3.832888889","5.749333333","76.88888889","115.3333333","11.03"
"","","PEP2017SAT-OT02","","","","","","","","","PEP2017SAT-OT02-00065","","","","3","1","2.08","3","0.43","0.13","6","25.4","0.56","2.64","0.143333333","3","1","0.56","0.186666667","2.08","0.693333333","21.21212121","33.33333333","0.14224","6.37037037","19.11111111","8.296296296","24.88888889","30.81481481","92.44444444","2.107259259","6.321777778","39.11111111","117.3333333","1.04"
"","","PEP2017SAT-OT02","","","","","","","","","PEP2017SAT-OT02-00066","","","","3","3","15.52","4","0.85","0.49","6","24.3","1.34","16.86","0.2125","1.333333333","1.333333333","0.446666667","0.446666667","5.173333333","5.173333333","7.947805457","100","0.32562","12.59259259","12.59259259","19.85185185","19.85185185","229.9259259","229.9259259","4.824","4.824","249.7777778","249.7777778","10.5"
"","","PEP2017SAT-OT02","","","","","","","","","PEP2017SAT-OT02-00067","","","","3","2","7.57","0","0","0.28","7","","0.28","7.85","","0","0","0.14","0.093333333","3.785","2.523333333","3.566878981","66.66666667","","0","0","4.148148148","6.222222222","112.1481481","168.2222222","","","116.2962963","174.4444444","11.03"
"","","PEP2017SAT-OT02","","","","","","","","","PEP2017SAT-OT02-00068","","","","3","2","5.07","3","0.86","0.02","6","27","0.88","5.95","0.286666667","1.5","1","0.44","0.293333333","2.535","1.69","14.78991597","66.66666667","0.2376","12.74074074","19.11111111","13.03703704","19.55555556","75.11111111","112.6666667","3.52","5.28","88.14814815","132.2222222","7.76"
"","","PEP2017SAT-OT02","","","","","","","","","PEP2017SAT-OT02-00069","","","","3","1","4.77","1","0.54","0.2","6","29.6","0.74","5.51","0.54","1","0.333333333","0.74","0.246666667","4.77","1.59","13.43012704","33.33333333","0.21904","8","24","10.96296296","32.88888889","70.66666667","212","3.245037037","9.735111111","81.62962963","244.8888889","0"
"","","PEP2017SAT-OT02","","","","","","","","","PEP2017SAT-OT02-00070","","","","3","2","5","1","0.18","0.29","7","33.4","0.47","5.47","0.18","0.5","0.333333333","0.235","0.156666667","2.5","1.666666667","8.592321755","66.66666667","0.15698","2.666666667","4","6.962962963","10.44444444","74.07407407","111.1111111","2.32562963","3.488444444","81.03703704","121.5555556","14.37"
