"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Weight of vines per NET plot in kg|CO_331:0000227","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Storage root dry matter content computing percent|CO_331:0000297","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of calcium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001029","Content of magnesium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001030","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Content of maltose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001051","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","PEP2012PIC-AT01","","","","","","","","","PEP2012PIC-AT01-00021","","","","20","6.12","18","45","23","8.12","0.87","30.53892216","3.475563","1.476623","0.941448","108.1855","94.1962","32.32309","60.48688","4.088391","6.163744","9.796213","0.388138","8.99","15.11","68","0.180444444","0.037826087","0.132205882","3.777777778","3.4","2.5","2.25","0.499444444","0.4495","0.34","0.306","66.17647059","59.49702184","90","2.745449102","18.04444444","20.04938272","19.97777778","22.19753086","13.6","15.11111111","6.100998005","6.778886672","33.57777778","37.30864198"
"","","PEP2012PIC-AT01","","","","","","","","","PEP2012PIC-AT01-00022","","","","20","2.68","17","40","29","6.91","1.16","30.11811024","4.154951","1.628465","1.07331","101.4788","90.52493","28.07845","60.88287","2.30769","4.070916","14.01928","0.269129","8.07","10.75","69","0.17275","0.04","0.116956522","4.058823529","3.45","2.352941176","2","0.474705882","0.4035","0.157647059","0.134","57.97101449","75.06976744","85","2.430531496","15.35555556","18.06535948","17.93333333","21.09803922","5.955555556","7.006535948","5.401181103","6.354330709","23.88888889","28.10457516"
"","","PEP2012PIC-AT01","","","","","","","","","PEP2012PIC-AT01-00023","","","","20","5.22","17","12","70","1.33","1.09","31.93612774","2.25701","1.244535","0.818308","152.2048","100.8936","24.17769","60.22686","7.239354","10.10888","4.081313","0.746522","2.42","7.64","82","0.110833333","0.015571429","0.029512195","4.823529412","4.1","0.705882353","0.6","0.142352941","0.121","0.307058824","0.261","14.63414634","31.67539267","85","0.772854291","2.955555556","3.477124183","5.377777778","6.326797386","11.6","13.64705882","1.717453981","2.020534095","16.97777778","19.97385621"
"","","PEP2012PIC-AT01","","","","","","","","","PEP2012PIC-AT01-00024","","","","20","7.89","18","14","30","2.19","1.09","26.74650699","3.113188","1.376172","0.881121","118.6412","93.14815","22.91611","57.95364","6.948253","9.92976","6.662498","0.469798","3.28","11.17","44","0.156428571","0.036333333","0.074545455","2.444444444","2.2","0.777777778","0.7","0.182222222","0.164","0.438333333","0.3945","31.81818182","29.36436885","90","0.877285429","4.866666667","5.407407407","7.288888889","8.098765432","17.53333333","19.48148148","1.949523176","2.166136862","24.82222222","27.58024691"
"","","PEP2012PIC-AT01","","","","","","","","","PEP2012PIC-AT01-00025","","","","20","3.37","16","39","21","8.62","1.28","32.53968254","4.766407","1.708927","1.010349","163.054","111.464","30.92062","57.09834","4.290396","6.251162","8.266555","0.21073","9.9","13.27","60","0.221025641","0.060952381","0.165","3.75","3","2.4375","1.95","0.61875","0.495","0.210625","0.1685","65","74.60437076","80","3.221428571","19.15555556","23.94444444","22","27.5","7.488888889","9.361111111","7.158730159","8.948412699","29.48888889","36.86111111"
"","","PEP2012PIC-AT01","","","","","","","","","PEP2012PIC-AT01-00026","","","","20","2.09","16","20","10","4.53","0.42","28.8","4.93029","1.905397","1.202186","192.6746","123.4736","26.46678","55.43909","3.757994","6.020499","11.5976","0.17083","4.95","7.04","30","0.2265","0.042","0.165","1.875","1.5","1.25","1","0.309375","0.2475","0.130625","0.1045","66.66666667","70.3125","80","1.4256","10.06666667","12.58333333","11","13.75","4.644444444","5.805555556","3.168","3.96","15.64444444","19.55555556"
"","","PEP2012PIC-AT01","","","","","","","","","PEP2012PIC-AT01-00027","","","","20","1.53","5","7","12","0.48","0.33","34.99005964","3.11824","1.203115","0.784433","164.6718","97.14191","27.6443","60.23774","4.991741","7.26852","9.08577","0.385338","0.81","2.34","19","0.068571429","0.0275","0.042631579","3.8","0.95","1.4","0.35","0.162","0.0405","0.306","0.0765","36.84210526","34.61538462","25","0.283419483","1.066666667","4.266666667","1.8","7.2","3.4","13.6","0.629821074","2.519284294","5.2","20.8"
"","","PEP2012PIC-AT01","","","","","","","","","PEP2012PIC-AT01-00028","","","","20","1.8","5","3","0","0.25","0","36.85258964","3.274921","1.298474","0.800617","143.7777","95.9864","30.13411","58.56245","5.532042","8.273579","10.50085","0.771648","0.25","2.05","3","0.083333333","","0.083333333","0.6","0.15","0.6","0.15","0.05","0.0125","0.36","0.09","100","12.19512195","25","0.092131474","0.555555556","2.222222222","0.555555556","2.222222222","4","16","0.204736609","0.818946436","4.555555556","18.22222222"
"","","PEP2012PIC-AT01","","","","","","","","","PEP2012PIC-AT01-00029","","","","20","3.59","17","26","12","4.26","0.57","27.36220472","3.475868","1.448067","0.825494","119.467","92.35204","28.77655","57.95506","7.641103","11.05482","4.667648","0.671374","4.83","8.42","38","0.163846154","0.0475","0.127105263","2.235294118","1.9","1.529411765","1.3","0.284117647","0.2415","0.211176471","0.1795","68.42105263","57.36342043","85","1.321594488","9.466666667","11.1372549","10.73333333","12.62745098","7.977777778","9.385620915","2.93687664","3.455148988","18.71111111","22.0130719"
"","","PEP2012PIC-AT01","","","","","","","","","PEP2012PIC-AT01-00030","","","","20","4.51","17","12","12","2.38","0.6","30.35714286","3.048803","1.325043","0.84652","161.8408","89.53857","29.08026","63.80315","4.718417","7.115683","6.09987","0.557259","2.98","7.49","24","0.198333333","0.05","0.124166667","1.411764706","1.2","0.705882353","0.6","0.175294118","0.149","0.265294118","0.2255","50","39.78638184","85","0.904642857","5.288888889","6.222222222","6.622222222","7.790849673","10.02222222","11.79084967","2.010317461","2.365079365","16.64444444","19.58169935"
