"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Weight of vines per NET plot in kg|CO_331:0000227","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Storage root dry matter content computing percent|CO_331:0000297","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of calcium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001029","Content of magnesium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001030","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Content of maltose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001051","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","PEP2012BEL-AT01","","","","","","","","","PEP2012BEL-AT01-00027","","","","20","2.4","14","14","8","1.5","0.2","26.09561753","5.455523","2.301843","1.324924","172.9867","137.7608","38.22536","46.96229","4.26403","7.095274","17.43079","0.548338","1.7","4.1","22","0.107142857","0.025","0.077272727","1.571428571","1.1","1","0.7","0.121428571","0.085","0.171428571","0.12","63.63636364","41.46341463","70","0.443625498","3.333333333","4.761904762","3.777777778","5.396825397","5.333333333","7.619047619","0.98583444","1.408334914","9.111111111","13.01587302"
"","","PEP2012BEL-AT01","","","","","","","","","PEP2012BEL-AT01-00028","","","","20","1.8","10","2","7","0.3","0.3","26.58959538","7.775533","2.713841","1.697112","190.516","144.5324","36.27631","45.96739","5.596803","9.689892","13.58466","0.478443","0.6","2.4","9","0.15","0.042857143","0.066666667","0.9","0.45","0.2","0.1","0.06","0.03","0.18","0.09","22.22222222","25","50","0.159537572","0.666666667","1.333333333","1.333333333","2.666666667","4","8","0.354527938","0.709055877","5.333333333","10.66666667"
"","","PEP2012BEL-AT01","","","","","","","","","PEP2012BEL-AT01-00029","","","","20","1.8","12","9","11","1.1","0.3","26.53465347","5.948443","2.038495","1.288901","82.66284","107.8436","26.03748","48.9688","2.408286","4.461552","21.35697","0.064405","1.4","3.2","20","0.122222222","0.027272727","0.07","1.666666667","1","0.75","0.45","0.116666667","0.07","0.15","0.09","45","43.75","60","0.371485149","2.444444444","4.074074074","3.111111111","5.185185185","4","6.666666667","0.825522552","1.375870921","7.111111111","11.85185185"
"","","PEP2012BEL-AT01","","","","","","","","","PEP2012BEL-AT01-00030","","","","20","1.4","7","0","1","0","0.1","31.83673469","3.336977","1.300118","0.886255","97.31885","94.4474","21.38901","57.24369","3.005886","5.102936","18.31176","0.305751","0.1","1.5","1","","0.1","0.1","0.142857143","0.05","0","0","0.014285714","0.005","0.2","0.07","0","6.666666667","35","0.031836735","0","0","0.222222222","0.634920635","3.111111111","8.888888889","0.070748299","0.202137998","3.333333333","9.523809524"
"","","PEP2012BEL-AT01","","","","","","","","","PEP2012BEL-AT01-00031","","","","20","1.6","14","15","18","1.7","0.4","29.11764706","7.892703","2.449634","1.678062","184.2642","136.183","26.91116","52.05471","0.828686","3.047289","22.2656","0.55472","2.1","3.7","33","0.113333333","0.022222222","0.063636364","2.357142857","1.65","1.071428571","0.75","0.15","0.105","0.114285714","0.08","45.45454545","56.75675676","70","0.611470588","3.777777778","5.396825397","4.666666667","6.666666667","3.555555556","5.079365079","1.358823529","1.941176471","8.222222222","11.74603175"
"","","PEP2012BEL-AT01","","","","","","","","","PEP2012BEL-AT01-00032","","","","20","2.8","8","4","3","1","0.2","29.34131737","5.650335","2.05054","1.571614","207.7283","129.8361","21.66106","57.1311","1.123563","3.156648","18.04538","0.121306","1.2","4","7","0.25","0.066666667","0.171428571","0.875","0.35","0.5","0.2","0.15","0.06","0.35","0.14","57.14285714","30","40","0.352095808","2.222222222","5.555555556","2.666666667","6.666666667","6.222222222","15.55555556","0.78243513","1.956087825","8.888888889","22.22222222"
"","","PEP2012BEL-AT01","","","","","","","","","PEP2012BEL-AT01-00033","","","","20","1.7","12","2","5","0.1","0.1","31.09243697","5.482428","1.919125","1.393663","186.9932","130.7769","16.51224","42.57172","1.986175","3.586429","31.90561","0.767352","0.2","1.9","7","0.05","0.02","0.028571429","0.583333333","0.35","0.166666667","0.1","0.016666667","0.01","0.141666667","0.085","28.57142857","10.52631579","60","0.062184874","0.222222222","0.37037037","0.444444444","0.740740741","3.777777778","6.296296296","0.138188609","0.230314348","4.222222222","7.037037037"
"","","PEP2012BEL-AT01","","","","","","","","","PEP2012BEL-AT01-00034","","","","20","0.7","4","1","0","0.1","0","28.45953003","6.068884","2.09975","1.355132","180.8837","130.2981","26.38792","42.60702","4.865938","8.087187","26.36313","0.846621","0.1","0.8","1","0.1","","0.1","0.25","0.05","0.25","0.05","0.025","0.005","0.175","0.035","100","12.5","20","0.02845953","0.222222222","1.111111111","0.222222222","1.111111111","1.555555556","7.777777778","0.0632434","0.316217","1.777777778","8.888888889"
"","","PEP2012BEL-AT01","","","","","","","","","PEP2012BEL-AT01-00035","","","","20","3.5","15","21","18","2.8","0.5","31.4","5.299271","1.810799","1.188678","94.40552","93.62158","8.609741","61.57582","1.193201","2.779853","15.28577","0.358445","3.3","6.8","39","0.133333333","0.027777778","0.084615385","2.6","1.95","1.4","1.05","0.22","0.165","0.233333333","0.175","53.84615385","48.52941176","75","1.0362","6.222222222","8.296296296","7.333333333","9.777777778","7.777777778","10.37037037","2.302666667","3.070222222","15.11111111","20.14814815"
"","","PEP2012BEL-AT01","","","","","","","","","PEP2012BEL-AT01-00036","","","","20","1.8","11","0","3","0","0.1","","","","","","","","","","","","","0.1","1.9","3","","0.033333333","0.033333333","0.272727273","0.15","0","0","0.009090909","0.005","0.163636364","0.09","0","5.263157895","55","","0","0","0.222222222","0.404040404","4","7.272727273","","","4.222222222","7.676767677"
