"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants harvested per NET plot|CO_331:0000679","Weight of vines per NET plot in kg|CO_331:0000227","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Storage root dry matter content computing percent|CO_331:0000297","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of calcium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001029","Content of magnesium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001030","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Content of maltose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001051","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","PEP2008CSR-AT01","","","","","","","","","PEP2008CSR-AT01-00021","","","","20","20","22","33","75","6.6","3.1","30.69","2.63","1.42","0.81","88.19","84.94","31.18","63.68","3.46","5.1","9.78","0.29","9.7","31.7","108","0.2","0.041333333","0.089814815","5.4","5.4","1.65","1.65","0.485","0.485","1.1","1.1","30.55555556","30.59936909","100","2.97693","14.66666667","14.66666667","21.55555556","21.55555556","48.88888889","48.88888889","6.6154","6.6154","70.44444444","70.44444444"
"","","PEP2008CSR-AT01","","","","","","","","","PEP2008CSR-AT01-00022","","","","20","18","13.3","28","66","4.8","2.2","28.97","4.29","1.84","1.1","102.72","94.77","24.87","63.12","2.72","4.5","9.29","0","7","20.3","94","0.171428571","0.033333333","0.074468085","5.222222222","4.7","1.555555556","1.4","0.388888889","0.35","0.738888889","0.665","29.78723404","34.48275862","90","2.0279","10.66666667","11.85185185","15.55555556","17.28395062","29.55555556","32.83950617","4.506444444","5.007160494","45.11111111","50.12345679"
"","","PEP2008CSR-AT01","","","","","","","","","PEP2008CSR-AT01-00023","","","","20","20","15.5","14","58","1.7","2","27.72","2.99","1.59","0.89","68.23","83.3","27.19","60.15","4.54","6.8","8.61","0.32","3.7","19.2","72","0.121428571","0.034482759","0.051388889","3.6","3.6","0.7","0.7","0.185","0.185","0.775","0.775","19.44444444","19.27083333","100","1.02564","3.777777778","3.777777778","8.222222222","8.222222222","34.44444444","34.44444444","2.2792","2.2792","42.66666667","42.66666667"
"","","PEP2008CSR-AT01","","","","","","","","","PEP2008CSR-AT01-00024","","","","20","19","10.5","30","90","4.9","2.6","26.89","3.79","1.69","1.07","105.25","95.69","32.2","60.5","2.88","4.6","12.42","0.34","7.5","18","120","0.163333333","0.028888889","0.0625","6.315789474","6","1.578947368","1.5","0.394736842","0.375","0.552631579","0.525","25","41.66666667","95","2.01675","10.88888889","11.4619883","16.66666667","17.54385965","23.33333333","24.56140351","4.481666667","4.71754386","40","42.10526316"
"","","PEP2008CSR-AT01","","","","","","","","","PEP2008CSR-AT01-00025","","","","20","20","5.5","50","26","14.2","1.2","29.37","3.77","1.59","0.92","94.07","90.61","0","64.79","4.76","7.01","5.92","0.13","15.4","20.9","76","0.284","0.046153846","0.202631579","3.8","3.8","2.5","2.5","0.77","0.77","0.275","0.275","65.78947368","73.68421053","100","4.52298","31.55555556","31.55555556","34.22222222","34.22222222","12.22222222","12.22222222","10.05106667","10.05106667","46.44444444","46.44444444"
"","","PEP2008CSR-AT01","","","","","","","","","PEP2008CSR-AT01-00026","","","","20","20","9.8","56","34","14.2","1.9","28.23","5.37","1.9","1.11","148.38","107.21","0","63.9","3.84","5.67","7.95","0.37","16.1","25.9","90","0.253571429","0.055882353","0.178888889","4.5","4.5","2.8","2.8","0.805","0.805","0.49","0.49","62.22222222","62.16216216","100","4.54503","31.55555556","31.55555556","35.77777778","35.77777778","21.77777778","21.77777778","10.10006667","10.10006667","57.55555556","57.55555556"
"","","PEP2008CSR-AT01","","","","","","","","","PEP2008CSR-AT01-00027","","","","20","18","12.3","11","22","1.25","0.65","29.96","3.24","1.87","0.94","174.89","109.79","14.2","58.17","6.87","9.75","3.61","0.55","1.9","14.2","33","0.113636364","0.029545455","0.057575758","1.833333333","1.65","0.611111111","0.55","0.105555556","0.095","0.683333333","0.615","33.33333333","13.38028169","90","0.56924","2.777777778","3.086419753","4.222222222","4.691358025","27.33333333","30.37037037","1.264977778","1.405530864","31.55555556","35.0617284"
"","","PEP2008CSR-AT01","","","","","","","","","PEP2008CSR-AT01-00028","","","","20","20","11.8","15","17","2.1","0.7","26.1","2.78","1.82","0.86","149.19","100.25","15.28","54.34","8.73","11.98","3.23","0.4","2.8","14.6","32","0.14","0.041176471","0.0875","1.6","1.6","0.75","0.75","0.14","0.14","0.59","0.59","46.875","19.17808219","100","0.7308","4.666666667","4.666666667","6.222222222","6.222222222","26.22222222","26.22222222","1.624","1.624","32.44444444","32.44444444"
"","","PEP2008CSR-AT01","","","","","","","","","PEP2008CSR-AT01-00029","","","","20","18","5.8","22","68","5.1","2.2","29.2","6.05","2.19","1.25","133.38","110.19","22.52","57.76","2.06","3.57","12.22","0.16","7.3","13.1","90","0.231818182","0.032352941","0.081111111","5","4.5","1.222222222","1.1","0.405555556","0.365","0.322222222","0.29","24.44444444","55.72519084","90","2.1316","11.33333333","12.59259259","16.22222222","18.02469136","12.88888889","14.32098765","4.736888889","5.263209877","29.11111111","32.34567901"
"","","PEP2008CSR-AT01","","","","","","","","","PEP2008CSR-AT01-00030","","","","20","14","4.8","21","22","2.8","0.8","25.25","7.47","2.67","1.57","176.78","132.98","38.78","53.56","1.86","3.76","13.03","0","3.6","8.4","43","0.133333333","0.036363636","0.08372093","3.071428571","2.15","1.5","1.05","0.257142857","0.18","0.342857143","0.24","48.8372093","42.85714286","70","0.909","6.222222222","8.888888889","8","11.42857143","10.66666667","15.23809524","2.02","2.885714286","18.66666667","26.66666667"
