"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Storage root size estimating 1-9|CO_331:0000184","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004","treatment_mid_season_drought","Number of storage roots after harvest per NET plot|CO_331:0000233","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Percentage of commercial storage root|CO_331:0000682"
"","","MZP2019UMB-ST02","","","","","","","","","MZP2019UMB-ST02-00028","","","","84","56","1","9","37","32","100","139","13","5","61.8","5","1","18","79.8","0.13","2.702702703","1.19047619","0.486486486","0.214285714","1.67027027","0.735714286","22.55639098","44.04761905","5.731922399","13.01301301","7.936507937","18.01801802","27.24867725","61.86186186","35.18518519","79.87987988","1","239","0.035971223","0.075313808","6.459459459","2.845238095","41.84100418"
"","","MZP2019UMB-ST02","","","","","","","","","MZP2019UMB-ST02-00029","","","","84","65","1","9","42","21","25","26","4.4","2","57.6","5","1","6.4","64","0.176","0.595238095","0.297619048","0.152380952","0.076190476","1.371428571","0.685714286","10","50","1.940035273","3.880070547","2.821869489","5.643738977","25.3968254","50.79365079","28.21869489","56.43738977","1","51","0.076923077","0.125490196","1.214285714","0.607142857","49.01960784"
"","","MZP2019UMB-ST02","","","","","","","","","MZP2019UMB-ST02-00030","","","","84","69","1","7","21","11","9","22","0.8","1","23.8","5","3","1.8","25.6","0.088888889","0.428571429","0.107142857","0.085714286","0.021428571","1.133333333","0.283333333","7.03125","25","0.352733686","1.410934744","0.793650794","3.174603175","10.49382716","41.97530864","11.28747795","45.14991182","1","31","0.045454545","0.058064516","1.476190476","0.369047619","29.03225806"
"","","MZP2019UMB-ST02","","","","","","","","","MZP2019UMB-ST02-00031","","","","84","64","1","9","56","45","61","102","8.8","5","55","5","3","13.8","68.8","0.144262295","1.089285714","0.726190476","0.246428571","0.164285714","0.982142857","0.654761905","20.05813953","66.66666667","3.880070547","5.82010582","6.084656085","9.126984127","24.25044092","36.37566138","30.335097","45.5026455","1","163","0.049019608","0.084662577","2.910714286","1.94047619","37.42331288"
"","","MZP2019UMB-ST02","","","","","","","","","MZP2019UMB-ST02-00032","","","","84","63","1","9","24","22","47","98","3.4","3.8","55.6","5","3","7.2","62.8","0.072340426","1.958333333","0.55952381","0.3","0.085714286","2.316666667","0.661904762","11.46496815","28.57142857","1.499118166","5.24691358","3.174603175","11.11111111","24.51499118","85.80246914","27.68959436","96.91358025","1","145","0.03877551","0.049655172","6.041666667","1.726190476","32.4137931"
"","","MZP2019UMB-ST02","","","","","","","","","MZP2019UMB-ST02-00033","","","","84","65","1","9","37","35","130","280","18.4","12.4","75.2","3","1","30.8","106","0.141538462","3.513513514","1.547619048","0.832432432","0.366666667","2.032432432","0.895238095","29.05660377","44.04761905","8.11287478","18.41841842","13.58024691","30.83083083","33.15696649","75.27527528","46.7372134","106.1061061","1","410","0.044285714","0.075121951","11.08108108","4.880952381","31.70731707"
"","","MZP2019UMB-ST02","","","","","","","","","MZP2019UMB-ST02-00034","","","","84","58","1","9","54","44","92","91","29.2","5.4","52.6","7","5","34.6","87.2","0.317391304","1.703703704","1.095238095","0.640740741","0.411904762","0.974074074","0.626190476","39.67889908","64.28571429","12.87477954","20.02743484","15.25573192","23.73113855","23.19223986","36.07681756","38.44797178","59.8079561","1","183","0.059340659","0.189071038","3.388888889","2.178571429","50.27322404"
"","","MZP2019UMB-ST02","","","","","","","","","MZP2019UMB-ST02-00035","","","","84","60","1","7","36","29","88","108","20","6.2","62","5","3","26.2","88.2","0.227272727","2.444444444","1.047619048","0.727777778","0.311904762","1.722222222","0.738095238","29.70521542","42.85714286","8.818342152","20.57613169","11.55202822","26.95473251","27.33686067","63.78600823","38.88888889","90.74074074","1","196","0.057407407","0.133673469","5.444444444","2.333333333","44.89795918"
"","","MZP2019UMB-ST02","","","","","","","","","MZP2019UMB-ST02-00036","","","","84","61","1","9","32","20","55","90","6.8","3.6","73.8","3","1","10.4","84.2","0.123636364","1.71875","0.654761905","0.325","0.123809524","2.30625","0.878571429","12.35154394","38.0952381","2.998236332","7.87037037","4.585537919","12.03703704","32.53968254","85.41666667","37.12522046","97.4537037","1","145","0.04","0.071724138","4.53125","1.726190476","37.93103448"
"","","MZP2019UMB-ST02","","","","","","","","","MZP2019UMB-ST02-00037","","","","84","68","1","7","44","38","100","116","14.2","6.2","35.6","7","5","20.4","56","0.142","2.272727273","1.19047619","0.463636364","0.242857143","0.809090909","0.423809524","36.42857143","52.38095238","6.261022928","11.95286195","8.994708995","17.17171717","15.69664903","29.96632997","24.69135802","47.13804714","1","216","0.053448276","0.094444444","4.909090909","2.571428571","46.2962963"
"","","MZP2019UMB-ST02","","","","","","","","","MZP2019UMB-ST02-00038","","","","84","61","1","9","46","41","110","116","26.2","10.4","103.2","5","3","36.6","139.8","0.238181818","2.391304348","1.30952381","0.795652174","0.435714286","2.243478261","1.228571429","26.18025751","54.76190476","11.55202822","21.09500805","16.13756614","29.46859903","45.5026455","83.09178744","61.64021164","112.5603865","1","226","0.089655172","0.161946903","4.913043478","2.69047619","48.67256637"
"","","MZP2019UMB-ST02","","","","","","","","","MZP2019UMB-ST02-00039","","","","84","60","1","9","38","37","105","225","12.8","8.6","63.6","5","3","21.4","85","0.121904762","2.763157895","1.25","0.563157895","0.254761905","1.673684211","0.757142857","25.17647059","45.23809524","5.643738977","12.47563353","9.435626102","20.85769981","28.04232804","61.98830409","37.47795414","82.8460039","1","330","0.038222222","0.064848485","8.684210526","3.928571429","31.81818182"
"","","MZP2019UMB-ST02","","","","","","","","","MZP2019UMB-ST02-00040","","","","84","62","1","9","51","38","85","95","19.2","7.8","103.4","3","5","27","130.4","0.225882353","1.666666667","1.011904762","0.529411765","0.321428571","2.02745098","1.230952381","20.70552147","60.71428571","8.465608466","13.94335512","11.9047619","19.60784314","45.59082892","75.09077705","57.49559083","94.69862019","1","180","0.082105263","0.15","3.529411765","2.142857143","47.22222222"
"","","MZP2019UMB-ST02","","","","","","","","","MZP2019UMB-ST02-00041","","","","84","47","1","7","33","21","76","99","9.8","3.6","64","7","3","13.4","77.4","0.128947368","2.303030303","0.904761905","0.406060606","0.15952381","1.939393939","0.761904762","17.3126615","39.28571429","4.320987654","10.99887767","5.908289242","15.03928171","28.21869489","71.82940516","34.12698413","86.86868687","1","175","0.036363636","0.076571429","5.303030303","2.083333333","43.42857143"
"","","MZP2019UMB-ST02","","","","","","","","","MZP2019UMB-ST02-00042","","","","84","49","1","9","40","12","16","20","1.6","1","105","7","9","2.6","107.6","0.1","0.4","0.19047619","0.065","0.030952381","2.625","1.25","2.416356877","47.61904762","0.705467372","1.481481481","1.14638448","2.407407407","46.2962963","97.22222222","47.44268078","99.62962963","1","36","0.05","0.072222222","0.9","0.428571429","44.44444444"
"","","MZP2019UMB-ST02","","","","","","","","","MZP2019UMB-ST02-00043","","","","84","70","1","9","51","26","50","60","6.6","3.8","53.8","7","7","10.4","64.2","0.132","0.980392157","0.595238095","0.203921569","0.123809524","1.054901961","0.64047619","16.19937695","60.71428571","2.91005291","4.793028322","4.585537919","7.55265069","23.72134039","39.07044299","28.30687831","46.62309368","1","110","0.063333333","0.094545455","2.156862745","1.30952381","45.45454545"
"","","MZP2019UMB-ST02","","","","","","","","","MZP2019UMB-ST02-00044","","","","84","69","2","7","46","35","74","32","30","5","63.2","7","5","35","98.2","0.405405405","1.608695652","0.880952381","0.760869565","0.416666667","1.373913043","0.752380952","35.64154786","54.76190476","13.22751323","24.15458937","15.43209877","28.18035427","27.8659612","50.88566828","43.29805996","79.06602254","1","106","0.15625","0.330188679","2.304347826","1.261904762","69.81132075"
"","","MZP2019UMB-ST02","","","","","","","","","MZP2019UMB-ST02-00045","","","","84","62","1","9","32","32","130","490","17.4","22.6","85.8","5","9","40","125.8","0.133846154","4.0625","1.547619048","1.25","0.476190476","2.68125","1.021428571","31.79650238","38.0952381","7.671957672","20.13888889","17.6366843","46.2962963","37.83068783","99.30555556","55.46737213","145.6018519","1","620","0.046122449","0.064516129","19.375","7.380952381","20.96774194"
"","","MZP2019UMB-ST02","","","","","","","","","MZP2019UMB-ST02-00046","","","","84","23","1","5","23","23","22","75","7.6","4.2","47.6","5","5","11.8","59.4","0.345454545","0.956521739","0.261904762","0.513043478","0.14047619","2.069565217","0.566666667","19.86531987","27.38095238","3.350970018","12.23832528","5.202821869","19.00161031","20.98765432","76.65056361","26.19047619","95.65217391","1","97","0.056","0.121649485","4.217391304","1.154761905","22.68041237"
"","","MZP2019UMB-ST02","","","","","","","","","MZP2019UMB-ST02-00047","","","","84","60","1","7","30","21","28","40","5.8","2.2","80.2","5","5","8","88.2","0.207142857","0.933333333","0.333333333","0.266666667","0.095238095","2.673333333","0.954761905","9.070294785","35.71428571","2.557319224","7.160493827","3.527336861","9.87654321","35.36155203","99.01234568","38.88888889","108.8888889","1","68","0.055","0.117647059","2.266666667","0.80952381","41.17647059"
"","","MZP2019UMB-ST02","","","","","","","","","MZP2019UMB-ST02-00048","","","","84","53","1","9","39","32","56","26","13.6","2","52.6","5","3","15.6","68.2","0.242857143","1.435897436","0.666666667","0.4","0.185714286","1.348717949","0.626190476","22.87390029","46.42857143","5.996472663","12.91547958","6.878306878","14.81481481","23.19223986","49.95251662","30.07054674","64.76733143","1","82","0.076923077","0.190243902","2.102564103","0.976190476","68.29268293"
