"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Storage root dry matter content computing percent|CO_331:0000297","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of commercial storage roots per plant harvested|CO_331:2000036","Storage roots yield in kg per plant harvested|CO_331:0000681","Vine weight in kg per plant harvested|CO_331:0000990","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Biomass yield in tons per ha|CO_331:0001003","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant planted|CO_331:0000991","Survival index computing percent|CO_331:0000301","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2018GUR-MT02","","","","","","","","","MZP2018GUR-MT02-00011","","","","31","31","28","13","24","3.7","6","62.5","1","7","7","38.74","3.71","2.19","1.22","66.85","0.37","2.23","12.89","9.7","72.2","37","0.284615385","0.25","0.262162162","1.193548387","0.419354839","0.312903226","2.016129032","35.13513514","13.43490305","3.75778","3.51377018","9.211775878","59.35422602","3.568641975","68.5660019","0.948717949","0.333333333","0.248717949","1.602564103","79.48717949","4.420549582","11.58900836","74.67144564","4.48958184","86.260454"
"","","MZP2018GUR-MT02","","","","","","","","","MZP2018GUR-MT02-00012","","","","27","27","25","12","21","2.2","5.7","17.5","3","5","7","38.38","2.54","1.91","0.94","62.87","1.86","3.82","21.11","7.9","25.4","33","0.183333333","0.271428571","0.239393939","1.222222222","0.444444444","0.292592593","0.648148148","36.36363636","31.1023622","3.03202","2.089268756","7.502374169","16.61918329","2.879411206","24.12155745","0.846153846","0.307692308","0.202564103","0.448717949","69.23076923","3.017832647","10.83676269","24.00548697","4.15914952","34.84224966"
"","","MZP2018GUR-MT02","","","","","","","","","MZP2018GUR-MT02-00013","","","","32","32","32","19","32","5.2","7.1","18.9","5","5","5","44.99","4.24","2.51","1.29","60.54","0.9","2.82","17.09","12.3","31.2","51","0.273684211","0.221875","0.241176471","1.59375","0.59375","0.384375","0.590625","37.25490196","39.42307692","5.53377","4.938271605","11.68091168","17.94871795","5.255242165","29.62962963","1.307692308","0.487179487","0.315384615","0.484615385","82.05128205","6.018518519","14.23611111","21.875","6.404826389","36.11111111"
"","","MZP2018GUR-MT02","","","","","","","","","MZP2018GUR-MT02-00014","","","","30","30","29","20","37","5.7","8.5","16.5","1","5","5","","","","","","","","","14.2","30.7","57","0.285","0.22972973","0.249122807","1.9","0.666666667","0.473333333","0.55","35.0877193","46.25407166","","5.413105413","13.48528015","15.66951567","","29.15479582","1.461538462","0.512820513","0.364102564","0.423076923","76.92307692","7.037037037","17.5308642","20.37037037","","37.90123457"
"","","MZP2018GUR-MT02","","","","","","","","","MZP2018GUR-MT02-00015","","","","25","25","25","22","36","5.2","7.2","50.2","1","3","3","","","","","","","","","12.4","62.6","58","0.236363636","0.2","0.213793103","2.32","0.88","0.496","2.008","37.93103448","19.80830671","","4.938271605","11.77587844","47.67331434","","59.44919278","1.487179487","0.564102564","0.317948718","1.287179487","64.1025641","7.703703704","18.37037037","74.37037037","","92.74074074"
"","","MZP2018GUR-MT02","","","","","","","","","MZP2018GUR-MT02-00016","","","","23","23","22","10","15","3","4.2","12","1","7","9","39.5","4.24","2.9","1.5","60.08","0.42","1.86","18.44","7.2","19.2","25","0.3","0.28","0.288","1.086956522","0.434782609","0.313043478","0.52173913","40","37.5","2.844","2.849002849","6.837606838","11.3960114","2.700854701","18.23361823","0.641025641","0.256410256","0.184615385","0.307692308","58.97435897","4.830917874","11.5942029","19.3236715","4.579710145","30.9178744"
"","","MZP2018GUR-MT02","","","","","","","","","MZP2018GUR-MT02-00017","","","","32","32","32","36","53","8.5","10.3","20.3","3","3","5","33.1","4.09","2.67","1.23","55.35","1.81","3.4","22.35","18.8","39.1","89","0.236111111","0.194339623","0.211235955","2.78125","1.125","0.5875","0.634375","40.4494382","48.08184143","6.2228","8.072174739","17.85375119","19.27825261","5.909591643","37.1320038","2.282051282","0.923076923","0.482051282","0.520512821","82.05128205","9.837962963","21.75925926","23.49537037","7.202314815","45.25462963"
"","","MZP2018GUR-MT02","","","","","","","","","MZP2018GUR-MT02-00018","","","","33","33","30","18","29","5.1","7.1","49.5","1","5","5","32.57","5.02","3.04","1.65","54.03","1.31","2.73","20.05","12.2","61.7","47","0.283333333","0.244827586","0.259574468","1.424242424","0.545454545","0.36969697","1.5","38.29787234","19.77309562","3.97354","4.843304843","11.58594492","47.00854701","3.77354226","58.59449193","1.205128205","0.461538462","0.312820513","1.269230769","84.61538462","5.723905724","13.69248036","55.55555556","4.459640853","69.24803591"
"","","MZP2018GUR-MT02","","","","","","","","","MZP2018GUR-MT02-00019","","","","27","27","25","17","25","4.7","6.5","19.5","3","5","5","","","","","","","","","11.2","30.7","42","0.276470588","0.26","0.266666667","1.555555556","0.62962963","0.414814815","0.722222222","40.47619048","36.48208469","","4.463437797","10.6362773","18.51851852","","29.15479582","1.076923077","0.435897436","0.287179487","0.5","69.23076923","6.447187929","15.36351166","26.74897119","","42.11248285"
"","","MZP2018GUR-MT02","","","","","","","","","MZP2018GUR-MT02-00020","","","","26","26","24","12","23","3.1","5.3","60.5","5","5","5","25.82","5.21","2.71","1.56","52.01","2.36","4.85","19.83","8.4","68.9","35","0.258333333","0.230434783","0.24","1.346153846","0.461538462","0.323076923","2.326923077","34.28571429","12.191582","2.16888","2.943969611","7.977207977","57.45489079","2.0597151","65.43209877","0.897435897","0.307692308","0.215384615","1.551282051","66.66666667","4.415954416","11.96581197","86.18233618","3.08957265","98.14814815"
"","","MZP2018GUR-MT02","","","","","","","","","MZP2018GUR-MT02-00021","","","","34","34","34","17","39","5.1","8.7","35.5","1","5","5","34.18","3.56","2.3","1.39","58.57","1.25","3.23","20.15","13.8","49.3","56","0.3","0.223076923","0.246428571","1.647058824","0.5","0.405882353","1.044117647","30.35714286","27.99188641","4.71684","4.843304843","13.10541311","33.71320038","4.479430199","46.81861349","1.435897436","0.435897436","0.353846154","0.91025641","87.17948718","5.555555556","15.03267974","38.67102397","5.138169935","53.7037037"
"","","MZP2018GUR-MT02","","","","","","","","","MZP2018GUR-MT02-00022","","","","35","35","35","17","44","4.7","10.7","16","3","3","3","","","","","","","","","15.4","31.4","61","0.276470588","0.243181818","0.252459016","1.742857143","0.485714286","0.44","0.457142857","27.86885246","49.04458599","","4.463437797","14.62488129","15.19468186","","29.81956315","1.564102564","0.435897436","0.394871795","0.41025641","89.74358974","4.973544974","16.2962963","16.93121693","","33.22751323"
"","","MZP2018GUR-MT02","","","","","","","","","MZP2018GUR-MT02-00023","","","","35","35","35","21","43","5","8.5","12.5","5","1","1","","","","","","","","","13.5","26","64","0.238095238","0.197674419","0.2109375","1.828571429","0.6","0.385714286","0.357142857","32.8125","51.92307692","","4.748338082","12.82051282","11.8708452","","24.69135802","1.641025641","0.538461538","0.346153846","0.320512821","89.74358974","5.291005291","14.28571429","13.22751323","","27.51322751"
"","","MZP2018GUR-MT02","","","","","","","","","MZP2018GUR-MT02-00024","","","","36","36","35","15","45","4.5","9.5","22.3","1","3","3","","","","","","","","","14","36.3","60","0.3","0.211111111","0.233333333","1.666666667","0.416666667","0.388888889","0.619444444","25","38.56749311","","4.273504274","13.29534663","21.17758784","","34.47293447","1.538461538","0.384615385","0.358974359","0.571794872","92.30769231","4.62962963","14.40329218","22.94238683","","37.34567901"
"","","MZP2018GUR-MT02","","","","","","","","","MZP2018GUR-MT02-00025","","","","35","35","34","14","39","4","8.5","55.3","5","3","3","32.67","6.41","3.51","1.82","51.63","1.03","2.59","27.19","12.5","67.8","53","0.285714286","0.217948718","0.235849057","1.514285714","0.4","0.357142857","1.58","26.41509434","18.43657817","4.08375","3.798670465","11.8708452","52.51661918","3.878205128","64.38746439","1.358974359","0.358974359","0.320512821","1.417948718","89.74358974","4.232804233","13.22751323","58.51851852","4.321428571","71.74603175"
"","","MZP2018GUR-MT02","","","","","","","","","MZP2018GUR-MT02-00026","","","","25","25","23","10","21","3","5","16.3","5","7","7","46.08","5.03","2.56","1.52","60.1","0.82","2.81","16.99","8","24.3","31","0.3","0.238095238","0.258064516","1.24","0.4","0.32","0.652","32.25806452","32.9218107","3.6864","2.849002849","7.597340931","15.47958215","3.500854701","23.07692308","0.794871795","0.256410256","0.205128205","0.417948718","64.1025641","4.444444444","11.85185185","24.14814815","5.461333333","36"
"","","MZP2018GUR-MT02","","","","","","","","","MZP2018GUR-MT02-00027","","","","34","34","34","14","25","4","5.5","51.3","3","5","5","","","","","","","","","9.5","60.8","39","0.285714286","0.22","0.243589744","1.147058824","0.411764706","0.279411765","1.508823529","35.8974359","15.625","","3.798670465","9.021842355","48.71794872","","57.73979107","1","0.358974359","0.243589744","1.315384615","87.17948718","4.357298475","10.34858388","55.88235294","","66.23093682"
"","","MZP2018GUR-MT02","","","","","","","","","MZP2018GUR-MT02-00028","","","","22","22","20","6","17","1.1","4.3","11.5","1","9","9","31.64","4.48","2.68","1.5","52.81","1.52","2.92","23.18","5.4","16.9","23","0.183333333","0.252941176","0.234782609","1.045454545","0.272727273","0.245454545","0.522727273","26.08695652","31.95266272","1.70856","1.044634378","5.128205128","10.92117759","1.622564103","16.04938272","0.58974359","0.153846154","0.138461538","0.294871795","56.41025641","1.851851852","9.090909091","19.36026936","2.876363636","28.45117845"
"","","MZP2018GUR-MT02","","","","","","","","","MZP2018GUR-MT02-00029","","","","24","24","23","7","19","1.2","5.3","10.5","5","7","7","32.27","4.44","2.71","1.57","52.42","0.83","2.5","23.51","6.5","17","26","0.171428571","0.278947368","0.25","1.083333333","0.291666667","0.270833333","0.4375","26.92307692","38.23529412","2.09755","1.13960114","6.172839506","9.971509972","1.991975309","16.14434948","0.666666667","0.179487179","0.166666667","0.269230769","61.53846154","1.851851852","10.0308642","16.2037037","3.236959877","26.2345679"
"","","MZP2018GUR-MT02","","","","","","","","","MZP2018GUR-MT02-00030","","","","30","30","30","16","23","4.5","5.7","17.5","3","5","5","38.31","3.6","2.34","1.35","59.61","0.68","2.08","18.09","10.2","27.7","39","0.28125","0.247826087","0.261538462","1.3","0.533333333","0.34","0.583333333","41.02564103","36.82310469","3.90762","4.273504274","9.686609687","16.61918329","3.710940171","26.30579297","1","0.41025641","0.261538462","0.448717949","76.92307692","5.555555556","12.59259259","21.60493827","4.824222222","34.19753086"
"","","MZP2018GUR-MT02","","","","","","","","","MZP2018GUR-MT02-00031","","","","33","33","32","14","19","4.3","5.3","11.7","1","7","7","36.6","4.08","2.58","1.34","59.66","0.95","2.68","21.53","9.6","21.3","33","0.307142857","0.278947368","0.290909091","1","0.424242424","0.290909091","0.354545455","42.42424242","45.07042254","3.5136","4.08357075","9.116809117","11.11111111","3.336752137","20.22792023","0.846153846","0.358974359","0.246153846","0.3","84.61538462","4.826038159","10.77441077","13.13131313","3.943434343","23.90572391"
"","","MZP2018GUR-MT02","","","","","","","","","MZP2018GUR-MT02-00032","","","","34","34","33","19","38","5","7.3","18.5","3","5","5","","","","","","","","","12.3","30.8","57","0.263157895","0.192105263","0.215789474","1.676470588","0.558823529","0.361764706","0.544117647","33.33333333","39.93506494","","4.748338082","11.68091168","17.5688509","","29.24976258","1.461538462","0.487179487","0.315384615","0.474358974","87.17948718","5.446623094","13.39869281","20.15250545","","33.55119826"
"","","MZP2018GUR-MT02","","","","","","","","","MZP2018GUR-MT02-00033","","","","30","30","30","16","24","4.8","6","19.9","1","5","5","","","","","","","","","10.8","30.7","40","0.3","0.25","0.27","1.333333333","0.533333333","0.36","0.663333333","40","35.17915309","","4.558404558","10.25641026","18.89838557","","29.15479582","1.025641026","0.41025641","0.276923077","0.51025641","76.92307692","5.925925926","13.33333333","24.56790123","","37.90123457"
"","","MZP2018GUR-MT02","","","","","","","","","MZP2018GUR-MT02-00034","","","","35","35","34","18","43","5.1","9.5","21.5","7","5","5","36.1","6.01","2.88","1.62","54.34","1.04","2.94","19.63","14.6","36.1","61","0.283333333","0.220930233","0.239344262","1.742857143","0.514285714","0.417142857","0.614285714","29.50819672","40.4432133","5.2706","4.843304843","13.8651472","20.41785375","5.005318139","34.28300095","1.564102564","0.461538462","0.374358974","0.551282051","89.74358974","5.396825397","15.44973545","22.75132275","5.577354497","38.2010582"
"","","MZP2018GUR-MT02","","","","","","","","","MZP2018GUR-MT02-00035","","","","34","34","30","15","22","4.7","5.5","31.5","3","5","5","33.33","5.31","3.19","1.64","52.04","0.8","2.2","24.3","10.2","41.7","37","0.313333333","0.25","0.275675676","1.088235294","0.441176471","0.3","0.926470588","40.54054054","24.46043165","3.39966","4.463437797","9.686609687","29.91452991","3.228547009","39.6011396","0.948717949","0.384615385","0.261538462","0.807692308","87.17948718","5.119825708","11.11111111","34.31372549","3.703333333","45.4248366"
"","","MZP2018GUR-MT02","","","","","","","","","MZP2018GUR-MT02-00036","","","","25","25","25","11","20","3.2","5","13.5","5","7","7","39.75","2.79","1.98","0.97","65.81","0.8","2.47","15.62","8.2","21.7","31","0.290909091","0.25","0.264516129","1.24","0.44","0.328","0.54","35.48387097","37.78801843","3.2595","3.038936372","7.787274454","12.82051282","3.095441595","20.60778727","0.794871795","0.282051282","0.21025641","0.346153846","64.1025641","4.740740741","12.14814815","20","4.828888889","32.14814815"
"","","MZP2018GUR-MT02","","","","","","","","","MZP2018GUR-MT02-00037","","","","36","36","35","27","51","7.1","10.7","71.5","1","3","3","34.1","5.69","2.83","1.63","60.82","0.57","2.19","15.96","17.8","89.3","78","0.262962963","0.209803922","0.228205128","2.166666667","0.75","0.494444444","1.986111111","34.61538462","19.93281075","6.0698","6.742640076","16.90408357","67.90123457","5.764292498","84.80531814","2","0.692307692","0.456410256","1.833333333","92.30769231","7.304526749","18.3127572","73.55967078","6.244650206","91.87242798"
"","","MZP2018GUR-MT02","","","","","","","","","MZP2018GUR-MT02-00038","","","","34","34","34","22","46","5.3","8.8","41.3","1","","1","","","","","","","","","14.1","55.4","68","0.240909091","0.191304348","0.207352941","2","0.647058824","0.414705882","1.214705882","32.35294118","25.45126354","","5.033238367","13.39031339","39.22127255","","52.61158594","1.743589744","0.564102564","0.361538462","1.058974359","87.17948718","5.773420479","15.35947712","44.98910675","","60.34858388"
"","","MZP2018GUR-MT02","","","","","","","","","MZP2018GUR-MT02-00039","","","","34","34","32","5","51","6","8.1","33.5","5","1","1","","","","","","","","","14.1","47.6","56","1.2","0.158823529","0.251785714","1.647058824","0.147058824","0.414705882","0.985294118","8.928571429","29.62184874","","5.698005698","13.39031339","31.81386515","","45.20417854","1.435897436","0.128205128","0.361538462","0.858974359","87.17948718","6.535947712","15.35947712","36.49237473","","51.85185185"
"","","MZP2018GUR-MT02","","","","","","","","","MZP2018GUR-MT02-00040","","","","24","24","24","13","21","3.6","5.1","16.1","1","5","5","","","","","","","","","8.7","24.8","34","0.276923077","0.242857143","0.255882353","1.416666667","0.541666667","0.3625","0.670833333","38.23529412","35.08064516","","3.418803419","8.262108262","15.28964862","","23.55175689","0.871794872","0.333333333","0.223076923","0.412820513","61.53846154","5.555555556","13.42592593","24.84567901","","38.27160494"
"","","MZP2018GUR-MT02","","","","","","","","","MZP2018GUR-MT02-00041","","","","25","25","25","10","19","3.1","4.5","42.7","1","5","5","","","","","","","","","7.6","50.3","29","0.31","0.236842105","0.262068966","1.16","0.4","0.304","1.708","34.48275862","15.10934394","","2.943969611","7.217473884","40.55080722","","47.7682811","0.743589744","0.256410256","0.194871795","1.094871795","64.1025641","4.592592593","11.25925926","63.25925926","","74.51851852"
"","","MZP2018GUR-MT02","","","","","","","","","MZP2018GUR-MT02-00042","","","","34","34","33","17","35","4.9","7.5","30.2","3","3","3","","","","","","","","","12.4","42.6","52","0.288235294","0.214285714","0.238461538","1.529411765","0.5","0.364705882","0.888235294","32.69230769","29.10798122","","4.65337132","11.77587844","28.67996201","","40.45584046","1.333333333","0.435897436","0.317948718","0.774358974","87.17948718","5.337690632","13.50762527","32.89760349","","46.40522876"
"","","MZP2018GUR-MT02","","","","","","","","","MZP2018GUR-MT02-00043","","","","30","30","27","12","23","3.4","5.7","18.5","1","5","5","34.97","5.97","2.93","1.65","53.48","0.54","2.23","23.16","9.1","27.6","35","0.283333333","0.247826087","0.26","1.166666667","0.4","0.303333333","0.616666667","34.28571429","32.97101449","3.18227","3.228869896","8.641975309","17.5688509","3.022098765","26.21082621","0.897435897","0.307692308","0.233333333","0.474358974","76.92307692","4.197530864","11.2345679","22.83950617","3.928728395","34.07407407"
"","","MZP2018GUR-MT02","","","","","","","","","MZP2018GUR-MT02-00044","","","","39","39","39","41","79","10.2","13.3","15.5","1","1","1","40.08","3.76","2.31","1.22","59.19","1.33","3.55","22.37","23.5","39","120","0.248780488","0.16835443","0.195833333","3.076923077","1.051282051","0.602564103","0.397435897","34.16666667","60.25641026","9.4188","9.686609687","22.31718898","14.71984805","8.944729345","37.03703704","3.076923077","1.051282051","0.602564103","0.397435897","100","9.686609687","22.31718898","14.71984805","8.944729345","37.03703704"
"","","MZP2018GUR-MT02","","","","","","","","","MZP2018GUR-MT02-00045","","","","30","30","24","14","32","4","7.2","41.3","3","3","3","","","","","","","","","11.2","52.5","46","0.285714286","0.225","0.243478261","1.533333333","0.466666667","0.373333333","1.376666667","30.43478261","21.33333333","","3.798670465","10.6362773","39.22127255","","49.85754986","1.179487179","0.358974359","0.287179487","1.058974359","76.92307692","4.938271605","13.82716049","50.98765432","","64.81481481"
"","","MZP2018GUR-MT02","","","","","","","","","MZP2018GUR-MT02-00046","","","","30","30","27","19","37","5.1","7.5","20.1","1","5","5","31.6","3.88","2.76","1.35","51.65","1.61","2.9","27.1","12.6","32.7","56","0.268421053","0.202702703","0.225","1.866666667","0.633333333","0.42","0.67","33.92857143","38.53211009","3.9816","4.843304843","11.96581197","19.08831909","3.781196581","31.05413105","1.435897436","0.487179487","0.323076923","0.515384615","76.92307692","6.296296296","15.55555556","24.81481481","4.915555556","40.37037037"
