"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Storage root sweetness in cooked samples estimating 1-9|CO_331:0000261","Storage root texture in boiled samples estimating 1-9 by Gruneberg|CO_331:0000265","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of magnesium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001030","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of total carotenoids in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000290","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2016UMB-MT01","","","","","","","","","MZP2016UMB-MT01-00011","","","","26","22","4","4","6","13","12","41","27","6","2","4","3","4","1","1","3","6","5","4.02","1.98","1.23","76.32","32.728","7.76","57.76","3.45","4.95","10.78","8","12","68","0.146341463","0.074074074","0.117647059","5.230769231","2.615384615","3.153846154","1.576923077","0.615384615","0.307692308","0.307692308","0.153846154","60.29411765","66.66666667","50","8.547008547","17.09401709","11.3960114","22.79202279","5.698005698","11.3960114","17.09401709","34.18803419"
"","","MZP2016UMB-MT01","","","","","","","","","MZP2016UMB-MT01-00012","","","","26","22","2","2","7","10","10","31","49","3","3","5","4","4","1","1","7","5","5","2.95","1.69","1.03","53.97","35.553","","52.81","5.5","7.82","14.15","6","11","80","0.096774194","0.06122449","0.075","8","3.076923077","3.1","1.192307692","0.6","0.230769231","0.5","0.192307692","38.75","54.54545455","38.46153846","4.273504274","11.11111111","8.547008547","22.22222222","7.122507123","18.51851852","15.66951567","40.74074074"
"","","MZP2016UMB-MT01","","","","","","","","","MZP2016UMB-MT01-00013","","","","26","23","1","1","5","17","17","31","63","4.2","3","3","4","4","1","2","5","7","5","","0","0","0","0","14.37","","0","0","0","7.2","10.2","94","0.135483871","0.047619048","0.076595745","5.529411765","3.615384615","1.823529412","1.192307692","0.423529412","0.276923077","0.176470588","0.115384615","32.9787234","70.58823529","65.38461538","5.982905983","9.150326797","10.25641026","15.68627451","4.273504274","6.535947712","14.52991453","22.22222222"
"","","MZP2016UMB-MT01","","","","","","","","","MZP2016UMB-MT01-00014","","","","26","23","1","1","6","16","16","45","56","6.3","2.9","2","2","2","1","1","9","5","1","3.78","2.15","1.22","69.63","55.402","14.37","45.02","5.75","7.81","16.63","9.2","11.2","101","0.14","0.051785714","0.091089109","6.3125","3.884615385","2.8125","1.730769231","0.575","0.353846154","0.125","0.076923077","44.55445545","82.14285714","61.53846154","8.974358974","14.58333333","13.10541311","21.2962963","2.849002849","4.62962963","15.95441595","25.92592593"
"","","MZP2016UMB-MT01","","","","","","","","","MZP2016UMB-MT01-00015","","","","26","20","2","2","6","17","17","39","27","8","2.3","5.5","3","2","1","1","3","8","7","3.62","1.54","1.08","47.02","0","5.46","61.65","2.72","4.02","10.75","10.3","15.8","66","0.205128205","0.085185185","0.156060606","3.882352941","2.538461538","2.294117647","1.5","0.605882353","0.396153846","0.323529412","0.211538462","59.09090909","65.18987342","65.38461538","11.3960114","17.4291939","14.67236467","22.44008715","7.834757835","11.98257081","22.50712251","34.42265795"
"","","MZP2016UMB-MT01","","","","","","","","","MZP2016UMB-MT01-00016","","","","26","22","3","3","5","16","16","44","30","4","1.2","2","4","2","1","1","8","7","2","2.86","1.49","1.01","56.91","22.471","14.37","62.4","5.52","7.76","4.99","5.2","7.2","74","0.090909091","0.04","0.07027027","4.625","2.846153846","2.75","1.692307692","0.325","0.2","0.125","0.076923077","59.45945946","72.22222222","61.53846154","5.698005698","9.259259259","7.407407407","12.03703704","2.849002849","4.62962963","10.25641026","16.66666667"
"","","MZP2016UMB-MT01","","","","","","","","","MZP2016UMB-MT01-00017","","","","26","14","3","3","5","13","13","19","42","3","2","5.6","4","5","4","1","5","9","5","3.54","1.43","0.93","51.23","30.583","4.92","56.8","3.02","3.8","16.44","5","10.6","61","0.157894737","0.047619048","0.081967213","4.692307692","2.346153846","1.461538462","0.730769231","0.384615385","0.192307692","0.430769231","0.215384615","31.14754098","47.16981132","50","4.273504274","8.547008547","7.122507123","14.24501425","7.977207977","15.95441595","15.0997151","30.1994302"
"","","MZP2016UMB-MT01","","","","","","","","","MZP2016UMB-MT01-00018","","","","26","20","4","4","4","9","9","7","13","1.9","1.3","1.3","2","4","2","1","5","5","3","4.15","1.63","0.97","47.28","16.607","3.03","61.7","3.69","5.19","9.02","3.2","4.5","20","0.271428571","0.1","0.16","2.222222222","0.769230769","0.777777778","0.269230769","0.355555556","0.123076923","0.144444444","0.05","35","71.11111111","34.61538462","2.706552707","7.818930041","4.558404558","13.16872428","1.851851852","5.349794239","6.41025641","18.51851852"
"","","MZP2016UMB-MT01","","","","","","","","","MZP2016UMB-MT01-00019","","","","26","22","4","4","7","18","18","27","44","6.1","2.1","5.5","3","3","1","1","7","5","1","3.2","1.41","0.87","40.58","13.883","3.37","65.62","2.73","3.91","6.28","8.2","13.7","71","0.225925926","0.047727273","0.115492958","3.944444444","2.730769231","1.5","1.038461538","0.455555556","0.315384615","0.305555556","0.211538462","38.02816901","59.8540146","69.23076923","8.689458689","12.55144033","11.68091168","16.87242798","7.834757835","11.31687243","19.51566952","28.18930041"
"","","MZP2016UMB-MT01","","","","","","","","","MZP2016UMB-MT01-00020","","","","26","20","1","1","6","10","10","24","20","3.3","1","1.7","2","3","1","1","3","3","6","","0","0","0","0","14.37","","0","0","0","4.3","6","44","0.1375","0.05","0.097727273","4.4","1.692307692","2.4","0.923076923","0.43","0.165384615","0.17","0.065384615","54.54545455","71.66666667","38.46153846","4.700854701","12.22222222","6.125356125","15.92592593","2.421652422","6.296296296","8.547008547","22.22222222"
"","","MZP2016UMB-MT01","","","","","","","","","MZP2016UMB-MT01-00021","","","","26","19","5","5","6","17","17","33","57","3.1","3","12","3","6","1","2","5","5","7","2.94","1.39","0.91","61.42","","","61.85","3.11","4.21","11.37","6.1","18.1","90","0.093939394","0.052631579","0.067777778","5.294117647","3.461538462","1.941176471","1.269230769","0.358823529","0.234615385","0.705882353","0.461538462","36.66666667","33.70165746","65.38461538","4.415954416","6.753812636","8.689458689","13.28976035","17.09401709","26.14379085","25.78347578","39.4335512"
"","","MZP2016UMB-MT01","","","","","","","","","MZP2016UMB-MT01-00022","","","","26","17","4","4","5","17","17","16","60","2","2.9","3","2","6","1","2","7","5","2","","0","0","0","0","3.03","","0","0","0","4.9","7.9","76","0.125","0.048333333","0.064473684","4.470588235","2.923076923","0.941176471","0.615384615","0.288235294","0.188461538","0.176470588","0.115384615","21.05263158","62.02531646","65.38461538","2.849002849","4.357298475","6.98005698","10.67538126","4.273504274","6.535947712","11.25356125","17.21132898"
"","","MZP2016UMB-MT01","","","","","","","","","MZP2016UMB-MT01-00023","","","","26","23","4","4","5","19","19","110","38","20.3","2","4.5","2","3","1","2","8","6","1","2.72","1.72","0.92","58.53","34.954","14.37","52.37","7.28","9.89","10.78","22.3","26.8","148","0.184545455","0.052631579","0.150675676","7.789473684","5.692307692","5.789473684","4.230769231","1.173684211","0.857692308","0.236842105","0.173076923","74.32432432","83.20895522","73.07692308","28.91737892","39.5711501","31.76638177","43.46978558","6.41025641","8.771929825","38.17663818","52.2417154"
"","","MZP2016UMB-MT01","","","","","","","","","MZP2016UMB-MT01-00024","","","","26","23","5","5","5","20","20","54","79","10.1","4","8","2","4","1","1","3","7","7","2.83","1.18","0.83","6.81","0","4.41","68.83","2.03","2.94","7.65","14.1","22.1","133","0.187037037","0.050632911","0.106015038","6.65","5.115384615","2.7","2.076923077","0.705","0.542307692","0.4","0.307692308","40.60150376","63.80090498","76.92307692","14.38746439","18.7037037","20.08547009","26.11111111","11.3960114","14.81481481","31.48148148","40.92592593"
"","","MZP2016UMB-MT01","","","","","","","","","MZP2016UMB-MT01-00025","","","","26","19","5","5","4","19","19","22","41","3","1.2","2","2","4","1","1","5","6","5","3.98","1.96","1.34","93.42","35.892","14.37","58.22","4.1","6.15","7.7","4.2","6.2","63","0.136363636","0.029268293","0.066666667","3.315789474","2.423076923","1.157894737","0.846153846","0.221052632","0.161538462","0.105263158","0.076923077","34.92063492","67.74193548","73.07692308","4.273504274","5.847953216","5.982905983","8.187134503","2.849002849","3.898635478","8.831908832","12.08576998"
"","","MZP2016UMB-MT01","","","","","","","","","MZP2016UMB-MT01-00026","","","","26","22","3","3","6","18","17","30","32","3.1","1","1.5","2","4","3","1","9","5","1","3.02","1.56","1.04","54.24","28.367","14.37","55.15","5.31","7.73","11.61","4.1","5.6","62","0.103333333","0.03125","0.066129032","3.444444444","2.384615385","1.666666667","1.153846154","0.227777778","0.157692308","0.083333333","0.057692308","48.38709677","73.21428571","69.23076923","4.415954416","6.378600823","5.84045584","8.436213992","2.136752137","3.086419753","7.977207977","11.52263374"
"","","MZP2016UMB-MT01","","","","","","","","","MZP2016UMB-MT01-00027","","","","26","20","6","6","3","11","11","22","20","2.9","1","1.3","2","3","4","1","9","5","2","3.57","1.82","1.17","77.43","50.566","14.37","38.2","6.97","10.4","23.46","3.9","5.2","42","0.131818182","0.05","0.092857143","3.818181818","1.615384615","2","0.846153846","0.354545455","0.15","0.118181818","0.05","52.38095238","75","42.30769231","4.131054131","9.764309764","5.555555556","13.13131313","1.851851852","4.377104377","7.407407407","17.50841751"
"","","MZP2016UMB-MT01","","","","","","","","","MZP2016UMB-MT01-00028","","","","26","24","2","2","6","19","17","54","78","6","2.3","3","2","4","1","1","9","5","1","4.23","1.82","1.29","82.23","54.908","14.37","56.9","1.8","2.91","15.32","8.3","11.3","132","0.111111111","0.029487179","0.062878788","6.947368421","5.076923077","2.842105263","2.076923077","0.436842105","0.319230769","0.157894737","0.115384615","40.90909091","73.45132743","73.07692308","8.547008547","11.69590643","11.82336182","16.17933723","4.273504274","5.847953216","16.0968661","22.02729045"
"","","MZP2016UMB-MT01","","","","","","","","","MZP2016UMB-MT01-00029","","","","26","19","3","3","6","17","15","31","30","5","2.1","3.5","3","3","3","1","9","5","1","4.54","1.61","0.96","46.74","43.39","12.39","59.2","2.65","3.71","13.56","7.1","10.6","61","0.161290323","0.07","0.116393443","3.588235294","2.346153846","1.823529412","1.192307692","0.417647059","0.273076923","0.205882353","0.134615385","50.81967213","66.98113208","65.38461538","7.122507123","10.89324619","10.11396011","15.46840959","4.985754986","7.625272331","15.0997151","23.09368192"
"","","MZP2016UMB-MT01","","","","","","","","","MZP2016UMB-MT01-00030","","","","26","17","2","2","5","9","7","8","8","2","0.5","4.5","3","4","1","1","5","7","5","4.34","1.18","0.86","42.18","0","0.12","69.31","1.48","2.4","6","2.5","7","16","0.25","0.0625","0.15625","1.777777778","0.615384615","0.888888889","0.307692308","0.277777778","0.096153846","0.5","0.173076923","50","35.71428571","34.61538462","2.849002849","8.230452675","3.561253561","10.28806584","6.41025641","18.51851852","9.971509972","28.80658436"
"","","MZP2016UMB-MT01","","","","","","","","","MZP2016UMB-MT01-00031","","","","26","16","1","2","6","12","12","18","16","3.3","1.1","4.6","3","2","2","1","9","5","1","3.97","1.38","1.02","46.34","11.364","12.39","67.49","1.75","2.93","6.06","4.4","9","34","0.183333333","0.06875","0.129411765","2.833333333","1.307692308","1.5","0.692307692","0.366666667","0.169230769","0.383333333","0.176923077","52.94117647","48.88888889","46.15384615","4.700854701","10.18518519","6.267806268","13.58024691","6.552706553","14.19753086","12.82051282","27.77777778"
"","","MZP2016UMB-MT01","","","","","","","","","MZP2016UMB-MT01-00032","","","","26","17","2","5","6","11","11","13","17","4.4","2.2","6","3","2","1","1","7","5","4","4.27","1.59","1.04","79.6","44.428","14.37","61.67","2.22","3.28","11.55","6.6","12.6","30","0.338461538","0.129411765","0.22","2.727272727","1.153846154","1.181818182","0.5","0.6","0.253846154","0.545454545","0.230769231","43.33333333","52.38095238","42.30769231","6.267806268","14.81481481","9.401709402","22.22222222","8.547008547","20.2020202","17.94871795","42.42424242"
"","","MZP2016UMB-MT01","","","","","","","","","MZP2016UMB-MT01-00033","","","","26","21","2","2","5","15","15","21","32","5.4","2.6","4.2","3","2","1","1","9","4","1","3.78","2.17","1.25","77.14","54.744","14.37","45.44","6.27","8.59","15.28","8","12.2","53","0.257142857","0.08125","0.150943396","3.533333333","2.038461538","1.4","0.807692308","0.533333333","0.307692308","0.28","0.161538462","39.62264151","65.57377049","57.69230769","7.692307692","13.33333333","11.3960114","19.75308642","5.982905983","10.37037037","17.37891738","30.12345679"
"","","MZP2016UMB-MT01","","","","","","","","","MZP2016UMB-MT01-00034","","","","26","19","2","3","6","14","14","33","28","9","3","6","2","2","1","1","3","6","6","2.94","1.38","0.85","53.13","21.956","3.03","63.54","2.35","3.18","10.83","12","18","61","0.272727273","0.107142857","0.196721311","4.357142857","2.346153846","2.357142857","1.269230769","0.857142857","0.461538462","0.428571429","0.230769231","54.09836066","66.66666667","53.84615385","12.82051282","23.80952381","17.09401709","31.74603175","8.547008547","15.87301587","25.64102564","47.61904762"
"","","MZP2016UMB-MT01","","","","","","","","","MZP2016UMB-MT01-00035","","","","26","20","1","4","5","18","17","34","54","7.6","3.2","7","2","3","1","1","2","7","8","2.9","1.29","0.88","14.5","5.795","5.46","68.23","1.85","2.49","7.79","10.8","17.8","88","0.223529412","0.059259259","0.122727273","4.888888889","3.384615385","1.888888889","1.307692308","0.6","0.415384615","0.388888889","0.269230769","38.63636364","60.6741573","69.23076923","10.82621083","15.63786008","15.38461538","22.22222222","9.971509972","14.40329218","25.35612536","36.6255144"
"","","MZP2016UMB-MT01","","","","","","","","","MZP2016UMB-MT01-00036","","","","26","14","1","3","5","10","10","12","30","2.4","2.4","5.4","3","4","2","1","8","5","4","2.93","1.53","0.94","58.57","68.019","12.39","53.14","5.48","7.69","15.25","4.8","10.2","42","0.2","0.08","0.114285714","4.2","1.615384615","1.2","0.461538462","0.48","0.184615385","0.54","0.207692308","28.57142857","47.05882353","38.46153846","3.418803419","8.888888889","6.837606838","17.77777778","7.692307692","20","14.52991453","37.77777778"
"","","MZP2016UMB-MT01","","","","","","","","","MZP2016UMB-MT01-00037","","","","26","17","1","3","4","13","10","17","14","3","1.4","3.8","5","2","1","2","9","7","1","3.57","1.85","1.25","82.63","46.077","14.37","57.82","2.58","3.78","11.82","4.4","8.2","31","0.176470588","0.1","0.141935484","2.384615385","1.192307692","1.307692308","0.653846154","0.338461538","0.169230769","0.292307692","0.146153846","54.83870968","53.65853659","50","4.273504274","8.547008547","6.267806268","12.53561254","5.413105413","10.82621083","11.68091168","23.36182336"
"","","MZP2016UMB-MT01","","","","","","","","","MZP2016UMB-MT01-00038","","","","26","9","1","3","5","9","8","15","22","4","2.2","5","3","5","2","3","8","5","2","3.12","1.64","1.03","68.13","21.967","7.76","58.38","5.44","7.58","6.61","6.2","11.2","37","0.266666667","0.1","0.167567568","4.111111111","1.423076923","1.666666667","0.576923077","0.688888889","0.238461538","0.555555556","0.192307692","40.54054054","55.35714286","34.61538462","5.698005698","16.46090535","8.831908832","25.51440329","7.122507123","20.57613169","15.95441595","46.09053498"
"","","MZP2016UMB-MT01","","","","","","","","","MZP2016UMB-MT01-00039","","","","26","20","1","3","5","17","17","11","26","1.6","1.2","4","5","3","1","2","9","5","3","3.88","1.63","1.08","73.39","28.296","7.76","64.34","2.69","3.83","6.28","2.8","6.8","37","0.145454545","0.046153846","0.075675676","2.176470588","1.423076923","0.647058824","0.423076923","0.164705882","0.107692308","0.235294118","0.153846154","29.72972973","41.17647059","65.38461538","2.279202279","3.48583878","3.988603989","6.100217865","5.698005698","8.71459695","9.686609687","14.81481481"
"","","MZP2016UMB-MT01","","","","","","","","","MZP2016UMB-MT01-00040","","","","26","17","1","2","6","15","14","26","20","3.8","2","6","3","4","1","1","3","8","2","3.78","0.98","0.85","30.58","0","0.12","70.64","1.55","2.44","5.1","5.8","11.8","46","0.146153846","0.1","0.126086957","3.066666667","1.769230769","1.733333333","1","0.386666667","0.223076923","0.4","0.230769231","56.52173913","49.15254237","57.69230769","5.413105413","9.382716049","8.262108262","14.32098765","8.547008547","14.81481481","16.80911681","29.13580247"
"","","MZP2016UMB-MT01","","","","","","","","","MZP2016UMB-MT01-00041","","","","26","16","1","1","5","11","11","32","25","4.6","2.6","3.2","3","2","2","1","9","7","1","3.15","1.64","1.09","67.08","47.302","14.37","59.69","3","4.11","10.36","7.2","10.4","57","0.14375","0.104","0.126315789","5.181818182","2.192307692","2.909090909","1.230769231","0.654545455","0.276923077","0.290909091","0.123076923","56.14035088","69.23076923","42.30769231","6.552706553","15.48821549","10.25641026","24.24242424","4.558404558","10.77441077","14.81481481","35.01683502"
