"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Storage root size estimating 1-9|CO_331:0000184","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004","treatment_irrigation","Number of storage roots after harvest per NET plot|CO_331:0000233","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Percentage of commercial storage root|CO_331:0000682"
"","","MZP2019UMB-ST04","","","","","","","","","MZP2019UMB-ST04-00011","","","","84","68","1","5","45","40","103","112","24.6","7.2","50.8","3","3","31.8","82.6","0.238834951","2.288888889","1.226190476","0.706666667","0.378571429","1.128888889","0.604761905","38.49878935","53.57142857","10.84656085","20.24691358","14.02116402","26.17283951","22.39858907","41.81069959","36.41975309","67.98353909","1","215","0.064285714","0.147906977","4.777777778","2.55952381","47.90697674"
"","","MZP2019UMB-ST04","","","","","","","","","MZP2019UMB-ST04-00012","","","","84","68","1","7","43","42","140","90","22.6","4.4","48.6","5","3","27","75.6","0.161428571","3.255813953","1.666666667","0.627906977","0.321428571","1.130232558","0.578571429","35.71428571","51.19047619","9.964726631","19.46597761","11.9047619","23.25581395","21.42857143","41.86046512","33.33333333","65.11627907","1","230","0.048888889","0.117391304","5.348837209","2.738095238","60.86956522"
"","","MZP2019UMB-ST04","","","","","","","","","MZP2019UMB-ST04-00013","","","","84","59","1","7","32","21","25","73","3.2","2.6","53.6","5","5","5.8","59.4","0.128","0.78125","0.297619048","0.18125","0.069047619","1.675","0.638095238","9.764309764","38.0952381","1.410934744","3.703703704","2.557319224","6.712962963","23.63315697","62.03703704","26.19047619","68.75","1","98","0.035616438","0.059183673","3.0625","1.166666667","25.51020408"
"","","MZP2019UMB-ST04","","","","","","","","","MZP2019UMB-ST04-00014","","","","84","56","1","9","40","37","50","86","9.4","4.8","93.8","1","5","14.2","108","0.188","1.25","0.595238095","0.355","0.169047619","2.345","1.116666667","13.14814815","47.61904762","4.144620811","8.703703704","6.261022928","13.14814815","41.35802469","86.85185185","47.61904762","100","1","136","0.055813953","0.104411765","3.4","1.619047619","36.76470588"
"","","MZP2019UMB-ST04","","","","","","","","","MZP2019UMB-ST04-00015","","","","84","63","1","9","51","42","150","260","23.2","10","56.4","1","3","33.2","89.6","0.154666667","2.941176471","1.785714286","0.650980392","0.395238095","1.105882353","0.671428571","37.05357143","60.71428571","10.2292769","16.84822077","14.63844797","24.11038489","24.86772487","40.95860566","39.50617284","65.06899056","1","410","0.038461538","0.08097561","8.039215686","4.880952381","36.58536585"
"","","MZP2019UMB-ST04","","","","","","","","","MZP2019UMB-ST04-00016","","","","84","44","1","7","32","30","68","68","12","3.8","27.4","3","3","15.8","43.2","0.176470588","2.125","0.80952381","0.49375","0.188095238","0.85625","0.326190476","36.57407407","38.0952381","5.291005291","13.88888889","6.9664903","18.28703704","12.08112875","31.71296296","19.04761905","50","1","136","0.055882353","0.116176471","4.25","1.619047619","50"
"","","MZP2019UMB-ST04","","","","","","","","","MZP2019UMB-ST04-00017","","","","84","52","1","7","29","23","38","114","6.6","2","39.2","3","3","8.6","47.8","0.173684211","1.310344828","0.452380952","0.296551724","0.102380952","1.351724138","0.466666667","17.9916318","34.52380952","2.91005291","8.429118774","3.791887125","10.98339719","17.28395062","50.06385696","21.07583774","61.04725415","1","152","0.01754386","0.056578947","5.24137931","1.80952381","25"
"","","MZP2019UMB-ST04","","","","","","","","","MZP2019UMB-ST04-00018","","","","84","59","1","7","41","39","120","224","15.2","8.4","34","3","5","23.6","57.6","0.126666667","2.926829268","1.428571429","0.575609756","0.280952381","0.829268293","0.404761905","40.97222222","48.80952381","6.701940035","13.73080397","10.40564374","21.31887986","14.99118166","30.71364047","25.3968254","52.03252033","1","344","0.0375","0.068604651","8.390243902","4.095238095","34.88372093"
"","","MZP2019UMB-ST04","","","","","","","","","MZP2019UMB-ST04-00019","","","","84","55","1","7","36","11","8","18","1.4","0.8","56.2","1","7","2.2","58.4","0.175","0.222222222","0.095238095","0.061111111","0.026190476","1.561111111","0.669047619","3.767123288","42.85714286","0.617283951","1.440329218","0.970017637","2.263374486","24.77954145","57.81893004","25.74955908","60.08230453","1","26","0.044444444","0.084615385","0.722222222","0.30952381","30.76923077"
"","","MZP2019UMB-ST04","","","","","","","","","MZP2019UMB-ST04-00020","","","","84","54","1","9","36","35","60","85","4","4","61.4","1","5","8","69.4","0.066666667","1.666666667","0.714285714","0.222222222","0.095238095","1.705555556","0.730952381","11.52737752","42.85714286","1.76366843","4.115226337","3.527336861","8.230452675","27.07231041","63.16872428","30.59964727","71.39917695","1","145","0.047058824","0.055172414","4.027777778","1.726190476","41.37931034"
"","","MZP2019UMB-ST04","","","","","","","","","MZP2019UMB-ST04-00021","","","","84","64","1","9","40","38","45","97","6.4","4.8","40.6","5","5","11.2","51.8","0.142222222","1.125","0.535714286","0.28","0.133333333","1.015","0.483333333","21.62162162","47.61904762","2.821869489","5.925925926","4.938271605","10.37037037","17.90123457","37.59259259","22.83950617","47.96296296","1","142","0.049484536","0.078873239","3.55","1.69047619","31.69014085"
"","","MZP2019UMB-ST04","","","","","","","","","MZP2019UMB-ST04-00022","","","","84","65","1","7","23","17","108","86","10.4","5.2","70.2","3","3","15.6","85.8","0.096296296","4.695652174","1.285714286","0.67826087","0.185714286","3.052173913","0.835714286","18.18181818","27.38095238","4.585537919","16.74718196","6.878306878","25.12077295","30.95238095","113.0434783","37.83068783","138.1642512","1","194","0.060465116","0.080412371","8.434782609","2.30952381","55.67010309"
"","","MZP2019UMB-ST04","","","","","","","","","MZP2019UMB-ST04-00023","","","","84","56","1","7","24","17","30","26","8","1.6","38.8","3","3","9.6","48.4","0.266666667","1.25","0.357142857","0.4","0.114285714","1.616666667","0.461904762","19.83471074","28.57142857","3.527336861","12.34567901","4.232804233","14.81481481","17.10758377","59.87654321","21.34038801","74.69135802","1","56","0.061538462","0.171428571","2.333333333","0.666666667","53.57142857"
"","","MZP2019UMB-ST04","","","","","","","","","MZP2019UMB-ST04-00024","","","","84","71","1","9","41","38","80","100","7.2","2.4","50.4","5","3","9.6","60","0.09","1.951219512","0.952380952","0.234146341","0.114285714","1.229268293","0.6","16","48.80952381","3.174603175","6.504065041","4.232804233","8.672086721","22.22222222","45.52845528","26.45502646","54.20054201","1","180","0.024","0.053333333","4.390243902","2.142857143","44.44444444"
"","","MZP2019UMB-ST04","","","","","","","","","MZP2019UMB-ST04-00025","","","","84","51","1","9","37","34","70","136","5.4","4.6","52","3","3","10","62","0.077142857","1.891891892","0.833333333","0.27027027","0.119047619","1.405405405","0.619047619","16.12903226","44.04761905","2.380952381","5.405405405","4.409171076","10.01001001","22.92768959","52.05205205","27.33686067","62.06206206","1","206","0.033823529","0.048543689","5.567567568","2.452380952","33.98058252"
"","","MZP2019UMB-ST04","","","","","","","","","MZP2019UMB-ST04-00026","","","","84","71","1","9","40","27","200","313","18","11.6","62.6","3","3","29.6","92.2","0.09","5","2.380952381","0.74","0.352380952","1.565","0.745238095","32.10412148","47.61904762","7.936507937","16.66666667","13.05114638","27.40740741","27.60141093","57.96296296","40.65255732","85.37037037","1","513","0.037060703","0.057699805","12.825","6.107142857","38.98635478"
"","","MZP2019UMB-ST04","","","","","","","","","MZP2019UMB-ST04-00027","","","","84","48","1","9","38","23","36","90","2.4","2.4","61.6","3","7","4.8","66.4","0.066666667","0.947368421","0.428571429","0.126315789","0.057142857","1.621052632","0.733333333","7.228915663","45.23809524","1.058201058","2.339181287","2.116402116","4.678362573","27.16049383","60.03898635","29.27689594","64.71734893","1","126","0.026666667","0.038095238","3.315789474","1.5","28.57142857"
"","","MZP2019UMB-ST04","","","","","","","","","MZP2019UMB-ST04-00028","","","","84","65","1","9","47","11","13","15","1.6","0.4","102.2","3","5","2","104.2","0.123076923","0.276595745","0.154761905","0.042553191","0.023809524","2.174468085","1.216666667","1.919385797","55.95238095","0.705467372","1.260835303","0.881834215","1.576044129","45.0617284","80.535855","45.94356261","82.11189913","1","28","0.026666667","0.071428571","0.595744681","0.333333333","46.42857143"
"","","MZP2019UMB-ST04","","","","","","","","","MZP2019UMB-ST04-00029","","","","84","65","1","9","48","45","140","320","19","13.8","45.2","3","5","32.8","78","0.135714286","2.916666667","1.666666667","0.683333333","0.39047619","0.941666667","0.538095238","42.05128205","57.14285714","8.377425044","14.66049383","14.46208113","25.30864198","19.92945326","34.87654321","34.39153439","60.18518519","1","460","0.043125","0.071304348","9.583333333","5.476190476","30.43478261"
"","","MZP2019UMB-ST04","","","","","","","","","MZP2019UMB-ST04-00030","","","","84","37","1","9","37","36","40","320","4.2","6.8","45.6","3","3","11","56.6","0.105","1.081081081","0.476190476","0.297297297","0.130952381","1.232432432","0.542857143","19.43462898","44.04761905","1.851851852","4.204204204","4.850088183","11.01101101","20.10582011","45.64564565","24.95590829","56.65665666","1","360","0.02125","0.030555556","9.72972973","4.285714286","11.11111111"
"","","MZP2019UMB-ST04","","","","","","","","","MZP2019UMB-ST04-00031","","","","84","61","1","7","38","38","200","125","30.8","5.2","54","3","3","36","90","0.154","5.263157895","2.380952381","0.947368421","0.428571429","1.421052632","0.642857143","40","45.23809524","13.58024691","30.01949318","15.87301587","35.0877193","23.80952381","52.63157895","39.68253968","87.71929825","1","325","0.0416","0.110769231","8.552631579","3.869047619","61.53846154"
"","","MZP2019UMB-ST04","","","","","","","","","MZP2019UMB-ST04-00032","","","","84","61","1","7","39","23","30","65","2.2","2","75","1","7","4.2","79.2","0.073333333","0.769230769","0.357142857","0.107692308","0.05","1.923076923","0.892857143","5.303030303","46.42857143","0.970017637","2.089268756","1.851851852","3.988603989","33.06878307","71.22507123","34.92063492","75.21367521","1","95","0.030769231","0.044210526","2.435897436","1.130952381","31.57894737"
"","","MZP2019UMB-ST04","","","","","","","","","MZP2019UMB-ST04-00033","","","","84","64","1","9","48","46","200","567","16.6","14.2","41.4","1","5","30.8","72.2","0.083","4.166666667","2.380952381","0.641666667","0.366666667","0.8625","0.492857143","42.65927978","57.14285714","7.319223986","12.80864198","13.58024691","23.7654321","18.25396825","31.94444444","31.83421517","55.70987654","1","767","0.025044092","0.040156454","15.97916667","9.130952381","26.0756193"
"","","MZP2019UMB-ST04","","","","","","","","","MZP2019UMB-ST04-00034","","","","84","74","1","9","52","47","90","98","11.4","3","32.8","5","5","14.4","47.2","0.126666667","1.730769231","1.071428571","0.276923077","0.171428571","0.630769231","0.39047619","30.50847458","61.9047619","5.026455026","8.11965812","6.349206349","10.25641026","14.46208113","23.36182336","20.81128748","33.61823362","1","188","0.030612245","0.076595745","3.615384615","2.238095238","47.87234043"
"","","MZP2019UMB-ST04","","","","","","","","","MZP2019UMB-ST04-00035","","","","84","65","1","9","47","35","39","110","5.2","4.2","47.6","5","5","9.4","57","0.133333333","0.829787234","0.464285714","0.2","0.111904762","1.012765957","0.566666667","16.49122807","55.95238095","2.292768959","4.097714736","4.144620811","7.407407407","20.98765432","37.50985028","25.13227513","44.91725768","1","149","0.038181818","0.063087248","3.170212766","1.773809524","26.17449664"
"","","MZP2019UMB-ST04","","","","","","","","","MZP2019UMB-ST04-00036","","","","84","57","1","7","28","28","76","295","7.4","7.8","24","3","3","15.2","39.2","0.097368421","2.714285714","0.904761905","0.542857143","0.180952381","0.857142857","0.285714286","38.7755102","33.33333333","3.262786596","9.788359788","6.701940035","20.10582011","10.58201058","31.74603175","17.28395062","51.85185185","1","371","0.026440678","0.04097035","13.25","4.416666667","20.4851752"
"","","MZP2019UMB-ST04","","","","","","","","","MZP2019UMB-ST04-00037","","","","84","78","1","9","54","44","137","133","17","7.8","33.6","3","5","24.8","58.4","0.124087591","2.537037037","1.630952381","0.459259259","0.295238095","0.622222222","0.4","42.46575342","64.28571429","7.495590829","11.65980796","10.93474427","17.00960219","14.81481481","23.04526749","25.74955908","40.05486968","1","270","0.058646617","0.091851852","5","3.214285714","50.74074074"
"","","MZP2019UMB-ST04","","","","","","","","","MZP2019UMB-ST04-00038","","","","84","61","1","9","37","36","106","316","33.6","12.4","56.6","3","3","46","102.6","0.316981132","2.864864865","1.261904762","1.243243243","0.547619048","1.52972973","0.673809524","44.83430799","44.04761905","14.81481481","33.63363363","20.28218695","46.04604605","24.95590829","56.65665666","45.23809524","102.7027027","1","422","0.039240506","0.109004739","11.40540541","5.023809524","25.11848341"
"","","MZP2019UMB-ST04","","","","","","","","","MZP2019UMB-ST04-00039","","","","84","71","1","7","53","25","22","46","2.2","1.4","21","3","5","3.6","24.6","0.1","0.41509434","0.261904762","0.067924528","0.042857143","0.396226415","0.25","14.63414634","63.0952381","0.970017637","1.537386443","1.587301587","2.51572327","9.259259259","14.67505241","10.84656085","17.19077568","1","68","0.030434783","0.052941176","1.283018868","0.80952381","32.35294118"
"","","MZP2019UMB-ST04","","","","","","","","","MZP2019UMB-ST04-00040","","","","84","64","1","9","40","26","24","57","3.2","1.8","85.2","1","5","5","90.2","0.133333333","0.6","0.285714286","0.125","0.05952381","2.13","1.014285714","5.543237251","47.61904762","1.410934744","2.962962963","2.204585538","4.62962963","37.56613757","78.88888889","39.7707231","83.51851852","1","81","0.031578947","0.061728395","2.025","0.964285714","29.62962963"
"","","MZP2019UMB-ST04","","","","","","","","","MZP2019UMB-ST04-00041","","","","84","56","1","7","53","45","157","300","28.4","9.8","88.6","3","3","38.2","126.8","0.18089172","2.962264151","1.869047619","0.720754717","0.454761905","1.671698113","1.054761905","30.12618297","63.0952381","12.52204586","19.84626136","16.84303351","26.69461915","39.06525573","61.91474493","55.90828924","88.60936408","1","457","0.032666667","0.083588621","8.622641509","5.44047619","34.35448578"
"","","MZP2019UMB-ST04","","","","","","","","","MZP2019UMB-ST04-00042","","","","84","53","1","7","38","5","7","11","1.4","0.4","59.4","1","7","1.8","61.2","0.2","0.184210526","0.083333333","0.047368421","0.021428571","1.563157895","0.707142857","2.941176471","45.23809524","0.617283951","1.364522417","0.793650794","1.754385965","26.19047619","57.89473684","26.98412698","59.64912281","1","18","0.036363636","0.1","0.473684211","0.214285714","38.88888889"
"","","MZP2019UMB-ST04","","","","","","","","","MZP2019UMB-ST04-00043","","","","84","80","1","9","54","37","66","102","10.8","10.8","41.6","3","3","21.6","63.2","0.163636364","1.222222222","0.785714286","0.4","0.257142857","0.77037037","0.495238095","34.17721519","64.28571429","4.761904762","7.407407407","9.523809524","14.81481481","18.34215168","28.53223594","27.8659612","43.34705075","1","168","0.105882353","0.128571429","3.111111111","2","39.28571429"
"","","MZP2019UMB-ST04","","","","","","","","","MZP2019UMB-ST04-00044","","","","84","69","1","9","50","49","34","120","5","5.2","52.8","1","5","10.2","63","0.147058824","0.68","0.404761905","0.204","0.121428571","1.056","0.628571429","16.19047619","59.52380952","2.204585538","3.703703704","4.497354497","7.555555556","23.28042328","39.11111111","27.77777778","46.66666667","1","154","0.043333333","0.066233766","3.08","1.833333333","22.07792208"
"","","MZP2019UMB-ST04","","","","","","","","","MZP2019UMB-ST04-00045","","","","84","60","1","7","39","9","8","8","0.4","0.2","41.2","1","7","0.6","41.8","0.05","0.205128205","0.095238095","0.015384615","0.007142857","1.056410256","0.49047619","1.435406699","46.42857143","0.176366843","0.379867047","0.264550265","0.56980057","18.16578483","39.12630579","18.4303351","39.69610636","1","16","0.025","0.0375","0.41025641","0.19047619","50"
"","","MZP2019UMB-ST04","","","","","","","","","MZP2019UMB-ST04-00046","","","","84","41","1","5","24","20","24","42","2.8","1.2","28.2","1","7","4","32.2","0.116666667","1","0.285714286","0.166666667","0.047619048","1.175","0.335714286","12.42236025","28.57142857","1.234567901","4.320987654","1.76366843","6.172839506","12.43386243","43.51851852","14.19753086","49.69135802","1","66","0.028571429","0.060606061","2.75","0.785714286","36.36363636"
"","","MZP2019UMB-ST04","","","","","","","","","MZP2019UMB-ST04-00047","","","","84","60","1","9","43","32","70","60","30.2","4.6","45.8","1","3","34.8","80.6","0.431428571","1.627906977","0.833333333","0.809302326","0.414285714","1.065116279","0.545238095","43.17617866","51.19047619","13.31569665","26.01205857","15.34391534","29.97416021","20.19400353","39.44875108","35.53791887","69.42291128","1","130","0.076666667","0.267692308","3.023255814","1.547619048","53.84615385"
"","","MZP2019UMB-ST04","","","","","","","","","MZP2019UMB-ST04-00048","","","","84","61","1","9","24","17","21","31","2","1","20.2","1","7","3","23.2","0.095238095","0.875","0.25","0.125","0.035714286","0.841666667","0.24047619","12.93103448","28.57142857","0.881834215","3.086419753","1.322751323","4.62962963","8.906525573","31.17283951","10.2292769","35.80246914","1","52","0.032258065","0.057692308","2.166666667","0.619047619","40.38461538"
