"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Weight of vines per NET plot in kg|CO_331:0000227","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Total storage root weight per NET plot in kg|CO_331:0000237","Total storage roots yield computation tons per ha|CO_331:0000296","Commercial storage root yield tons per ha|CO_331:0000809","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in kg per plot|CO_331:0000683","Harvest index computing percent|CO_331:0000302","Storage root dry matter content computing percent|CO_331:0000297","Survival index computing percent|CO_331:0000301","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Percentage of commercial storage root|CO_331:0000682","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2009CKE-MT01","","","","","","","","","MZP2009CKE-MT01-00011","","","","23","23","1","1","9","5","21","16","25","5.1","24","1.1","4","3","4","4.92","3","6.2","9.98389694","8.212560386","8.051529791","11.2","55.35714286","32","91.30434783","49","0.204","0.045833333","0.126530612","2.333333333","2.130434783","1.19047619","1.086956522","0.295238095","0.269565217","51.02040816","1.984","8.994708995","10.93474427","3.194847021","3.499118166","18.03542673","0.238095238","0.217391304","8.818342152","19.75308642"
"","","MZP2009CKE-MT01","","","","","","","","","MZP2009CKE-MT01-00012","","","","23","23","1","1","7","15","11","7","6","3.1","3","1","2","2","5","12.39","4","4.1","6.602254428","4.99194847","24.15458937","19.1","21.46596859","24","47.82608696","9","0.516666667","0.333333333","0.455555556","0.818181818","0.391304348","0.545454545","0.260869565","0.372727273","0.17826087","66.66666667","0.984","10.43771044","13.8047138","1.584541063","3.313131313","30.7568438","1.363636364","0.652173913","50.50505051","64.30976431"
"","","MZP2009CKE-MT01","","","","","","","","","MZP2009CKE-MT01-00013","","","","23","23","1","3","8","10.2","21","14","77","7.2","28","1","3","4","4","4.61","4","8.2","13.20450886","11.5942029","16.42512077","18.4","44.56521739","18","91.30434783","105","0.093506494","0.035714286","0.078095238","5","4.565217391","3.666666667","3.347826087","0.39047619","0.356521739","73.33333333","1.476","12.6984127","14.46208113","2.376811594","2.603174603","29.62962963","0.485714286","0.443478261","17.98941799","32.45149912"
"","","MZP2009CKE-MT01","","","","","","","","","MZP2009CKE-MT01-00014","","","","23","23","1","1","8","10.4","10","10","17","2.3","6","0.4","2","3","4","0.69","4","2.7","4.347826087","3.703703704","16.74718196","13.1","20.61068702","30","43.47826087","23","0.135294118","0.066666667","0.117391304","2.3","1","1.7","0.739130435","0.27","0.117391304","73.91304348","0.81","8.518518519","10","1.304347826","3","21.09500805","1.04","0.452173913","38.51851852","48.51851852"
"","","MZP2009CKE-MT01","","","","","","","","","MZP2009CKE-MT01-00015","","","","23","15","1","1","6","3.5","8","4","6","0.9","11","0.3","4","4","4","0.12","2","1.2","1.93236715","1.449275362","5.636070853","4.7","25.53191489","30","34.7826087","17","0.15","0.027272727","0.070588235","2.125","0.739130435","0.75","0.260869565","0.15","0.052173913","35.29411765","0.36","4.166666667","5.555555556","0.579710145","1.666666667","7.568438003","0.4375","0.152173913","16.2037037","21.75925926"
"","","MZP2009CKE-MT01","","","","","","","","","MZP2009CKE-MT01-00016","","","","23","23","1","1","8","18","22","16","41","2.2","23","0.4","3","3","5","4.61","4","2.6","4.186795491","3.542673108","28.98550725","20.6","12.62135922","26","95.65217391","64","0.053658537","0.017391304","0.040625","2.909090909","2.782608696","1.863636364","1.782608696","0.118181818","0.113043478","64.0625","0.676","3.703703704","4.377104377","1.088566828","1.138047138","33.17230274","0.818181818","0.782608696","30.3030303","34.68013468"
"","","MZP2009CKE-MT01","","","","","","","","","MZP2009CKE-MT01-00017","","","","23","23","1","3","8","18","16","12","7","1.3","10","0.4","3","3","5","12.39","4","1.7","2.737520129","2.093397746","28.98550725","19.7","8.629441624","20","69.56521739","17","0.185714286","0.04","0.1","1.0625","0.739130435","0.4375","0.304347826","0.10625","0.073913043","41.17647059","0.34","3.009259259","3.935185185","0.547504026","0.787037037","31.72302738","1.125","0.782608696","41.66666667","45.60185185"
"","","MZP2009CKE-MT01","","","","","","","","","MZP2009CKE-MT01-00018","","","","23","23","7","1","8","15","8","7","8","2.3","9","0.7","4","4","3","1.38","4","3","4.830917874","3.703703704","24.15458937","18","16.66666667","29","34.7826087","17","0.2875","0.077777778","0.176470588","2.125","0.739130435","1","0.347826087","0.375","0.130434783","47.05882353","0.87","10.64814815","13.88888889","1.400966184","4.027777778","28.98550725","1.875","0.652173913","69.44444444","83.33333333"
"","","MZP2009CKE-MT01","","","","","","","","","MZP2009CKE-MT01-00019","","","","23","23","3","1","9","26","15","12","25","3.1","40","3","4","4","4","4.61","4","6.1","9.822866345","4.99194847","41.86795491","32.1","19.00311526","30","65.2173913","65","0.124","0.075","0.093846154","4.333333333","2.826086957","1.666666667","1.086956522","0.406666667","0.265217391","38.46153846","1.83","7.654320988","15.0617284","2.946859903","4.518518519","51.69082126","1.733333333","1.130434783","64.19753086","79.25925926"
"","","MZP2009CKE-MT01","","","","","","","","","MZP2009CKE-MT01-00020","","","","23","23","1","1","8","10.2","23","14","88","9.1","48","1","3","3","5","7.23","3","10.1","16.26409018","14.65378422","16.42512077","20.3","49.75369458","28","100","136","0.103409091","0.020833333","0.074264706","5.913043478","5.913043478","3.826086957","3.826086957","0.439130435","0.439130435","64.70588235","2.828","14.65378422","16.26409018","4.55394525","4.55394525","32.68921095","0.443478261","0.443478261","16.42512077","32.68921095"
"","","MZP2009CKE-MT01","","","","","","","","","MZP2009CKE-MT01-00021","","","","23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","MZP2009CKE-MT01","","","","","","","","","MZP2009CKE-MT01-00022","","","","23","23","1","1","5","6.6","14","8","13","1.1","16","1","3","3","4","1.74","4","2.1","3.381642512","1.771336554","10.62801932","8.7","24.13793103","26","60.86956522","29","0.084615385","0.0625","0.072413793","2.071428571","1.260869565","0.928571429","0.565217391","0.15","0.091304348","44.82758621","0.546","2.91005291","5.555555556","0.879227053","1.444444444","14.00966184","0.471428571","0.286956522","17.46031746","23.01587302"
"","","MZP2009CKE-MT01","","","","","","","","","MZP2009CKE-MT01-00023","","","","23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","MZP2009CKE-MT01","","","","","","","","","MZP2009CKE-MT01-00024","","","","23","23","1","1","7","5","12","8","10","1.3","60","0.3","3","3","3","11.03","5","1.6","2.576489533","2.093397746","8.051529791","6.6","24.24242424","26","52.17391304","70","0.13","0.005","0.022857143","5.833333333","3.043478261","0.833333333","0.434782609","0.133333333","0.069565217","14.28571429","0.416","4.012345679","4.938271605","0.669887279","1.283950617","10.62801932","0.416666667","0.217391304","15.43209877","20.37037037"
"","","MZP2009CKE-MT01","","","","","","","","","MZP2009CKE-MT01-00025","","","","23","23","6","1","8","3.5","6","2","3","0.2","5","0.1","4","4","4","4.61","4","0.3","0.483091787","0.322061192","5.636070853","3.8","7.894736842","21","26.08695652","8","0.066666667","0.02","0.0375","1.333333333","0.347826087","0.5","0.130434783","0.05","0.013043478","37.5","0.063","1.234567901","1.851851852","0.101449275","0.388888889","6.119162641","0.583333333","0.152173913","21.60493827","23.45679012"
"","","MZP2009CKE-MT01","","","","","","","","","MZP2009CKE-MT01-00026","","","","23","23","1","1","8","10","15","6","11","2.5","6","0.2","3","4","5","4.61","4","2.7","4.347826087","4.025764895","16.10305958","12.7","21.25984252","20","65.2173913","17","0.227272727","0.033333333","0.158823529","1.133333333","0.739130435","0.733333333","0.47826087","0.18","0.117391304","64.70588235","0.54","6.172839506","6.666666667","0.869565217","1.333333333","20.45088567","0.666666667","0.434782609","24.69135802","31.35802469"
"","","MZP2009CKE-MT01","","","","","","","","","MZP2009CKE-MT01-00027","","","","23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","MZP2009CKE-MT01","","","","","","","","","MZP2009CKE-MT01-00028","","","","23","23","1","1","8","2","10","9","16","3.2","8","0.4","3","3","4","4.61","4","3.6","5.797101449","5.152979066","3.220611916","5.6","64.28571429","18","43.47826087","24","0.2","0.05","0.15","2.4","1.043478261","1.6","0.695652174","0.36","0.156521739","66.66666667","0.648","11.85185185","13.33333333","1.043478261","2.4","9.017713366","0.2","0.086956522","7.407407407","20.74074074"
"","","MZP2009CKE-MT01","","","","","","","","","MZP2009CKE-MT01-00029","","","","23","23","1","1","4","3","13","5","13","1","15","0.3","4","4","4","12.39","3","1.3","2.093397746","1.610305958","4.830917874","4.3","30.23255814","24","56.52173913","28","0.076923077","0.02","0.046428571","2.153846154","1.217391304","1","0.565217391","0.1","0.056521739","46.42857143","0.312","2.849002849","3.703703704","0.502415459","0.888888889","6.92431562","0.230769231","0.130434783","8.547008547","12.25071225"
"","","MZP2009CKE-MT01","","","","","","","","","MZP2009CKE-MT01-00030","","","","23","23","1","1","7","6.2","18","9","29","0.4","12","0.2","2","3","5","12.39","3","0.6","0.966183575","0.644122383","9.98389694","6.8","8.823529412","28","78.26086957","41","0.013793103","0.016666667","0.014634146","2.277777778","1.782608696","1.611111111","1.260869565","0.033333333","0.026086957","70.73170732","0.168","0.823045267","1.234567901","0.270531401","0.345679012","10.95008052","0.344444444","0.269565217","12.75720165","13.99176955"
"","","MZP2009CKE-MT01","","","","","","","","","MZP2009CKE-MT01-00031","","","","23","23","1","3","7","6","22","13","26","6.3","11","1","3","3","4","4.61","4","7.3","11.75523349","10.14492754","9.661835749","13.3","54.88721805","28","95.65217391","37","0.242307692","0.090909091","0.197297297","1.681818182","1.608695652","1.181818182","1.130434783","0.331818182","0.317391304","70.27027027","2.044","10.60606061","12.28956229","3.291465378","3.441077441","21.41706924","0.272727273","0.260869565","10.1010101","22.39057239"
"","","MZP2009CKE-MT01","","","","","","","","","MZP2009CKE-MT01-00032","","","","23","23","1","3","6","2.6","17","8","14","0.1","2","0.3","3","3","2","12.39","4","0.4","0.644122383","0.161030596","4.186795491","3","13.33333333","22","73.91304348","16","0.007142857","0.15","0.025","0.941176471","0.695652174","0.823529412","0.608695652","0.023529412","0.017391304","87.5","0.088","0.217864924","0.871459695","0.141706924","0.191721133","4.830917874","0.152941176","0.113043478","5.664488017","6.535947712"
"","","MZP2009CKE-MT01","","","","","","","","","MZP2009CKE-MT01-00033","","","","23","23","1","6","5","5.4","22","1","10","0.3","60","0.2","3","3","2","5.49","3","0.5","0.805152979","0.483091787","8.695652174","5.9","8.474576271","26","95.65217391","70","0.03","0.003333333","0.007142857","3.181818182","3.043478261","0.454545455","0.434782609","0.022727273","0.02173913","14.28571429","0.13","0.505050505","0.841750842","0.209339775","0.218855219","9.500805153","0.245454545","0.234782609","9.090909091","9.932659933"
"","","MZP2009CKE-MT01","","","","","","","","","MZP2009CKE-MT01-00034","","","","23","23","1","4","6","10","16","5","14","5.2","18","0.3","2","3","4","10.5","3","5.5","8.85668277","8.373590982","16.10305958","15.5","35.48387097","24","69.56521739","32","0.371428571","0.016666667","0.171875","2","1.391304348","0.875","0.608695652","0.34375","0.239130435","43.75","1.32","12.03703704","12.73148148","2.125603865","3.055555556","24.95974235","0.625","0.434782609","23.14814815","35.87962963"
"","","MZP2009CKE-MT01","","","","","","","","","MZP2009CKE-MT01-00035","","","","23","23","2","1","6","7","19","6","24","2.2","26","1.2","4","4","4","7.23","4","3.4","5.475040258","3.542673108","11.27214171","10.4","32.69230769","24","82.60869565","50","0.091666667","0.046153846","0.068","2.631578947","2.173913043","1.263157895","1.043478261","0.178947368","0.147826087","48","0.816","4.288499025","6.627680312","1.314009662","1.590643275","16.74718196","0.368421053","0.304347826","13.64522417","20.27290448"
"","","MZP2009CKE-MT01","","","","","","","","","MZP2009CKE-MT01-00036","","","","23","23","1","1","4","7","18","8","5","2.3","7","0.4","2","3","5","3.03","4","2.7","4.347826087","3.703703704","11.27214171","9.7","27.83505155","20","78.26086957","12","0.46","0.057142857","0.225","0.666666667","0.52173913","0.277777778","0.217391304","0.15","0.117391304","41.66666667","0.54","4.732510288","5.555555556","0.869565217","1.111111111","15.61996779","0.388888889","0.304347826","14.40329218","19.95884774"
"","","MZP2009CKE-MT01","","","","","","","","","MZP2009CKE-MT01-00037","","","","23","23","1","1","8","16","16","6","11","2","18","0.3","3","3","3","4.61","5","2.3","3.703703704","3.220611916","25.76489533","18.3","12.56830601","26","69.56521739","29","0.181818182","0.016666667","0.079310345","1.8125","1.260869565","0.6875","0.47826087","0.14375","0.1","37.93103448","0.598","4.62962963","5.324074074","0.962962963","1.384259259","29.46859903","1","0.695652174","37.03703704","42.36111111"
"","","MZP2009CKE-MT01","","","","","","","","","MZP2009CKE-MT01-00038","","","","23","23","1","3","7","12","19","19","46","8.3","24","0.3","3","3","4","4.61","4","8.6","13.84863124","13.36553945","19.3236715","20.6","41.74757282","20","82.60869565","70","0.180434783","0.0125","0.122857143","3.684210526","3.043478261","2.421052632","2","0.452631579","0.373913043","65.71428571","1.72","16.17933723","16.76413255","2.769726248","3.352826511","33.17230274","0.631578947","0.52173913","23.39181287","40.15594542"
"","","MZP2009CKE-MT01","","","","","","","","","MZP2009CKE-MT01-00039","","","","23","23","1","1","5","13.2","19","8","12","10","25","0.7","2","5","5","0.15","3","10.7","17.23027375","16.10305958","21.25603865","23.9","44.76987448","30","82.60869565","37","0.833333333","0.028","0.289189189","1.947368421","1.608695652","0.631578947","0.52173913","0.563157895","0.465217391","32.43243243","3.21","19.49317739","20.85769981","5.169082126","6.257309942","38.4863124","0.694736842","0.573913043","25.73099415","46.58869396"
"","","MZP2009CKE-MT01","","","","","","","","","MZP2009CKE-MT01-00040","","","","23","23","1","1","5","14","19","8","10","1","13","0.4","2","2","2","4.41","4","1.4","2.254428341","1.610305958","22.54428341","15.4","9.090909091","34","82.60869565","23","0.1","0.030769231","0.060869565","1.210526316","1","0.526315789","0.434782609","0.073684211","0.060869565","43.47826087","0.476","1.949317739","2.729044834","0.766505636","0.927875244","24.79871176","0.736842105","0.608695652","27.29044834","30.01949318"
"","","MZP2009CKE-MT01","","","","","","","","","MZP2009CKE-MT01-00041","","","","23","23","1","1","6","6","16","16","24","1.3","27","0.2","4","4","2","12.39","4","1.5","2.415458937","2.093397746","9.661835749","7.5","20","22","69.56521739","51","0.054166667","0.007407407","0.029411765","3.1875","2.217391304","1.5","1.043478261","0.09375","0.065217391","47.05882353","0.33","3.009259259","3.472222222","0.531400966","0.763888889","12.07729469","0.375","0.260869565","13.88888889","17.36111111"
"","","MZP2009CKE-MT01","","","","","","","","","MZP2009CKE-MT01-00042","","","","23","23","1","1","9","12","20","12","13","3.3","12","1","4","3","4","7.76","4","4.3","6.92431562","5.314009662","19.3236715","16.3","26.3803681","28","86.95652174","25","0.253846154","0.083333333","0.172","1.25","1.086956522","0.65","0.565217391","0.215","0.186956522","52","1.204","6.111111111","7.962962963","1.938808374","2.22962963","26.24798712","0.6","0.52173913","22.22222222","30.18518519"
"","","MZP2009CKE-MT01","","","","","","","","","MZP2009CKE-MT01-00043","","","","23","23","3","3","8","11","23","2","12","2.2","2","0.2","1","1","1","3.76","4","2.4","3.8647343","3.542673108","17.71336554","13.4","17.91044776","24","100","14","0.183333333","0.1","0.171428571","0.608695652","0.608695652","0.52173913","0.52173913","0.104347826","0.104347826","85.71428571","0.576","3.542673108","3.8647343","0.927536232","0.927536232","21.57809984","0.47826087","0.47826087","17.71336554","21.57809984"
"","","MZP2009CKE-MT01","","","","","","","","","MZP2009CKE-MT01-00044","","","","23","23","1","4","7","11","19","15","5","0.4","6","2.3","2","4","3","11.03","4","2.7","4.347826087","0.644122383","17.71336554","13.7","19.7080292","28","82.60869565","11","0.08","0.383333333","0.245454545","0.578947368","0.47826087","0.263157895","0.217391304","0.142105263","0.117391304","45.45454545","0.756","0.779727096","5.263157895","1.217391304","1.473684211","22.06119163","0.578947368","0.47826087","21.44249513","26.70565302"
"","","MZP2009CKE-MT01","","","","","","","","","MZP2009CKE-MT01-00045","","","","23","23","1","1","8","22","20","20","40","9.4","51","4.4","5","5","4","4.61","4","13.8","22.22222222","15.13687601","35.42673108","35.8","38.54748603","18","86.95652174","91","0.235","0.08627451","0.151648352","4.55","3.956521739","2","1.739130435","0.69","0.6","43.95604396","2.484","17.40740741","25.55555556","4","4.6","57.6489533","1.1","0.956521739","40.74074074","66.2962963"
"","","MZP2009CKE-MT01","","","","","","","","","MZP2009CKE-MT01-00046","","","","23","23","3","1","8","4.2","20","16","44","0.4","26","0.3","4","4","4","4.61","4","0.7","1.127214171","0.644122383","6.763285024","4.9","14.28571429","28.5","86.95652174","70","0.009090909","0.011538462","0.01","3.5","3.043478261","2.2","1.913043478","0.035","0.030434783","62.85714286","0.1995","0.740740741","1.296296296","0.321256039","0.369444444","7.890499195","0.21","0.182608696","7.777777778","9.074074074"
"","","MZP2009CKE-MT01","","","","","","","","","MZP2009CKE-MT01-00047","","","","23","23","1","4","8","16.8","17","2","5","0.1","8","","3","4","4","4.61","3","","","0.161030596","27.0531401","","","28.57","73.91304348","13","0.02","","","0.764705882","0.565217391","0.294117647","0.217391304","","","38.46153846","","0.217864924","","","","","0.988235294","0.730434783","36.60130719",""
"","","MZP2009CKE-MT01","","","","","","","","","MZP2009CKE-MT01-00048","","","","23","23","1","1","7","1.8","11","4","12","0.4","2","0.3","3","2","2","12.39","3","0.7","1.127214171","0.644122383","2.898550725","2.5","28","21.88","47.82608696","14","0.033333333","0.15","0.05","1.272727273","0.608695652","1.090909091","0.52173913","0.063636364","0.030434783","85.71428571","0.15316","1.346801347","2.356902357","0.246634461","0.515690236","4.025764895","0.163636364","0.07826087","6.060606061","8.417508418"
"","","MZP2009CKE-MT01","","","","","","","","","MZP2009CKE-MT01-00049","","","","23","23","1","3","5","10","21","3","6","0.3","","","1","1","1","4.92","3","","","0.483091787","16.10305958","","","30","91.30434783","","0.05","","","","","0.285714286","0.260869565","","","","","0.529100529","","","","","0.476190476","0.434782609","17.6366843",""
"","","MZP2009CKE-MT01","","","","","","","","","MZP2009CKE-MT01-00050","","","","23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","MZP2009CKE-MT01","","","","","","","","","MZP2009CKE-MT01-00051","","","","23","23","1","1","8","1","14","4","10","0.4","11","0.2","3","3","4","4.61","4","0.6","0.966183575","0.644122383","1.610305958","1.6","37.5","29.55","60.86956522","21","0.04","0.018181818","0.028571429","1.5","0.913043478","0.714285714","0.434782609","0.042857143","0.026086957","47.61904762","0.1773","1.058201058","1.587301587","0.285507246","0.469047619","2.576489533","0.071428571","0.043478261","2.645502646","4.232804233"
"","","MZP2009CKE-MT01","","","","","","","","","MZP2009CKE-MT01-00052","","","","23","23","1","1","8","25","18","4","5","0.1","","0.1","2","2","5","1.38","3","0.2","0.322061192","0.161030596","40.25764895","25.2","0.793650794","39.02","78.26086957","","0.02","","","","","0.277777778","0.217391304","0.011111111","0.008695652","","0.07804","0.205761317","0.411522634","0.125668277","0.160576132","40.57971014","1.388888889","1.086956522","51.44032922","51.85185185"
