"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Weight of vines per NET plot in kg|CO_331:0000227","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Storage root dry matter content computing percent|CO_331:0000297","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Content of total sugars estimating 1-9|CO_331:0000766","Content of starch in raw storage roots estimating 1-9|CO_331:0001055","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2010UMB-AT04","","","","","","","","","MZP2010UMB-AT04-00026","","","","39","35","1","1","9","21","10","6","13","3","1.7","0.1","3","4","30.78","5","4","3","3","1.8","22.8","16","0.130769231","0.033333333","0.1125","1.6","0.41025641","1.3","0.333333333","0.18","0.046153846","2.1","0.538461538","81.25","7.894736842","25.64102564","0.55404","1.614434948","6.296296296","1.709401709","6.666666667","19.94301994","77.77777778","0.526153846","2.052","21.65242165","84.44444444"
"","","MZP2010UMB-AT04","","","","","","","","","MZP2010UMB-AT04-00027","","","","39","33","1","1","9","12.4","13","8","16","17","3.5","1.2","3","4","30.69","5","2","3","3","4.7","17.1","33","0.21875","0.070588235","0.142424242","2.538461538","0.846153846","1.230769231","0.41025641","0.361538462","0.120512821","0.953846154","0.317948718","48.48484848","27.48538012","33.33333333","1.44243","3.323836657","9.971509972","4.463437797","13.39031339","11.77587844","35.32763533","1.36982906","4.109487179","16.23931624","48.71794872"
"","","MZP2010UMB-AT04","","","","","","","","","MZP2010UMB-AT04-00028","","","","39","39","1","1","9","21","19","16","82","55","5","1.3","3","4","30.48","5","3","4","2","6.3","27.3","137","0.06097561","0.023636364","0.045985401","7.210526316","3.512820513","4.315789474","2.102564103","0.331578947","0.161538462","1.105263158","0.538461538","59.8540146","23.07692308","48.71794872","1.92024","4.748338082","9.746588694","5.982905983","12.28070175","19.94301994","40.93567251","1.823589744","3.743157895","25.92592593","53.21637427"
"","","MZP2010UMB-AT04","","","","","","","","","MZP2010UMB-AT04-00029","","","","39","37","1","1","8","11","13","10","13","17","2","1","3","4","30.91","5","4","3","2","3","14","30","0.153846154","0.058823529","0.1","2.307692308","0.769230769","1","0.333333333","0.230769231","0.076923077","0.846153846","0.282051282","43.33333333","21.42857143","33.33333333","0.9273","1.899335233","5.698005698","2.849002849","8.547008547","10.44634378","31.33903134","0.880626781","2.641880342","13.29534663","39.88603989"
"","","MZP2010UMB-AT04","","","","","","","","","MZP2010UMB-AT04-00030","","","","39","36","1","1","8","12.2","12","10","20","30","5","2.1","4","4","22.23","5","3","4","4","7.1","19.3","50","0.25","0.07","0.142","4.166666667","1.282051282","1.666666667","0.512820513","0.591666667","0.182051282","1.016666667","0.312820513","40","36.78756477","30.76923077","1.57833","4.748338082","15.43209877","6.742640076","21.91358025","11.58594492","37.65432099","1.498888889","4.871388889","18.328585","59.56790123"
"","","MZP2010UMB-AT04","","","","","","","","","MZP2010UMB-AT04-00031","","","","39","33","3","1","8","15","19","12","16","39","1.5","1.5","3","5","30.82","5","2","4","4","3","18","55","0.09375","0.038461538","0.054545455","2.894736842","1.41025641","0.842105263","0.41025641","0.157894737","0.076923077","0.789473684","0.384615385","29.09090909","16.66666667","48.71794872","0.9246","1.424501425","2.923976608","2.849002849","5.847953216","14.24501425","29.23976608","0.878062678","1.802339181","17.09401709","35.0877193"
"","","MZP2010UMB-AT04","","","","","","","","","MZP2010UMB-AT04-00032","","","","39","37","1","1","9","10.3","13","11","33","45","6.8","2.5","4","4","30.07","5","3","3","3","9.3","19.6","78","0.206060606","0.055555556","0.119230769","6","2","2.538461538","0.846153846","0.715384615","0.238461538","0.792307692","0.264102564","42.30769231","47.44897959","33.33333333","2.79651","6.457739791","19.37321937","8.831908832","26.4957265","9.781576448","29.34472934","2.655754986","7.967264957","18.61348528","55.84045584"
"","","MZP2010UMB-AT04","","","","","","","","","MZP2010UMB-AT04-00033","","","","39","36","2","1","9","21","21","18","99","105","12","4.5","4","4","30.59","5","4","3","3","16.5","37.5","204","0.121212121","0.042857143","0.080882353","9.714285714","5.230769231","4.714285714","2.538461538","0.785714286","0.423076923","1","0.538461538","48.52941176","44","53.84615385","5.04735","11.3960114","21.16402116","15.66951567","29.1005291","19.94301994","37.03703704","4.793304843","8.901851852","35.61253561","66.13756614"
"","","MZP2010UMB-AT04","","","","","","","","","MZP2010UMB-AT04-00034","","","","39","37","4","5","9","29","16","7","16","19","4","0.9","3","4","30.31","","","","","4.9","33.9","35","0.25","0.047368421","0.14","2.1875","0.897435897","1","0.41025641","0.30625","0.125641026","1.8125","0.743589744","45.71428571","14.45427729","41.02564103","1.48519","3.798670465","9.259259259","4.65337132","11.34259259","27.54036087","67.12962963","1.410436847","3.437939815","32.19373219","78.47222222"
"","","MZP2010UMB-AT04","","","","","","","","","MZP2010UMB-AT04-00035","","","","39","37","1","1","9","30","9","6","6","15","1","0.4","2","4","30.2","","","","","1.4","31.4","21","0.166666667","0.026666667","0.066666667","2.333333333","0.538461538","0.666666667","0.153846154","0.155555556","0.035897436","3.333333333","0.769230769","28.57142857","4.458598726","23.07692308","0.4228","0.949667616","4.115226337","1.329534663","5.761316872","28.49002849","123.4567901","0.401519468","1.739917695","29.81956315","129.218107"
