"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Storage root sweetness in cooked samples estimating 1-9|CO_331:0000261","Storage root texture in boiled samples estimating 1-9 by Gruneberg|CO_331:0000265","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2010GUR-PT01","","","","","","","","","MZP2010GUR-PT01-00031","","","","26","18","1","2","3","18","18","9","31","1","2.3","4","3","3","3","5","3","4","3","3.03","3.3","7.3","40","0.111111111","0.074193548","0.0825","2.222222222","1.538461538","0.5","0.346153846","0.183333333","0.126923077","0.222222222","0.153846154","22.5","45.20547945","69.23076923","1.424501425","2.057613169","4.700854701","6.790123457","5.698005698","8.230452675","10.3988604","15.02057613"
"","","MZP2010GUR-PT01","","","","","","","","","MZP2010GUR-PT01-00032","","","","26","17","1","1","4","17","17","12","39","","2.6","2.9","3","3","2","5","3","3","5","11.03","","","51","","0.066666667","","3","1.961538462","0.705882353","0.461538462","","","0.170588235","0.111538462","23.52941176","","65.38461538","","","","","4.131054131","6.318082789","",""
"","","MZP2010GUR-PT01","","","","","","","","","MZP2010GUR-PT01-00033","","","","26","9","1","3","3","9","9","","17","1","1.1","1.7","2","2","3","5","3","3","3","7.76","2.1","3.8","","","0.064705882","","","","","","0.233333333","0.080769231","0.188888889","0.065384615","","55.26315789","34.61538462","1.424501425","4.115226337","2.991452991","8.641975309","2.421652422","6.995884774","5.413105413","15.63786008"
"","","MZP2010GUR-PT01","","","","","","","","","MZP2010GUR-PT01-00034","","","","26","16","1","3","3","16","16","5","31","","3.8","2.9","3","3","2","5","3","4","5","5.49","","","36","","0.122580645","","2.25","1.384615385","0.3125","0.192307692","","","0.18125","0.111538462","13.88888889","","61.53846154","","","","","4.131054131","6.712962963","",""
"","","MZP2010GUR-PT01","","","","","","","","","MZP2010GUR-PT01-00035","","","","26","15","1","3","2","15","15","","29","1.3","3","1.7","3","3","3","5","3","3","3","12.39","4.3","6","","","0.103448276","","","","","","0.286666667","0.165384615","0.113333333","0.065384615","","71.66666667","57.69230769","1.851851852","3.209876543","6.125356125","10.61728395","2.421652422","4.197530864","8.547008547","14.81481481"
"","","MZP2010GUR-PT01","","","","","","","","","MZP2010GUR-PT01-00036","","","","26","11","1","2","4","11","11","7","18","","3","2.1","3","3","3","5","4","4","5","1.74","","","25","","0.166666667","","2.272727273","0.961538462","0.636363636","0.269230769","","","0.190909091","0.080769231","28","","42.30769231","","","","","2.991452991","7.070707071","",""
"","","MZP2010GUR-PT01","","","","","","","","","MZP2010GUR-PT01-00037","","","","26","1","1","3","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.846153846","","","","","","","",""
"","","MZP2010GUR-PT01","","","","","","","","","MZP2010GUR-PT01-00038","","","","26","7","1","2","3","7","3","","7","","1","1","2","2","2","5","3","3","3","3.03","","","","","0.142857143","","","","","","","","0.142857143","0.038461538","","","26.92307692","","","","","1.424501425","5.291005291","",""
"","","MZP2010GUR-PT01","","","","","","","","","MZP2010GUR-PT01-00039","","","","26","18","1","2","4","18","10","","20","1.1","2","2.5","2","2","3","5","4","3","3","6.12","3.1","5.6","","","0.1","","","","","","0.172222222","0.119230769","0.138888889","0.096153846","","55.35714286","69.23076923","1.566951567","2.263374486","4.415954416","6.378600823","3.561253561","5.144032922","7.977207977","11.52263374"
"","","MZP2010GUR-PT01","","","","","","","","","MZP2010GUR-PT01-00040","","","","26","20","1","1","4","20","12","7","20","1.1","0.5","3.7","3","3","3","5","3","3","1","7.23","1.6","5.3","27","0.157142857","0.025","0.059259259","1.35","1.038461538","0.35","0.269230769","0.08","0.061538462","0.185","0.142307692","25.92592593","30.18867925","76.92307692","1.566951567","2.037037037","2.279202279","2.962962963","5.270655271","6.851851852","7.54985755","9.814814815"
