"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Storage root size estimating 1-9|CO_331:0000184","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004","treatment_irrigation"
"","","MZP2017GUR-ST04","","","","","","","","","MZP2017GUR-ST04-00024","","","","90","80","75","67","90","18.5","13.5","130.2","5","3","32","162.2","157","0.276119403","0.15","0.203821656","1.9625","1.744444444","0.8375","0.744444444","0.4","0.355555556","1.6275","1.446666667","42.67515924","19.72872996","88.88888889","7.613168724","8.564814815","13.16872428","14.81481481","53.58024691","60.27777778","66.74897119","75.09259259","1"
"","","MZP2017GUR-ST04","","","","","","","","","MZP2017GUR-ST04-00066","","","","90","70","60","55","85","14.5","12.5","70.5","5","5","27","97.5","140","0.263636364","0.147058824","0.192857143","2","1.555555556","0.785714286","0.611111111","0.385714286","0.3","1.007142857","0.783333333","39.28571429","27.69230769","77.77777778","5.967078189","7.671957672","11.11111111","14.28571429","29.01234568","37.3015873","40.12345679","51.58730159","1"
"","","MZP2017GUR-ST04","","","","","","","","","MZP2017GUR-ST04-00007","","","","90","67","67","100","132","14","14.5","80.5","5","3","28.5","109","232","0.14","0.109848485","0.122844828","3.462686567","2.577777778","1.492537313","1.111111111","0.425373134","0.316666667","1.201492537","0.894444444","43.10344828","26.14678899","74.44444444","5.761316872","7.739082366","11.72839506","15.75456053","33.12757202","44.4997236","44.85596708","60.25428413","1"
"","","MZP2017GUR-ST04","","","","","","","","","MZP2017GUR-ST04-00044","","","","90","82","82","80","110","20.5","14.5","8.5","3","5","35","43.5","190","0.25625","0.131818182","0.184210526","2.317073171","2.111111111","0.975609756","0.888888889","0.426829268","0.388888889","0.103658537","0.094444444","42.10526316","80.45977011","91.11111111","8.436213992","9.259259259","14.40329218","15.80849142","3.497942387","3.839205059","17.90123457","19.64769648","1"
"","","MZP2017GUR-ST04","","","","","","","","","MZP2017GUR-ST04-00004","","","","90","64","62","110","190","21.1","16.5","70.5","9","5","37.6","108.1","300","0.191818182","0.086842105","0.125333333","4.6875","3.333333333","1.71875","1.222222222","0.5875","0.417777778","1.1015625","0.783333333","36.66666667","34.7826087","71.11111111","8.683127572","12.21064815","15.47325103","21.75925926","29.01234568","40.79861111","44.48559671","62.55787037","1"
"","","MZP2017GUR-ST04","","","","","","","","","MZP2017GUR-ST04-00063","","","","90","70","70","83","130","19.5","14.5","60.5","5","5","34","94.5","213","0.234939759","0.111538462","0.159624413","3.042857143","2.366666667","1.185714286","0.922222222","0.485714286","0.377777778","0.864285714","0.672222222","38.96713615","35.97883598","77.77777778","8.024691358","10.31746032","13.99176955","17.98941799","24.89711934","32.01058201","38.88888889","50","1"
"","","MZP2017GUR-ST04","","","","","","","","","MZP2017GUR-ST04-00002","","","","90","50","45","80","71","10.9","12.6","77","5","5","23.5","100.5","151","0.13625","0.177464789","0.155629139","3.02","1.677777778","1.6","0.888888889","0.47","0.261111111","1.54","0.855555556","52.98013245","23.38308458","55.55555556","4.485596708","8.074074074","9.670781893","17.40740741","31.6872428","57.03703704","41.35802469","74.44444444","1"
"","","MZP2017GUR-ST04","","","","","","","","","MZP2017GUR-ST04-00053","","","","90","80","80","50","70","14","12.5","80.1","5","5","26.5","106.6","120","0.28","0.178571429","0.220833333","1.5","1.333333333","0.625","0.555555556","0.33125","0.294444444","1.00125","0.89","41.66666667","24.85928705","88.88888889","5.761316872","6.481481481","10.90534979","12.26851852","32.96296296","37.08333333","43.86831276","49.35185185","1"
"","","MZP2017GUR-ST04","","","","","","","","","MZP2017GUR-ST04-00030","","","","90","85","85","110","175","31","19.5","108","5","3","50.5","158.5","285","0.281818182","0.111428571","0.177192982","3.352941176","3.166666667","1.294117647","1.222222222","0.594117647","0.561111111","1.270588235","1.2","38.59649123","31.86119874","94.44444444","12.75720165","13.50762527","20.781893","22.0043573","44.44444444","47.05882353","65.22633745","69.06318083","1"
"","","MZP2017GUR-ST04","","","","","","","","","MZP2017GUR-ST04-00062","","","","90","80","80","90","162","27.5","17.9","75","5","3","45.4","120.4","252","0.305555556","0.110493827","0.18015873","3.15","2.8","1.125","1","0.5675","0.504444444","0.9375","0.833333333","35.71428571","37.7076412","88.88888889","11.31687243","12.73148148","18.68312757","21.01851852","30.86419753","34.72222222","49.5473251","55.74074074","1"
"","","MZP2017GUR-ST04","","","","","","","","","MZP2017GUR-ST04-00005","","","","90","57","57","120","130","22.1","18.5","65.5","9","3","40.6","106.1","250","0.184166667","0.142307692","0.1624","4.385964912","2.777777778","2.105263158","1.333333333","0.712280702","0.451111111","1.149122807","0.727777778","48","38.26578699","63.33333333","9.094650206","14.35997401","16.70781893","26.38076673","26.95473251","42.56010396","43.66255144","68.9408707","1"
"","","MZP2017GUR-ST04","","","","","","","","","MZP2017GUR-ST04-00054","","","","90","57","57","65","95","19.7","14","65","5","3","33.7","98.7","160","0.303076923","0.147368421","0.210625","2.807017544","1.777777778","1.140350877","0.722222222","0.59122807","0.374444444","1.140350877","0.722222222","40.625","34.14387031","63.33333333","8.106995885","12.80051982","13.86831276","21.89733593","26.74897119","42.23521767","40.61728395","64.13255361","1"
"","","MZP2017GUR-ST04","","","","","","","","","MZP2017GUR-ST04-00009","","","","90","68","65","55","92","14","12","72.5","5","5","26","98.5","147","0.254545455","0.130434783","0.176870748","2.161764706","1.633333333","0.808823529","0.611111111","0.382352941","0.288888889","1.066176471","0.805555556","37.41496599","26.39593909","75.55555556","5.761316872","7.625272331","10.69958848","14.16122004","29.83539095","39.48801743","40.53497942","53.64923747","1"
"","","MZP2017GUR-ST04","","","","","","","","","MZP2017GUR-ST04-00065","","","","90","80","80","95","109","19.5","17.5","60.5","3","3","37","97.5","204","0.205263158","0.160550459","0.181372549","2.55","2.266666667","1.1875","1.055555556","0.4625","0.411111111","0.75625","0.672222222","46.56862745","37.94871795","88.88888889","8.024691358","9.027777778","15.22633745","17.12962963","24.89711934","28.00925926","40.12345679","45.13888889","1"
"","","MZP2017GUR-ST04","","","","","","","","","MZP2017GUR-ST04-00033","","","","90","30","30","32","48","12.5","10.1","30.5","5","7","22.6","53.1","80","0.390625","0.210416667","0.2825","2.666666667","0.888888889","1.066666667","0.355555556","0.753333333","0.251111111","1.016666667","0.338888889","40","42.56120527","33.33333333","5.144032922","15.43209877","9.300411523","27.90123457","12.55144033","37.65432099","21.85185185","65.55555556","1"
"","","MZP2017GUR-ST04","","","","","","","","","MZP2017GUR-ST04-00037","","","","90","50","45","52","77","13.7","12","58.5","7","7","25.7","84.2","129","0.263461538","0.155844156","0.199224806","2.58","1.433333333","1.04","0.577777778","0.514","0.285555556","1.17","0.65","40.31007752","30.52256532","55.55555556","5.637860082","10.14814815","10.57613169","19.03703704","24.07407407","43.33333333","34.65020576","62.37037037","1"
"","","MZP2017GUR-ST04","","","","","","","","","MZP2017GUR-ST04-00001","","","","90","87","87","126","201","23","17.5","80.5","7","3","40.5","121","327","0.182539683","0.087064677","0.123853211","3.75862069","3.633333333","1.448275862","1.4","0.465517241","0.45","0.925287356","0.894444444","38.53211009","33.47107438","96.66666667","9.465020576","9.791400596","16.66666667","17.24137931","33.12757202","34.26990209","49.79423868","51.5112814","1"
"","","MZP2017GUR-ST04","","","","","","","","","MZP2017GUR-ST04-00039","","","","90","76","76","88","125","22","16.7","77","3","5","38.7","115.7","213","0.25","0.1336","0.181690141","2.802631579","2.366666667","1.157894737","0.977777778","0.509210526","0.43","1.013157895","0.855555556","41.31455399","33.4485739","84.44444444","9.053497942","10.72124756","15.92592593","18.85964912","31.6872428","37.52436647","47.61316872","56.38401559","1"
"","","MZP2017GUR-ST04","","","","","","","","","MZP2017GUR-ST04-00016","","","","90","80","75","52","85","15.6","12.7","60.1","5","5","28.3","88.4","137","0.3","0.149411765","0.206569343","1.7125","1.522222222","0.65","0.577777778","0.35375","0.314444444","0.75125","0.667777778","37.95620438","32.01357466","88.88888889","6.419753086","7.222222222","11.64609053","13.10185185","24.73251029","27.82407407","36.37860082","40.92592593","1"
"","","MZP2017GUR-ST04","","","","","","","","","MZP2017GUR-ST04-00051","","","","90","72","72","82","99","18.5","15","70.1","5","5","33.5","103.6","181","0.225609756","0.151515152","0.185082873","2.513888889","2.011111111","1.138888889","0.911111111","0.465277778","0.372222222","0.973611111","0.778888889","45.3038674","32.33590734","80","7.613168724","9.516460905","13.78600823","17.23251029","28.84773663","36.05967078","42.63374486","53.29218107","1"
"","","MZP2017GUR-ST04","","","","","","","","","MZP2017GUR-ST04-00018","","","","90","70","70","92","147","25.7","16","105.2","3","3","41.7","146.9","239","0.279347826","0.108843537","0.174476987","3.414285714","2.655555556","1.314285714","1.022222222","0.595714286","0.463333333","1.502857143","1.168888889","38.49372385","28.38665759","77.77777778","10.57613169","13.5978836","17.16049383","22.06349206","43.29218107","55.66137566","60.4526749","77.72486772","1"
"","","MZP2017GUR-ST04","","","","","","","","","MZP2017GUR-ST04-00058","","","","90","75","75","90","135","21.5","16","70.2","5","5","37.5","107.7","225","0.238888889","0.118518519","0.166666667","3","2.5","1.2","1","0.5","0.416666667","0.936","0.78","40","34.8189415","83.33333333","8.847736626","10.61728395","15.43209877","18.51851852","28.88888889","34.66666667","44.32098765","53.18518519","1"
"","","MZP2017GUR-ST04","","","","","","","","","MZP2017GUR-ST04-00020","","","","90","80","80","105","175","27.5","19.5","92.5","3","5","47","139.5","280","0.261904762","0.111428571","0.167857143","3.5","3.111111111","1.3125","1.166666667","0.5875","0.522222222","1.15625","1.027777778","37.5","33.69175627","88.88888889","11.31687243","12.73148148","19.34156379","21.75925926","38.06584362","42.82407407","57.40740741","64.58333333","1"
"","","MZP2017GUR-ST04","","","","","","","","","MZP2017GUR-ST04-00057","","","","90","70","70","88","102","21.1","15","80","5","3","36.1","116.1","190","0.239772727","0.147058824","0.19","2.714285714","2.111111111","1.257142857","0.977777778","0.515714286","0.401111111","1.142857143","0.888888889","46.31578947","31.09388458","77.77777778","8.683127572","11.16402116","14.85596708","19.1005291","32.9218107","42.32804233","47.77777778","61.42857143","1"
"","","MZP2017GUR-ST04","","","","","","","","","MZP2017GUR-ST04-00008","","","","90","68","68","92","112","13.5","15","77.6","7","5","28.5","106.1","204","0.14673913","0.133928571","0.139705882","3","2.266666667","1.352941176","1.022222222","0.419117647","0.316666667","1.141176471","0.862222222","45.09803922","26.86145146","75.55555556","5.555555556","7.352941176","11.72839506","15.52287582","31.93415638","42.26579521","43.66255144","57.78867102","1"
"","","MZP2017GUR-ST04","","","","","","","","","MZP2017GUR-ST04-00045","","","","90","62","52","70","98","17.7","13.5","65.5","7","5","31.2","96.7","168","0.252857143","0.137755102","0.185714286","2.709677419","1.866666667","1.129032258","0.777777778","0.503225806","0.346666667","1.056451613","0.727777778","41.66666667","32.2647363","68.88888889","7.283950617","10.5734767","12.83950617","18.63799283","26.95473251","39.12783751","39.79423868","57.76583035","1"
"","","MZP2017GUR-ST04","","","","","","","","","MZP2017GUR-ST04-00019","","","","90","70","70","65","93","15.7","12.7","65.5","7","5","28.4","93.9","158","0.241538462","0.13655914","0.179746835","2.257142857","1.755555556","0.928571429","0.722222222","0.405714286","0.315555556","0.935714286","0.727777778","41.13924051","30.24494143","77.77777778","6.46090535","8.306878307","11.6872428","15.02645503","26.95473251","34.65608466","38.64197531","49.68253968","1"
"","","MZP2017GUR-ST04","","","","","","","","","MZP2017GUR-ST04-00059","","","","90","65","65","55","88","15","13.5","60.5","5","5","28.5","89","143","0.272727273","0.153409091","0.199300699","2.2","1.588888889","0.846153846","0.611111111","0.438461538","0.316666667","0.930769231","0.672222222","38.46153846","32.02247191","72.22222222","6.172839506","8.547008547","11.72839506","16.23931624","24.89711934","34.47293447","36.6255144","50.71225071","1"
"","","MZP2017GUR-ST04","","","","","","","","","MZP2017GUR-ST04-00023","","","","90","35","35","32","49","12","9.5","32","5","5","21.5","53.5","81","0.375","0.193877551","0.265432099","2.314285714","0.9","0.914285714","0.355555556","0.614285714","0.238888889","0.914285714","0.355555556","39.50617284","40.18691589","38.88888889","4.938271605","12.6984127","8.847736626","22.75132275","13.16872428","33.86243386","22.01646091","56.61375661","1"
"","","MZP2017GUR-ST04","","","","","","","","","MZP2017GUR-ST04-00055","","","","90","50","6","56","72","14","13.5","50.5","7","5","27.5","78","128","0.25","0.1875","0.21484375","2.56","1.422222222","1.12","0.622222222","0.55","0.305555556","1.01","0.561111111","43.75","35.25641026","55.55555556","5.761316872","10.37037037","11.31687243","20.37037037","20.781893","37.40740741","32.09876543","57.77777778","1"
"","","MZP2017GUR-ST04","","","","","","","","","MZP2017GUR-ST04-00029","","","","90","42","42","52","77","14.1","12.5","65","7","5","26.6","91.6","129","0.271153846","0.162337662","0.20620155","3.071428571","1.433333333","1.238095238","0.577777778","0.633333333","0.295555556","1.547619048","0.722222222","40.31007752","29.03930131","46.66666667","5.802469136","12.43386243","10.94650206","23.45679012","26.74897119","57.31922399","37.69547325","80.77601411","1"
"","","MZP2017GUR-ST04","","","","","","","","","MZP2017GUR-ST04-00040","","","","90","32","32","35","55","11.7","10.5","48.5","7","5","22.2","70.7","90","0.334285714","0.190909091","0.246666667","2.8125","1","1.09375","0.388888889","0.69375","0.246666667","1.515625","0.538888889","38.88888889","31.40028289","35.55555556","4.814814815","13.54166667","9.135802469","25.69444444","19.95884774","56.13425926","29.09465021","81.8287037","1"
"","","MZP2017GUR-ST04","","","","","","","","","MZP2017GUR-ST04-00011","","","","90","80","80","101","150","21.5","16.5","95.5","5","3","38","133.5","251","0.212871287","0.11","0.151394422","3.1375","2.788888889","1.2625","1.122222222","0.475","0.422222222","1.19375","1.061111111","40.23904382","28.46441948","88.88888889","8.847736626","9.953703704","15.63786008","17.59259259","39.30041152","44.21296296","54.9382716","61.80555556","1"
"","","MZP2017GUR-ST04","","","","","","","","","MZP2017GUR-ST04-00046","","","","90","55","55","65","90","18.5","13","70.1","5","5","31.5","101.6","155","0.284615385","0.144444444","0.203225806","2.818181818","1.722222222","1.181818182","0.722222222","0.572727273","0.35","1.274545455","0.778888889","41.93548387","31.00393701","61.11111111","7.613168724","12.45791246","12.96296296","21.21212121","28.84773663","47.20538721","41.81069959","68.41750842","1"
"","","MZP2017GUR-ST04","","","","","","","","","MZP2017GUR-ST04-00012","","","","90","40","40","37","72","14.1","10.1","50.5","7","5","24.2","74.7","109","0.381081081","0.140277778","0.222018349","2.725","1.211111111","0.925","0.411111111","0.605","0.268888889","1.2625","0.561111111","33.94495413","32.39625167","44.44444444","5.802469136","13.05555556","9.958847737","22.40740741","20.781893","46.75925926","30.74074074","69.16666667","1"
"","","MZP2017GUR-ST04","","","","","","","","","MZP2017GUR-ST04-00056","","","","90","80","80","70","110","18.5","13","70.5","7","3","31.5","102","180","0.264285714","0.118181818","0.175","2.25","2","0.875","0.777777778","0.39375","0.35","0.88125","0.783333333","38.88888889","30.88235294","88.88888889","7.613168724","8.564814815","12.96296296","14.58333333","29.01234568","32.63888889","41.97530864","47.22222222","1"
"","","MZP2017GUR-ST04","","","","","","","","","MZP2017GUR-ST04-00032","","","","90","77","77","80","101","23","15","75.5","5","5","38","113.5","181","0.2875","0.148514851","0.209944751","2.350649351","2.011111111","1.038961039","0.888888889","0.493506494","0.422222222","0.980519481","0.838888889","44.19889503","33.48017621","85.55555556","9.465020576","11.06301106","15.63786008","18.27801828","31.06995885","36.31553632","46.70781893","54.59355459","1"
"","","MZP2017GUR-ST04","","","","","","","","","MZP2017GUR-ST04-00061","","","","90","70","65","50","72","13.5","11.7","60.1","7","7","25.2","85.3","122","0.27","0.1625","0.206557377","1.742857143","1.355555556","0.714285714","0.555555556","0.36","0.28","0.858571429","0.667777778","40.98360656","29.54279015","77.77777778","5.555555556","7.142857143","10.37037037","13.33333333","24.73251029","31.7989418","35.10288066","45.13227513","1"
"","","MZP2017GUR-ST04","","","","","","","","","MZP2017GUR-ST04-00015","","","","90","70","65","52","97","16.5","13","65.5","5","5","29.5","95","149","0.317307692","0.134020619","0.197986577","2.128571429","1.655555556","0.742857143","0.577777778","0.421428571","0.327777778","0.935714286","0.727777778","34.89932886","31.05263158","77.77777778","6.790123457","8.73015873","12.1399177","15.60846561","26.95473251","34.65608466","39.09465021","50.26455026","1"
"","","MZP2017GUR-ST04","","","","","","","","","MZP2017GUR-ST04-00049","","","","90","42","42","43","55","18","12","50","7","5","30","80","98","0.418604651","0.218181818","0.306122449","2.333333333","1.088888889","1.023809524","0.477777778","0.714285714","0.333333333","1.19047619","0.555555556","43.87755102","37.5","46.66666667","7.407407407","15.87301587","12.34567901","26.45502646","20.57613169","44.09171076","32.9218107","70.54673721","1"
"","","MZP2017GUR-ST04","","","","","","","","","MZP2017GUR-ST04-00003","","","","90","30","30","41","60","10.2","10.1","50.1","7","7","20.3","70.4","101","0.248780488","0.168333333","0.200990099","3.366666667","1.122222222","1.366666667","0.455555556","0.676666667","0.225555556","1.67","0.556666667","40.59405941","28.83522727","33.33333333","4.197530864","12.59259259","8.353909465","25.0617284","20.61728395","61.85185185","28.97119342","86.91358025","1"
"","","MZP2017GUR-ST04","","","","","","","","","MZP2017GUR-ST04-00060","","","","90","40","40","41","62","12","11","50.4","5","7","23","73.4","103","0.292682927","0.177419355","0.223300971","2.575","1.144444444","1.025","0.455555556","0.575","0.255555556","1.26","0.56","39.80582524","31.33514986","44.44444444","4.938271605","11.11111111","9.465020576","21.2962963","20.74074074","46.66666667","30.20576132","67.96296296","1"
"","","MZP2017GUR-ST04","","","","","","","","","MZP2017GUR-ST04-00017","","","","90","80","80","87","152","26.5","15","110.1","3","3","41.5","151.6","239","0.304597701","0.098684211","0.173640167","2.9875","2.655555556","1.0875","0.966666667","0.51875","0.461111111","1.37625","1.223333333","36.40167364","27.37467018","88.88888889","10.90534979","12.26851852","17.0781893","19.21296296","45.30864198","50.97222222","62.38683128","70.18518519","1"
"","","MZP2017GUR-ST04","","","","","","","","","MZP2017GUR-ST04-00050","","","","90","52","52","55","70","14.9","12.5","55","5","5","27.4","82.4","125","0.270909091","0.178571429","0.2192","2.403846154","1.388888889","1.057692308","0.611111111","0.526923077","0.304444444","1.057692308","0.611111111","44","33.25242718","57.77777778","6.131687243","10.61253561","11.27572016","19.51566952","22.63374486","39.17378917","33.90946502","58.68945869","1"
"","","MZP2017GUR-ST04","","","","","","","","","MZP2017GUR-ST04-00026","","","","90","77","77","68","92","16.5","13.7","80","5","3","30.2","110.2","160","0.242647059","0.148913043","0.18875","2.077922078","1.777777778","0.883116883","0.755555556","0.392207792","0.335555556","1.038961039","0.888888889","42.5","27.40471869","85.55555556","6.790123457","7.936507937","12.42798354","14.52621453","32.9218107","38.48003848","45.34979424","53.00625301","1"
"","","MZP2017GUR-ST04","","","","","","","","","MZP2017GUR-ST04-00036","","","","90","70","70","81","102","15.7","16","75","7","5","31.7","106.7","183","0.19382716","0.156862745","0.173224044","2.614285714","2.033333333","1.157142857","0.9","0.452857143","0.352222222","1.071428571","0.833333333","44.26229508","29.70946579","77.77777778","6.46090535","8.306878307","13.04526749","16.77248677","30.86419753","39.68253968","43.90946502","56.45502646","1"
"","","MZP2017GUR-ST04","","","","","","","","","MZP2017GUR-ST04-00028","","","","90","75","75","65","88","17.8","13.5","82.5","5","5","31.3","113.8","153","0.273846154","0.153409091","0.204575163","2.04","1.7","0.866666667","0.722222222","0.417333333","0.347777778","1.1","0.916666667","42.48366013","27.50439367","83.33333333","7.325102881","8.790123457","12.88065844","15.45679012","33.95061728","40.74074074","46.83127572","56.19753086","1"
"","","MZP2017GUR-ST04","","","","","","","","","MZP2017GUR-ST04-00052","","","","90","75","75","80","101","19.5","15","65.5","3","3","34.5","100","181","0.24375","0.148514851","0.190607735","2.413333333","2.011111111","1.066666667","0.888888889","0.46","0.383333333","0.873333333","0.727777778","44.19889503","34.5","83.33333333","8.024691358","9.62962963","14.19753086","17.03703704","26.95473251","32.34567901","41.15226337","49.38271605","1"
