"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227"," Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Storage root size estimating 1-9|CO_331:0000184"," Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207"," Dry weight of storage root samples measuring g|CO_331:0000247","Fiber content in raw storage roots estimating 1-9|CO_331:0001038","Content of total sugars estimating 1-9|CO_331:0000766","Content of starch in raw storage roots estimating 1-9|CO_331:0001055","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2009GUR-PT01","","","","","","","","","MZP2009GUR-PT01-00021","","","","14","13","3","3","4","13","19","35","6","5","2","6","4","4","4","16.8","5","3","4","4","11","13","54","0.315789474","0.142857143","0.203703704","4.153846154","3.857142857","1.461538462","1.357142857","0.846153846","0.785714286","0.153846154","0.142857143","35.18518519","84.61538462","92.85714286","15.87301587","17.09401709","29.1005291","31.33903134","5.291005291","5.698005698","34.39153439","37.03703704"
"","","MZP2009GUR-PT01","","","","","","","","","MZP2009GUR-PT01-00022","","","","14","12","3","3","6","12","7","21","4","3","10","2","4","3","3","21.6","5","3","4","3","7","17","28","0.571428571","0.142857143","0.25","2.333333333","2","0.583333333","0.5","0.583333333","0.5","0.833333333","0.714285714","25","41.17647059","85.71428571","10.58201058","12.34567901","18.51851852","21.60493827","26.45502646","30.86419753","44.97354497","52.4691358"
"","","MZP2009GUR-PT01","","","","","","","","","MZP2009GUR-PT01-00023","","","","14","12","2","4","4","12","13","20","7.5","3.1","2.5","5","3","4","4","17.2","5","3","4","3","10.6","13.1","33","0.576923077","0.155","0.321212121","2.75","2.357142857","1.083333333","0.928571429","0.883333333","0.757142857","0.208333333","0.178571429","39.39393939","80.91603053","85.71428571","19.84126984","23.14814815","28.04232804","32.71604938","6.613756614","7.716049383","34.65608466","40.43209877"
"","","MZP2009GUR-PT01","","","","","","","","","MZP2009GUR-PT01-00024","","","","14","14","2","2","4","14","14","30","8","2","4","5","5","5","4","17","5","3","4","5","10","14","44","0.571428571","0.066666667","0.227272727","3.142857143","3.142857143","1","1","0.714285714","0.714285714","0.285714286","0.285714286","31.81818182","71.42857143","100","21.16402116","21.16402116","26.45502646","26.45502646","10.58201058","10.58201058","37.03703704","37.03703704"
"","","MZP2009GUR-PT01","","","","","","","","","MZP2009GUR-PT01-00025","","","","14","12","3","4","4","12","9","5","3.5","1","7.1","1","3","3","5","23.4","5","3","4","4","4.5","11.6","14","0.388888889","0.2","0.321428571","1.166666667","1","0.75","0.642857143","0.375","0.321428571","0.591666667","0.507142857","64.28571429","38.79310345","85.71428571","9.259259259","10.80246914","11.9047619","13.88888889","18.78306878","21.91358025","30.68783069","35.80246914"
"","","MZP2009GUR-PT01","","","","","","","","","MZP2009GUR-PT01-00026","","","","14","9","6","6","4","9","5","4","1","0.2","1.2","1","2","2","5","24","5","4","2","3","1.2","2.4","9","0.2","0.05","0.133333333","1","0.642857143","0.555555556","0.357142857","0.133333333","0.085714286","0.133333333","0.085714286","55.55555556","50","64.28571429","2.645502646","4.115226337","3.174603175","4.938271605","3.174603175","4.938271605","6.349206349","9.87654321"
"","","MZP2009GUR-PT01","","","","","","","","","MZP2009GUR-PT01-00027","","","","14","13","2","2","4","13","20","29","6.5","3.2","2.9","1","3","3","5","25.5","5","3","4","4","9.7","12.6","49","0.325","0.110344828","0.197959184","3.769230769","3.5","1.538461538","1.428571429","0.746153846","0.692857143","0.223076923","0.207142857","40.81632653","76.98412698","92.85714286","17.1957672","18.51851852","25.66137566","27.63532764","7.671957672","8.262108262","33.33333333","35.8974359"
"","","MZP2009GUR-PT01","","","","","","","","","MZP2009GUR-PT01-00028","","","","14","13","2","2","5","13","6","26","1.5","1","2.2","6","3","3","5","23.5","5","2","3","3","2.5","4.7","32","0.25","0.038461538","0.078125","2.461538462","2.285714286","0.461538462","0.428571429","0.192307692","0.178571429","0.169230769","0.157142857","18.75","53.19148936","92.85714286","3.968253968","4.273504274","6.613756614","7.122507123","5.82010582","6.267806268","12.43386243","13.39031339"
"","","MZP2009GUR-PT01","","","","","","","","","MZP2009GUR-PT01-00029","","","","14","13","1","2","4","13","10","19","1.5","1.5","1.5","5","3","3","4","26.2","5","3","3","3","3","4.5","29","0.15","0.078947368","0.103448276","2.230769231","2.071428571","0.769230769","0.714285714","0.230769231","0.214285714","0.115384615","0.107142857","34.48275862","66.66666667","92.85714286","3.968253968","4.273504274","7.936507937","8.547008547","3.968253968","4.273504274","11.9047619","12.82051282"
"","","MZP2009GUR-PT01","","","","","","","","","MZP2009GUR-PT01-00030","","","","14","14","2","2","4","14","3","26","1","2.2","2","5","2","2","4","24.2","5","3","4","4","3.2","5.2","29","0.333333333","0.084615385","0.110344828","2.071428571","2.071428571","0.214285714","0.214285714","0.228571429","0.228571429","0.142857143","0.142857143","10.34482759","61.53846154","100","2.645502646","2.645502646","8.465608466","8.465608466","5.291005291","5.291005291","13.75661376","13.75661376"
