"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Storage root size estimating 1-9|CO_331:0000184","Storage root dry matter content computing percent|CO_331:0000297","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004","treatment_irrigation"
"","","MZP2017GUR-ST02","","","","","","","","","MZP2017GUR-ST02-00031","","","","90","50","50","30","58","23.1","12.1","47.5","1","3","45.21","1.94","69.53","0.89","","35.2","82.7","88","0.77","0.20862069","0.4","1.76","0.977777778","0.6","0.333333333","0.704","0.391111111","0.95","0.527777778","34.09090909","42.56348247","55.55555556","15.91392","9.50617284","17.11111111","14.48559671","26.07407407","19.5473251","35.18518519","6.548938272","11.78808889","34.03292181","61.25925926","1"
"","","MZP2017GUR-ST02","","","","","","","","","MZP2017GUR-ST02-00082","","","","90","55","55","45","76","14.3","12.3","47.8","1","3","42.6","2.09","67.72","0.83","","26.6","74.4","121","0.317777778","0.161842105","0.219834711","2.2","1.344444444","0.818181818","0.5","0.483636364","0.295555556","0.869090909","0.531111111","37.19008264","35.75268817","61.11111111","11.3316","5.884773663","9.62962963","10.94650206","17.91245791","19.67078189","32.18855219","4.663209877","7.630707071","30.61728395","50.1010101","1"
"","","MZP2017GUR-ST02","","","","","","","","","MZP2017GUR-ST02-00008","","","","90","80","71","39","78","37.1","13.5","53.5","1","1","38.11","1.87","69.12","0.96","31.58","50.6","104.1","117","0.951282051","0.173076923","0.432478632","1.4625","1.3","0.4875","0.433333333","0.6325","0.562222222","0.66875","0.594444444","33.33333333","48.60710855","88.88888889","19.28366","15.26748971","17.17592593","20.82304527","23.42592593","22.01646091","24.76851852","7.935662551","8.92762037","42.83950617","48.19444444","1"
"","","MZP2017GUR-ST02","","","","","","","","","MZP2017GUR-ST02-00053","","","","90","47","47","42","56","14.3","14.3","61.5","3","5","38.5","1.92","68.3","1.02","10.48","28.6","90.1","98","0.34047619","0.255357143","0.291836735","2.085106383","1.088888889","0.893617021","0.466666667","0.608510638","0.317777778","1.308510638","0.683333333","42.85714286","31.74250832","52.22222222","11.011","5.884773663","11.26871552","11.76954733","22.53743105","25.30864198","48.46335697","4.53127572","8.676910954","37.0781893","71.00078802","1"
"","","MZP2017GUR-ST02","","","","","","","","","MZP2017GUR-ST02-00004","","","","90","40","40","20","37","18.5","7.5","20.7","3","5","33.31","2.18","59.76","1.32","23.62","26","46.7","57","0.925","0.202702703","0.456140351","1.425","0.633333333","0.5","0.222222222","0.65","0.288888889","0.5175","0.23","35.0877193","55.6745182","44.44444444","8.6606","7.613168724","17.12962963","10.69958848","24.07407407","8.518518519","19.16666667","3.564032922","8.019074074","19.218107","43.24074074","1"
"","","MZP2017GUR-ST02","","","","","","","","","MZP2017GUR-ST02-00079","","","","90","58","58","42","63","13.4","12.1","49.7","5","3","31.53","1.94","59.89","1.14","12.37","25.5","75.2","105","0.319047619","0.192063492","0.242857143","1.810344828","1.166666667","0.724137931","0.466666667","0.439655172","0.283333333","0.856896552","0.552222222","40","33.90957447","64.44444444","8.04015","5.514403292","8.556832695","10.49382716","16.2835249","20.4526749","31.73690932","3.308703704","5.134195402","30.94650206","48.02043423","1"
"","","MZP2017GUR-ST02","","","","","","","","","MZP2017GUR-ST02-00002","","","","90","80","70","35","55","23.5","12.5","42.9","1","3","","","","","","36","78.9","90","0.671428571","0.227272727","0.4","1.125","1","0.4375","0.388888889","0.45","0.4","0.53625","0.476666667","38.88888889","45.62737643","88.88888889","","9.670781893","10.87962963","14.81481481","16.66666667","17.65432099","19.86111111","","","32.4691358","36.52777778","1"
"","","MZP2017GUR-ST02","","","","","","","","","MZP2017GUR-ST02-00064","","","","90","40","40","40","62","16.8","12","50.1","1","3","36.99","2.12","60.23","1.09","21.36","28.8","78.9","102","0.42","0.193548387","0.282352941","2.55","1.133333333","1","0.444444444","0.72","0.32","1.2525","0.556666667","39.21568627","36.50190114","44.44444444","10.65312","6.913580247","15.55555556","11.85185185","26.66666667","20.61728395","46.38888889","4.384","9.864","32.4691358","73.05555556","1"
"","","MZP2017GUR-ST02","","","","","","","","","MZP2017GUR-ST02-00038","","","","90","67","67","47","112","40.2","15","57.5","1","1","41.04","1.97","67.35","1.04","8.14","55.2","112.7","159","0.855319149","0.133928571","0.347169811","2.373134328","1.766666667","0.701492537","0.522222222","0.823880597","0.613333333","0.858208955","0.638888889","29.55974843","48.97959184","74.44444444","22.65408","16.54320988","22.22222222","22.71604938","30.51409619","23.66255144","31.78551686","9.322666667","12.52298507","46.37860082","62.29961305","1"
"","","MZP2017GUR-ST02","","","","","","","","","MZP2017GUR-ST02-00078","","","","90","72","72","51","96","18.2","13.5","59.8","5","1","45.18","2.02","67.57","1.07","19.9","31.7","91.5","147","0.356862745","0.140625","0.215646259","2.041666667","1.633333333","0.708333333","0.566666667","0.440277778","0.352222222","0.830555556","0.664444444","34.69387755","34.64480874","80","14.32206","7.489711934","9.362139918","13.04526749","16.30658436","24.6090535","30.76131687","5.893851852","7.367314815","37.65432099","47.06790123","1"
"","","MZP2017GUR-ST02","","","","","","","","","MZP2017GUR-ST02-00006","","","","90","62","50","25","42","25.1","10.1","38.5","1","5","27.9","2.1","53.55","1.31","25.39","35.2","73.7","67","1.004","0.24047619","0.525373134","1.080645161","0.744444444","0.403225806","0.277777778","0.567741935","0.391111111","0.620967742","0.427777778","37.31343284","47.76119403","68.88888889","9.8208","10.32921811","14.99402628","14.48559671","21.02747909","15.8436214","22.99880526","4.041481481","5.866666667","30.32921811","44.02628435","1"
"","","MZP2017GUR-ST02","","","","","","","","","MZP2017GUR-ST02-00067","","","","90","49","49","49","68","17.3","12.3","52.3","3","3","26.94","1.7","54.04","0.94","19.76","29.6","81.9","117","0.353061224","0.180882353","0.252991453","2.387755102","1.3","1","0.544444444","0.604081633","0.328888889","1.067346939","0.581111111","41.88034188","36.14163614","54.44444444","7.97424","7.119341564","13.07634165","12.18106996","22.3733938","21.52263374","39.5313681","3.281580247","6.02739229","33.7037037","61.9047619","1"
"","","MZP2017GUR-ST02","","","","","","","","","MZP2017GUR-ST02-00012","","","","90","80","72","32","55","25.5","11.5","47.5","1","3","","","","","","37","84.5","87","0.796875","0.209090909","0.425287356","1.0875","0.966666667","0.4","0.355555556","0.4625","0.411111111","0.59375","0.527777778","36.7816092","43.78698225","88.88888889","","10.49382716","11.80555556","15.22633745","17.12962963","19.5473251","21.99074074","","","34.77366255","39.12037037","1"
"","","MZP2017GUR-ST02","","","","","","","","","MZP2017GUR-ST02-00081","","","","90","69","69","52","84","13.2","16.4","54.2","1","1","40.82","2.43","68.59","1.23","30.08","29.6","83.8","136","0.253846154","0.195238095","0.217647059","1.971014493","1.511111111","0.753623188","0.577777778","0.428985507","0.328888889","0.785507246","0.602222222","38.23529412","35.3221957","76.66666667","12.08272","5.432098765","7.085346216","12.18106996","15.88835212","22.30452675","29.09286098","4.972312757","6.485625335","34.48559671","44.9812131","1"
"","","MZP2017GUR-ST02","","","","","","","","","MZP2017GUR-ST02-00041","","","","90","30","30","29","58","18.7","9","27.8","5","5","32.44","2.07","63.98","1.28","24.39","27.7","55.5","87","0.644827586","0.155172414","0.318390805","2.9","0.966666667","0.966666667","0.322222222","0.923333333","0.307777778","0.926666667","0.308888889","33.33333333","49.90990991","33.33333333","8.98588","7.695473251","23.08641975","11.39917695","34.19753086","11.44032922","34.32098765","3.697893004","11.09367901","22.83950617","68.51851852","1"
"","","MZP2017GUR-ST02","","","","","","","","","MZP2017GUR-ST02-00045","","","","90","23","23","23","40","12.3","7.6","37.1","3","1","28.39","2.44","55.77","1.37","32.22","19.9","57","63","0.534782609","0.19","0.315873016","2.739130435","0.7","1","0.255555556","0.865217391","0.221111111","1.613043478","0.412222222","36.50793651","34.9122807","25.55555556","5.64961","5.061728395","19.80676329","8.189300412","32.04508857","15.26748971","59.74235105","2.324942387","9.097600644","23.45679012","91.78743961","1"
"","","MZP2017GUR-ST02","","","","","","","","","MZP2017GUR-ST02-00001","","","","90","48","48","37","68","24.5","13.5","37.9","1","1","41.09","1.76","66.14","0.95","18.28","38","75.9","105","0.662162162","0.198529412","0.361904762","2.1875","1.166666667","0.770833333","0.411111111","0.791666667","0.422222222","0.789583333","0.421111111","35.23809524","50.06587615","53.33333333","15.6142","10.08230453","18.90432099","15.63786008","29.32098765","15.59670782","29.24382716","6.425596708","12.04799383","31.2345679","58.56481481","1"
"","","MZP2017GUR-ST02","","","","","","","","","MZP2017GUR-ST02-00047","","","","90","46","46","54","64","20.1","18.3","47.5","3","3","36.75","1.8","65.31","0.93","28.61","38.4","85.9","118","0.372222222","0.2859375","0.325423729","2.565217391","1.311111111","1.173913043","0.6","0.834782609","0.426666667","1.032608696","0.527777778","45.76271186","44.70314319","51.11111111","14.112","8.271604938","16.18357488","15.80246914","30.9178744","19.5473251","38.24476651","5.807407407","11.36231884","35.34979424","69.1626409","1"
"","","MZP2017GUR-ST02","","","","","","","","","MZP2017GUR-ST02-00019","","","","90","80","65","39","79","37.7","14","62.3","1","3","34.03","1.85","64.73","0.93","14","51.7","114","118","0.966666667","0.17721519","0.438135593","1.475","1.311111111","0.4875","0.433333333","0.64625","0.574444444","0.77875","0.692222222","33.05084746","45.35087719","88.88888889","17.59351","15.51440329","17.4537037","21.27572016","23.93518519","25.63786008","28.84259259","7.240127572","8.145143519","46.91358025","52.77777778","1"
"","","MZP2017GUR-ST02","","","","","","","","","MZP2017GUR-ST02-00060","","","","90","55","55","65","84","27.3","15.9","56.5","1","1","37.68","2.03","63.7","1","29.31","43.2","99.7","149","0.42","0.189285714","0.289932886","2.709090909","1.655555556","1.181818182","0.722222222","0.785454545","0.48","1.027272727","0.627777778","43.62416107","43.32998997","61.11111111","16.27776","11.2345679","18.38383838","17.77777778","29.09090909","23.25102881","38.04713805","6.698666667","10.96145455","41.02880658","67.13804714","1"
"","","MZP2017GUR-ST02","","","","","","","","","MZP2017GUR-ST02-00021","","","","90","80","80","44","110","33.5","15","61.5","1","1","32.77","1.59","56.91","0.97","11.03","48.5","110","154","0.761363636","0.136363636","0.314935065","1.925","1.711111111","0.55","0.488888889","0.60625","0.538888889","0.76875","0.683333333","28.57142857","44.09090909","88.88888889","15.89345","13.78600823","15.50925926","19.95884774","22.4537037","25.30864198","28.47222222","6.540514403","7.358078704","45.26748971","50.92592593","1"
"","","MZP2017GUR-ST02","","","","","","","","","MZP2017GUR-ST02-00074","","","","90","85","85","51","113","24.2","14.6","67.8","5","5","","","","","","38.8","106.6","164","0.474509804","0.12920354","0.236585366","1.929411765","1.822222222","0.6","0.566666667","0.456470588","0.431111111","0.797647059","0.753333333","31.09756098","36.39774859","94.44444444","","9.958847737","10.54466231","15.96707819","16.90631808","27.90123457","29.54248366","","","43.86831276","46.44880174","1"
"","","MZP2017GUR-ST02","","","","","","","","","MZP2017GUR-ST02-00023","","","","90","78","71","52","121","40.1","17.5","78.5","1","1","25.01","2.3","53.12","1.35","18.97","57.6","136.1","173","0.771153846","0.144628099","0.332947977","2.217948718","1.922222222","0.666666667","0.577777778","0.738461538","0.64","1.006410256","0.872222222","30.05780347","42.32182219","86.66666667","14.40576","16.50205761","19.04083571","23.7037037","27.35042735","32.30452675","37.27445394","5.928296296","6.84034188","56.00823045","64.62488129","1"
"","","MZP2017GUR-ST02","","","","","","","","","MZP2017GUR-ST02-00073","","","","90","72","70","47","120","30.2","13.4","71.5","5","3","26.75","2.61","54.03","1.32","25.41","43.6","115.1","167","0.642553191","0.111666667","0.261077844","2.319444444","1.855555556","0.652777778","0.522222222","0.605555556","0.484444444","0.993055556","0.794444444","28.14371257","37.88010426","80","11.663","12.42798354","15.53497942","17.94238683","22.42798354","29.42386831","36.77983539","4.799588477","5.999485597","47.36625514","59.20781893","1"
"","","MZP2017GUR-ST02","","","","","","","","","MZP2017GUR-ST02-00009","","","","90","72","70","40","82","35.6","12.3","65.7","1","3","32.8","2.32","58.18","1.32","35.2","47.9","113.6","122","0.89","0.15","0.392622951","1.694444444","1.355555556","0.555555556","0.444444444","0.665277778","0.532222222","0.9125","0.73","32.78688525","42.16549296","80","15.7112","14.65020576","18.3127572","19.71193416","24.6399177","27.03703704","33.7962963","6.465514403","8.081893004","46.74897119","58.43621399","1"
"","","MZP2017GUR-ST02","","","","","","","","","MZP2017GUR-ST02-00054","","","","90","57","57","60","74","15.9","15.6","55.5","5","3","35.6","2.09","65.58","1.13","25.07","31.5","87","134","0.265","0.210810811","0.235074627","2.350877193","1.488888889","1.052631579","0.666666667","0.552631579","0.35","0.973684211","0.616666667","44.7761194","36.20689655","63.33333333","11.214","6.543209877","10.33138402","12.96296296","20.46783626","22.83950617","36.06237817","4.614814815","7.286549708","35.80246914","56.53021442","1"
"","","MZP2017GUR-ST02","","","","","","","","","MZP2017GUR-ST02-00022","","","","90","67","67","41","99","30.1","14.1","50.2","1","1","29.45","1.72","56.5","1.02","8.45","44.2","94.4","140","0.734146341","0.142424242","0.315714286","2.089552239","1.555555556","0.611940299","0.455555556","0.659701493","0.491111111","0.749253731","0.557777778","29.28571429","46.8220339","74.44444444","13.0169","12.38683128","16.63902709","18.18930041","24.43338861","20.65843621","27.7501382","5.356748971","7.195632946","38.84773663","52.18352681","1"
"","","MZP2017GUR-ST02","","","","","","","","","MZP2017GUR-ST02-00075","","","","90","67","67","50","82","17.3","14.3","37.5","3","3","36.29","1.92","62.66","1","8.32","31.6","69.1","132","0.346","0.174390244","0.239393939","1.970149254","1.466666667","0.746268657","0.555555556","0.471641791","0.351111111","0.559701493","0.416666667","37.87878788","45.73082489","74.44444444","11.46764","7.119341564","9.563294638","13.00411523","17.46821448","15.43209877","20.72968491","4.719193416","6.339215036","28.43621399","38.19789939","1"
"","","MZP2017GUR-ST02","","","","","","","","","MZP2017GUR-ST02-00028","","","","90","38","38","29","62","18.5","9.8","22.5","1","5","32.85","2.08","60.05","1.16","10.63","28.3","50.8","91","0.637931034","0.158064516","0.310989011","2.394736842","1.011111111","0.763157895","0.322222222","0.744736842","0.314444444","0.592105263","0.25","31.86813187","55.70866142","42.22222222","9.29655","7.613168724","18.03118908","11.64609053","27.582846","9.259259259","21.92982456","3.825740741","9.060964912","20.90534979","49.51267057","1"
"","","MZP2017GUR-ST02","","","","","","","","","MZP2017GUR-ST02-00068","","","","90","40","40","35","56","13.2","12","40.1","1","5","29.38","1.85","57.9","1.11","11.48","25.2","65.3","91","0.377142857","0.214285714","0.276923077","2.275","1.011111111","0.875","0.388888889","0.63","0.28","1.0025","0.445555556","38.46153846","38.59111792","44.44444444","7.40376","5.432098765","12.22222222","10.37037037","23.33333333","16.50205761","37.12962963","3.046814815","6.855333333","26.87242798","60.46296296","1"
"","","MZP2017GUR-ST02","","","","","","","","","MZP2017GUR-ST02-00036","","","","90","53","53","43","63","29.7","13.7","50.2","1","1","34.29","1.56","62.14","0.89","3.15","43.4","93.6","106","0.690697674","0.217460317","0.409433962","2","1.177777778","0.811320755","0.477777778","0.818867925","0.482222222","0.947169811","0.557777778","40.56603774","46.36752137","58.88888889","14.88186","12.22222222","20.75471698","17.8600823","30.32844165","20.65843621","35.08036338","6.124222222","10.39962264","38.51851852","65.40880503","1"
"","","MZP2017GUR-ST02","","","","","","","","","MZP2017GUR-ST02-00048","","","","90","51","50","40","68","23.1","13.5","50.1","5","1","33.93","1.85","63.76","0.98","18.04","36.6","86.7","108","0.5775","0.198529412","0.338888889","2.117647059","1.2","0.784313725","0.444444444","0.717647059","0.406666667","0.982352941","0.556666667","37.03703704","42.21453287","56.66666667","12.41838","9.50617284","16.77559913","15.0617284","26.5795207","20.61728395","36.38344227","5.110444444","9.018431373","35.67901235","62.96296296","1"
"","","MZP2017GUR-ST02","","","","","","","","","MZP2017GUR-ST02-00014","","","","90","65","60","30","59","25.5","11.7","49.5","3","3","33.41","2.17","64.71","1.35","24.12","37.2","86.7","89","0.85","0.198305085","0.417977528","1.369230769","0.988888889","0.461538462","0.333333333","0.572307692","0.413333333","0.761538462","0.55","33.70786517","42.90657439","72.22222222","12.42852","10.49382716","14.52991453","15.30864198","21.1965812","20.37037037","28.20512821","5.114617284","7.081777778","35.67901235","49.4017094","1"
"","","MZP2017GUR-ST02","","","","","","","","","MZP2017GUR-ST02-00055","","","","90","50","50","43","79","16.8","13","48.6","5","1","27.46","2.11","56.5","1.27","31.54","29.8","78.4","122","0.390697674","0.164556962","0.244262295","2.44","1.355555556","0.86","0.477777778","0.596","0.331111111","0.972","0.54","35.24590164","38.01020408","55.55555556","8.18308","6.913580247","12.44444444","12.26337449","22.07407407","20","36","3.367522634","6.061540741","32.26337449","58.07407407","1"
"","","MZP2017GUR-ST02","","","","","","","","","MZP2017GUR-ST02-00015","","","","90","67","60","28","44","19.7","9.9","48.5","7","5","31.94","1.91","58.68","1.13","19.86","29.6","78.1","72","0.703571429","0.225","0.411111111","1.074626866","0.8","0.417910448","0.311111111","0.441791045","0.328888889","0.723880597","0.538888889","38.88888889","37.90012804","74.44444444","9.45424","8.106995885","10.88999447","12.18106996","16.36263129","19.95884774","26.81039248","3.890633745","5.226224433","32.1399177","43.17302377","1"
"","","MZP2017GUR-ST02","","","","","","","","","MZP2017GUR-ST02-00072","","","","90","82","82","42","94","29.9","13.9","59.7","5","5","24.05","2.08","52.55","1.29","13","43.8","103.5","136","0.711904762","0.14787234","0.322058824","1.658536585","1.511111111","0.512195122","0.466666667","0.534146341","0.486666667","0.72804878","0.663333333","30.88235294","42.31884058","91.11111111","10.5339","12.30452675","13.50496838","18.02469136","19.78319783","24.56790123","26.96476965","4.334938272","4.757859079","42.59259259","46.74796748","1"
"","","MZP2017GUR-ST02","","","","","","","","","MZP2017GUR-ST02-00040","","","","90","37","37","42","87","32.5","13.7","30.1","1","3","36.91","2.36","67.56","1.3","18.23","46.2","76.3","129","0.773809524","0.157471264","0.358139535","3.486486486","1.433333333","1.135135135","0.466666667","1.248648649","0.513333333","0.813513514","0.334444444","32.55813953","60.55045872","41.11111111","17.05242","13.3744856","32.53253253","19.01234568","46.24624625","12.38683128","30.13013013","7.01745679","17.06948949","31.39917695","76.37637638","1"
