"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Weight of vines per NET plot in kg|CO_331:0000227","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Content of total sugars estimating 1-9|CO_331:0000766","Content of starch in raw storage roots estimating 1-9|CO_331:0001055","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2010UMB-AT10","","","","","","","","","MZP2010UMB-AT10-00022","","","","39","39","3","6","7","8.5","13","12","28","22","7","1","5","5","4","12.39","3","2","3","4","24.84","8","16.5","50","0.25","0.045454545","0.16","3.846153846","1.282051282","2.153846154","0.717948718","0.615384615","0.205128205","0.653846154","0.217948718","56","48.48484848","33.33333333","1.9872","6.647673314","19.94301994","7.597340931","22.79202279","8.072174739","24.21652422","1.887179487","5.661538462","15.66951567","47.00854701"
"","","MZP2010UMB-AT10","","","","","","","","","MZP2010UMB-AT10-00023","","","","39","34","3","6","7","7.5","7","7","10","12","2","0.5","3","3","3","11.03","5","3","2","3","24.42","2.5","10","22","0.2","0.041666667","0.113636364","3.142857143","0.564102564","1.428571429","0.256410256","0.357142857","0.064102564","1.071428571","0.192307692","45.45454545","25","17.94871795","0.6105","1.899335233","10.58201058","2.374169041","13.22751323","7.122507123","39.68253968","0.57977208","3.23015873","9.496676163","52.91005291"
"","","MZP2010UMB-AT10","","","","","","","","","MZP2010UMB-AT10-00024","","","","39","39","1","1","9","9.2","14","9","10","10","0.8","0.6","2","2","4","0.12","5","2","3","4","","1.4","10.6","20","0.08","0.06","0.07","1.428571429","0.512820513","0.714285714","0.256410256","0.1","0.035897436","0.657142857","0.235897436","50","13.20754717","35.8974359","","0.759734093","2.116402116","1.329534663","3.703703704","8.73694207","24.33862434","","","10.06647673","28.04232804"
"","","MZP2010UMB-AT10","","","","","","","","","MZP2010UMB-AT10-00025","","","","39","25","1","1","4","0.3","7","7","4","30","0.3","1","2","1","3","14.37","5","2","3","4","29.89","1.3","1.6","34","0.075","0.033333333","0.038235294","4.857142857","0.871794872","0.571428571","0.102564103","0.185714286","0.033333333","0.042857143","0.007692308","11.76470588","81.25","17.94871795","0.38857","0.284900285","1.587301587","1.234567901","6.878306878","0.284900285","1.587301587","0.369012346","2.055925926","1.519468186","8.465608466"
"","","MZP2010UMB-AT10","","","","","","","","","MZP2010UMB-AT10-00026","","","","39","25","1","2","7","1.1","5","2","0","2","0","0.1","2","1","3","1.74","5","2","4","3","","0.1","1.2","2","","0.05","0.05","0.4","0.051282051","0","0","0.02","0.002564103","0.22","0.028205128","0","8.333333333","12.82051282","","0","0","0.094966762","0.740740741","1.044634378","8.148148148","","","1.13960114","8.888888889"
"","","MZP2010UMB-AT10","","","","","","","","","MZP2010UMB-AT10-00027","","","","39","36","1","1","9","12","13","13","3","36","0.5","5","3","3","3","14.37","5","3","3","3","20.81","5.5","17.5","39","0.166666667","0.138888889","0.141025641","3","1","0.230769231","0.076923077","0.423076923","0.141025641","0.923076923","0.307692308","7.692307692","31.42857143","33.33333333","1.14455","0.474833808","1.424501425","5.22317189","15.66951567","11.3960114","34.18803419","1.08694207","3.260826211","16.61918329","49.85754986"
"","","MZP2010UMB-AT10","","","","","","","","","MZP2010UMB-AT10-00028","","","","39","29","2","1","7","2.3","9","1","0","1","0","0.1","1","1","3","1.74","4","2","3","4","","0.1","2.4","1","","0.1","0.1","0.111111111","0.025641026","0","0","0.011111111","0.002564103","0.255555556","0.058974359","0","4.166666667","23.07692308","","0","0","0.094966762","0.411522634","2.184235518","9.465020576","","","2.279202279","9.87654321"
"","","MZP2010UMB-AT10","","","","","","","","","MZP2010UMB-AT10-00029","","","","39","39","1","1","6","4.6","18","14","11","40","1.9","1","3","3","4","1.76","5","3","4","3","33.3","2.9","7.5","51","0.172727273","0.025","0.056862745","2.833333333","1.307692308","0.611111111","0.282051282","0.161111111","0.074358974","0.255555556","0.117948718","21.56862745","38.66666667","46.15384615","0.9657","1.804368471","3.909465021","2.754036087","5.967078189","4.368471035","9.465020576","0.917094017","1.987037037","7.122507123","15.43209877"
"","","MZP2010UMB-AT10","","","","","","","","","MZP2010UMB-AT10-00030","","","","39","37","1","1","8","9","17","10","4","17","0.5","0.5","3","3","4","14.37","5","2","4","4","25.9","1","10","21","0.125","0.029411765","0.047619048","1.235294118","0.538461538","0.235294118","0.102564103","0.058823529","0.025641026","0.529411765","0.230769231","19.04761905","10","43.58974359","0.259","0.474833808","1.089324619","0.949667616","2.178649237","8.547008547","19.60784314","0.245963913","0.564270153","9.496676163","21.78649237"
"","","MZP2010UMB-AT10","","","","","","","","","MZP2010UMB-AT10-00031","","","","39","37","2","1","8","14","18","13","15","39","2","1.1","3","4","4","6.12","4","2","3","4","29.98","3.1","17.1","54","0.133333333","0.028205128","0.057407407","3","1.384615385","0.833333333","0.384615385","0.172222222","0.079487179","0.777777778","0.358974359","27.77777778","18.12865497","46.15384615","0.92938","1.899335233","4.115226337","2.943969611","6.378600823","13.29534663","28.80658436","0.882602089","1.912304527","16.23931624","35.18518519"
