"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Storage root sweetness in cooked samples estimating 1-9|CO_331:0000261","Storage root texture in boiled samples estimating 1-9 by Gruneberg|CO_331:0000265","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2014GUR-AT01","","","","","","","","","MZP2014GUR-AT01-00032","","","","39","31","1","1","5","35","35","29","48","9.5","14.5","24.5","3","1","1","3","1","5","5","3","24","48.5","77","0.327586207","0.302083333","0.311688312","2.2","1.974358974","0.828571429","0.743589744","0.685714286","0.615384615","0.7","0.628205128","37.66233766","49.48453608","89.74358974","9.021842355","10.05291005","22.79202279","25.3968254","23.2668566","25.92592593","46.05887939","51.32275132"
"","","MZP2014GUR-AT01","","","","","","","","","MZP2014GUR-AT01-00033","","","","39","27","1","1","5","21","21","19","35","7","10.5","21","4","3","3","3","1","7","3","5","17.5","38.5","54","0.368421053","0.3","0.324074074","2.571428571","1.384615385","0.904761905","0.487179487","0.833333333","0.448717949","1","0.538461538","35.18518519","45.45454545","53.84615385","6.647673314","12.34567901","16.61918329","30.86419753","19.94301994","37.03703704","36.56220323","67.90123457"
"","","MZP2014GUR-AT01","","","","","","","","","MZP2014GUR-AT01-00034","","","","39","23","1","1","7","26","23","18","36","6.5","7.9","23.5","4","3","3","3","1","7","3","5","14.4","37.9","54","0.361111111","0.219444444","0.266666667","2.076923077","1.384615385","0.692307692","0.461538462","0.553846154","0.369230769","0.903846154","0.602564103","33.33333333","37.99472296","66.66666667","6.172839506","9.259259259","13.67521368","20.51282051","22.31718898","33.47578348","35.99240266","53.98860399"
"","","MZP2014GUR-AT01","","","","","","","","","MZP2014GUR-AT01-00035","","","","39","30","1","1","5","28","23","12","19","3.3","6.7","20.3","5","5","5","3","1","5","5","3","10","30.3","31","0.275","0.352631579","0.322580645","1.107142857","0.794871795","0.428571429","0.307692308","0.357142857","0.256410256","0.725","0.520512821","38.70967742","33.00330033","71.79487179","3.133903134","4.365079365","9.496676163","13.22751323","19.27825261","26.85185185","28.77492877","40.07936508"
"","","MZP2014GUR-AT01","","","","","","","","","MZP2014GUR-AT01-00036","","","","39","31","1","1","7","30","30","15","25","5","9","19.5","4","3","3","3","1","7","3","5","14","33.5","40","0.333333333","0.36","0.35","1.333333333","1.025641026","0.5","0.384615385","0.466666667","0.358974359","0.65","0.5","37.5","41.79104478","76.92307692","4.748338082","6.172839506","13.29534663","17.28395062","18.51851852","24.07407407","31.81386515","41.35802469"
"","","MZP2014GUR-AT01","","","","","","","","","MZP2014GUR-AT01-00037","","","","39","32","1","1","5","31","31","24","37","8.5","11.5","24.5","2","3","3","3","1","5","5","3","20","44.5","61","0.354166667","0.310810811","0.327868852","1.967741935","1.564102564","0.774193548","0.615384615","0.64516129","0.512820513","0.790322581","0.628205128","39.3442623","44.94382022","79.48717949","8.072174739","10.15531661","18.99335233","23.8948626","23.2668566","29.27120669","42.26020893","53.1660693"
"","","MZP2014GUR-AT01","","","","","","","","","MZP2014GUR-AT01-00038","","","","39","29","1","1","5","24","24","31","41","9.5","10","11","4","3","3","3","1","7","5","5","19.5","30.5","72","0.306451613","0.243902439","0.270833333","3","1.846153846","1.291666667","0.794871795","0.8125","0.5","0.458333333","0.282051282","43.05555556","63.93442623","61.53846154","9.021842355","14.66049383","18.51851852","30.09259259","10.44634378","16.97530864","28.9648623","47.06790123"
"","","MZP2014GUR-AT01","","","","","","","","","MZP2014GUR-AT01-00039","","","","39","30","1","1","5","28","28","25","38","8.5","9","12.5","5","3","3","3","1","7","5","3","17.5","30","63","0.34","0.236842105","0.277777778","2.25","1.615384615","0.892857143","0.641025641","0.625","0.448717949","0.446428571","0.320512821","39.68253968","58.33333333","71.79487179","8.072174739","11.24338624","16.61918329","23.14814815","11.8708452","16.53439153","28.49002849","39.68253968"
"","","MZP2014GUR-AT01","","","","","","","","","MZP2014GUR-AT01-00040","","","","39","33","1","1","7","26","26","19","33","6.5","7.8","13.7","6","3","3","3","1","7","5","5","14.3","28","52","0.342105263","0.236363636","0.275","2","1.333333333","0.730769231","0.487179487","0.55","0.366666667","0.526923077","0.351282051","36.53846154","51.07142857","66.66666667","6.172839506","9.259259259","13.58024691","20.37037037","13.01044634","19.51566952","26.59069326","39.88603989"
"","","MZP2014GUR-AT01","","","","","","","","","MZP2014GUR-AT01-00041","","","","39","30","5","9","5","21","21","11","14","3","3.6","23","6","3","3","3","1","7","5","3","6.6","29.6","25","0.272727273","0.257142857","0.264","1.19047619","0.641025641","0.523809524","0.282051282","0.314285714","0.169230769","1.095238095","0.58974359","44","22.2972973","53.84615385","2.849002849","5.291005291","6.267806268","11.64021164","21.84235518","40.5643739","28.11016144","52.20458554"
