"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Alternaria symptoms estimating 1-9|CO_331:0000198","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Fresh weight of storage root samples measuring g|CO_331:0000243","Dry weight of storage root samples measuring g|CO_331:0000247","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Storage root sweetness in cooked samples estimating 1-9|CO_331:0000261","Storage root texture in boiled samples estimating 1-9 by Gruneberg|CO_331:0000265","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of calcium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001029","Content of magnesium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001030","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of total carotenoids in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000290","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Content of maltose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001051","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2013UMB-AT06","","","","","","","","","MZP2013UMB-AT06-00032","","","","26","21","3","3","6","1","1","14","12","19","24","4","2.5","9","3","1","2","50.8","13.7","1","5","7","3","2.06","1.44","0.91","158.08","118.08","3.53","10.5","59.76","8.97","12.14","1.6","0.24","6.5","15.5","43","0.210526316","0.104166667","0.151162791","3.071428571","1.653846154","1.357142857","0.730769231","0.464285714","0.25","0.642857143","0.346153846","44.18604651","41.93548387","53.84615385","26.96850394","1.752952756","5.698005698","10.58201058","9.259259259","17.1957672","12.82051282","23.80952381","2.497083698","4.637441153","22.07977208","41.00529101"
"","","MZP2013UMB-AT06","","","","","","","","","MZP2013UMB-AT06-00033","","","","26","8","9","9","3","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","MZP2013UMB-AT06","","","","","","","","","MZP2013UMB-AT06-00034","","","","26","9","7","7","3","1","1","3","3","4","0","1.2","0","1","3","1","1","50.6","16.4","1","7","9","1","3.21","1.15","0.9","30.89","65.6","","6.12","70.1","2.49","3.8","3.65","","1.2","2.2","4","0.3","","0.3","1.333333333","0.153846154","1.333333333","0.153846154","0.4","0.046153846","0.333333333","0.038461538","100","54.54545455","11.53846154","32.41106719","0.388932806","1.709401709","14.81481481","1.709401709","14.81481481","1.424501425","12.34567901","0.554035337","4.801639584","3.133903134","27.16049383"
"","","MZP2013UMB-AT06","","","","","","","","","MZP2013UMB-AT06-00035","","","","26","21","1","1","6","1","1","13","13","30","24","8","2","9","1","1","2","","","1","3","9","5","","","","","","","","","","","","","10","19","54","0.266666667","0.083333333","0.185185185","4.153846154","2.076923077","2.307692308","1.153846154","0.769230769","0.384615385","0.692307692","0.346153846","55.55555556","52.63157895","50","","","11.3960114","22.79202279","14.24501425","28.49002849","12.82051282","25.64102564","","","27.06552707","54.13105413"
"","","MZP2013UMB-AT06","","","","","","","","","MZP2013UMB-AT06-00036","","","","26","20","4","4","7","1","1","15","11","18","73","3","4","16","7","3","2","50.1","15.4","1","7","7","1","3.17","1.6","0.85","85.22","79.39","34.42","14.37","60.31","5.53","7.3","6.54","1.07","7","23","91","0.166666667","0.054794521","0.076923077","6.066666667","3.5","1.2","0.692307692","0.466666667","0.269230769","1.066666667","0.615384615","19.78021978","30.43478261","57.69230769","30.73852295","2.151696607","4.273504274","7.407407407","9.971509972","17.28395062","22.79202279","39.50617284","3.065094881","5.312831128","32.76353276","56.79012346"
"","","MZP2013UMB-AT06","","","","","","","","","MZP2013UMB-AT06-00037","","","","26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","MZP2013UMB-AT06","","","","","","","","","MZP2013UMB-AT06-00038","","","","26","20","3","3","7","1","1","13","13","22","12","5.5","1.8","8","1","1","1","","","1","7","9","1","","","","","","","","","","","","","7.3","15.3","34","0.25","0.15","0.214705882","2.615384615","1.307692308","1.692307692","0.846153846","0.561538462","0.280769231","0.615384615","0.307692308","64.70588235","47.7124183","50","","","7.834757835","15.66951567","10.3988604","20.7977208","11.3960114","22.79202279","","","21.79487179","43.58974359"
"","","MZP2013UMB-AT06","","","","","","","","","MZP2013UMB-AT06-00039","","","","26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","MZP2013UMB-AT06","","","","","","","","","MZP2013UMB-AT06-00040","","","","26","13","2","2","6","1","1","12","8","18","6","2.4","0.2","20","1","5","2","50.7","13.8","1","6","5","1","3.86","1.65","1.01","92.61","74.29","41.46","1.76","56.2","6.12","8.45","10.53","0.69","2.6","22.6","24","0.133333333","0.033333333","0.108333333","2","0.923076923","1.5","0.692307692","0.216666667","0.1","1.666666667","0.769230769","75","11.50442478","46.15384615","27.21893491","0.707692308","3.418803419","7.407407407","3.703703704","8.024691358","28.49002849","61.72839506","1.0081087","2.184235518","32.19373219","69.75308642"
"","","MZP2013UMB-AT06","","","","","","","","","MZP2013UMB-AT06-00041","","","","26","22","5","5","6","1","1","10","10","37","24","7","2","8","1","3","3","50.5","11.2","1","5","3","5","3.88","1.95","1.22","193.35","106.09","41.72","7.23","52.11","8.05","10.94","8.14","1.14","9","17","61","0.189189189","0.083333333","0.147540984","6.1","2.346153846","3.7","1.423076923","0.9","0.346153846","0.8","0.307692308","60.6557377","52.94117647","38.46153846","22.17821782","1.996039604","9.971509972","25.92592593","12.82051282","33.33333333","11.3960114","29.62962963","2.843361259","7.392739274","24.21652422","62.96296296"
