"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Fresh weight of storage root samples measuring g|CO_331:0000243","Dry weight of storage root samples measuring g|CO_331:0000247","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2011GUR-PT01","","","","","","","","","MZP2011GUR-PT01-00011","","","","26","21","1","3","5","21","21","6","81","1.4","4","3","6","5","5","7","","","","","","","","","","","5.4","8.4","87","0.233333333","0.049382716","0.062068966","4.142857143","3.346153846","0.285714286","0.230769231","0.257142857","0.207692308","0.142857143","0.115384615","6.896551724","64.28571429","80.76923077","","","1.994301994","2.469135802","7.692307692","9.523809524","4.273504274","5.291005291","","","11.96581197","14.81481481"
"","","MZP2011GUR-PT01","","","","","","","","","MZP2011GUR-PT01-00012","","","","26","13","1","3","5","13","13","4","32","1","3","8.5","8","5","3","3","50.6","16.9","4.12","1.72","0.98","61.621","64.37","2.43","4","7.94","4","12.5","36","0.25","0.09375","0.111111111","2.769230769","1.384615385","0.307692308","0.153846154","0.307692308","0.153846154","0.653846154","0.326923077","11.11111111","32","50","33.39920949","1.335968379","1.424501425","2.849002849","5.698005698","11.3960114","12.10826211","24.21652422","1.90308886","3.806177719","17.80626781","35.61253561"
"","","MZP2011GUR-PT01","","","","","","","","","MZP2011GUR-PT01-00013","","","","26","21","1","1","5","21","20","0","37","0","3.4","2.5","6","5","3","5","48.9","17.2","6.14","1.78","1.27","84.854","63.22","1.7","2.95","6.69","3.4","5.9","37","","0.091891892","0.091891892","1.761904762","1.423076923","0","0","0.161904762","0.130769231","0.119047619","0.096153846","0","57.62711864","80.76923077","35.17382413","1.19591002","0","0","4.843304843","5.996472663","3.561253561","4.409171076","1.703575528","2.109188749","8.404558405","10.40564374"
"","","MZP2011GUR-PT01","","","","","","","","","MZP2011GUR-PT01-00014","","","","26","21","1","3","5","21","4","0","5","0","0.4","3.5","8","9","7","3","","","","","","","","","","","0.4","3.9","5","","0.08","0.08","0.238095238","0.192307692","0","0","0.019047619","0.015384615","0.166666667","0.134615385","0","10.25641026","80.76923077","","","0","0","0.56980057","0.705467372","4.985754986","6.172839506","","","5.555555556","6.878306878"
"","","MZP2011GUR-PT01","","","","","","","","","MZP2011GUR-PT01-00015","","","","26","24","1","1","5","24","20","0","31","0","3","4","8","5","5","7","21.2","6.8","6.1","2.02","1.2","14.061","63.03","1.93","3.04","9.11","3","7","31","","0.096774194","0.096774194","1.291666667","1.192307692","0","0","0.125","0.115384615","0.166666667","0.153846154","0","42.85714286","92.30769231","32.0754717","0.962264151","0","0","4.273504274","4.62962963","5.698005698","6.172839506","1.370746654","1.484975542","9.971509972","10.80246914"
"","","MZP2011GUR-PT01","","","","","","","","","MZP2011GUR-PT01-00016","","","","26","19","1","1","5","19","19","5","110","1.2","10.5","5.6","5","5","3","5","50.7","19.2","4.22","1.84","1.37","58.42","67.92","1.24","2.66","3.23","11.7","17.3","115","0.24","0.095454545","0.10173913","6.052631579","4.423076923","0.263157895","0.192307692","0.615789474","0.45","0.294736842","0.215384615","4.347826087","67.6300578","73.07692308","37.86982249","4.430769231","1.709401709","2.339181287","16.66666667","22.80701754","7.977207977","10.91617934","6.311637081","8.636977058","24.64387464","33.72319688"
"","","MZP2011GUR-PT01","","","","","","","","","MZP2011GUR-PT01-00017","","","","26","21","1","1","5","21","21","0","59","0","5","5.5","8","5","5","3","46.7","17.3","5.33","1.76","1.16","140.583","62.91","1.3","2.64","8.69","5","10.5","59","","0.084745763","0.084745763","2.80952381","2.269230769","0","0","0.238095238","0.192307692","0.261904762","0.211538462","0","47.61904762","80.76923077","37.04496788","1.852248394","0","0","7.122507123","8.818342152","7.834757835","9.700176367","2.638530476","3.266752018","14.95726496","18.51851852"
"","","MZP2011GUR-PT01","","","","","","","","","MZP2011GUR-PT01-00018","","","","26","22","1","1","7","22","20","2","103","0.3","11.8","5.8","4","3","3","5","50.9","8.4","5.28","2.77","1.74","50.346","33.24","7.73","11.14","20.72","12.1","17.9","105","0.15","0.114563107","0.115238095","4.772727273","4.038461538","0.090909091","0.076923077","0.55","0.465384615","0.263636364","0.223076923","1.904761905","67.59776536","84.61538462","16.50294695","1.996856582","0.427350427","0.505050505","17.23646724","20.37037037","8.262108262","9.764309764","2.844525045","3.361711417","25.4985755","30.13468013"
"","","MZP2011GUR-PT01","","","","","","","","","MZP2011GUR-PT01-00019","","","","26","17","1","1","5","17","17","0","65","0","10","4.5","2","5","5","7","49.1","9.5","6.84","3.08","1.96","60.953","31.34","3.35","6.06","31.82","10","14.5","65","","0.153846154","0.153846154","3.823529412","2.5","0","0","0.588235294","0.384615385","0.264705882","0.173076923","0","68.96551724","65.38461538","19.34826884","1.934826884","0","0","14.24501425","21.78649237","6.41025641","9.803921569","2.756163652","4.215309115","20.65527066","31.59041394"
"","","MZP2011GUR-PT01","","","","","","","","","MZP2011GUR-PT01-00020","","","","26","24","1","1","5","24","20","0","23","0","2","8","6","5","7","3","28.9","10.2","6.25","2.18","1.49","107.44","64.91","1.19","2.53","7.88","2","10","23","","0.086956522","0.086956522","0.958333333","0.884615385","0","0","0.083333333","0.076923077","0.333333333","0.307692308","0","20","92.30769231","35.29411765","0.705882353","0","0","2.849002849","3.086419753","11.3960114","12.34567901","1.005530417","1.089324619","14.24501425","15.43209877"
"","","MZP2011GUR-PT01","","","","","","","","","MZP2011GUR-PT01-00021","","","","26","15","1","1","5","15","15","0","59","0","8.5","2.5","5","3","3","3","51","12.8","5.07","2.32","1.42","35.05","57.03","2.22","3.37","12.3","8.5","11","59","","0.144067797","0.144067797","3.933333333","2.269230769","0","0","0.566666667","0.326923077","0.166666667","0.096153846","0","77.27272727","57.69230769","25.09803922","2.133333333","0","0","12.10826211","20.98765432","3.561253561","6.172839506","3.038936372","5.267489712","15.66951567","27.16049383"
"","","MZP2011GUR-PT01","","","","","","","","","MZP2011GUR-PT01-00022","","","","26","16","1","1","5","16","16","5","36","1.3","2.5","5.6","8","5","5","3","50.3","19.7","5.45","1.92","1.41","105.391","65.81","1.42","3.39","5.23","3.8","9.4","41","0.26","0.069444444","0.092682927","2.5625","1.576923077","0.3125","0.192307692","0.2375","0.146153846","0.35","0.215384615","12.19512195","40.42553191","61.53846154","39.16500994","1.488270378","1.851851852","3.009259259","5.413105413","8.796296296","7.977207977","12.96296296","2.120043273","3.445070319","13.39031339","21.75925926"
"","","MZP2011GUR-PT01","","","","","","","","","MZP2011GUR-PT01-00023","","","","26","16","1","1","5","16","15","0","20","0","3","5.6","2","5","5","7","28.3","10.4","4.61","2.03","1.18","19.508","68.68","0.98","2.2","6.29","3","8.6","20","","0.15","0.15","1.25","0.769230769","0","0","0.1875","0.115384615","0.35","0.215384615","0","34.88372093","61.53846154","36.74911661","1.102473498","0","0","4.273504274","6.944444444","7.977207977","12.96296296","1.570475069","2.552021987","12.25071225","19.90740741"
"","","MZP2011GUR-PT01","","","","","","","","","MZP2011GUR-PT01-00024","","","","26","10","1","1","5","10","2","0","3","0","0.2","3","8","9","7","1","","","","","","","","","","","0.2","3.2","3","","0.066666667","0.066666667","0.3","0.115384615","0","0","0.02","0.007692308","0.3","0.115384615","0","6.25","38.46153846","","","0","0","0.284900285","0.740740741","4.273504274","11.11111111","","","4.558404558","11.85185185"
"","","MZP2011GUR-PT01","","","","","","","","","MZP2011GUR-PT01-00025","","","","26","20","1","1","5","20","20","10","93","2","11","4.5","2","3","3","3","35.9","9.5","5.22","2.31","1.42","17.173","57.17","2.54","4.36","12.95","13","17.5","103","0.2","0.11827957","0.126213592","5.15","3.961538462","0.5","0.384615385","0.65","0.5","0.225","0.173076923","9.708737864","74.28571429","76.92307692","26.46239554","3.440111421","2.849002849","3.703703704","18.51851852","24.07407407","6.41025641","8.333333333","4.900443619","6.370576705","24.92877493","32.40740741"
"","","MZP2011GUR-PT01","","","","","","","","","MZP2011GUR-PT01-00026","","","","26","22","1","1","5","22","22","5","55","1.1","3","5.6","6","5","5","5","50.1","16.6","5.49","2.06","1.52","2.526","67.28","1.19","2.71","3.36","4.1","9.7","60","0.22","0.054545455","0.068333333","2.727272727","2.307692308","0.227272727","0.192307692","0.186363636","0.157692308","0.254545455","0.215384615","8.333333333","42.26804124","84.61538462","33.13373253","1.358483034","1.566951567","1.851851852","5.84045584","6.902356902","7.977207977","9.427609428","1.935161017","2.287008475","13.81766382","16.32996633"
"","","MZP2011GUR-PT01","","","","","","","","","MZP2011GUR-PT01-00027","","","","26","16","1","1","5","16","16","5","22","1.2","2","4.5","9","3","3","3","50.2","18.6","6.71","1.99","1.36","61.429","67.13","1.37","3.18","4.05","3.2","7.7","27","0.24","0.090909091","0.118518519","1.6875","1.038461538","0.3125","0.192307692","0.2","0.123076923","0.28125","0.173076923","18.51851852","41.55844156","61.53846154","37.05179283","1.185657371","1.709401709","2.777777778","4.558404558","7.407407407","6.41025641","10.41666667","1.688970613","2.744577247","10.96866097","17.82407407"
"","","MZP2011GUR-PT01","","","","","","","","","MZP2011GUR-PT01-00028","","","","26","7","1","1","3","7","5","0","9","0","0.8","2","9","7","5","5","19.2","5.9","2.41","1.45","0.74","165.344","61.41","2.08","2.91","11.75","0.8","2.8","9","","0.088888889","0.088888889","1.285714286","0.346153846","0","0","0.114285714","0.030769231","0.285714286","0.076923077","0","28.57142857","26.92307692","30.72916667","0.245833333","0","0","1.13960114","4.232804233","2.849002849","10.58201058","0.350189934","1.300705467","3.988603989","14.81481481"
"","","MZP2011GUR-PT01","","","","","","","","","MZP2011GUR-PT01-00029","","","","26","17","1","1","3","17","17","0","80","0","4","4","4","9","7","9","17.7","4.8","4.78","2.3","1.45","24.637","58.53","1.8","2.89","13.01","4","8","80","","0.05","0.05","4.705882353","3.076923077","0","0","0.235294118","0.153846154","0.235294118","0.153846154","0","50","65.38461538","27.11864407","1.084745763","0","0","5.698005698","8.71459695","5.698005698","8.71459695","1.545221884","2.363280529","11.3960114","17.4291939"
"","","MZP2011GUR-PT01","","","","","","","","","MZP2011GUR-PT01-00030","","","","26","16","1","1","5","16","12","0","13","0","1.4","3","9","7","5","5","18.5","8.1","5.72","1.84","1.1","87.287","71.99","1.25","2.13","3.98","1.4","4.4","13","","0.107692308","0.107692308","0.8125","0.5","0","0","0.0875","0.053846154","0.1875","0.115384615","0","31.81818182","61.53846154","43.78378378","0.612972973","0","0","1.994301994","3.240740741","4.273504274","6.944444444","0.873180873","1.418918919","6.267806268","10.18518519"
"","","MZP2011GUR-PT01","","","","","","","","","MZP2011GUR-PT01-00031","","","","26","17","1","1","5","17","15","0","18","0","2","4","7","5","5","5","22.4","6.7","8","2.59","1.73","53.648","61.95","1.93","3.04","4.72","2","6","18","","0.111111111","0.111111111","1.058823529","0.692307692","0","0","0.117647059","0.076923077","0.235294118","0.153846154","0","33.33333333","65.38461538","29.91071429","0.598214286","0","0","2.849002849","4.357298475","5.698005698","8.71459695","0.852157102","1.303299097","8.547008547","13.07189542"
"","","MZP2011GUR-PT01","","","","","","","","","MZP2011GUR-PT01-00032","","","","26","25","1","1","5","25","9","0","10","0","0.6","5","8","7","7","9","","","","","","","","","","","0.6","5.6","10","","0.06","0.06","0.4","0.384615385","0","0","0.024","0.023076923","0.2","0.192307692","0","10.71428571","96.15384615","","","0","0","0.854700855","0.888888889","7.122507123","7.407407407","","","7.977207977","8.296296296"
"","","MZP2011GUR-PT01","","","","","","","","","MZP2011GUR-PT01-00033","","","","26","26","1","1","5","26","25","0","40","0","3","3.5","1","5","5","9","18.9","6.4","5.69","2.04","1.15","7.197","62.58","1.26","2.15","11.56","3","6.5","40","","0.075","0.075","1.538461538","1.538461538","0","0","0.115384615","0.115384615","0.134615385","0.134615385","0","46.15384615","100","33.86243386","1.015873016","0","0","4.273504274","4.273504274","4.985754986","4.985754986","1.447112558","1.447112558","9.259259259","9.259259259"
"","","MZP2011GUR-PT01","","","","","","","","","MZP2011GUR-PT01-00034","","","","26","20","1","1","7","20","20","0","41","0","6","10","7","3","3","5","","","","","","","","","","","6","16","41","","0.146341463","0.146341463","2.05","1.576923077","0","0","0.3","0.230769231","0.5","0.384615385","0","37.5","76.92307692","","","0","0","8.547008547","11.11111111","14.24501425","18.51851852","","","22.79202279","29.62962963"
"","","MZP2011GUR-PT01","","","","","","","","","MZP2011GUR-PT01-00035","","","","26","19","3","7","7","19","19","2","28","0.2","2.5","5.5","8","5","5","5","50.2","12.4","7.85","2.73","1.77","134.128","50.81","5.01","7.75","7.16","2.7","8.2","30","0.1","0.089285714","0.09","1.578947368","1.153846154","0.105263158","0.076923077","0.142105263","0.103846154","0.289473684","0.211538462","6.666666667","32.92682927","73.07692308","24.70119522","0.666932271","0.284900285","0.389863548","3.846153846","5.263157895","7.834757835","10.72124756","0.95004597","1.300062906","11.68091168","15.98440546"
"","","MZP2011GUR-PT01","","","","","","","","","MZP2011GUR-PT01-00036","","","","26","19","1","1","5","19","19","5","42","1.1","4","4","6","3","5","5","50.4","10.3","4.15","2.11","1.34","74.216","49.71","3.61","4.95","15.75","5.1","9.1","47","0.22","0.095238095","0.108510638","2.473684211","1.807692308","0.263157895","0.192307692","0.268421053","0.196153846","0.210526316","0.153846154","10.63829787","56.04395604","73.07692308","20.43650794","1.042261905","1.566951567","2.144249513","7.264957265","9.941520468","5.698005698","7.797270955","1.484703568","2.031699619","12.96296296","17.73879142"
"","","MZP2011GUR-PT01","","","","","","","","","MZP2011GUR-PT01-00037","","","","26","24","1","1","7","24","24","6","30","1.3","3","6","9","5","5","5","","","","","","","","","","","4.3","10.3","36","0.216666667","0.1","0.119444444","1.5","1.384615385","0.25","0.230769231","0.179166667","0.165384615","0.25","0.230769231","16.66666667","41.74757282","92.30769231","","","1.851851852","2.00617284","6.125356125","6.635802469","8.547008547","9.259259259","","","14.67236467","15.89506173"
"","","MZP2011GUR-PT01","","","","","","","","","MZP2011GUR-PT01-00038","","","","26","13","1","1","5","13","13","0","42","0","6.5","3","7","3","3","5","43.5","7.9","7.82","3.06","1.92","119.162","33.3","4.14","6.6","25.99","6.5","9.5","42","","0.154761905","0.154761905","3.230769231","1.615384615","0","0","0.5","0.25","0.230769231","0.115384615","0","68.42105263","50","18.16091954","1.18045977","0","0","9.259259259","18.51851852","4.273504274","8.547008547","1.681566624","3.363133248","13.53276353","27.06552707"
"","","MZP2011GUR-PT01","","","","","","","","","MZP2011GUR-PT01-00039","","","","26","16","5","5","7","16","15","0","17","0","1.1","11.5","4","7","5","5","33.2","7.4","8.86","3.44","2.23","60.954","36.33","2.25","4.87","25.74","1.1","12.6","17","","0.064705882","0.064705882","1.0625","0.653846154","0","0","0.06875","0.042307692","0.71875","0.442307692","0","8.73015873","61.53846154","22.28915663","0.245180723","0","0","1.566951567","2.546296296","16.38176638","26.62037037","0.349260289","0.56754797","17.94871795","29.16666667"
"","","MZP2011GUR-PT01","","","","","","","","","MZP2011GUR-PT01-00040","","","","26","23","1","1","7","23","1","0","2","0","0.2","15.4","8","7","7","9","","","","","","","","","","","0.2","15.6","2","","0.1","0.1","0.086956522","0.076923077","0","0","0.008695652","0.007692308","0.669565217","0.592307692","0","1.282051282","88.46153846","","","0","0","0.284900285","0.322061192","21.93732194","24.79871176","","","22.22222222","25.12077295"
"","","MZP2011GUR-PT01","","","","","","","","","MZP2011GUR-PT01-00041","","","","26","25","1","1","7","25","10","0","16","0","1.4","5.5","9","5","5","7","21.8","6.6","6.45","2.54","1.6","78.991","51.36","2.46","4.09","14.91","1.4","6.9","16","","0.0875","0.0875","0.64","0.615384615","0","0","0.056","0.053846154","0.22","0.211538462","0","20.28985507","96.15384615","30.27522936","0.423853211","0","0","1.994301994","2.074074074","7.834757835","8.148148148","0.603779503","0.627930683","9.829059829","10.22222222"
"","","MZP2011GUR-PT01","","","","","","","","","MZP2011GUR-PT01-00042","","","","26","13","1","1","3","13","10","0","25","0","3","2","4","5","5","7","48.6","9","7.98","3.14","1.86","60.137","37.12","4.79","7.06","22.61","3","5","25","","0.12","0.12","1.923076923","0.961538462","0","0","0.230769231","0.115384615","0.153846154","0.076923077","0","60","50","18.51851852","0.555555556","0","0","4.273504274","8.547008547","2.849002849","5.698005698","0.79138968","1.582779361","7.122507123","14.24501425"
"","","MZP2011GUR-PT01","","","","","","","","","MZP2011GUR-PT01-00043","","","","26","5","1","1","3","5","3","0","4","0","0.2","2","9","9","7","1","","","","","","","","","","","0.2","2.2","4","","0.05","0.05","0.8","0.153846154","0","0","0.04","0.007692308","0.4","0.076923077","0","9.090909091","19.23076923","","","0","0","0.284900285","1.481481481","2.849002849","14.81481481","","","3.133903134","16.2962963"
