"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Storage root size estimating 1-9|CO_331:0000184","Storage root dry matter content computing percent|CO_331:0000297","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2016UMB-ST01","","","","","","","","","MZP2016UMB-ST01-00057","","","","90","23","16","14","20","2.3","1.7","20","5","5","23.12","1.36","51.92","0.74","17.39","4","24","34","0.164285714","0.085","0.117647059","1.47826087","0.377777778","0.608695652","0.155555556","0.173913043","0.044444444","0.869565217","0.222222222","41.17647059","16.66666667","25.55555556","0.9248","0.946502058","3.703703704","1.646090535","6.441223833","8.230452675","32.20611916","0.380576132","1.48921095","9.87654321","38.647343"
"","","MZP2016UMB-ST01","","","","","","","","","MZP2016UMB-ST01-00013","","","","90","36","13","3","18","0.2","0.6","21.7","3","5","25.03","1.52","51.72","1.1","13.93","0.8","22.5","21","0.066666667","0.033333333","0.038095238","0.583333333","0.233333333","0.083333333","0.033333333","0.022222222","0.008888889","0.602777778","0.241111111","14.28571429","3.555555556","40","0.20024","0.082304527","0.205761317","0.329218107","0.823045267","8.930041152","22.32510288","0.082403292","0.20600823","9.259259259","23.14814815"
"","","MZP2016UMB-ST01","","","","","","","","","MZP2016UMB-ST01-00048","","","","90","38","22","26","43","4.8","1","39.6","5","5","24.79","1.54","56.85","1.15","1.61","5.8","45.4","69","0.184615385","0.023255814","0.084057971","1.815789474","0.766666667","0.684210526","0.288888889","0.152631579","0.064444444","1.042105263","0.44","37.68115942","12.7753304","42.22222222","1.43782","1.975308642","4.678362573","2.386831276","5.653021442","16.2962963","38.59649123","0.591695473","1.401384016","18.68312757","44.24951267"
"","","MZP2016UMB-ST01","","","","","","","","","MZP2016UMB-ST01-00029","","","","90","58","58","100","90","29.8","10.2","85.4","1","3","29.57","1.65","54.66","0.89","19.42","40","125.4","190","0.298","0.113333333","0.210526316","3.275862069","2.111111111","1.724137931","1.111111111","0.689655172","0.444444444","1.472413793","0.948888889","52.63157895","31.89792663","64.44444444","11.828","12.26337449","19.0293742","16.46090535","25.54278416","35.14403292","54.53384419","4.867489712","7.553001277","51.60493827","80.07662835"
"","","MZP2016UMB-ST01","","","","","","","","","MZP2016UMB-ST01-00041","","","","90","25","25","20","53","3.4","3","24.2","1","1","29.5","1.49","62.81","1","20.36","6.4","30.6","73","0.17","0.056603774","0.087671233","2.92","0.811111111","0.8","0.222222222","0.256","0.071111111","0.968","0.268888889","27.39726027","20.91503268","27.77777778","1.888","1.399176955","5.037037037","2.633744856","9.481481481","9.958847737","35.85185185","0.776954733","2.797037037","12.59259259","45.33333333"
"","","MZP2016UMB-ST01","","","","","","","","","MZP2016UMB-ST01-00020","","","","90","39","37","23","78","4.2","6.3","42.4","1","3","36.02","1.48","61.41","0.85","9.97","10.5","52.9","101","0.182608696","0.080769231","0.103960396","2.58974359","1.122222222","0.58974359","0.255555556","0.269230769","0.116666667","1.087179487","0.471111111","22.77227723","19.84877127","43.33333333","3.7821","1.728395062","3.988603989","4.320987654","9.971509972","17.44855967","40.26590693","1.556419753","3.591737892","21.76954733","50.2374169"
"","","MZP2016UMB-ST01","","","","","","","","","MZP2016UMB-ST01-00054","","","","90","39","38","40","135","9.4","8.7","39.7","1","5","35.99","1.48","67.25","1.02","16.46","18.1","57.8","175","0.235","0.064444444","0.103428571","4.487179487","1.944444444","1.025641026","0.444444444","0.464102564","0.201111111","1.017948718","0.441111111","22.85714286","31.31487889","43.33333333","6.51419","3.868312757","8.926875594","7.448559671","17.18898386","16.33744856","37.70180437","2.680736626","6.18631529","23.78600823","54.89078822"
"","","MZP2016UMB-ST01","","","","","","","","","MZP2016UMB-ST01-00008","","","","90","28","25","52","98","10.2","2.1","52.8","1","3","27.11","1.47","57.88","0.82","8.3","12.3","65.1","150","0.196153846","0.021428571","0.082","5.357142857","1.666666667","1.857142857","0.577777778","0.439285714","0.136666667","1.885714286","0.586666667","34.66666667","18.89400922","31.11111111","3.33453","4.197530864","13.49206349","5.061728395","16.26984127","21.72839506","69.84126984","1.372234568","4.410753968","26.79012346","86.11111111"
"","","MZP2016UMB-ST01","","","","","","","","","MZP2016UMB-ST01-00042","","","","90","32","32","66","80","15.2","2.1","22.7","3","3","31.68","1.42","65.92","0.82","14.5","17.3","40","146","0.23030303","0.02625","0.118493151","4.5625","1.622222222","2.0625","0.733333333","0.540625","0.192222222","0.709375","0.252222222","45.20547945","43.25","35.55555556","5.48064","6.255144033","17.59259259","7.119341564","20.02314815","9.341563786","26.27314815","2.255407407","6.343333333","16.46090535","46.2962963"
"","","MZP2016UMB-ST01","","","","","","","","","MZP2016UMB-ST01-00018","","","","90","56","55","56","98","27.9","9.2","85.1","1","3","29.02","1.42","53.5","0.76","10.63","37.1","122.2","154","0.498214286","0.093877551","0.240909091","2.75","1.711111111","1","0.622222222","0.6625","0.412222222","1.519642857","0.945555556","36.36363636","30.36006547","62.22222222","10.76642","11.48148148","18.45238095","15.26748971","24.53703704","35.02057613","56.28306878","4.430625514","7.120648148","50.28806584","80.82010582"
