"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Weight of vines per NET plot in kg|CO_331:0000227","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Storage root dry matter content computing percent|CO_331:0000297","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Content of total sugars estimating 1-9|CO_331:0000766","Content of starch in raw storage roots estimating 1-9|CO_331:0001055","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2010UMB-AT03","","","","","","","","","MZP2010UMB-AT03-00021","","","","39","37","1","1","9","15","18","8","11","8","2","0.3","4","4","5","30.65","5","2","3","3","2.3","17.3","19","0.181818182","0.0375","0.121052632","1.055555556","0.487179487","0.611111111","0.282051282","0.127777778","0.058974359","0.833333333","0.384615385","57.89473684","13.29479769","46.15384615","0.70495","1.899335233","4.115226337","2.184235518","4.732510288","14.24501425","30.86419753","0.669468186","1.450514403","16.42924976","35.59670782"
"","","MZP2010UMB-AT03","","","","","","","","","MZP2010UMB-AT03-00022","","","","39","30","1","1","9","11.5","13","7","13","5","1.6","0.3","3","4","4","30.05","5","2","3","4","1.9","13.4","18","0.123076923","0.06","0.105555556","1.384615385","0.461538462","1","0.333333333","0.146153846","0.048717949","0.884615385","0.294871795","72.22222222","14.17910448","33.33333333","0.57095","1.519468186","4.558404558","1.804368471","5.413105413","10.92117759","32.76353276","0.542212726","1.626638177","12.72554606","38.17663818"
"","","MZP2010UMB-AT03","","","","","","","","","MZP2010UMB-AT03-00023","","","","39","24","1","1","9","11","13","9","13","22","1","0.9","3","3","3","23.89","5","2","3","4","1.9","12.9","35","0.076923077","0.040909091","0.054285714","2.692307692","0.897435897","1","0.333333333","0.146153846","0.048717949","0.846153846","0.282051282","37.14285714","14.72868217","33.33333333","0.45391","0.949667616","2.849002849","1.804368471","5.413105413","10.44634378","31.33903134","0.431063628","1.293190883","12.25071225","36.75213675"
"","","MZP2010UMB-AT03","","","","","","","","","MZP2010UMB-AT03-00024","","","","39","39","3","6","8","12","15","12","24","13","4","3.4","4","3","3","30.01","5","3","3","3","7.4","19.4","37","0.166666667","0.261538462","0.2","2.466666667","0.948717949","1.6","0.615384615","0.493333333","0.18974359","0.8","0.307692308","64.86486486","38.1443299","38.46153846","2.22074","3.798670465","9.87654321","7.027540361","18.27160494","11.3960114","29.62962963","2.108964862","5.483308642","18.42355176","47.90123457"
"","","MZP2010UMB-AT03","","","","","","","","","MZP2010UMB-AT03-00025","","","","39","33","2","4","9","16.3","21","21","33","45","5.2","3","3","4","4","30.55","5","4","2","2","8.2","24.5","78","0.157575758","0.066666667","0.105128205","3.714285714","2","1.571428571","0.846153846","0.39047619","0.21025641","0.776190476","0.417948718","42.30769231","33.46938776","53.84615385","2.5051","4.938271605","9.171075838","7.787274454","14.46208113","15.47958215","28.74779541","2.379012346","4.418165785","23.2668566","43.20987654"
"","","MZP2010UMB-AT03","","","","","","","","","MZP2010UMB-AT03-00026","","","","39","26","1","1","9","11","12","5","9","5","1","0.5","4","4","3","30.19","4","2","3","4","1.5","12.5","14","0.111111111","0.1","0.107142857","1.166666667","0.358974359","0.75","0.230769231","0.125","0.038461538","0.916666667","0.282051282","64.28571429","12","30.76923077","0.45285","0.949667616","3.086419753","1.424501425","4.62962963","10.44634378","33.95061728","0.43005698","1.397685185","11.8708452","38.58024691"
"","","MZP2010UMB-AT03","","","","","","","","","MZP2010UMB-AT03-00027","","","","39","35","1","1","7","10.2","18","13","28","29","5.4","5","4","4","3","30.09","5","2","4","4","10.4","20.6","57","0.192857143","0.172413793","0.18245614","3.166666667","1.461538462","1.555555556","0.717948718","0.577777778","0.266666667","0.566666667","0.261538462","49.12280702","50.48543689","46.15384615","3.12936","5.128205128","11.11111111","9.87654321","21.39917695","9.686609687","20.98765432","2.971851852","6.439012346","19.5631529","42.38683128"
"","","MZP2010UMB-AT03","","","","","","","","","MZP2010UMB-AT03-00028","","","","39","33","1","1","8","13","17","9","10","12","1.9","1.2","3","3","4","30.49","5","2","2","4","3.1","16.1","22","0.19","0.1","0.140909091","1.294117647","0.564102564","0.588235294","0.256410256","0.182352941","0.079487179","0.764705882","0.333333333","45.45454545","19.25465839","43.58974359","0.94519","1.804368471","4.139433551","2.943969611","6.753812636","12.34567901","28.32244009","0.897616334","2.059237473","15.28964862","35.07625272"
"","","MZP2010UMB-AT03","","","","","","","","","MZP2010UMB-AT03-00029","","","","39","39","1","1","9","25.1","21","16","23","35","2.8","2","4","4","5","30.08","5","2","3","3","4.8","29.9","58","0.12173913","0.057142857","0.082758621","2.761904762","1.487179487","1.095238095","0.58974359","0.228571429","0.123076923","1.195238095","0.643589744","39.65517241","16.05351171","53.84615385","1.44384","2.659069326","4.938271605","4.558404558","8.465608466","23.83665717","44.2680776","1.371168091","2.546455026","28.39506173","52.73368607"
"","","MZP2010UMB-AT03","","","","","","","","","MZP2010UMB-AT03-00030","","","","39","39","1","1","9","13.2","21","18","36","47","6.2","2","3","4","4","28.6","5","2","3","4","8.2","21.4","83","0.172222222","0.042553191","0.098795181","3.952380952","2.128205128","1.714285714","0.923076923","0.39047619","0.21025641","0.628571429","0.338461538","43.37349398","38.31775701","53.84615385","2.3452","5.887939221","10.93474427","7.787274454","14.46208113","12.53561254","23.28042328","2.227160494","4.136155203","20.32288699","37.74250441"
"","","MZP2010UMB-AT03","","","","","","","","","MZP2010UMB-AT03-00031","","","","39","36","1","1","9","11","23","21","37","41","4.5","3","4","4","5","28.77","5","2","4","4","7.5","18.5","78","0.121621622","0.073170732","0.096153846","3.391304348","2","1.608695652","0.948717949","0.326086957","0.192307692","0.47826087","0.282051282","47.43589744","40.54054054","58.97435897","2.15775","4.273504274","7.246376812","7.122507123","12.07729469","10.44634378","17.71336554","2.049145299","3.474637681","17.5688509","29.79066023"
"","","MZP2010UMB-AT03","","","","","","","","","MZP2010UMB-AT03-00032","","","","39","38","1","1","8","16.2","19","16","27","42","5.8","9","4","3","4","30.34","5","2","3","4","14.8","31","69","0.214814815","0.214285714","0.214492754","3.631578947","1.769230769","1.421052632","0.692307692","0.778947368","0.379487179","0.852631579","0.415384615","39.13043478","47.74193548","48.71794872","4.49032","5.508072175","11.30604288","14.05508072","28.84990253","15.38461538","31.57894737","4.264311491","8.753060429","29.43969611","60.4288499"
"","","MZP2010UMB-AT03","","","","","","","","","MZP2010UMB-AT03-00033","","","","39","36","3","6","9","13","17","12","24","55","2.5","2.2","4","4","5","30.43","2","2","3","4","4.7","17.7","79","0.104166667","0.04","0.059493671","4.647058824","2.025641026","1.411764706","0.615384615","0.276470588","0.120512821","0.764705882","0.333333333","30.37974684","26.55367232","43.58974359","1.43021","2.374169041","5.446623094","4.463437797","10.23965142","12.34567901","28.32244009","1.358224122","3.115925926","16.80911681","38.5620915"
"","","MZP2010UMB-AT03","","","","","","","","","MZP2010UMB-AT03-00034","","","","39","20","1","1","9","11","12","9","8","21","2","2.5","4","4","4","30.42","5","3","2","2","4.5","15.5","29","0.25","0.119047619","0.155172414","2.416666667","0.743589744","0.666666667","0.205128205","0.375","0.115384615","0.916666667","0.282051282","27.5862069","29.03225806","30.76923077","1.3689","1.899335233","6.172839506","4.273504274","13.88888889","10.44634378","33.95061728","1.3","4.225","14.71984805","47.83950617"
"","","MZP2010UMB-AT03","","","","","","","","","MZP2010UMB-AT03-00035","","","","39","22","1","1","7","10.7","11","8","10","13","2","1.2","4","4","4","26.66","5","2","4","4","3.2","13.9","23","0.2","0.092307692","0.139130435","2.090909091","0.58974359","0.909090909","0.256410256","0.290909091","0.082051282","0.972727273","0.274358974","43.47826087","23.02158273","28.20512821","0.85312","1.899335233","6.734006734","3.038936372","10.77441077","10.16144349","36.02693603","0.810180437","2.872457912","13.20037987","46.8013468"
"","","MZP2010UMB-AT03","","","","","","","","","MZP2010UMB-AT03-00036","","","","39","39","1","1","9","12.4","16","9","7","9","1.2","1","4","4","4","","","","","","2.2","14.6","16","0.171428571","0.111111111","0.1375","1","0.41025641","0.4375","0.179487179","0.1375","0.056410256","0.775","0.317948718","43.75","15.06849315","41.02564103","","1.13960114","2.777777778","2.089268756","5.092592593","11.77587844","28.7037037","","","13.8651472","33.7962963"
"","","MZP2010UMB-AT03","","","","","","","","","MZP2010UMB-AT03-00037","","","","39","37","1","1","9","19.5","19","10","14","6","3","0.5","4","4","5","30.93","5","2","4","4","3.5","23","20","0.214285714","0.083333333","0.175","1.052631579","0.512820513","0.736842105","0.358974359","0.184210526","0.08974359","1.026315789","0.5","70","15.2173913","48.71794872","1.08255","2.849002849","5.847953216","3.323836657","6.822612086","18.51851852","38.01169591","1.028062678","2.110233918","21.84235518","44.83430799"
"","","MZP2010UMB-AT03","","","","","","","","","MZP2010UMB-AT03-00038","","","","39","19","1","1","8","4.2","16","11","5","24","0.7","1","3","4","4","30.27","5","3","3","4","1.7","5.9","29","0.14","0.041666667","0.05862069","1.8125","0.743589744","0.3125","0.128205128","0.10625","0.043589744","0.2625","0.107692308","17.24137931","28.81355932","41.02564103","0.51459","0.664767331","1.62037037","1.614434948","3.935185185","3.988603989","9.722222222","0.488689459","1.191180556","5.603038936","13.65740741"
"","","MZP2010UMB-AT03","","","","","","","","","MZP2010UMB-AT03-00039","","","","39","29","1","1","8","8","21","19","39","80","5","3","3","4","3","30.54","2","4","2","2","8","16","119","0.128205128","0.0375","0.067226891","5.666666667","3.051282051","1.857142857","1","0.380952381","0.205128205","0.380952381","0.205128205","32.77310924","50","53.84615385","2.4432","4.748338082","8.818342152","7.597340931","14.10934744","7.597340931","14.10934744","2.32022792","4.308994709","15.19468186","28.21869489"
"","","MZP2010UMB-AT03","","","","","","","","","MZP2010UMB-AT03-00040","","","","39","38","1","1","9","10","24","22","121","78","10.2","2.3","3","4","4","30.41","5","3","3","3","12.5","22.5","199","0.084297521","0.029487179","0.06281407","8.291666667","5.102564103","5.041666667","3.102564103","0.520833333","0.320512821","0.416666667","0.256410256","60.8040201","55.55555556","61.53846154","3.80125","9.686609687","15.74074074","11.8708452","19.29012346","9.496676163","15.43209877","3.609924027","5.866126543","21.36752137","34.72222222"
"","","MZP2010UMB-AT03","","","","","","","","","MZP2010UMB-AT03-00041","","","","39","32","1","1","9","3.2","16","14","25","20","1.9","1","3","4","4","30.6","5","2","3","4","2.9","6.1","45","0.076","0.05","0.064444444","2.8125","1.153846154","1.5625","0.641025641","0.18125","0.074358974","0.2","0.082051282","55.55555556","47.54098361","41.02564103","0.8874","1.804368471","4.398148148","2.754036087","6.712962963","3.038936372","7.407407407","0.842735043","2.054166667","5.79297246","14.12037037"
