"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004","Number of storage roots after harvest per NET plot|CO_331:0000233","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Percentage of commercial storage root|CO_331:0000682","treatment_late_season_drought"
"","","MZP2019UMB-ST07","","","","","","","","","MZP2019UMB-ST07-00035","","","","75","57","3","1","47","29","41","49","11.7","3.9","42","3","3","5","15.6","57.6","0.285365854","0.872340426","0.546666667","0.331914894","0.208","0.893617021","0.56","27.08333333","62.66666667","5.777777778","9.219858156","7.703703704","12.29314421","20.74074074","33.09692671","28.44444444","45.39007092","90","0.079591837","0.173333333","1.914893617","1.2","45.55555556","1"
"","","MZP2019UMB-ST07","","","","","","","","","MZP2019UMB-ST07-00036","","","","75","60","1","1","46","18","63","70","15.3","3.4","41.6","3","5","5","18.7","60.3","0.242857143","1.369565217","0.84","0.406521739","0.249333333","0.904347826","0.554666667","31.01160862","61.33333333","7.555555556","12.31884058","9.234567901","15.05636071","20.54320988","33.49436393","29.77777778","48.55072464","133","0.048571429","0.140601504","2.891304348","1.773333333","47.36842105","1"
"","","MZP2019UMB-ST07","","","","","","","","","MZP2019UMB-ST07-00037","","","","75","50","3","1","36","10","7","12","2","0.8","59.8","1","5","5","2.8","62.6","0.285714286","0.194444444","0.093333333","0.077777778","0.037333333","1.661111111","0.797333333","4.47284345","48","0.987654321","2.057613169","1.382716049","2.880658436","29.5308642","61.52263374","30.91358025","64.40329218","19","0.066666667","0.147368421","0.527777778","0.253333333","36.84210526","1"
"","","MZP2019UMB-ST07","","","","","","","","","MZP2019UMB-ST07-00038","","","","75","60","1","1","51","35","70","70","6.4","1.8","41.8","5","7","5","8.2","50","0.091428571","1.37254902","0.933333333","0.160784314","0.109333333","0.819607843","0.557333333","16.4","68","3.160493827","4.64778504","4.049382716","5.954974582","20.64197531","30.35584604","24.69135802","36.31082062","140","0.025714286","0.058571429","2.745098039","1.866666667","50","1"
"","","MZP2019UMB-ST07","","","","","","","","","MZP2019UMB-ST07-00039","","","","75","69","1","1","53","49","88","89","22.8","4.4","27.4","3","3","3","27.2","54.6","0.259090909","1.660377358","1.173333333","0.513207547","0.362666667","0.516981132","0.365333333","49.81684982","70.66666667","11.25925926","15.93291405","13.43209877","19.00768693","13.5308642","19.14744934","26.96296296","38.15513627","177","0.049438202","0.153672316","3.339622642","2.36","49.71751412","1"
"","","MZP2019UMB-ST07","","","","","","","","","MZP2019UMB-ST07-00040","","","","75","73","5","1","56","52","69","40","23","2","38.6","1","1","1","25","63.6","0.333333333","1.232142857","0.92","0.446428571","0.333333333","0.689285714","0.514666667","39.3081761","74.66666667","11.35802469","15.21164021","12.34567901","16.53439153","19.0617284","25.52910053","31.40740741","42.06349206","109","0.05","0.229357798","1.946428571","1.453333333","63.30275229","1"
"","","MZP2019UMB-ST07","","","","","","","","","MZP2019UMB-ST07-00041","","","","75","40","5","1","26","26","138","136","27.8","16.4","91","5","3","5","44.2","135.2","0.201449275","5.307692308","1.84","1.7","0.589333333","3.5","1.213333333","32.69230769","34.66666667","13.72839506","39.6011396","21.82716049","62.96296296","44.9382716","129.6296296","66.7654321","192.5925926","274","0.120588235","0.161313869","10.53846154","3.653333333","50.3649635","1"
"","","MZP2019UMB-ST07","","","","","","","","","MZP2019UMB-ST07-00042","","","","75","58","1","1","41","40","76","99","13.8","4.8","111","1","3","3","18.6","129.6","0.181578947","1.853658537","1.013333333","0.453658537","0.248","2.707317073","1.48","14.35185185","54.66666667","6.814814815","12.46612466","9.185185185","16.80216802","54.81481481","100.2710027","64","117.0731707","175","0.048484848","0.106285714","4.268292683","2.333333333","43.42857143","1"
"","","MZP2019UMB-ST07","","","","","","","","","MZP2019UMB-ST07-00043","","","","75","58","1","1","39","39","264","240","30.8","13.8","37.6","1","5","5","44.6","82.2","0.116666667","6.769230769","3.52","1.143589744","0.594666667","0.964102564","0.501333333","54.25790754","52","15.20987654","29.24976258","22.02469136","42.35517569","18.56790123","35.70750237","40.59259259","78.06267806","504","0.0575","0.088492063","12.92307692","6.72","52.38095238","1"
"","","MZP2019UMB-ST07","","","","","","","","","MZP2019UMB-ST07-00044","","","","75","59","3","1","43","29","36","113","8","7.2","28.4","1","3","3","15.2","43.6","0.222222222","0.837209302","0.48","0.353488372","0.202666667","0.660465116","0.378666667","34.86238532","57.33333333","3.950617284","6.890611542","7.50617284","13.09216193","14.02469136","24.46167097","21.5308642","37.5538329","149","0.063716814","0.102013423","3.465116279","1.986666667","24.16107383","1"
