"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Fresh weight of storage root samples measuring g|CO_331:0000243","Dry weight of storage root samples measuring g|CO_331:0000247","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2011UMB-AT05","","","","","","","","","MZP2011UMB-AT05-00011","","","","39","30","1","1","8","25","25","47","74","7.4","3.2","26","6","6","4","50.1","19.7","69.38","1.13","5.69","1.47","3.31","10.6","36.6","121","0.157446809","0.043243243","0.087603306","4.84","3.102564103","1.88","1.205128205","0.424","0.271794872","1.04","0.666666667","38.84297521","28.96174863","64.1025641","39.32135729","4.168063872","7.027540361","10.96296296","10.06647673","15.7037037","24.69135802","38.51851852","3.958275282","6.17490944","34.75783476","54.22222222"
"","","MZP2011UMB-AT05","","","","","","","","","MZP2011UMB-AT05-00012","","","","39","33","6","4","7","13","13","8","22","3.7","5.1","8","8","6","6","50.6","15.6","62.7","1.34","6.33","3.26","5.5","8.8","16.8","30","0.4625","0.231818182","0.293333333","2.307692308","0.769230769","0.615384615","0.205128205","0.676923077","0.225641026","0.615384615","0.205128205","26.66666667","52.38095238","33.33333333","30.83003953","2.713043478","3.51377018","10.54131054","8.357075024","25.07122507","7.597340931","22.79202279","2.576489533","7.729468599","15.95441595","47.86324786"
"","","MZP2011UMB-AT05","","","","","","","","","MZP2011UMB-AT05-00013","","","","39","25","4","2","7","21","18","24","20","7.4","4","22","8","6","4","50.4","17","63.94","0.96","9.66","2.85","4.41","11.4","33.4","44","0.308333333","0.2","0.259090909","2.095238095","1.128205128","1.142857143","0.615384615","0.542857143","0.292307692","1.047619048","0.564102564","54.54545455","34.13173653","53.84615385","33.73015873","3.845238095","7.027540361","13.05114638","10.82621083","20.10582011","20.89268756","38.80070547","3.651698096","6.781725036","31.71889839","58.90652557"
"","","MZP2011UMB-AT05","","","","","","","","","MZP2011UMB-AT05-00014","","","","39","27","3","3","7","22","22","50","41","12","10","9","8","6","5","50.1","11.6","50.51","1.44","18.76","3.58","6.04","22","31","91","0.24","0.243902439","0.241758242","4.136363636","2.333333333","2.272727273","1.282051282","1","0.564102564","0.409090909","0.230769231","54.94505495","70.96774194","56.41025641","23.15369261","5.093812375","11.3960114","20.2020202","20.89268756","37.03703704","8.547008547","15.15151515","4.837428656","8.575441709","29.43969611","52.18855219"
"","","MZP2011UMB-AT05","","","","","","","","","MZP2011UMB-AT05-00015","","","","39","22","5","4","5","6","4","6","5","3","1","3","8","6","4","","","","","","","","4","7","11","0.5","0.2","0.363636364","1.833333333","0.282051282","1","0.153846154","0.666666667","0.102564103","0.5","0.076923077","54.54545455","57.14285714","15.38461538","","","2.849002849","18.51851852","3.798670465","24.69135802","2.849002849","18.51851852","","","6.647673314","43.20987654"
"","","MZP2011UMB-AT05","","","","","","","","","MZP2011UMB-AT05-00016","","","","39","30","6","4","6","4","4","6","10","2","1.1","1","6","7","2","50","13.3","58","1.52","12.6","2.62","4.74","3.1","4.1","16","0.333333333","0.11","0.19375","4","0.41025641","1.5","0.153846154","0.775","0.079487179","0.25","0.025641026","37.5","75.6097561","10.25641026","26.6","0.8246","1.899335233","18.51851852","2.943969611","28.7037037","0.949667616","9.259259259","0.783095916","7.635185185","3.893637227","37.96296296"
"","","MZP2011UMB-AT05","","","","","","","","","MZP2011UMB-AT05-00017","","","","39","28","1","1","7","18","9","8","10","3.8","1.9","9","7","7","4","50.7","10.1","35.85","1.47","33.16","4.64","8.09","5.7","14.7","18","0.475","0.19","0.316666667","1","0.461538462","0.444444444","0.205128205","0.316666667","0.146153846","0.5","0.230769231","44.44444444","38.7755102","46.15384615","19.92110454","1.135502959","3.608736942","7.818930041","5.413105413","11.72839506","8.547008547","18.51851852","1.078350388","2.336425841","13.96011396","30.24691358"
"","","MZP2011UMB-AT05","","","","","","","","","MZP2011UMB-AT05-00018","","","","39","33","2","3","7","21","14","6","7","1.1","0.9","18","6","6","3","50","17.3","67.9","1.22","9.33","2.04","3.66","2","20","13","0.183333333","0.128571429","0.153846154","0.619047619","0.333333333","0.285714286","0.153846154","0.095238095","0.051282051","0.857142857","0.461538462","46.15384615","10","53.84615385","34.6","0.692","1.044634378","1.940035273","1.899335233","3.527336861","17.09401709","31.74603175","0.657169991","1.220458554","18.99335233","35.27336861"
"","","MZP2011UMB-AT05","","","","","","","","","MZP2011UMB-AT05-00019","","","","39","19","1","2","6","13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.33333333","","","","","","","","","","","",""
"","","MZP2011UMB-AT05","","","","","","","","","MZP2011UMB-AT05-00020","","","","39","30","1","3","9","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.8974359","","","","","","","","","","","",""
"","","MZP2011UMB-AT05","","","","","","","","","MZP2011UMB-AT05-00021","","","","39","22","1","5","7","19","19","16","25","4.1","6","26.5","7","6","7","46.9","14.4","63.33","1.07","9.41","3.31","5.26","10.1","36.6","41","0.25625","0.24","0.246341463","2.157894737","1.051282051","0.842105263","0.41025641","0.531578947","0.258974359","1.394736842","0.679487179","39.02439024","27.59562842","48.71794872","30.70362473","3.101066098","3.893637227","7.992202729","9.591642925","19.68810916","25.16619183","51.65692008","2.944982049","6.044963154","34.75783476","71.34502924"
"","","MZP2011UMB-AT05","","","","","","","","","MZP2011UMB-AT05-00022","","","","39","27","1","3","5","15","8","4","16","1.2","1.9","4.5","5","5","4","","","","","","","","3.1","7.6","20","0.3","0.11875","0.155","1.333333333","0.512820513","0.266666667","0.102564103","0.206666667","0.079487179","0.3","0.115384615","20","40.78947368","38.46153846","","","1.13960114","2.962962963","2.943969611","7.654320988","4.273504274","11.11111111","","","7.217473884","18.7654321"
"","","MZP2011UMB-AT05","","","","","","","","","MZP2011UMB-AT05-00023","","","","39","18","4","4","6","15","6","5","9","2","1","17","6","6","1","47","10.1","48.84","1.27","22.14","4.58","7.54","3","20","14","0.4","0.111111111","0.214285714","0.933333333","0.358974359","0.333333333","0.128205128","0.2","0.076923077","1.133333333","0.435897436","35.71428571","15","38.46153846","21.4893617","0.644680851","1.899335233","4.938271605","2.849002849","7.407407407","16.14434948","41.97530864","0.612232527","1.591804571","18.99335233","49.38271605"
"","","MZP2011UMB-AT05","","","","","","","","","MZP2011UMB-AT05-00024","","","","39","20","1","1","5","15","13","12","26","3","2.2","2.2","6","6","2","50.8","12.7","42.37","1.35","23.59","5.33","8.66","5.2","7.4","38","0.25","0.084615385","0.136842105","2.533333333","0.974358974","0.8","0.307692308","0.346666667","0.133333333","0.146666667","0.056410256","31.57894737","70.27027027","38.46153846","25","1.3","2.849002849","7.407407407","4.938271605","12.83950617","2.089268756","5.432098765","1.234567901","3.209876543","7.027540361","18.27160494"
"","","MZP2011UMB-AT05","","","","","","","","","MZP2011UMB-AT05-00025","","","","39","33","1","2","5","16","16","20","27","3","3.9","8.7","6","6","2","","","","","","","","6.9","15.6","47","0.15","0.144444444","0.146808511","2.9375","1.205128205","1.25","0.512820513","0.43125","0.176923077","0.54375","0.223076923","42.55319149","44.23076923","41.02564103","","","2.849002849","6.944444444","6.552706553","15.97222222","8.262108262","20.13888889","","","14.81481481","36.11111111"
"","","MZP2011UMB-AT05","","","","","","","","","MZP2011UMB-AT05-00026","","","","39","12","3","2","6","8","4","3","0","0.1","0","7.5","4","6","2","","","","","","","","0.1","7.6","3","0.033333333","","0.033333333","0.375","0.076923077","0.375","0.076923077","0.0125","0.002564103","0.9375","0.192307692","100","1.315789474","20.51282051","","","0.094966762","0.462962963","0.094966762","0.462962963","7.122507123","34.72222222","","","7.217473884","35.18518519"
"","","MZP2011UMB-AT05","","","","","","","","","MZP2011UMB-AT05-00027","","","","39","29","2","2","7","18","16","11","28","4.9","3.2","4","5","6","3","50.2","11.7","45.31","1.37","20.67","4.97","7.88","8.1","12.1","39","0.445454545","0.114285714","0.207692308","2.166666667","1","0.611111111","0.282051282","0.45","0.207692308","0.222222222","0.102564103","28.20512821","66.94214876","46.15384615","23.30677291","1.887848606","4.65337132","10.08230453","7.692307692","16.66666667","3.798670465","8.230452675","1.792828685","3.884462151","11.49097816","24.89711934"
"","","MZP2011UMB-AT05","","","","","","","","","MZP2011UMB-AT05-00028","","","","39","22","3","3","7","15","12","24","6","8.9","2.2","14","7","6","3","50.2","11.8","48.21","1.21","20.4","5.14","8.08","11.1","25.1","30","0.370833333","0.366666667","0.37","2","0.769230769","1.6","0.615384615","0.74","0.284615385","0.933333333","0.358974359","80","44.22310757","38.46153846","23.5059761","2.609163347","8.452041785","21.97530864","10.54131054","27.40740741","13.29534663","34.56790123","2.477837936","6.442378634","23.83665717","61.97530864"
"","","MZP2011UMB-AT05","","","","","","","","","MZP2011UMB-AT05-00029","","","","39","30","7","8","7","15","6","18","8","5","2.1","21","6","6","2","","","","","","","","7.1","28.1","26","0.277777778","0.2625","0.273076923","1.733333333","0.666666667","1.2","0.461538462","0.473333333","0.182051282","1.4","0.538461538","69.23076923","25.26690391","38.46153846","","","4.748338082","12.34567901","6.742640076","17.5308642","19.94301994","51.85185185","","","26.68566002","69.38271605"
"","","MZP2011UMB-AT05","","","","","","","","","MZP2011UMB-AT05-00030","","","","39","33","8","5","6","29","17","14","13","4","3.2","13","6","7","2","50","13.7","54.79","1.38","13.46","4.51","7.53","7.2","20.2","27","0.285714286","0.246153846","0.266666667","0.931034483","0.692307692","0.482758621","0.358974359","0.248275862","0.184615385","0.448275862","0.333333333","51.85185185","35.64356436","74.35897436","27.4","1.9728","3.798670465","5.108556833","6.837606838","9.195402299","12.34567901","16.60280971","1.873504274","2.51954023","19.18328585","25.79821201"
"","","MZP2011UMB-AT05","","","","","","","","","MZP2011UMB-AT05-00031","","","","39","25","4","6","6","12","2","","4","","0.8","10","4","6","1","","","","","","","","","","","","0.2","","","","","","","","0.833333333","0.256410256","","","30.76923077","","","","","","","9.496676163","30.86419753","","","",""
"","","MZP2011UMB-AT05","","","","","","","","","MZP2011UMB-AT05-00032","","","","39","23","1","1","6","15","5","2","3","1.2","0.9","41.5","5","7","1","50.5","17.8","62.06","1.23","11.35","2.25","4.05","2.1","43.6","5","0.6","0.3","0.42","0.333333333","0.128205128","0.133333333","0.051282051","0.14","0.053846154","2.766666667","1.064102564","40","4.816513761","38.46153846","35.24752475","0.74019802","1.13960114","2.962962963","1.994301994","5.185185185","39.41120608","102.4691358","0.702942089","1.827649432","41.40550807","107.654321"
"","","MZP2011UMB-AT05","","","","","","","","","MZP2011UMB-AT05-00033","","","","39","29","1","1","7","14","7","8","","2.1","","17","5","5","2","","","","","","","","","","","0.2625","","","","","0.571428571","0.205128205","","","1.214285714","0.435897436","","","35.8974359","","","1.994301994","5.555555556","","","16.14434948","44.97354497","","","",""
"","","MZP2011UMB-AT05","","","","","","","","","MZP2011UMB-AT05-00034","","","","39","30","3","1","7","25","25","52","20","18","3.1","23.5","8","5","2","50.3","19.8","68.76","1.05","7.09","2.06","3.67","21.1","44.6","72","0.346153846","0.155","0.293055556","2.88","1.846153846","2.08","1.333333333","0.844","0.541025641","0.94","0.602564103","72.22222222","47.30941704","64.1025641","39.3638171","8.305765408","17.09401709","26.66666667","20.0379867","31.25925926","22.31718898","34.81481481","7.887716436","12.30483764","42.35517569","66.07407407"
"","","MZP2011UMB-AT05","","","","","","","","","MZP2011UMB-AT05-00035","","","","39","25","1","2","6","10","10","7","12","3","3","11","7","6","3","","","","","","","","6","17","19","0.428571429","0.25","0.315789474","1.9","0.487179487","0.7","0.179487179","0.6","0.153846154","1.1","0.282051282","36.84210526","35.29411765","25.64102564","","","2.849002849","11.11111111","5.698005698","22.22222222","10.44634378","40.74074074","","","16.14434948","62.96296296"
"","","MZP2011UMB-AT05","","","","","","","","","MZP2011UMB-AT05-00036","","","","39","29","2","1","7","14","9","6","9","2.5","2","14","6","6","1","50.6","21.6","69.06","1.36","7.76","1.19","3.19","4.5","18.5","15","0.416666667","0.222222222","0.3","1.071428571","0.384615385","0.428571429","0.153846154","0.321428571","0.115384615","1","0.358974359","40","24.32432432","35.8974359","42.68774704","1.920948617","2.374169041","6.613756614","4.273504274","11.9047619","13.29534663","37.03703704","1.824262694","5.081874647","17.5688509","48.94179894"
"","","MZP2011UMB-AT05","","","","","","","","","MZP2011UMB-AT05-00037","","","","39","30","4","2","6","21","21","10","27","4","5.1","8.5","7","6","4","","","","","","","","9.1","17.6","37","0.4","0.188888889","0.245945946","1.761904762","0.948717949","0.476190476","0.256410256","0.433333333","0.233333333","0.404761905","0.217948718","27.02702703","51.70454545","53.84615385","","","3.798670465","7.054673721","8.641975309","16.04938272","8.072174739","14.99118166","","","16.71415005","31.04056437"
"","","MZP2011UMB-AT05","","","","","","","","","MZP2011UMB-AT05-00038","","","","39","30","1","3","7","20","20","26","28","8.2","3.3","12","7","6","4","50.2","11","45.27","1.05","13.16","8.87","12.91","11.5","23.5","54","0.315384615","0.117857143","0.212962963","2.7","1.384615385","1.3","0.666666667","0.575","0.294871795","0.6","0.307692308","48.14814815","48.93617021","51.28205128","21.9123506","2.519920319","7.787274454","15.18518519","10.92117759","21.2962963","11.3960114","22.22222222","2.393086722","4.666519109","22.31718898","43.51851852"
"","","MZP2011UMB-AT05","","","","","","","","","MZP2011UMB-AT05-00039","","","","39","32","5","3","6","11","6","5","","2","","0.7","6","5","5","","","","","","","","","","","0.4","","","","","0.454545455","0.128205128","","","0.063636364","0.017948718","","","28.20512821","","","1.899335233","6.734006734","","","0.664767331","2.356902357","","","",""
"","","MZP2011UMB-AT05","","","","","","","","","MZP2011UMB-AT05-00040","","","","39","34","3","3","6","13","13","13","23","5","3.5","2","7","6","4","50.2","10.9","36.21","1.57","31.03","5.69","9.52","8.5","10.5","36","0.384615385","0.152173913","0.236111111","2.769230769","0.923076923","1","0.333333333","0.653846154","0.217948718","0.153846154","0.051282051","36.11111111","80.95238095","33.33333333","21.71314741","1.84561753","4.748338082","14.24501425","8.072174739","24.21652422","1.899335233","5.698005698","1.7527232","5.258169601","9.971509972","29.91452991"
"","","MZP2011UMB-AT05","","","","","","","","","MZP2011UMB-AT05-00041","","","","39","36","7","2","6","22","22","66","63","11.2","4","9","6","7","2","50.3","11.5","49.31","1.37","16.32","5.01","7.9","15.2","24.2","129","0.16969697","0.063492063","0.117829457","5.863636364","3.307692308","3","1.692307692","0.690909091","0.38974359","0.409090909","0.230769231","51.1627907","62.80991736","56.41025641","22.86282306","3.475149105","10.6362773","18.85521886","14.43494777","25.58922559","8.547008547","15.15151515","3.300236567","5.850419369","22.98195632","40.74074074"
"","","MZP2011UMB-AT05","","","","","","","","","MZP2011UMB-AT05-00042","","","","39","34","1","7","7","21","21","26","22","9","2.3","28.5","7","7","3","","","","","","","","11.3","39.8","48","0.346153846","0.104545455","0.235416667","2.285714286","1.230769231","1.238095238","0.666666667","0.538095238","0.28974359","1.357142857","0.730769231","54.16666667","28.3919598","53.84615385","","","8.547008547","15.87301587","10.73124406","19.92945326","27.06552707","50.26455026","","","37.79677113","70.19400353"
"","","MZP2011UMB-AT05","","","","","","","","","MZP2011UMB-AT05-00043","","","","39","30","1","3","7","24","5","","","","","13.5","3","6","1","","","","","","","","","","","","","","","","","","","","0.5625","0.346153846","","","61.53846154","","","","","","","12.82051282","20.83333333","","","",""
"","","MZP2011UMB-AT05","","","","","","","","","MZP2011UMB-AT05-00044","","","","39","22","2","1","6","22","15","3","43","2.4","3.9","16","6","7","7","50.4","18.4","68.92","1.06","7.31","1.97","3.48","6.3","22.3","46","0.8","0.090697674","0.136956522","2.090909091","1.179487179","0.136363636","0.076923077","0.286363636","0.161538462","0.727272727","0.41025641","6.52173913","28.25112108","56.41025641","36.50793651","2.3","2.279202279","4.04040404","5.982905983","10.60606061","15.19468186","26.93602694","2.184235518","3.872053872","21.17758784","37.54208754"
"","","MZP2011UMB-AT05","","","","","","","","","MZP2011UMB-AT05-00045","","","","39","30","1","1","6","4","4","6","3","3.3","0.1","1","7","6","4","50.1","16.6","68.26","1.41","5.99","1.99","3.93","3.4","4.4","9","0.55","0.033333333","0.377777778","2.25","0.230769231","1.5","0.153846154","0.85","0.087179487","0.25","0.025641026","66.66666667","77.27272727","10.25641026","33.13373253","1.126546906","3.133903134","30.55555556","3.228869896","31.48148148","0.949667616","9.259259259","1.069845115","10.43098987","4.178537512","40.74074074"
"","","MZP2011UMB-AT05","","","","","","","","","MZP2011UMB-AT05-00046","","","","39","30","1","1","8","24","24","37","14","15","6.2","20","9","5","3","50.6","19.7","70","1.13","5.21","1.81","3.26","21.2","41.2","51","0.405405405","0.442857143","0.415686275","2.125","1.307692308","1.541666667","0.948717949","0.883333333","0.543589744","0.833333333","0.512820513","72.54901961","51.45631068","61.53846154","38.93280632","8.253754941","14.24501425","23.14814815","20.13295347","32.71604938","18.99335233","30.86419753","7.83832378","12.73727614","39.12630579","63.58024691"
"","","MZP2011UMB-AT05","","","","","","","","","MZP2011UMB-AT05-00047","","","","39","27","1","1","8","22","22","32","11","13","3","16","8","5","3","50.4","18.1","70.84","0.96","7.19","1.9","3.12","16","32","43","0.40625","0.272727273","0.372093023","1.954545455","1.102564103","1.454545455","0.820512821","0.727272727","0.41025641","0.727272727","0.41025641","74.41860465","50","56.41025641","35.91269841","5.746031746","12.34567901","21.88552189","15.19468186","26.93602694","15.19468186","26.93602694","5.456820272","9.673454118","30.38936372","53.87205387"
