"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Storage root sweetness in cooked samples estimating 1-9|CO_331:0000261","Storage root texture in boiled samples estimating 1-9 by Gruneberg|CO_331:0000265","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2013GUR-AT05","","","","","","","","","MZP2013GUR-AT05-00021","","","","39","32","1","1","5","32","25","14","20","3","6.6","9","2","5","5","1","1","5","5","3","7.23","9.6","18.6","34","0.214285714","0.33","0.282352941","1.0625","0.871794872","0.4375","0.358974359","0.3","0.246153846","0.28125","0.230769231","41.17647059","51.61290323","82.05128205","2.849002849","3.472222222","9.116809117","11.11111111","8.547008547","10.41666667","17.66381766","21.52777778"
"","","MZP2013GUR-AT05","","","","","","","","","MZP2013GUR-AT05-00022","","","","39","31","1","1","5","20","20","16","29","4","7.5","5.9","2","3","5","3","1","5","5","3","6.12","11.5","17.4","45","0.25","0.25862069","0.255555556","2.25","1.153846154","0.8","0.41025641","0.575","0.294871795","0.295","0.151282051","35.55555556","66.09195402","51.28205128","3.798670465","7.407407407","10.92117759","21.2962963","5.603038936","10.92592593","16.52421652","32.22222222"
"","","MZP2013GUR-AT05","","","","","","","","","MZP2013GUR-AT05-00023","","","","39","24","1","1","5","35","35","29","38","7.8","8.5","10.3","4","3","3","3","1","5","5","3","6.12","16.3","26.6","67","0.268965517","0.223684211","0.243283582","1.914285714","1.717948718","0.828571429","0.743589744","0.465714286","0.417948718","0.294285714","0.264102564","43.28358209","61.27819549","89.74358974","7.407407407","8.253968254","15.47958215","17.24867725","9.781576448","10.8994709","25.26115859","28.14814815"
"","","MZP2013GUR-AT05","","","","","","","","","MZP2013GUR-AT05-00024","","","","39","25","1","1","5","27","27","24","31","6.6","5","9.5","5","7","7","5","1","3","7","1","3.03","11.6","21.1","55","0.275","0.161290323","0.210909091","2.037037037","1.41025641","0.888888889","0.615384615","0.42962963","0.297435897","0.351851852","0.243589744","43.63636364","54.97630332","69.23076923","6.267806268","9.053497942","11.01614435","15.9122085","9.021842355","13.03155007","20.0379867","28.94375857"
"","","MZP2013GUR-AT05","","","","","","","","","MZP2013GUR-AT05-00025","","","","39","30","1","1","5","32","32","38","48","10","11","8.5","4","1","1","3","1","5","5","3","7.76","21","29.5","86","0.263157895","0.229166667","0.244186047","2.6875","2.205128205","1.1875","0.974358974","0.65625","0.538461538","0.265625","0.217948718","44.18604651","71.18644068","82.05128205","9.496676163","11.57407407","19.94301994","24.30555556","8.072174739","9.837962963","28.01519468","34.14351852"
"","","MZP2013GUR-AT05","","","","","","","","","MZP2013GUR-AT05-00026","","","","39","25","1","1","5","35","35","39","30","8.8","7","9.5","5","3","3","3","1","5","5","3","7.23","15.8","25.3","69","0.225641026","0.233333333","0.228985507","1.971428571","1.769230769","1.114285714","1","0.451428571","0.405128205","0.271428571","0.243589744","56.52173913","62.45059289","89.74358974","8.357075024","9.312169312","15.00474834","16.71957672","9.021842355","10.05291005","24.02659069","26.77248677"
"","","MZP2013GUR-AT05","","","","","","","","","MZP2013GUR-AT05-00027","","","","39","30","1","1","5","34","34","28","39","7.2","7","13.5","2","3","1","3","3","3","9","1","0.02","14.2","27.7","67","0.257142857","0.179487179","0.211940299","1.970588235","1.717948718","0.823529412","0.717948718","0.417647059","0.364102564","0.397058824","0.346153846","41.79104478","51.26353791","87.17948718","6.837606838","7.843137255","13.48528015","15.46840959","12.82051282","14.70588235","26.30579297","30.17429194"
"","","MZP2013GUR-AT05","","","","","","","","","MZP2013GUR-AT05-00028","","","","39","33","1","1","5","31","31","30","41","7.1","7.2","11.5","7","3","1","1","1","5","5","3","7.23","14.3","25.8","71","0.236666667","0.175609756","0.201408451","2.290322581","1.820512821","0.967741935","0.769230769","0.461290323","0.366666667","0.370967742","0.294871795","42.25352113","55.42635659","79.48717949","6.742640076","8.482676225","13.58024691","17.08482676","10.92117759","13.739546","24.5014245","30.82437276"
"","","MZP2013GUR-AT05","","","","","","","","","MZP2013GUR-AT05-00029","","","","39","29","1","1","5","34","34","36","55","8","8.8","13.5","4","3","1","1","1","5","5","3","7.23","16.8","30.3","91","0.222222222","0.16","0.184615385","2.676470588","2.333333333","1.058823529","0.923076923","0.494117647","0.430769231","0.397058824","0.346153846","39.56043956","55.44554455","87.17948718","7.597340931","8.71459695","15.95441595","18.30065359","12.82051282","14.70588235","28.77492877","33.00653595"
"","","MZP2013GUR-AT05","","","","","","","","","MZP2013GUR-AT05-00030","","","","39","20","1","1","5","35","35","17","39","4.3","6","5.5","7","7","5","1","1","5","5","3","7.23","10.3","15.8","56","0.252941176","0.153846154","0.183928571","1.6","1.435897436","0.485714286","0.435897436","0.294285714","0.264102564","0.157142857","0.141025641","30.35714286","65.18987342","89.74358974","4.08357075","4.55026455","9.781576448","10.8994709","5.22317189","5.82010582","15.00474834","16.71957672"
"","","MZP2013GUR-AT05","","","","","","","","","MZP2013GUR-AT05-00031","","","","39","21","1","1","5","33","33","18","37","4.5","6.5","5.5","4","3","3","1","1","7","3","5","10.5","11","16.5","55","0.25","0.175675676","0.2","1.666666667","1.41025641","0.545454545","0.461538462","0.333333333","0.282051282","0.166666667","0.141025641","32.72727273","66.66666667","84.61538462","4.273504274","5.050505051","10.44634378","12.34567901","5.22317189","6.172839506","15.66951567","18.51851852"
"","","MZP2013GUR-AT05","","","","","","","","","MZP2013GUR-AT05-00032","","","","39","30","1","1","5","32","32","15","39","4","7","6.5","5","5","5","5","1","5","5","3","7.76","11","17.5","54","0.266666667","0.179487179","0.203703704","1.6875","1.384615385","0.46875","0.384615385","0.34375","0.282051282","0.203125","0.166666667","27.77777778","62.85714286","82.05128205","3.798670465","4.62962963","10.44634378","12.73148148","6.172839506","7.523148148","16.61918329","20.25462963"
"","","MZP2013GUR-AT05","","","","","","","","","MZP2013GUR-AT05-00033","","","","39","21","1","1","5","35","35","18","44","4.5","8.6","7","4","7","5","1","1","5","5","3","7.76","13.1","20.1","62","0.25","0.195454545","0.211290323","1.771428571","1.58974359","0.514285714","0.461538462","0.374285714","0.335897436","0.2","0.179487179","29.03225806","65.17412935","89.74358974","4.273504274","4.761904762","12.44064577","13.86243386","6.647673314","7.407407407","19.08831909","21.26984127"
"","","MZP2013GUR-AT05","","","","","","","","","MZP2013GUR-AT05-00034","","","","39","22","1","1","5","29","29","20","49","5","8.5","5","4","5","5","1","1","5","5","3","7.76","13.5","18.5","69","0.25","0.173469388","0.195652174","2.379310345","1.769230769","0.689655172","0.512820513","0.465517241","0.346153846","0.172413793","0.128205128","28.98550725","72.97297297","74.35897436","4.748338082","6.385696041","12.82051282","17.24137931","4.748338082","6.385696041","17.5688509","23.62707535"
"","","MZP2013GUR-AT05","","","","","","","","","MZP2013GUR-AT05-00035","","","","39","25","1","1","5","28","28","21","67","4.7","8.6","6.5","7","5","5","3","1","7","3","5","10.5","13.3","19.8","88","0.223809524","0.128358209","0.151136364","3.142857143","2.256410256","0.75","0.538461538","0.475","0.341025641","0.232142857","0.166666667","23.86363636","67.17171717","71.79487179","4.463437797","6.216931217","12.6305793","17.59259259","6.172839506","8.597883598","18.8034188","26.19047619"
"","","MZP2013GUR-AT05","","","","","","","","","MZP2013GUR-AT05-00036","","","","39","24","1","1","5","32","32","20","44","4.2","7","10","7","3","3","1","1","5","5","3","7.23","11.2","21.2","64","0.21","0.159090909","0.175","2","1.641025641","0.625","0.512820513","0.35","0.287179487","0.3125","0.256410256","31.25","52.83018868","82.05128205","3.988603989","4.861111111","10.6362773","12.96296296","9.496676163","11.57407407","20.13295347","24.53703704"
"","","MZP2013GUR-AT05","","","","","","","","","MZP2013GUR-AT05-00037","","","","39","21","1","1","5","23","23","14","39","4","5.8","9.5","4","5","5","3","1","5","5","3","7.76","9.8","19.3","53","0.285714286","0.148717949","0.18490566","2.304347826","1.358974359","0.608695652","0.358974359","0.426086957","0.251282051","0.413043478","0.243589744","26.41509434","50.77720207","58.97435897","3.798670465","6.441223833","9.30674264","15.78099839","9.021842355","15.2979066","18.328585","31.07890499"
"","","MZP2013GUR-AT05","","","","","","","","","MZP2013GUR-AT05-00038","","","","39","30","1","1","5","34","34","22","47","5.5","9.5","10.5","8","5","3","1","1","5","5","3","7.23","15","25.5","69","0.25","0.20212766","0.217391304","2.029411765","1.769230769","0.647058824","0.564102564","0.441176471","0.384615385","0.308823529","0.269230769","31.88405797","58.82352941","87.17948718","5.22317189","5.991285403","14.24501425","16.33986928","9.971509972","11.4379085","24.21652422","27.77777778"
"","","MZP2013GUR-AT05","","","","","","","","","MZP2013GUR-AT05-00039","","","","39","25","1","1","5","31","31","24","40","6.5","10.5","9.6","4","3","3","3","1","7","3","5","10.5","17","26.6","64","0.270833333","0.2625","0.265625","2.064516129","1.641025641","0.774193548","0.615384615","0.548387097","0.435897436","0.309677419","0.246153846","37.5","63.90977444","79.48717949","6.172839506","7.765830346","16.14434948","20.31063321","9.116809117","11.46953405","25.26115859","31.78016726"
"","","MZP2013GUR-AT05","","","","","","","","","MZP2013GUR-AT05-00040","","","","39","23","1","1","5","33","33","28","43","6.8","8","14.5","4","3","3","3","1","9","3","5","12.39","14.8","29.3","71","0.242857143","0.186046512","0.208450704","2.151515152","1.820512821","0.848484848","0.717948718","0.448484848","0.379487179","0.439393939","0.371794872","39.43661972","50.51194539","84.61538462","6.457739791","7.631874299","14.05508072","16.61054994","13.77018044","16.27384961","27.82526116","32.88439955"
"","","MZP2013GUR-AT05","","","","","","","","","MZP2013GUR-AT05-00041","","","","39","30","1","1","5","32","32","25","39","5.8","8","6.5","5","5","5","1","1","5","5","3","7.23","13.8","20.3","64","0.232","0.205128205","0.215625","2","1.641025641","0.78125","0.641025641","0.43125","0.353846154","0.203125","0.166666667","39.0625","67.98029557","82.05128205","5.508072175","6.712962963","13.10541311","15.97222222","6.172839506","7.523148148","19.27825261","23.49537037"
"","","MZP2013GUR-AT05","","","","","","","","","MZP2013GUR-AT05-00042","","","","39","31","1","1","5","33","33","31","56","7","9.6","11.5","4","3","3","3","1","5","5","3","7.76","16.6","28.1","87","0.225806452","0.171428571","0.190804598","2.636363636","2.230769231","0.939393939","0.794871795","0.503030303","0.425641026","0.348484848","0.294871795","35.63218391","59.0747331","84.61538462","6.647673314","7.85634119","15.76448243","18.63075196","10.92117759","12.90684624","26.68566002","31.5375982"
"","","MZP2013GUR-AT05","","","","","","","","","MZP2013GUR-AT05-00043","","","","39","24","1","1","5","30","22","10","17","3","5.5","9.6","2","3","5","3","1","5","5","3","7.23","8.5","18.1","27","0.3","0.323529412","0.314814815","0.9","0.692307692","0.333333333","0.256410256","0.283333333","0.217948718","0.32","0.246153846","37.03703704","46.96132597","76.92307692","2.849002849","3.703703704","8.072174739","10.49382716","9.116809117","11.85185185","17.18898386","22.34567901"
