"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Fresh weight of storage root samples measuring g|CO_331:0000243","Dry weight of storage root samples measuring g|CO_331:0000247","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Storage root sweetness in cooked samples estimating 1-9|CO_331:0000261","Storage root texture in boiled samples estimating 1-9 by Gruneberg|CO_331:0000265","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of calcium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001029","Content of magnesium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001030","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2011UMB-PT01","","","","","","","","","MZP2011UMB-PT01-00021","","","","26","23","1","13","8","4","13","1","3.2","2","50.3","11.3","7","5","5","3","4.84","2.08","1.55","52.41","76.94","27.4","50.59","3.39","5.95","17.76","4.2","6.2","17","0.25","0.246153846","0.247058824","1.307692308","0.653846154","0.307692308","0.153846154","0.323076923","0.161538462","0.153846154","0.076923077","23.52941176","67.74193548","50","22.46520875","0.943538767","1.424501425","2.849002849","5.982905983","11.96581197","2.849002849","5.698005698","1.344072318","2.688144636","8.831908832","17.66381766"
"","","MZP2011UMB-PT01","","","","","","","","","MZP2011UMB-PT01-00022","","","","26","21","1","19","19","36","33","14.5","5.2","10","50.4","13.3","7","7","2","2","4.75","1.95","1.62","69.15","76.54","16.88","60.78","2.21","4.01","9.23","19.7","29.7","69","0.402777778","0.157575758","0.285507246","3.631578947","2.653846154","1.894736842","1.384615385","1.036842105","0.757692308","0.526315789","0.384615385","52.17391304","66.32996633","73.07692308","26.38888889","5.198611111","20.65527066","28.26510721","28.06267806","38.40155945","14.24501425","19.49317739","7.405428933","10.13374486","42.30769231","57.89473684"
"","","MZP2011UMB-PT01","","","","","","","","","MZP2011UMB-PT01-00023","","","","26","22","1","17","17","8","58","1.1","6.2","3","50.9","9.3","5","5","3","4","7.83","2.85","2.24","222.81","211.68","52.48","34.72","3.46","7.4","29.96","7.3","10.3","66","0.1375","0.106896552","0.110606061","3.882352941","2.538461538","0.470588235","0.307692308","0.429411765","0.280769231","0.176470588","0.115384615","12.12121212","70.87378641","65.38461538","18.27111984","1.333791749","1.566951567","2.396514161","10.3988604","15.90413943","4.273504274","6.535947712","1.899988246","2.905864376","14.67236467","22.44008715"
"","","MZP2011UMB-PT01","","","","","","","","","MZP2011UMB-PT01-00024","","","","26","19","1","13","13","3","38","2.2","8.3","5.5","","","6","5","4","6","","","","","","","","","","","10.5","16","41","0.733333333","0.218421053","0.256097561","3.153846154","1.576923077","0.230769231","0.115384615","0.807692308","0.403846154","0.423076923","0.211538462","7.317073171","65.625","50","","","3.133903134","6.267806268","14.95726496","29.91452991","7.834757835","15.66951567","","","22.79202279","45.58404558"
"","","MZP2011UMB-PT01","","","","","","","","","MZP2011UMB-PT01-00025","","","","26","25","1","21","17","14","37","2","2.1","9","50.1","15.8","5","4","2","2","3.66","1.51","1.31","116.55","55.75","3.39","70.32","1.96","3.88","2.69","4.1","13.1","51","0.142857143","0.056756757","0.080392157","2.428571429","1.961538462","0.666666667","0.538461538","0.195238095","0.157692308","0.428571429","0.346153846","27.45098039","31.29770992","80.76923077","31.53692615","1.293013972","2.849002849","3.527336861","5.84045584","7.231040564","12.82051282","15.87301587","1.841900245","2.280447922","18.66096866","23.10405644"
"","","MZP2011UMB-PT01","","","","","","","","","MZP2011UMB-PT01-00026","","","","26","25","1","20","20","15","104","2","3","5","33.6","6.6","5","3","2","2","3.53","2.17","1.43","242.61","187.7","57.39","40.27","4.79","8.11","23.78","5","10","119","0.133333333","0.028846154","0.042016807","5.95","4.576923077","0.75","0.576923077","0.25","0.192307692","0.25","0.192307692","12.60504202","50","76.92307692","19.64285714","0.982142857","2.849002849","3.703703704","7.122507123","9.259259259","7.122507123","9.259259259","1.399063899","1.818783069","14.24501425","18.51851852"
"","","MZP2011UMB-PT01","","","","","","","","","MZP2011UMB-PT01-00027","","","","26","26","1","22","22","55","40","2","2.7","9","50.6","16","4","3","1","2","4.77","1.72","1.56","94.82","71.98","20.02","66.68","1.95","3.97","3.67","4.7","13.7","95","0.036363636","0.0675","0.049473684","4.318181818","3.653846154","2.5","2.115384615","0.213636364","0.180769231","0.409090909","0.346153846","57.89473684","34.30656934","84.61538462","31.62055336","1.486166008","2.849002849","3.367003367","6.695156695","7.912457912","12.82051282","15.15151515","2.117045595","2.501962976","19.51566952","23.06397306"
"","","MZP2011UMB-PT01","","","","","","","","","MZP2011UMB-PT01-00028","","","","26","26","1","20","20","44","48","4","3","5.5","42.8","12.1","4","4","1","2","5.7","2.12","1.79","122.9","102.21","42.01","57.14","2.07","4.57","12.5","7","12.5","92","0.090909091","0.0625","0.076086957","4.6","3.538461538","2.2","1.692307692","0.35","0.269230769","0.275","0.211538462","47.82608696","56","76.92307692","28.27102804","1.978971963","5.698005698","7.407407407","9.971509972","12.96296296","7.834757835","10.18518519","2.81904838","3.664762894","17.80626781","23.14814815"
"","","MZP2011UMB-PT01","","","","","","","","","MZP2011UMB-PT01-00029","","","","26","23","1","20","20","6","95","1","5","15","50.8","15.8","5","4","3","4","4.96","1.86","1.61","65.12","59.55","23.44","65.61","1.6","3.45","5.58","6","21","101","0.166666667","0.052631579","0.059405941","5.05","3.884615385","0.3","0.230769231","0.3","0.230769231","0.75","0.576923077","5.940594059","28.57142857","76.92307692","31.1023622","1.866141732","1.424501425","1.851851852","8.547008547","11.11111111","21.36752137","27.77777778","2.658321556","3.455818023","29.91452991","38.88888889"
"","","MZP2011UMB-PT01","","","","","","","","","MZP2011UMB-PT01-00030","","","","26","23","1","19","19","37","72","7","5","11","45.4","10.3","5","5","2","4","5.39","2.16","1.66","164.46","131.92","46.82","45.86","4.19","7.52","20.18","12","23","109","0.189189189","0.069444444","0.110091743","5.736842105","4.192307692","1.947368421","1.423076923","0.631578947","0.461538462","0.578947368","0.423076923","33.94495413","52.17391304","73.07692308","22.68722467","2.72246696","9.971509972","13.64522417","17.09401709","23.39181287","15.66951567","21.44249513","3.878158063","5.306953139","32.76353276","44.83430799"
"","","MZP2011UMB-PT01","","","","","","","","","MZP2011UMB-PT01-00031","","","","26","25","1","18","17","2","35","0.8","4","4","50.3","15.9","5","4","2","4","5.76","1.84","1.44","23.56","52.31","0.7","64.38","1.58","3.22","6.45","4.8","8.8","37","0.4","0.114285714","0.12972973","2.055555556","1.423076923","0.111111111","0.076923077","0.266666667","0.184615385","0.222222222","0.153846154","5.405405405","54.54545455","69.23076923","31.61033797","1.517296223","1.13960114","1.646090535","6.837606838","9.87654321","5.698005698","8.230452675","2.161390631","3.122008689","12.53561254","18.10699588"
"","","MZP2011UMB-PT01","","","","","","","","","MZP2011UMB-PT01-00032","","","","26","22","1","17","17","45","35","4.2","9.4","16","50.8","10.3","7","6","3","5","5.21","2.21","1.89","172.72","132.06","46.63","39.26","5.42","9.35","25.21","13.6","29.6","80","0.093333333","0.268571429","0.17","4.705882353","3.076923077","2.647058824","1.730769231","0.8","0.523076923","0.941176471","0.615384615","56.25","45.94594595","65.38461538","20.27559055","2.757480315","5.982905983","9.150326797","19.37321937","29.62962963","22.79202279","34.8583878","3.928034637","6.007582386","42.16524217","64.48801743"
"","","MZP2011UMB-PT01","","","","","","","","","MZP2011UMB-PT01-00033","","","","26","23","1","19","19","52","240","5.2","16","5","50.7","9.7","5","4","1","4","5.38","2.11","1.73","29.32","96.51","31.04","43.16","4.76","7.78","21.36","21.2","26.2","292","0.1","0.066666667","0.07260274","15.36842105","11.23076923","2.736842105","2","1.115789474","0.815384615","0.263157895","0.192307692","17.80821918","80.91603053","73.07692308","19.1321499","4.056015779","7.407407407","10.13645224","30.1994302","41.32553606","7.122507123","9.746588694","5.777800255","7.906463507","37.32193732","51.07212476"
