"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Weight of vines per NET plot in kg|CO_331:0000227","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Content of total sugars estimating 1-9|CO_331:0000766","Content of starch in raw storage roots estimating 1-9|CO_331:0001055","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2010CKE-AT01","","","","","","","","","MZP2010CKE-AT01-00035","","","","39","39","1","1","8","7","38","37","152","40","38","2.5","5","5","4","6.12","5","2","5","4","40.5","47.5","192","0.25","0.0625","0.2109375","5.052631579","4.923076923","4","3.897435897","1.065789474","1.038461538","0.184210526","0.179487179","79.16666667","85.26315789","97.43589744","36.08736942","37.03703704","38.46153846","39.47368421","6.647673314","6.822612086","45.10921178","46.2962963"
"","","MZP2010CKE-AT01","","","","","","","","","MZP2010CKE-AT01-00036","","","","39","39","1","1","8","17","32","12","10","17","2","0.6","4","3","5","7.76","4","2","5","4","2.6","19.6","27","0.2","0.035294118","0.096296296","0.84375","0.692307692","0.3125","0.256410256","0.08125","0.066666667","0.53125","0.435897436","37.03703704","13.26530612","82.05128205","1.899335233","2.314814815","2.469135802","3.009259259","16.14434948","19.67592593","18.61348528","22.68518519"
"","","MZP2010CKE-AT01","","","","","","","","","MZP2010CKE-AT01-00037","","","","39","39","1","1","9","35","33","18","25","28","4","2","4","4","5","0.02","5","3","5","4","6","41","53","0.16","0.071428571","0.113207547","1.606060606","1.358974359","0.757575758","0.641025641","0.181818182","0.153846154","1.060606061","0.897435897","47.16981132","14.63414634","84.61538462","3.798670465","4.489337823","5.698005698","6.734006734","33.23836657","39.28170595","38.93637227","46.01571268"
"","","MZP2010CKE-AT01","","","","","","","","","MZP2010CKE-AT01-00038","","","","39","39","1","1","8","17","32","30","86","74","8.5","3.5","5","4","4","10.5","5","2","4","4","12","29","160","0.098837209","0.047297297","0.075","5","4.102564103","2.6875","2.205128205","0.375","0.307692308","0.53125","0.435897436","53.75","41.37931034","82.05128205","8.072174739","9.837962963","11.3960114","13.88888889","16.14434948","19.67592593","27.54036087","33.56481481"
"","","MZP2010CKE-AT01","","","","","","","","","MZP2010CKE-AT01-00039","","","","39","39","1","1","8","30","29","20","13","96","2","6.5","5","5","5","1.65","4","2","5","4","8.5","38.5","109","0.153846154","0.067708333","0.077981651","3.75862069","2.794871795","0.448275862","0.333333333","0.293103448","0.217948718","1.034482759","0.769230769","11.9266055","22.07792208","74.35897436","1.899335233","2.554278416","8.072174739","10.85568327","28.49002849","38.31417625","36.56220323","49.16985951"
"","","MZP2010CKE-AT01","","","","","","","","","MZP2010CKE-AT01-00040","","","","39","32","1","1","8","29","23","13","20","25","3.8","2","5","4","4","6.12","4","3","4","3","5.8","34.8","45","0.19","0.08","0.128888889","1.956521739","1.153846154","0.869565217","0.512820513","0.252173913","0.148717949","1.260869565","0.743589744","44.44444444","16.66666667","58.97435897","3.608736942","6.119162641","5.508072175","9.339774557","27.54036087","46.69887279","33.04843305","56.03864734"
"","","MZP2010CKE-AT01","","","","","","","","","MZP2010CKE-AT01-00041","","","","39","37","1","1","8","22","30","27","14","99","2","5.5","4","3","4","14.37","5","3","5","3","7.5","29.5","113","0.142857143","0.055555556","0.066371681","3.766666667","2.897435897","0.466666667","0.358974359","0.25","0.192307692","0.733333333","0.564102564","12.38938053","25.42372881","76.92307692","1.899335233","2.469135802","7.122507123","9.259259259","20.89268756","27.16049383","28.01519468","36.41975309"
"","","MZP2010CKE-AT01","","","","","","","","","MZP2010CKE-AT01-00042","","","","39","39","1","1","9","14","31","28","66","28","11","5.5","4","4","4","1.65","4","2","4","4","16.5","30.5","94","0.166666667","0.196428571","0.175531915","3.032258065","2.41025641","2.129032258","1.692307692","0.532258065","0.423076923","0.451612903","0.358974359","70.21276596","54.09836066","79.48717949","10.44634378","13.14217443","15.66951567","19.71326165","13.29534663","16.72640382","28.9648623","36.43966547"
"","","MZP2010CKE-AT01","","","","","","","","","MZP2010CKE-AT01-00043","","","","39","39","1","1","9","20","23","20","51","33","13","7.5","4","3","4","1.65","5","3","5","4","20.5","40.5","84","0.254901961","0.227272727","0.244047619","3.652173913","2.153846154","2.217391304","1.307692308","0.891304348","0.525641026","0.869565217","0.512820513","60.71428571","50.61728395","58.97435897","12.34567901","20.93397746","19.46818613","33.01127214","18.99335233","32.20611916","38.46153846","65.2173913"
"","","MZP2010CKE-AT01","","","","","","","","","MZP2010CKE-AT01-00044","","","","39","5","1","1","4","6.5","3","3","18","9","4","1","4","4","4","10.5","4","3","3","3","5","11.5","27","0.222222222","0.111111111","0.185185185","9","0.692307692","6","0.461538462","1.666666667","0.128205128","2.166666667","0.166666667","66.66666667","43.47826087","7.692307692","3.798670465","49.38271605","4.748338082","61.72839506","6.172839506","80.24691358","10.92117759","141.9753086"
"","","MZP2010CKE-AT01","","","","","","","","","MZP2010CKE-AT01-00045","","","","39","39","1","1","9","26","24","16","6","69","1","14","4","3","4","11.03","5","2","4","4","15","41","75","0.166666667","0.202898551","0.2","3.125","1.923076923","0.25","0.153846154","0.625","0.384615385","1.083333333","0.666666667","8","36.58536585","61.53846154","0.949667616","1.543209877","14.24501425","23.14814815","24.69135802","40.12345679","38.93637227","63.27160494"
