"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Fresh weight of storage root samples measuring g|CO_331:0000243","Dry weight of storage root samples measuring g|CO_331:0000247","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Storage root sweetness in cooked samples estimating 1-9|CO_331:0000261","Storage root texture in boiled samples estimating 1-9 by Gruneberg|CO_331:0000265","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2013UMB-PT01","","","","","","","","","MZP2013UMB-PT01-00021","","","","26","22","1","5","6","5","142","210","17.5","7.5","40.2","1","1","1","100.26","38.96","1","7","9","1","25","65.2","352","0.123239437","0.035714286","0.071022727","58.66666667","13.53846154","23.66666667","5.461538462","4.166666667","0.961538462","6.7","1.546153846","40.34090909","38.34355828","23.07692308","38.85896669","9.714741672","24.92877493","108.0246914","35.61253561","154.3209877","57.26495726","248.1481481","13.83866335","59.96754118","92.87749288","402.4691358"
"","","MZP2013UMB-PT01","","","","","","","","","MZP2013UMB-PT01-00022","","","","26","25","1","8","22","22","99","144","10","4.5","16.5","3","3","1","100.2","35","1","5","9","3","14.5","31","243","0.101010101","0.03125","0.059670782","11.04545455","9.346153846","4.5","3.807692308","0.659090909","0.557692308","0.75","0.634615385","40.74074074","46.77419355","84.61538462","34.93013972","5.064870259","14.24501425","16.83501684","20.65527066","24.41077441","23.5042735","27.77777778","7.2149149","8.526717609","44.15954416","52.18855219"
"","","MZP2013UMB-PT01","","","","","","","","","MZP2013UMB-PT01-00023","","","","26","24","1","7","16","16","54","18","8","6","14","9","9","1","100.31","33.75","7","1","1","5","14","28","72","0.148148148","0.333333333","0.194444444","4.5","2.769230769","3.375","2.076923077","0.875","0.538461538","0.875","0.538461538","75","50","61.53846154","33.64569834","4.710397767","11.3960114","18.51851852","19.94301994","32.40740741","19.94301994","32.40740741","6.709968329","10.90369853","39.88603989","64.81481481"
"","","MZP2013UMB-PT01","","","","","","","","","MZP2013UMB-PT01-00024","","","","26","26","3","9","19","19","61","150","7.4","7.1","37","3","3","1","","","3","7","7","3","14.5","51.5","211","0.121311475","0.047333333","0.068720379","11.10526316","8.115384615","3.210526316","2.346153846","0.763157895","0.557692308","1.947368421","1.423076923","28.90995261","28.15533981","73.07692308","","","10.54131054","14.42495127","20.65527066","28.26510721","52.70655271","72.12475634","","","73.36182336","100.3898635"
"","","MZP2013UMB-PT01","","","","","","","","","MZP2013UMB-PT01-00025","","","","26","26","1","8","21","21","138","100","24","4","16","3","3","1","","","1","7","9","1","28","44","238","0.173913043","0.04","0.117647059","11.33333333","9.153846154","6.571428571","5.307692308","1.333333333","1.076923077","0.761904762","0.615384615","57.98319328","63.63636364","80.76923077","","","34.18803419","42.32804233","39.88603989","49.38271605","22.79202279","28.21869489","","","62.67806268","77.60141093"
"","","MZP2013UMB-PT01","","","","","","","","","MZP2013UMB-PT01-00026","","","","26","26","3","8","14","14","63","60","8","3","20","7","7","1","100.29","35.46","1","7","9","3","11","31","123","0.126984127","0.05","0.089430894","8.785714286","4.730769231","4.5","2.423076923","0.785714286","0.423076923","1.428571429","0.769230769","51.2195122","35.48387097","53.84615385","35.35746336","3.889320969","11.3960114","21.16402116","15.66951567","29.1005291","28.49002849","52.91005291","5.540343261","10.28920891","44.15954416","82.01058201"
"","","MZP2013UMB-PT01","","","","","","","","","MZP2013UMB-PT01-00027","","","","26","26","1","9","12","12","8","16","1","1","15","7","7","1","100.26","33.49","1","7","1","7","2","17","24","0.125","0.0625","0.083333333","2","0.923076923","0.666666667","0.307692308","0.166666667","0.076923077","1.25","0.576923077","33.33333333","11.76470588","46.15384615","33.40315181","0.668063036","1.424501425","3.086419753","2.849002849","6.172839506","21.36752137","46.2962963","0.951656747","2.061922951","24.21652422","52.4691358"
"","","MZP2013UMB-PT01","","","","","","","","","MZP2013UMB-PT01-00028","","","","26","26","1","7","17","17","72","52","9.4","2.3","7.5","3","3","1","100.18","40.17","1","7","9","3","11.7","19.2","124","0.130555556","0.044230769","0.094354839","7.294117647","4.769230769","4.235294118","2.769230769","0.688235294","0.45","0.441176471","0.288461538","58.06451613","60.9375","65.38461538","40.09782392","4.691445398","13.39031339","20.47930283","16.66666667","25.49019608","10.68376068","16.33986928","6.682970653","10.22101394","27.35042735","41.83006536"
"","","MZP2013UMB-PT01","","","","","","","","","MZP2013UMB-PT01-00029","","","","26","26","1","6","17","17","28","150","7.8","4","12.4","5","1","1","100.7","40.41","1","3","1","7","11.8","24.2","178","0.278571429","0.026666667","0.066292135","10.47058824","6.846153846","1.647058824","1.076923077","0.694117647","0.453846154","0.729411765","0.476923077","15.73033708","48.76033058","65.38461538","40.12909633","4.735233366","11.11111111","16.99346405","16.80911681","25.708061","17.66381766","27.01525054","6.745346676","10.31641256","34.47293447","52.72331155"
"","","MZP2013UMB-PT01","","","","","","","","","MZP2013UMB-PT01-00030","","","","26","26","1","7","16","14","44","56","8.3","3","10","5","1","1","100.92","29.45","1","1","7","7","11.3","21.3","100","0.188636364","0.053571429","0.113","6.25","3.846153846","2.75","1.692307692","0.70625","0.434615385","0.625","0.384615385","44","53.05164319","61.53846154","29.18152992","3.297512881","11.82336182","19.21296296","16.0968661","26.15740741","14.24501425","23.14814815","4.697311797","7.63313167","30.34188034","49.30555556"
