"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Weight of vines per NET plot in kg|CO_331:0000227","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Fresh weight of storage root samples measuring g|CO_331:0000243","Dry weight of storage root samples measuring g|CO_331:0000247","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Fiber content in raw storage roots estimating 1-9|CO_331:0001038","Content of total sugars estimating 1-9|CO_331:0000766","Content of starch in raw storage roots estimating 1-9|CO_331:0001055","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Total storage roots yield computation tons per ha|CO_331:0000296","Commercial storage root yield tons per ha|CO_331:0000809","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in kg per plot|CO_331:0000683","Harvest index computing percent|CO_331:0000302","Storage root dry matter content computing percent|CO_331:0000297","Survival index computing percent|CO_331:0000301","Total storage root weight per NET plot in kg|CO_331:0000237","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2009UMB-AT01","","","","","","","","","MZP2009UMB-AT01-00018","","","","39","36","1","1","7","19","11","","","","","","","","","","","","","","","","","","18.04368471","","","","28.20512821","","","","","","","","","","","","1.727272727","0.487179487","","","","","63.97306397","","","",""
"","","MZP2009UMB-AT01","","","","","","","","","MZP2009UMB-AT01-00019","","","","39","38","1","1","9","12.5","12","10","25","35","7.5","2.5","3","4","4","30.38","10.66","","5","2","4","4","9.496676163","7.122507123","11.8708452","22.5","44.44444444","35.08887426","30.76923077","10","60","0.3","0.071428571","0.166666667","5","1.538461538","2.083333333","0.641025641","0.833333333","0.256410256","1.041666667","0.320512821","41.66666667","3.508887426","23.14814815","30.86419753","38.58024691","3.332276758","10.82989946","21.36752137","69.44444444"
"","","MZP2009UMB-AT01","","","","","","","","","MZP2009UMB-AT01-00020","","","","39","33","1","1","9","28.5","14","6","2","12","0.5","1","4","3","3","30.03","10.36","0","5","2","3","4","1.424501425","0.474833808","27.06552707","30","5","34.4988345","35.8974359","1.5","14","0.25","0.083333333","0.107142857","1","0.358974359","0.142857143","0.051282051","0.107142857","0.038461538","2.035714286","0.730769231","14.28571429","0.517482517","1.322751323","3.968253968","75.3968254","0.491436389","1.369001369","28.49002849","79.36507937"
"","","MZP2009UMB-AT01","","","","","","","","","MZP2009UMB-AT01-00021","","","","39","35","3","5","9","23.5","12","8","8","9","1","0.5","2","2","4","30.18","10.25","7.76","5","3","3","3","1.424501425","0.949667616","22.31718898","25","6","33.96288933","30.76923077","1.5","17","0.125","0.055555556","0.088235294","1.416666667","0.435897436","0.666666667","0.205128205","0.125","0.038461538","1.958333333","0.602564103","47.05882353","0.50944334","3.086419753","4.62962963","72.5308642","0.483801842","1.572355988","23.74169041","77.16049383"
"","","MZP2009UMB-AT01","","","","","","","","","MZP2009UMB-AT01-00022","","","","39","32","1","1","9","20.5","16","11","17","47","1.5","1","2","3","5","27.94","9.47","10.5","5","4","4","2","2.374169041","1.424501425","19.46818613","23","10.86956522","33.8940587","41.02564103","2.5","64","0.088235294","0.021276596","0.0390625","4","1.641025641","1.0625","0.435897436","0.15625","0.064102564","1.28125","0.525641026","26.5625","0.847351467","3.472222222","5.787037037","47.4537037","0.804702248","1.96146173","21.84235518","53.24074074"
"","","MZP2009UMB-AT01","","","","","","","","","MZP2009UMB-AT01-00023","","","","39","34","1","1","8","13","10","2","0","10","0","1","2","2","4","30.26","9.62","0","5","2","4","4","0.949667616","0","12.34567901","14","7.142857143","31.79114342","25.64102564","1","10","","0.1","0.1","1","0.256410256","0","0","0.1","0.025641026","1.3","0.333333333","0","0.317911434","0","3.703703704","48.14814815","0.301910194","1.177449756","13.29534663","51.85185185"
"","","MZP2009UMB-AT01","","","","","","","","","MZP2009UMB-AT01-00024","","","","39","39","1","1","8","30","13","10","7","14","1","0.3","2","1","4","30.24","11.77","0.15","5","2","4","4","1.234567901","0.949667616","28.49002849","31.3","4.153354633","38.92195767","33.33333333","1.3","21","0.142857143","0.021428571","0.061904762","1.615384615","0.538461538","0.538461538","0.179487179","0.1","0.033333333","2.307692308","0.769230769","33.33333333","0.50598545","2.849002849","3.703703704","85.47008547","0.480517996","1.441553988","29.72459639","89.17378917"
"","","MZP2009UMB-AT01","","","","","","","","","MZP2009UMB-AT01-00025","","","","39","37","4","6","8","19","9","3","5","7","0.5","0.2","2","2","4","30.29","9.41","","4","1","3","4","0.664767331","0.474833808","18.04368471","19.7","3.553299492","31.06635853","23.07692308","0.7","12","0.1","0.028571429","0.058333333","1.333333333","0.307692308","0.555555556","0.128205128","0.077777778","0.017948718","2.111111111","0.487179487","41.66666667","0.21746451","2.057613169","2.880658436","78.18930041","0.206519003","0.894915678","18.70845204","81.06995885"
"","","MZP2009UMB-AT01","","","","","","","","","MZP2009UMB-AT01-00026","","","","39","39","1","1","9","13.5","18","14","40","30","7","1.6","4","4","4","30.72","10.08","","5","4","4","2","8.1671415","6.647673314","12.82051282","22.1","38.91402715","32.8125","46.15384615","8.6","70","0.175","0.053333333","0.122857143","3.888888889","1.794871795","2.222222222","1.025641026","0.477777778","0.220512821","0.75","0.346153846","57.14285714","2.821875","14.40329218","17.69547325","27.77777778","2.679843305","5.80632716","20.98765432","45.47325103"
"","","MZP2009UMB-AT01","","","","","","","","","MZP2009UMB-AT01-00027","","","","39","39","1","1","9","12","14","12","10","45","1.9","3.7","3","3","3","30.49","9.76","","5","2","3","4","5.318138651","1.804368471","11.3960114","17.6","31.81818182","32.01049524","35.8974359","5.6","55","0.19","0.082222222","0.101818182","3.928571429","1.41025641","0.714285714","0.256410256","0.4","0.143589744","0.857142857","0.307692308","18.18181818","1.792587734","5.026455026","14.81481481","31.74603175","1.70236252","4.742295592","16.71415005","46.56084656"
"","","MZP2009UMB-AT01","","","","","","","","","MZP2009UMB-AT01-00028","","","","39","35","1","1","9","14.5","15","11","17","27","4","1","3","4","3","30.39","7.24","","","","","","4.748338082","3.798670465","13.77018044","19.5","25.64102564","23.82362619","38.46153846","5","44","0.235294118","0.037037037","0.113636364","2.933333333","1.128205128","1.133333333","0.435897436","0.333333333","0.128205128","0.966666667","0.371794872","38.63636364","1.19118131","9.87654321","12.34567901","35.80246914","1.131226315","2.941188419","18.51851852","48.14814815"
"","","MZP2009UMB-AT01","","","","","","","","","MZP2009UMB-AT01-00029","","","","39","33","1","1","9","13","11","9","13","36","1.4","2","3","3","4","30.77","9.96","1.76","5","2","3","4","3.228869896","1.329534663","12.34567901","16.4","20.73170732","32.36919077","28.20512821","3.4","49","0.107692308","0.055555556","0.069387755","4.454545455","1.256410256","1.181818182","0.333333333","0.309090909","0.087179487","1.181818182","0.333333333","26.53061224","1.100552486","4.713804714","11.44781145","43.77104377","1.045159056","3.705563927","15.57454891","55.21885522"
"","","MZP2009UMB-AT01","","","","","","","","","MZP2009UMB-AT01-00030","","","","39","36","1","1","8","35.5","18","10","16","25","2","1","3","3","4","30.03","7.73","0.02","5","3","4","4","2.849002849","1.899335233","33.71320038","38.5","7.792207792","25.74092574","46.15384615","3","41","0.125","0.04","0.073170732","2.277777778","1.051282051","0.888888889","0.41025641","0.166666667","0.076923077","1.972222222","0.91025641","39.02439024","0.772227772","4.115226337","6.172839506","73.04526749","0.733359708","1.588946033","36.56220323","79.218107"
"","","MZP2009UMB-AT01","","","","","","","","","MZP2009UMB-AT01-00031","","","","39","30","1","1","8","8.5","8","7","13","22","1.5","0.9","3","3","4","","","","","","","","2.279202279","1.424501425","8.072174739","10.9","22.01834862","","20.51282051","2.4","35","0.115384615","0.040909091","0.068571429","4.375","0.897435897","1.625","0.333333333","0.3","0.061538462","1.0625","0.217948718","37.14285714","","6.944444444","11.11111111","39.35185185","","","10.35137702","50.46296296"
"","","MZP2009UMB-AT01","","","","","","","","","MZP2009UMB-AT01-00032","","","","39","34","1","1","8","24","18","17","34","38","11.5","9","3","3","3","30.57","9.91","5.46","2","3","3","3","19.46818613","10.92117759","22.79202279","44.5","46.06741573","32.41740268","46.15384615","20.5","72","0.338235294","0.236842105","0.284722222","4","1.846153846","1.888888889","0.871794872","1.138888889","0.525641026","1.333333333","0.615384615","47.22222222","6.64556755","23.66255144","42.18106996","49.38271605","6.311080294","13.6740073","42.26020893","91.56378601"
"","","MZP2009UMB-AT01","","","","","","","","","MZP2009UMB-AT01-00033","","","","39","31","1","1","7","17.5","16","11","3","47","1","3.8","3","3","3","30.37","10.82","1.65","5","4","3","3","4.558404558","0.949667616","16.61918329","22.3","21.52466368","35.62726375","41.02564103","4.8","50","0.333333333","0.080851064","0.096","3.125","1.282051282","0.1875","0.076923077","0.3","0.123076923","1.09375","0.448717949","6","1.71010866","2.314814815","11.11111111","40.50925926","1.624034815","3.958584861","21.17758784","51.62037037"
"","","MZP2009UMB-AT01","","","","","","","","","MZP2009UMB-AT01-00034","","","","39","37","1","1","7","23","13","7","7","22","2","1.5","3","3","4","30.25","10.55","7.76","5","3","2","3","3.323836657","1.899335233","21.84235518","26.5","13.20754717","34.87603306","33.33333333","3.5","29","0.285714286","0.068181818","0.120689655","2.230769231","0.743589744","0.538461538","0.179487179","0.269230769","0.08974359","1.769230769","0.58974359","24.13793103","1.220661157","5.698005698","9.971509972","65.52706553","1.159222371","3.477667114","25.16619183","75.4985755"
"","","MZP2009UMB-AT01","","","","","","","","","MZP2009UMB-AT01-00035","","","","39","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","MZP2009UMB-AT01","","","","","","","","","MZP2009UMB-AT01-00036","","","","39","30","1","1","8","24.5","12","10","2","16","2.2","2","3","3","4","30.62","10.22","1.76","5","2","3","4","3.988603989","2.089268756","23.2668566","28.7","14.63414634","33.37687786","30.76923077","4.2","18","1.1","0.125","0.233333333","1.5","0.461538462","0.166666667","0.051282051","0.35","0.107692308","2.041666667","0.628205128","11.11111111","1.40182887","6.790123457","12.96296296","75.61728395","1.331271482","4.326632315","27.25546059","88.58024691"
"","","MZP2009UMB-AT01","","","","","","","","","MZP2009UMB-AT01-00037","","","","39","32","1","1","8","9.5","13","11","10","27","3","3.5","3","3","3","30.33","8.6","1.5","5","2","4","4","6.172839506","2.849002849","9.021842355","16","40.625","28.35476426","33.33333333","6.5","37","0.3","0.12962963","0.175675676","2.846153846","0.948717949","0.769230769","0.256410256","0.5","0.166666667","0.730769231","0.243589744","27.02702703","1.843059677","8.547008547","18.51851852","27.06552707","1.75029409","5.25088227","15.19468186","45.58404558"
"","","MZP2009UMB-AT01","","","","","","","","","MZP2009UMB-AT01-00038","","","","39","34","1","1","9","4","12","6","2","12","1","2","2","2","2","30.89","10.2","1.38","5","4","3","3","2.849002849","0.949667616","3.798670465","7","42.85714286","33.02039495","30.76923077","3","14","0.5","0.166666667","0.214285714","1.166666667","0.358974359","0.166666667","0.051282051","0.25","0.076923077","0.333333333","0.102564103","14.28571429","0.990611848","3.086419753","9.259259259","12.34567901","0.940751993","3.057443977","6.647673314","21.60493827"
"","","MZP2009UMB-AT01","","","","","","","","","MZP2009UMB-AT01-00039","","","","39","36","1","1","8","21.5","18","10","17","60","2.4","2.5","3","3","4","30.2","9.08","7.76","5","3","3","3","4.65337132","2.279202279","20.41785375","26.4","18.56060606","30.06622517","46.15384615","4.9","77","0.141176471","0.041666667","0.063636364","4.277777778","1.974358974","0.944444444","0.435897436","0.272222222","0.125641026","1.194444444","0.551282051","22.07792208","1.473245033","4.938271605","10.08230453","44.23868313","1.399093099","3.031368381","25.07122507","54.32098765"
"","","MZP2009UMB-AT01","","","","","","","","","MZP2009UMB-AT01-00040","","","","39","30","1","1","7","5","8","5","6","11","1.9","1","4","4","3","30.95","9.43","","","","","","2.754036087","1.804368471","4.748338082","7.9","36.70886076","30.46849758","20.51282051","2.9","17","0.316666667","0.090909091","0.170588235","2.125","0.435897436","0.75","0.153846154","0.3625","0.074358974","0.625","0.128205128","35.29411765","0.88358643","8.796296296","13.42592593","23.14814815","0.839113419","4.090677915","7.502374169","36.57407407"
"","","MZP2009UMB-AT01","","","","","","","","","MZP2009UMB-AT01-00041","","","","39","39","1","1","9","27","12","6","9","6","1.2","1","3","2","4","30.03","10.51","0","5","4","3","3","2.089268756","1.13960114","25.64102564","29.2","7.534246575","34.998335","30.76923077","2.2","15","0.133333333","0.166666667","0.146666667","1.25","0.384615385","0.75","0.230769231","0.183333333","0.056410256","2.25","0.692307692","60","0.76996337","3.703703704","6.790123457","83.33333333","0.731209278","2.376430154","27.7302944","90.12345679"
"","","MZP2009UMB-AT01","","","","","","","","","MZP2009UMB-AT01-00042","","","","39","37","1","1","9","35.5","21","17","17","35","4","2","3","3","4","30.39","10.71","","5","2","4","4","5.698005698","3.798670465","33.71320038","41.5","14.45783133","35.24185587","53.84615385","6","52","0.235294118","0.057142857","0.115384615","2.476190476","1.333333333","0.80952381","0.435897436","0.285714286","0.153846154","1.69047619","0.91025641","32.69230769","2.114511352","7.054673721","10.58201058","62.61022928","2.008082956","3.729296918","39.41120608","73.19223986"
"","","MZP2009UMB-AT01","","","","","","","","","MZP2009UMB-AT01-00043","","","","39","32","3","4","9","16","22","20","59","80","18","7.5","4","3","3","30.09","9.53","","5","2","4","4","24.21652422","17.09401709","15.19468186","41.5","61.44578313","31.67165171","56.41025641","25.5","139","0.305084746","0.09375","0.183453237","6.318181818","3.564102564","2.681818182","1.512820513","1.159090909","0.653846154","0.727272727","0.41025641","42.44604317","8.076271186","30.3030303","42.92929293","26.93602694","7.669773206","13.59641614","39.41120608","69.86531987"
"","","MZP2009UMB-AT01","","","","","","","","","MZP2009UMB-AT01-00044","","","","39","35","1","1","9","23.5","16","11","23","28","4","2","3","3","4","30.56","8.98","1.38","5","3","3","3","5.698005698","3.798670465","22.31718898","29.5","20.33898305","29.38481675","41.02564103","6","51","0.173913043","0.071428571","0.117647059","3.1875","1.307692308","1.4375","0.58974359","0.375","0.153846154","1.46875","0.602564103","45.09803922","1.763089005","9.259259259","13.88888889","54.39814815","1.674348533","4.081224549","28.01519468","68.28703704"
"","","MZP2009UMB-AT01","","","","","","","","","MZP2009UMB-AT01-00045","","","","39","30","1","1","8","21","21","20","21","26","4.2","2.2","3","4","4","30.57","9.97","1.65","5","3","3","2","6.077872745","3.988603989","19.94301994","27.4","23.35766423","32.61367354","53.84615385","6.4","47","0.2","0.084615385","0.136170213","2.238095238","1.205128205","1","0.538461538","0.304761905","0.164102564","1","0.538461538","44.68085106","2.087275106","7.407407407","11.28747795","37.03703704","1.982217575","3.68126121","26.02089269","48.32451499"
