"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Storage root sweetness in cooked samples estimating 1-9|CO_331:0000261","Storage root texture in boiled samples estimating 1-9 by Gruneberg|CO_331:0000265","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2015GUR-MT01","","","","","","","","","MZP2015GUR-MT01-00011","","","","39","19","1","5","5","19","19","42","58","12","18","17.5","5","3","5","5","1","5","5","3","30","47.5","100","0.285714286","0.310344828","0.3","5.263157895","2.564102564","2.210526316","1.076923077","1.578947368","0.769230769","0.921052632","0.448717949","42","63.15789474","48.71794872","11.3960114","23.39181287","28.49002849","58.47953216","16.61918329","34.11306043","45.10921178","92.59259259"
"","","MZP2015GUR-MT01","","","","","","","","","MZP2015GUR-MT01-00012","","","","39","21","3","5","5","21","21","32","43","10","13.5","11.5","4","5","5","5","1","5","5","3","23.5","35","75","0.3125","0.313953488","0.313333333","3.571428571","1.923076923","1.523809524","0.820512821","1.119047619","0.602564103","0.547619048","0.294871795","42.66666667","67.14285714","53.84615385","9.496676163","17.6366843","22.31718898","41.44620811","10.92117759","20.28218695","33.23836657","61.72839506"
"","","MZP2015GUR-MT01","","","","","","","","","MZP2015GUR-MT01-00013","","","","39","30","3","5","5","30","30","39","50","10.1","13.9","12.5","2","5","5","5","1","5","5","3","24","36.5","89","0.258974359","0.278","0.269662921","2.966666667","2.282051282","1.3","1","0.8","0.615384615","0.416666667","0.320512821","43.82022472","65.75342466","76.92307692","9.591642925","12.4691358","22.79202279","29.62962963","11.8708452","15.43209877","34.662868","45.0617284"
"","","MZP2015GUR-MT01","","","","","","","","","MZP2015GUR-MT01-00014","","","","39","18","3","5","5","18","18","19","24","4.5","6","10","5","5","7","5","1","5","5","3","10.5","20.5","43","0.236842105","0.25","0.244186047","2.388888889","1.102564103","1.055555556","0.487179487","0.583333333","0.269230769","0.555555556","0.256410256","44.18604651","51.2195122","46.15384615","4.273504274","9.259259259","9.971509972","21.60493827","9.496676163","20.57613169","19.46818613","42.18106996"
"","","MZP2015GUR-MT01","","","","","","","","","MZP2015GUR-MT01-00015","","","","39","21","3","5","5","21","21","18","27","4.2","7","9.5","5","5","5","5","1","5","5","3","11.2","20.7","45","0.233333333","0.259259259","0.248888889","2.142857143","1.153846154","0.857142857","0.461538462","0.533333333","0.287179487","0.452380952","0.243589744","40","54.10628019","53.84615385","3.988603989","7.407407407","10.6362773","19.75308642","9.021842355","16.75485009","19.65811966","36.50793651"
"","","MZP2015GUR-MT01","","","","","","","","","MZP2015GUR-MT01-00016","","","","39","30","1","5","7","30","30","39","50","10.5","14.5","22.5","8","3","5","5","3","3","7","1","25","47.5","89","0.269230769","0.29","0.280898876","2.966666667","2.282051282","1.3","1","0.833333333","0.641025641","0.75","0.576923077","43.82022472","52.63157895","76.92307692","9.971509972","12.96296296","23.74169041","30.86419753","21.36752137","27.77777778","45.10921178","58.64197531"
"","","MZP2015GUR-MT01","","","","","","","","","MZP2015GUR-MT01-00017","","","","39","35","3","5","5","21","13","16","22","4.3","5.7","13.1","5","5","5","7","1","5","5","3","10","23.1","38","0.26875","0.259090909","0.263157895","1.80952381","0.974358974","0.761904762","0.41025641","0.476190476","0.256410256","0.623809524","0.335897436","42.10526316","43.29004329","53.84615385","4.08357075","7.58377425","9.496676163","17.6366843","12.44064577","23.10405644","21.93732194","40.74074074"
"","","MZP2015GUR-MT01","","","","","","","","","MZP2015GUR-MT01-00018","","","","39","20","5","7","5","17","10","15","20","4","5","7","2","7","7","7","1","5","5","3","9","16","35","0.266666667","0.25","0.257142857","2.058823529","0.897435897","0.882352941","0.384615385","0.529411765","0.230769231","0.411764706","0.179487179","42.85714286","56.25","43.58974359","3.798670465","8.71459695","8.547008547","19.60784314","6.647673314","15.25054466","15.19468186","34.8583878"
"","","MZP2015GUR-MT01","","","","","","","","","MZP2015GUR-MT01-00019","","","","39","23","3","5","5","23","23","10","19","3","5","7.5","6","5","7","5","1","5","5","3","8","15.5","29","0.3","0.263157895","0.275862069","1.260869565","0.743589744","0.434782609","0.256410256","0.347826087","0.205128205","0.326086957","0.192307692","34.48275862","51.61290323","58.97435897","2.849002849","4.830917874","7.597340931","12.88244767","7.122507123","12.07729469","14.71984805","24.95974235"
"","","MZP2015GUR-MT01","","","","","","","","","MZP2015GUR-MT01-00020","","","","39","31","3","5","5","27","27","29","41","5.5","7.7","10.1","5","5","5","5","1","7","3","5","13.2","23.3","70","0.189655172","0.187804878","0.188571429","2.592592593","1.794871795","1.074074074","0.743589744","0.488888889","0.338461538","0.374074074","0.258974359","41.42857143","56.65236052","69.23076923","5.22317189","7.544581619","12.53561254","18.10699588","9.591642925","13.85459534","22.12725546","31.96159122"
"","","MZP2015GUR-MT01","","","","","","","","","MZP2015GUR-MT01-00021","","","","39","19","3","5","7","19","19","19","38","5","6","11.5","5","3","3","5","1","5","7","1","11","22.5","57","0.263157895","0.157894737","0.192982456","3","1.461538462","1","0.487179487","0.578947368","0.282051282","0.605263158","0.294871795","33.33333333","48.88888889","48.71794872","4.748338082","9.746588694","10.44634378","21.44249513","10.92117759","22.417154","21.36752137","43.85964912"
"","","MZP2015GUR-MT01","","","","","","","","","MZP2015GUR-MT01-00022","","","","39","33","3","5","7","31","31","40","57","12.1","16","20.5","2","5","5","3","1","5","5","3","28.1","48.6","97","0.3025","0.280701754","0.289690722","3.129032258","2.487179487","1.290322581","1.025641026","0.906451613","0.720512821","0.661290323","0.525641026","41.2371134","57.81893004","79.48717949","11.49097816","14.45639188","26.68566002","33.57228196","19.46818613","24.49223417","46.15384615","58.06451613"
"","","MZP2015GUR-MT01","","","","","","","","","MZP2015GUR-MT01-00023","","","","39","21","5","7","5","21","21","10","33","3","8.5","10.1","2","5","5","5","1","5","5","3","11.5","21.6","43","0.3","0.257575758","0.26744186","2.047619048","1.102564103","0.476190476","0.256410256","0.547619048","0.294871795","0.480952381","0.258974359","23.25581395","53.24074074","53.84615385","2.849002849","5.291005291","10.92117759","20.28218695","9.591642925","17.81305115","20.51282051","38.0952381"
"","","MZP2015GUR-MT01","","","","","","","","","MZP2015GUR-MT01-00024","","","","39","18","1","3","5","18","18","42","67","12","17","30.2","5","5","3","5","1","5","5","3","29","59.2","109","0.285714286","0.253731343","0.266055046","6.055555556","2.794871795","2.333333333","1.076923077","1.611111111","0.743589744","1.677777778","0.774358974","38.53211009","48.98648649","46.15384615","11.3960114","24.69135802","27.54036087","59.67078189","28.67996201","62.1399177","56.22032289","121.8106996"
"","","MZP2015GUR-MT01","","","","","","","","","MZP2015GUR-MT01-00025","","","","39","23","1","5","5","23","23","30","38","8.9","11.1","10.2","4","5","5","5","1","5","5","3","20","30.2","68","0.296666667","0.292105263","0.294117647","2.956521739","1.743589744","1.304347826","0.769230769","0.869565217","0.512820513","0.443478261","0.261538462","44.11764706","66.22516556","58.97435897","8.452041785","14.33172303","18.99335233","32.20611916","9.686609687","16.42512077","28.67996201","48.63123994"
"","","MZP2015GUR-MT01","","","","","","","","","MZP2015GUR-MT01-00026","","","","39","37","1","5","5","31","31","19","25","5","7.3","12.3","5","5","5","5","3","3","7","1","12.3","24.6","44","0.263157895","0.292","0.279545455","1.419354839","1.128205128","0.612903226","0.487179487","0.396774194","0.315384615","0.396774194","0.315384615","43.18181818","50","79.48717949","4.748338082","5.973715651","11.68091168","14.6953405","11.68091168","14.6953405","23.36182336","29.390681"
"","","MZP2015GUR-MT01","","","","","","","","","MZP2015GUR-MT01-00027","","","","39","35","1","5","7","31","31","23","42","4.6","12.1","18.4","5","3","5","5","1","5","5","3","16.7","35.1","65","0.2","0.288095238","0.256923077","2.096774194","1.666666667","0.741935484","0.58974359","0.538709677","0.428205128","0.593548387","0.471794872","35.38461538","47.57834758","79.48717949","4.368471035","5.495818399","15.85944919","19.95221027","17.47388414","21.9832736","33.33333333","41.93548387"
"","","MZP2015GUR-MT01","","","","","","","","","MZP2015GUR-MT01-00028","","","","39","31","1","3","5","29","29","24","35","5.3","6.5","10","2","5","5","5","1","5","5","3","11.8","21.8","59","0.220833333","0.185714286","0.2","2.034482759","1.512820513","0.827586207","0.615384615","0.406896552","0.302564103","0.344827586","0.256410256","40.6779661","54.12844037","74.35897436","5.033238367","6.768837803","11.20607787","15.07024266","9.496676163","12.77139208","20.70275404","27.84163474"
"","","MZP2015GUR-MT01","","","","","","","","","MZP2015GUR-MT01-00029","","","","39","28","1","3","7","28","28","40","65","9.5","15.6","23.1","7","3","3","5","3","3","7","1","25.1","48.2","105","0.2375","0.24","0.239047619","3.75","2.692307692","1.428571429","1.025641026","0.896428571","0.643589744","0.825","0.592307692","38.0952381","52.0746888","71.79487179","9.021842355","12.56613757","23.83665717","33.2010582","21.93732194","30.55555556","45.77397911","63.75661376"
"","","MZP2015GUR-MT01","","","","","","","","","MZP2015GUR-MT01-00030","","","","39","29","1","5","5","19","19","20","27","4.5","7.6","10","5","5","5","3","1","5","5","3","12.1","22.1","47","0.225","0.281481481","0.257446809","2.473684211","1.205128205","1.052631579","0.512820513","0.636842105","0.31025641","0.526315789","0.256410256","42.55319149","54.75113122","48.71794872","4.273504274","8.771929825","11.49097816","23.58674464","9.496676163","19.49317739","20.98765432","43.07992203"
"","","MZP2015GUR-MT01","","","","","","","","","MZP2015GUR-MT01-00031","","","","39","25","5","7","5","25","25","19","28","4.5","7.6","9.1","2","5","5","5","1","5","5","3","12.1","21.2","47","0.236842105","0.271428571","0.257446809","1.88","1.205128205","0.76","0.487179487","0.484","0.31025641","0.364","0.233333333","40.42553191","57.0754717","64.1025641","4.273504274","6.666666667","11.49097816","17.92592593","8.641975309","13.48148148","20.13295347","31.40740741"
"","","MZP2015GUR-MT01","","","","","","","","","MZP2015GUR-MT01-00032","","","","39","20","1","5","5","20","20","32","51","10","15.6","20.3","5","3","3","5","1","5","5","3","25.6","45.9","83","0.3125","0.305882353","0.308433735","4.15","2.128205128","1.6","0.820512821","1.28","0.656410256","1.015","0.520512821","38.55421687","55.77342048","51.28205128","9.496676163","18.51851852","24.31149098","47.40740741","19.27825261","37.59259259","43.58974359","85"
"","","MZP2015GUR-MT01","","","","","","","","","MZP2015GUR-MT01-00033","","","","39","34","1","3","5","31","31","26","40","6.5","10","17.1","2","3","3","5","1","5","5","3","16.5","33.6","66","0.25","0.25","0.25","2.129032258","1.692307692","0.838709677","0.666666667","0.532258065","0.423076923","0.551612903","0.438461538","39.39393939","49.10714286","79.48717949","6.172839506","7.765830346","15.66951567","19.71326165","16.23931624","20.43010753","31.90883191","40.14336918"
"","","MZP2015GUR-MT01","","","","","","","","","MZP2015GUR-MT01-00034","","","","39","28","1","3","5","28","27","25","40","7.2","8","14.9","4","5","5","5","1","5","5","3","15.2","30.1","65","0.288","0.2","0.233846154","2.321428571","1.666666667","0.892857143","0.641025641","0.542857143","0.38974359","0.532142857","0.382051282","38.46153846","50.49833887","71.79487179","6.837606838","9.523809524","14.43494777","20.10582011","14.15004748","19.70899471","28.58499525","39.81481481"
"","","MZP2015GUR-MT01","","","","","","","","","MZP2015GUR-MT01-00035","","","","39","30","1","5","5","30","30","40","54","10","14.6","19.5","6","3","5","5","1","5","5","3","24.6","44.1","94","0.25","0.27037037","0.261702128","3.133333333","2.41025641","1.333333333","1.025641026","0.82","0.630769231","0.65","0.5","42.55319149","55.78231293","76.92307692","9.496676163","12.34567901","23.36182336","30.37037037","18.51851852","24.07407407","41.88034188","54.44444444"
"","","MZP2015GUR-MT01","","","","","","","","","MZP2015GUR-MT01-00036","","","","39","26","1","5","5","24","24","24","36","6.5","7","10","2","5","5","5","1","5","5","3","13.5","23.5","60","0.270833333","0.194444444","0.225","2.5","1.538461538","1","0.615384615","0.5625","0.346153846","0.416666667","0.256410256","40","57.44680851","61.53846154","6.172839506","10.0308642","12.82051282","20.83333333","9.496676163","15.43209877","22.31718898","36.2654321"
"","","MZP2015GUR-MT01","","","","","","","","","MZP2015GUR-MT01-00037","","","","39","34","1","5","5","28","28","34","46","9.6","12.3","18","6","3","3","3","1","5","5","3","21.9","39.9","80","0.282352941","0.267391304","0.27375","2.857142857","2.051282051","1.214285714","0.871794872","0.782142857","0.561538462","0.642857143","0.461538462","42.5","54.88721805","71.79487179","9.116809117","12.6984127","20.7977208","28.96825397","17.09401709","23.80952381","37.89173789","52.77777778"
"","","MZP2015GUR-MT01","","","","","","","","","MZP2015GUR-MT01-00038","","","","39","29","3","5","5","29","29","34","44","6.5","8","11","5","5","5","5","1","7","3","5","14.5","25.5","78","0.191176471","0.181818182","0.185897436","2.689655172","2","1.172413793","0.871794872","0.5","0.371794872","0.379310345","0.282051282","43.58974359","56.8627451","74.35897436","6.172839506","8.301404853","13.77018044","18.51851852","10.44634378","14.04853129","24.21652422","32.56704981"
"","","MZP2015GUR-MT01","","","","","","","","","MZP2015GUR-MT01-00039","","","","39","30","1","3","5","25","25","19","29","5","7","11","5","5","5","5","1","5","5","3","12","23","48","0.263157895","0.24137931","0.25","1.92","1.230769231","0.76","0.487179487","0.48","0.307692308","0.44","0.282051282","39.58333333","52.17391304","64.1025641","4.748338082","7.407407407","11.3960114","17.77777778","10.44634378","16.2962963","21.84235518","34.07407407"
"","","MZP2015GUR-MT01","","","","","","","","","MZP2015GUR-MT01-00040","","","","39","23","1","5","7","23","23","24","40","6","8.6","12","5","3","3","5","1","5","7","1","14.6","26.6","64","0.25","0.215","0.228125","2.782608696","1.641025641","1.043478261","0.615384615","0.634782609","0.374358974","0.52173913","0.307692308","37.5","54.88721805","58.97435897","5.698005698","9.661835749","13.8651472","23.51046699","11.3960114","19.3236715","25.26115859","42.83413849"
"","","MZP2015GUR-MT01","","","","","","","","","MZP2015GUR-MT01-00041","","","","39","31","1","5","7","31","30","38","55","11","14.3","21.3","2","5","5","3","3","5","5","3","25.3","46.6","93","0.289473684","0.26","0.272043011","3","2.384615385","1.225806452","0.974358974","0.816129032","0.648717949","0.687096774","0.546153846","40.86021505","54.29184549","79.48717949","10.44634378","13.14217443","24.02659069","30.22700119","20.22792023","25.44802867","44.25451092","55.67502987"
"","","MZP2015GUR-MT01","","","","","","","","","MZP2015GUR-MT01-00042","","","","39","30","1","3","5","30","30","40","57","11","15.2","28.6","5","3","3","5","1","5","7","3","26.2","54.8","97","0.275","0.266666667","0.270103093","3.233333333","2.487179487","1.333333333","1.025641026","0.873333333","0.671794872","0.953333333","0.733333333","41.2371134","47.81021898","76.92307692","10.44634378","13.58024691","24.88129155","32.34567901","27.16049383","35.30864198","52.04178538","67.65432099"
"","","MZP2015GUR-MT01","","","","","","","","","MZP2015GUR-MT01-00043","","","","39","32","1","5","5","23","23","20","25","5.5","6.7","12.3","5","3","3","7","1","5","5","3","12.2","24.5","45","0.275","0.268","0.271111111","1.956521739","1.153846154","0.869565217","0.512820513","0.530434783","0.312820513","0.534782609","0.315384615","44.44444444","49.79591837","58.97435897","5.22317189","8.85668277","11.58594492","19.64573269","11.68091168","19.80676329","23.2668566","39.45249597"
"","","MZP2015GUR-MT01","","","","","","","","","MZP2015GUR-MT01-00044","","","","39","34","1","5","5","30","29","38","48","8.6","12","14.3","2","3","3","5","1","5","5","3","20.6","34.9","86","0.226315789","0.25","0.239534884","2.866666667","2.205128205","1.266666667","0.974358974","0.686666667","0.528205128","0.476666667","0.366666667","44.18604651","59.02578797","76.92307692","8.1671415","10.61728395","19.5631529","25.43209877","13.58024691","17.65432099","33.14339981","43.08641975"
"","","MZP2015GUR-MT01","","","","","","","","","MZP2015GUR-MT01-00045","","","","39","23","1","5","7","23","23","35","40","6.5","9.6","14.3","1","1","1","3","3","3","7","1","16.1","30.4","75","0.185714286","0.24","0.214666667","3.260869565","1.923076923","1.52173913","0.897435897","0.7","0.412820513","0.62173913","0.366666667","46.66666667","52.96052632","58.97435897","6.172839506","10.46698873","15.28964862","25.92592593","13.58024691","23.0273752","28.86989554","48.95330113"
"","","MZP2015GUR-MT01","","","","","","","","","MZP2015GUR-MT01-00046","","","","39","21","1","5","5","20","20","18","26","4.6","6.5","9.2","4","5","5","5","1","5","5","3","11.1","20.3","44","0.255555556","0.25","0.252272727","2.2","1.128205128","0.9","0.461538462","0.555","0.284615385","0.46","0.235897436","40.90909091","54.67980296","51.28205128","4.368471035","8.518518519","10.54131054","20.55555556","8.73694207","17.03703704","19.27825261","37.59259259"
"","","MZP2015GUR-MT01","","","","","","","","","MZP2015GUR-MT01-00047","","","","39","31","1","5","5","20","20","19","31","4.5","7.8","9.5","2","5","5","5","1","5","5","3","12.3","21.8","50","0.236842105","0.251612903","0.246","2.5","1.282051282","0.95","0.487179487","0.615","0.315384615","0.475","0.243589744","38","56.42201835","51.28205128","4.273504274","8.333333333","11.68091168","22.77777778","9.021842355","17.59259259","20.70275404","40.37037037"
"","","MZP2015GUR-MT01","","","","","","","","","MZP2015GUR-MT01-00048","","","","39","24","1","3","5","24","24","17","25","4.5","6.3","8.6","6","5","5","5","1","5","5","3","10.8","19.4","42","0.264705882","0.252","0.257142857","1.75","1.076923077","0.708333333","0.435897436","0.45","0.276923077","0.358333333","0.220512821","40.47619048","55.67010309","61.53846154","4.273504274","6.944444444","10.25641026","16.66666667","8.1671415","13.27160494","18.42355176","29.9382716"
"","","MZP2015GUR-MT01","","","","","","","","","MZP2015GUR-MT01-00049","","","","39","31","1","5","5","25","24","40","62","11","17.3","25.2","5","1","1","5","1","5","5","3","28.3","53.5","102","0.275","0.279032258","0.27745098","4.08","2.615384615","1.6","1.025641026","1.132","0.725641026","1.008","0.646153846","39.21568627","52.89719626","64.1025641","10.44634378","16.2962963","26.87559354","41.92592593","23.93162393","37.33333333","50.80721747","79.25925926"
"","","MZP2015GUR-MT01","","","","","","","","","MZP2015GUR-MT01-00050","","","","39","32","1","1","5","30","30","38","55","10","14.3","24.6","5","3","3","5","1","5","7","3","24.3","48.9","93","0.263157895","0.26","0.261290323","3.1","2.384615385","1.266666667","0.974358974","0.81","0.623076923","0.82","0.630769231","40.86021505","49.69325153","76.92307692","9.496676163","12.34567901","23.07692308","30","23.36182336","30.37037037","46.43874644","60.37037037"
"","","MZP2015GUR-MT01","","","","","","","","","MZP2015GUR-MT01-00051","","","","39","33","1","3","5","28","28","35","45","7.9","10.6","13.5","2","3","3","3","1","5","5","3","18.5","32","80","0.225714286","0.235555556","0.23125","2.857142857","2.051282051","1.25","0.897435897","0.660714286","0.474358974","0.482142857","0.346153846","43.75","57.8125","71.79487179","7.502374169","10.44973545","17.5688509","24.47089947","12.82051282","17.85714286","30.38936372","42.32804233"
