"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2019GUR-PT02","","","","","","","","","MZP2019GUR-PT02-00011","","","","26","26","1","1","7","26","26","30","45","7","7.9","8.5","7","3","3","5","14.9","23.4","75","0.233333333","0.175555556","0.198666667","2.884615385","2.884615385","1.153846154","1.153846154","0.573076923","0.573076923","0.326923077","0.326923077","40","63.67521368","100","9.971509972","9.971509972","21.22507123","21.22507123","12.10826211","12.10826211","33.33333333","33.33333333"
"","","MZP2019GUR-PT02","","","","","","","","","MZP2019GUR-PT02-00012","","","","26","25","1","1","7","25","25","32","51","7.1","10.1","14.5","6","1","1","3","17.2","31.7","83","0.221875","0.198039216","0.207228916","3.32","3.192307692","1.28","1.230769231","0.688","0.661538462","0.58","0.557692308","38.55421687","54.25867508","96.15384615","10.11396011","10.51851852","24.5014245","25.48148148","20.65527066","21.48148148","45.15669516","46.96296296"
"","","MZP2019GUR-PT02","","","","","","","","","MZP2019GUR-PT02-00013","","","","26","25","1","3","5","25","25","27","48","7","9","8","5","3","3","3","16","24","75","0.259259259","0.1875","0.213333333","3","2.884615385","1.08","1.038461538","0.64","0.615384615","0.32","0.307692308","36","66.66666667","96.15384615","9.971509972","10.37037037","22.79202279","23.7037037","11.3960114","11.85185185","34.18803419","35.55555556"
"","","MZP2019GUR-PT02","","","","","","","","","MZP2019GUR-PT02-00014","","","","26","23","1","3","5","23","23","20","32","5","6.1","13","5","5","3","3","11.1","24.1","52","0.25","0.190625","0.213461538","2.260869565","2","0.869565217","0.769230769","0.482608696","0.426923077","0.565217391","0.5","38.46153846","46.05809129","88.46153846","7.122507123","8.051529791","15.81196581","17.87439614","18.51851852","20.93397746","34.33048433","38.80837359"
"","","MZP2019GUR-PT02","","","","","","","","","MZP2019GUR-PT02-00015","","","","26","20","1","3","9","20","20","22","35","6","6.1","6.5","5","3","5","7","12.1","18.6","57","0.272727273","0.174285714","0.212280702","2.85","2.192307692","1.1","0.846153846","0.605","0.465384615","0.325","0.25","38.59649123","65.05376344","76.92307692","8.547008547","11.11111111","17.23646724","22.40740741","9.259259259","12.03703704","26.4957265","34.44444444"
"","","MZP2019GUR-PT02","","","","","","","","","MZP2019GUR-PT02-00016","","","","26","24","1","3","7","24","24","18","37","4.7","6.4","8.5","5","9","7","5","11.1","19.6","55","0.261111111","0.172972973","0.201818182","2.291666667","2.115384615","0.75","0.692307692","0.4625","0.426923077","0.354166667","0.326923077","32.72727273","56.63265306","92.30769231","6.695156695","7.25308642","15.81196581","17.12962963","12.10826211","13.11728395","27.92022792","30.24691358"
"","","MZP2019GUR-PT02","","","","","","","","","MZP2019GUR-PT02-00017","","","","26","18","1","5","5","18","18","22","39","6.5","6.5","5","6","3","3","5","13","18","61","0.295454545","0.166666667","0.213114754","3.388888889","2.346153846","1.222222222","0.846153846","0.722222222","0.5","0.277777778","0.192307692","36.06557377","72.22222222","69.23076923","9.259259259","13.3744856","18.51851852","26.74897119","7.122507123","10.28806584","25.64102564","37.03703704"
"","","MZP2019GUR-PT02","","","","","","","","","MZP2019GUR-PT02-00018","","","","26","25","1","3","5","24","24","29","40","7","10.1","7.5","7","1","3","1","17.1","24.6","69","0.24137931","0.2525","0.247826087","2.875","2.653846154","1.208333333","1.115384615","0.7125","0.657692308","0.3125","0.288461538","42.02898551","69.51219512","92.30769231","9.971509972","10.80246914","24.35897436","26.38888889","10.68376068","11.57407407","35.04273504","37.96296296"
"","","MZP2019GUR-PT02","","","","","","","","","MZP2019GUR-PT02-00019","","","","26","24","1","1","7","24","24","28","39","7","8.5","11.5","8","1","1","3","15.5","27","67","0.25","0.217948718","0.231343284","2.791666667","2.576923077","1.166666667","1.076923077","0.645833333","0.596153846","0.479166667","0.442307692","41.79104478","57.40740741","92.30769231","9.971509972","10.80246914","22.07977208","23.91975309","16.38176638","17.74691358","38.46153846","41.66666667"
"","","MZP2019GUR-PT02","","","","","","","","","MZP2019GUR-PT02-00020","","","","26","20","1","3","5","20","20","15","28","4.5","6.1","6.5","5","7","7","3","10.6","17.1","43","0.3","0.217857143","0.246511628","2.15","1.653846154","0.75","0.576923077","0.53","0.407692308","0.325","0.25","34.88372093","61.98830409","76.92307692","6.41025641","8.333333333","15.0997151","19.62962963","9.259259259","12.03703704","24.35897436","31.66666667"
"","","MZP2019GUR-PT02","","","","","","","","","MZP2019GUR-PT02-00021","","","","26","20","1","3","7","20","20","13","19","3.1","5.5","20","4","5","5","3","8.6","28.6","32","0.238461538","0.289473684","0.26875","1.6","1.230769231","0.65","0.5","0.43","0.330769231","1","0.769230769","40.625","30.06993007","76.92307692","4.415954416","5.740740741","12.25071225","15.92592593","28.49002849","37.03703704","40.74074074","52.96296296"
"","","MZP2019GUR-PT02","","","","","","","","","MZP2019GUR-PT02-00022","","","","26","21","1","1","5","21","21","25","39","6.5","7.1","7.5","5","5","5","3","13.6","21.1","64","0.26","0.182051282","0.2125","3.047619048","2.461538462","1.19047619","0.961538462","0.647619048","0.523076923","0.357142857","0.288461538","39.0625","64.4549763","80.76923077","9.259259259","11.4638448","19.37321937","23.98589065","10.68376068","13.22751323","30.05698006","37.21340388"
"","","MZP2019GUR-PT02","","","","","","","","","MZP2019GUR-PT02-00023","","","","26","24","1","1","5","24","24","18","27","5.5","6.7","10.5","6","3","3","3","12.2","22.7","45","0.305555556","0.248148148","0.271111111","1.875","1.730769231","0.75","0.692307692","0.508333333","0.469230769","0.4375","0.403846154","40","53.74449339","92.30769231","7.834757835","8.487654321","17.37891738","18.82716049","14.95726496","16.2037037","32.33618234","35.0308642"
"","","MZP2019GUR-PT02","","","","","","","","","MZP2019GUR-PT02-00024","","","","26","19","1","5","5","19","19","20","40","5.7","7.2","8","6","3","3","1","12.9","20.9","60","0.285","0.18","0.215","3.157894737","2.307692308","1.052631579","0.769230769","0.678947368","0.496153846","0.421052632","0.307692308","33.33333333","61.72248804","73.07692308","8.11965812","11.11111111","18.37606838","25.14619883","11.3960114","15.59454191","29.77207977","40.74074074"
"","","MZP2019GUR-PT02","","","","","","","","","MZP2019GUR-PT02-00025","","","","26","25","1","1","5","25","25","32","52","10","10.3","13.5","6","1","3","3","20.3","33.8","84","0.3125","0.198076923","0.241666667","3.36","3.230769231","1.28","1.230769231","0.812","0.780769231","0.54","0.519230769","38.0952381","60.0591716","96.15384615","14.24501425","14.81481481","28.91737892","30.07407407","19.23076923","20","48.14814815","50.07407407"
"","","MZP2019GUR-PT02","","","","","","","","","MZP2019GUR-PT02-00026","","","","26","26","1","1","7","26","26","33","51","9.5","11","13","5","1","1","3","20.5","33.5","84","0.287878788","0.215686275","0.244047619","3.230769231","3.230769231","1.269230769","1.269230769","0.788461538","0.788461538","0.5","0.5","39.28571429","61.19402985","100","13.53276353","13.53276353","29.2022792","29.2022792","18.51851852","18.51851852","47.72079772","47.72079772"
"","","MZP2019GUR-PT02","","","","","","","","","MZP2019GUR-PT02-00027","","","","26","20","1","1","5","20","20","17","25","4.5","6","12.5","5","3","3","3","10.5","23","42","0.264705882","0.24","0.25","2.1","1.615384615","0.85","0.653846154","0.525","0.403846154","0.625","0.480769231","40.47619048","45.65217391","76.92307692","6.41025641","8.333333333","14.95726496","19.44444444","17.80626781","23.14814815","32.76353276","42.59259259"
"","","MZP2019GUR-PT02","","","","","","","","","MZP2019GUR-PT02-00028","","","","26","24","1","3","9","24","24","20","35","6.5","6.1","10.5","6","3","3","3","12.6","23.1","55","0.325","0.174285714","0.229090909","2.291666667","2.115384615","0.833333333","0.769230769","0.525","0.484615385","0.4375","0.403846154","36.36363636","54.54545455","92.30769231","9.259259259","10.0308642","17.94871795","19.44444444","14.95726496","16.2037037","32.90598291","35.64814815"
"","","MZP2019GUR-PT02","","","","","","","","","MZP2019GUR-PT02-00029","","","","26","20","1","1","5","20","20","19","29","5","6.3","11","6","3","3","3","11.3","22.3","48","0.263157895","0.217241379","0.235416667","2.4","1.846153846","0.95","0.730769231","0.565","0.434615385","0.55","0.423076923","39.58333333","50.67264574","76.92307692","7.122507123","9.259259259","16.0968661","20.92592593","15.66951567","20.37037037","31.76638177","41.2962963"
"","","MZP2019GUR-PT02","","","","","","","","","MZP2019GUR-PT02-00030","","","","26","25","1","1","5","25","25","15","42","4","10.1","7","6","3","3","3","14.1","21.1","57","0.266666667","0.24047619","0.247368421","2.28","2.192307692","0.6","0.576923077","0.564","0.542307692","0.28","0.269230769","26.31578947","66.82464455","96.15384615","5.698005698","5.925925926","20.08547009","20.88888889","9.971509972","10.37037037","30.05698006","31.25925926"
"","","MZP2019GUR-PT02","","","","","","","","","MZP2019GUR-PT02-00031","","","","26","25","1","3","5","25","25","35","30","10","6","8","7","3","3","1","16","24","65","0.285714286","0.2","0.246153846","2.6","2.5","1.4","1.346153846","0.64","0.615384615","0.32","0.307692308","53.84615385","66.66666667","96.15384615","14.24501425","14.81481481","22.79202279","23.7037037","11.3960114","11.85185185","34.18803419","35.55555556"
"","","MZP2019GUR-PT02","","","","","","","","","MZP2019GUR-PT02-00032","","","","26","25","1","3","5","24","24","32","22","9","5","19.5","7","1","3","3","14","33.5","54","0.28125","0.227272727","0.259259259","2.25","2.076923077","1.333333333","1.230769231","0.583333333","0.538461538","0.8125","0.75","59.25925926","41.79104478","92.30769231","12.82051282","13.88888889","19.94301994","21.60493827","27.77777778","30.09259259","47.72079772","51.69753086"
"","","MZP2019GUR-PT02","","","","","","","","","MZP2019GUR-PT02-00033","","","","26","20","1","3","7","20","20","17","22","5","5","17","5","5","3","3","10","27","39","0.294117647","0.227272727","0.256410256","1.95","1.5","0.85","0.653846154","0.5","0.384615385","0.85","0.653846154","43.58974359","37.03703704","76.92307692","7.122507123","9.259259259","14.24501425","18.51851852","24.21652422","31.48148148","38.46153846","50"
"","","MZP2019GUR-PT02","","","","","","","","","MZP2019GUR-PT02-00034","","","","26","26","1","3","5","26","26","40","21","13.1","5","19","7","1","1","1","18.1","37.1","61","0.3275","0.238095238","0.296721311","2.346153846","2.346153846","1.538461538","1.538461538","0.696153846","0.696153846","0.730769231","0.730769231","65.57377049","48.78706199","100","18.66096866","18.66096866","25.78347578","25.78347578","27.06552707","27.06552707","52.84900285","52.84900285"
"","","MZP2019GUR-PT02","","","","","","","","","MZP2019GUR-PT02-00035","","","","26","25","1","5","7","25","25","32","41","7.5","10.1","15.5","5","3","3","3","17.6","33.1","73","0.234375","0.246341463","0.24109589","2.92","2.807692308","1.28","1.230769231","0.704","0.676923077","0.62","0.596153846","43.83561644","53.17220544","96.15384615","10.68376068","11.11111111","25.07122507","26.07407407","22.07977208","22.96296296","47.15099715","49.03703704"
"","","MZP2019GUR-PT02","","","","","","","","","MZP2019GUR-PT02-00036","","","","26","23","1","1","5","23","23","30","23","9.5","6","12","6","3","1","3","15.5","27.5","53","0.316666667","0.260869565","0.29245283","2.304347826","2.038461538","1.304347826","1.153846154","0.673913043","0.596153846","0.52173913","0.461538462","56.60377358","56.36363636","88.46153846","13.53276353","15.2979066","22.07977208","24.95974235","17.09401709","19.3236715","39.17378917","44.28341385"
"","","MZP2019GUR-PT02","","","","","","","","","MZP2019GUR-PT02-00037","","","","26","23","1","1","7","23","23","19","29","5.5","6.7","7.5","7","5","5","3","12.2","19.7","48","0.289473684","0.231034483","0.254166667","2.086956522","1.846153846","0.826086957","0.730769231","0.530434783","0.469230769","0.326086957","0.288461538","39.58333333","61.92893401","88.46153846","7.834757835","8.85668277","17.37891738","19.64573269","10.68376068","12.07729469","28.06267806","31.72302738"
"","","MZP2019GUR-PT02","","","","","","","","","MZP2019GUR-PT02-00038","","","","26","19","1","7","5","19","19","13","19","3.5","4","4.7","6","7","7","5","7.5","12.2","32","0.269230769","0.210526316","0.234375","1.684210526","1.230769231","0.684210526","0.5","0.394736842","0.288461538","0.247368421","0.180769231","40.625","61.47540984","73.07692308","4.985754986","6.822612086","10.68376068","14.61988304","6.695156695","9.161793372","17.37891738","23.78167641"
"","","MZP2019GUR-PT02","","","","","","","","","MZP2019GUR-PT02-00039","","","","26","24","1","3","5","24","24","29","42","7.5","10.2","7.5","6","3","3","3","17.7","25.2","71","0.25862069","0.242857143","0.249295775","2.958333333","2.730769231","1.208333333","1.115384615","0.7375","0.680769231","0.3125","0.288461538","40.84507042","70.23809524","92.30769231","10.68376068","11.57407407","25.21367521","27.31481481","10.68376068","11.57407407","35.8974359","38.88888889"
"","","MZP2019GUR-PT02","","","","","","","","","MZP2019GUR-PT02-00040","","","","26","25","1","1","7","25","25","28","37","7","8.7","9.5","6","3","3","3","15.7","25.2","65","0.25","0.235135135","0.241538462","2.6","2.5","1.12","1.076923077","0.628","0.603846154","0.38","0.365384615","43.07692308","62.3015873","96.15384615","9.971509972","10.37037037","22.36467236","23.25925926","13.53276353","14.07407407","35.8974359","37.33333333"
"","","MZP2019GUR-PT02","","","","","","","","","MZP2019GUR-PT02-00041","","","","26","23","1","3","5","23","23","25","36","7","7.1","8.5","7","3","3","3","14.1","22.6","61","0.28","0.197222222","0.231147541","2.652173913","2.346153846","1.086956522","0.961538462","0.613043478","0.542307692","0.369565217","0.326923077","40.98360656","62.38938053","88.46153846","9.971509972","11.27214171","20.08547009","22.70531401","12.10826211","13.68760064","32.19373219","36.39291465"
"","","MZP2019GUR-PT02","","","","","","","","","MZP2019GUR-PT02-00042","","","","26","25","1","1","7","25","25","29","40","7.9","8.1","7.5","5","3","1","3","16","23.5","69","0.272413793","0.2025","0.231884058","2.76","2.653846154","1.16","1.115384615","0.64","0.615384615","0.3","0.288461538","42.02898551","68.08510638","96.15384615","11.25356125","11.7037037","22.79202279","23.7037037","10.68376068","11.11111111","33.47578348","34.81481481"
"","","MZP2019GUR-PT02","","","","","","","","","MZP2019GUR-PT02-00043","","","","26","25","3","5","5","24","24","21","29","6","7.1","6.5","7","5","5","3","13.1","19.6","50","0.285714286","0.244827586","0.262","2.083333333","1.923076923","0.875","0.807692308","0.545833333","0.503846154","0.270833333","0.25","42","66.83673469","92.30769231","8.547008547","9.259259259","18.66096866","20.21604938","9.259259259","10.0308642","27.92022792","30.24691358"
"","","MZP2019GUR-PT02","","","","","","","","","MZP2019GUR-PT02-00044","","","","26","25","1","1","5","25","25","32","44","9","8.7","6.5","6","1","1","3","17.7","24.2","76","0.28125","0.197727273","0.232894737","3.04","2.923076923","1.28","1.230769231","0.708","0.680769231","0.26","0.25","42.10526316","73.14049587","96.15384615","12.82051282","13.33333333","25.21367521","26.22222222","9.259259259","9.62962963","34.47293447","35.85185185"
"","","MZP2019GUR-PT02","","","","","","","","","MZP2019GUR-PT02-00045","","","","26","26","1","3","5","26","26","31","42","8.5","10.1","7.1","5","1","3","7","18.6","25.7","73","0.274193548","0.24047619","0.254794521","2.807692308","2.807692308","1.192307692","1.192307692","0.715384615","0.715384615","0.273076923","0.273076923","42.46575342","72.37354086","100","12.10826211","12.10826211","26.4957265","26.4957265","10.11396011","10.11396011","36.60968661","36.60968661"
"","","MZP2019GUR-PT02","","","","","","","","","MZP2019GUR-PT02-00046","","","","26","25","1","1","5","25","25","22","35","6.5","7.5","12.5","5","3","3","1","14","26.5","57","0.295454545","0.214285714","0.245614035","2.28","2.192307692","0.88","0.846153846","0.56","0.538461538","0.5","0.480769231","38.59649123","52.83018868","96.15384615","9.259259259","9.62962963","19.94301994","20.74074074","17.80626781","18.51851852","37.74928775","39.25925926"
"","","MZP2019GUR-PT02","","","","","","","","","MZP2019GUR-PT02-00047","","","","26","26","1","1","5","26","26","21","34","6.4","7","13","5","3","3","1","13.4","26.4","55","0.304761905","0.205882353","0.243636364","2.115384615","2.115384615","0.807692308","0.807692308","0.515384615","0.515384615","0.5","0.5","38.18181818","50.75757576","100","9.116809117","9.116809117","19.08831909","19.08831909","18.51851852","18.51851852","37.60683761","37.60683761"
"","","MZP2019GUR-PT02","","","","","","","","","MZP2019GUR-PT02-00048","","","","26","21","1","3","7","21","21","20","27","5","6","11","5","5","5","3","11","22","47","0.25","0.222222222","0.234042553","2.238095238","1.807692308","0.952380952","0.769230769","0.523809524","0.423076923","0.523809524","0.423076923","42.55319149","50","80.76923077","7.122507123","8.818342152","15.66951567","19.40035273","15.66951567","19.40035273","31.33903134","38.80070547"
"","","MZP2019GUR-PT02","","","","","","","","","MZP2019GUR-PT02-00049","","","","26","22","1","3","7","22","22","19","28","5","6.5","6.5","6","3","3","1","11.5","18","47","0.263157895","0.232142857","0.244680851","2.136363636","1.807692308","0.863636364","0.730769231","0.522727273","0.442307692","0.295454545","0.25","40.42553191","63.88888889","84.61538462","7.122507123","8.417508418","16.38176638","19.36026936","9.259259259","10.94276094","25.64102564","30.3030303"
"","","MZP2019GUR-PT02","","","","","","","","","MZP2019GUR-PT02-00050","","","","26","25","1","1","9","25","25","16","25","4.7","6.3","8.5","7","3","3","3","11","19.5","41","0.29375","0.252","0.268292683","1.64","1.576923077","0.64","0.615384615","0.44","0.423076923","0.34","0.326923077","39.02439024","56.41025641","96.15384615","6.695156695","6.962962963","15.66951567","16.2962963","12.10826211","12.59259259","27.77777778","28.88888889"
"","","MZP2019GUR-PT02","","","","","","","","","MZP2019GUR-PT02-00051","","","","26","26","1","1","7","26","26","32","47","9","10.1","18.5","6","1","1","3","19.1","37.6","79","0.28125","0.214893617","0.241772152","3.038461538","3.038461538","1.230769231","1.230769231","0.734615385","0.734615385","0.711538462","0.711538462","40.50632911","50.79787234","100","12.82051282","12.82051282","27.20797721","27.20797721","26.35327635","26.35327635","53.56125356","53.56125356"
"","","MZP2019GUR-PT02","","","","","","","","","MZP2019GUR-PT02-00052","","","","26","20","1","3","5","20","20","11","18","3","5","5.6","6","7","7","1","8","13.6","29","0.272727273","0.277777778","0.275862069","1.45","1.115384615","0.55","0.423076923","0.4","0.307692308","0.28","0.215384615","37.93103448","58.82352941","76.92307692","4.273504274","5.555555556","11.3960114","14.81481481","7.977207977","10.37037037","19.37321937","25.18518519"
"","","MZP2019GUR-PT02","","","","","","","","","MZP2019GUR-PT02-00053","","","","26","25","1","1","7","25","25","19","31","5.5","7","11.5","7","3","3","3","12.5","24","50","0.289473684","0.225806452","0.25","2","1.923076923","0.76","0.730769231","0.5","0.480769231","0.46","0.442307692","38","52.08333333","96.15384615","7.834757835","8.148148148","17.80626781","18.51851852","16.38176638","17.03703704","34.18803419","35.55555556"
"","","MZP2019GUR-PT02","","","","","","","","","MZP2019GUR-PT02-00054","","","","26","24","1","1","5","24","24","26","39","7.5","6.7","6.5","7","3","3","1","14.2","20.7","65","0.288461538","0.171794872","0.218461538","2.708333333","2.5","1.083333333","1","0.591666667","0.546153846","0.270833333","0.25","40","68.59903382","92.30769231","10.68376068","11.57407407","20.22792023","21.91358025","9.259259259","10.0308642","29.48717949","31.94444444"
