"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Weight of vines per NET plot in kg|CO_331:0000227","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2010CKE-AT06","","","","","","","","","MZP2010CKE-AT06-00011","","","","39","39","1","9","8","13","26","17","22","64","2","1.8","3","3","5","14.37","4","18.31","3.8","16.8","86","0.090909091","0.028125","0.044186047","3.307692308","2.205128205","0.846153846","0.564102564","0.146153846","0.097435897","0.5","0.333333333","25.58139535","22.61904762","66.66666667","0.69578","1.899335233","2.849002849","3.608736942","5.413105413","12.34567901","18.51851852","0.660759734","0.991139601","15.95441595","23.93162393"
"","","MZP2010CKE-AT06","","","","","","","","","MZP2010CKE-AT06-00012","","","","39","39","1","1","8","15.5","32","18","28","35","2.5","1.5","4","3","5","12.39","4","22.66","4","19.5","63","0.089285714","0.042857143","0.063492063","1.96875","1.615384615","0.875","0.717948718","0.125","0.102564103","0.484375","0.397435897","44.44444444","20.51282051","82.05128205","0.9064","2.374169041","2.893518519","3.798670465","4.62962963","14.71984805","17.93981481","0.860778727","1.049074074","18.51851852","22.56944444"
"","","MZP2010CKE-AT06","","","","","","","","","MZP2010CKE-AT06-00013","","","","39","39","1","1","9","24","24","20","35","58","13","5","4","4","5","14.37","4","23.02","18","42","93","0.371428571","0.086206897","0.193548387","3.875","2.384615385","1.458333333","0.897435897","0.75","0.461538462","1","0.615384615","37.6344086","42.85714286","61.53846154","4.1436","12.34567901","20.0617284","17.09401709","27.77777778","22.79202279","37.03703704","3.935042735","6.394444444","39.88603989","64.81481481"
"","","MZP2010CKE-AT06","","","","","","","","","MZP2010CKE-AT06-00014","","","","39","39","1","1","9","36","27","22","42","15","15","1.3","4","4","5","11.03","","21.61","16.3","52.3","57","0.357142857","0.086666667","0.285964912","2.111111111","1.461538462","1.555555556","1.076923077","0.603703704","0.417948718","1.333333333","0.923076923","73.68421053","31.16634799","69.23076923","3.52243","14.24501425","20.57613169","15.47958215","22.35939643","34.18803419","49.38271605","3.345137702","4.831865569","49.66761633","71.74211248"
"","","MZP2010CKE-AT06","","","","","","","","","MZP2010CKE-AT06-00015","","","","39","39","1","1","9","49","34","29","75","62","11","3.5","4","4","5","12.39","4","21.19","14.5","63.5","137","0.146666667","0.056451613","0.105839416","4.029411765","3.512820513","2.205882353","1.923076923","0.426470588","0.371794872","1.441176471","1.256410256","54.74452555","22.83464567","87.17948718","3.07255","10.44634378","11.98257081","13.77018044","15.79520697","46.5337132","53.37690632","2.917901235","3.347004357","60.30389364","69.17211329"
"","","MZP2010CKE-AT06","","","","","","","","","MZP2010CKE-AT06-00016","","","","39","39","1","1","9","17","24","21","35","25","8.5","2","4","4","5","11.03","","22.95","10.5","27.5","60","0.242857143","0.08","0.175","2.5","1.538461538","1.458333333","0.897435897","0.4375","0.269230769","0.708333333","0.435897436","58.33333333","38.18181818","61.53846154","2.40975","8.072174739","13.11728395","9.971509972","16.2037037","16.14434948","26.2345679","2.288461538","3.71875","26.11585945","42.4382716"
"","","MZP2010CKE-AT06","","","","","","","","","MZP2010CKE-AT06-00017","","","","39","39","1","1","9","30.5","26","24","101","57","20","3","5","4","5","12.39","4","24.14","23","53.5","158","0.198019802","0.052631579","0.14556962","6.076923077","4.051282051","3.884615385","2.58974359","0.884615385","0.58974359","1.173076923","0.782051282","63.92405063","42.99065421","66.66666667","5.5522","18.99335233","28.49002849","21.84235518","32.76353276","28.9648623","43.44729345","5.272744539","7.909116809","50.80721747","76.21082621"
"","","MZP2010CKE-AT06","","","","","","","","","MZP2010CKE-AT06-00018","","","","39","39","1","1","9","34","34","29","43","49","17.5","4","4","4","5","12.39","4","19.97","21.5","55.5","92","0.406976744","0.081632653","0.233695652","2.705882353","2.358974359","1.264705882","1.102564103","0.632352941","0.551282051","1","0.871794872","46.73913043","38.73873874","87.17948718","4.29355","16.61918329","19.06318083","20.41785375","23.4204793","32.28869896","37.03703704","4.077445394","4.677069717","52.70655271","60.45751634"
"","","MZP2010CKE-AT06","","","","","","","","","MZP2010CKE-AT06-00019","","","","39","39","1","1","8","30.5","32","26","60","125","8","5.5","4","4","5","14.37","4","19.63","13.5","44","185","0.133333333","0.044","0.072972973","5.78125","4.743589744","1.875","1.538461538","0.421875","0.346153846","0.953125","0.782051282","32.43243243","30.68181818","82.05128205","2.65005","7.597340931","9.259259259","12.82051282","15.625","28.9648623","35.30092593","2.516666667","3.0671875","41.78537512","50.92592593"
"","","MZP2010CKE-AT06","","","","","","","","","MZP2010CKE-AT06-00020","","","","39","39","1","1","8","15.5","30","23","66","37","10","1.8","4","4","5","12.39","3","20.86","11.8","27.3","103","0.151515152","0.048648649","0.114563107","3.433333333","2.641025641","2.2","1.692307692","0.393333333","0.302564103","0.516666667","0.397435897","64.0776699","43.22344322","76.92307692","2.46148","9.496676163","12.34567901","11.20607787","14.56790123","14.71984805","19.13580247","2.337587844","3.038864198","25.92592593","33.7037037"
"","","MZP2010CKE-AT06","","","","","","","","","MZP2010CKE-AT06-00021","","","","39","39","1","1","9","26","25","22","64","107","10","4.2","4","3","5","12.39","4","25.41","14.2","40.2","171","0.15625","0.039252336","0.083040936","6.84","4.384615385","2.56","1.641025641","0.568","0.364102564","1.04","0.666666667","37.42690058","35.32338308","64.1025641","3.60822","9.496676163","14.81481481","13.48528015","21.03703704","24.69135802","38.51851852","3.426609687","5.345511111","38.17663818","59.55555556"
"","","MZP2010CKE-AT06","","","","","","","","","MZP2010CKE-AT06-00022","","","","39","39","1","1","9","30.5","31","30","130","190","19","7.5","4","3","5","12.39","","25.11","26.5","57","320","0.146153846","0.039473684","0.0828125","10.32258065","8.205128205","4.193548387","3.333333333","0.85483871","0.679487179","0.983870968","0.782051282","40.625","46.49122807","79.48717949","6.65415","18.04368471","22.70011947","25.16619183","31.66069295","28.9648623","36.43966547","6.319230769","7.95","54.13105413","68.10035842"
"","","MZP2010CKE-AT06","","","","","","","","","MZP2010CKE-AT06-00023","","","","39","39","1","1","9","28","24","23","55","59","17","3","4","4","5","14.37","5","18.49","20","48","114","0.309090909","0.050847458","0.175438596","4.75","2.923076923","2.291666667","1.41025641","0.833333333","0.512820513","1.166666667","0.717948718","48.24561404","41.66666667","61.53846154","3.698","16.14434948","26.2345679","18.99335233","30.86419753","26.59069326","43.20987654","3.511870845","5.706790123","45.58404558","74.07407407"
"","","MZP2010CKE-AT06","","","","","","","","","MZP2010CKE-AT06-00024","","","","39","39","1","1","9","28","27","24","30","41","4","1.5","4","3","5","0.02","4","32.91","5.5","33.5","71","0.133333333","0.036585366","0.077464789","2.62962963","1.820512821","1.111111111","0.769230769","0.203703704","0.141025641","1.037037037","0.717948718","42.25352113","16.41791045","69.23076923","1.81005","3.798670465","5.48696845","5.22317189","7.544581619","26.59069326","38.40877915","1.718945869","2.482921811","31.81386515","45.95336077"
"","","MZP2010CKE-AT06","","","","","","","","","MZP2010CKE-AT06-00025","","","","39","33","1","1","7","23","28","22","40","15","7","1","4","4","5","12.39","4","28.2","8","31","55","0.175","0.066666667","0.145454545","1.964285714","1.41025641","1.428571429","1.025641026","0.285714286","0.205128205","0.821428571","0.58974359","72.72727273","25.80645161","71.79487179","2.256","6.647673314","9.259259259","7.597340931","10.58201058","21.84235518","30.42328042","2.142450142","2.984126984","29.43969611","41.00529101"
"","","MZP2010CKE-AT06","","","","","","","","","MZP2010CKE-AT06-00026","","","","39","30","1","1","8","19","19","14","32","34","6.5","2","4","4","4","7.23","4","28.13","8.5","27.5","66","0.203125","0.058823529","0.128787879","3.473684211","1.692307692","1.684210526","0.820512821","0.447368421","0.217948718","1","0.487179487","48.48484848","30.90909091","48.71794872","2.39105","6.172839506","12.6705653","8.072174739","16.56920078","18.04368471","37.03703704","2.270702754","4.660916179","26.11585945","53.60623782"
"","","MZP2010CKE-AT06","","","","","","","","","MZP2010CKE-AT06-00027","","","","39","39","1","1","9","14","31","27","72","49","10.2","2.2","4","3","4","10.5","","30.55","12.4","26.4","121","0.141666667","0.044897959","0.102479339","3.903225806","3.102564103","2.322580645","1.846153846","0.4","0.317948718","0.451612903","0.358974359","59.50413223","46.96969697","79.48717949","3.7882","9.686609687","12.18637993","11.77587844","14.81481481","13.29534663","16.72640382","3.597530864","4.525925926","25.07122507","31.54121864"
"","","MZP2010CKE-AT06","","","","","","","","","MZP2010CKE-AT06-00028","","","","39","39","1","1","9","16","30","23","53","23","10","1.2","4","3","5","10.5","","24.64","11.2","27.2","76","0.188679245","0.052173913","0.147368421","2.533333333","1.948717949","1.766666667","1.358974359","0.373333333","0.287179487","0.533333333","0.41025641","69.73684211","41.17647059","76.92307692","2.75968","9.496676163","12.34567901","10.6362773","13.82716049","15.19468186","19.75308642","2.620778727","3.407012346","25.83095916","33.58024691"
"","","MZP2010CKE-AT06","","","","","","","","","MZP2010CKE-AT06-00029","","","","39","32","1","1","8","16","27","23","63","59","7.5","2","4","3","5","14.37","","29.32","9.5","25.5","122","0.119047619","0.033898305","0.077868852","4.518518519","3.128205128","2.333333333","1.615384615","0.351851852","0.243589744","0.592592593","0.41025641","51.63934426","37.25490196","69.23076923","2.7854","7.122507123","10.28806584","9.021842355","13.03155007","15.19468186","21.9478738","2.645204179","3.82085048","24.21652422","34.97942387"
"","","MZP2010CKE-AT06","","","","","","","","","MZP2010CKE-AT06-00030","","","","39","35","1","1","8","24","22","20","35","34","11","2.2","4","4","5","6.12","4","21.87","13.2","37.2","69","0.314285714","0.064705882","0.191304348","3.136363636","1.769230769","1.590909091","0.897435897","0.6","0.338461538","1.090909091","0.615384615","50.72463768","35.48387097","56.41025641","2.88684","10.44634378","18.51851852","12.53561254","22.22222222","22.79202279","40.4040404","2.741538462","4.86","35.32763533","62.62626263"
"","","MZP2010CKE-AT06","","","","","","","","","MZP2010CKE-AT06-00031","","","","39","34","1","1","9","32","27","19","37","43","3.5","1.5","3","3","5","14.37","","31.02","5","37","80","0.094594595","0.034883721","0.0625","2.962962963","2.051282051","1.37037037","0.948717949","0.185185185","0.128205128","1.185185185","0.820512821","46.25","13.51351351","69.23076923","1.551","3.323836657","4.801097394","4.748338082","6.858710562","30.38936372","43.8957476","1.472934473","2.127572016","35.1377018","50.75445816"
"","","MZP2010CKE-AT06","","","","","","","","","MZP2010CKE-AT06-00032","","","","39","39","1","1","9","29","23","16","16","14","0.5","0.2","3","3","5","7.76","","34.72","0.7","29.7","30","0.03125","0.014285714","0.023333333","1.304347826","0.769230769","0.695652174","0.41025641","0.030434783","0.017948718","1.260869565","0.743589744","53.33333333","2.356902357","58.97435897","0.24304","0.474833808","0.805152979","0.664767331","1.127214171","27.54036087","46.69887279","0.230807217","0.39136876","28.20512821","47.82608696"
"","","MZP2010CKE-AT06","","","","","","","","","MZP2010CKE-AT06-00033","","","","39","39","1","1","8","17","24","21","108","150","19","9","4","3","5","0.02","4","27.88","28","45","258","0.175925926","0.06","0.108527132","10.75","6.615384615","4.5","2.769230769","1.166666667","0.717948718","0.708333333","0.435897436","41.86046512","62.22222222","61.53846154","7.8064","18.04368471","29.32098765","26.59069326","43.20987654","16.14434948","26.2345679","7.41348528","12.04691358","42.73504274","69.44444444"
"","","MZP2010CKE-AT06","","","","","","","","","MZP2010CKE-AT06-00034","","","","39","39","1","1","9","20","25","23","21","27","5.5","2","4","4","5","12.39","4","23.47","7.5","27.5","48","0.261904762","0.074074074","0.15625","1.92","1.230769231","0.84","0.538461538","0.3","0.192307692","0.8","0.512820513","43.75","27.27272727","64.1025641","1.76025","5.22317189","8.148148148","7.122507123","11.11111111","18.99335233","29.62962963","1.671652422","2.607777778","26.11585945","40.74074074"
"","","MZP2010CKE-AT06","","","","","","","","","MZP2010CKE-AT06-00035","","","","39","38","1","1","8","18","30","27","40","55","7.5","5","4","4","5","12.39","4","28.06","12.5","30.5","95","0.1875","0.090909091","0.131578947","3.166666667","2.435897436","1.333333333","1.025641026","0.416666667","0.320512821","0.6","0.461538462","42.10526316","40.98360656","76.92307692","3.5075","7.122507123","9.259259259","11.8708452","15.43209877","17.09401709","22.22222222","3.330959164","4.330246914","28.9648623","37.65432099"
"","","MZP2010CKE-AT06","","","","","","","","","MZP2010CKE-AT06-00036","","","","39","37","1","1","8","20","32","28","98","82","10.5","3","4","4","5","14.37","","23.94","13.5","33.5","180","0.107142857","0.036585366","0.075","5.625","4.615384615","3.0625","2.512820513","0.421875","0.346153846","0.625","0.512820513","54.44444444","40.29850746","82.05128205","3.2319","9.971509972","12.15277778","12.82051282","15.625","18.99335233","23.14814815","3.069230769","3.740625","31.81386515","38.77314815"
"","","MZP2010CKE-AT06","","","","","","","","","MZP2010CKE-AT06-00037","","","","39","39","1","9","9","4","24","20","76","31","5.2","3.2","4","3","5","14.37","","16.13","8.4","12.4","107","0.068421053","0.103225806","0.078504673","4.458333333","2.743589744","3.166666667","1.948717949","0.35","0.215384615","0.166666667","0.102564103","71.02803738","67.74193548","61.53846154","1.35492","4.938271605","8.024691358","7.977207977","12.96296296","3.798670465","6.172839506","1.286723647","2.090925926","11.77587844","19.13580247"
"","","MZP2010CKE-AT06","","","","","","","","","MZP2010CKE-AT06-00038","","","","39","39","1","1","9","16","28","25","43","55","12","3","4","4","5","12.39","4","19.72","15","31","98","0.279069767","0.054545455","0.153061224","3.5","2.512820513","1.535714286","1.102564103","0.535714286","0.384615385","0.571428571","0.41025641","43.87755102","48.38709677","71.79487179","2.958","11.3960114","15.87301587","14.24501425","19.84126984","15.19468186","21.16402116","2.809116809","3.912698413","29.43969611","41.00529101"
"","","MZP2010CKE-AT06","","","","","","","","","MZP2010CKE-AT06-00039","","","","39","39","1","1","9","17","27","25","46","93","14","5","4","4","4","14.37","","21.57","19","36","139","0.304347826","0.053763441","0.136690647","5.148148148","3.564102564","1.703703704","1.179487179","0.703703704","0.487179487","0.62962963","0.435897436","33.09352518","52.77777778","69.23076923","4.0983","13.29534663","19.20438957","18.04368471","26.06310014","16.14434948","23.31961591","3.892022792","5.6218107","34.18803419","49.38271605"
"","","MZP2010CKE-AT06","","","","","","","","","MZP2010CKE-AT06-00040","","","","39","39","1","1","9","18","26","24","65","35","19.2","2.2","5","4","5","5.49","4","28.53","21.4","39.4","100","0.295384615","0.062857143","0.214","3.846153846","2.564102564","2.5","1.666666667","0.823076923","0.548717949","0.692307692","0.461538462","65","54.31472081","66.66666667","6.10542","18.23361823","27.35042735","20.32288699","30.48433048","17.09401709","25.64102564","5.798119658","8.697179487","37.41690408","56.12535613"
"","","MZP2010CKE-AT06","","","","","","","","","MZP2010CKE-AT06-00041","","","","39","39","1","1","9","41","30","27","58","74","10","4.2","4","4","5","12.39","4","24.81","14.2","55.2","132","0.172413793","0.056756757","0.107575758","4.4","3.384615385","1.933333333","1.487179487","0.473333333","0.364102564","1.366666667","1.051282051","43.93939394","25.72463768","76.92307692","3.52302","9.496676163","12.34567901","13.48528015","17.5308642","38.93637227","50.61728395","3.345698006","4.349407407","52.42165242","68.14814815"
"","","MZP2010CKE-AT06","","","","","","","","","MZP2010CKE-AT06-00042","","","","39","39","1","1","9","11","26","18","40","37","6","2","4","4","5","12.39","","20.47","8","19","77","0.15","0.054054054","0.103896104","2.961538462","1.974358974","1.538461538","1.025641026","0.307692308","0.205128205","0.423076923","0.282051282","51.94805195","42.10526316","66.66666667","1.6376","5.698005698","8.547008547","7.597340931","11.3960114","10.44634378","15.66951567","1.555175689","2.332763533","18.04368471","27.06552707"
"","","MZP2010CKE-AT06","","","","","","","","","MZP2010CKE-AT06-00043","","","","39","39","1","1","8","15","31","29","150","68","20","4.8","5","4","5","5.49","","20.9","24.8","39.8","218","0.133333333","0.070588235","0.113761468","7.032258065","5.58974359","4.838709677","3.846153846","0.8","0.635897436","0.483870968","0.384615385","68.80733945","62.31155779","79.48717949","5.1832","18.99335233","23.8948626","23.55175689","29.62962963","14.24501425","17.92114695","4.922317189","6.192592593","37.79677113","47.55077658"
"","","MZP2010CKE-AT06","","","","","","","","","MZP2010CKE-AT06-00044","","","","39","39","1","1","9","38","27","26","50","69","25","6","4","2","5","12.39","4","20.74","31","69","119","0.5","0.086956522","0.260504202","4.407407407","3.051282051","1.851851852","1.282051282","1.148148148","0.794871795","1.407407407","0.974358974","42.01680672","44.92753623","69.23076923","6.4294","23.74169041","34.29355281","29.43969611","42.52400549","36.08736942","52.12620027","6.105792972","8.819478738","65.52706553","94.65020576"
"","","MZP2010CKE-AT06","","","","","","","","","MZP2010CKE-AT06-00045","","","","39","31","1","1","8","14","31","26","40","36","4.3","3","3","3","5","12.39","4","22.14","7.3","21.3","76","0.1075","0.083333333","0.096052632","2.451612903","1.948717949","1.290322581","1.025641026","0.235483871","0.187179487","0.451612903","0.358974359","52.63157895","34.27230047","79.48717949","1.61622","4.08357075","5.13739546","6.932573599","8.721624851","13.29534663","16.72640382","1.534871795","1.930967742","20.22792023","25.44802867"
"","","MZP2010CKE-AT06","","","","","","","","","MZP2010CKE-AT06-00046","","","","39","39","1","1","9","33","28","20","56","44","7","1.5","4","4","5","14.37","","22.19","8.5","41.5","100","0.125","0.034090909","0.085","3.571428571","2.564102564","2","1.435897436","0.303571429","0.217948718","1.178571429","0.846153846","56","20.48192771","71.79487179","1.88615","6.647673314","9.259259259","8.072174739","11.24338624","31.33903134","43.65079365","1.791215575","2.494907407","39.41120608","54.89417989"
"","","MZP2010CKE-AT06","","","","","","","","","MZP2010CKE-AT06-00047","","","","39","36","1","1","8","50","29","24","30","35","8","3","4","4","5","12.39","4","25.04","11","61","65","0.266666667","0.085714286","0.169230769","2.24137931","1.666666667","1.034482759","0.769230769","0.379310345","0.282051282","1.724137931","1.282051282","46.15384615","18.03278689","74.35897436","2.7544","7.597340931","10.21711367","10.44634378","14.04853129","47.48338082","63.85696041","2.615764482","3.517752235","57.9297246","77.9054917"
