"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Fresh weight of storage root samples measuring g|CO_331:0000243","Dry weight of storage root samples measuring g|CO_331:0000247","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of calcium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001029","Content of magnesium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001030","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2011UMB-PT02","","","","","","","","","MZP2011UMB-PT02-00011","","","","26","19","17","13","8","21","1.9","1.4","57","6","7","2","40","8.9","4.41","4.88","2.29","1.45","36.03","103.74","37.93","43.94","7.43","11.01","13.61","3.3","60.3","29","0.2375","0.066666667","0.113793103","1.705882353","1.115384615","0.470588235","0.307692308","0.194117647","0.126923077","3.352941176","2.192307692","27.5862069","5.472636816","65.38461538","22.25","0.73425","2.706552707","4.139433551","4.700854701","7.189542484","81.1965812","124.1830065","1.045940171","1.599673203","85.8974359","131.372549"
"","","MZP2011UMB-PT02","","","","","","","","","MZP2011UMB-PT02-00012","","","","26","22","14","11","53","70","14.5","4","25","5","7","1","50.4","10.1","10.5","3.42","1.94","1.17","38.17","94.97","33.93","43.24","10.03","14.8","11.79","18.5","43.5","123","0.273584906","0.057142857","0.150406504","8.785714286","4.730769231","3.785714286","2.038461538","1.321428571","0.711538462","1.785714286","0.961538462","43.08943089","42.52873563","53.84615385","20.03968254","3.70734127","20.65527066","38.35978836","26.35327635","48.94179894","35.61253561","66.13756614","5.28111292","9.807781137","61.96581197","115.0793651"
"","","MZP2011UMB-PT02","","","","","","","","","MZP2011UMB-PT02-00013","","","","26","23","19","15","57","110","8.7","5.2","33","8","8","1","","","12.39","","","","","","","","","","","13.9","46.9","167","0.152631579","0.047272727","0.083233533","8.789473684","6.423076923","3","2.192307692","0.731578947","0.534615385","1.736842105","1.269230769","34.13173653","29.63752665","73.07692308","","","12.39316239","16.95906433","19.8005698","27.09551657","47.00854701","64.32748538","","","66.80911681","91.42300195"
"","","MZP2011UMB-PT02","","","","","","","","","MZP2011UMB-PT02-00014","","","","26","21","14","14","60","52","18.5","2.8","23","7","7","2","50.6","9.5","7.76","2.32","1.58","0.83","0","58.78","28.95","42.7","15.47","22.09","2.21","21.3","44.3","112","0.308333333","0.053846154","0.190178571","8","4.307692308","4.285714286","2.307692308","1.521428571","0.819230769","1.642857143","0.884615385","53.57142857","48.08126411","53.84615385","18.77470356","3.999011858","26.35327635","48.94179894","30.34188034","56.34920635","32.76353276","60.84656085","5.696598088","10.57939645","63.10541311","117.1957672"
"","","MZP2011UMB-PT02","","","","","","","","","MZP2011UMB-PT02-00015","","","","26","22","14","11","69","36","18.2","2.2","31","7","6","3","50.6","11.6","7.76","3.48","1.53","1.05","100.97","76.16","32.46","48.66","11.34","16.78","6.75","20.4","51.4","105","0.263768116","0.061111111","0.194285714","7.5","4.038461538","4.928571429","2.653846154","1.457142857","0.784615385","2.214285714","1.192307692","65.71428571","39.68871595","53.84615385","22.92490119","4.676679842","25.92592593","48.14814815","29.05982906","53.96825397","44.15954416","82.01058201","6.661937097","12.37216889","73.21937322","135.978836"
"","","MZP2011UMB-PT02","","","","","","","","","MZP2011UMB-PT02-00016","","","","26","23","12","1","8","8","7","1.9","44","3","6","1","50.6","14","4.61","2.97","1.51","1.2","156.84","90.74","19.6","56.51","7.14","11.18","7.47","8.9","52.9","16","0.875","0.2375","0.55625","1.333333333","0.615384615","0.666666667","0.307692308","0.741666667","0.342307692","3.666666667","1.692307692","50","16.8241966","46.15384615","27.66798419","2.462450593","9.971509972","21.60493827","12.67806268","27.4691358","62.67806268","135.8024691","3.507764377","7.600156151","75.35612536","163.2716049"
"","","MZP2011UMB-PT02","","","","","","","","","MZP2011UMB-PT02-00017","","","","26","19","11","5","2","2","0.1","0.1","37","7","8","1","","","4.41","","","","","","","","","","","0.2","37.2","4","0.05","0.05","0.05","0.363636364","0.153846154","0.181818182","0.076923077","0.018181818","0.007692308","3.363636364","1.423076923","50","0.537634409","42.30769231","","","0.142450142","0.336700337","0.284900285","0.673400673","52.70655271","124.5791246","","","52.99145299","125.2525253"
"","","MZP2011UMB-PT02","","","","","","","","","MZP2011UMB-PT02-00018","","","","26","18","8","6","7","8","4.6","1.5","31","6","6","2","50.2","12.2","7.76","3.82","1.7","1.27","145.36","98.5","27.56","52.23","8.01","12.16","8.83","6.1","37.1","15","0.657142857","0.1875","0.406666667","1.875","0.576923077","0.875","0.269230769","0.7625","0.234615385","3.875","1.192307692","46.66666667","16.44204852","30.76923077","24.30278884","1.48247012","6.552706553","21.2962963","8.689458689","28.24074074","44.15954416","143.5185185","2.111780797","6.86328759","52.84900285","171.7592593"
"","","MZP2011UMB-PT02","","","","","","","","","MZP2011UMB-PT02-00019","","","","26","18","14","13","4","4","1.8","1.4","19","7","6","1","","","3.96","","","","","","","","","","","3.2","22.2","8","0.45","0.35","0.4","0.571428571","0.307692308","0.285714286","0.153846154","0.228571429","0.123076923","1.357142857","0.730769231","50","14.41441441","53.84615385","","","2.564102564","4.761904762","4.558404558","8.465608466","27.06552707","50.26455026","","","31.62393162","58.73015873"
"","","MZP2011UMB-PT02","","","","","","","","","MZP2011UMB-PT02-00020","","","","26","21","10","3","42","44","14.7","3.9","31","4","7","1","50.6","13.1","12.39","2.65","1.48","0.9","22.34","68.5","23.22","46.71","11.09","16.46","9.65","18.6","49.6","86","0.35","0.088636364","0.21627907","8.6","3.307692308","4.2","1.615384615","1.86","0.715384615","3.1","1.192307692","48.8372093","37.5","38.46153846","25.88932806","4.81541502","20.94017094","54.44444444","26.4957265","68.88888889","44.15954416","114.8148148","6.859565555","17.83487044","70.65527066","183.7037037"
"","","MZP2011UMB-PT02","","","","","","","","","MZP2011UMB-PT02-00021","","","","26","22","12","11","6","5","0.9","0.2","36","6","7","3","50.4","12.6","1.74","3.15","1.59","1.19","126.32","121.4","37.84","41.72","8.81","13.33","20.71","1.1","37.1","11","0.15","0.04","0.1","0.916666667","0.423076923","0.5","0.230769231","0.091666667","0.042307692","3","1.384615385","54.54545455","2.964959569","46.15384615","25","0.275","1.282051282","2.777777778","1.566951567","3.395061728","51.28205128","111.1111111","0.391737892","0.848765432","52.84900285","114.5061728"
"","","MZP2011UMB-PT02","","","","","","","","","MZP2011UMB-PT02-00022","","","","26","20","10","9","26","27","4.1","1.2","26","8","7","5","50.6","12","1.76","3.06","1.72","1.07","177.01","120.16","17.05","52.13","10.74","16.25","3.28","5.3","31.3","53","0.157692308","0.044444444","0.1","5.3","2.038461538","2.6","1","0.53","0.203846154","2.6","1","49.05660377","16.93290735","38.46153846","23.71541502","1.256916996","5.84045584","15.18518519","7.54985755","19.62962963","37.03703704","96.2962963","1.790480051","4.655248134","44.58689459","115.9259259"
"","","MZP2011UMB-PT02","","","","","","","","","MZP2011UMB-PT02-00023","","","","26","18","9","7","29","12","11","2.4","34","7","7","4","50.6","13.3","7.76","2.96","1.66","1.29","208.6","90.04","22.71","58.63","7.19","11.09","3.31","13.4","47.4","41","0.379310345","0.2","0.326829268","4.555555556","1.576923077","3.222222222","1.115384615","1.488888889","0.515384615","3.777777778","1.307692308","70.73170732","28.27004219","34.61538462","26.28458498","3.522134387","15.66951567","45.26748971","19.08831909","55.14403292","48.43304843","139.9176955","5.017285452","14.49438019","67.52136752","195.0617284"
"","","MZP2011UMB-PT02","","","","","","","","","MZP2011UMB-PT02-00024","","","","26","22","13","11","13","6","5","0.4","13","8","6","4","50.1","15.2","10.5","3.36","1.61","0.99","68.95","56.61","21.72","57.01","8.72","12.95","2.28","5.4","18.4","19","0.384615385","0.066666667","0.284210526","1.461538462","0.730769231","1","0.5","0.415384615","0.207692308","1","0.5","68.42105263","29.34782609","50","30.33932136","1.638323353","7.122507123","14.24501425","7.692307692","15.38461538","18.51851852","37.03703704","2.333793951","4.667587901","26.21082621","52.42165242"
"","","MZP2011UMB-PT02","","","","","","","","","MZP2011UMB-PT02-00025","","","","26","18","11","9","24","4","14","0.4","37","6","6","1","50.1","16.4","11.03","3.05","1.18","1.24","130.44","56.38","73.28","67.57","2.67","4.67","4.92","14.4","51.4","28","0.583333333","0.1","0.514285714","2.545454545","1.076923077","2.181818182","0.923076923","1.309090909","0.553846154","3.363636364","1.423076923","85.71428571","28.0155642","42.30769231","32.73453094","4.713772455","19.94301994","47.13804714","20.51282051","48.48484848","52.70655271","124.5791246","6.714775577","15.87128773","73.21937322","173.0639731"
"","","MZP2011UMB-PT02","","","","","","","","","MZP2011UMB-PT02-00026","","","","26","18","9","4","20","35","4","1.7","13","7","6","1","50.4","11.3","7.76","3.57","1.84","1.25","152.17","118.11","40.88","54.32","6.52","9.84","9.55","5.7","18.7","55","0.2","0.048571429","0.103636364","6.111111111","2.115384615","2.222222222","0.769230769","0.633333333","0.219230769","1.444444444","0.5","36.36363636","30.48128342","34.61538462","22.42063492","1.27797619","5.698005698","16.46090535","8.11965812","23.45679012","18.51851852","53.49794239","1.820478904","5.259161278","26.63817664","76.95473251"
"","","MZP2011UMB-PT02","","","","","","","","","MZP2011UMB-PT02-00027","","","","26","22","18","14","10","8","2.6","0.7","49","5","6","1","50.3","13","4.92","3.28","1.72","1.3","111.41","88.41","18.2","56.48","5.32","8.25","8.19","3.3","52.3","18","0.26","0.0875","0.183333333","1","0.692307692","0.555555556","0.384615385","0.183333333","0.126923077","2.722222222","1.884615385","55.55555556","6.309751434","69.23076923","25.84493042","0.852882704","3.703703704","5.349794239","4.700854701","6.790123457","69.8005698","100.8230453","1.214932626","1.754902683","74.5014245","107.6131687"
"","","MZP2011UMB-PT02","","","","","","","","","MZP2011UMB-PT02-00028","","","","26","21","11","3","16","16","2.2","1","48","4","5","1","50.3","14.1","14.37","3.84","1.91","1.58","256.47","136.19","37.29","58.06","4.78","8.24","8.32","3.2","51.2","32","0.1375","0.0625","0.1","2.909090909","1.230769231","1.454545455","0.615384615","0.290909091","0.123076923","4.363636364","1.846153846","50","6.25","42.30769231","28.03180915","0.897017893","3.133903134","7.407407407","4.558404558","10.77441077","68.37606838","161.6161616","1.277803266","3.020262265","72.93447293","172.3905724"
"","","MZP2011UMB-PT02","","","","","","","","","MZP2011UMB-PT02-00029","","","","26","22","16","4","3","1","0.4","0.1","16","5","8","1","50.9","15.5","7.76","1.99","1.24","1.19","126.1","61.61","","64.18","5.06","8.16","4.19","0.5","16.5","4","0.133333333","0.1","0.125","0.25","0.153846154","0.1875","0.115384615","0.03125","0.019230769","1","0.615384615","75","3.03030303","61.53846154","30.4518664","0.152259332","0.56980057","0.925925926","0.712250712","1.157407407","22.79202279","37.03703704","0.216893635","0.352452157","23.5042735","38.19444444"
"","","MZP2011UMB-PT02","","","","","","","","","MZP2011UMB-PT02-00030","","","","26","26","22","21","5","0","0.9","0","38","7","7","2","48.9","15","1.65","3.49","1.27","1.26","83.66","53.81","28.54","68.7","1.73","3.6","6.15","0.9","38.9","5","0.18","","0.18","0.227272727","0.192307692","0.227272727","0.192307692","0.040909091","0.034615385","1.727272727","1.461538462","100","2.313624679","84.61538462","30.67484663","0.27607362","1.282051282","1.515151515","1.282051282","1.515151515","54.13105413","63.97306397","0.393267264","0.464770403","55.41310541","65.48821549"
"","","MZP2011UMB-PT02","","","","","","","","","MZP2011UMB-PT02-00031","","","","26","18","14","14","63","32","16.5","3","13","7","6","2","50.6","16.2","1.65","2.63","1.48","1.31","127.89","78.85","27.62","63.32","3.46","5.85","8.07","19.5","32.5","95","0.261904762","0.09375","0.205263158","6.785714286","3.653846154","4.5","2.423076923","1.392857143","0.75","0.928571429","0.5","66.31578947","60","53.84615385","32.01581028","6.243083004","23.5042735","43.65079365","27.77777778","51.58730159","18.51851852","34.39153439","8.893280632","16.5160926","46.2962963","85.97883598"
"","","MZP2011UMB-PT02","","","","","","","","","MZP2011UMB-PT02-00032","","","","26","20","17","14","46","27","10.9","1","14","8","6","3","50.6","15.1","7.76","3.38","1.63","1.32","103.79","79.48","48.16","63.64","3.89","6.29","5.6","11.9","25.9","73","0.236956522","0.037037037","0.163013699","4.294117647","2.807692308","2.705882353","1.769230769","0.7","0.457692308","0.823529412","0.538461538","63.01369863","45.94594595","65.38461538","29.84189723","3.551185771","15.52706553","23.74727669","16.95156695","25.92592593","19.94301994","30.50108932","5.058669189","7.736788172","36.89458689","56.42701525"
"","","MZP2011UMB-PT02","","","","","","","","","MZP2011UMB-PT02-00033","","","","26","23","19","19","35","19","12.2","1.1","21","8","7","2","","","4.41","","","","","","","","","","","13.3","34.3","54","0.348571429","0.057894737","0.246296296","2.842105263","2.076923077","1.842105263","1.346153846","0.7","0.511538462","1.105263158","0.807692308","64.81481481","38.7755102","73.07692308","","","17.37891738","23.78167641","18.94586895","25.92592593","29.91452991","40.93567251","","","48.86039886","66.86159844"
"","","MZP2011UMB-PT02","","","","","","","","","MZP2011UMB-PT02-00034","","","","26","18","10","7","80","40","17","2","33","8","7","2","50.3","13.5","7.23","2.72","1.59","1.21","139.92","105.7","26.07","55.79","3.75","6.51","16.33","19","52","120","0.2125","0.05","0.158333333","12","4.615384615","8","3.076923077","1.9","0.730769231","3.3","1.269230769","66.66666667","36.53846154","38.46153846","26.8389662","5.099403579","24.21652422","62.96296296","27.06552707","70.37037037","47.00854701","122.2222222","7.264107662","18.88667992","74.07407407","192.5925926"
"","","MZP2011UMB-PT02","","","","","","","","","MZP2011UMB-PT02-00035","","","","26","20","13","8","17","12","6.7","0.8","18","7","8","3","50.6","14","7.76","3.77","1.84","1.25","65.17","79.24","17.34","54.09","6.52","10.13","8.16","7.5","25.5","29","0.394117647","0.066666667","0.25862069","2.230769231","1.115384615","1.307692308","0.653846154","0.576923077","0.288461538","1.384615385","0.692307692","58.62068966","29.41176471","50","27.66798419","2.075098814","9.544159544","19.08831909","10.68376068","21.36752137","25.64102564","51.28205128","2.955981217","5.911962434","36.32478632","72.64957265"
"","","MZP2011UMB-PT02","","","","","","","","","MZP2011UMB-PT02-00036","","","","26","18","9","8","33","32","11","1.1","19","7","7","5","","","6.12","","","","","","","","","","","12.1","31.1","65","0.333333333","0.034375","0.186153846","7.222222222","2.5","3.666666667","1.269230769","1.344444444","0.465384615","2.111111111","0.730769231","50.76923077","38.90675241","34.61538462","","","15.66951567","45.26748971","17.23646724","49.79423868","27.06552707","78.18930041","","","44.3019943","127.9835391"
"","","MZP2011UMB-PT02","","","","","","","","","MZP2011UMB-PT02-00037","","","","26","22","13","13","29","23","8.2","1.2","14","5","7","2","50.2","13.6","1.76","3.17","1.6","1.31","92.18","75.85","12.74","57.59","4.18","6.54","11.12","9.4","23.4","52","0.282758621","0.052173913","0.180769231","4","2","2.230769231","1.115384615","0.723076923","0.361538462","1.076923077","0.538461538","55.76923077","40.17094017","50","27.09163347","2.546613546","11.68091168","23.36182336","13.39031339","26.78062678","19.94301994","39.88603989","3.627654624","7.255309247","33.33333333","66.66666667"
"","","MZP2011UMB-PT02","","","","","","","","","MZP2011UMB-PT02-00038","","","","26","19","15","8","40","70","5.2","3.8","15","3","4","1","50.2","9.5","12.39","2.23","1.89","1.12","29.08","109.92","30.16","35.16","15.03","21.86","9.46","9","24","110","0.13","0.054285714","0.081818182","7.333333333","4.230769231","2.666666667","1.538461538","0.6","0.346153846","1","0.576923077","36.36363636","37.5","57.69230769","18.92430279","1.703187251","7.407407407","12.83950617","12.82051282","22.22222222","21.36752137","37.03703704","2.426192665","4.20540062","34.18803419","59.25925926"
"","","MZP2011UMB-PT02","","","","","","","","","MZP2011UMB-PT02-00039","","","","26","23","19","7","4","33","0.6","0.8","32","6","6","1","","","5.46","","","","","","","","","","","1.4","33.4","37","0.15","0.024242424","0.037837838","1.947368421","1.423076923","0.210526316","0.153846154","0.073684211","0.053846154","1.684210526","1.230769231","10.81081081","4.191616766","73.07692308","","","0.854700855","1.169590643","1.994301994","2.729044834","45.58404558","62.37816764","","","47.57834758","65.10721248"
"","","MZP2011UMB-PT02","","","","","","","","","MZP2011UMB-PT02-00040","","","","26","21","17","7","9","3","2.8","0.2","14","6","8","1","50","11.4","10.5","3.85","1.67","1.27","89.64","75.77","20.8","55.93","2.88","4.97","16.49","3","17","12","0.311111111","0.066666667","0.25","0.705882353","0.461538462","0.529411765","0.346153846","0.176470588","0.115384615","0.823529412","0.538461538","75","17.64705882","65.38461538","22.8","0.684","3.988603989","6.100217865","4.273504274","6.535947712","19.94301994","30.50108932","0.974358974","1.490196078","24.21652422","37.03703704"
