"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2009CKE-PT01","","","","","","","","","MZP2009CKE-PT01-00011","","","","26","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","MZP2009CKE-PT01","","","","","","","","","MZP2009CKE-PT01-00012","","","","26","15","1","1","8","15","6","3","18.4","5","12.39","9","27.4","0.6","0.346153846","1.226666667","0.707692308","32.84671533","57.69230769","8.547008547","14.81481481","12.82051282","22.22222222","26.21082621","45.43209877","39.03133903","67.65432099"
"","","MZP2009CKE-PT01","","","","","","","","","MZP2009CKE-PT01-00013","","","","26","21","1","1","9","21","9.5","2.5","16","4","3.76","12","28","0.571428571","0.461538462","0.761904762","0.615384615","42.85714286","80.76923077","13.53276353","16.75485009","17.09401709","21.16402116","22.79202279","28.21869489","39.88603989","49.38271605"
"","","MZP2009CKE-PT01","","","","","","","","","MZP2009CKE-PT01-00014","","","","26","16","1","1","8","4","6","2","13","4","10.5","8","21","2","0.307692308","3.25","0.5","38.0952381","15.38461538","8.547008547","55.55555556","11.3960114","74.07407407","18.51851852","120.3703704","29.91452991","194.4444444"
"","","MZP2009CKE-PT01","","","","","","","","","MZP2009CKE-PT01-00015","","","","26","19","1","1","8","19","20","4","26","4","14.37","24","50","1.263157895","0.923076923","1.368421053","1","48","73.07692308","28.49002849","38.98635478","34.18803419","46.78362573","37.03703704","50.68226121","71.22507123","97.46588694"
"","","MZP2009CKE-PT01","","","","","","","","","MZP2009CKE-PT01-00016","","","","26","17","1","1","9","17","5.5","7.5","12.5","2","12.39","13","25.5","0.764705882","0.5","0.735294118","0.480769231","50.98039216","65.38461538","7.834757835","11.98257081","18.51851852","28.32244009","17.80626781","27.23311547","36.32478632","55.55555556"
"","","MZP2009CKE-PT01","","","","","","","","","MZP2009CKE-PT01-00017","","","","26","17","1","1","8","16","9.2","1.5","14","5","14.37","10.7","24.7","0.66875","0.411538462","0.875","0.538461538","43.31983806","61.53846154","13.10541311","21.2962963","15.24216524","24.76851852","19.94301994","32.40740741","35.18518519","57.17592593"
"","","MZP2009CKE-PT01","","","","","","","","","MZP2009CKE-PT01-00018","","","","26","13","1","1","9","13","21","12.2","25","4","7.76","33.2","58.2","2.553846154","1.276923077","1.923076923","0.961538462","57.04467354","50","29.91452991","59.82905983","47.29344729","94.58689459","35.61253561","71.22507123","82.90598291","165.8119658"
"","","MZP2009CKE-PT01","","","","","","","","","MZP2009CKE-PT01-00019","","","","26","18","1","1","8","13","10","14","17","4","10.5","24","41","1.846153846","0.923076923","1.307692308","0.653846154","58.53658537","50","14.24501425","28.49002849","34.18803419","68.37606838","24.21652422","48.43304843","58.4045584","116.8091168"
"","","MZP2009CKE-PT01","","","","","","","","","MZP2009CKE-PT01-00020","","","","26","19","1","1","9","19","13","12","21.5","3","6.12","25","46.5","1.315789474","0.961538462","1.131578947","0.826923077","53.76344086","73.07692308","18.51851852","25.3411306","35.61253561","48.73294347","30.62678063","41.91033138","66.23931624","90.64327485"
"","","MZP2009CKE-PT01","","","","","","","","","MZP2009CKE-PT01-00021","","","","26","23","1","1","9","23","28","6","19.5","4","14.37","34","53.5","1.47826087","1.307692308","0.847826087","0.75","63.55140187","88.46153846","39.88603989","45.08856683","48.43304843","54.75040258","27.77777778","31.40096618","76.21082621","86.15136876"
"","","MZP2009CKE-PT01","","","","","","","","","MZP2009CKE-PT01-00022","","","","26","20","1","1","9","20","9.8","3","13","4","14.37","12.8","25.8","0.64","0.492307692","0.65","0.5","49.6124031","76.92307692","13.96011396","18.14814815","18.23361823","23.7037037","18.51851852","24.07407407","36.75213675","47.77777778"
"","","MZP2009CKE-PT01","","","","","","","","","MZP2009CKE-PT01-00023","","","","26","16","1","1","9","16","16","3","15","4","14.37","19","34","1.1875","0.730769231","0.9375","0.576923077","55.88235294","61.53846154","22.79202279","37.03703704","27.06552707","43.98148148","21.36752137","34.72222222","48.43304843","78.7037037"
"","","MZP2009CKE-PT01","","","","","","","","","MZP2009CKE-PT01-00024","","","","26","19","1","1","8","19","31","17","18.4","4","14.37","48","66.4","2.526315789","1.846153846","0.968421053","0.707692308","72.28915663","73.07692308","44.15954416","60.4288499","68.37606838","93.56725146","26.21082621","35.86744639","94.58689459","129.4346979"
"","","MZP2009CKE-PT01","","","","","","","","","MZP2009CKE-PT01-00025","","","","26","19","1","2","9","15","16.5","5.6","17.6","4","14.37","22.1","39.7","1.473333333","0.85","1.173333333","0.676923077","55.6675063","57.69230769","23.5042735","40.74074074","31.48148148","54.56790123","25.07122507","43.45679012","56.55270655","98.02469136"
"","","MZP2009CKE-PT01","","","","","","","","","MZP2009CKE-PT01-00026","","","","26","22","1","1","9","22","15","4.8","20","5","14.37","19.8","39.8","0.9","0.761538462","0.909090909","0.769230769","49.74874372","84.61538462","21.36752137","25.25252525","28.20512821","33.33333333","28.49002849","33.67003367","56.6951567","67.003367"
"","","MZP2009CKE-PT01","","","","","","","","","MZP2009CKE-PT01-00027","","","","26","15","2","1","8","15","14","1.5","16","4","3.76","15.5","31.5","1.033333333","0.596153846","1.066666667","0.615384615","49.20634921","57.69230769","19.94301994","34.56790123","22.07977208","38.27160494","22.79202279","39.50617284","44.87179487","77.77777778"
"","","MZP2009CKE-PT01","","","","","","","","","MZP2009CKE-PT01-00028","","","","26","22","1","1","9","16","21","12","22","4","14.37","33","55","2.0625","1.269230769","1.375","0.846153846","60","61.53846154","29.91452991","48.61111111","47.00854701","76.38888889","31.33903134","50.92592593","78.34757835","127.3148148"
"","","MZP2009CKE-PT01","","","","","","","","","MZP2009CKE-PT01-00029","","","","26","26","1","1","9","26","23","9.2","16.4","4","14.37","32.2","48.6","1.238461538","1.238461538","0.630769231","0.630769231","66.25514403","100","32.76353276","32.76353276","45.86894587","45.86894587","23.36182336","23.36182336","69.23076923","69.23076923"
"","","MZP2009CKE-PT01","","","","","","","","","MZP2009CKE-PT01-00030","","","","26","21","1","1","7","21","8","14","14.5","4","12.39","22","36.5","1.047619048","0.846153846","0.69047619","0.557692308","60.2739726","80.76923077","11.3960114","14.10934744","31.33903134","38.80070547","20.65527066","25.57319224","51.99430199","64.37389771"
"","","MZP2009CKE-PT01","","","","","","","","","MZP2009CKE-PT01-00031","","","","26","17","1","1","9","17","15.5","5.5","20.5","3","7.76","21","41.5","1.235294118","0.807692308","1.205882353","0.788461538","50.60240964","65.38461538","22.07977208","33.76906318","29.91452991","45.75163399","29.2022792","44.66230937","59.11680912","90.41394336"
"","","MZP2009CKE-PT01","","","","","","","","","MZP2009CKE-PT01-00032","","","","26","20","1","1","8","18","7","2.8","16.5","4","14.37","9.8","26.3","0.544444444","0.376923077","0.916666667","0.634615385","37.26235741","69.23076923","9.971509972","14.40329218","13.96011396","20.16460905","23.5042735","33.95061728","37.46438746","54.11522634"
"","","MZP2009CKE-PT01","","","","","","","","","MZP2009CKE-PT01-00033","","","","26","25","1","3","9","25","14","7.2","20","4","12.39","21.2","41.2","0.848","0.815384615","0.8","0.769230769","51.45631068","96.15384615","19.94301994","20.74074074","30.1994302","31.40740741","28.49002849","29.62962963","58.68945869","61.03703704"
"","","MZP2009CKE-PT01","","","","","","","","","MZP2009CKE-PT01-00034","","","","26","24","1","1","8","24","10","6.2","19.5","4","10.5","16.2","35.7","0.675","0.623076923","0.8125","0.75","45.37815126","92.30769231","14.24501425","15.43209877","23.07692308","25","27.77777778","30.09259259","50.85470085","55.09259259"
"","","MZP2009CKE-PT01","","","","","","","","","MZP2009CKE-PT01-00035","","","","26","22","1","1","7","22","18","13.2","18","3","14.37","31.2","49.2","1.418181818","1.2","0.818181818","0.692307692","63.41463415","84.61538462","25.64102564","30.3030303","44.44444444","52.52525253","25.64102564","30.3030303","70.08547009","82.82828283"
"","","MZP2009CKE-PT01","","","","","","","","","MZP2009CKE-PT01-00036","","","","26","25","1","1","9","25","10","6","15","4","12.39","16","31","0.64","0.615384615","0.6","0.576923077","51.61290323","96.15384615","14.24501425","14.81481481","22.79202279","23.7037037","21.36752137","22.22222222","44.15954416","45.92592593"
"","","MZP2009CKE-PT01","","","","","","","","","MZP2009CKE-PT01-00037","","","","26","21","1","1","9","16","10.2","18","21","4","7.76","28.2","49.2","1.7625","1.084615385","1.3125","0.807692308","57.31707317","61.53846154","14.52991453","23.61111111","40.17094017","65.27777778","29.91452991","48.61111111","70.08547009","113.8888889"
"","","MZP2009CKE-PT01","","","","","","","","","MZP2009CKE-PT01-00038","","","","26","18","1","1","8","17","13","8","17","4","14.37","21","38","1.235294118","0.807692308","1","0.653846154","55.26315789","65.38461538","18.51851852","28.32244009","29.91452991","45.75163399","24.21652422","37.03703704","54.13105413","82.78867102"
"","","MZP2009CKE-PT01","","","","","","","","","MZP2009CKE-PT01-00039","","","","26","20","1","1","7","20","14.5","8","15.5","4","11.03","22.5","38","1.125","0.865384615","0.775","0.596153846","59.21052632","76.92307692","20.65527066","26.85185185","32.05128205","41.66666667","22.07977208","28.7037037","54.13105413","70.37037037"
"","","MZP2009CKE-PT01","","","","","","","","","MZP2009CKE-PT01-00040","","","","26","16","1","1","8","16","8.5","2.8","15","5","11.03","11.3","26.3","0.70625","0.434615385","0.9375","0.576923077","42.96577947","61.53846154","12.10826211","19.67592593","16.0968661","26.15740741","21.36752137","34.72222222","37.46438746","60.87962963"
"","","MZP2009CKE-PT01","","","","","","","","","MZP2009CKE-PT01-00041","","","","26","26","1","1","9","13","29","3.3","15.5","5","11.03","32.3","47.8","2.484615385","1.242307692","1.192307692","0.596153846","67.57322176","50","41.31054131","82.62108262","46.01139601","92.02279202","22.07977208","44.15954416","68.09116809","136.1823362"
"","","MZP2009CKE-PT01","","","","","","","","","MZP2009CKE-PT01-00042","","","","26","15","1","3","7","15","12","6.5","6.5","4","7.23","18.5","25","1.233333333","0.711538462","0.433333333","0.25","74","57.69230769","17.09401709","29.62962963","26.35327635","45.67901235","9.259259259","16.04938272","35.61253561","61.72839506"
"","","MZP2009CKE-PT01","","","","","","","","","MZP2009CKE-PT01-00043","","","","26","18","1","1","8","18","2","1","17","3","7.76","3","20","0.166666667","0.115384615","0.944444444","0.653846154","15","69.23076923","2.849002849","4.115226337","4.273504274","6.172839506","24.21652422","34.97942387","28.49002849","41.15226337"
"","","MZP2009CKE-PT01","","","","","","","","","MZP2009CKE-PT01-00044","","","","26","14","1","1","6","14","7","7.2","12","4","4.92","14.2","26.2","1.014285714","0.546153846","0.857142857","0.461538462","54.19847328","53.84615385","9.971509972","18.51851852","20.22792023","37.56613757","17.09401709","31.74603175","37.32193732","69.31216931"
"","","MZP2009CKE-PT01","","","","","","","","","MZP2009CKE-PT01-00045","","","","26","20","4","1","5","20","7.5","2","12","4","11.03","9.5","21.5","0.475","0.365384615","0.6","0.461538462","44.18604651","76.92307692","10.68376068","13.88888889","13.53276353","17.59259259","17.09401709","22.22222222","30.62678063","39.81481481"
"","","MZP2009CKE-PT01","","","","","","","","","MZP2009CKE-PT01-00046","","","","26","15","1","1","8","13","3.8","8.2","15","4","12.39","12","27","0.923076923","0.461538462","1.153846154","0.576923077","44.44444444","50","5.413105413","10.82621083","17.09401709","34.18803419","21.36752137","42.73504274","38.46153846","76.92307692"
"","","MZP2009CKE-PT01","","","","","","","","","MZP2009CKE-PT01-00047","","","","26","21","1","1","7","15","12","4.2","13","4","10.5","16.2","29.2","1.08","0.623076923","0.866666667","0.5","55.47945205","57.69230769","17.09401709","29.62962963","23.07692308","40","18.51851852","32.09876543","41.5954416","72.09876543"
"","","MZP2009CKE-PT01","","","","","","","","","MZP2009CKE-PT01-00048","","","","26","15","3","1","5","8","4","1.5","7.8","3","7.23","5.5","13.3","0.6875","0.211538462","0.975","0.3","41.35338346","30.76923077","5.698005698","18.51851852","7.834757835","25.46296296","11.11111111","36.11111111","18.94586895","61.57407407"
"","","MZP2009CKE-PT01","","","","","","","","","MZP2009CKE-PT01-00049","","","","26","17","2","1","6","13","1","4","9.2","4","14.37","5","14.2","0.384615385","0.192307692","0.707692308","0.353846154","35.21126761","50","1.424501425","2.849002849","7.122507123","14.24501425","13.10541311","26.21082621","20.22792023","40.45584046"
"","","MZP2009CKE-PT01","","","","","","","","","MZP2009CKE-PT01-00050","","","","26","20","1","1","7","20","1.2","5.2","17.8","2","7.76","6.4","24.2","0.32","0.246153846","0.89","0.684615385","26.44628099","76.92307692","1.709401709","2.222222222","9.116809117","11.85185185","25.35612536","32.96296296","34.47293447","44.81481481"
"","","MZP2009CKE-PT01","","","","","","","","","MZP2009CKE-PT01-00051","","","","26","17","1","3","8","16","9.5","1.8","17.5","4","14.37","11.3","28.8","0.70625","0.434615385","1.09375","0.673076923","39.23611111","61.53846154","13.53276353","21.99074074","16.0968661","26.15740741","24.92877493","40.50925926","41.02564103","66.66666667"
"","","MZP2009CKE-PT01","","","","","","","","","MZP2009CKE-PT01-00052","","","","26","8","5","3","6","8","4","3","4.8","5","14.37","7","11.8","0.875","0.269230769","0.6","0.184615385","59.3220339","30.76923077","5.698005698","18.51851852","9.971509972","32.40740741","6.837606838","22.22222222","16.80911681","54.62962963"
"","","MZP2009CKE-PT01","","","","","","","","","MZP2009CKE-PT01-00053","","","","26","26","1","1","9","21","13","10","26","4","14.37","23","49","1.095238095","0.884615385","1.238095238","1","46.93877551","80.76923077","18.51851852","22.92768959","32.76353276","40.5643739","37.03703704","45.85537919","69.8005698","86.41975309"
"","","MZP2009CKE-PT01","","","","","","","","","MZP2009CKE-PT01-00054","","","","26","20","1","1","6","20","20","6","6.4","5","12.39","26","32.4","1.3","1","0.32","0.246153846","80.24691358","76.92307692","28.49002849","37.03703704","37.03703704","48.14814815","9.116809117","11.85185185","46.15384615","60"
"","","MZP2009CKE-PT01","","","","","","","","","MZP2009CKE-PT01-00055","","","","26","21","1","3","8","21","13.5","6","12","4","14.37","19.5","31.5","0.928571429","0.75","0.571428571","0.461538462","61.9047619","80.76923077","19.23076923","23.80952381","27.77777778","34.39153439","17.09401709","21.16402116","44.87179487","55.55555556"
"","","MZP2009CKE-PT01","","","","","","","","","MZP2009CKE-PT01-00056","","","","26","16","1","1","5","16","16","7.5","6","5","11.03","23.5","29.5","1.46875","0.903846154","0.375","0.230769231","79.66101695","61.53846154","22.79202279","37.03703704","33.47578348","54.39814815","8.547008547","13.88888889","42.02279202","68.28703704"
"","","MZP2009CKE-PT01","","","","","","","","","MZP2009CKE-PT01-00057","","","","26","19","1","1","9","2","2","1.5","5","4","14.37","3.5","8.5","1.75","0.134615385","2.5","0.192307692","41.17647059","7.692307692","2.849002849","37.03703704","4.985754986","64.81481481","7.122507123","92.59259259","12.10826211","157.4074074"
"","","MZP2009CKE-PT01","","","","","","","","","MZP2009CKE-PT01-00058","","","","26","13","1","1","9","13","4","5","21","4","12.39","9","30","0.692307692","0.346153846","1.615384615","0.807692308","30","50","5.698005698","11.3960114","12.82051282","25.64102564","29.91452991","59.82905983","42.73504274","85.47008547"
"","","MZP2009CKE-PT01","","","","","","","","","MZP2009CKE-PT01-00059","","","","26","22","1","1","9","22","5.2","4","14","5","1.76","9.2","23.2","0.418181818","0.353846154","0.636363636","0.538461538","39.65517241","84.61538462","7.407407407","8.754208754","13.10541311","15.48821549","19.94301994","23.56902357","33.04843305","39.05723906"
"","","MZP2009CKE-PT01","","","","","","","","","MZP2009CKE-PT01-00060","","","","26","26","1","1","9","26","16.2","9.2","18","4","0.02","25.4","43.4","0.976923077","0.976923077","0.692307692","0.692307692","58.52534562","100","23.07692308","23.07692308","36.18233618","36.18233618","25.64102564","25.64102564","61.82336182","61.82336182"
"","","MZP2009CKE-PT01","","","","","","","","","MZP2009CKE-PT01-00061","","","","26","13","6","4","5","13","8","5","12","4","6.12","13","25","1","0.5","0.923076923","0.461538462","52","50","11.3960114","22.79202279","18.51851852","37.03703704","17.09401709","34.18803419","35.61253561","71.22507123"
"","","MZP2009CKE-PT01","","","","","","","","","MZP2009CKE-PT01-00062","","","","26","26","1","1","9","16","33","7","16","5","7.23","40","56","2.5","1.538461538","1","0.615384615","71.42857143","61.53846154","47.00854701","76.38888889","56.98005698","92.59259259","22.79202279","37.03703704","79.77207977","129.6296296"
"","","MZP2009CKE-PT01","","","","","","","","","MZP2009CKE-PT01-00063","","","","26","22","1","1","9","16","7","3.8","10","4","14.37","10.8","20.8","0.675","0.415384615","0.625","0.384615385","51.92307692","61.53846154","9.971509972","16.2037037","15.38461538","25","14.24501425","23.14814815","29.62962963","48.14814815"
"","","MZP2009CKE-PT01","","","","","","","","","MZP2009CKE-PT01-00064","","","","26","21","1","1","9","21","28.8","6","15.4","4","7.23","34.8","50.2","1.657142857","1.338461538","0.733333333","0.592307692","69.32270916","80.76923077","41.02564103","50.79365079","49.57264957","61.37566138","21.93732194","27.16049383","71.50997151","88.5361552"
"","","MZP2009CKE-PT01","","","","","","","","","MZP2009CKE-PT01-00065","","","","26","16","3","2","8","16","10","4.8","12.8","4","11.03","14.8","27.6","0.925","0.569230769","0.8","0.492307692","53.62318841","61.53846154","14.24501425","23.14814815","21.08262108","34.25925926","18.23361823","29.62962963","39.31623932","63.88888889"
"","","MZP2009CKE-PT01","","","","","","","","","MZP2009CKE-PT01-00066","","","","26","17","1","","","","","","","","","","","","","","","","","","","","","","","",""
"","","MZP2009CKE-PT01","","","","","","","","","MZP2009CKE-PT01-00067","","","","26","24","1","1","9","7","25","4","11.8","5","14.37","29","40.8","4.142857143","1.115384615","1.685714286","0.453846154","71.07843137","26.92307692","35.61253561","132.2751323","41.31054131","153.4391534","16.80911681","62.43386243","58.11965812","215.8730159"
"","","MZP2009CKE-PT01","","","","","","","","","MZP2009CKE-PT01-00068","","","","26","16","1","1","9","16","9.5","3.5","8","4","12.39","13","21","0.8125","0.5","0.5","0.307692308","61.9047619","61.53846154","13.53276353","21.99074074","18.51851852","30.09259259","11.3960114","18.51851852","29.91452991","48.61111111"
"","","MZP2009CKE-PT01","","","","","","","","","MZP2009CKE-PT01-00069","","","","26","16","1","1","9","14","16","6","13","4","5.49","22","35","1.571428571","0.846153846","0.928571429","0.5","62.85714286","53.84615385","22.79202279","42.32804233","31.33903134","58.2010582","18.51851852","34.39153439","49.85754986","92.59259259"
"","","MZP2009CKE-PT01","","","","","","","","","MZP2009CKE-PT01-00070","","","","26","24","1","1","9","16","20.5","4.5","16","4","14.37","25","41","1.5625","0.961538462","1","0.615384615","60.97560976","61.53846154","29.2022792","47.4537037","35.61253561","57.87037037","22.79202279","37.03703704","58.4045584","94.90740741"
"","","MZP2009CKE-PT01","","","","","","","","","MZP2009CKE-PT01-00071","","","","26","10","1","1","9","10","8","5","10","4","3.03","13","23","1.3","0.5","1","0.384615385","56.52173913","38.46153846","11.3960114","29.62962963","18.51851852","48.14814815","14.24501425","37.03703704","32.76353276","85.18518519"
"","","MZP2009CKE-PT01","","","","","","","","","MZP2009CKE-PT01-00072","","","","26","19","1","1","9","12","8","3","9","4","10.5","11","20","0.916666667","0.423076923","0.75","0.346153846","55","46.15384615","11.3960114","24.69135802","15.66951567","33.95061728","12.82051282","27.77777778","28.49002849","61.72839506"
"","","MZP2009CKE-PT01","","","","","","","","","MZP2009CKE-PT01-00073","","","","26","16","1","1","9","16","0.6","2.5","14.2","3","12.39","3.1","17.3","0.19375","0.119230769","0.8875","0.546153846","17.91907514","61.53846154","0.854700855","1.388888889","4.415954416","7.175925926","20.22792023","32.87037037","24.64387464","40.0462963"
"","","MZP2009CKE-PT01","","","","","","","","","MZP2009CKE-PT01-00074","","","","26","22","1","1","9","22","7.5","4","13.8","4","14.37","11.5","25.3","0.522727273","0.442307692","0.627272727","0.530769231","45.45454545","84.61538462","10.68376068","12.62626263","16.38176638","19.36026936","19.65811966","23.23232323","36.03988604","42.59259259"
"","","MZP2009CKE-PT01","","","","","","","","","MZP2009CKE-PT01-00075","","","","26","23","1","1","2","23","21.2","4","10","4","14.37","25.2","35.2","1.095652174","0.969230769","0.434782609","0.384615385","71.59090909","88.46153846","30.1994302","34.13848631","35.8974359","40.57971014","14.24501425","16.10305958","50.14245014","56.68276973"
"","","MZP2009CKE-PT01","","","","","","","","","MZP2009CKE-PT01-00076","","","","26","19","1","1","9","14","11","4.6","10","4","14.37","15.6","25.6","1.114285714","0.6","0.714285714","0.384615385","60.9375","53.84615385","15.66951567","29.1005291","22.22222222","41.26984127","14.24501425","26.45502646","36.46723647","67.72486772"
"","","MZP2009CKE-PT01","","","","","","","","","MZP2009CKE-PT01-00077","","","","26","17","1","1","9","13","5","0.4","8","5","14.37","5.4","13.4","0.415384615","0.207692308","0.615384615","0.307692308","40.29850746","50","7.122507123","14.24501425","7.692307692","15.38461538","11.3960114","22.79202279","19.08831909","38.17663818"
"","","MZP2009CKE-PT01","","","","","","","","","MZP2009CKE-PT01-00078","","","","26","19","1","1","9","6","3","6","17.5","4","14.37","9","26.5","1.5","0.346153846","2.916666667","0.673076923","33.96226415","23.07692308","4.273504274","18.51851852","12.82051282","55.55555556","24.92877493","108.0246914","37.74928775","163.5802469"
"","","MZP2009CKE-PT01","","","","","","","","","MZP2009CKE-PT01-00079","","","","26","7","4","1","8","7","3","6.9","4.8","4","","9.9","14.7","1.414285714","0.380769231","0.685714286","0.184615385","67.34693878","26.92307692","4.273504274","15.87301587","14.1025641","52.38095238","6.837606838","25.3968254","20.94017094","77.77777778"
"","","MZP2009CKE-PT01","","","","","","","","","MZP2009CKE-PT01-00080","","","","26","11","1","1","5","11","5.5","1.2","8","4","14.37","6.7","14.7","0.609090909","0.257692308","0.727272727","0.307692308","45.57823129","42.30769231","7.834757835","18.51851852","9.544159544","22.55892256","11.3960114","26.93602694","20.94017094","49.49494949"
