"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Weight of vines per NET plot in kg|CO_331:0000227","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Storage root dry matter content computing percent|CO_331:0000297","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Content of total sugars estimating 1-9|CO_331:0000766","Content of starch in raw storage roots estimating 1-9|CO_331:0001055","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2010UMB-AT01","","","","","","","","","MZP2010UMB-AT01-00021","","","","39","32","1","1","8","26","14","","","","","","","","","","","","","","","","","","","","","","","","","","","1.857142857","0.666666667","","","35.8974359","","","","","","24.69135802","68.78306878","","","",""
"","","MZP2010UMB-AT01","","","","","","","","","MZP2010UMB-AT01-00022","","","","39","36","1","1","8","29","18","1","0","1","0","0.2","2","2","4","","","","","","","0.2","29.2","1","","0.2","0.2","0.055555556","0.025641026","0","0","0.011111111","0.005128205","1.611111111","0.743589744","0","0.684931507","46.15384615","","0","0","0.189933523","0.411522634","27.54036087","59.67078189","","","27.7302944","60.08230453"
"","","MZP2010UMB-AT01","","","","","","","","","MZP2010UMB-AT01-00023","","","","39","36","1","1","9","19","14","1","19","21","1.5","0.5","3","3","4","30.03","10.5","5","2","4","4","2","21","40","0.078947368","0.023809524","0.05","2.857142857","1.025641026","1.357142857","0.487179487","0.142857143","0.051282051","1.357142857","0.487179487","47.5","9.523809524","35.8974359","0.6006","1.424501425","3.968253968","1.899335233","5.291005291","18.04368471","50.26455026","0.57037037","1.588888889","19.94301994","55.55555556"
"","","MZP2010UMB-AT01","","","","","","","","","MZP2010UMB-AT01-00024","","","","39","34","4","6","7","23","11","4","0","20","0","0.5","2","1","4","30.08","3.76","5","2","4","4","0.5","23.5","20","","0.025","0.025","1.818181818","0.512820513","0","0","0.045454545","0.012820513","2.090909091","0.58974359","0","2.127659574","28.20512821","0.1504","0","0","0.474833808","1.683501684","21.84235518","77.44107744","0.142830009","0.506397306","22.31718898","79.12457912"
"","","MZP2010UMB-AT01","","","","","","","","","MZP2010UMB-AT01-00025","","","","39","38","1","1","8","26","15","12","26","12","2.5","0.5","3","3","4","30.25","3.76","4","2","4","4","3","29","38","0.096153846","0.041666667","0.078947368","2.533333333","0.974358974","1.733333333","0.666666667","0.2","0.076923077","1.733333333","0.666666667","68.42105263","10.34482759","38.46153846","0.9075","2.374169041","6.172839506","2.849002849","7.407407407","24.69135802","64.19753086","0.861823362","2.240740741","27.54036087","71.60493827"
"","","MZP2010UMB-AT01","","","","","","","","","MZP2010UMB-AT01-00026","","","","39","36","1","1","9","16","10","8","11","17","1.5","2.5","3","3","4","30.75","0","4","2","5","4","4","20","28","0.136363636","0.147058824","0.142857143","2.8","0.717948718","1.1","0.282051282","0.4","0.102564103","1.6","0.41025641","39.28571429","20","25.64102564","1.23","1.424501425","5.555555556","3.798670465","14.81481481","15.19468186","59.25925926","1.168091168","4.555555556","18.99335233","74.07407407"
"","","MZP2010UMB-AT01","","","","","","","","","MZP2010UMB-AT01-00027","","","","39","32","1","1","9","27","13","1","0","6","0","0.2","2","2","4","30.53","10.5","4","2","4","4","0.2","27.2","6","","0.033333333","0.033333333","0.461538462","0.153846154","0","0","0.015384615","0.005128205","2.076923077","0.692307692","0","0.735294118","33.33333333","0.06106","0","0","0.189933523","0.56980057","25.64102564","76.92307692","0.057986705","0.173960114","25.83095916","77.49287749"
"","","MZP2010UMB-AT01","","","","","","","","","MZP2010UMB-AT01-00028","","","","39","30","1","1","9","14","8","2","0","11","0","1","2","1","4","30.18","3.76","","","","","1","15","11","","0.090909091","0.090909091","1.375","0.282051282","0","0","0.125","0.025641026","1.75","0.358974359","0","6.666666667","20.51282051","0.3018","0","0","0.949667616","4.62962963","13.29534663","64.81481481","0.286609687","1.397222222","14.24501425","69.44444444"
"","","MZP2010UMB-AT01","","","","","","","","","MZP2010UMB-AT01-00029","","","","39","36","3","6","9","17","16","6","7","34","0.5","0.8","3","3","4","30.07","10.5","4","2","4","4","1.3","18.3","41","0.071428571","0.023529412","0.031707317","2.5625","1.051282051","0.4375","0.179487179","0.08125","0.033333333","1.0625","0.435897436","17.07317073","7.103825137","41.02564103","0.39091","0.474833808","1.157407407","1.234567901","3.009259259","16.14434948","39.35185185","0.371234568","0.904884259","17.37891738","42.36111111"
"","","MZP2010UMB-AT01","","","","","","","","","MZP2010UMB-AT01-00030","","","","39","39","1","1","9","31","11","8","0","11","0","0.5","2","2","4","","0","","","","","0.5","31.5","11","","0.045454545","0.045454545","1","0.282051282","0","0","0.045454545","0.012820513","2.818181818","0.794871795","0","1.587301587","28.20512821","","0","0","0.474833808","1.683501684","29.43969611","104.3771044","","","29.91452991","106.0606061"
