"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Dry weight of storage root samples measuring g|CO_331:0000247","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Storage root sweetness in cooked samples estimating 1-9|CO_331:0000261","Storage root texture in boiled samples estimating 1-9 by Gruneberg|CO_331:0000265","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of total carotenoids in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000290","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Content of maltose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001051","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2013UMB-AT03","","","","","","","","","MZP2013UMB-AT03-00011","","","","26","23","1","1","7","21","14","45","55","10","3","9","3","3","1","13.4","1","3","3","3","2.28","1.77","1","32.48","14.37","45.92","5.42","6.91","21.91","0.29","13","22","100","0.222222222","0.054545455","0.13","4.761904762","3.846153846","2.142857143","1.730769231","0.619047619","0.5","0.428571429","0.346153846","45","59.09090909","80.76923077","14.24501425","17.6366843","18.51851852","22.92768959","12.82051282","15.87301587","31.33903134","38.80070547"
"","","MZP2013UMB-AT03","","","","","","","","","MZP2013UMB-AT03-00012","","","","26","22","1","1","8","20","12","22","30","8","1.5","8","1","5","1","14.5","1","2","3","3","3.34","2.28","1.15","55.04","14.37","52.96","3.03","4.37","19.21","0.44","9.5","17.5","52","0.363636364","0.05","0.182692308","2.6","2","1.1","0.846153846","0.475","0.365384615","0.4","0.307692308","42.30769231","54.28571429","76.92307692","11.3960114","14.81481481","13.53276353","17.59259259","11.3960114","14.81481481","24.92877493","32.40740741"
"","","MZP2013UMB-AT03","","","","","","","","","MZP2013UMB-AT03-00013","","","","26","25","1","1","9","20","20","61","74","15","6","10","5","3","1","17.3","3","7","7","5","4.25","1.92","1.09","21.3","7.76","67.23","1.98","3.36","8.73","0","21","31","135","0.245901639","0.081081081","0.155555556","6.75","5.192307692","3.05","2.346153846","1.05","0.807692308","0.5","0.384615385","45.18518519","67.74193548","76.92307692","21.36752137","27.77777778","29.91452991","38.88888889","14.24501425","18.51851852","44.15954416","57.40740741"
"","","MZP2013UMB-AT03","","","","","","","","","MZP2013UMB-AT03-00014","","","","26","24","1","1","9","19","18","38","96","10","20","11","9","3","1","10.1","3","3","3","5","3.86","2.09","1.22","41.12","14.37","46.39","5.38","7.74","22.8","0.16","30","41","134","0.263157895","0.208333333","0.223880597","7.052631579","5.153846154","2","1.461538462","1.578947368","1.153846154","0.578947368","0.423076923","28.35820896","73.17073171","73.07692308","14.24501425","19.49317739","42.73504274","58.47953216","15.66951567","21.44249513","58.4045584","79.92202729"
"","","MZP2013UMB-AT03","","","","","","","","","MZP2013UMB-AT03-00015","","","","26","23","1","1","8","23","20","27","35","17","11","19","3","3","5","15.6","3","7","3","3","4.09","2.16","1.35","41.21","7.76","48.86","3.51","5.27","23.48","0.31","28","47","62","0.62962963","0.314285714","0.451612903","2.695652174","2.384615385","1.173913043","1.038461538","1.217391304","1.076923077","0.826086957","0.730769231","43.5483871","59.57446809","88.46153846","24.21652422","27.37520129","39.88603989","45.08856683","27.06552707","30.5958132","66.95156695","75.68438003"
"","","MZP2013UMB-AT03","","","","","","","","","MZP2013UMB-AT03-00016","","","","26","26","1","1","8","18","18","82","41","25","5","16","3","3","1","14.6","1","7","5","3","3.78","2","1.01","26.97","4.61","59.69","5.99","8.34","6.32","0.14","30","46","123","0.304878049","0.12195122","0.243902439","6.833333333","4.730769231","4.555555556","3.153846154","1.666666667","1.153846154","0.888888889","0.615384615","66.66666667","65.2173913","69.23076923","35.61253561","51.44032922","42.73504274","61.72839506","22.79202279","32.9218107","65.52706553","94.65020576"
"","","MZP2013UMB-AT03","","","","","","","","","MZP2013UMB-AT03-00017","","","","26","22","1","1","8","13","13","69","80","19","9","10","3","3","1","12.4","1","3","3","3","2.76","2.11","0.89","38.75","14.37","51.96","10.14","13.48","2.95","0.34","28","38","149","0.275362319","0.1125","0.187919463","11.46153846","5.730769231","5.307692308","2.653846154","2.153846154","1.076923077","0.769230769","0.384615385","46.30872483","73.68421053","50","27.06552707","54.13105413","39.88603989","79.77207977","14.24501425","28.49002849","54.13105413","108.2621083"
"","","MZP2013UMB-AT03","","","","","","","","","MZP2013UMB-AT03-00018","","","","26","25","1","1","8","17","15","18","28","8","6","14","3","5","1","","","","","","","","","","","","","","","","14","28","46","0.444444444","0.214285714","0.304347826","2.705882353","1.769230769","1.058823529","0.692307692","0.823529412","0.538461538","0.823529412","0.538461538","39.13043478","50","65.38461538","11.3960114","17.4291939","19.94301994","30.50108932","19.94301994","30.50108932","39.88603989","61.00217865"
"","","MZP2013UMB-AT03","","","","","","","","","MZP2013UMB-AT03-00019","","","","26","22","1","1","8","21","11","13","37","4","5","16","1","3","1","12.6","1","3","3","3","6.04","2.81","1.66","41.47","14.37","45.95","3.01","4.88","24.48","0.64","9","25","50","0.307692308","0.135135135","0.18","2.380952381","1.923076923","0.619047619","0.5","0.428571429","0.346153846","0.761904762","0.615384615","26","36","80.76923077","5.698005698","7.054673721","12.82051282","15.87301587","22.79202279","28.21869489","35.61253561","44.09171076"
"","","MZP2013UMB-AT03","","","","","","","","","MZP2013UMB-AT03-00020","","","","26","24","1","3","7","21","14","26","26","12","7","12","3","3","1","15.2","1","5","1","3","5.48","2.22","1.04","36.75","1.74","56.74","3.51","4.88","13.08","0.17","19","31","52","0.461538462","0.269230769","0.365384615","2.476190476","2","1.238095238","1","0.904761905","0.730769231","0.571428571","0.461538462","50","61.29032258","80.76923077","17.09401709","21.16402116","27.06552707","33.50970018","17.09401709","21.16402116","44.15954416","54.67372134"
"","","MZP2013UMB-AT03","","","","","","","","","MZP2013UMB-AT03-00021","","","","26","23","1","1","7","19","19","62","55","16","3","6","1","3","1","14","1","3","1","3","4.34","1.97","1","16.12","7.76","61.51","4.7","7.26","13.19","0.25","19","25","117","0.258064516","0.054545455","0.162393162","6.157894737","4.5","3.263157895","2.384615385","1","0.730769231","0.315789474","0.230769231","52.99145299","76","73.07692308","22.79202279","31.18908382","27.06552707","37.03703704","8.547008547","11.69590643","35.61253561","48.73294347"
"","","MZP2013UMB-AT03","","","","","","","","","MZP2013UMB-AT03-00022","","","","26","24","1","1","8","20","19","40","107","15","12","10","1","3","1","13.8","3","5","7","5","4.51","2.33","1.3","30.89","7.23","56.74","3.06","4.79","12.59","0.25","27","37","147","0.375","0.112149533","0.183673469","7.35","5.653846154","2","1.538461538","1.35","1.038461538","0.5","0.384615385","27.21088435","72.97297297","76.92307692","21.36752137","27.77777778","38.46153846","50","14.24501425","18.51851852","52.70655271","68.51851852"
"","","MZP2013UMB-AT03","","","","","","","","","MZP2013UMB-AT03-00023","","","","26","26","3","5","7","15","15","50","57","11","3","19","3","5","1","13.8","3","9","5","3","3.29","1.9","1.13","40.84","3.03","54.67","6.58","9.55","9.29","","14","33","107","0.22","0.052631579","0.130841121","7.133333333","4.115384615","3.333333333","1.923076923","0.933333333","0.538461538","1.266666667","0.730769231","46.72897196","42.42424242","57.69230769","15.66951567","27.16049383","19.94301994","34.56790123","27.06552707","46.91358025","47.00854701","81.48148148"
"","","MZP2013UMB-AT03","","","","","","","","","MZP2013UMB-AT03-00024","","","","26","23","1","1","8","20","19","56","136","21","16","23","3","3","1","28.2","3","3","5","3","2.29","1.68","0.89","31.87","7.76","56.61","4.7","7.05","18.07","0.34","37","60","192","0.375","0.117647059","0.192708333","9.6","7.384615385","2.8","2.153846154","1.85","1.423076923","1.15","0.884615385","29.16666667","61.66666667","76.92307692","29.91452991","38.88888889","52.70655271","68.51851852","32.76353276","42.59259259","85.47008547","111.1111111"
"","","MZP2013UMB-AT03","","","","","","","","","MZP2013UMB-AT03-00025","","","","26","21","1","1","7","18","11","39","48","15","3","12","3","3","1","10.9","7","3","3","3","2.41","1.74","0.99","6.76","3.03","53.96","8.96","12.71","9.59","0.69","18","30","87","0.384615385","0.0625","0.206896552","4.833333333","3.346153846","2.166666667","1.5","1","0.692307692","0.666666667","0.461538462","44.82758621","60","69.23076923","21.36752137","30.86419753","25.64102564","37.03703704","17.09401709","24.69135802","42.73504274","61.72839506"
"","","MZP2013UMB-AT03","","","","","","","","","MZP2013UMB-AT03-00026","","","","26","25","1","1","8","21","13","17","9","3","4","17","3","3","1","12.3","1","3","3","3","3.03","2.25","1.25","43.87","14.37","40.46","5.26","7.96","26.34","","7","24","26","0.176470588","0.444444444","0.269230769","1.238095238","1","0.80952381","0.653846154","0.333333333","0.269230769","0.80952381","0.653846154","65.38461538","29.16666667","80.76923077","4.273504274","5.291005291","9.971509972","12.34567901","24.21652422","29.98236332","34.18803419","42.32804233"
"","","MZP2013UMB-AT03","","","","","","","","","MZP2013UMB-AT03-00027","","","","26","21","1","1","9","20","18","56","20","11","2","29","3","3","1","16.8","1","5","5","5","2.79","1.91","1.01","48.6","11.03","64.74","1.27","2.58","19.89","0.44","13","42","76","0.196428571","0.1","0.171052632","3.8","2.923076923","2.8","2.153846154","0.65","0.5","1.45","1.115384615","73.68421053","30.95238095","76.92307692","15.66951567","20.37037037","18.51851852","24.07407407","41.31054131","53.7037037","59.82905983","77.77777778"
"","","MZP2013UMB-AT03","","","","","","","","","MZP2013UMB-AT03-00028","","","","26","26","1","1","7","19","17","36","42","17","3","14","3","3","1","18.6","1","3","5","7","4.09","1.62","0.97","8.95","3.03","70.19","2.95","4.33","3.96","0.11","20","34","78","0.472222222","0.071428571","0.256410256","4.105263158","3","1.894736842","1.384615385","1.052631579","0.769230769","0.736842105","0.538461538","46.15384615","58.82352941","73.07692308","24.21652422","33.13840156","28.49002849","38.98635478","19.94301994","27.29044834","48.43304843","66.27680312"
"","","MZP2013UMB-AT03","","","","","","","","","MZP2013UMB-AT03-00029","","","","26","26","1","9","9","10","10","22","61","9","12","7","3","3","1","13","1","3","3","5","3.09","2.08","1.07","40.35","7.23","53.44","4.54","6.44","17.01","0.23","21","28","83","0.409090909","0.196721311","0.253012048","8.3","3.192307692","2.2","0.846153846","2.1","0.807692308","0.7","0.269230769","26.5060241","75","38.46153846","12.82051282","33.33333333","29.91452991","77.77777778","9.971509972","25.92592593","39.88603989","103.7037037"
"","","MZP2013UMB-AT03","","","","","","","","","MZP2013UMB-AT03-00030","","","","26","20","3","1","9","7","7","11","27","4","6","13","3","3","1","20.5","1","3","5","5","4.41","2.08","0.96","32.72","10.5","68.01","1.93","3.05","8.46","0.29","10","23","38","0.363636364","0.222222222","0.263157895","5.428571429","1.461538462","1.571428571","0.423076923","1.428571429","0.384615385","1.857142857","0.5","28.94736842","43.47826087","26.92307692","5.698005698","21.16402116","14.24501425","52.91005291","18.51851852","68.78306878","32.76353276","121.6931217"
"","","MZP2013UMB-AT03","","","","","","","","","MZP2013UMB-AT03-00031","","","","26","3","4","1","2","1","1","2","7","1","1.5","2","3","3","1","16.2","1","3","3","3","3.07","1.78","0.92","8.92","4.92","66.94","2.74","3.79","9.33","0.2","2.5","4.5","9","0.5","0.214285714","0.277777778","9","0.346153846","2","0.076923077","2.5","0.096153846","2","0.076923077","22.22222222","55.55555556","3.846153846","1.424501425","37.03703704","3.561253561","92.59259259","2.849002849","74.07407407","6.41025641","166.6666667"
"","","MZP2013UMB-AT03","","","","","","","","","MZP2013UMB-AT03-00032","","","","26","18","1","1","6","6","4","0","19","0","4","2","3","3","5","","3","3","5","3","","","","","","","","","","","4","6","19","","0.210526316","0.210526316","3.166666667","0.730769231","0","0","0.666666667","0.153846154","0.333333333","0.076923077","0","66.66666667","23.07692308","0","0","5.698005698","24.69135802","2.849002849","12.34567901","8.547008547","37.03703704"
"","","MZP2013UMB-AT03","","","","","","","","","MZP2013UMB-AT03-00033","","","","26","21","1","1","7","15","10","23","31","0.5","4","17","3","3","3","15.1","5","5","3","3","2.57","1.95","1.11","42.87","14.37","53.99","3.62","5.35","20.51","0.18","4.5","21.5","54","0.02173913","0.129032258","0.083333333","3.6","2.076923077","1.533333333","0.884615385","0.3","0.173076923","1.133333333","0.653846154","42.59259259","20.93023256","57.69230769","0.712250712","1.234567901","6.41025641","11.11111111","24.21652422","41.97530864","30.62678063","53.08641975"
"","","MZP2013UMB-AT03","","","","","","","","","MZP2013UMB-AT03-00034","","","","26","22","2","1","8","22","22","50","33","17","2.5","19","3","3","1","11.1","1","3","3","3","2.14","1.85","0.89","35.41","7.23","50.42","9.37","12.62","9.32","","19.5","38.5","83","0.34","0.075757576","0.234939759","3.772727273","3.192307692","2.272727273","1.923076923","0.886363636","0.75","0.863636364","0.730769231","60.24096386","50.64935065","84.61538462","24.21652422","28.61952862","27.77777778","32.82828283","27.06552707","31.98653199","54.84330484","64.81481481"
"","","MZP2013UMB-AT03","","","","","","","","","MZP2013UMB-AT03-00035","","","","26","24","3","1","8","16","11","7","25","2","2.5","15","5","3","1","14.7","1","3","3","5","3.47","1.97","1.02","42.02","10.5","57.05","2.96","4.25","15.85","0.6","4.5","19.5","32","0.285714286","0.1","0.140625","2","1.230769231","0.4375","0.269230769","0.28125","0.173076923","0.9375","0.576923077","21.875","23.07692308","61.53846154","2.849002849","4.62962963","6.41025641","10.41666667","21.36752137","34.72222222","27.77777778","45.13888889"
"","","MZP2013UMB-AT03","","","","","","","","","MZP2013UMB-AT03-00036","","","","26","23","1","3","9","20","20","49","88","20","4","19","3","3","1","17.2","1","3","3","5","2.73","1.64","0.81","12.78","7.23","70.2","2.98","4.2","6.36","0.16","24","43","137","0.408163265","0.045454545","0.175182482","6.85","5.269230769","2.45","1.884615385","1.2","0.923076923","0.95","0.730769231","35.76642336","55.81395349","76.92307692","28.49002849","37.03703704","34.18803419","44.44444444","27.06552707","35.18518519","61.25356125","79.62962963"
"","","MZP2013UMB-AT03","","","","","","","","","MZP2013UMB-AT03-00037","","","","26","19","1","3","7","19","18","5","64","3","4.5","7","7","5","1","14.7","1","3","3","3","3.63","1.85","0.89","15.47","6.12","66.26","3.04","4.44","9.87","0.15","7.5","14.5","69","0.6","0.0703125","0.108695652","3.631578947","2.653846154","0.263157895","0.192307692","0.394736842","0.288461538","0.368421053","0.269230769","7.246376812","51.72413793","73.07692308","4.273504274","5.847953216","10.68376068","14.61988304","9.971509972","13.64522417","20.65527066","28.26510721"
"","","MZP2013UMB-AT03","","","","","","","","","MZP2013UMB-AT03-00038","","","","26","0","","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","0","0","0","","","","","0","","0","","0","","0","","","0","0","","0","","0","","0",""
"","","MZP2013UMB-AT03","","","","","","","","","MZP2013UMB-AT03-00039","","","","26","26","1","1","9","4","4","67","63","19","5","24","3","3","1","15","1","1","3","5","3.31","1.89","1.07","9.88","5.46","62.53","3.1","4.27","9.54","0.19","24","48","130","0.28358209","0.079365079","0.184615385","32.5","5","16.75","2.576923077","6","0.923076923","6","0.923076923","51.53846154","50","15.38461538","27.06552707","175.9259259","34.18803419","222.2222222","34.18803419","222.2222222","68.37606838","444.4444444"
"","","MZP2013UMB-AT03","","","","","","","","","MZP2013UMB-AT03-00040","","","","26","25","1","1","7","11","6","12","37","10","9","17","3","3","1","16.4","1","1","5","3","3.58","2.18","1.13","45.5","3.03","62.49","2.94","4.11","12.2","","19","36","49","0.833333333","0.243243243","0.387755102","4.454545455","1.884615385","1.090909091","0.461538462","1.727272727","0.730769231","1.545454545","0.653846154","24.48979592","52.77777778","42.30769231","14.24501425","33.67003367","27.06552707","63.97306397","24.21652422","57.23905724","51.28205128","121.2121212"
"","","MZP2013UMB-AT03","","","","","","","","","MZP2013UMB-AT03-00041","","","","26","19","1","2","5","19","16","13","3","7.5","3.5","5","3","3","1","17.1","1","1","3","5","3.55","1.75","0.9","27.62","1.5","71.14","2.07","3.18","6.15","","11","16","16","0.576923077","1.166666667","0.6875","0.842105263","0.615384615","0.684210526","0.5","0.578947368","0.423076923","0.263157895","0.192307692","81.25","68.75","73.07692308","10.68376068","14.61988304","15.66951567","21.44249513","7.122507123","9.746588694","22.79202279","31.18908382"
"","","MZP2013UMB-AT03","","","","","","","","","MZP2013UMB-AT03-00042","","","","26","15","2","1","5","9","9","8","8","4","2","8","3","3","1","13.1","1","1","3","3","3.71","2.35","1.21","52.14","14.37","47.94","4.41","6.43","19.25","0.38","6","14","16","0.5","0.25","0.375","1.777777778","0.615384615","0.888888889","0.307692308","0.666666667","0.230769231","0.888888889","0.307692308","50","42.85714286","34.61538462","5.698005698","16.46090535","8.547008547","24.69135802","11.3960114","32.9218107","19.94301994","57.61316872"
