"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Storage root size estimating 1-9|CO_331:0000184","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004","treatment_early_season_drought","Number of storage roots after harvest per NET plot|CO_331:0000233","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Percentage of commercial storage root|CO_331:0000682"
"","","MZP2019UMB-ST01","","","","","","","","","MZP2019UMB-ST01-00011","","","","84","61","1","7","48","46","100","193","20.8","11.6","64.8","3","3","32.4","97.2","0.208","2.083333333","1.19047619","0.675","0.385714286","1.35","0.771428571","33.33333333","57.14285714","9.171075838","16.04938272","14.28571429","25","28.57142857","50","42.85714286","75","1","293","0.060103627","0.110580205","6.104166667","3.488095238","34.12969283"
"","","MZP2019UMB-ST01","","","","","","","","","MZP2019UMB-ST01-00012","","","","84","60","1","7","45","26","30","59","4.6","2.2","79","1","3","6.8","85.8","0.153333333","0.666666667","0.357142857","0.151111111","0.080952381","1.755555556","0.94047619","7.925407925","53.57142857","2.028218695","3.78600823","2.998236332","5.596707819","34.8324515","65.02057613","37.83068783","70.61728395","1","89","0.037288136","0.076404494","1.977777778","1.05952381","33.70786517"
"","","MZP2019UMB-ST01","","","","","","","","","MZP2019UMB-ST01-00013","","","","84","64","1","7","27","17","22","50","1","1.4","14.8","5","9","2.4","17.2","0.045454545","0.814814815","0.261904762","0.088888889","0.028571429","0.548148148","0.176190476","13.95348837","32.14285714","0.440917108","1.371742112","1.058201058","3.29218107","6.525573192","20.30178326","7.58377425","23.59396433","1","72","0.028","0.033333333","2.666666667","0.857142857","30.55555556"
"","","MZP2019UMB-ST01","","","","","","","","","MZP2019UMB-ST01-00014","","","","84","54","1","7","24","21","38","68","4.8","2.8","33.6","5","5","7.6","41.2","0.126315789","1.583333333","0.452380952","0.316666667","0.09047619","1.4","0.4","18.44660194","28.57142857","2.116402116","7.407407407","3.350970018","11.72839506","14.81481481","51.85185185","18.16578483","63.58024691","1","106","0.041176471","0.071698113","4.416666667","1.261904762","35.8490566"
"","","MZP2019UMB-ST01","","","","","","","","","MZP2019UMB-ST01-00015","","","","84","74","1","7","61","46","63","118","7.8","4.6","59.8","5","5","12.4","72.2","0.123809524","1.032786885","0.75","0.203278689","0.147619048","0.980327869","0.711904762","17.17451524","72.61904762","3.439153439","4.735883424","5.467372134","7.528840316","26.36684303","36.30843959","31.83421517","43.8372799","1","181","0.038983051","0.068508287","2.967213115","2.154761905","34.80662983"
"","","MZP2019UMB-ST01","","","","","","","","","MZP2019UMB-ST01-00016","","","","84","73","1","7","36","34","47","78","6.4","3.2","35.2","7","5","9.6","44.8","0.136170213","1.305555556","0.55952381","0.266666667","0.114285714","0.977777778","0.419047619","21.42857143","42.85714286","2.821869489","6.58436214","4.232804233","9.87654321","15.52028219","36.21399177","19.75308642","46.09053498","1","125","0.041025641","0.0768","3.472222222","1.488095238","37.6"
"","","MZP2019UMB-ST01","","","","","","","","","MZP2019UMB-ST01-00017","","","","84","61","1","7","39","31","32","73","7.4","3.4","53","3","5","10.8","63.8","0.23125","0.820512821","0.380952381","0.276923077","0.128571429","1.358974359","0.630952381","16.92789969","46.42857143","3.262786596","7.027540361","4.761904762","10.25641026","23.3686067","50.33238367","28.13051146","60.58879392","1","105","0.046575342","0.102857143","2.692307692","1.25","30.47619048"
"","","MZP2019UMB-ST01","","","","","","","","","MZP2019UMB-ST01-00018","","","","84","56","1","9","54","48","250","580","28.6","19","74.6","1","5","47.6","122.2","0.1144","4.62962963","2.976190476","0.881481481","0.566666667","1.381481481","0.888095238","38.95253682","64.28571429","12.61022928","19.61591221","20.98765432","32.64746228","32.89241623","51.1659808","53.88007055","83.81344307","1","830","0.032758621","0.057349398","15.37037037","9.880952381","30.12048193"
"","","MZP2019UMB-ST01","","","","","","","","","MZP2019UMB-ST01-00019","","","","84","66","1","9","48","26","30","27","11.6","2","43.8","5","7","13.6","57.4","0.386666667","0.625","0.357142857","0.283333333","0.161904762","0.9125","0.521428571","23.69337979","57.14285714","5.114638448","8.950617284","5.996472663","10.49382716","19.31216931","33.7962963","25.30864198","44.29012346","1","57","0.074074074","0.238596491","1.1875","0.678571429","52.63157895"
"","","MZP2019UMB-ST01","","","","","","","","","MZP2019UMB-ST01-00020","","","","84","59","1","9","52","48","100","96","23","5.6","69.4","3","3","28.6","98","0.23","1.923076923","1.19047619","0.55","0.34047619","1.334615385","0.826190476","29.18367347","61.9047619","10.14109347","16.38176638","12.61022928","20.37037037","30.59964727","49.43019943","43.20987654","69.8005698","1","196","0.058333333","0.145918367","3.769230769","2.333333333","51.02040816"
"","","MZP2019UMB-ST01","","","","","","","","","MZP2019UMB-ST01-00021","","","","84","67","1","9","33","28","28","100","2.8","3.7","63.6","5","3","6.5","70.1","0.1","0.848484848","0.333333333","0.196969697","0.077380952","1.927272727","0.757142857","9.272467903","39.28571429","1.234567901","3.142536476","2.865961199","7.295173962","28.04232804","71.38047138","30.90828924","78.67564534","1","128","0.037","0.05078125","3.878787879","1.523809524","21.875"
"","","MZP2019UMB-ST01","","","","","","","","","MZP2019UMB-ST01-00022","","","","84","65","1","9","46","11","7","12","1","0.6","73","3","7","1.6","74.6","0.142857143","0.152173913","0.083333333","0.034782609","0.019047619","1.586956522","0.869047619","2.144772118","54.76190476","0.440917108","0.805152979","0.705467372","1.288244767","32.18694885","58.77616747","32.89241623","60.06441224","1","19","0.05","0.084210526","0.413043478","0.226190476","36.84210526"
"","","MZP2019UMB-ST01","","","","","","","","","MZP2019UMB-ST01-00023","","","","84","59","1","9","39","37","80","70","27.8","4.6","62.4","3","5","32.4","94.8","0.3475","2.051282051","0.952380952","0.830769231","0.385714286","1.6","0.742857143","34.17721519","46.42857143","12.25749559","26.40075973","14.28571429","30.76923077","27.51322751","59.25925926","41.7989418","90.02849003","1","150","0.065714286","0.216","3.846153846","1.785714286","53.33333333"
"","","MZP2019UMB-ST01","","","","","","","","","MZP2019UMB-ST01-00024","","","","84","38","1","7","30","29","40","57","4.8","2","59","3","5","6.8","65.8","0.12","1.333333333","0.476190476","0.226666667","0.080952381","1.966666667","0.702380952","10.3343465","35.71428571","2.116402116","5.925925926","2.998236332","8.395061728","26.01410935","72.83950617","29.01234568","81.2345679","1","97","0.035087719","0.070103093","3.233333333","1.154761905","41.2371134"
"","","MZP2019UMB-ST01","","","","","","","","","MZP2019UMB-ST01-00025","","","","84","44","1","7","23","17","20","23","2.2","0.8","11.6","7","7","3","14.6","0.11","0.869565217","0.238095238","0.130434783","0.035714286","0.504347826","0.138095238","20.54794521","27.38095238","0.970017637","3.542673108","1.322751323","4.830917874","5.114638448","18.67954911","6.437389771","23.51046699","1","43","0.034782609","0.069767442","1.869565217","0.511904762","46.51162791"
"","","MZP2019UMB-ST01","","","","","","","","","MZP2019UMB-ST01-00026","","","","84","66","1","9","49","43","77","56","13.4","5.8","77.2","3","3","19.2","96.4","0.174025974","1.571428571","0.916666667","0.391836735","0.228571429","1.575510204","0.919047619","19.91701245","58.33333333","5.908289242","10.12849584","8.465608466","14.51247166","34.03880071","58.35222978","42.50440917","72.86470144","1","133","0.103571429","0.144360902","2.714285714","1.583333333","57.89473684"
"","","MZP2019UMB-ST01","","","","","","","","","MZP2019UMB-ST01-00027","","","","84","47","1","7","33","7","6","8","1","0.2","44.8","3","7","1.2","46","0.166666667","0.181818182","0.071428571","0.036363636","0.014285714","1.357575758","0.533333333","2.608695652","39.28571429","0.440917108","1.122334456","0.529100529","1.346801347","19.75308642","50.28058361","20.28218695","51.62738496","1","14","0.025","0.085714286","0.424242424","0.166666667","42.85714286"
"","","MZP2019UMB-ST01","","","","","","","","","MZP2019UMB-ST01-00028","","","","84","52","1","9","47","44","100","76","22.2","7.2","95.8","5","5","29.4","125.2","0.222","2.127659574","1.19047619","0.625531915","0.35","2.038297872","1.14047619","23.48242812","55.95238095","9.788359788","17.49408983","12.96296296","23.1678487","42.23985891","75.49251379","55.20282187","98.66036249","1","176","0.094736842","0.167045455","3.744680851","2.095238095","56.81818182"
"","","MZP2019UMB-ST01","","","","","","","","","MZP2019UMB-ST01-00029","","","","84","50","1","9","40","37","190","420","29","16.2","60.6","5","5","45.2","105.8","0.152631579","4.75","2.261904762","1.13","0.538095238","1.515","0.721428571","42.7221172","47.61904762","12.78659612","26.85185185","19.92945326","41.85185185","26.71957672","56.11111111","46.64902998","97.96296296","1","610","0.038571429","0.074098361","15.25","7.261904762","31.14754098"
"","","MZP2019UMB-ST01","","","","","","","","","MZP2019UMB-ST01-00030","","","","84","48","1","9","48","42","52","200","7.2","13","50.6","3","5","20.2","70.8","0.138461538","1.083333333","0.619047619","0.420833333","0.24047619","1.054166667","0.602380952","28.53107345","57.14285714","3.174603175","5.555555556","8.906525573","15.58641975","22.31040564","39.04320988","31.21693122","54.62962963","1","252","0.065","0.08015873","5.25","3","20.63492063"
"","","MZP2019UMB-ST01","","","","","","","","","MZP2019UMB-ST01-00031","","","","84","64","1","9","31","28","76","135","9","5.4","16.8","5","1","14.4","31.2","0.118421053","2.451612903","0.904761905","0.464516129","0.171428571","0.541935484","0.2","46.15384615","36.9047619","3.968253968","10.75268817","6.349206349","17.20430108","7.407407407","20.07168459","13.75661376","37.27598566","1","211","0.04","0.068246445","6.806451613","2.511904762","36.01895735"
"","","MZP2019UMB-ST01","","","","","","","","","MZP2019UMB-ST01-00032","","","","84","73","1","7","34","30","91","130","19","7.2","67.6","5","3","26.2","93.8","0.208791209","2.676470588","1.083333333","0.770588235","0.311904762","1.988235294","0.804761905","27.93176972","40.47619048","8.377425044","20.69716776","11.55202822","28.54030501","29.80599647","73.63834423","41.35802469","102.1786492","1","221","0.055384615","0.118552036","6.5","2.630952381","41.17647059"
"","","MZP2019UMB-ST01","","","","","","","","","MZP2019UMB-ST01-00033","","","","84","62","1","9","48","30","53","88","9.4","3.6","65","5","3","13","78","0.177358491","1.104166667","0.630952381","0.270833333","0.154761905","1.354166667","0.773809524","16.66666667","57.14285714","4.144620811","7.25308642","5.731922399","10.0308642","28.65961199","50.15432099","34.39153439","60.18518519","1","141","0.040909091","0.092198582","2.9375","1.678571429","37.58865248"
"","","MZP2019UMB-ST01","","","","","","","","","MZP2019UMB-ST01-00034","","","","84","59","1","9","50","37","120","161","22.8","6.2","72","5","1","29","101","0.19","2.4","1.428571429","0.58","0.345238095","1.44","0.857142857","28.71287129","59.52380952","10.05291005","16.88888889","12.78659612","21.48148148","31.74603175","53.33333333","44.53262787","74.81481481","1","281","0.038509317","0.103202847","5.62","3.345238095","42.70462633"
"","","MZP2019UMB-ST01","","","","","","","","","MZP2019UMB-ST01-00035","","","","84","42","1","7","32","22","66","60","8.2","3.6","56.4","3","3","11.8","68.2","0.124242424","2.0625","0.785714286","0.36875","0.14047619","1.7625","0.671428571","17.30205279","38.0952381","3.615520282","9.490740741","5.202821869","13.65740741","24.86772487","65.27777778","30.07054674","78.93518519","1","126","0.06","0.093650794","3.9375","1.5","52.38095238"
"","","MZP2019UMB-ST01","","","","","","","","","MZP2019UMB-ST01-00036","","","","84","51","1","9","35","13","4","14","1","1","115","7","5","2","117","0.25","0.114285714","0.047619048","0.057142857","0.023809524","3.285714286","1.369047619","1.709401709","41.66666667","0.440917108","1.058201058","0.881834215","2.116402116","50.70546737","121.6931217","51.58730159","123.8095238","1","18","0.071428571","0.111111111","0.514285714","0.214285714","22.22222222"
"","","MZP2019UMB-ST01","","","","","","","","","MZP2019UMB-ST01-00037","","","","84","58","1","9","38","35","31","66","13.4","4.8","42.6","5","3","18.2","60.8","0.432258065","0.815789474","0.369047619","0.478947368","0.216666667","1.121052632","0.507142857","29.93421053","45.23809524","5.908289242","13.06042885","8.024691358","17.73879142","18.78306878","41.52046784","26.80776014","59.25925926","1","97","0.072727273","0.187628866","2.552631579","1.154761905","31.95876289"
"","","MZP2019UMB-ST01","","","","","","","","","MZP2019UMB-ST01-00038","","","","84","50","2","9","39","32","72","95","8","1.6","41.8","7","5","9.6","51.4","0.111111111","1.846153846","0.857142857","0.246153846","0.114285714","1.071794872","0.497619048","18.6770428","46.42857143","3.527336861","7.597340931","4.232804233","9.116809117","18.4303351","39.69610636","22.66313933","48.81291548","1","167","0.016842105","0.05748503","4.282051282","1.988095238","43.11377246"
"","","MZP2019UMB-ST01","","","","","","","","","MZP2019UMB-ST01-00039","","","","84","56","1","9","46","30","60","403","3.8","3.2","59.8","3","3","7","66.8","0.063333333","1.304347826","0.714285714","0.152173913","0.083333333","1.3","0.711904762","10.47904192","54.76190476","1.675485009","3.05958132","3.086419753","5.636070853","26.36684303","48.14814815","29.45326279","53.784219","1","463","0.007940447","0.01511879","10.06521739","5.511904762","12.95896328"
"","","MZP2019UMB-ST01","","","","","","","","","MZP2019UMB-ST01-00040","","","","84","64","2","9","31","31","34","98","3.6","3.6","69.1","5","1","7.2","76.3","0.105882353","1.096774194","0.404761905","0.232258065","0.085714286","2.229032258","0.822619048","9.436435125","36.9047619","1.587301587","4.301075269","3.174603175","8.602150538","30.46737213","82.5567503","33.64197531","91.15890084","1","132","0.036734694","0.054545455","4.258064516","1.571428571","25.75757576"
"","","MZP2019UMB-ST01","","","","","","","","","MZP2019UMB-ST01-00041","","","","84","48","1","7","44","41","56","20","19.2","1.6","34.4","7","5","20.8","55.2","0.342857143","1.272727273","0.666666667","0.472727273","0.247619048","0.781818182","0.40952381","37.68115942","52.38095238","8.465608466","16.16161616","9.171075838","17.50841751","15.1675485","28.95622896","24.33862434","46.46464646","1","76","0.08","0.273684211","1.727272727","0.904761905","73.68421053"
"","","MZP2019UMB-ST01","","","","","","","","","MZP2019UMB-ST01-00042","","","","84","61","1","7","32","17","14","16","2.8","1.8","19.8","5","3","4.6","24.4","0.2","0.4375","0.166666667","0.14375","0.054761905","0.61875","0.235714286","18.85245902","38.0952381","1.234567901","3.240740741","2.028218695","5.324074074","8.73015873","22.91666667","10.75837743","28.24074074","1","30","0.1125","0.153333333","0.9375","0.357142857","46.66666667"
"","","MZP2019UMB-ST01","","","","","","","","","MZP2019UMB-ST01-00043","","","","84","37","1","5","37","22","19","70","3.4","2.8","31.4","5","1","6.2","37.6","0.178947368","0.513513514","0.226190476","0.167567568","0.073809524","0.848648649","0.373809524","16.4893617","44.04761905","1.499118166","3.403403403","2.733686067","6.206206206","13.84479718","31.43143143","16.57848325","37.63763764","1","89","0.04","0.069662921","2.405405405","1.05952381","21.34831461"
"","","MZP2019UMB-ST01","","","","","","","","","MZP2019UMB-ST01-00044","","","","84","60","1","7","28","25","90","160","18.8","7","37.6","7","3","25.8","63.4","0.208888889","3.214285714","1.071428571","0.921428571","0.307142857","1.342857143","0.447619048","40.69400631","33.33333333","8.289241623","24.86772487","11.37566138","34.12698413","16.57848325","49.73544974","27.95414462","83.86243386","1","250","0.04375","0.1032","8.928571429","2.976190476","36"
"","","MZP2019UMB-ST01","","","","","","","","","MZP2019UMB-ST01-00045","","","","84","49","1","7","27","24","24","75","3","2.6","34","3","3","5.6","39.6","0.125","0.888888889","0.285714286","0.207407407","0.066666667","1.259259259","0.404761905","14.14141414","32.14285714","1.322751323","4.115226337","2.469135802","7.68175583","14.99118166","46.63923182","17.46031746","54.32098765","1","99","0.034666667","0.056565657","3.666666667","1.178571429","24.24242424"
"","","MZP2019UMB-ST01","","","","","","","","","MZP2019UMB-ST01-00046","","","","84","69","1","7","61","26","30","67","3","1.8","58.8","5","3","4.8","63.6","0.1","0.491803279","0.357142857","0.078688525","0.057142857","0.963934426","0.7","7.547169811","72.61904762","1.322751323","1.821493625","2.116402116","2.9143898","25.92592593","35.70127505","28.04232804","38.61566485","1","97","0.026865672","0.049484536","1.590163934","1.154761905","30.92783505"
"","","MZP2019UMB-ST01","","","","","","","","","MZP2019UMB-ST01-00047","","","","84","57","1","9","34","33","81","140","16.6","9.8","45","5","1","26.4","71.4","0.204938272","2.382352941","0.964285714","0.776470588","0.314285714","1.323529412","0.535714286","36.97478992","40.47619048","7.319223986","18.08278867","11.64021164","28.75816993","19.84126984","49.01960784","31.48148148","77.77777778","1","221","0.07","0.119457014","6.5","2.630952381","36.65158371"
"","","MZP2019UMB-ST01","","","","","","","","","MZP2019UMB-ST01-00048","","","","84","40","1","7","12","10","11","14","2.2","0.8","8.4","7","3","3","11.4","0.2","0.916666667","0.130952381","0.25","0.035714286","0.7","0.1","26.31578947","14.28571429","0.970017637","6.790123457","1.322751323","9.259259259","3.703703704","25.92592593","5.026455026","35.18518519","1","25","0.057142857","0.12","2.083333333","0.297619048","44"
