"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of vines per NET plot in kg|CO_331:0000227","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2018GUR-OT01","","","","","","","","","MZP2018GUR-OT01-00016","","","","3","1","1","1","5","1","","","","","","","","","","","","","","","","","","","","","","","","","","33.33333333","","","","","","","",""
"","","MZP2018GUR-OT01","","","","","","","","","MZP2018GUR-OT01-00017","","","","3","3","1","1","5","3","3","3","4","5.5","0.5","1","5","5","5","1.5","7","7","0.166666667","0.25","0.214285714","2.333333333","2.333333333","1","1","0.5","0.5","1.833333333","1.833333333","42.85714286","21.42857143","100","6.172839506","6.172839506","18.51851852","18.51851852","67.90123457","67.90123457","86.41975309","86.41975309"
"","","MZP2018GUR-OT01","","","","","","","","","MZP2018GUR-OT01-00018","","","","3","3","1","5","5","3","3","1","3","4.5","0.3","0.7","7","5","5","1","5.5","4","0.3","0.233333333","0.25","1.333333333","1.333333333","0.333333333","0.333333333","0.333333333","0.333333333","1.5","1.5","25","18.18181818","100","3.703703704","3.703703704","12.34567901","12.34567901","55.55555556","55.55555556","67.90123457","67.90123457"
"","","MZP2018GUR-OT01","","","","","","","","","MZP2018GUR-OT01-00019","","","","3","2","1","1","5","2","2","2","3","5.5","0.4","0.7","7","7","7","1.1","6.6","5","0.2","0.233333333","0.22","2.5","1.666666667","1","0.666666667","0.55","0.366666667","2.75","1.833333333","40","16.66666667","66.66666667","4.938271605","7.407407407","13.58024691","20.37037037","67.90123457","101.8518519","81.48148148","122.2222222"
"","","MZP2018GUR-OT01","","","","","","","","","MZP2018GUR-OT01-00020","","","","3","3","1","1","5","3","2","1","2","4.5","0.3","0.3","9","9","9","0.6","5.1","3","0.3","0.15","0.2","1","1","0.333333333","0.333333333","0.2","0.2","1.5","1.5","33.33333333","11.76470588","100","3.703703704","3.703703704","7.407407407","7.407407407","55.55555556","55.55555556","62.96296296","62.96296296"
"","","MZP2018GUR-OT01","","","","","","","","","MZP2018GUR-OT01-00021","","","","3","2","1","1","5","2","2","2","4","5.5","0.3","0.4","9","7","5","0.7","6.2","6","0.15","0.1","0.116666667","3","2","1","0.666666667","0.35","0.233333333","2.75","1.833333333","33.33333333","11.29032258","66.66666667","3.703703704","5.555555556","8.641975309","12.96296296","67.90123457","101.8518519","76.54320988","114.8148148"
"","","MZP2018GUR-OT01","","","","","","","","","MZP2018GUR-OT01-00022","","","","3","2","1","3","9","2","","","","","","","","","","","","","","","","","","","","","","","","","","66.66666667","","","","","","","",""
"","","MZP2018GUR-OT01","","","","","","","","","MZP2018GUR-OT01-00023","","","","3","1","1","3","7","1","1","0","3","8.5","0","0.5","7","7","9","0.5","9","3","","0.166666667","0.166666667","3","1","0","0","0.5","0.166666667","8.5","2.833333333","0","5.555555556","33.33333333","0","0","6.172839506","18.51851852","104.9382716","314.8148148","111.1111111","333.3333333"
"","","MZP2018GUR-OT01","","","","","","","","","MZP2018GUR-OT01-00024","","","","3","2","1","1","5","2","","","","","","","","","","","","","","","","","","","","","","","","","","66.66666667","","","","","","","",""
"","","MZP2018GUR-OT01","","","","","","","","","MZP2018GUR-OT01-00025","","","","3","3","1","1","5","3","","","","","","","","","","","","","","","","","","","","","","","","","","100","","","","","","","",""
"","","MZP2018GUR-OT01","","","","","","","","","MZP2018GUR-OT01-00026","","","","3","2","1","1","5","2","","","","","","","","","","","","","","","","","","","","","","","","","","66.66666667","","","","","","","",""
"","","MZP2018GUR-OT01","","","","","","","","","MZP2018GUR-OT01-00027","","","","3","3","1","3","9","3","2","1","5","8.5","0.2","1","5","5","5","1.2","9.7","6","0.2","0.2","0.2","2","2","0.333333333","0.333333333","0.4","0.4","2.833333333","2.833333333","16.66666667","12.37113402","100","2.469135802","2.469135802","14.81481481","14.81481481","104.9382716","104.9382716","119.7530864","119.7530864"
"","","MZP2018GUR-OT01","","","","","","","","","MZP2018GUR-OT01-00028","","","","3","2","1","1","7","2","2","1","4","7","0.2","0.7","7","7","5","0.9","7.9","5","0.2","0.175","0.18","2.5","1.666666667","0.5","0.333333333","0.45","0.3","3.5","2.333333333","20","11.39240506","66.66666667","2.469135802","3.703703704","11.11111111","16.66666667","86.41975309","129.6296296","97.5308642","146.2962963"
"","","MZP2018GUR-OT01","","","","","","","","","MZP2018GUR-OT01-00029","","","","3","2","1","1","5","2","","","","","","","","","","","","","","","","","","","","","","","","","","66.66666667","","","","","","","",""
"","","MZP2018GUR-OT01","","","","","","","","","MZP2018GUR-OT01-00030","","","","3","1","1","1","5","1","1","0","4","6.5","0","1","7","5","1","1","7.5","4","","0.25","0.25","4","1.333333333","0","0","1","0.333333333","6.5","2.166666667","0","13.33333333","33.33333333","0","0","12.34567901","37.03703704","80.24691358","240.7407407","92.59259259","277.7777778"
"","","MZP2018GUR-OT01","","","","","","","","","MZP2018GUR-OT01-00031","","","","3","3","1","1","5","3","3","2","5","4.5","0.4","0.7","5","5","5","1.1","5.6","7","0.2","0.14","0.157142857","2.333333333","2.333333333","0.666666667","0.666666667","0.366666667","0.366666667","1.5","1.5","28.57142857","19.64285714","100","4.938271605","4.938271605","13.58024691","13.58024691","55.55555556","55.55555556","69.13580247","69.13580247"
"","","MZP2018GUR-OT01","","","","","","","","","MZP2018GUR-OT01-00032","","","","3","1","1","1","7","1","1","1","1","7.5","0.2","0.2","9","9","9","0.4","7.9","2","0.2","0.2","0.2","2","0.666666667","1","0.333333333","0.4","0.133333333","7.5","2.5","50","5.063291139","33.33333333","2.469135802","7.407407407","4.938271605","14.81481481","92.59259259","277.7777778","97.5308642","292.5925926"
"","","MZP2018GUR-OT01","","","","","","","","","MZP2018GUR-OT01-00033","","","","3","3","1","1","5","3","2","2","4","4.5","0.2","1","5","5","7","1.2","5.7","6","0.1","0.25","0.2","2","2","0.666666667","0.666666667","0.4","0.4","1.5","1.5","33.33333333","21.05263158","100","2.469135802","2.469135802","14.81481481","14.81481481","55.55555556","55.55555556","70.37037037","70.37037037"
"","","MZP2018GUR-OT01","","","","","","","","","MZP2018GUR-OT01-00034","","","","3","3","1","1","3","3","2","2","3","2.5","0.3","0.7","5","7","1","1","3.5","5","0.15","0.233333333","0.2","1.666666667","1.666666667","0.666666667","0.666666667","0.333333333","0.333333333","0.833333333","0.833333333","40","28.57142857","100","3.703703704","3.703703704","12.34567901","12.34567901","30.86419753","30.86419753","43.20987654","43.20987654"
"","","MZP2018GUR-OT01","","","","","","","","","MZP2018GUR-OT01-00035","","","","3","2","1","1","9","2","1","0","3","10.1","0","0.5","9","9","9","0.5","10.6","3","","0.166666667","0.166666667","1.5","1","0","0","0.25","0.166666667","5.05","3.366666667","0","4.716981132","66.66666667","0","0","6.172839506","9.259259259","124.691358","187.037037","130.8641975","196.2962963"
"","","MZP2018GUR-OT01","","","","","","","","","MZP2018GUR-OT01-00036","","","","3","1","1","1","3","1","1","0","2","3","0","0.4","9","9","9","0.4","3.4","2","","0.2","0.2","2","0.666666667","0","0","0.4","0.133333333","3","1","0","11.76470588","33.33333333","0","0","4.938271605","14.81481481","37.03703704","111.1111111","41.97530864","125.9259259"
"","","MZP2018GUR-OT01","","","","","","","","","MZP2018GUR-OT01-00037","","","","3","2","1","1","5","2","1","5","4","7.5","1.2","0.7","7","7","5","1.9","9.4","9","0.24","0.175","0.211111111","4.5","3","2.5","1.666666667","0.95","0.633333333","3.75","2.5","55.55555556","20.21276596","66.66666667","14.81481481","22.22222222","23.45679012","35.18518519","92.59259259","138.8888889","116.0493827","174.0740741"
"","","MZP2018GUR-OT01","","","","","","","","","MZP2018GUR-OT01-00038","","","","3","2","1","1","5","2","2","2","5","5.5","0.3","1","5","5","3","1.3","6.8","7","0.15","0.2","0.185714286","3.5","2.333333333","1","0.666666667","0.65","0.433333333","2.75","1.833333333","28.57142857","19.11764706","66.66666667","3.703703704","5.555555556","16.04938272","24.07407407","67.90123457","101.8518519","83.95061728","125.9259259"
"","","MZP2018GUR-OT01","","","","","","","","","MZP2018GUR-OT01-00039","","","","3","1","1","1","6","1","1","1","2","6.5","0.3","0.3","7","7","7","0.6","7.1","3","0.3","0.15","0.2","3","1","1","0.333333333","0.6","0.2","6.5","2.166666667","33.33333333","8.450704225","33.33333333","3.703703704","11.11111111","7.407407407","22.22222222","80.24691358","240.7407407","87.65432099","262.962963"
"","","MZP2018GUR-OT01","","","","","","","","","MZP2018GUR-OT01-00040","","","","3","3","1","1","5","3","2","1","4","7","0.2","0.7","7","7","9","0.9","7.9","5","0.2","0.175","0.18","1.666666667","1.666666667","0.333333333","0.333333333","0.3","0.3","2.333333333","2.333333333","20","11.39240506","100","2.469135802","2.469135802","11.11111111","11.11111111","86.41975309","86.41975309","97.5308642","97.5308642"
"","","MZP2018GUR-OT01","","","","","","","","","MZP2018GUR-OT01-00041","","","","3","3","1","1","7","3","1","0","2","9.5","0","0.3","1","9","5","0.3","9.8","2","","0.15","0.15","0.666666667","0.666666667","0","0","0.1","0.1","3.166666667","3.166666667","0","3.06122449","100","0","0","3.703703704","3.703703704","117.2839506","117.2839506","120.9876543","120.9876543"
"","","MZP2018GUR-OT01","","","","","","","","","MZP2018GUR-OT01-00042","","","","3","2","1","1","7","2","1","0","3","8.5","0","0.5","7","7","5","0.5","9","3","","0.166666667","0.166666667","1.5","1","0","0","0.25","0.166666667","4.25","2.833333333","0","5.555555556","66.66666667","0","0","6.172839506","9.259259259","104.9382716","157.4074074","111.1111111","166.6666667"
"","","MZP2018GUR-OT01","","","","","","","","","MZP2018GUR-OT01-00043","","","","3","2","1","3","7","2","","","","","","","","","","","","","","","","","","","","","","","","","","66.66666667","","","","","","","",""
"","","MZP2018GUR-OT01","","","","","","","","","MZP2018GUR-OT01-00044","","","","3","1","1","1","5","1","","","","","","","","","","","","","","","","","","","","","","","","","","33.33333333","","","","","","","",""
"","","MZP2018GUR-OT01","","","","","","","","","MZP2018GUR-OT01-00045","","","","3","3","1","5","9","3","3","4","4","9.5","1","0.5","5","5","1","1.5","11","8","0.25","0.125","0.1875","2.666666667","2.666666667","1.333333333","1.333333333","0.5","0.5","3.166666667","3.166666667","50","13.63636364","100","12.34567901","12.34567901","18.51851852","18.51851852","117.2839506","117.2839506","135.8024691","135.8024691"
"","","MZP2018GUR-OT01","","","","","","","","","MZP2018GUR-OT01-00046","","","","3","2","1","1","5","2","2","1","4","8","0.2","1","5","5","3","1.2","9.2","5","0.2","0.25","0.24","2.5","1.666666667","0.5","0.333333333","0.6","0.4","4","2.666666667","20","13.04347826","66.66666667","2.469135802","3.703703704","14.81481481","22.22222222","98.7654321","148.1481481","113.5802469","170.3703704"
"","","MZP2018GUR-OT01","","","","","","","","","MZP2018GUR-OT01-00047","","","","3","3","1","3","5","3","2","3","3","6","0.4","0.5","7","7","1","0.9","6.9","6","0.133333333","0.166666667","0.15","2","2","1","1","0.3","0.3","2","2","50","13.04347826","100","4.938271605","4.938271605","11.11111111","11.11111111","74.07407407","74.07407407","85.18518519","85.18518519"
"","","MZP2018GUR-OT01","","","","","","","","","MZP2018GUR-OT01-00048","","","","3","2","1","1","7","2","2","1","3","5.5","0.2","0.6","7","7","5","0.8","6.3","4","0.2","0.2","0.2","2","1.333333333","0.5","0.333333333","0.4","0.266666667","2.75","1.833333333","25","12.6984127","66.66666667","2.469135802","3.703703704","9.87654321","14.81481481","67.90123457","101.8518519","77.77777778","116.6666667"
"","","MZP2018GUR-OT01","","","","","","","","","MZP2018GUR-OT01-00049","","","","3","3","1","1","5","3","3","2","4","6","0.2","0.3","5","5","5","0.5","6.5","6","0.1","0.075","0.083333333","2","2","0.666666667","0.666666667","0.166666667","0.166666667","2","2","33.33333333","7.692307692","100","2.469135802","2.469135802","6.172839506","6.172839506","74.07407407","74.07407407","80.24691358","80.24691358"
"","","MZP2018GUR-OT01","","","","","","","","","MZP2018GUR-OT01-00050","","","","3","2","1","3","5","2","2","1","3","5.5","0.2","0.4","5","5","3","0.6","6.1","4","0.2","0.133333333","0.15","2","1.333333333","0.5","0.333333333","0.3","0.2","2.75","1.833333333","25","9.836065574","66.66666667","2.469135802","3.703703704","7.407407407","11.11111111","67.90123457","101.8518519","75.30864198","112.962963"
"","","MZP2018GUR-OT01","","","","","","","","","MZP2018GUR-OT01-00051","","","","3","2","1","1","5","2","1","3","2","6.5","0.5","0.3","5","5","3","0.8","7.3","5","0.166666667","0.15","0.16","2.5","1.666666667","1.5","1","0.4","0.266666667","3.25","2.166666667","60","10.95890411","66.66666667","6.172839506","9.259259259","9.87654321","14.81481481","80.24691358","120.3703704","90.12345679","135.1851852"
"","","MZP2018GUR-OT01","","","","","","","","","MZP2018GUR-OT01-00052","","","","3","1","1","1","3","1","","","","","","","","","","","","","","","","","","","","","","","","","","33.33333333","","","","","","","",""
"","","MZP2018GUR-OT01","","","","","","","","","MZP2018GUR-OT01-00053","","","","3","2","1","1","5","2","2","1","4","6.5","0.2","1","5","5","3","1.2","7.7","5","0.2","0.25","0.24","2.5","1.666666667","0.5","0.333333333","0.6","0.4","3.25","2.166666667","20","15.58441558","66.66666667","2.469135802","3.703703704","14.81481481","22.22222222","80.24691358","120.3703704","95.0617284","142.5925926"
"","","MZP2018GUR-OT01","","","","","","","","","MZP2018GUR-OT01-00054","","","","3","2","1","1","7","2","2","2","3","8.5","0.2","0.4","5","7","7","0.6","9.1","5","0.1","0.133333333","0.12","2.5","1.666666667","1","0.666666667","0.3","0.2","4.25","2.833333333","40","6.593406593","66.66666667","2.469135802","3.703703704","7.407407407","11.11111111","104.9382716","157.4074074","112.345679","168.5185185"
"","","MZP2018GUR-OT01","","","","","","","","","MZP2018GUR-OT01-00055","","","","3","2","1","1","5","2","2","1","4","4","0.2","1","5","5","7","1.2","5.2","5","0.2","0.25","0.24","2.5","1.666666667","0.5","0.333333333","0.6","0.4","2","1.333333333","20","23.07692308","66.66666667","2.469135802","3.703703704","14.81481481","22.22222222","49.38271605","74.07407407","64.19753086","96.2962963"
"","","MZP2018GUR-OT01","","","","","","","","","MZP2018GUR-OT01-00056","","","","3","3","1","1","5","3","2","3","3","6","0.5","0.3","7","7","7","0.8","6.8","6","0.166666667","0.1","0.133333333","2","2","1","1","0.266666667","0.266666667","2","2","50","11.76470588","100","6.172839506","6.172839506","9.87654321","9.87654321","74.07407407","74.07407407","83.95061728","83.95061728"
"","","MZP2018GUR-OT01","","","","","","","","","MZP2018GUR-OT01-00057","","","","3","3","1","1","5","3","3","2","2","6.5","0.3","0.3","7","7","7","0.6","7.1","4","0.15","0.15","0.15","1.333333333","1.333333333","0.666666667","0.666666667","0.2","0.2","2.166666667","2.166666667","50","8.450704225","100","3.703703704","3.703703704","7.407407407","7.407407407","80.24691358","80.24691358","87.65432099","87.65432099"
"","","MZP2018GUR-OT01","","","","","","","","","MZP2018GUR-OT01-00058","","","","3","2","1","1","5","2","","","","","","","","","","","","","","","","","","","","","","","","","","66.66666667","","","","","","","",""
"","","MZP2018GUR-OT01","","","","","","","","","MZP2018GUR-OT01-00059","","","","3","2","1","5","3","2","","","","","","","","","","","","","","","","","","","","","","","","","","66.66666667","","","","","","","",""
"","","MZP2018GUR-OT01","","","","","","","","","MZP2018GUR-OT01-00060","","","","3","1","1","5","5","1","","","","","","","","","","","","","","","","","","","","","","","","","","33.33333333","","","","","","","",""
"","","MZP2018GUR-OT01","","","","","","","","","MZP2018GUR-OT01-00061","","","","3","2","1","1","5","2","","","","","","","","","","","","","","","","","","","","","","","","","","66.66666667","","","","","","","",""
"","","MZP2018GUR-OT01","","","","","","","","","MZP2018GUR-OT01-00062","","","","3","3","1","7","5","3","","","","","","","","","","","","","","","","","","","","","","","","","","100","","","","","","","",""
"","","MZP2018GUR-OT01","","","","","","","","","MZP2018GUR-OT01-00063","","","","3","2","1","1","5","2","2","3","4","4.5","0.5","1","5","5","5","1.5","6","7","0.166666667","0.25","0.214285714","3.5","2.333333333","1.5","1","0.75","0.5","2.25","1.5","42.85714286","25","66.66666667","6.172839506","9.259259259","18.51851852","27.77777778","55.55555556","83.33333333","74.07407407","111.1111111"
"","","MZP2018GUR-OT01","","","","","","","","","MZP2018GUR-OT01-00064","","","","3","2","1","1","5","2","2","3","5","6.5","0.3","1","3","3","1","1.3","7.8","8","0.1","0.2","0.1625","4","2.666666667","1.5","1","0.65","0.433333333","3.25","2.166666667","37.5","16.66666667","66.66666667","3.703703704","5.555555556","16.04938272","24.07407407","80.24691358","120.3703704","96.2962963","144.4444444"
"","","MZP2018GUR-OT01","","","","","","","","","MZP2018GUR-OT01-00065","","","","3","2","1","1","9","2","2","1","3","10.2","0.2","0.4","5","5","7","0.6","10.8","4","0.2","0.133333333","0.15","2","1.333333333","0.5","0.333333333","0.3","0.2","5.1","3.4","25","5.555555556","66.66666667","2.469135802","3.703703704","7.407407407","11.11111111","125.9259259","188.8888889","133.3333333","200"
"","","MZP2018GUR-OT01","","","","","","","","","MZP2018GUR-OT01-00066","","","","3","3","1","1","5","3","3","2","4","4.5","0.3","1","5","7","5","1.3","5.8","6","0.15","0.25","0.216666667","2","2","0.666666667","0.666666667","0.433333333","0.433333333","1.5","1.5","33.33333333","22.4137931","100","3.703703704","3.703703704","16.04938272","16.04938272","55.55555556","55.55555556","71.60493827","71.60493827"
"","","MZP2018GUR-OT01","","","","","","","","","MZP2018GUR-OT01-00067","","","","3","3","1","1","5","3","3","3","3","7","0.4","0.3","5","7","1","0.7","7.7","6","0.133333333","0.1","0.116666667","2","2","1","1","0.233333333","0.233333333","2.333333333","2.333333333","50","9.090909091","100","4.938271605","4.938271605","8.641975309","8.641975309","86.41975309","86.41975309","95.0617284","95.0617284"
