"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Storage root size estimating 1-9|CO_331:0000184","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004","treatment_late_season_drought","Number of storage roots after harvest per NET plot|CO_331:0000233","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Percentage of commercial storage root|CO_331:0000682"
"","","MZP2019UMB-ST03","","","","","","","","","MZP2019UMB-ST03-00011","","","","84","24","1","5","24","22","78","80","15.2","5.6","42","3","3","20.8","62.8","0.194871795","3.25","0.928571429","0.866666667","0.247619048","1.75","0.5","33.12101911","28.57142857","6.701940035","23.45679012","9.171075838","32.09876543","18.51851852","64.81481481","27.68959436","96.91358025","1","158","0.07","0.13164557","6.583333333","1.880952381","49.36708861"
"","","MZP2019UMB-ST03","","","","","","","","","MZP2019UMB-ST03-00012","","","","84","51","1","9","51","41","150","264","26","10","86.8","5","1","36","122.8","0.173333333","2.941176471","1.785714286","0.705882353","0.428571429","1.701960784","1.033333333","29.31596091","60.71428571","11.4638448","18.88162672","15.87301587","26.14379085","38.27160494","63.0355846","54.14462081","89.17937545","1","414","0.037878788","0.086956522","8.117647059","4.928571429","36.23188406"
"","","MZP2019UMB-ST03","","","","","","","","","MZP2019UMB-ST03-00013","","","","84","41","1","7","29","24","76","57","11.4","3.4","28.2","7","3","14.8","43","0.15","2.620689655","0.904761905","0.510344828","0.176190476","0.972413793","0.335714286","34.41860465","34.52380952","5.026455026","14.55938697","6.525573192","18.90166028","12.43386243","36.01532567","18.95943563","54.91698595","1","133","0.059649123","0.111278195","4.586206897","1.583333333","57.14285714"
"","","MZP2019UMB-ST03","","","","","","","","","MZP2019UMB-ST03-00014","","","","84","55","1","9","38","33","104","70","21.2","8.2","50.6","7","3","29.4","80","0.203846154","2.736842105","1.238095238","0.773684211","0.35","1.331578947","0.602380952","36.75","45.23809524","9.347442681","20.66276803","12.96296296","28.65497076","22.31040564","49.31773879","35.27336861","77.97270955","1","174","0.117142857","0.168965517","4.578947368","2.071428571","59.77011494"
"","","MZP2019UMB-ST03","","","","","","","","","MZP2019UMB-ST03-00015","","","","84","50","1","9","28","28","100","178","11.8","8.4","41.4","7","5","20.2","61.6","0.118","3.571428571","1.19047619","0.721428571","0.24047619","1.478571429","0.492857143","32.79220779","33.33333333","5.202821869","15.60846561","8.906525573","26.71957672","18.25396825","54.76190476","27.16049383","81.48148148","1","278","0.047191011","0.072661871","9.928571429","3.30952381","35.97122302"
"","","MZP2019UMB-ST03","","","","","","","","","MZP2019UMB-ST03-00016","","","","84","41","1","9","41","32","176","100","21.4","5.2","85.7","5","3","26.6","112.3","0.121590909","4.292682927","2.095238095","0.648780488","0.316666667","2.090243902","1.020238095","23.68655387","48.80952381","9.435626102","19.33152665","11.72839506","24.02890696","37.78659612","77.41644083","49.51499118","101.4453478","1","276","0.052","0.096376812","6.731707317","3.285714286","63.76811594"
"","","MZP2019UMB-ST03","","","","","","","","","MZP2019UMB-ST03-00017","","","","84","44","1","9","43","36","178","139","29.8","11.8","86","5","5","41.6","127.6","0.16741573","4.139534884","2.119047619","0.96744186","0.495238095","2","1.023809524","32.60188088","51.19047619","13.13932981","25.66752799","18.34215168","35.83118002","37.91887125","74.07407407","56.26102293","109.9052541","1","317","0.084892086","0.131230284","7.372093023","3.773809524","56.15141956"
"","","MZP2019UMB-ST03","","","","","","","","","MZP2019UMB-ST03-00018","","","","84","48","1","9","18","10","11","12","1.2","0.6","29.6","5","3","1.8","31.4","0.109090909","0.611111111","0.130952381","0.1","0.021428571","1.644444444","0.352380952","5.732484076","21.42857143","0.529100529","2.469135802","0.793650794","3.703703704","13.05114638","60.90534979","13.84479718","64.6090535","1","23","0.05","0.07826087","1.277777778","0.273809524","47.82608696"
"","","MZP2019UMB-ST03","","","","","","","","","MZP2019UMB-ST03-00019","","","","84","66","1","9","64","31","28","26","3.2","1.6","69","5","1","4.8","73.8","0.114285714","0.4375","0.333333333","0.075","0.057142857","1.078125","0.821428571","6.504065041","76.19047619","1.410934744","1.851851852","2.116402116","2.777777778","30.42328042","39.93055556","32.53968254","42.70833333","1","54","0.061538462","0.088888889","0.84375","0.642857143","51.85185185"
"","","MZP2019UMB-ST03","","","","","","","","","MZP2019UMB-ST03-00020","","","","84","42","1","9","29","27","40","48","4","1.6","17","5","1","5.6","22.6","0.1","1.379310345","0.476190476","0.193103448","0.066666667","0.586206897","0.202380952","24.77876106","34.52380952","1.76366843","5.108556833","2.469135802","7.151979566","7.495590829","21.71136654","9.964726631","28.8633461","1","88","0.033333333","0.063636364","3.034482759","1.047619048","45.45454545"
"","","MZP2019UMB-ST03","","","","","","","","","MZP2019UMB-ST03-00021","","","","84","63","1","9","63","60","122","144","14","10.6","49.6","7","3","24.6","74.2","0.114754098","1.936507937","1.452380952","0.39047619","0.292857143","0.787301587","0.59047619","33.15363881","75","6.172839506","8.230452675","10.84656085","14.46208113","21.86948854","29.15931805","32.71604938","43.62139918","1","266","0.073611111","0.092481203","4.222222222","3.166666667","45.86466165"
"","","MZP2019UMB-ST03","","","","","","","","","MZP2019UMB-ST03-00022","","","","84","56","1","9","49","33","29","30","3.2","1.2","50.61","5","3","4.4","55.01","0.110344828","0.591836735","0.345238095","0.089795918","0.052380952","1.032857143","0.6025","7.998545719","58.33333333","1.410934744","2.418745276","1.940035273","3.325774754","22.31481481","38.25396825","24.25485009","41.57974301","1","59","0.04","0.074576271","1.204081633","0.702380952","49.15254237"
"","","MZP2019UMB-ST03","","","","","","","","","MZP2019UMB-ST03-00023","","","","84","55","1","9","55","51","134","122","24","13","67.4","5","1","37","104.4","0.179104478","2.436363636","1.595238095","0.672727273","0.44047619","1.225454545","0.802380952","35.44061303","65.47619048","10.58201058","16.16161616","16.31393298","24.91582492","29.71781305","45.38720539","46.03174603","70.3030303","1","256","0.106557377","0.14453125","4.654545455","3.047619048","52.34375"
"","","MZP2019UMB-ST03","","","","","","","","","MZP2019UMB-ST03-00024","","","","84","54","1","7","37","31","70","226","7","32.8","3.8","7","1","39.8","43.6","0.1","1.891891892","0.833333333","1.075675676","0.473809524","0.102702703","0.045238095","91.28440367","44.04761905","3.086419753","7.007007007","17.54850088","39.83983984","1.675485009","3.803803804","19.22398589","43.64364364","1","296","0.145132743","0.134459459","8","3.523809524","23.64864865"
"","","MZP2019UMB-ST03","","","","","","","","","MZP2019UMB-ST03-00025","","","","84","57","1","7","47","26","70","70","8","5","49.6","5","3","13","62.6","0.114285714","1.489361702","0.833333333","0.276595745","0.154761905","1.055319149","0.59047619","20.76677316","55.95238095","3.527336861","6.304176517","5.731922399","10.24428684","21.86948854","39.08589441","27.60141093","49.33018125","1","140","0.071428571","0.092857143","2.978723404","1.666666667","50"
"","","MZP2019UMB-ST03","","","","","","","","","MZP2019UMB-ST03-00026","","","","84","59","1","7","23","16","15","8","2.8","0.6","15.2","7","3","3.4","18.6","0.186666667","0.652173913","0.178571429","0.147826087","0.04047619","0.660869565","0.180952381","18.27956989","27.38095238","1.234567901","4.508856683","1.499118166","5.475040258","6.701940035","24.47665056","8.201058201","29.95169082","1","23","0.075","0.147826087","1","0.273809524","65.2173913"
"","","MZP2019UMB-ST03","","","","","","","","","MZP2019UMB-ST03-00027","","","","84","59","1","9","51","21","32","30","3.8","1.8","37.8","5","5","5.6","43.4","0.11875","0.62745098","0.380952381","0.109803922","0.066666667","0.741176471","0.45","12.90322581","60.71428571","1.675485009","2.759622367","2.469135802","4.06681191","16.66666667","27.45098039","19.13580247","31.5177923","1","62","0.06","0.090322581","1.215686275","0.738095238","51.61290323"
"","","MZP2019UMB-ST03","","","","","","","","","MZP2019UMB-ST03-00028","","","","84","36","1","9","29","23","20","23","3.6","1.8","34.6","7","3","5.4","40","0.18","0.689655172","0.238095238","0.186206897","0.064285714","1.193103448","0.411904762","13.5","34.52380952","1.587301587","4.597701149","2.380952381","6.896551724","15.25573192","44.1890166","17.6366843","51.08556833","1","43","0.07826087","0.125581395","1.482758621","0.511904762","46.51162791"
"","","MZP2019UMB-ST03","","","","","","","","","MZP2019UMB-ST03-00029","","","","84","42","1","9","34","34","47","11","10.6","1.8","38.4","5","3","12.4","50.8","0.225531915","1.382352941","0.55952381","0.364705882","0.147619048","1.129411765","0.457142857","24.40944882","40.47619048","4.67372134","11.54684096","5.467372134","13.50762527","16.93121693","41.83006536","22.39858907","55.33769063","1","58","0.163636364","0.213793103","1.705882353","0.69047619","81.03448276"
"","","MZP2019UMB-ST03","","","","","","","","","MZP2019UMB-ST03-00030","","","","84","46","1","9","23","23","46","94","8.4","5","18.8","5","1","13.4","32.2","0.182608696","2","0.547619048","0.582608696","0.15952381","0.817391304","0.223809524","41.61490683","27.38095238","3.703703704","13.52657005","5.908289242","21.57809984","8.289241623","30.27375201","14.19753086","51.85185185","1","140","0.053191489","0.095714286","6.086956522","1.666666667","32.85714286"
"","","MZP2019UMB-ST03","","","","","","","","","MZP2019UMB-ST03-00031","","","","84","56","1","9","44","41","199","380","18.8","9.6","31.8","5","3","28.4","60.2","0.094472362","4.522727273","2.369047619","0.645454545","0.338095238","0.722727273","0.378571429","47.17607973","52.38095238","8.289241623","15.82491582","12.52204586","23.90572391","14.02116402","26.76767677","26.54320988","50.67340067","1","579","0.025263158","0.049050086","13.15909091","6.892857143","34.36960276"
"","","MZP2019UMB-ST03","","","","","","","","","MZP2019UMB-ST03-00032","","","","84","59","2","7","59","40","142","227","23.8","8.2","44.2","3","1","32","76.2","0.167605634","2.406779661","1.69047619","0.542372881","0.380952381","0.749152542","0.526190476","41.99475066","70.23809524","10.49382716","14.94036409","14.10934744","20.08788449","19.48853616","27.74639046","33.5978836","47.83427495","1","369","0.036123348","0.086720867","6.254237288","4.392857143","38.48238482"
"","","MZP2019UMB-ST03","","","","","","","","","MZP2019UMB-ST03-00033","","","","84","58","1","7","34","27","58","39","7.2","1.6","29.2","3","3","8.8","38","0.124137931","1.705882353","0.69047619","0.258823529","0.104761905","0.858823529","0.347619048","23.15789474","40.47619048","3.174603175","7.843137255","3.880070547","9.586056645","12.87477954","31.80827887","16.75485009","41.39433551","1","97","0.041025641","0.090721649","2.852941176","1.154761905","59.79381443"
"","","MZP2019UMB-ST03","","","","","","","","","MZP2019UMB-ST03-00034","","","","84","53","1","9","48","37","90","150","27","7.4","67","5","3","34.4","101.4","0.3","1.875","1.071428571","0.716666667","0.40952381","1.395833333","0.797619048","33.92504931","57.14285714","11.9047619","20.83333333","15.1675485","26.54320988","29.54144621","51.69753086","44.70899471","78.24074074","1","240","0.049333333","0.143333333","5","2.857142857","37.5"
"","","MZP2019UMB-ST03","","","","","","","","","MZP2019UMB-ST03-00035","","","","84","39","1","7","28","25","30","70","3.6","3","55.4","5","5","6.6","62","0.12","1.071428571","0.357142857","0.235714286","0.078571429","1.978571429","0.65952381","10.64516129","33.33333333","1.587301587","4.761904762","2.91005291","8.73015873","24.42680776","73.28042328","27.33686067","82.01058201","1","100","0.042857143","0.066","3.571428571","1.19047619","30"
"","","MZP2019UMB-ST03","","","","","","","","","MZP2019UMB-ST03-00036","","","","84","46","1","9","42","27","90","155","14.4","9.6","57.6","5","1","24","81.6","0.16","2.142857143","1.071428571","0.571428571","0.285714286","1.371428571","0.685714286","29.41176471","50","6.349206349","12.6984127","10.58201058","21.16402116","25.3968254","50.79365079","35.97883598","71.95767196","1","245","0.061935484","0.097959184","5.833333333","2.916666667","36.73469388"
"","","MZP2019UMB-ST03","","","","","","","","","MZP2019UMB-ST03-00037","","","","84","54","1","7","36","32","150","143","17.6","7.2","40.8","5","1","24.8","65.6","0.117333333","4.166666667","1.785714286","0.688888889","0.295238095","1.133333333","0.485714286","37.80487805","42.85714286","7.760141093","18.10699588","10.93474427","25.51440329","17.98941799","41.97530864","28.92416226","67.48971193","1","293","0.05034965","0.084641638","8.138888889","3.488095238","51.19453925"
"","","MZP2019UMB-ST03","","","","","","","","","MZP2019UMB-ST03-00038","","","","84","57","1","7","36","23","50","200","8","5.6","65.6","3","1","13.6","79.2","0.16","1.388888889","0.595238095","0.377777778","0.161904762","1.822222222","0.780952381","17.17171717","42.85714286","3.527336861","8.230452675","5.996472663","13.99176955","28.92416226","67.48971193","34.92063492","81.48148148","1","250","0.028","0.0544","6.944444444","2.976190476","20"
"","","MZP2019UMB-ST03","","","","","","","","","MZP2019UMB-ST03-00039","","","","84","56","1","9","56","44","170","300","39.2","12.6","111","5","1","51.8","162.8","0.230588235","3.035714286","2.023809524","0.925","0.616666667","1.982142857","1.321428571","31.81818182","66.66666667","17.28395062","25.92592593","22.83950617","34.25925926","48.94179894","73.41269841","71.78130511","107.6719577","1","470","0.042","0.110212766","8.392857143","5.595238095","36.17021277"
"","","MZP2019UMB-ST03","","","","","","","","","MZP2019UMB-ST03-00040","","","","84","44","1","9","42","30","100","60","29.2","3.6","47","7","5","32.8","79.8","0.292","2.380952381","1.19047619","0.780952381","0.39047619","1.119047619","0.55952381","41.10275689","50","12.87477954","25.74955908","14.46208113","28.92416226","20.72310406","41.44620811","35.18518519","70.37037037","1","160","0.06","0.205","3.80952381","1.904761905","62.5"
"","","MZP2019UMB-ST03","","","","","","","","","MZP2019UMB-ST03-00041","","","","84","53","1","9","47","36","49","170","7","6.8","63.2","5","1","13.8","77","0.142857143","1.042553191","0.583333333","0.293617021","0.164285714","1.344680851","0.752380952","17.92207792","55.95238095","3.086419753","5.516154452","6.084656085","10.87470449","27.8659612","49.80299448","33.95061728","60.67769898","1","219","0.04","0.063013699","4.659574468","2.607142857","22.37442922"
"","","MZP2019UMB-ST03","","","","","","","","","MZP2019UMB-ST03-00042","","","","84","39","1","9","39","34","170","280","24.8","14.4","63","5","5","39.2","102.2","0.145882353","4.358974359","2.023809524","1.005128205","0.466666667","1.615384615","0.75","38.35616438","46.42857143","10.93474427","23.55175689","17.28395062","37.22697056","27.77777778","59.82905983","45.0617284","97.05603039","1","450","0.051428571","0.087111111","11.53846154","5.357142857","37.77777778"
"","","MZP2019UMB-ST03","","","","","","","","","MZP2019UMB-ST03-00043","","","","84","44","1","7","44","33","52","225","7","9.4","49.8","5","3","16.4","66.2","0.134615385","1.181818182","0.619047619","0.372727273","0.195238095","1.131818182","0.592857143","24.7734139","52.38095238","3.086419753","5.892255892","7.231040564","13.8047138","21.95767196","41.91919192","29.18871252","55.72390572","1","277","0.041777778","0.059205776","6.295454545","3.297619048","18.77256318"
"","","MZP2019UMB-ST03","","","","","","","","","MZP2019UMB-ST03-00044","","","","84","62","1","7","29","20","20","20","1.6","0.6","17.8","5","5","2.2","20","0.08","0.689655172","0.238095238","0.075862069","0.026190476","0.613793103","0.211904762","11","34.52380952","0.705467372","2.043422733","0.970017637","2.809706258","7.848324515","22.73307791","8.818342152","25.54278416","1","40","0.03","0.055","1.379310345","0.476190476","50"
"","","MZP2019UMB-ST03","","","","","","","","","MZP2019UMB-ST03-00045","","","","84","51","1","9","41","37","91","97","23.2","6","42.6","5","3","29.2","71.8","0.254945055","2.219512195","1.083333333","0.712195122","0.347619048","1.03902439","0.507142857","40.66852368","48.80952381","10.2292769","20.95754291","12.87477954","26.37759711","18.78306878","38.48238482","31.65784832","64.85998193","1","188","0.06185567","0.155319149","4.585365854","2.238095238","48.40425532"
"","","MZP2019UMB-ST03","","","","","","","","","MZP2019UMB-ST03-00046","","","","84","52","1","9","45","29","76","65","9.2","2","61.8","5","3","11.2","73","0.121052632","1.688888889","0.904761905","0.248888889","0.133333333","1.373333333","0.735714286","15.34246575","53.57142857","4.05643739","7.572016461","4.938271605","9.218106996","27.24867725","50.86419753","32.18694885","60.08230453","1","141","0.030769231","0.079432624","3.133333333","1.678571429","53.90070922"
"","","MZP2019UMB-ST03","","","","","","","","","MZP2019UMB-ST03-00047","","","","84","48","1","9","48","21","47","71","5.2","3","114","3","3","8.2","122.2","0.110638298","0.979166667","0.55952381","0.170833333","0.097619048","2.375","1.357142857","6.710310966","57.14285714","2.292768959","4.012345679","3.615520282","6.327160494","50.26455026","87.96296296","53.88007055","94.29012346","1","118","0.042253521","0.069491525","2.458333333","1.404761905","39.83050847"
"","","MZP2019UMB-ST03","","","","","","","","","MZP2019UMB-ST03-00048","","","","84","50","1","9","41","32","91","35","27.8","3","33.2","7","5","30.8","64","0.305494505","2.219512195","1.083333333","0.751219512","0.366666667","0.809756098","0.395238095","48.125","48.80952381","12.25749559","25.1129178","13.58024691","27.8229449","14.63844797","29.99096658","28.21869489","57.81391147","1","126","0.085714286","0.244444444","3.073170732","1.5","72.22222222"
