"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2019UMB-PT02","","","","","","","","","MZP2019UMB-PT02-00014","","","","12","6","4","3","12","4","1.8","0.2","0.6","1","5","1","2","2.6","16","0.15","0.05","0.125","4","76.92307692","33.33333333","5.555555556","6.172839506","1.851851852","1.333333333","3","1","0.5","0.166666667","0.15","0.05","75","16.66666667","18.51851852","5.555555556","8.024691358","24.07407407"
"","","MZP2019UMB-PT02","","","","","","","","","MZP2019UMB-PT02-00015","","","","12","2","1","1","4","4","0.5","0.2","1.2","5","3","1","0.7","1.9","8","0.125","0.05","0.0875","8","36.84210526","8.333333333","1.543209877","2.160493827","3.703703704","0.666666667","4","0.333333333","0.7","0.058333333","1.2","0.1","50","18.51851852","25.92592593","44.44444444","5.864197531","70.37037037"
"","","MZP2019UMB-PT02","","","","","","","","","MZP2019UMB-PT02-00016","","","","12","3","2","0","0","0","0","0","3.2","","","","0","3.2","0","","","","0","0","16.66666667","0","0","9.87654321","0","0","0","0","0","1.6","0.266666667","","0","0","59.25925926","9.87654321","59.25925926"
"","","MZP2019UMB-PT02","","","","","","","","","MZP2019UMB-PT02-00017","","","","12","5","4","2","4","0","0.4","0","2","3","1","1","0.4","2.4","4","0.1","","0.1","1","16.66666667","33.33333333","1.234567901","1.234567901","6.172839506","0.333333333","1","0.333333333","0.1","0.033333333","0.5","0.166666667","100","3.703703704","3.703703704","18.51851852","7.407407407","22.22222222"
"","","MZP2019UMB-PT02","","","","","","","","","MZP2019UMB-PT02-00018","","","","12","6","4","4","12","4","1.7","0.2","6","3","3","3","1.9","7.9","16","0.141666667","0.05","0.11875","4","24.05063291","33.33333333","5.24691358","5.864197531","18.51851852","1.333333333","3","1","0.475","0.158333333","1.5","0.5","75","15.74074074","17.59259259","55.55555556","24.38271605","73.14814815"
"","","MZP2019UMB-PT02","","","","","","","","","MZP2019UMB-PT02-00019","","","","12","6","4","3","10","4","4.4","0.3","2.6","3","1","1","4.7","7.3","14","0.44","0.075","0.335714286","3.5","64.38356164","33.33333333","13.58024691","14.50617284","8.024691358","1.166666667","2.5","0.833333333","1.175","0.391666667","0.65","0.216666667","71.42857143","40.74074074","43.51851852","24.07407407","22.5308642","67.59259259"
"","","MZP2019UMB-PT02","","","","","","","","","MZP2019UMB-PT02-00020","","","","12","5","3","2","0","1","0","0.1","3","1","7","5","0.1","3.1","1","","0.1","0.1","0.333333333","3.225806452","25","0","0.308641975","9.259259259","0.083333333","0","0","0.033333333","0.008333333","1","0.25","0","0","1.234567901","37.03703704","9.567901235","38.27160494"
"","","MZP2019UMB-PT02","","","","","","","","","MZP2019UMB-PT02-00021","","","","12","3","2","2","9","0","3.2","0","1.8","3","3","5","3.2","5","9","0.355555556","","0.355555556","4.5","64","16.66666667","9.87654321","9.87654321","5.555555556","0.75","4.5","0.75","1.6","0.266666667","0.9","0.15","100","59.25925926","59.25925926","33.33333333","15.43209877","92.59259259"
"","","MZP2019UMB-PT02","","","","","","","","","MZP2019UMB-PT02-00022","","","","12","5","3","2","6","14","0.6","0.3","4.8","1","7","3","0.9","5.7","20","0.1","0.021428571","0.045","6.666666667","15.78947368","25","1.851851852","2.777777778","14.81481481","1.666666667","2","0.5","0.3","0.075","1.6","0.4","30","7.407407407","11.11111111","59.25925926","17.59259259","70.37037037"
"","","MZP2019UMB-PT02","","","","","","","","","MZP2019UMB-PT02-00023","","","","12","5","3","2","10","2","2.7","0.1","1.4","1","1","1","2.8","4.2","12","0.27","0.05","0.233333333","4","66.66666667","25","8.333333333","8.641975309","4.320987654","1","3.333333333","0.833333333","0.933333333","0.233333333","0.466666667","0.116666667","83.33333333","33.33333333","34.56790123","17.28395062","12.96296296","51.85185185"
"","","MZP2019UMB-PT02","","","","","","","","","MZP2019UMB-PT02-00024","","","","12","6","4","1","0","2","0","0.1","2.8","1","9","1","0.1","2.9","2","","0.05","0.05","0.5","3.448275862","33.33333333","0","0.308641975","8.641975309","0.166666667","0","0","0.025","0.008333333","0.7","0.233333333","0","0","0.925925926","25.92592593","8.950617284","26.85185185"
"","","MZP2019UMB-PT02","","","","","","","","","MZP2019UMB-PT02-00025","","","","12","5","3","3","15","5","3.3","0.2","2","3","1","3","3.5","5.5","20","0.22","0.04","0.175","6.666666667","63.63636364","25","10.18518519","10.80246914","6.172839506","1.666666667","5","1.25","1.166666667","0.291666667","0.666666667","0.166666667","75","40.74074074","43.20987654","24.69135802","16.97530864","67.90123457"
"","","MZP2019UMB-PT02","","","","","","","","","MZP2019UMB-PT02-00026","","","","12","6","4","4","24","9","4.7","0.8","4","1","3","3","5.5","9.5","33","0.195833333","0.088888889","0.166666667","8.25","57.89473684","33.33333333","14.50617284","16.97530864","12.34567901","2.75","6","2","1.375","0.458333333","1","0.333333333","72.72727273","43.51851852","50.92592593","37.03703704","29.32098765","87.96296296"
"","","MZP2019UMB-PT02","","","","","","","","","MZP2019UMB-PT02-00027","","","","12","7","5","3","6","3","2.2","0.1","2","1","1","1","2.3","4.3","9","0.366666667","0.033333333","0.255555556","1.8","53.48837209","41.66666667","6.790123457","7.098765432","6.172839506","0.75","1.2","0.5","0.46","0.191666667","0.4","0.166666667","66.66666667","16.2962963","17.03703704","14.81481481","13.27160494","31.85185185"
"","","MZP2019UMB-PT02","","","","","","","","","MZP2019UMB-PT02-00028","","","","12","4","2","1","7","0","1.7","0","1.2","3","1","1","1.7","2.9","7","0.242857143","","0.242857143","3.5","58.62068966","16.66666667","5.24691358","5.24691358","3.703703704","0.583333333","3.5","0.583333333","0.85","0.141666667","0.6","0.1","100","31.48148148","31.48148148","22.22222222","8.950617284","53.7037037"
"","","MZP2019UMB-PT02","","","","","","","","","MZP2019UMB-PT02-00029","","","","12","5","3","3","6","7","0.6","0.4","0.6","3","5","5","1","1.6","13","0.1","0.057142857","0.076923077","4.333333333","62.5","25","1.851851852","3.086419753","1.851851852","1.083333333","2","0.5","0.333333333","0.083333333","0.2","0.05","46.15384615","7.407407407","12.34567901","7.407407407","4.938271605","19.75308642"
"","","MZP2019UMB-PT02","","","","","","","","","MZP2019UMB-PT02-00030","","","","12","7","5","4","10","2","1.6","0.03","1.2","1","1","1","1.63","2.83","12","0.16","0.015","0.135833333","2.4","57.59717314","41.66666667","4.938271605","5.030864198","3.703703704","1","2","0.833333333","0.326","0.135833333","0.24","0.1","83.33333333","11.85185185","12.07407407","8.888888889","8.734567901","20.96296296"
"","","MZP2019UMB-PT02","","","","","","","","","MZP2019UMB-PT02-00031","","","","12","7","5","5","11","10","1.3","0.1","2.2","3","5","1","1.4","3.6","21","0.118181818","0.01","0.066666667","4.2","38.88888889","41.66666667","4.012345679","4.320987654","6.790123457","1.75","2.2","0.916666667","0.28","0.116666667","0.44","0.183333333","52.38095238","9.62962963","10.37037037","16.2962963","11.11111111","26.66666667"
"","","MZP2019UMB-PT02","","","","","","","","","MZP2019UMB-PT02-00032","","","","12","7","5","5","14","9","2.5","0.2","1.6","5","1","3","2.7","4.3","23","0.178571429","0.022222222","0.117391304","4.6","62.79069767","41.66666667","7.716049383","8.333333333","4.938271605","1.916666667","2.8","1.166666667","0.54","0.225","0.32","0.133333333","60.86956522","18.51851852","20","11.85185185","13.27160494","31.85185185"
"","","MZP2019UMB-PT02","","","","","","","","","MZP2019UMB-PT02-00033","","","","12","8","6","5","16","7","2.7","0.3","1.4","5","3","3","3","4.4","23","0.16875","0.042857143","0.130434783","3.833333333","68.18181818","50","8.333333333","9.259259259","4.320987654","1.916666667","2.666666667","1.333333333","0.5","0.25","0.233333333","0.116666667","69.56521739","16.66666667","18.51851852","8.641975309","13.58024691","27.16049383"
"","","MZP2019UMB-PT02","","","","","","","","","MZP2019UMB-PT02-00034","","","","12","9","7","7","14","11","1.6","0.3","2.4","3","5","5","1.9","4.3","25","0.114285714","0.027272727","0.076","3.571428571","44.18604651","58.33333333","4.938271605","5.864197531","7.407407407","2.083333333","2","1.166666667","0.271428571","0.158333333","0.342857143","0.2","56","8.465608466","10.05291005","12.6984127","13.27160494","22.75132275"
"","","MZP2019UMB-PT02","","","","","","","","","MZP2019UMB-PT02-00035","","","","12","7","5","5","12","6","2.3","0.3","3","1","3","3","2.6","5.6","18","0.191666667","0.05","0.144444444","3.6","46.42857143","41.66666667","7.098765432","8.024691358","9.259259259","1.5","2.4","1","0.52","0.216666667","0.6","0.25","66.66666667","17.03703704","19.25925926","22.22222222","17.28395062","41.48148148"
"","","MZP2019UMB-PT02","","","","","","","","","MZP2019UMB-PT02-00036","","","","12","8","6","5","20","8","4.9","0.4","2.8","1","1","1","5.3","8.1","28","0.245","0.05","0.189285714","4.666666667","65.43209877","50","15.12345679","16.35802469","8.641975309","2.333333333","3.333333333","1.666666667","0.883333333","0.441666667","0.466666667","0.233333333","71.42857143","30.24691358","32.71604938","17.28395062","25","50"
"","","MZP2019UMB-PT02","","","","","","","","","MZP2019UMB-PT02-00037","","","","12","4","3","3","9","2","2.7","0.2","1.2","1","1","1","2.9","4.1","11","0.3","0.1","0.263636364","3.666666667","70.73170732","25","8.333333333","8.950617284","3.703703704","0.916666667","3","0.75","0.966666667","0.241666667","0.4","0.1","81.81818182","33.33333333","35.80246914","14.81481481","12.65432099","50.61728395"
"","","MZP2019UMB-PT02","","","","","","","","","MZP2019UMB-PT02-00038","","","","12","4","2","2","9","2","1.9","0.1","1.8","1","3","1","2","3.8","11","0.211111111","0.05","0.181818182","5.5","52.63157895","16.66666667","5.864197531","6.172839506","5.555555556","0.916666667","4.5","0.75","1","0.166666667","0.9","0.15","81.81818182","35.18518519","37.03703704","33.33333333","11.72839506","70.37037037"
"","","MZP2019UMB-PT02","","","","","","","","","MZP2019UMB-PT02-00039","","","","12","6","4","3","12","7","1.4","0.2","6.2","1","3","1","1.6","7.8","19","0.116666667","0.028571429","0.084210526","4.75","20.51282051","33.33333333","4.320987654","4.938271605","19.13580247","1.583333333","3","1","0.4","0.133333333","1.55","0.516666667","63.15789474","12.96296296","14.81481481","57.40740741","24.07407407","72.22222222"
"","","MZP2019UMB-PT02","","","","","","","","","MZP2019UMB-PT02-00040","","","","12","7","5","4","11","9","2.3","0.5","2.4","1","3","3","2.8","5.2","20","0.209090909","0.055555556","0.14","4","53.84615385","41.66666667","7.098765432","8.641975309","7.407407407","1.666666667","2.2","0.916666667","0.56","0.233333333","0.48","0.2","55","17.03703704","20.74074074","17.77777778","16.04938272","38.51851852"
"","","MZP2019UMB-PT02","","","","","","","","","MZP2019UMB-PT02-00041","","","","12","5","3","3","10","6","3.2","0.3","2","3","1","1","3.5","5.5","16","0.32","0.05","0.21875","5.333333333","63.63636364","25","9.87654321","10.80246914","6.172839506","1.333333333","3.333333333","0.833333333","1.166666667","0.291666667","0.666666667","0.166666667","62.5","39.50617284","43.20987654","24.69135802","16.97530864","67.90123457"
"","","MZP2019UMB-PT02","","","","","","","","","MZP2019UMB-PT02-00042","","","","12","7","5","5","12","2","3.5","0.1","2.2","1","1","1","3.6","5.8","14","0.291666667","0.05","0.257142857","2.8","62.06896552","41.66666667","10.80246914","11.11111111","6.790123457","1.166666667","2.4","1","0.72","0.3","0.44","0.183333333","85.71428571","25.92592593","26.66666667","16.2962963","17.90123457","42.96296296"
"","","MZP2019UMB-PT02","","","","","","","","","MZP2019UMB-PT02-00043","","","","12","7","5","3","7","2","4.1","0.1","5.7","1","3","5","4.2","9.9","9","0.585714286","0.05","0.466666667","1.8","42.42424242","41.66666667","12.65432099","12.96296296","17.59259259","0.75","1.4","0.583333333","0.84","0.35","1.14","0.475","77.77777778","30.37037037","31.11111111","42.22222222","30.55555556","73.33333333"
"","","MZP2019UMB-PT02","","","","","","","","","MZP2019UMB-PT02-00044","","","","12","6","4","4","10","6","3.2","0.2","4.4","3","1","1","3.4","7.8","16","0.32","0.033333333","0.2125","4","43.58974359","33.33333333","9.87654321","10.49382716","13.58024691","1.333333333","2.5","0.833333333","0.85","0.283333333","1.1","0.366666667","62.5","29.62962963","31.48148148","40.74074074","24.07407407","72.22222222"
"","","MZP2019UMB-PT02","","","","","","","","","MZP2019UMB-PT02-00045","","","","12","7","5","2","9","3","0.8","0.1","2","1","5","3","0.9","2.9","12","0.088888889","0.033333333","0.075","2.4","31.03448276","41.66666667","2.469135802","2.777777778","6.172839506","1","1.8","0.75","0.18","0.075","0.4","0.166666667","75","5.925925926","6.666666667","14.81481481","8.950617284","21.48148148"
"","","MZP2019UMB-PT02","","","","","","","","","MZP2019UMB-PT02-00046","","","","12","4","3","3","6","3","0.9","0.2","1.2","3","1","3","1.1","2.3","9","0.15","0.066666667","0.122222222","3","47.82608696","25","2.777777778","3.395061728","3.703703704","0.75","2","0.5","0.366666667","0.091666667","0.4","0.1","66.66666667","11.11111111","13.58024691","14.81481481","7.098765432","28.39506173"
"","","MZP2019UMB-PT02","","","","","","","","","MZP2019UMB-PT02-00047","","","","12","7","5","3","7","3","0.6","0.1","3.3","1","3","3","0.7","4","10","0.085714286","0.033333333","0.07","2","17.5","41.66666667","1.851851852","2.160493827","10.18518519","0.833333333","1.4","0.583333333","0.14","0.058333333","0.66","0.275","70","4.444444444","5.185185185","24.44444444","12.34567901","29.62962963"
"","","MZP2019UMB-PT02","","","","","","","","","MZP2019UMB-PT02-00048","","","","12","7","5","4","9","8","2.6","0.4","4.6","5","3","5","3","7.6","17","0.288888889","0.05","0.176470588","3.4","39.47368421","41.66666667","8.024691358","9.259259259","14.19753086","1.416666667","1.8","0.75","0.6","0.25","0.92","0.383333333","52.94117647","19.25925926","22.22222222","34.07407407","23.45679012","56.2962963"
"","","MZP2019UMB-PT02","","","","","","","","","MZP2019UMB-PT02-00049","","","","12","6","4","3","6","4","3.4","0.2","2","3","1","3","3.6","5.6","10","0.566666667","0.05","0.36","2.5","64.28571429","33.33333333","10.49382716","11.11111111","6.172839506","0.833333333","1.5","0.5","0.9","0.3","0.5","0.166666667","60","31.48148148","33.33333333","18.51851852","17.28395062","51.85185185"
"","","MZP2019UMB-PT02","","","","","","","","","MZP2019UMB-PT02-00050","","","","12","6","4","4","23","10","6.3","0.5","3","3","1","1","6.8","9.8","33","0.273913043","0.05","0.206060606","8.25","69.3877551","33.33333333","19.44444444","20.98765432","9.259259259","2.75","5.75","1.916666667","1.7","0.566666667","0.75","0.25","69.6969697","58.33333333","62.96296296","27.77777778","30.24691358","90.74074074"
"","","MZP2019UMB-PT02","","","","","","","","","MZP2019UMB-PT02-00051","","","","12","7","5","4","7","2","1.7","0.15","2.4","3","1","3","1.85","4.25","9","0.242857143","0.075","0.205555556","1.8","43.52941176","41.66666667","5.24691358","5.709876543","7.407407407","0.75","1.4","0.583333333","0.37","0.154166667","0.48","0.2","77.77777778","12.59259259","13.7037037","17.77777778","13.11728395","31.48148148"
"","","MZP2019UMB-PT02","","","","","","","","","MZP2019UMB-PT02-00052","","","","12","6","4","4","26","5","8","0.1","7.2","1","1","1","8.1","15.3","31","0.307692308","0.02","0.261290323","7.75","52.94117647","33.33333333","24.69135802","25","22.22222222","2.583333333","6.5","2.166666667","2.025","0.675","1.8","0.6","83.87096774","74.07407407","75","66.66666667","47.22222222","141.6666667"
"","","MZP2019UMB-PT02","","","","","","","","","MZP2019UMB-PT02-00053","","","","12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","MZP2019UMB-PT02","","","","","","","","","MZP2019UMB-PT02-00054","","","","12","5","3","2","9","4","2.5","0.5","2.8","1","3","1","3","5.8","13","0.277777778","0.125","0.230769231","4.333333333","51.72413793","25","7.716049383","9.259259259","8.641975309","1.083333333","3","0.75","1","0.25","0.933333333","0.233333333","69.23076923","30.86419753","37.03703704","34.56790123","17.90123457","71.60493827"
"","","MZP2019UMB-PT02","","","","","","","","","MZP2019UMB-PT02-00055","","","","12","2","2","2","9","0","1.3","0","0.4","1","1","1","1.3","1.7","9","0.144444444","","0.144444444","4.5","76.47058824","16.66666667","4.012345679","4.012345679","1.234567901","0.75","4.5","0.75","0.65","0.108333333","0.2","0.033333333","100","24.07407407","24.07407407","7.407407407","5.24691358","31.48148148"
"","","MZP2019UMB-PT02","","","","","","","","","MZP2019UMB-PT02-00056","","","","12","6","4","3","7","4","2.6","0.3","1.8","1","3","1","2.9","4.7","11","0.371428571","0.075","0.263636364","2.75","61.70212766","33.33333333","8.024691358","8.950617284","5.555555556","0.916666667","1.75","0.583333333","0.725","0.241666667","0.45","0.15","63.63636364","24.07407407","26.85185185","16.66666667","14.50617284","43.51851852"
"","","MZP2019UMB-PT02","","","","","","","","","MZP2019UMB-PT02-00057","","","","12","6","4","4","9","1","3.4","0.1","2.2","3","1","1","3.5","5.7","10","0.377777778","0.1","0.35","2.5","61.40350877","33.33333333","10.49382716","10.80246914","6.790123457","0.833333333","2.25","0.75","0.875","0.291666667","0.55","0.183333333","90","31.48148148","32.40740741","20.37037037","17.59259259","52.77777778"
"","","MZP2019UMB-PT02","","","","","","","","","MZP2019UMB-PT02-00058","","","","12","3","2","2","4","2","1.6","0.04","1.8","3","1","1","1.64","3.44","6","0.4","0.02","0.273333333","3","47.6744186","16.66666667","4.938271605","5.061728395","5.555555556","0.5","2","0.333333333","0.82","0.136666667","0.9","0.15","66.66666667","29.62962963","30.37037037","33.33333333","10.61728395","63.7037037"
"","","MZP2019UMB-PT02","","","","","","","","","MZP2019UMB-PT02-00059","","","","12","6","4","3","5","0","1.2","0","1","3","1","1","1.2","2.2","5","0.24","","0.24","1.25","54.54545455","33.33333333","3.703703704","3.703703704","3.086419753","0.416666667","1.25","0.416666667","0.3","0.1","0.25","0.083333333","100","11.11111111","11.11111111","9.259259259","6.790123457","20.37037037"
"","","MZP2019UMB-PT02","","","","","","","","","MZP2019UMB-PT02-00060","","","","12","4","3","3","8","2","1.5","0.3","1.2","1","3","1","1.8","3","10","0.1875","0.15","0.18","3.333333333","60","25","4.62962963","5.555555556","3.703703704","0.833333333","2.666666667","0.666666667","0.6","0.15","0.4","0.1","80","18.51851852","22.22222222","14.81481481","9.259259259","37.03703704"
"","","MZP2019UMB-PT02","","","","","","","","","MZP2019UMB-PT02-00061","","","","12","5","3","3","18","12","4.5","0.4","2.2","1","1","1","4.9","7.1","30","0.25","0.033333333","0.163333333","10","69.01408451","25","13.88888889","15.12345679","6.790123457","2.5","6","1.5","1.633333333","0.408333333","0.733333333","0.183333333","60","55.55555556","60.49382716","27.16049383","21.91358025","87.65432099"
"","","MZP2019UMB-PT02","","","","","","","","","MZP2019UMB-PT02-00062","","","","12","3","2","2","8","10","1.2","0.8","2.6","3","3","5","2","4.6","18","0.15","0.08","0.111111111","9","43.47826087","16.66666667","3.703703704","6.172839506","8.024691358","1.5","4","0.666666667","1","0.166666667","1.3","0.216666667","44.44444444","22.22222222","37.03703704","48.14814815","14.19753086","85.18518519"
