"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Content of total sugars estimating 1-9|CO_331:0000766","Content of starch in raw storage roots estimating 1-9|CO_331:0001055","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004","treatment_irrigation","treatment_non_irrigation"
"","","MZP2012CKE-ST01","","","","","","","","","MZP2012CKE-ST01-00011","","","","26","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1",""
"","","MZP2012CKE-ST01","","","","","","","","","MZP2012CKE-ST01-00012","","","","26","18","1","1","6","5","5","0","9","0","0.3","6.5","8","8","1","3","5","5","3","","","","","","","","","0.3","6.8","9","","0.033333333","0.033333333","1.8","0.346153846","0","0","0.06","0.011538462","1.3","0.25","0","4.411764706","19.23076923","0","0","0.427350427","2.222222222","9.259259259","48.14814815","9.686609687","50.37037037","1",""
"","","MZP2012CKE-ST01","","","","","","","","","MZP2012CKE-ST01-00013","","","","26","24","3","4","8","20","2","8","","0.9","","47","7","6","1","3","7","7","3","","","","","","","","","","","","0.1125","","","","","0.4","0.307692308","","","2.35","1.807692308","","","76.92307692","1.282051282","1.666666667","","","66.95156695","87.03703704","","","1",""
"","","MZP2012CKE-ST01","","","","","","","","","MZP2012CKE-ST01-00014","","","","26","25","1","1","6","16","6","6","20","0.4","0.4","14","8","7","1","3","5","7","5","4.02","1.76","1.01","22.572","56.44","4.97","7.48","9.72","0.8","14.8","26","0.066666667","0.02","0.030769231","1.625","1","0.375","0.230769231","0.05","0.030769231","0.875","0.538461538","23.07692308","5.405405405","61.53846154","0.56980057","0.925925926","1.13960114","1.851851852","19.94301994","32.40740741","21.08262108","34.25925926","1",""
"","","MZP2012CKE-ST01","","","","","","","","","MZP2012CKE-ST01-00015","","","","26","24","1","1","7","15","15","16","17","3.6","1","8","3","2","1","1","5","7","3","","","","","","","","","4.6","12.6","33","0.225","0.058823529","0.139393939","2.2","1.269230769","1.066666667","0.615384615","0.306666667","0.176923077","0.533333333","0.307692308","48.48484848","36.50793651","57.69230769","5.128205128","8.888888889","6.552706553","11.35802469","11.3960114","19.75308642","17.94871795","31.11111111","1",""
"","","MZP2012CKE-ST01","","","","","","","","","MZP2012CKE-ST01-00016","","","","26","25","1","1","8","19","14","16","31","1.6","1.2","24","6","4","1","3","5","7","3","5.26","1.88","0.96","15.905","55.85","6.82","10","6.55","2.8","26.8","47","0.1","0.038709677","0.059574468","2.473684211","1.807692308","0.842105263","0.615384615","0.147368421","0.107692308","1.263157895","0.923076923","34.04255319","10.44776119","73.07692308","2.279202279","3.118908382","3.988603989","5.458089669","34.18803419","46.78362573","38.17663818","52.2417154","1",""
"","","MZP2012CKE-ST01","","","","","","","","","MZP2012CKE-ST01-00017","","","","26","20","1","1","6","15","5","8","14","1.2","0.6","3","4","4","1","1","7","7","3","","","","","","","","","1.8","4.8","22","0.15","0.042857143","0.081818182","1.466666667","0.846153846","0.533333333","0.307692308","0.12","0.069230769","0.2","0.115384615","36.36363636","37.5","57.69230769","1.709401709","2.962962963","2.564102564","4.444444444","4.273504274","7.407407407","6.837606838","11.85185185","1",""
"","","MZP2012CKE-ST01","","","","","","","","","MZP2012CKE-ST01-00018","","","","26","18","3","2","6","13","2","0","6","0","0.3","8.5","8","9","1","3","3","9","5","","","","","","","","","0.3","8.8","6","","0.05","0.05","0.461538462","0.230769231","0","0","0.023076923","0.011538462","0.653846154","0.326923077","0","3.409090909","50","0","0","0.427350427","0.854700855","12.10826211","24.21652422","12.53561254","25.07122507","1",""
"","","MZP2012CKE-ST01","","","","","","","","","MZP2012CKE-ST01-00019","","","","26","24","4","3","8","20","10","0","13","0","0.4","5.4","8","8","1","3","7","7","3","6.06","2.08","0.96","1.209","52.7","4.23","6.8","16.43","0.4","5.8","13","","0.030769231","0.030769231","0.65","0.5","0","0","0.02","0.015384615","0.27","0.207692308","0","6.896551724","76.92307692","0","0","0.56980057","0.740740741","7.692307692","10","8.262108262","10.74074074","1",""
"","","MZP2012CKE-ST01","","","","","","","","","MZP2012CKE-ST01-00020","","","","26","20","1","1","9","20","15","16","9","4.2","1.4","25.5","2","2","1","1","7","5","3","5.87","2.28","1.07","30.338","50.92","4.58","6.89","13.84","5.6","31.1","25","0.2625","0.155555556","0.224","1.25","0.961538462","0.8","0.615384615","0.28","0.215384615","1.275","0.980769231","64","18.00643087","76.92307692","5.982905983","7.777777778","7.977207977","10.37037037","36.32478632","47.22222222","44.3019943","57.59259259","1",""
"","","MZP2012CKE-ST01","","","","","","","","","MZP2012CKE-ST01-00021","","","","26","25","1","1","9","18","18","22","26","5.5","5","2.9","2","2","1","1","5","5","3","4.24","1.73","1","10.257","63.37","2.3","4.48","11.98","10.5","13.4","48","0.25","0.192307692","0.21875","2.666666667","1.846153846","1.222222222","0.846153846","0.583333333","0.403846154","0.161111111","0.111538462","45.83333333","78.35820896","69.23076923","7.834757835","11.31687243","14.95726496","21.60493827","4.131054131","5.967078189","19.08831909","27.57201646","1",""
"","","MZP2012CKE-ST01","","","","","","","","","MZP2012CKE-ST01-00022","","","","26","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1",""
"","","MZP2012CKE-ST01","","","","","","","","","MZP2012CKE-ST01-00023","","","","26","20","1","4","5","6","0","0","0","0","0","1.2","","","","","","","","","","","","","","","","0","1.2","0","","","","0","0","0","0","0","0","0.2","0.046153846","","0","23.07692308","0","0","0","0","1.709401709","7.407407407","1.709401709","7.407407407","1",""
"","","MZP2012CKE-ST01","","","","","","","","","MZP2012CKE-ST01-00024","","","","26","25","1","1","8","18","5","6","5","2.2","0.8","28","2","3","1","5","7","9","3","4.03","1.71","0.8","3.856","67.19","2.84","4.36","7.08","3","31","11","0.366666667","0.16","0.272727273","0.611111111","0.423076923","0.333333333","0.230769231","0.166666667","0.115384615","1.555555556","1.076923077","54.54545455","9.677419355","69.23076923","3.133903134","4.526748971","4.273504274","6.172839506","39.88603989","57.61316872","44.15954416","63.78600823","1",""
"","","MZP2012CKE-ST01","","","","","","","","","MZP2012CKE-ST01-00025","","","","26","23","1","2","9","23","23","34","60","5.2","6.4","30","1","3","2","1","7","5","3","5.45","1.72","0.81","0","67.54","1.06","2.31","12.02","11.6","41.6","94","0.152941176","0.106666667","0.123404255","4.086956522","3.615384615","1.47826087","1.307692308","0.504347826","0.446153846","1.304347826","1.153846154","36.17021277","27.88461538","88.46153846","7.407407407","8.373590982","16.52421652","18.67954911","42.73504274","48.30917874","59.25925926","66.98872786","1",""
"","","MZP2012CKE-ST01","","","","","","","","","MZP2012CKE-ST01-00026","","","","26","22","1","1","7","18","18","0","25","0","0.9","15","8","7","1","3","5","5","3","3.18","1.68","0.95","32.472","51.55","5.35","7.94","15.5","0.9","15.9","25","","0.036","0.036","1.388888889","0.961538462","0","0","0.05","0.034615385","0.833333333","0.576923077","0","5.660377358","69.23076923","0","0","1.282051282","1.851851852","21.36752137","30.86419753","22.64957265","32.71604938","1",""
"","","MZP2012CKE-ST01","","","","","","","","","MZP2012CKE-ST01-00027","","","","26","24","3","3","5","8","8","16","10","1.2","0.5","2.2","5","5","1","3","5","7","5","2.7","1.55","0.83","12.402","60.56","6.08","8.42","5.08","1.7","3.9","26","0.075","0.05","0.065384615","3.25","1","2","0.615384615","0.2125","0.065384615","0.275","0.084615385","61.53846154","43.58974359","30.76923077","1.709401709","5.555555556","2.421652422","7.87037037","3.133903134","10.18518519","5.555555556","18.05555556","1",""
"","","MZP2012CKE-ST01","","","","","","","","","MZP2012CKE-ST01-00028","","","","26","26","1","1","9","18","4","6","6","1.8","0.1","93","5","6","1","1","7","7","3","3.78","1.77","0.95","15.164","54.83","6.77","9.34","6.5","1.9","94.9","12","0.3","0.016666667","0.158333333","0.666666667","0.461538462","0.333333333","0.230769231","0.105555556","0.073076923","5.166666667","3.576923077","50","2.002107482","69.23076923","2.564102564","3.703703704","2.706552707","3.909465021","132.4786325","191.3580247","135.1851852","195.2674897","1",""
"","","MZP2012CKE-ST01","","","","","","","","","MZP2012CKE-ST01-00029","","","","26","26","1","1","8","18","14","8","24","1","1","17","6","4","1","1","7","9","3","","","","","","","","","2","19","32","0.125","0.041666667","0.0625","1.777777778","1.230769231","0.444444444","0.307692308","0.111111111","0.076923077","0.944444444","0.653846154","25","10.52631579","69.23076923","1.424501425","2.057613169","2.849002849","4.115226337","24.21652422","34.97942387","27.06552707","39.09465021","1",""
"","","MZP2012CKE-ST01","","","","","","","","","MZP2012CKE-ST01-00030","","","","26","20","1","1","8","16","9","15","31","1.9","1.4","11","4","4","1","1","7","9","1","3.34","1.15","0.8","6.913","64.69","2.47","3.08","11.63","3.3","14.3","46","0.126666667","0.04516129","0.07173913","2.875","1.769230769","0.9375","0.576923077","0.20625","0.126923077","0.6875","0.423076923","32.60869565","23.07692308","61.53846154","2.706552707","4.398148148","4.700854701","7.638888889","15.66951567","25.46296296","20.37037037","33.10185185","1",""
"","","MZP2012CKE-ST01","","","","","","","","","MZP2012CKE-ST01-00031","","","","26","15","5","4","5","8","0","0","0","0","0","0.8","","","","","","","","","","","","","","","","0","0.8","0","","","","0","0","0","0","0","0","0.1","0.030769231","","0","30.76923077","0","0","0","0","1.13960114","3.703703704","1.13960114","3.703703704","1",""
"","","MZP2012CKE-ST01","","","","","","","","","MZP2012CKE-ST01-00032","","","","26","22","3","4","8","22","20","18","20","3.4","1.6","34","4","4","1","3","5","7","5","3.27","1.55","0.76","9.364","54.47","2.63","4.1","23.54","5","39","38","0.188888889","0.08","0.131578947","1.727272727","1.461538462","0.818181818","0.692307692","0.227272727","0.192307692","1.545454545","1.307692308","47.36842105","12.82051282","84.61538462","4.843304843","5.723905724","7.122507123","8.417508418","48.43304843","57.23905724","55.55555556","65.65656566","1",""
"","","MZP2012CKE-ST01","","","","","","","","","MZP2012CKE-ST01-00033","","","","26","26","1","1","7","22","10","15","18","2.2","1","9","3","4","1","1","7","5","3","4.08","2.29","1.12","29.88","45.89","5.82","8.46","17.59","3.2","12.2","33","0.146666667","0.055555556","0.096969697","1.5","1.269230769","0.681818182","0.576923077","0.145454545","0.123076923","0.409090909","0.346153846","45.45454545","26.2295082","84.61538462","3.133903134","3.703703704","4.558404558","5.387205387","12.82051282","15.15151515","17.37891738","20.53872054","1",""
"","","MZP2012CKE-ST01","","","","","","","","","MZP2012CKE-ST01-00034","","","","26","24","1","1","6","16","10","17","0","1","0","5.5","7","7","2","3","5","5","3","2.38","1.73","0.95","29.502","58.14","4.76","6.3","7.23","1","6.5","17","0.058823529","","0.058823529","1.0625","0.653846154","1.0625","0.653846154","0.0625","0.038461538","0.34375","0.211538462","100","15.38461538","61.53846154","1.424501425","2.314814815","1.424501425","2.314814815","7.834757835","12.73148148","9.259259259","15.0462963","1",""
"","","MZP2012CKE-ST01","","","","","","","","","MZP2012CKE-ST01-00035","","","","26","20","1","1","6","7","0","0","0","0","0","4.5","","","","","","","","","","","","","","","","0","4.5","0","","","","0","0","0","0","0","0","0.642857143","0.173076923","","0","26.92307692","0","0","0","0","6.41025641","23.80952381","6.41025641","23.80952381","1",""
"","","MZP2012CKE-ST01","","","","","","","","","MZP2012CKE-ST01-00036","","","","26","24","2","1","5","11","0","0","0","0","0","1.2","","","","","","","","","","","","","","","","0","1.2","0","","","","0","0","0","0","0","0","0.109090909","0.046153846","","0","42.30769231","0","0","0","0","1.709401709","4.04040404","1.709401709","4.04040404","1",""
"","","MZP2012CKE-ST01","","","","","","","","","MZP2012CKE-ST01-00037","","","","26","24","4","4","7","19","19","15","23","1.6","0.9","37","2","2","2","3","7","9","1","3.84","1.64","0.73","3.825","56.02","5.25","7.11","10.88","2.5","39.5","38","0.106666667","0.039130435","0.065789474","2","1.461538462","0.789473684","0.576923077","0.131578947","0.096153846","1.947368421","1.423076923","39.47368421","6.329113924","73.07692308","2.279202279","3.118908382","3.561253561","4.873294347","52.70655271","72.12475634","56.26780627","76.99805068","1",""
"","","MZP2012CKE-ST01","","","","","","","","","MZP2012CKE-ST01-00038","","","","26","23","1","2","6","16","12","23","22","4","1.8","13.5","5","6","1","3","7","7","3","2.93","1.66","0.84","19.447","53.65","8.81","12.26","5.75","5.8","19.3","45","0.173913043","0.081818182","0.128888889","2.8125","1.730769231","1.4375","0.884615385","0.3625","0.223076923","0.84375","0.519230769","51.11111111","30.05181347","61.53846154","5.698005698","9.259259259","8.262108262","13.42592593","19.23076923","31.25","27.49287749","44.67592593","1",""
"","","MZP2012CKE-ST01","","","","","","","","","MZP2012CKE-ST01-00039","","","","26","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1",""
"","","MZP2012CKE-ST01","","","","","","","","","MZP2012CKE-ST01-00040","","","","26","23","4","1","8","23","15","0","33","0","1","30","4","5","2","3","5","9","3","4.44","1.96","0.92","11.07","51.04","6.31","8.94","14.22","1","31","33","","0.03030303","0.03030303","1.434782609","1.269230769","0","0","0.043478261","0.038461538","1.304347826","1.153846154","0","3.225806452","88.46153846","0","0","1.424501425","1.610305958","42.73504274","48.30917874","44.15954416","49.9194847","1",""
"","","MZP2012CKE-ST01","","","","","","","","","MZP2012CKE-ST01-00041","","","","26","21","3","3","7","18","18","6","13","1","0.4","13","8","9","3","3","5","7","3","3.4","1.67","1","29.207","53.74","5.1","8.04","15.34","1.4","14.4","19","0.166666667","0.030769231","0.073684211","1.055555556","0.730769231","0.333333333","0.230769231","0.077777778","0.053846154","0.722222222","0.5","31.57894737","9.722222222","69.23076923","1.424501425","2.057613169","1.994301994","2.880658436","18.51851852","26.74897119","20.51282051","29.62962963","1",""
"","","MZP2012CKE-ST01","","","","","","","","","MZP2012CKE-ST01-00042","","","","26","23","3","3","4","9","5","","","","","33","4","4","1","3","5","7","3","2.8","1.65","0.86","18.489","54.53","8.93","11.9","2.94","","","","","","","","","","","","","3.666666667","1.269230769","","","34.61538462","","","","","47.00854701","135.8024691","","","1",""
"","","MZP2012CKE-ST01","","","","","","","","","MZP2012CKE-ST01-00043","","","","26","25","3","1","9","14","0","0","0","0","0","30","","","","","","","","","","","","","","","","0","30","0","","","","0","0","0","0","0","0","2.142857143","1.153846154","","0","53.84615385","0","0","0","0","42.73504274","79.36507937","42.73504274","79.36507937","1",""
"","","MZP2012CKE-ST01","","","","","","","","","MZP2012CKE-ST01-00044","","","","26","24","5","3","6","15","2","27","27","4","3","23","8","7","2","","","","","","","","","","","","","7","30","54","0.148148148","0.111111111","0.12962963","3.6","2.076923077","1.8","1.038461538","0.466666667","0.269230769","1.533333333","0.884615385","50","23.33333333","57.69230769","5.698005698","9.87654321","9.971509972","17.28395062","32.76353276","56.79012346","42.73504274","74.07407407","1",""
"","","MZP2012CKE-ST01","","","","","","","","","MZP2012CKE-ST01-00045","","","","26","26","4","1","9","20","20","0","9","0","0.8","47","4","3","1","1","5","7","3","4.15","1.58","0.9","10.961","64.42","1.96","3.89","12.28","0.8","47.8","9","","0.088888889","0.088888889","0.45","0.346153846","0","0","0.04","0.030769231","2.35","1.807692308","0","1.673640167","76.92307692","0","0","1.13960114","1.481481481","66.95156695","87.03703704","68.09116809","88.51851852","1",""
"","","MZP2012CKE-ST01","","","","","","","","","MZP2012CKE-ST01-00046","","","","26","25","2","1","8","19","3","","","","","55","9","8","1","1","5","5","3","3.49","1.81","0.94","27.891","55.53","5.66","7.68","8.62","","","","","","","","","","","","","2.894736842","2.115384615","","","73.07692308","","","","","78.34757835","107.2124756","","","1",""
"","","MZP2012CKE-ST01","","","","","","","","","MZP2012CKE-ST01-00047","","","","26","26","5","4","5","12","2","2","2","0.2","0.1","14.5","5","6","1","3","5","9","3","5.97","2","1.03","4.437","60.16","4.11","6.56","8.88","0.3","14.8","4","0.1","0.05","0.075","0.333333333","0.153846154","0.166666667","0.076923077","0.025","0.011538462","1.208333333","0.557692308","50","2.027027027","46.15384615","0.284900285","0.617283951","0.427350427","0.925925926","20.65527066","44.75308642","21.08262108","45.67901235","1",""
"","","MZP2012CKE-ST01","","","","","","","","","MZP2012CKE-ST01-00048","","","","26","22","3","2","7","13","0","0","0","0","0","40","","","","","","","","","","","","","","","","0","40","0","","","","0","0","0","0","0","0","3.076923077","1.538461538","","0","50","0","0","0","0","56.98005698","113.960114","56.98005698","113.960114","1",""
"","","MZP2012CKE-ST01","","","","","","","","","MZP2012CKE-ST01-00049","","","","26","26","1","1","6","9","0","0","0","0","0","19","","","","","","","","","","","","","","","","0","19","0","","","","0","0","0","0","0","0","2.111111111","0.730769231","","0","34.61538462","0","0","0","0","27.06552707","78.18930041","27.06552707","78.18930041","1",""
"","","MZP2012CKE-ST01","","","","","","","","","MZP2012CKE-ST01-00050","","","","26","24","1","1","9","18","7","15","21","1.8","1","50","6","4","1","1","5","7","1","","","","","","","","","2.8","52.8","36","0.12","0.047619048","0.077777778","2","1.384615385","0.833333333","0.576923077","0.155555556","0.107692308","2.777777778","1.923076923","41.66666667","5.303030303","69.23076923","2.564102564","3.703703704","3.988603989","5.761316872","71.22507123","102.8806584","75.21367521","108.6419753","1",""
