"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2018GUR-AT01","","","","","","","","","MZP2018GUR-AT01-00027","","","","39","30","1","1","5","30","31","45","8.5","10.7","20.5","4","3","3","1","10.5","19.2","39.7","76","0.274193548","0.237777778","0.252631579","2.533333333","1.948717949","1.033333333","0.794871795","0.64","0.492307692","0.683333333","0.525641026","40.78947368","48.3627204","76.92307692","8.072174739","10.49382716","18.23361823","23.7037037","19.46818613","25.30864198","37.70180437","49.01234568"
"","","MZP2018GUR-AT01","","","","","","","","","MZP2018GUR-AT01-00028","","","","39","28","1","1","5","27","29","39","6.7","10","22.5","5","3","3","3","7.23","16.7","39.2","68","0.231034483","0.256410256","0.245588235","2.518518519","1.743589744","1.074074074","0.743589744","0.618518519","0.428205128","0.833333333","0.576923077","42.64705882","42.60204082","69.23076923","6.362773029","9.190672154","15.85944919","22.90809328","21.36752137","30.86419753","37.22697056","53.77229081"
"","","MZP2018GUR-AT01","","","","","","","","","MZP2018GUR-AT01-00029","","","","39","30","1","1","5","29","32","48","7.5","1.9","31.5","8","3","3","1","","9.4","40.9","80","0.234375","0.039583333","0.1175","2.75862069","2.051282051","1.103448276","0.820512821","0.324137931","0.241025641","1.086206897","0.807692308","40","22.98288509","74.35897436","7.122507123","9.578544061","8.926875594","12.00510856","29.91452991","40.22988506","38.84140551","52.23499361"
"","","MZP2018GUR-AT01","","","","","","","","","MZP2018GUR-AT01-00030","","","","39","32","1","1","5","31","10","22","2.5","3.7","28.5","5","5","9","7","11.03","6.2","34.7","32","0.25","0.168181818","0.19375","1.032258065","0.820512821","0.322580645","0.256410256","0.2","0.158974359","0.919354839","0.730769231","31.25","17.86743516","79.48717949","2.374169041","2.986857826","5.887939221","7.407407407","27.06552707","34.05017921","32.95346629","41.45758662"
"","","MZP2018GUR-AT01","","","","","","","","","MZP2018GUR-AT01-00031","","","","39","31","3","5","5","30","38","59","9.5","13.7","26.3","5","3","3","3","6.12","23.2","49.5","97","0.25","0.23220339","0.239175258","3.233333333","2.487179487","1.266666667","0.974358974","0.773333333","0.594871795","0.876666667","0.674358974","39.17525773","46.86868687","76.92307692","9.021842355","11.72839506","22.0322887","28.64197531","24.97625831","32.4691358","47.00854701","61.11111111"
"","","MZP2018GUR-AT01","","","","","","","","","MZP2018GUR-AT01-00032","","","","39","29","1","3","7","28","29","38","7","10.5","25","2","5","3","3","12.39","17.5","42.5","67","0.24137931","0.276315789","0.26119403","2.392857143","1.717948718","1.035714286","0.743589744","0.625","0.448717949","0.892857143","0.641025641","43.28358209","41.17647059","71.79487179","6.647673314","9.259259259","16.61918329","23.14814815","23.74169041","33.06878307","40.36087369","56.21693122"
"","","MZP2018GUR-AT01","","","","","","","","","MZP2018GUR-AT01-00033","","","","39","34","1","3","7","33","20","51","6","14.7","34.5","4","5","9","5","6.12","20.7","55.2","71","0.3","0.288235294","0.291549296","2.151515152","1.820512821","0.606060606","0.512820513","0.627272727","0.530769231","1.045454545","0.884615385","28.16901408","37.5","84.61538462","5.698005698","6.734006734","19.65811966","23.23232323","32.76353276","38.72053872","52.42165242","61.95286195"
"","","MZP2018GUR-AT01","","","","","","","","","MZP2018GUR-AT01-00034","","","","39","22","3","7","5","20","9","13","2","3","10","5","9","9","5","5.49","5","15","22","0.222222222","0.230769231","0.227272727","1.1","0.564102564","0.45","0.230769231","0.25","0.128205128","0.5","0.256410256","40.90909091","33.33333333","51.28205128","1.899335233","3.703703704","4.748338082","9.259259259","9.496676163","18.51851852","14.24501425","27.77777778"
"","","MZP2018GUR-AT01","","","","","","","","","MZP2018GUR-AT01-00035","","","","39","31","1","1","5","30","47","79","12.7","17","40.1","4","1","1","1","14.37","29.7","69.8","126","0.270212766","0.215189873","0.235714286","4.2","3.230769231","1.566666667","1.205128205","0.99","0.761538462","1.336666667","1.028205128","37.3015873","42.55014327","76.92307692","12.06077873","15.67901235","28.20512821","36.66666667","38.08167142","49.50617284","66.28679962","86.17283951"
"","","MZP2018GUR-AT01","","","","","","","","","MZP2018GUR-AT01-00036","","","","39","38","1","1","7","36","6","11","1.5","2.5","23.5","8","9","9","5","","4","27.5","17","0.25","0.227272727","0.235294118","0.472222222","0.435897436","0.166666667","0.153846154","0.111111111","0.102564103","0.652777778","0.602564103","35.29411765","14.54545455","92.30769231","1.424501425","1.543209877","3.798670465","4.115226337","22.31718898","24.17695473","26.11585945","28.29218107"
"","","MZP2018GUR-AT01","","","","","","","","","MZP2018GUR-AT01-00037","","","","39","37","1","1","5","37","39","58","10.5","14.7","30.1","4","1","1","1","7.76","25.2","55.3","97","0.269230769","0.253448276","0.259793814","2.621621622","2.487179487","1.054054054","1","0.681081081","0.646153846","0.813513514","0.771794872","40.20618557","45.56962025","94.87179487","9.971509972","10.51051051","23.93162393","25.22522523","28.58499525","30.13013013","52.51661918","55.35535536"
"","","MZP2018GUR-AT01","","","","","","","","","MZP2018GUR-AT01-00038","","","","39","35","1","1","5","34","19","32","5","7","29.5","3","3","3","3","10.5","12","41.5","51","0.263157895","0.21875","0.235294118","1.5","1.307692308","0.558823529","0.487179487","0.352941176","0.307692308","0.867647059","0.756410256","37.25490196","28.91566265","87.17948718","4.748338082","5.446623094","11.3960114","13.07189542","28.01519468","32.13507625","39.41120608","45.20697168"
"","","MZP2018GUR-AT01","","","","","","","","","MZP2018GUR-AT01-00039","","","","39","36","1","1","5","35","18","30","5","6.5","30.1","4","5","5","1","10.5","11.5","41.6","48","0.277777778","0.216666667","0.239583333","1.371428571","1.230769231","0.514285714","0.461538462","0.328571429","0.294871795","0.86","0.771794872","37.5","27.64423077","89.74358974","4.748338082","5.291005291","10.92117759","12.16931217","28.58499525","31.85185185","39.50617284","44.02116402"
"","","MZP2018GUR-AT01","","","","","","","","","MZP2018GUR-AT01-00040","","","","39","35","3","7","5","30","19","29","5","6","22.5","8","7","7","3","","11","33.5","48","0.263157895","0.206896552","0.229166667","1.6","1.230769231","0.633333333","0.487179487","0.366666667","0.282051282","0.75","0.576923077","39.58333333","32.8358209","76.92307692","4.748338082","6.172839506","10.44634378","13.58024691","21.36752137","27.77777778","31.81386515","41.35802469"
"","","MZP2018GUR-AT01","","","","","","","","","MZP2018GUR-AT01-00041","","","","39","30","1","5","5","28","39","58","9","14.7","33.5","1","3","3","3","11.03","23.7","57.2","97","0.230769231","0.253448276","0.244329897","3.464285714","2.487179487","1.392857143","1","0.846428571","0.607692308","1.196428571","0.858974359","40.20618557","41.43356643","71.79487179","8.547008547","11.9047619","22.50712251","31.34920635","31.81386515","44.31216931","54.32098765","75.66137566"
"","","MZP2018GUR-AT01","","","","","","","","","MZP2018GUR-AT01-00042","","","","39","38","1","1","5","38","44","81","13","18.5","27.6","4","1","1","1","12.39","31.5","59.1","125","0.295454545","0.228395062","0.252","3.289473684","3.205128205","1.157894737","1.128205128","0.828947368","0.807692308","0.726315789","0.707692308","35.2","53.29949239","97.43589744","12.34567901","12.6705653","29.91452991","30.70175439","26.21082621","26.9005848","56.12535613","57.60233918"
"","","MZP2018GUR-AT01","","","","","","","","","MZP2018GUR-AT01-00043","","","","39","31","1","3","5","30","32","50","7","12.5","28","5","3","3","3","11.03","19.5","47.5","82","0.21875","0.25","0.237804878","2.733333333","2.102564103","1.066666667","0.820512821","0.65","0.5","0.933333333","0.717948718","39.02439024","41.05263158","76.92307692","6.647673314","8.641975309","18.51851852","24.07407407","26.59069326","34.56790123","45.10921178","58.64197531"
